2.873422e+00 + i 2.633153e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.945919e-01 + i -1.257379e+00 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.909583e-02 + i -1.111729e-01 ; -2.372097e-01 + i -3.334057e-01 ; 0.000000e+00 + i -0.000000e+00 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.909583e-02 + i -1.111729e-01 ; 0.000000e+00 + i -0.000000e+00 ; -2.372097e-01 + i -3.334057e-01 ; 1.581139e-01 + i 2.222328e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.106157e-05 + i -3.085450e-05 ; -8.608221e-02 + i -1.209913e-01 ; -8.608221e-02 + i -1.209913e-01 ; -4.400744e-02 + i -6.185511e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.725823e-02 + i -2.425824e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.996884e-02 + i -4.212340e-02 ; -1.764667e-02 + i -2.480295e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.398854e-02 + i -1.966258e-02 ; -5.832086e-03 + i -8.197182e-03 ; 0.000000e+00 + i -0.000000e+00 ; -2.996884e-02 + i -4.212340e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.764667e-02 + i -2.480295e-02 ; -1.398854e-02 + i -1.966258e-02 ; 0.000000e+00 + i -0.000000e+00 ; -5.832086e-03 + i -8.197182e-03 ; -2.103221e-02 + i -2.956268e-02 ; -1.334257e-02 + i -1.875341e-02 ; -1.334257e-02 + i -1.875341e-02 ; -1.145106e-02 + i -1.609607e-02 ; -4.958489e-03 + i -6.969314e-03 ; -4.958489e-03 + i -6.969314e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; 2.873422e+00 + i 2.633153e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -8.945919e-01 + i -1.257379e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.372097e-01 + i -3.334057e-01 ; -7.909583e-02 + i -1.111729e-01 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.581139e-01 + i 2.222328e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -7.909583e-02 + i -1.111729e-01 ; -2.372097e-01 + i -3.334057e-01 ; -8.608221e-02 + i -1.209913e-01 ; -2.106157e-05 + i -3.085450e-05 ; -8.608221e-02 + i -1.209913e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.198400e-02 + i 3.089796e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.614926e-03 + i 1.210730e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.764667e-02 + i -2.480295e-02 ; 1.173343e-02 + i 1.649045e-02 ; 0.000000e+00 + i -0.000000e+00 ; -5.832086e-03 + i -8.197182e-03 ; 6.198720e-03 + i 8.711247e-03 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.819849e-02 + i 2.557731e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.762474e-03 + i 1.090915e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.334257e-02 + i -1.875341e-02 ; 1.049870e-02 + i 1.475500e-02 ; -4.888209e-03 + i -6.870533e-03 ; -4.958489e-03 + i -6.969314e-03 ; 5.712322e-03 + i 8.027598e-03 ; -1.329517e-03 + i -1.868678e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.873422e+00 + i 2.633153e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.581139e-01 + i 2.222328e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -8.945919e-01 + i -1.257379e+00 ; -2.372097e-01 + i -3.334057e-01 ; 0.000000e+00 + i -0.000000e+00 ; -7.909583e-02 + i -1.111729e-01 ; 0.000000e+00 + i -0.000000e+00 ; -2.372097e-01 + i -3.334057e-01 ; -7.909583e-02 + i -1.111729e-01 ; -8.608221e-02 + i -1.209913e-01 ; -8.608221e-02 + i -1.209913e-01 ; -2.106157e-05 + i -3.085450e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.198400e-02 + i 3.089796e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.614926e-03 + i 1.210730e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.819849e-02 + i 2.557731e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.762474e-03 + i 1.090915e-02 ; -1.764667e-02 + i -2.480295e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.173343e-02 + i 1.649045e-02 ; -5.832086e-03 + i -8.197182e-03 ; 0.000000e+00 + i -0.000000e+00 ; 6.198720e-03 + i 8.711247e-03 ; -1.334257e-02 + i -1.875341e-02 ; -4.888209e-03 + i -6.870533e-03 ; 1.049870e-02 + i 1.475500e-02 ; -4.958489e-03 + i -6.969314e-03 ; -1.329517e-03 + i -1.868678e-03 ; 5.712322e-03 + i 8.027598e-03 ; 
-8.945919e-01 + i -1.257379e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.873422e+00 + i 2.633153e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.909583e-02 + i -1.111729e-01 ; 2.372097e-01 + i 3.334057e-01 ; -0.000000e+00 + i -0.000000e+00 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.909583e-02 + i -1.111729e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.372097e-01 + i 3.334057e-01 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.106157e-05 + i -3.085450e-05 ; 8.608221e-02 + i 1.209913e-01 ; 8.608221e-02 + i 1.209913e-01 ; 1.581139e-01 + i 2.222328e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.729357e-01 + i -2.430679e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.400744e-02 + i -6.185511e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -7.004636e-02 + i -9.845363e-02 ; -7.292331e-02 + i -1.024960e-01 ; 0.000000e+00 + i -0.000000e+00 ; -2.996884e-02 + i -4.212340e-02 ; -1.764667e-02 + i -2.480295e-02 ; 0.000000e+00 + i -0.000000e+00 ; -7.004636e-02 + i -9.845363e-02 ; 0.000000e+00 + i -0.000000e+00 ; -7.292331e-02 + i -1.024960e-01 ; -2.996884e-02 + i -4.212340e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.764667e-02 + i -2.480295e-02 ; -3.202326e-02 + i -4.501096e-02 ; -4.169924e-02 + i -5.860960e-02 ; -4.169924e-02 + i -5.860960e-02 ; -2.103221e-02 + i -2.956268e-02 ; -1.334257e-02 + i -1.875341e-02 ; -1.334257e-02 + i -1.875341e-02 ; 
-0.000000e+00 + i -0.000000e+00 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.873422e+00 + i 2.633153e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.372097e-01 + i 3.334057e-01 ; -7.909583e-02 + i -1.111729e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -8.945919e-01 + i -1.257379e+00 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.581139e-01 + i 2.222328e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; 8.608221e-02 + i 1.209913e-01 ; -2.106157e-05 + i -3.085450e-05 ; -8.608221e-02 + i -1.209913e-01 ; 0.000000e+00 + i -0.000000e+00 ; -7.909583e-02 + i -1.111729e-01 ; -2.372097e-01 + i -3.334057e-01 ; -0.000000e+00 + i -0.000000e+00 ; 8.643622e-02 + i 1.214876e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.198400e-02 + i 3.089796e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.292331e-02 + i -1.024960e-01 ; 1.391423e-02 + i 1.955564e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.764667e-02 + i -2.480295e-02 ; 1.173343e-02 + i 1.649045e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.607759e-02 + i 7.881758e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.819849e-02 + i 2.557731e-02 ; -0.000000e+00 + i -0.000000e+00 ; -4.169924e-02 + i -5.860960e-02 ; 1.598734e-02 + i 2.246946e-02 ; -2.410999e-02 + i -3.388735e-02 ; -1.334257e-02 + i -1.875341e-02 ; 1.049870e-02 + i 1.475500e-02 ; -4.888209e-03 + i -6.870533e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.873422e+00 + i 2.633153e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.581139e-01 + i 2.222328e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.472406e-01 + i 6.286096e-01 ; 2.372097e-01 + i 3.334057e-01 ; 0.000000e+00 + i -0.000000e+00 ; -7.909583e-02 + i -1.111729e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -8.945919e-01 + i -1.257379e+00 ; 8.608221e-02 + i 1.209913e-01 ; -8.608221e-02 + i -1.209913e-01 ; -2.106157e-05 + i -3.085450e-05 ; 0.000000e+00 + i -0.000000e+00 ; -2.372097e-01 + i -3.334057e-01 ; -7.909583e-02 + i -1.111729e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.643622e-02 + i 1.214876e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.198400e-02 + i 3.089796e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.607759e-02 + i 7.881758e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.819849e-02 + i 2.557731e-02 ; -7.292331e-02 + i -1.024960e-01 ; 0.000000e+00 + i -0.000000e+00 ; 1.391423e-02 + i 1.955564e-02 ; -1.764667e-02 + i -2.480295e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.173343e-02 + i 1.649045e-02 ; -4.169924e-02 + i -5.860960e-02 ; -2.410999e-02 + i -3.388735e-02 ; 1.598734e-02 + i 2.246946e-02 ; -1.334257e-02 + i -1.875341e-02 ; -4.888209e-03 + i -6.870533e-03 ; 1.049870e-02 + i 1.475500e-02 ; 
4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.909583e-02 + i -1.111729e-01 ; 2.372097e-01 + i 3.334057e-01 ; 0.000000e+00 + i -0.000000e+00 ; 2.873422e+00 + i 2.633153e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.945919e-01 + i -1.257379e+00 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 1.581139e-01 + i 2.222328e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.106157e-05 + i -3.085450e-05 ; 8.608221e-02 + i 1.209913e-01 ; -8.608221e-02 + i -1.209913e-01 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.909583e-02 + i -1.111729e-01 ; 0.000000e+00 + i -0.000000e+00 ; -2.372097e-01 + i -3.334057e-01 ; -2.996884e-02 + i -4.212340e-02 ; 1.764667e-02 + i 2.480295e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.398854e-02 + i -1.966258e-02 ; 5.832086e-03 + i 8.197182e-03 ; 0.000000e+00 + i -0.000000e+00 ; -4.400744e-02 + i -6.185511e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.725823e-02 + i -2.425824e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.103221e-02 + i -2.956268e-02 ; 1.334257e-02 + i 1.875341e-02 ; -1.334257e-02 + i -1.875341e-02 ; -1.145106e-02 + i -1.609607e-02 ; 4.958489e-03 + i 6.969314e-03 ; -4.958489e-03 + i -6.969314e-03 ; -2.996884e-02 + i -4.212340e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.764667e-02 + i -2.480295e-02 ; -1.398854e-02 + i -1.966258e-02 ; 0.000000e+00 + i -0.000000e+00 ; -5.832086e-03 + i -8.197182e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; -8.945919e-01 + i -1.257379e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.372097e-01 + i 3.334057e-01 ; -7.909583e-02 + i -1.111729e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.873422e+00 + i 2.633153e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.909583e-02 + i -1.111729e-01 ; 2.372097e-01 + i 3.334057e-01 ; 8.608221e-02 + i 1.209913e-01 ; -2.106157e-05 + i -3.085450e-05 ; 8.608221e-02 + i 1.209913e-01 ; -0.000000e+00 + i -0.000000e+00 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.581139e-01 + i 2.222328e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.764667e-02 + i 2.480295e-02 ; 1.173343e-02 + i 1.649045e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.832086e-03 + i 8.197182e-03 ; 6.198720e-03 + i 8.711247e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.198400e-02 + i 3.089796e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.614926e-03 + i 1.210730e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.334257e-02 + i 1.875341e-02 ; 1.049870e-02 + i 1.475500e-02 ; 4.888209e-03 + i 6.870533e-03 ; 4.958489e-03 + i 6.969314e-03 ; 5.712322e-03 + i 8.027598e-03 ; 1.329517e-03 + i 1.868678e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.819849e-02 + i 2.557731e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.762474e-03 + i 1.090915e-02 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.581139e-01 + i 2.222328e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.873422e+00 + i 2.633153e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.472406e-01 + i 6.286096e-01 ; 0.000000e+00 + i -0.000000e+00 ; 2.372097e-01 + i 3.334057e-01 ; -7.909583e-02 + i -1.111729e-01 ; -8.608221e-02 + i -1.209913e-01 ; 8.608221e-02 + i 1.209913e-01 ; -2.106157e-05 + i -3.085450e-05 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -8.945919e-01 + i -1.257379e+00 ; -2.372097e-01 + i -3.334057e-01 ; 0.000000e+00 + i -0.000000e+00 ; -7.909583e-02 + i -1.111729e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.819849e-02 + i 2.557731e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.762474e-03 + i 1.090915e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.198400e-02 + i 3.089796e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.614926e-03 + i 1.210730e-02 ; -1.334257e-02 + i -1.875341e-02 ; 4.888209e-03 + i 6.870533e-03 ; 1.049870e-02 + i 1.475500e-02 ; -4.958489e-03 + i -6.969314e-03 ; 1.329517e-03 + i 1.868678e-03 ; 5.712322e-03 + i 8.027598e-03 ; -1.764667e-02 + i -2.480295e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.173343e-02 + i 1.649045e-02 ; -5.832086e-03 + i -8.197182e-03 ; 0.000000e+00 + i -0.000000e+00 ; 6.198720e-03 + i 8.711247e-03 ; 
-7.909583e-02 + i -1.111729e-01 ; -2.372097e-01 + i -3.334057e-01 ; -0.000000e+00 + i -0.000000e+00 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.945919e-01 + i -1.257379e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.873422e+00 + i 2.633153e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.106157e-05 + i -3.085450e-05 ; -8.608221e-02 + i -1.209913e-01 ; 8.608221e-02 + i 1.209913e-01 ; 1.581139e-01 + i 2.222328e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.909583e-02 + i -1.111729e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.372097e-01 + i 3.334057e-01 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.004636e-02 + i -9.845363e-02 ; 7.292331e-02 + i 1.024960e-01 ; 0.000000e+00 + i -0.000000e+00 ; -2.996884e-02 + i -4.212340e-02 ; 1.764667e-02 + i 2.480295e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.729357e-01 + i -2.430679e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.400744e-02 + i -6.185511e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.202326e-02 + i -4.501096e-02 ; 4.169924e-02 + i 5.860960e-02 ; -4.169924e-02 + i -5.860960e-02 ; -2.103221e-02 + i -2.956268e-02 ; 1.334257e-02 + i 1.875341e-02 ; -1.334257e-02 + i -1.875341e-02 ; -7.004636e-02 + i -9.845363e-02 ; 0.000000e+00 + i -0.000000e+00 ; -7.292331e-02 + i -1.024960e-01 ; -2.996884e-02 + i -4.212340e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.764667e-02 + i -2.480295e-02 ; 
-2.372097e-01 + i -3.334057e-01 ; -7.909583e-02 + i -1.111729e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.945919e-01 + i -1.257379e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.873422e+00 + i 2.633153e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.608221e-02 + i -1.209913e-01 ; -2.106157e-05 + i -3.085450e-05 ; 8.608221e-02 + i 1.209913e-01 ; -0.000000e+00 + i -0.000000e+00 ; -7.909583e-02 + i -1.111729e-01 ; 2.372097e-01 + i 3.334057e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.581139e-01 + i 2.222328e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.472406e-01 + i 6.286096e-01 ; -0.000000e+00 + i -0.000000e+00 ; 7.292331e-02 + i 1.024960e-01 ; 1.391423e-02 + i 1.955564e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.764667e-02 + i 2.480295e-02 ; 1.173343e-02 + i 1.649045e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.643622e-02 + i 1.214876e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.198400e-02 + i 3.089796e-02 ; -0.000000e+00 + i -0.000000e+00 ; 4.169924e-02 + i 5.860960e-02 ; 1.598734e-02 + i 2.246946e-02 ; 2.410999e-02 + i 3.388735e-02 ; 1.334257e-02 + i 1.875341e-02 ; 1.049870e-02 + i 1.475500e-02 ; 4.888209e-03 + i 6.870533e-03 ; -0.000000e+00 + i -0.000000e+00 ; 5.607759e-02 + i 7.881758e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.819849e-02 + i 2.557731e-02 ; -0.000000e+00 + i -0.000000e+00 ; 
