-8.918422e+09 + i 5.849607e+08 ; -1.895868e+07 + i -1.970863e+06 ; -1.896287e+07 + i -1.971436e+06 ; 2.893697e+09 + i -3.169475e+08 ; 1.494109e+08 + i -4.581837e+06 ; 1.494092e+08 + i -4.582846e+06 ; -1.360365e+09 + i 1.497231e+08 ; -7.922623e+07 + i 2.374729e+06 ; -1.392570e+07 + i -4.946020e+05 ; -2.881863e+08 + i -1.366701e+07 ; 7.317007e+08 + i -8.560491e+07 ; 4.022805e+07 + i -3.432604e+06 ; -1.360364e+09 + i 1.497237e+08 ; -1.392413e+07 + i -4.943302e+05 ; -7.922584e+07 + i 2.374666e+06 ; -2.881889e+08 + i -1.366664e+07 ; 4.023915e+07 + i -3.426703e+06 ; 7.317010e+08 + i -8.560468e+07 ; -2.648372e+08 + i 5.005637e+07 ; -4.154401e+07 + i 2.152895e+06 ; -4.153905e+07 + i 2.154810e+06 ; -1.418306e+08 + i 1.659549e+07 ; 2.009692e+08 + i -2.943825e+07 ; 2.009694e+08 + i -2.943800e+07 ; 2.296348e+08 + i -1.765555e+07 ; 1.461887e+06 + i -5.808175e+05 ; 1.462825e+06 + i -5.807162e+05 ; 1.077182e+08 + i -6.503713e+06 ; -8.331845e+05 + i -1.125115e+05 ; -8.332761e+05 + i -1.125290e+05 ; 8.872579e+07 + i -1.293795e+07 ; 3.308793e+07 + i -5.747751e+06 ; -2.351906e+05 + i -3.899552e+05 ; 5.654934e+07 + i -6.842295e+06 ; 7.841977e+06 + i -1.617351e+06 ; -1.008524e+06 + i -6.893986e+04 ; 8.872630e+07 + i -1.293751e+07 ; -2.344891e+05 + i -3.893292e+05 ; 3.308805e+07 + i -5.747711e+06 ; 5.654938e+07 + i -6.842180e+06 ; -1.008220e+06 + i -6.878598e+04 ; 7.841968e+06 + i -1.617357e+06 ; 3.464859e+07 + i -8.120335e+06 ; 2.243222e+07 + i -4.145573e+06 ; 2.243208e+07 + i -4.145648e+06 ; 3.058661e+07 + i -5.578739e+06 ; 6.162618e+06 + i -1.321256e+06 ; 6.162566e+06 + i -1.321255e+06 ; 
-1.762731e+07 + i -2.014296e+06 ; -8.924445e+09 + i 5.848337e+08 ; -1.879342e+07 + i -1.990953e+06 ; -7.723897e+07 + i 2.279087e+06 ; -1.363396e+09 + i 1.496798e+08 ; -1.367784e+07 + i -5.029365e+05 ; 1.521120e+08 + i -4.564255e+06 ; 2.880587e+09 + i -3.169160e+08 ; 1.498213e+08 + i -4.618482e+06 ; 7.376257e+08 + i -8.569462e+07 ; -2.953947e+08 + i -1.339180e+07 ; 4.066992e+07 + i -3.461296e+06 ; -1.275568e+07 + i -5.491672e+05 ; -1.364817e+09 + i 1.497774e+08 ; -7.902927e+07 + i 2.349705e+06 ; -3.992739e+07 + i 2.045064e+06 ; -2.668126e+08 + i 5.012145e+07 ; -4.128855e+07 + i 2.145736e+06 ; 4.261363e+07 + i -3.440608e+06 ; -2.967657e+08 + i -1.333946e+07 ; 7.326925e+08 + i -8.569555e+07 ; 2.059132e+08 + i -2.956944e+07 ; -1.462327e+08 + i 1.696876e+07 ; 2.018283e+08 + i -2.950731e+07 ; 8.389828e+05 + i -6.003624e+05 ; -4.306108e+07 + i 7.285108e+06 ; -3.741464e+06 + i 1.005649e+05 ; 1.817795e+06 + i -4.493693e+05 ; -1.662498e+07 + i 2.728172e+06 ; -1.532561e+06 + i 9.162233e+04 ; 8.872042e+07 + i -7.367435e+06 ; -3.919665e+07 + i 5.633504e+06 ; -1.528944e+06 + i -2.675297e+04 ; 4.204298e+07 + i -2.489421e+06 ; -1.483735e+07 + i 2.375955e+06 ; -1.026902e+06 + i 4.035095e+04 ; -1.868316e+06 + i -4.231949e+05 ; -3.388041e+07 + i 5.846478e+06 ; -6.243878e+06 + i 3.390458e+05 ; 3.138518e+05 + i -4.026959e+05 ; -1.404791e+07 + i 2.421050e+06 ; -2.143148e+06 + i 1.638687e+05 ; 5.834933e+07 + i -5.741328e+06 ; -3.007365e+07 + i 4.715981e+06 ; 7.684863e+06 + i -1.443352e+06 ; 3.103579e+07 + i -2.380628e+06 ; -1.268438e+07 + i 2.128956e+06 ; 9.913557e+05 + i -3.061174e+05 ; 
-1.763557e+07 + i -2.015716e+06 ; -1.879368e+07 + i -1.990992e+06 ; -8.924451e+09 + i 5.848304e+08 ; -7.723865e+07 + i 2.279105e+06 ; -1.367820e+07 + i -5.029870e+05 ; -1.363410e+09 + i 1.496784e+08 ; -1.275975e+07 + i -5.495197e+05 ; -7.903120e+07 + i 2.348400e+06 ; -1.364853e+09 + i 1.497561e+08 ; -3.992253e+07 + i 2.046909e+06 ; -4.128969e+07 + i 2.145088e+06 ; -2.668235e+08 + i 5.011886e+07 ; 1.521114e+08 + i -4.564240e+06 ; 1.498201e+08 + i -4.619271e+06 ; 2.880568e+09 + i -3.169265e+08 ; 7.376264e+08 + i -8.569431e+07 ; 4.066872e+07 + i -3.461948e+06 ; -2.954034e+08 + i -1.339601e+07 ; 4.259821e+07 + i -3.444605e+06 ; 7.326923e+08 + i -8.569569e+07 ; -2.967686e+08 + i -1.334065e+07 ; 2.059097e+08 + i -2.957064e+07 ; 2.018271e+08 + i -2.950765e+07 ; -1.462402e+08 + i 1.696860e+07 ; 8.408988e+05 + i -6.000899e+05 ; -3.741488e+06 + i 1.005489e+05 ; -4.306286e+07 + i 7.284850e+06 ; 1.818244e+06 + i -4.492788e+05 ; -1.532605e+06 + i 9.161046e+04 ; -1.662501e+07 + i 2.728238e+06 ; -1.865365e+06 + i -4.225899e+05 ; -6.243937e+06 + i 3.390138e+05 ; -3.388155e+07 + i 5.846315e+06 ; 3.153094e+05 + i -4.023106e+05 ; -2.143143e+06 + i 1.638753e+05 ; -1.404790e+07 + i 2.421160e+06 ; 8.871995e+07 + i -7.367559e+06 ; -1.529056e+06 + i -2.683727e+04 ; -3.919838e+07 + i 5.632821e+06 ; 4.204276e+07 + i -2.489482e+06 ; -1.026965e+06 + i 4.031804e+04 ; -1.483794e+07 + i 2.375758e+06 ; 5.835143e+07 + i -5.741033e+06 ; 7.684925e+06 + i -1.443328e+06 ; -3.007420e+07 + i 4.715772e+06 ; 3.103622e+07 + i -2.380580e+06 ; 9.913699e+05 + i -3.061040e+05 ; -1.268481e+07 + i 2.128854e+06 ; 
2.893887e+09 + i -3.168981e+08 ; -1.524463e+08 + i 4.463982e+06 ; -1.524440e+08 + i 4.465291e+06 ; -8.895527e+09 + i 5.840256e+08 ; 1.553381e+07 + i 2.000857e+06 ; 1.553819e+07 + i 2.001522e+06 ; -2.881253e+08 + i -1.365187e+07 ; -7.415068e+08 + i 8.537932e+07 ; -4.204572e+07 + i 3.498561e+06 ; -1.349055e+09 + i 1.487868e+08 ; 7.359144e+07 + i -2.039785e+06 ; 1.078715e+07 + i 5.402138e+05 ; -2.881320e+08 + i -1.365263e+07 ; -4.205480e+07 + i 3.493224e+06 ; -7.415071e+08 + i 8.537909e+07 ; -1.349047e+09 + i 1.487897e+08 ; 1.078504e+07 + i 5.397590e+05 ; 7.359086e+07 + i -2.039862e+06 ; -1.418155e+08 + i 1.659902e+07 ; -2.051041e+08 + i 2.956691e+07 ; -2.051045e+08 + i 2.956652e+07 ; -2.595706e+08 + i 4.928683e+07 ; 3.642452e+07 + i -1.883077e+06 ; 3.642310e+07 + i -1.883864e+06 ; 5.565867e+08 + i -5.999921e+07 ; 4.678330e+07 + i -1.780352e+06 ; 4.678278e+07 + i -1.780736e+06 ; 2.296265e+08 + i -1.765756e+07 ; 5.569041e+06 + i -1.077534e+06 ; 5.567725e+06 + i -1.077814e+06 ; 1.315303e+08 + i -2.324210e+07 ; 2.197230e+08 + i -2.613756e+07 ; 2.381365e+07 + i -1.534249e+06 ; 8.871432e+07 + i -1.293914e+07 ; 2.865574e+07 + i -5.610524e+06 ; 3.394333e+06 + i -7.394662e+05 ; 1.315367e+08 + i -2.324085e+07 ; 2.381550e+07 + i -1.532888e+06 ; 2.197234e+08 + i -2.613738e+07 ; 8.871723e+07 + i -1.293857e+07 ; 3.395600e+06 + i -7.389225e+05 ; 2.865603e+07 + i -5.610423e+06 ; 2.148659e+07 + i -8.673222e+06 ; 1.096598e+08 + i -1.458981e+07 ; 1.096606e+08 + i -1.458946e+07 ; 3.464013e+07 + i -8.120351e+06 ; 2.115211e+07 + i -4.049994e+06 ; 2.115244e+07 + i -4.049753e+06 ; 
8.428148e+07 + i -2.012069e+06 ; -1.363578e+09 + i 1.496302e+08 ; -1.400838e+07 + i -5.324539e+05 ; 2.189390e+07 + i 1.886633e+06 ; -8.916175e+09 + i 5.846887e+08 ; -1.915913e+07 + i -2.009779e+06 ; -7.591566e+08 + i 8.378080e+07 ; -2.953776e+08 + i -1.338595e+07 ; 4.085198e+07 + i -3.430733e+06 ; -1.449301e+08 + i 3.351826e+06 ; 2.886775e+09 + i -3.168337e+08 ; 1.509831e+08 + i -4.386413e+06 ; 4.462034e+07 + i -2.064835e+06 ; -2.668474e+08 + i 5.011654e+07 ; -4.188837e+07 + i 2.095077e+06 ; 1.592206e+07 + i 3.625675e+05 ; -1.357516e+09 + i 1.496238e+08 ; -8.023540e+07 + i 2.296341e+06 ; -2.066037e+08 + i 2.917999e+07 ; -1.462390e+08 + i 1.696622e+07 ; 2.038342e+08 + i -2.945017e+07 ; -3.423327e+07 + i 2.973844e+06 ; -2.910322e+08 + i -1.332138e+07 ; 7.392951e+08 + i -8.521013e+07 ; -3.332215e+07 + i 8.713208e+05 ; -2.667770e+08 + i 2.947656e+07 ; -7.215277e+06 + i -1.026899e+05 ; -1.668990e+07 + i -3.298107e+05 ; -4.304765e+07 + i 7.291799e+06 ; -3.042752e+06 + i 1.139212e+05 ; 2.271881e+08 + i -2.607939e+07 ; -1.298385e+08 + i 7.942155e+06 ; 7.866135e+06 + i -5.407969e+05 ; 9.474794e+07 + i -7.605855e+06 ; -3.919763e+07 + i 5.634144e+06 ; -8.148056e+05 + i -1.468660e+05 ; -2.317700e+07 + i 9.297809e+05 ; -1.430752e+08 + i 1.906113e+07 ; -1.633277e+07 + i 6.220488e+05 ; -1.359242e+07 + i 3.335380e+04 ; -3.387040e+07 + i 5.850753e+06 ; -5.163925e+06 + i 3.643879e+05 ; 1.144836e+08 + i -1.451411e+07 ; -8.904569e+07 + i 8.912154e+06 ; 6.110408e+07 + i -8.281778e+06 ; 5.723864e+07 + i -5.800232e+06 ; -3.007366e+07 + i 4.716363e+06 ; 5.564315e+06 + i -1.380467e+06 ; 
8.428266e+07 + i -2.011732e+06 ; -1.400878e+07 + i -5.325228e+05 ; -1.363593e+09 + i 1.496289e+08 ; 2.189854e+07 + i 1.887287e+06 ; -1.915937e+07 + i -2.009804e+06 ; -8.916180e+09 + i 5.846861e+08 ; 4.462031e+07 + i -2.065246e+06 ; -4.188954e+07 + i 2.094413e+06 ; -2.668564e+08 + i 5.011480e+07 ; 1.592412e+07 + i 3.625058e+05 ; -8.023707e+07 + i 2.295151e+06 ; -1.357560e+09 + i 1.496000e+08 ; -7.591564e+08 + i 8.378077e+07 ; 4.085095e+07 + i -3.431303e+06 ; -2.953863e+08 + i -1.339038e+07 ; -1.449297e+08 + i 3.351810e+06 ; 1.509816e+08 + i -4.387335e+06 ; 2.886760e+09 + i -3.168431e+08 ; -2.065994e+08 + i 2.918149e+07 ; 2.038334e+08 + i -2.945031e+07 ; -1.462323e+08 + i 1.697087e+07 ; -3.422569e+07 + i 2.975851e+06 ; 7.392947e+08 + i -8.521034e+07 ; -2.910350e+08 + i -1.332264e+07 ; -3.332344e+07 + i 8.709649e+05 ; -7.215238e+06 + i -1.026992e+05 ; -2.667714e+08 + i 2.947773e+07 ; -1.669136e+07 + i -3.300744e+05 ; -3.042846e+06 + i 1.138944e+05 ; -4.304612e+07 + i 7.292212e+06 ; -2.317689e+07 + i 9.298035e+05 ; -1.633282e+07 + i 6.219398e+05 ; -1.430744e+08 + i 1.906071e+07 ; -1.359247e+07 + i 3.347953e+04 ; -5.163938e+06 + i 3.643770e+05 ; -3.386946e+07 + i 5.851105e+06 ; 2.271881e+08 + i -2.607935e+07 ; 7.865983e+06 + i -5.409526e+05 ; -1.298394e+08 + i 7.940855e+06 ; 9.474792e+07 + i -7.605796e+06 ; -8.149595e+05 + i -1.469509e+05 ; -3.919868e+07 + i 5.633616e+06 ; 1.144813e+08 + i -1.451486e+07 ; 6.110445e+07 + i -8.281660e+06 ; -8.904412e+07 + i 8.912012e+06 ; 5.723647e+07 + i -5.800838e+06 ; 5.564303e+06 + i -1.380456e+06 ; -3.007473e+07 + i 4.715984e+06 ; 
-1.360554e+09 + i 1.496663e+08 ; 8.202113e+07 + i -2.330141e+06 ; -1.408511e+07 + i -5.271805e+05 ; -2.882680e+08 + i -1.373928e+07 ; -7.630390e+08 + i 8.380502e+07 ; 4.062719e+07 + i -3.407078e+06 ; -8.918484e+09 + i 5.849311e+08 ; 1.957389e+07 + i 2.074790e+06 ; -1.916532e+07 + i -2.027360e+06 ; 2.893673e+09 + i -3.169729e+08 ; -1.551854e+08 + i 4.100909e+06 ; 1.510467e+08 + i -4.358269e+06 ; -2.648829e+08 + i 5.004399e+07 ; 4.325913e+07 + i -1.966714e+06 ; -4.199268e+07 + i 2.102584e+06 ; -1.418644e+08 + i 1.657630e+07 ; -2.096267e+08 + i 2.918455e+07 ; 2.032139e+08 + i -2.938741e+07 ; -1.360366e+09 + i 1.497246e+08 ; 1.445261e+07 + i 5.918311e+05 ; -8.009146e+07 + i 2.255189e+06 ; -2.881829e+08 + i -1.366406e+07 ; -4.190802e+07 + i 3.304418e+06 ; 7.398152e+08 + i -8.519163e+07 ; 8.877350e+07 + i -1.292560e+07 ; -3.450885e+07 + i 5.751533e+06 ; -2.432249e+05 + i -3.959731e+05 ; 5.657218e+07 + i -6.836662e+06 ; -8.178713e+06 + i 1.630367e+06 ; -1.020753e+06 + i -7.176695e+04 ; 2.296385e+08 + i -1.765443e+07 ; -1.497400e+06 + i 6.106002e+05 ; 1.482720e+06 + i -5.838581e+05 ; 1.077174e+08 + i -6.503528e+06 ; 8.750684e+05 + i 1.282741e+05 ; -8.412352e+05 + i -1.151223e+05 ; 3.466502e+07 + i -8.118886e+06 ; -2.339745e+07 + i 4.158648e+06 ; 2.268354e+07 + i -4.149583e+06 ; 3.059828e+07 + i -5.577302e+06 ; -6.427465e+06 + i 1.333692e+06 ; 6.232160e+06 + i -1.324263e+06 ; 8.872992e+07 + i -1.293628e+07 ; 2.640706e+05 + i 4.190817e+05 ; 3.345877e+07 + i -5.749312e+06 ; 5.654923e+07 + i -6.841796e+06 ; 1.057072e+06 + i 8.321016e+04 ; 7.930337e+06 + i -1.620488e+06 ; 
-1.531127e+08 + i 4.792374e+06 ; 2.880772e+09 + i -3.168740e+08 ; -1.514759e+08 + i 4.388199e+06 ; -7.452508e+08 + i 8.531136e+07 ; -2.954264e+08 + i -1.345154e+07 ; -4.113074e+07 + i 3.421191e+06 ; 1.769172e+07 + i 1.994701e+06 ; -8.924507e+09 + i 5.848103e+08 ; 1.893814e+07 + i 2.032942e+06 ; 7.745806e+07 + i -2.625161e+06 ; -1.363396e+09 + i 1.496963e+08 ; 1.379593e+07 + i 5.267589e+05 ; -4.300594e+07 + i 3.434076e+06 ; -2.966935e+08 + i -1.331539e+07 ; -7.408155e+08 + i 8.528312e+07 ; -2.080475e+08 + i 2.952070e+07 ; -1.462369e+08 + i 1.696000e+07 ; -2.040750e+08 + i 2.945854e+07 ; 1.283678e+07 + i 5.525963e+05 ; -1.364840e+09 + i 1.497679e+08 ; 7.989906e+07 + i -2.228064e+06 ; 4.028260e+07 + i -2.033728e+06 ; -2.668245e+08 + i 5.011657e+07 ; 4.174592e+07 + i -2.091880e+06 ; -8.966047e+07 + i 7.268805e+06 ; -3.922695e+07 + i 5.618571e+06 ; 1.544823e+06 + i 2.967681e+04 ; -4.249017e+07 + i 2.429289e+06 ; -1.484046e+07 + i 2.374485e+06 ; 1.037919e+06 + i -3.894060e+04 ; -8.824424e+05 + i 5.673511e+05 ; -4.306584e+07 + i 7.283497e+06 ; 3.779891e+06 + i -9.524589e+04 ; -1.852301e+06 + i 4.323282e+05 ; -1.662688e+07 + i 2.727431e+06 ; 1.548885e+06 + i -8.986286e+04 ; -5.896817e+07 + i 5.686593e+06 ; -3.009355e+07 + i 4.708240e+06 ; -7.770788e+06 + i 1.445066e+06 ; -3.136650e+07 + i 2.342351e+06 ; -1.268820e+07 + i 2.127633e+06 ; -1.002505e+06 + i 3.076986e+05 ; 1.869112e+06 + i 4.110807e+05 ; -3.388030e+07 + i 5.846592e+06 ; 6.312609e+06 + i -3.311649e+05 ; -3.273112e+05 + i 3.945846e+05 ; -1.404814e+07 + i 2.420819e+06 ; 2.166905e+06 + i -1.616569e+05 ; 
-1.288691e+07 + i -5.696173e+05 ; 8.239203e+07 + i -1.848138e+06 ; -1.365049e+09 + i 1.497050e+08 ; -4.032627e+07 + i 2.003250e+06 ; 4.304934e+07 + i -1.926844e+06 ; -2.668679e+08 + i 5.011177e+07 ; -1.780627e+07 + i -2.064536e+06 ; 1.950926e+07 + i 2.199736e+06 ; -8.924512e+09 + i 5.848086e+08 ; -7.802912e+07 + i 2.166962e+06 ; 1.420959e+07 + i 6.100394e+05 ; -1.363443e+09 + i 1.496715e+08 ; 4.288415e+07 + i -3.510205e+06 ; -7.641840e+08 + i 8.378581e+07 ; -2.967493e+08 + i -1.333399e+07 ; 2.080127e+08 + i -2.955536e+07 ; -2.104830e+08 + i 2.928281e+07 ; -1.462313e+08 + i 1.697096e+07 ; 1.536830e+08 + i -4.331723e+06 ; -1.562008e+08 + i 3.666826e+06 ; 2.880576e+09 + i -3.169223e+08 ; 7.453094e+08 + i -8.525506e+07 ; -4.231119e+07 + i 3.383774e+06 ; -2.953965e+08 + i -1.339330e+07 ; -1.879404e+06 + i -4.295732e+05 ; 6.507902e+06 + i -3.078798e+05 ; -3.388024e+07 + i 5.847088e+06 ; 3.218623e+05 + i -4.054909e+05 ; 2.233848e+06 + i -1.553595e+05 ; -1.404677e+07 + i 2.421491e+06 ; 8.476824e+05 + i -6.057192e+05 ; 3.896163e+06 + i -7.904481e+04 ; -4.306595e+07 + i 7.284429e+06 ; 1.835817e+06 + i -4.513149e+05 ; 1.596744e+06 + i -8.468654e+04 ; -1.662592e+07 + i 2.728141e+06 ; 5.896466e+07 + i -5.696937e+06 ; -8.013945e+06 + i 1.450464e+06 ; -3.007367e+07 + i 4.716093e+06 ; 3.136185e+07 + i -2.349902e+06 ; -1.033827e+06 + i 3.126818e+05 ; -1.268474e+07 + i 2.128920e+06 ; 8.963366e+07 + i -7.287259e+06 ; 1.602465e+06 + i 4.481752e+04 ; -3.919791e+07 + i 5.633042e+06 ; 4.247278e+07 + i -2.441598e+06 ; 1.072614e+06 + i -3.300110e+04 ; -1.483756e+07 + i 2.375875e+06 ; 
-2.891271e+08 + i -1.388779e+07 ; 7.735246e+08 + i -8.324445e+07 ; -4.241933e+07 + i 3.477285e+06 ; -1.348962e+09 + i 1.488059e+08 ; -7.117224e+07 + i 2.833527e+06 ; 1.090116e+07 + i 5.644525e+05 ; 2.893593e+09 + i -3.169945e+08 ; 1.534202e+08 + i -4.738433e+06 ; -1.539597e+08 + i 4.264343e+06 ; -8.895494e+09 + i 5.840359e+08 ; -1.613608e+07 + i -2.191998e+06 ; 1.569176e+07 + i 2.046949e+06 ; -1.420053e+08 + i 1.657117e+07 ; 2.138703e+08 + i -2.925898e+07 ; -2.071815e+08 + i 2.952692e+07 ; -2.596087e+08 + i 4.927294e+07 ; -3.746997e+07 + i 1.755020e+06 ; 3.678417e+07 + i -1.844183e+06 ; -2.881218e+08 + i -1.364462e+07 ; 4.337844e+07 + i -3.381150e+06 ; -7.489654e+08 + i 8.502813e+07 ; -1.349034e+09 + i 1.487943e+08 ; -1.106410e+07 + i -6.025804e+05 ; 7.431986e+07 + i -1.941968e+06 ; 1.318231e+08 + i -2.317603e+07 ; -2.297646e+08 + i 2.539905e+07 ; 2.403745e+07 + i -1.514495e+06 ; 8.884332e+07 + i -1.290718e+07 ; -3.007327e+07 + i 5.594706e+06 ; 3.423863e+06 + i -7.424104e+05 ; 5.565939e+08 + i -5.999729e+07 ; -4.991009e+07 + i 1.227874e+06 ; 4.725245e+07 + i -1.722154e+06 ; 2.296248e+08 + i -1.765793e+07 ; -5.999837e+06 + i 1.046303e+06 ; 5.625813e+06 + i -1.079243e+06 ; 2.161344e+07 + i -8.649320e+06 ; -1.146849e+08 + i 1.429218e+07 ; 1.107679e+08 + i -1.455669e+07 ; 3.471123e+07 + i -8.105611e+06 ; -2.219259e+07 + i 4.035810e+06 ; 2.136852e+07 + i -4.055524e+06 ; 1.315388e+08 + i -2.324033e+07 ; -2.530957e+07 + i 1.310137e+06 ; 2.219344e+08 + i -2.604179e+07 ; 8.871508e+07 + i -1.293899e+07 ; -3.679276e+06 + i 7.189964e+05 ; 2.894784e+07 + i -5.619665e+06 ; 
7.672230e+08 + i -8.313688e+07 ; -2.963391e+08 + i -1.361459e+07 ; -4.127007e+07 + i 3.396629e+06 ; 1.409527e+08 + i -4.358045e+06 ; 2.886681e+09 + i -3.168670e+08 ; -1.524974e+08 + i 4.181527e+06 ; -7.959891e+07 + i 3.149925e+06 ; -1.363310e+09 + i 1.497181e+08 ; 1.411644e+07 + i 5.535136e+05 ; -2.205343e+07 + i -1.927435e+06 ; -8.916152e+09 + i 5.847004e+08 ; 1.929056e+07 + i 2.046753e+06 ; 2.086809e+08 + i -2.910018e+07 ; -1.464057e+08 + i 1.694579e+07 ; -2.058920e+08 + i 2.941373e+07 ; 3.413146e+07 + i -2.996871e+06 ; -2.909657e+08 + i -1.329529e+07 ; -7.467286e+08 + i 8.486269e+07 ; -4.457324e+07 + i 2.074350e+06 ; -2.668584e+08 + i 5.010785e+07 ; 4.230973e+07 + i -2.046871e+06 ; -1.590211e+07 + i -3.507888e+05 ; -1.357529e+09 + i 1.496167e+08 ; 8.103788e+07 + i -2.187603e+06 ; -2.293315e+08 + i 2.595132e+07 ; -1.295571e+08 + i 8.003427e+06 ; -7.946531e+06 + i 5.327767e+05 ; -9.555935e+07 + i 7.536875e+06 ; -3.915818e+07 + i 5.641364e+06 ; 8.216278e+05 + i 1.494004e+05 ; 3.476462e+07 + i -5.608716e+05 ; -2.667974e+08 + i 2.946992e+07 ; 7.277656e+06 + i 1.132521e+05 ; 1.732562e+07 + i 4.881514e+05 ; -4.305631e+07 + i 7.288006e+06 ; 3.070754e+06 + i -1.105536e+05 ; -1.155704e+08 + i 1.446196e+07 ; -8.892967e+07 + i 8.934168e+06 ; -6.172000e+07 + i 8.265468e+06 ; -5.772878e+07 + i 5.769606e+06 ; -3.004954e+07 + i 4.720765e+06 ; -5.621021e+06 + i 1.385310e+06 ; 2.388281e+07 + i -7.934657e+05 ; -1.430842e+08 + i 1.905808e+07 ; 1.649541e+07 + i -6.017543e+05 ; 1.399122e+07 + i 5.359314e+04 ; -3.387605e+07 + i 5.848140e+06 ; 5.215919e+06 + i -3.595286e+05 ; 
