-3.088156e+10 + i 3.564164e+09 ; 3.198259e+06 + i -1.152801e+07 ; 3.198267e+06 + i -1.152898e+07 ; 1.294590e+10 + i -2.372765e+09 ; 2.873284e+08 + i 7.943132e+07 ; 2.873287e+08 + i 7.943188e+07 ; -6.219360e+09 + i 1.230026e+09 ; -1.545106e+08 + i -4.117702e+07 ; -6.703864e+06 + i -9.669504e+06 ; 1.071336e+08 + i -4.923835e+08 ; 3.403736e+09 + i -6.490109e+08 ; 1.096491e+08 + i 2.070950e+07 ; -6.219361e+09 + i 1.230025e+09 ; -6.705502e+06 + i -9.670348e+06 ; -1.545107e+08 + i -4.117700e+07 ; 1.071334e+08 + i -4.923848e+08 ; 1.096436e+08 + i 2.070450e+07 ; 3.403736e+09 + i -6.490111e+08 ; -1.802756e+09 + i 5.403924e+08 ; -9.306789e+07 + i -2.148726e+07 ; -9.306822e+07 + i -2.148747e+07 ; -4.523433e+08 + i -7.104025e+07 ; 1.113327e+09 + i -2.691300e+08 ; 1.113327e+09 + i -2.691304e+08 ; 8.023007e+08 + i -7.238182e+07 ; 1.155726e+07 + i 3.217309e+05 ; 1.155730e+07 + i 3.220506e+05 ; 3.358121e+08 + i -1.894216e+07 ; 1.612001e+06 + i -8.905901e+05 ; 1.612015e+06 + i -8.905873e+05 ; 4.548411e+08 + i -8.485337e+07 ; 2.121521e+08 + i -5.949256e+07 ; 6.760246e+06 + i -6.890146e+05 ; 2.433938e+08 + i -3.064098e+07 ; 6.151993e+07 + i -2.126760e+07 ; 7.030932e+05 + i -9.803597e+05 ; 4.548410e+08 + i -8.485366e+07 ; 6.759294e+06 + i -6.899903e+05 ; 2.121521e+08 + i -5.949258e+07 ; 2.433938e+08 + i -3.064104e+07 ; 7.027502e+05 + i -9.806208e+05 ; 6.151992e+07 + i -2.126761e+07 ; 2.698363e+08 + i -7.558235e+07 ; 1.538474e+08 + i -4.635497e+07 ; 1.538474e+08 + i -4.635496e+07 ; 1.790674e+08 + i -3.415135e+07 ; 5.075077e+07 + i -1.833265e+07 ; 5.075076e+07 + i -1.833269e+07 ; 
-8.132984e+06 + i -1.295507e+06 ; -1.030278e+08 + i 2.854337e+07 ; -3.227663e+06 + i -9.637185e+05 ; -9.551944e+06 + i -4.736428e+05 ; -2.662094e+08 + i 7.210152e+07 ; -6.102351e+06 + i -2.327221e+06 ; -1.249970e+08 + i 2.234815e+06 ; -8.668763e+07 + i 1.999481e+07 ; -1.763107e+06 + i -6.882844e+05 ; -3.202052e+08 + i 2.838976e+07 ; -1.950977e+08 + i 3.155277e+07 ; -1.075586e+06 + i -1.114916e+06 ; -5.754622e+06 + i -3.665597e+05 ; -9.100661e+07 + i 2.623154e+07 ; -5.564011e+06 + i -1.119961e+06 ; -3.557315e+06 + i 1.119185e+06 ; -2.158217e+08 + i 6.066223e+07 ; -1.411560e+07 + i -3.304720e+06 ; -1.022047e+08 + i 4.264614e+06 ; -7.767712e+07 + i 1.900741e+07 ; 1.195037e+07 + i -5.254897e+06 ; -2.309392e+08 + i 2.611862e+07 ; -1.641601e+08 + i 3.130403e+07 ; 5.465308e+07 + i -1.721598e+07 ; 1.512098e+08 + i 4.120145e+07 ; -6.222574e+09 + i 1.228142e+09 ; -6.237722e+06 + i -9.547525e+06 ; -5.504208e+06 + i 1.074215e+07 ; -3.088868e+10 + i 3.560867e+09 ; 3.701271e+06 + i -1.142212e+07 ; -3.432419e+09 + i 6.282610e+08 ; 9.334157e+07 + i -4.964685e+08 ; 1.105966e+08 + i 2.118070e+07 ; -2.917709e+08 + i -8.318325e+07 ; 1.292585e+10 + i -2.379834e+09 ; 2.884109e+08 + i 8.023624e+07 ; 8.988153e+07 + i 2.113965e+07 ; -1.805438e+09 + i 5.389714e+08 ; -9.262876e+07 + i -2.151587e+07 ; 4.564827e+06 + i 9.006016e+06 ; -6.225700e+09 + i 1.227356e+09 ; -1.539421e+08 + i -4.134425e+07 ; -1.128691e+09 + i 2.608591e+08 ; -4.632509e+08 + i -7.366346e+07 ; 1.117182e+09 + i -2.673337e+08 ; -1.133912e+08 + i -2.289950e+07 ; 9.090629e+07 + i -4.972987e+08 ; 3.411165e+09 + i -6.441898e+08 ; 
-8.133003e+06 + i -1.295403e+06 ; -3.227661e+06 + i -9.637217e+05 ; -1.030278e+08 + i 2.854320e+07 ; -9.551952e+06 + i -4.738920e+05 ; -6.102350e+06 + i -2.327219e+06 ; -2.662093e+08 + i 7.210102e+07 ; -5.754634e+06 + i -3.665141e+05 ; -5.564008e+06 + i -1.119961e+06 ; -9.100668e+07 + i 2.623127e+07 ; -3.557307e+06 + i 1.118938e+06 ; -1.411559e+07 + i -3.304695e+06 ; -2.158214e+08 + i 6.066189e+07 ; -1.249970e+08 + i 2.234807e+06 ; -1.763095e+06 + i -6.882617e+05 ; -8.668724e+07 + i 1.999501e+07 ; -3.202052e+08 + i 2.838971e+07 ; -1.075560e+06 + i -1.114860e+06 ; -1.950967e+08 + i 3.155337e+07 ; -1.022047e+08 + i 4.264718e+06 ; 1.195037e+07 + i -5.254900e+06 ; -7.767707e+07 + i 1.900733e+07 ; -2.309392e+08 + i 2.611838e+07 ; 5.465308e+07 + i -1.721598e+07 ; -1.641601e+08 + i 3.130402e+07 ; 1.512097e+08 + i 4.120152e+07 ; -6.237702e+06 + i -9.547573e+06 ; -6.222574e+09 + i 1.228138e+09 ; -5.504164e+06 + i 1.074327e+07 ; 3.701287e+06 + i -1.142215e+07 ; -3.088868e+10 + i 3.560868e+09 ; 8.988161e+07 + i 2.113961e+07 ; -9.262858e+07 + i -2.151549e+07 ; -1.805430e+09 + i 5.389754e+08 ; 4.564890e+06 + i 9.006603e+06 ; -1.539419e+08 + i -4.134360e+07 ; -6.225679e+09 + i 1.227375e+09 ; -3.432419e+09 + i 6.282610e+08 ; 1.105967e+08 + i 2.118098e+07 ; 9.334790e+07 + i -4.964635e+08 ; -2.917709e+08 + i -8.318317e+07 ; 2.884110e+08 + i 8.023661e+07 ; 1.292586e+10 + i -2.379825e+09 ; -1.128691e+09 + i 2.608592e+08 ; 1.117182e+09 + i -2.673338e+08 ; -4.632519e+08 + i -7.366578e+07 ; -1.133913e+08 + i -2.289874e+07 ; 3.411165e+09 + i -6.441898e+08 ; 9.090616e+07 + i -4.972991e+08 ; 
4.548369e+08 + i -8.485414e+07 ; 2.037903e+08 + i -6.094413e+07 ; -1.764255e+07 + i -1.082949e+06 ; 8.422955e+08 + i -2.343881e+08 ; 1.039441e+09 + i -1.981707e+08 ; -5.738135e+07 + i -1.249208e+07 ; 8.023028e+08 + i -7.238157e+07 ; 2.483841e+07 + i 2.485489e+06 ; -2.487733e+07 + i -2.426250e+06 ; 2.480862e+09 + i -4.601657e+08 ; 9.459277e+07 + i 2.512899e+07 ; -9.477628e+07 + i -2.481993e+07 ; 2.698388e+08 + i -7.557930e+07 ; 1.507694e+08 + i -4.634296e+07 ; -1.501400e+08 + i 4.682227e+07 ; 3.012801e+08 + i -1.274850e+08 ; 5.646947e+08 + i -1.217661e+08 ; -5.624556e+08 + i 1.237681e+08 ; 4.548504e+08 + i -8.484779e+07 ; 1.762022e+07 + i 1.129406e+06 ; -2.029491e+08 + i 6.159404e+07 ; 8.423892e+08 + i -2.343497e+08 ; 5.733062e+07 + i 1.269837e+07 ; -1.035422e+09 + i 2.019444e+08 ; -6.188193e+09 + i 1.235542e+09 ; 1.443819e+08 + i 4.009839e+07 ; -2.101571e+06 + i -7.776457e+06 ; 1.073212e+08 + i -4.923460e+08 ; -3.428782e+09 + i 6.300975e+08 ; 1.128636e+08 + i 2.183790e+07 ; -3.083280e+10 + i 3.575782e+09 ; -7.845274e+06 + i 9.638543e+06 ; 7.895283e+06 + i -9.518225e+06 ; 1.294593e+10 + i -2.372720e+09 ; -2.935668e+08 + i -8.376823e+07 ; 2.910408e+08 + i 8.131607e+07 ; -1.782458e+09 + i 5.425846e+08 ; 8.227349e+07 + i 1.930750e+07 ; -8.179998e+07 + i -1.877693e+07 ; -4.523386e+08 + i -7.107135e+07 ; -1.125528e+09 + i 2.624981e+08 ; 1.120793e+09 + i -2.665362e+08 ; -6.188214e+09 + i 1.235530e+09 ; 2.124252e+06 + i 7.853756e+06 ; -1.421450e+08 + i -3.843078e+07 ; 1.069833e+08 + i -4.925051e+08 ; -1.134175e+08 + i -2.251220e+07 ; 3.415111e+09 + i -6.429322e+08 ; 
3.302831e+08 + i -2.841462e+07 ; -1.951360e+08 + i 3.152871e+07 ; -1.613396e+06 + i 7.330056e+05 ; 1.041713e+09 + i -2.019049e+08 ; -3.760268e+08 + i -6.542701e+06 ; -2.011226e+07 + i -3.853571e+06 ; -1.856386e+07 + i -9.341030e+06 ; -2.662099e+08 + i 7.210252e+07 ; 5.019232e+06 + i 2.008483e+06 ; -6.179264e+07 + i -1.731300e+07 ; -1.213977e+09 + i 2.351185e+08 ; 7.828957e+06 + i 4.361165e+06 ; 2.292947e+08 + i -2.917654e+07 ; -1.641877e+08 + i 3.128824e+07 ; -5.028257e+07 + i 1.832938e+07 ; 5.669566e+08 + i -1.234621e+08 ; -3.359107e+08 + i 2.384234e+07 ; -3.198829e+08 + i 7.285076e+07 ; -1.808341e+07 + i -7.948582e+06 ; -2.158219e+08 + i 6.066376e+07 ; 1.288623e+07 + i 2.675448e+06 ; -4.706404e+07 + i -1.213074e+07 ; -7.377454e+08 + i 1.673108e+08 ; 3.338570e+07 + i 8.549197e+06 ; -2.678938e+08 + i -7.472537e+07 ; 1.293351e+10 + i -2.376306e+09 ; -2.877559e+08 + i -8.000569e+07 ; -3.404718e+09 + i 6.460132e+08 ; 9.374783e+07 + i -4.962323e+08 ; -1.103296e+08 + i -2.116813e+07 ; 4.287094e+06 + i 1.265532e+07 ; -3.087419e+10 + i 3.565180e+09 ; -3.118665e+06 + i 1.156640e+07 ; 1.595982e+08 + i 4.273069e+07 ; -6.222605e+09 + i 1.228134e+09 ; 6.522236e+06 + i 9.645814e+06 ; -9.376359e+07 + i -1.689403e+07 ; 9.849662e+07 + i -4.940259e+08 ; -3.409437e+09 + i 6.441543e+08 ; -1.111226e+09 + i 2.693025e+08 ; -4.631277e+08 + i -7.361311e+07 ; -1.117291e+09 + i 2.671930e+08 ; 1.257048e+07 + i 1.036352e+07 ; -6.212571e+09 + i 1.231173e+09 ; 1.553597e+08 + i 4.153421e+07 ; 9.671093e+07 + i 2.251997e+07 ; -1.805441e+09 + i 5.389802e+08 ; 9.289478e+07 + i 2.162732e+07 ; 
1.815256e+07 + i 7.980157e+06 ; 1.291484e+07 + i 2.738551e+06 ; -2.158253e+08 + i 6.066057e+07 ; 4.723842e+07 + i 1.219993e+07 ; 3.345167e+07 + i 8.717363e+06 ; -7.377515e+08 + i 1.673029e+08 ; 1.866785e+07 + i 9.396907e+06 ; 5.025921e+06 + i 2.034964e+06 ; -2.662137e+08 + i 7.209852e+07 ; 6.216974e+07 + i 1.748711e+07 ; 7.831143e+06 + i 4.403873e+06 ; -1.213988e+09 + i 2.351069e+08 ; -2.292435e+08 + i 2.919786e+07 ; -5.049731e+07 + i 1.818404e+07 ; -1.641634e+08 + i 3.129964e+07 ; -5.668523e+08 + i 1.235057e+08 ; -3.211468e+08 + i 7.172974e+07 ; -3.358525e+08 + i 2.386740e+07 ; -3.302164e+08 + i 2.844369e+07 ; -1.589249e+06 + i 7.481393e+05 ; -1.951010e+08 + i 3.154687e+07 ; -1.041591e+09 + i 2.019525e+08 ; -2.005183e+07 + i -3.900712e+06 ; -3.759172e+08 + i -6.493579e+06 ; -1.253510e+07 + i -1.034780e+07 ; 1.556633e+08 + i 4.231418e+07 ; -6.212549e+09 + i 1.231166e+09 ; -9.644145e+07 + i -2.247027e+07 ; 9.309463e+07 + i 2.209666e+07 ; -1.805428e+09 + i 5.389783e+08 ; -4.182536e+06 + i -1.249694e+07 ; -3.174194e+06 + i 1.158942e+07 ; -3.087419e+10 + i 3.565181e+09 ; -1.576590e+08 + i -4.181927e+07 ; 6.512620e+06 + i 9.718760e+06 ; -6.222571e+09 + i 1.228174e+09 ; 9.385629e+07 + i 1.701581e+07 ; -3.422979e+09 + i 6.314930e+08 ; 9.850721e+07 + i -4.940185e+08 ; 1.111336e+09 + i -2.692432e+08 ; -1.122122e+09 + i 2.631183e+08 ; -4.632346e+08 + i -7.365232e+07 ; 2.659464e+08 + i 7.380407e+07 ; -2.882948e+08 + i -8.144984e+07 ; 1.293352e+10 + i -2.376344e+09 ; 3.404619e+09 + i -6.461774e+08 ; -1.109375e+08 + i -2.188095e+07 ; 9.341142e+07 + i -4.963983e+08 ; 
2.434003e+08 + i -3.064278e+07 ; 6.203305e+07 + i -2.094445e+07 ; -7.064098e+05 + i 9.831302e+05 ; 4.548542e+08 + i -8.486109e+07 ; 2.137848e+08 + i -5.828617e+07 ; -6.775654e+06 + i 6.754248e+05 ; 3.358129e+08 + i -1.894249e+07 ; 1.658549e+06 + i -8.991058e+05 ; -1.616995e+06 + i 8.904431e+05 ; 8.023022e+08 + i -7.237975e+07 ; 1.169438e+07 + i 3.696853e+05 ; -1.157998e+07 + i -3.522066e+05 ; 1.790739e+08 + i -3.415102e+07 ; 5.117890e+07 + i -1.807069e+07 ; -5.092052e+07 + i 1.822412e+07 ; 2.698504e+08 + i -7.558460e+07 ; 1.550533e+08 + i -4.549802e+07 ; -1.543357e+08 + i 4.600405e+07 ; 2.433957e+08 + i -3.063866e+07 ; 7.375418e+05 + i -9.942009e+05 ; -6.172292e+07 + i 2.113393e+07 ; 4.548463e+08 + i -8.484672e+07 ; 6.849474e+06 + i -6.723997e+05 ; -2.128123e+08 + i 5.899871e+07 ; 1.073943e+08 + i -4.924702e+08 ; 3.426961e+09 + i -6.275867e+08 ; -1.098296e+08 + i -2.107270e+07 ; -6.219358e+09 + i 1.230033e+09 ; -1.563306e+08 + i -4.176978e+07 ; 6.689690e+06 + i 9.706749e+06 ; 1.294593e+10 + i -2.372740e+09 ; 2.895907e+08 + i 8.120893e+07 ; -2.876955e+08 + i -8.042554e+07 ; -3.088156e+10 + i 3.564166e+09 ; 3.292113e+06 + i -1.156266e+07 ; -3.241070e+06 + i 1.153383e+07 ; -4.522617e+08 + i -7.107007e+07 ; 1.121366e+09 + i -2.624362e+08 ; -1.116671e+09 + i 2.664333e+08 ; -1.802749e+09 + i 5.403910e+08 ; -9.358339e+07 + i -2.215585e+07 ; 9.320973e+07 + i 2.181069e+07 ; 1.071586e+08 + i -4.923580e+08 ; 1.102550e+08 + i 2.148964e+07 ; -3.413444e+09 + i 6.403674e+08 ; -6.219366e+09 + i 1.230012e+09 ; -6.700320e+06 + i -9.764966e+06 ; 1.546881e+08 + i 4.168568e+07 ; 
1.251098e+08 + i -2.051066e+06 ; -8.667878e+07 + i 1.999370e+07 ; 1.764196e+06 + i 6.917865e+05 ; 3.205415e+08 + i -2.794823e+07 ; -1.950731e+08 + i 3.154827e+07 ; 1.075311e+06 + i 1.118062e+06 ; 8.106120e+06 + i 1.321116e+06 ; -1.030276e+08 + i 2.854265e+07 ; 3.230063e+06 + i 9.696398e+05 ; 9.482667e+06 + i 5.222495e+05 ; -2.662105e+08 + i 7.210027e+07 ; 6.106169e+06 + i 2.338838e+06 ; 1.023009e+08 + i -4.116457e+06 ; -7.767035e+07 + i 1.900600e+07 ; -1.197249e+07 + i 5.243249e+06 ; 2.311907e+08 + i -2.580539e+07 ; -1.641444e+08 + i 3.129971e+07 ; -5.474402e+07 + i 1.715448e+07 ; 5.733813e+06 + i 3.861813e+05 ; -9.100673e+07 + i 2.623111e+07 ; 5.568958e+06 + i 1.129710e+06 ; 3.509586e+06 + i -1.089679e+06 ; -2.158233e+08 + i 6.066165e+07 ; 1.412744e+07 + i 3.329964e+06 ; 3.436994e+09 + i -6.241242e+08 ; 9.357897e+07 + i -4.965866e+08 ; -1.106966e+08 + i -2.137424e+07 ; 2.933239e+08 + i 8.301267e+07 ; 1.292586e+10 + i -2.379835e+09 ; -2.886330e+08 + i -8.076548e+07 ; -1.526731e+08 + i -4.078921e+07 ; -6.222607e+09 + i 1.228143e+09 ; 6.231035e+06 + i 9.563512e+06 ; 5.521011e+06 + i -1.073708e+07 ; -3.088868e+10 + i 3.560867e+09 ; -3.721820e+06 + i 1.142330e+07 ; 1.130297e+09 + i -2.595576e+08 ; -4.631850e+08 + i -7.370720e+07 ; -1.118915e+09 + i 2.659722e+08 ; 1.136606e+08 + i 2.296423e+07 ; 9.089558e+07 + i -4.973048e+08 ; -3.416194e+09 + i 6.398329e+08 ; -9.013029e+07 + i -2.117150e+07 ; -1.805441e+09 + i 5.389728e+08 ; 9.270654e+07 + i 2.168085e+07 ; -4.587136e+06 + i -9.021239e+06 ; -6.225700e+09 + i 1.227357e+09 ; 1.540634e+08 + i 4.162580e+07 ; 
-5.760967e+06 + i -3.752085e+05 ; 5.582371e+06 + i 1.157423e+06 ; -9.100673e+07 + i 2.623137e+07 ; -3.563425e+06 + i 1.114931e+06 ; 1.415937e+07 + i 3.401677e+06 ; -2.158216e+08 + i 6.066170e+07 ; -8.140460e+06 + i -1.308604e+06 ; 3.236931e+06 + i 9.865178e+05 ; -1.030278e+08 + i 2.854291e+07 ; -9.562751e+06 + i -4.886181e+05 ; 6.117850e+06 + i 2.372146e+06 ; -2.662093e+08 + i 7.210043e+07 ; -1.023232e+08 + i 4.126062e+06 ; -1.203848e+07 + i 5.210541e+06 ; -7.767708e+07 + i 1.900736e+07 ; -2.312313e+08 + i 2.582496e+07 ; -5.500245e+07 + i 1.697839e+07 ; -1.641601e+08 + i 3.130411e+07 ; -1.251354e+08 + i 2.061028e+06 ; 1.759978e+06 + i 7.044488e+05 ; -8.668725e+07 + i 1.999505e+07 ; -3.205921e+08 + i 2.796915e+07 ; 1.058118e+06 + i 1.134743e+06 ; -1.950968e+08 + i 3.155343e+07 ; 8.994944e+07 + i 2.128134e+07 ; 9.290700e+07 + i 2.215144e+07 ; -1.805431e+09 + i 5.389656e+08 ; 4.565697e+06 + i 9.018238e+06 ; 1.543678e+08 + i 4.242223e+07 ; -6.225677e+09 + i 1.227348e+09 ; 1.513144e+08 + i 4.145181e+07 ; 6.221807e+06 + i 9.620472e+06 ; -6.222574e+09 + i 1.228134e+09 ; -5.521099e+06 + i 1.074640e+07 ; -3.779083e+06 + i 1.144256e+07 ; -3.088868e+10 + i 3.560866e+09 ; -1.130385e+09 + i 2.595967e+08 ; -1.123699e+09 + i 2.620072e+08 ; -4.632521e+08 + i -7.366477e+07 ; -1.137379e+08 + i -2.296344e+07 ; -3.429709e+09 + i 6.270407e+08 ; 9.090555e+07 + i -4.972980e+08 ; -3.436994e+09 + i 6.241093e+08 ; -1.111982e+08 + i -2.179423e+07 ; 9.334805e+07 + i -4.964628e+08 ; -2.919534e+08 + i -8.367392e+07 ; -2.891775e+08 + i -8.226771e+07 ; 1.292586e+10 + i -2.379825e+09 ; 
4.548383e+08 + i -8.485323e+07 ; -1.766675e+07 + i -1.095495e+06 ; 2.038013e+08 + i -6.093457e+07 ; 8.423015e+08 + i -2.343775e+08 ; -5.748844e+07 + i -1.254205e+07 ; 1.039477e+09 + i -1.981475e+08 ; 2.698406e+08 + i -7.557750e+07 ; -1.501609e+08 + i 4.681351e+07 ; 1.507917e+08 + i -4.633321e+07 ; 3.012859e+08 + i -1.274745e+08 ; -5.625250e+08 + i 1.237418e+08 ; 5.647682e+08 + i -1.217363e+08 ; 8.023030e+08 + i -7.238096e+07 ; -2.488455e+07 + i -2.440552e+06 ; 2.484724e+07 + i 2.499822e+06 ; 2.480862e+09 + i -4.601635e+08 ; -9.480453e+07 + i -2.487117e+07 ; 9.462571e+07 + i 2.517927e+07 ; 4.548519e+08 + i -8.484685e+07 ; -2.029587e+08 + i 6.158459e+07 ; 1.764566e+07 + i 1.142623e+06 ; 8.423945e+08 + i -2.343391e+08 ; -1.035456e+09 + i 2.019208e+08 ; 5.744049e+07 + i 1.275014e+07 ; -6.188193e+09 + i 1.235537e+09 ; -2.108984e+06 + i -7.777719e+06 ; 1.442574e+08 + i 3.987771e+07 ; 1.072969e+08 + i -4.923896e+08 ; 1.131603e+08 + i 2.191778e+07 ; -3.428860e+09 + i 6.301035e+08 ; -1.782461e+09 + i 5.425866e+08 ; -8.178828e+07 + i -1.876255e+07 ; 8.225524e+07 + i 1.928182e+07 ; -4.523531e+08 + i -7.109407e+07 ; 1.120920e+09 + i -2.665144e+08 ; -1.125666e+09 + i 2.624687e+08 ; -3.083280e+10 + i 3.575781e+09 ; 7.895686e+06 + i -9.486151e+06 ; -7.846343e+06 + i 9.617757e+06 ; 1.294593e+10 + i -2.372723e+09 ; 2.909590e+08 + i 8.110488e+07 ; -2.934343e+08 + i -8.353744e+07 ; -6.188212e+09 + i 1.235521e+09 ; -1.420405e+08 + i -3.819865e+07 ; 2.112340e+06 + i 7.832107e+06 ; 1.069734e+08 + i -4.925379e+08 ; 3.415195e+09 + i -6.429438e+08 ; -1.137124e+08 + i -2.258492e+07 ; 
1.815660e+07 + i 7.989428e+06 ; -2.158261e+08 + i 6.065966e+07 ; 1.291791e+07 + i 2.737024e+06 ; 4.724989e+07 + i 1.222245e+07 ; -7.377537e+08 + i 1.673004e+08 ; 3.349008e+07 + i 8.719461e+06 ; -2.292744e+08 + i 2.917436e+07 ; -1.641584e+08 + i 3.130273e+07 ; -5.050033e+07 + i 1.818080e+07 ; -5.669401e+08 + i 1.234471e+08 ; -3.358211e+08 + i 2.388160e+07 ; -3.211612e+08 + i 7.171960e+07 ; 1.867312e+07 + i 9.410761e+06 ; -2.662136e+08 + i 7.209842e+07 ; 5.026458e+06 + i 2.035277e+06 ; 6.219257e+07 + i 1.753420e+07 ; -1.213988e+09 + i 2.351063e+08 ; 7.834940e+06 + i 4.406982e+06 ; -3.302581e+08 + i 2.840948e+07 ; -1.950996e+08 + i 3.155154e+07 ; -1.594320e+06 + i 7.452195e+05 ; -1.041741e+09 + i 2.018508e+08 ; -3.759100e+08 + i -6.479224e+06 ; -2.009777e+07 + i -3.915453e+06 ; -1.253910e+07 + i -1.034926e+07 ; -6.212559e+09 + i 1.231158e+09 ; 1.574346e+08 + i 4.288533e+07 ; -9.643627e+07 + i -2.246581e+07 ; -1.805436e+09 + i 5.389709e+08 ; 9.335767e+07 + i 2.215007e+07 ; 9.382074e+07 + i 1.697063e+07 ; 9.881894e+07 + i -4.939161e+08 ; -3.423178e+09 + i 6.313536e+08 ; 1.111484e+09 + i -2.691569e+08 ; -4.631459e+08 + i -7.364681e+07 ; -1.122164e+09 + i 2.631175e+08 ; -4.179954e+06 + i -1.247017e+07 ; -3.087419e+10 + i 3.565184e+09 ; -3.054846e+06 + i 1.170535e+07 ; -1.575783e+08 + i -4.164621e+07 ; -6.222571e+09 + i 1.228172e+09 ; 6.543519e+06 + i 9.738723e+06 ; 2.658954e+08 + i 7.366211e+07 ; 1.293354e+10 + i -2.376321e+09 ; -2.900706e+08 + i -8.202769e+07 ; 3.405131e+09 + i -6.458374e+08 ; 9.340032e+07 + i -4.964353e+08 ; -1.111661e+08 + i -2.187865e+07 ; 
3.303234e+08 + i -2.838283e+07 ; -1.617935e+06 + i 7.303399e+05 ; -1.951339e+08 + i 3.153333e+07 ; 1.041860e+09 + i -2.018091e+08 ; -2.015672e+07 + i -3.868070e+06 ; -3.760181e+08 + i -6.528825e+06 ; 2.293238e+08 + i -2.915614e+07 ; -5.028498e+07 + i 1.832650e+07 ; -1.641822e+08 + i 3.129132e+07 ; 5.670386e+08 + i -1.234128e+08 ; -3.198947e+08 + i 7.284214e+07 ; -3.358784e+08 + i 2.385635e+07 ; -1.857089e+07 + i -9.356489e+06 ; 5.019764e+06 + i 2.009100e+06 ; -2.662096e+08 + i 7.210243e+07 ; -6.182029e+07 + i -1.736210e+07 ; 7.831608e+06 + i 4.364013e+06 ; -1.213977e+09 + i 2.351180e+08 ; -1.808919e+07 + i -7.960082e+06 ; 1.288944e+07 + i 2.674256e+06 ; -2.158225e+08 + i 6.066302e+07 ; -4.707982e+07 + i -1.215869e+07 ; 3.342447e+07 + i 8.551946e+06 ; -7.377474e+08 + i 1.673087e+08 ; -2.677931e+08 + i -7.455358e+07 ; -2.895313e+08 + i -8.057662e+07 ; 1.293353e+10 + i -2.376289e+09 ; -3.405216e+09 + i 6.456708e+08 ; -1.105725e+08 + i -2.117937e+07 ; 9.373264e+07 + i -4.962674e+08 ; -9.374145e+07 + i -1.685837e+07 ; -3.409570e+09 + i 6.440855e+08 ; 9.881812e+07 + i -4.939142e+08 ; -1.111397e+09 + i 2.691841e+08 ; -1.117336e+09 + i 2.671799e+08 ; -4.630410e+08 + i -7.360821e+07 ; 4.286466e+06 + i 1.265056e+07 ; -3.054545e+06 + i 1.162817e+07 ; -3.087419e+10 + i 3.565182e+09 ; 1.594994e+08 + i 4.256864e+07 ; 6.553834e+06 + i 9.670704e+06 ; -6.222605e+09 + i 1.228136e+09 ; 1.256484e+07 + i 1.035635e+07 ; 1.571324e+08 + i 4.210653e+07 ; -6.212581e+09 + i 1.231166e+09 ; 9.669944e+07 + i 2.250618e+07 ; 9.315742e+07 + i 2.168007e+07 ; -1.805458e+09 + i 5.389622e+08 ; 
2.433991e+08 + i -3.064429e+07 ; -7.102815e+05 + i 9.867923e+05 ; 6.203172e+07 + i -2.094885e+07 ; 4.548506e+08 + i -8.486471e+07 ; -6.791113e+06 + i 6.800197e+05 ; 2.137842e+08 + i -5.829391e+07 ; 1.790720e+08 + i -3.415348e+07 ; -5.092492e+07 + i 1.822688e+07 ; 5.118252e+07 + i -1.807333e+07 ; 2.698443e+08 + i -7.559089e+07 ; -1.543507e+08 + i 4.600654e+07 ; 1.550670e+08 + i -4.549995e+07 ; 3.358126e+08 + i -1.894280e+07 ; -1.614519e+06 + i 8.968728e+05 ; 1.655203e+06 + i -9.052647e+05 ; 8.023017e+08 + i -7.238079e+07 ; -1.157421e+07 + i -3.373726e+05 ; 1.168622e+07 + i 3.551282e+05 ; 2.433947e+08 + i -3.064059e+07 ; -6.172241e+07 + i 2.113860e+07 ; 7.406469e+05 + i -9.977571e+05 ; 4.548433e+08 + i -8.485231e+07 ; -2.128135e+08 + i 5.900712e+07 ; 6.863472e+06 + i -6.768363e+05 ; 1.073591e+08 + i -4.925381e+08 ; -1.101190e+08 + i -2.115168e+07 ; 3.427041e+09 + i -6.275645e+08 ; -6.219360e+09 + i 1.230033e+09 ; 6.700716e+06 + i 9.716814e+06 ; -1.561833e+08 + i -4.152462e+07 ; -4.522872e+08 + i -7.111438e+07 ; -1.116799e+09 + i 2.664024e+08 ; 1.121504e+09 + i -2.623744e+08 ; -1.802762e+09 + i 5.403898e+08 ; 9.319529e+07 + i 2.179459e+07 ; -9.356380e+07 + i -2.212870e+07 ; 1.294593e+10 + i -2.372745e+09 ; -2.875878e+08 + i -8.018644e+07 ; 2.894347e+08 + i 8.095351e+07 ; -3.088156e+10 + i 3.564165e+09 ; -3.241751e+06 + i 1.152321e+07 ; 3.290637e+06 + i -1.156666e+07 ; 1.071381e+08 + i -4.924324e+08 ; -3.413526e+09 + i 6.403583e+08 ; 1.105428e+08 + i 2.155781e+07 ; -6.219365e+09 + i 1.230003e+09 ; 1.545591e+08 + i 4.142702e+07 ; -6.690765e+06 + i -9.776694e+06 ; 
