-4.960167e+09 + i 2.909118e+10 ; -3.238154e+08 + i 5.980237e+08 ; -3.251733e+08 + i 6.005897e+08 ; -8.591615e+09 + i -8.387720e+09 ; -4.720170e+08 + i -1.553606e+09 ; -4.743966e+08 + i -1.554489e+09 ; 2.797047e+09 + i 3.766045e+09 ; 1.260749e+08 + i 7.840740e+08 ; 1.373867e+08 + i 5.033744e+08 ; -4.810270e+08 + i 4.331695e+09 ; -2.646030e+09 + i -1.509903e+09 ; -5.394331e+08 + i -1.364396e+08 ; 2.798946e+09 + i 3.769386e+09 ; 1.395650e+08 + i 5.000381e+08 ; 1.273893e+08 + i 7.811479e+08 ; -4.824850e+08 + i 4.336084e+09 ; -5.328533e+08 + i -1.323918e+08 ; -2.645376e+09 + i -1.510081e+09 ; 2.474976e+09 + i 5.448939e+07 ; 3.071318e+08 + i 4.790176e+08 ; 3.101420e+08 + i 4.815336e+08 ; 2.799895e+09 + i 5.787975e+08 ; -9.377589e+08 + i 5.799710e+07 ; -9.356368e+08 + i 5.907072e+07 ; -2.953013e+08 + i -1.188652e+09 ; -7.085234e+07 + i 7.649835e+07 ; -7.153926e+07 + i 7.640344e+07 ; 1.049676e+08 + i -6.459490e+08 ; 2.826601e+07 + i 4.275916e+07 ; 2.819643e+07 + i 4.309885e+07 ; -7.259750e+08 + i -1.959906e+07 ; -1.520046e+08 + i 1.070934e+08 ; -1.995332e+07 + i 9.335259e+07 ; -4.998513e+08 + i -1.860796e+08 ; 1.056386e+07 + i 4.858925e+07 ; 4.099957e+07 + i 3.257013e+07 ; -7.255921e+08 + i -1.775628e+07 ; -1.886546e+07 + i 9.361131e+07 ; -1.523500e+08 + i 1.068588e+08 ; -5.001976e+08 + i -1.849119e+08 ; 4.116416e+07 + i 3.219973e+07 ; 1.031457e+07 + i 4.862188e+07 ; -4.063602e+08 + i 6.726842e+08 ; -7.503052e+07 + i 1.118794e+08 ; -7.513887e+07 + i 1.112287e+08 ; -5.231939e+08 + i 4.592194e+08 ; 2.588564e+07 + i 3.737919e+07 ; 2.576305e+07 + i 3.723130e+07 ; 
-1.462475e+08 + i -5.813919e+08 ; -9.287974e+07 + i -5.821914e+08 ; 2.495648e+09 + i 1.164384e+08 ; -8.289037e+06 + i -5.347363e+08 ; 1.342207e+08 + i -7.793599e+08 ; 2.793893e+09 + i 3.696780e+09 ; 9.974938e+07 + i -7.954944e+08 ; 4.648025e+07 + i -5.552541e+08 ; 2.775237e+09 + i 3.782399e+09 ; 4.409382e+08 + i -4.680813e+08 ; 4.876417e+08 + i -4.688153e+08 ; -4.961121e+09 + i 2.897925e+10 ; 9.661907e+08 + i 3.316195e+08 ; 9.678857e+08 + i 3.829654e+08 ; 2.932246e+09 + i 6.087187e+08 ; 5.636526e+08 + i 3.310531e+08 ; 1.945919e+09 + i 2.322101e+09 ; -4.012970e+08 + i 4.349764e+09 ; 1.973237e+09 + i 2.268538e+09 ; 5.837618e+08 + i 3.969937e+08 ; -4.300985e+08 + i 4.434713e+09 ; -9.407587e+07 + i 1.476484e+09 ; -9.673349e+07 + i 1.577178e+09 ; -8.643102e+09 + i -8.367773e+09 ; 1.306408e+08 + i 2.666439e+08 ; -2.500691e+07 + i -1.653139e+08 ; 6.737183e+08 + i 2.522082e+08 ; 5.893377e+07 + i 2.814437e+08 ; -5.476829e+07 + i -4.668859e+07 ; 2.292833e+08 + i -1.881448e+08 ; 2.615387e+07 + i 3.652208e+08 ; 2.917001e+07 + i -1.295077e+08 ; 6.742270e+08 + i 7.601703e+08 ; -9.686006e+07 + i 3.041933e+08 ; -4.532797e+07 + i -4.919354e+07 ; 2.984050e+08 + i -8.016709e+07 ; -3.914890e+08 + i -1.876622e+08 ; 1.885313e+08 + i 6.875666e+07 ; 5.976987e+08 + i 3.362925e+08 ; -2.524663e+08 + i -2.063762e+08 ; 1.220556e+07 + i -3.770359e+07 ; 2.315342e+08 + i -1.944729e+08 ; -7.043873e+08 + i -6.439388e+08 ; 6.553386e+06 + i 2.815426e+07 ; 2.729644e+08 + i 8.406551e+08 ; -2.281211e+08 + i -5.700610e+08 ; 2.934512e+06 + i -2.600085e+07 ; 3.302593e+08 + i -5.534321e+07 ; 
2.793732e+09 + i 3.722087e+09 ; 1.101998e+08 + i 5.108908e+08 ; -1.674696e+08 + i -8.037925e+08 ; -5.269650e+08 + i 4.350299e+09 ; -5.722874e+08 + i -1.579746e+08 ; 2.246148e+09 + i 2.415594e+09 ; 2.444626e+09 + i 6.673271e+07 ; 2.682132e+08 + i 5.061582e+08 ; -1.900221e+08 + i -5.345836e+08 ; 2.803326e+09 + i 6.048141e+08 ; -9.554681e+08 + i 1.741819e+07 ; 1.014729e+09 + i 2.313978e+08 ; -4.941651e+09 + i 2.903737e+10 ; -3.350976e+08 + i 5.818289e+08 ; 3.828885e+08 + i -6.058642e+08 ; -8.629830e+09 + i -8.403703e+09 ; -4.161456e+08 + i -1.585210e+09 ; 2.535715e+08 + i 1.658803e+09 ; 2.745463e+09 + i 3.759191e+09 ; 9.683801e+07 + i 7.611690e+08 ; -3.510885e+07 + i -5.224389e+08 ; -5.046484e+08 + i 4.348629e+09 ; -2.620226e+09 + i -1.723637e+09 ; 5.684079e+08 + i 2.446533e+08 ; -7.174709e+08 + i -6.567039e+06 ; -2.596440e+07 + i 9.585123e+07 ; 1.888507e+08 + i -8.021927e+07 ; -5.010373e+08 + i -1.768160e+08 ; 3.949750e+07 + i 3.545801e+07 ; 2.746663e+05 + i -5.646349e+07 ; -3.950598e+08 + i 6.732363e+08 ; -8.287484e+07 + i 1.096386e+08 ; 1.083906e+08 + i -1.032793e+08 ; -5.168059e+08 + i 4.643307e+08 ; 2.412623e+07 + i 3.930584e+07 ; -1.782461e+07 + i -4.815366e+07 ; -2.960919e+08 + i -1.189148e+09 ; -7.365340e+07 + i 7.590410e+07 ; 9.922317e+07 + i -6.891853e+07 ; 1.040840e+08 + i -6.508348e+08 ; 2.764022e+07 + i 4.578507e+07 ; -1.947621e+07 + i -5.474955e+07 ; -7.211278e+08 + i -2.082613e+07 ; -1.589508e+08 + i 1.024614e+08 ; 5.011155e+07 + i -1.004777e+08 ; -5.008743e+08 + i -1.867889e+08 ; 9.231310e+06 + i 5.062029e+07 ; -3.496268e+07 + i -4.638566e+07 ; 
7.562282e+07 + i 4.854340e+08 ; 2.817451e+09 + i 3.819392e+09 ; -1.604530e+08 + i -8.069611e+08 ; 2.179995e+08 + i 4.834527e+08 ; 2.522768e+09 + i 1.226779e+08 ; -1.906457e+08 + i -5.335983e+08 ; -5.844867e+08 + i -2.002394e+08 ; -4.570695e+08 + i 4.454597e+09 ; 2.267477e+09 + i 2.421596e+09 ; -9.833262e+08 + i -4.542775e+07 ; 2.941533e+09 + i 6.275993e+08 ; 1.032967e+09 + i 2.391377e+08 ; -3.597431e+08 + i 5.558433e+08 ; -4.982883e+09 + i 2.909027e+10 ; 3.888038e+08 + i -6.095085e+08 ; 5.932211e+07 + i 7.300959e+08 ; 2.741773e+09 + i 3.812216e+09 ; -3.552399e+07 + i -5.221954e+08 ; -4.145228e+08 + i -1.624506e+09 ; -8.665279e+09 + i -8.282500e+09 ; 2.711495e+08 + i 1.662594e+09 ; -2.627726e+09 + i -1.794210e+09 ; -4.449908e+08 + i 4.447851e+09 ; 5.839459e+08 + i 2.505555e+08 ; -1.296291e+08 + i 1.292519e+08 ; 2.162882e+08 + i -1.908399e+08 ; -5.197631e+07 + i -6.284386e+07 ; -1.372298e+08 + i 8.714249e+07 ; -3.842147e+06 + i -8.659197e+07 ; -3.018725e+07 + i -5.848353e+06 ; -2.841295e+08 + i -2.551901e+08 ; 2.280806e+08 + i -1.923077e+08 ; 2.226123e+07 + i -3.347258e+07 ; -1.573308e+08 + i -2.210738e+08 ; -8.969786e+06 + i -8.441203e+07 ; -8.726782e+06 + i -8.520214e+06 ; -1.462103e+08 + i 5.518604e+07 ; 2.892464e+08 + i -8.820097e+07 ; -3.988066e+07 + i -5.660890e+07 ; -1.339567e+08 + i 2.052668e+07 ; 3.393699e+07 + i -7.390624e+07 ; -2.726275e+07 + i -5.474500e+06 ; -2.518013e+08 + i -4.849344e+08 ; 3.292744e+08 + i -5.637104e+07 ; -6.859258e+06 + i -4.051047e+07 ; -5.694074e+07 + i -3.366084e+08 ; 2.830416e+07 + i -7.777732e+07 ; -1.373514e+07 + i -7.163387e+06 ; 
6.481927e+08 + i 1.613388e+09 ; 6.702653e+08 + i 1.583354e+09 ; -8.675259e+09 + i -8.248130e+09 ; 2.611806e+09 + i 1.846530e+09 ; 5.665388e+08 + i 1.514229e+08 ; -4.731838e+08 + i 4.460450e+09 ; 5.530811e+08 + i 1.836633e+08 ; 2.626968e+09 + i 1.778829e+09 ; -4.452388e+08 + i 4.485771e+09 ; 1.008216e+09 + i 8.811275e+07 ; 1.002298e+09 + i 2.581701e+07 ; 2.942012e+09 + i 6.627536e+08 ; 3.447296e+08 + i -6.280526e+08 ; 3.263299e+08 + i -6.590202e+08 ; -4.982366e+09 + i 2.910637e+10 ; -3.179512e+08 + i -7.528057e+08 ; -1.505775e+08 + i -5.354191e+08 ; 2.818526e+09 + i 3.810900e+09 ; -1.195298e+08 + i -5.113368e+08 ; -3.487064e+08 + i -7.828762e+08 ; 2.843236e+09 + i 3.835225e+09 ; -2.481121e+08 + i -4.673661e+08 ; -2.937118e+08 + i -4.846192e+08 ; 2.559097e+09 + i 7.219338e+07 ; 2.305442e+08 + i 4.924312e+08 ; -1.804474e+07 + i -3.629123e+07 ; 3.211853e+08 + i -6.353346e+07 ; 3.905910e+07 + i 3.367167e+08 ; -1.554479e+07 + i -3.440841e+06 ; 2.760651e+07 + i -7.720913e+07 ; 2.773404e+08 + i 2.733920e+08 ; 1.148737e+07 + i -3.648542e+07 ; 2.233072e+08 + i -1.925948e+08 ; 1.450489e+08 + i 2.347128e+08 ; -1.044661e+07 + i -5.328861e+06 ; -8.048693e+06 + i -8.503675e+07 ; 1.224398e+08 + i -7.328013e+07 ; -5.075719e+07 + i -4.493492e+07 ; 2.873808e+08 + i -8.851420e+07 ; 1.223117e+08 + i -3.428643e+07 ; -2.711494e+07 + i 9.024879e+05 ; 3.080280e+07 + i -7.218259e+07 ; 1.179789e+08 + i -1.290940e+08 ; -6.409154e+07 + i -4.814162e+07 ; 2.171147e+08 + i -1.914572e+08 ; 1.277913e+08 + i -8.643630e+07 ; -2.941255e+07 + i 1.938403e+06 ; -6.120620e+06 + i -8.490687e+07 ; 
-5.743766e+08 + i 4.309884e+09 ; 5.987173e+08 + i 2.278660e+08 ; -1.948939e+09 + i -2.342593e+09 ; 2.707152e+09 + i 3.714847e+09 ; -7.313284e+07 + i -4.824871e+08 ; 4.553390e+08 + i 8.483326e+08 ; 2.782917e+09 + i 6.376290e+08 ; 1.015027e+09 + i 5.843244e+07 ; -9.892398e+08 + i -2.670224e+08 ; 2.374405e+09 + i 1.128427e+08 ; -2.150959e+08 + i -4.746666e+08 ; 1.884294e+08 + i 4.419717e+08 ; -8.640423e+09 + i -8.419661e+09 ; 3.528472e+08 + i 1.616513e+09 ; -5.272923e+08 + i -1.745157e+09 ; -4.989253e+09 + i 2.890454e+10 ; 4.074440e+08 + i -5.290109e+08 ; -4.939173e+08 + i 4.025265e+08 ; -5.362282e+08 + i 4.372270e+09 ; 2.579586e+09 + i 1.903944e+09 ; -6.032596e+08 + i -2.475479e+08 ; 2.666351e+09 + i 3.715836e+09 ; -1.835423e+07 + i -6.897946e+08 ; 5.113729e+06 + i 4.381647e+08 ; -8.248916e+08 + i 2.425988e+08 ; -2.615824e+08 + i -1.589215e+08 ; 5.835149e+08 + i 5.959377e+08 ; -7.084447e+08 + i -1.620799e+06 ; -7.438383e+07 + i 1.381222e+08 ; 1.731957e+08 + i -8.149720e+07 ; -2.056017e+08 + i 8.286318e+08 ; -5.171440e+08 + i -1.263223e+08 ; 4.146266e+08 + i 2.316057e+08 ; -3.858524e+08 + i 6.755664e+08 ; -9.521525e+07 + i 1.556912e+08 ; 1.154182e+08 + i -1.017662e+08 ; -1.335882e+09 + i -1.628750e+09 ; -1.917257e+08 + i -4.686013e+08 ; -4.721925e+07 + i 4.257180e+08 ; -3.029824e+08 + i -1.186361e+09 ; -1.638355e+08 + i 1.002118e+08 ; 1.428724e+08 + i -3.494233e+07 ; -8.562369e+08 + i 2.262655e+08 ; -8.189508e+08 + i -5.024562e+08 ; 1.476958e+08 + i 2.030211e+08 ; -7.242750e+08 + i -2.029192e+07 ; -1.819353e+08 + i 1.550031e+08 ; 8.570003e+07 + i -9.289372e+07 ; 
-1.502388e+08 + i -5.510263e+08 ; 2.497688e+09 + i 1.188337e+08 ; -8.718442e+07 + i -5.080461e+08 ; -3.846512e+07 + i -5.108642e+08 ; 2.800198e+09 + i 3.700249e+09 ; -7.986819e+07 + i -7.918692e+08 ; 9.424319e+08 + i 2.165580e+08 ; 2.933940e+09 + i 6.308079e+08 ; 9.909792e+08 + i 3.111416e+08 ; 5.484294e+08 + i 2.238875e+08 ; -4.394359e+08 + i 4.347693e+09 ; 2.030282e+09 + i 2.429440e+09 ; 5.987254e+07 + i -7.429285e+08 ; 2.753265e+09 + i 3.778755e+09 ; 5.781378e+06 + i -4.912264e+08 ; 4.200522e+08 + i -4.894402e+08 ; -4.956021e+09 + i 2.896638e+10 ; 4.042676e+08 + i -5.594588e+08 ; 2.004057e+09 + i 2.394606e+09 ; -4.480413e+08 + i 4.454437e+09 ; 5.495208e+08 + i 2.816683e+08 ; -6.176359e+06 + i 1.525214e+09 ; -8.645320e+09 + i -8.378483e+09 ; 1.242171e+08 + i 1.586586e+09 ; 1.214187e+08 + i 2.728217e+08 ; 6.734153e+08 + i 2.495649e+08 ; -2.612323e+07 + i -1.604244e+08 ; 4.998740e+07 + i 2.839047e+08 ; 2.280411e+08 + i -1.879923e+08 ; -5.392702e+07 + i -4.590625e+07 ; -3.869442e+08 + i -2.119042e+08 ; 5.966537e+08 + i 3.358523e+08 ; 1.951039e+08 + i 7.187896e+07 ; -2.414778e+08 + i -2.191461e+08 ; 2.320899e+08 + i -1.946001e+08 ; 1.385698e+07 + i -3.899529e+07 ; 7.010370e+06 + i 3.835730e+08 ; 6.741271e+08 + i 7.589643e+08 ; 2.452935e+07 + i -1.266161e+08 ; -1.137504e+08 + i 3.111780e+08 ; 2.973977e+08 + i -7.933271e+07 ; -4.464301e+07 + i -4.794237e+07 ; -7.031007e+08 + i -6.435962e+08 ; 2.764325e+08 + i 8.392065e+08 ; 1.322329e+07 + i 3.017372e+07 ; -2.283289e+08 + i -5.685603e+08 ; 3.317462e+08 + i -5.536299e+07 ; 4.609879e+06 + i -2.671989e+07 ; 
-1.954989e+09 + i -2.307692e+09 ; 5.400570e+08 + i 1.405511e+08 ; -5.166458e+08 + i 4.394794e+09 ; -5.397235e+08 + i -1.614087e+09 ; 5.134025e+08 + i 1.665036e+09 ; -8.667520e+09 + i -8.405209e+09 ; -9.535802e+08 + i -2.930206e+08 ; 1.018933e+09 + i 6.265851e+07 ; 2.907365e+09 + i 6.717375e+08 ; -4.898296e+08 + i -1.852135e+08 ; 2.554950e+09 + i 1.942670e+09 ; -4.572595e+08 + i 4.368200e+09 ; 5.412146e+08 + i 9.094209e+08 ; -1.176682e+08 + i -5.384993e+08 ; 2.833564e+09 + i 3.823597e+09 ; -4.339049e+08 + i 4.493718e+08 ; 3.647964e+08 + i -6.335622e+08 ; -4.984385e+09 + i 2.902501e+10 ; 2.226818e+08 + i 5.153613e+08 ; -2.398825e+08 + i -4.601600e+08 ; 2.562400e+09 + i 7.920704e+07 ; 8.224106e+07 + i 5.594654e+08 ; -2.595228e+08 + i -8.299176e+08 ; 2.848245e+09 + i 3.731061e+09 ; 7.534945e+08 + i 6.232883e+08 ; 5.923298e+07 + i 4.097397e+07 ; 3.104651e+08 + i 8.422963e+08 ; 2.672102e+08 + i 5.555528e+08 ; 7.031749e+06 + i -3.420112e+07 ; 3.367629e+08 + i -5.966616e+07 ; 4.177840e+08 + i 1.780005e+08 ; 2.458963e+08 + i 4.723020e+07 ; 6.074273e+08 + i 3.314103e+08 ; 2.664863e+08 + i 1.979853e+08 ; 1.452550e+07 + i -4.748337e+07 ; 2.366071e+08 + i -1.962443e+08 ; 1.150439e+08 + i -3.532046e+08 ; -8.201734e+06 + i -1.521839e+08 ; 6.711213e+08 + i 7.541012e+08 ; 1.738725e+08 + i -2.642802e+08 ; -6.494493e+07 + i -4.548331e+07 ; 2.921973e+08 + i -8.774106e+07 ; -6.694042e+07 + i -2.843953e+08 ; -6.578274e+07 + i -1.712635e+08 ; 6.708734e+08 + i 2.453883e+08 ; -9.855245e+06 + i -2.874637e+08 ; -7.332649e+07 + i -3.965307e+07 ; 2.201578e+08 + i -1.949157e+08 ; 
2.414362e+09 + i 5.810714e+07 ; -9.879775e+07 + i -4.825557e+08 ; -9.809493e+07 + i -4.827058e+08 ; 2.801925e+09 + i 6.114392e+08 ; 9.454395e+08 + i 2.464719e+08 ; 9.454577e+08 + i 2.475281e+08 ; 2.757423e+09 + i 3.724459e+09 ; -1.095658e+07 + i -5.032999e+08 ; -8.904073e+07 + i -7.695945e+08 ; -5.274640e+08 + i 4.370629e+09 ; 5.461053e+08 + i 2.252512e+08 ; 2.018233e+09 + i 2.515217e+09 ; 2.759619e+09 + i 3.728054e+09 ; -8.953005e+07 + i -7.679715e+08 ; -1.321818e+07 + i -5.010604e+08 ; -5.288346e+08 + i 4.374240e+09 ; 2.014773e+09 + i 2.515369e+09 ; 5.427913e+08 + i 2.206186e+08 ; -4.933603e+09 + i 2.899986e+10 ; 4.152088e+08 + i -5.789013e+08 ; 4.114284e+08 + i -5.789259e+08 ; -8.655962e+09 + i -8.404850e+09 ; 1.744764e+08 + i 1.648850e+09 ; 1.751679e+08 + i 1.646081e+09 ; -3.805180e+08 + i 6.697490e+08 ; 1.089350e+08 + i -9.300497e+07 ; 1.092264e+08 + i -9.306262e+07 ; -5.075634e+08 + i 4.659629e+08 ; -1.478590e+07 + i -4.669286e+07 ; -1.482457e+07 + i -4.679904e+07 ; -7.120291e+08 + i -8.312378e+06 ; 5.270952e+07 + i -9.708835e+07 ; 1.844828e+08 + i -6.728536e+07 ; -5.005902e+08 + i -1.786557e+08 ; -3.181342e+07 + i -4.615168e+07 ; 1.994125e+06 + i -5.492724e+07 ; -7.117241e+08 + i -6.485141e+06 ; 1.842977e+08 + i -6.724337e+07 ; 5.227180e+07 + i -9.730439e+07 ; -5.009097e+08 + i -1.775216e+08 ; 2.159832e+06 + i -5.474679e+07 ; -3.190182e+07 + i -4.594435e+07 ; -2.945306e+08 + i -1.184760e+09 ; 9.672812e+07 + i -6.396044e+07 ; 9.692441e+07 + i -6.370845e+07 ; 1.036274e+08 + i -6.504759e+08 ; -1.718709e+07 + i -5.489845e+07 ; -1.728637e+07 + i -5.465146e+07 ; 
5.588700e+08 + i 1.919000e+08 ; -5.009769e+08 + i 4.440966e+09 ; -1.931828e+09 + i -2.372858e+09 ; 1.003420e+09 + i 1.107400e+08 ; 2.906539e+09 + i 6.674687e+08 ; -9.147751e+08 + i -2.901584e+08 ; -6.971434e+07 + i -5.011761e+08 ; 2.839650e+09 + i 3.832962e+09 ; 4.569099e+08 + i 8.655809e+08 ; -1.933784e+08 + i -4.412063e+08 ; 2.561276e+09 + i 8.246611e+07 ; 1.654579e+08 + i 4.977933e+08 ; 4.965219e+08 + i 1.672752e+09 ; -8.703280e+09 + i -8.298121e+09 ; -5.425675e+08 + i -1.715085e+09 ; 2.543282e+09 + i 1.989887e+09 ; -5.124789e+08 + i 4.466174e+09 ; -5.565368e+08 + i -2.429733e+08 ; 4.014284e+08 + i -6.033743e+08 ; -4.978023e+09 + i 2.912835e+10 ; -5.166597e+08 + i 4.549988e+08 ; -1.987741e+08 + i -7.651918e+08 ; 2.824013e+09 + i 3.831075e+09 ; -3.064571e+07 + i 5.250996e+08 ; 2.717174e+08 + i 2.849675e+08 ; 2.224329e+08 + i -1.873761e+08 ; -2.702174e+07 + i 2.685027e+07 ; 1.416937e+08 + i 2.409953e+08 ; -6.149863e+06 + i -8.330492e+07 ; 5.689987e+06 + i 9.573868e+06 ; 1.322518e+08 + i -1.149981e+08 ; 2.167812e+08 + i -1.873566e+08 ; 4.330796e+07 + i 6.429496e+07 ; 1.356585e+08 + i -7.536660e+07 ; -4.557667e+06 + i -8.405138e+07 ; 2.824968e+07 + i 8.616803e+06 ; 2.160672e+08 + i 5.076519e+08 ; 3.185230e+08 + i -5.917809e+07 ; -2.021048e+06 + i 3.434438e+07 ; 2.928374e+07 + i 3.431031e+08 ; 2.876991e+07 + i -7.580417e+07 ; 1.070920e+07 + i 8.865333e+06 ; 1.385712e+08 + i -5.667204e+07 ; 2.871795e+08 + i -8.672209e+07 ; 3.152978e+07 + i 5.733453e+07 ; 1.311445e+08 + i -1.956573e+07 ; 3.224151e+07 + i -7.204782e+07 ; 2.544016e+07 + i 8.181593e+06 ; 
5.563137e+08 + i 1.948926e+08 ; -1.930674e+09 + i -2.372577e+09 ; -5.010375e+08 + i 4.437585e+09 ; 1.005067e+09 + i 1.106729e+08 ; -9.130629e+08 + i -2.910093e+08 ; 2.907426e+09 + i 6.615841e+08 ; 4.933531e+08 + i 1.671231e+09 ; -5.404486e+08 + i -1.713268e+09 ; -8.696150e+09 + i -8.292077e+09 ; 2.543281e+09 + i 1.991350e+09 ; -5.561575e+08 + i -2.422898e+08 ; -4.962865e+08 + i 4.470118e+09 ; -7.141795e+07 + i -4.977827e+08 ; 4.585231e+08 + i 8.708415e+08 ; 2.858297e+09 + i 3.853454e+09 ; -1.906272e+08 + i -4.369358e+08 ; 1.684728e+08 + i 4.992749e+08 ; 2.569907e+09 + i 7.264630e+07 ; 3.962739e+08 + i -6.068573e+08 ; -5.173131e+08 + i 4.542881e+08 ; -4.987162e+09 + i 2.913364e+10 ; -1.991833e+08 + i -7.641947e+08 ; -3.103032e+07 + i 5.237008e+08 ; 2.832795e+09 + i 3.828042e+09 ; 2.725961e+08 + i 2.843392e+08 ; -2.670815e+07 + i 2.671095e+07 ; 2.239119e+08 + i -1.879508e+08 ; 1.424417e+08 + i 2.412769e+08 ; 5.702216e+06 + i 9.405217e+06 ; -6.173820e+06 + i -8.402984e+07 ; 2.154522e+08 + i 5.075309e+08 ; -1.652442e+06 + i 3.451343e+07 ; 3.201498e+08 + i -5.956317e+07 ; 2.873910e+07 + i 3.430704e+08 ; 1.088263e+07 + i 8.772542e+06 ; 2.868505e+07 + i -7.666416e+07 ; 1.327871e+08 + i -1.149736e+08 ; 4.347112e+07 + i 6.439949e+07 ; 2.176179e+08 + i -1.880416e+08 ; 1.358791e+08 + i -7.494227e+07 ; 2.826728e+07 + i 8.567673e+06 ; -4.682113e+06 + i -8.427965e+07 ; 1.395328e+08 + i -5.713843e+07 ; 3.148092e+07 + i 5.752565e+07 ; 2.876657e+08 + i -8.637067e+07 ; 1.315685e+08 + i -1.957098e+07 ; 2.555547e+07 + i 8.243328e+06 ; 3.194536e+07 + i -7.203521e+07 ; 
2.745775e+09 + i 6.485455e+08 ; -9.253861e+08 + i -3.333304e+08 ; -9.256125e+08 + i -3.352133e+08 ; 2.367847e+09 + i 1.254762e+08 ; 8.161752e+07 + i 3.341454e+08 ; 8.049943e+07 + i 3.344547e+08 ; -5.969650e+08 + i 4.330723e+09 ; -5.467754e+08 + i -2.102953e+08 ; -1.817385e+09 + i -2.423111e+09 ; 2.703693e+09 + i 3.730742e+09 ; -3.304336e+07 + i 4.750749e+08 ; 3.238259e+08 + i 7.809055e+08 ; -5.959435e+08 + i 4.333470e+09 ; -1.813565e+09 + i -2.421850e+09 ; -5.425727e+08 + i -2.050948e+08 ; 2.706011e+09 + i 3.735905e+09 ; 3.254829e+08 + i 7.802967e+08 ; -3.074831e+07 + i 4.733408e+08 ; -8.677350e+09 + i -8.464849e+09 ; -3.940805e+08 + i -1.717217e+09 ; -3.939196e+08 + i -1.713034e+09 ; -4.988656e+09 + i 2.891170e+10 ; -5.119372e+08 + i 3.934249e+08 ; -5.083926e+08 + i 3.940391e+08 ; -1.898648e+08 + i 8.146009e+08 ; 4.183647e+08 + i 2.876327e+08 ; 4.188448e+08 + i 2.885246e+08 ; -3.733142e+08 + i 6.708133e+08 ; 1.359693e+08 + i -9.560698e+07 ; 1.364421e+08 + i -9.557059e+07 ; -8.259239e+08 + i 2.346619e+08 ; 1.742641e+08 + i 2.537340e+08 ; 5.580772e+08 + i 6.351066e+08 ; -7.121900e+08 + i -7.529371e+06 ; 1.070639e+08 + i -9.103170e+07 ; 1.850470e+08 + i -7.651867e+07 ; -8.254997e+08 + i 2.356182e+08 ; 5.570383e+08 + i 6.341299e+08 ; 1.735755e+08 + i 2.525305e+08 ; -7.122905e+08 + i -7.091926e+06 ; 1.844876e+08 + i -7.590141e+07 ; 1.061939e+08 + i -9.093730e+07 ; -1.330808e+09 + i -1.627330e+09 ; -4.592005e+07 + i 4.415639e+08 ; -4.561186e+07 + i 4.412294e+08 ; -3.033668e+08 + i -1.187788e+09 ; 1.535204e+08 + i -3.307794e+07 ; 1.526857e+08 + i -3.359779e+07 ; 
-8.968634e+08 + i -2.762351e+08 ; 2.880396e+09 + i 6.785195e+08 ; -9.027155e+08 + i -3.246449e+08 ; -4.995402e+08 + i -1.315457e+08 ; -5.035586e+08 + i 4.331970e+09 ; -1.790412e+09 + i -2.405155e+09 ; 1.404509e+08 + i 4.016905e+08 ; 2.551943e+09 + i 9.890678e+07 ; 7.939028e+07 + i 3.940943e+08 ; 2.051684e+07 + i 5.108729e+08 ; 2.849078e+09 + i 3.734607e+09 ; 3.285217e+08 + i 8.465403e+08 ; -1.813698e+09 + i -2.350013e+09 ; -5.439730e+08 + i 4.408461e+09 ; -5.201494e+08 + i -1.948339e+08 ; -3.680618e+08 + i -1.595942e+09 ; -8.688521e+09 + i -8.437250e+09 ; -3.696985e+08 + i -1.697021e+09 ; 3.680649e+08 + i 8.728301e+08 ; 2.830072e+09 + i 3.841329e+09 ; -4.292749e+07 + i 5.248644e+08 ; -4.638705e+08 + i 4.544858e+08 ; -4.968744e+09 + i 2.904218e+10 ; -5.201099e+08 + i 4.462991e+08 ; 3.781413e+08 + i 1.938915e+08 ; 5.998695e+08 + i 3.326235e+08 ; -1.941855e+08 + i -9.067907e+07 ; 2.363431e+08 + i 2.007550e+08 ; 2.354913e+08 + i -1.917827e+08 ; -1.924300e+07 + i 3.796637e+07 ; -7.181572e+07 + i -3.033163e+08 ; 6.680312e+08 + i 2.459272e+08 ; 1.466103e+07 + i 1.560693e+08 ; -4.960671e+06 + i -2.961698e+08 ; 2.204754e+08 + i -1.925653e+08 ; 4.905950e+07 + i 5.000651e+07 ; 6.930048e+08 + i 6.502856e+08 ; 3.028490e+08 + i 8.389153e+08 ; -1.787899e+07 + i -3.909921e+07 ; 2.225567e+08 + i 5.611380e+08 ; 3.354408e+08 + i -5.689462e+07 ; -9.108054e+06 + i 2.590323e+07 ; 9.694309e+07 + i -3.524004e+08 ; 6.739327e+08 + i 7.546847e+08 ; -3.333554e+07 + i 1.237720e+08 ; 1.653796e+08 + i -2.658598e+08 ; 2.944997e+08 + i -8.634715e+07 ; 4.032754e+07 + i 5.091372e+07 ; 
