5.340975e+08 + i 4.387093e+09 ; 5.155150e+07 + i 9.737573e+07 ; 5.243182e+07 + i 9.751481e+07 ; -1.645889e+09 + i -2.534581e+08 ; -2.205049e+08 + i -9.477178e+07 ; -2.204815e+08 + i -9.445743e+07 ; 6.239841e+08 + i 3.240116e+08 ; 1.004960e+08 + i 7.020518e+07 ; 9.144592e+07 + i 2.897106e+06 ; 4.005164e+08 + i 5.745790e+08 ; -3.789573e+08 + i 5.900513e+07 ; -5.711481e+07 + i 6.168501e+07 ; 6.244357e+08 + i 3.230211e+08 ; 9.051289e+07 + i 2.271189e+06 ; 9.946421e+07 + i 7.036803e+07 ; 4.019777e+08 + i 5.750431e+08 ; -5.600654e+07 + i 6.021722e+07 ; -3.791512e+08 + i 5.893810e+07 ; 3.128933e+08 + i -4.077031e+08 ; 9.873597e+07 + i -1.117805e+07 ; 9.920566e+07 + i -1.204677e+07 ; 3.629036e+08 + i -3.993242e+08 ; -7.406436e+07 + i 9.499054e+07 ; -7.389350e+07 + i 9.413500e+07 ; -1.604895e+08 + i -1.370514e+08 ; 5.961218e+06 + i 1.511453e+07 ; 6.105800e+06 + i 1.534848e+07 ; -6.409958e+07 + i -1.177317e+08 ; 6.293306e+06 + i -2.613875e+06 ; 6.406696e+06 + i -2.691689e+06 ; -7.731741e+07 + i 7.834842e+07 ; 1.317598e+06 + i 2.240420e+07 ; 1.279650e+07 + i 8.185359e+06 ; -7.849731e+07 + i 3.794339e+07 ; 4.892877e+06 + i -1.001817e+06 ; 4.464168e+06 + i -6.230381e+06 ; -7.681389e+07 + i 7.797543e+07 ; 1.289778e+07 + i 7.881116e+06 ; 1.387043e+06 + i 2.258773e+07 ; -7.818648e+07 + i 3.781825e+07 ; 4.384026e+06 + i -6.241658e+06 ; 4.988159e+06 + i -1.003519e+06 ; 1.076720e+08 + i 1.177889e+08 ; 9.460831e+06 + i 1.289739e+07 ; 9.253006e+06 + i 1.303730e+07 ; 7.034109e+07 + i 1.216578e+08 ; 3.298080e+06 + i -4.789306e+06 ; 3.296949e+06 + i -4.703558e+06 ; 
-1.178860e+08 + i -4.517699e+07 ; -1.173506e+08 + i -5.537287e+07 ; 3.262577e+08 + i -3.994398e+08 ; -1.042428e+08 + i -4.648752e+07 ; -6.860133e+07 + i -1.186842e+08 ; 6.054592e+08 + i 3.217146e+08 ; -7.349649e+07 + i -1.150353e+08 ; -1.059260e+08 + i -5.795031e+07 ; 6.169380e+08 + i 3.333306e+08 ; -1.457085e+07 + i -1.147876e+08 ; -1.035653e+07 + i -1.210465e+08 ; 4.992531e+08 + i 4.376581e+09 ; 1.617372e+08 + i -7.133752e+07 ; 1.690695e+08 + i -6.538083e+07 ; 3.747911e+08 + i -4.240069e+08 ; 1.207859e+08 + i -6.029767e+07 ; 4.205780e+08 + i 1.428321e+08 ; 4.118713e+08 + i 5.635195e+08 ; 4.163496e+08 + i 1.310613e+08 ; 1.298859e+08 + i -5.412200e+07 ; 4.226154e+08 + i 5.773129e+08 ; 1.519690e+08 + i 1.969663e+08 ; 1.635801e+08 + i 2.123150e+08 ; -1.650040e+09 + i -2.295418e+08 ; 4.784881e+07 + i 1.150763e+06 ; -1.970169e+07 + i -1.574829e+07 ; 9.763929e+07 + i -4.751064e+07 ; 4.761482e+07 + i 7.589951e+06 ; -9.960976e+06 + i 3.584330e+06 ; -2.284559e+07 + i -4.314095e+07 ; 4.376824e+07 + i 4.002750e+07 ; -1.179241e+07 + i -1.746747e+07 ; 1.436563e+08 + i 4.236824e+07 ; 2.962674e+07 + i 4.637431e+07 ; -9.347541e+06 + i 2.860897e+06 ; 1.526557e+07 + i -4.086878e+07 ; -5.459074e+07 + i 1.328094e+07 ; 1.937279e+07 + i -2.542895e+06 ; 9.639666e+07 + i -3.810697e+07 ; -4.471057e+07 + i 7.410574e+06 ; -6.636902e+05 + i -2.454152e+06 ; -2.366559e+07 + i -4.143225e+07 ; -1.390008e+08 + i -1.633983e+07 ; -8.098002e+05 + i 6.789033e+06 ; 1.166086e+08 + i 7.531785e+07 ; -9.018298e+07 + i -4.407868e+07 ; -6.349888e+05 + i -1.498173e+06 ; 1.877015e+07 + i -4.083661e+07 ; 
6.082178e+08 + i 3.167436e+08 ; 9.240372e+07 + i 1.056969e+07 ; -9.983684e+07 + i -6.412852e+07 ; 4.018186e+08 + i 5.835408e+08 ; -6.328060e+07 + i 6.531136e+07 ; 4.916677e+08 + i 7.412026e+07 ; 3.172693e+08 + i -3.971780e+08 ; 1.044940e+08 + i -8.909195e+05 ; -1.082526e+08 + i -1.920476e+07 ; 3.680281e+08 + i -4.010536e+08 ; -7.919563e+07 + i 9.196719e+07 ; 1.247921e+08 + i -9.710572e+07 ; 5.165317e+08 + i 4.377228e+09 ; 4.586820e+07 + i 9.849769e+07 ; -5.049227e+07 + i -1.084491e+08 ; -1.648582e+09 + i -2.440780e+08 ; -2.198683e+08 + i -1.062552e+08 ; 2.239020e+08 + i 1.478852e+08 ; 6.224700e+08 + i 3.417614e+08 ; 9.171850e+07 + i 7.606253e+07 ; -9.725175e+07 + i -2.596092e+07 ; 4.049995e+08 + i 5.817392e+08 ; -4.029867e+08 + i 4.173767e+07 ; 7.781378e+07 + i -6.633901e+07 ; -7.288775e+07 + i 7.755597e+07 ; 1.262172e+07 + i 9.205962e+06 ; 2.723893e+06 + i -2.707292e+07 ; -7.546489e+07 + i 3.911664e+07 ; 4.921049e+06 + i -5.848843e+06 ; -6.713589e+06 + i 3.368463e+05 ; 1.072327e+08 + i 1.143495e+08 ; 8.602376e+06 + i 1.396102e+07 ; -8.469069e+06 + i -1.737325e+07 ; 7.184879e+07 + i 1.191668e+08 ; 3.560727e+06 + i -4.509554e+06 ; -5.392185e+06 + i 5.005955e+06 ; -1.602794e+08 + i -1.358679e+08 ; 5.730547e+06 + i 1.569171e+07 ; -3.654370e+06 + i -2.100667e+07 ; -6.552831e+07 + i -1.158995e+08 ; 6.917241e+06 + i -2.601457e+06 ; -8.411512e+06 + i 1.398745e+06 ; -7.876826e+07 + i 7.700414e+07 ; 6.390832e+05 + i 2.297002e+07 ; -1.386410e+07 + i -1.391034e+07 ; -7.864122e+07 + i 3.851924e+07 ; 5.352110e+06 + i -1.083101e+06 ; -6.686510e+06 + i 5.935853e+06 ; 
8.676700e+07 + i 1.713307e+07 ; 6.269265e+08 + i 3.222790e+08 ; -1.007155e+08 + i -6.562170e+07 ; 9.927084e+07 + i 8.310031e+06 ; 3.299809e+08 + i -4.128779e+08 ; -1.081956e+08 + i -1.828876e+07 ; -6.920654e+07 + i 6.377658e+07 ; 4.209781e+08 + i 5.869598e+08 ; 4.932681e+08 + i 7.081385e+07 ; -8.794459e+07 + i 9.005104e+07 ; 3.761595e+08 + i -4.284116e+08 ; 1.264094e+08 + i -1.003569e+08 ; 4.132238e+07 + i 1.011179e+08 ; 5.147464e+08 + i 4.395579e+09 ; -5.118932e+07 + i -1.093195e+08 ; 8.563103e+07 + i 8.023091e+07 ; 6.291437e+08 + i 3.503618e+08 ; -9.735786e+07 + i -2.495084e+07 ; -2.232092e+08 + i -1.113034e+08 ; -1.643756e+09 + i -2.198620e+08 ; 2.249304e+08 + i 1.452540e+08 ; -4.103884e+08 + i 3.441860e+07 ; 4.246166e+08 + i 5.805471e+08 ; 7.894154e+07 + i -6.912415e+07 ; 1.859622e+07 + i 3.388324e+07 ; -2.214083e+07 + i -3.904525e+07 ; -1.095465e+07 + i 3.659776e+06 ; 1.229999e+07 + i 3.149775e+07 ; -1.095785e+07 + i 8.529121e+06 ; -5.656891e+05 + i 3.309700e+06 ; -5.433419e+07 + i 4.586668e+06 ; -2.213342e+07 + i -4.050901e+07 ; -3.009068e+06 + i -3.816503e+06 ; -4.034277e+07 + i -2.842176e+06 ; -1.044465e+07 + i 8.984024e+06 ; -7.239308e+05 + i 4.485929e+05 ; -1.817843e+06 + i 2.745175e+07 ; 1.357749e+07 + i -3.863488e+07 ; -9.230371e+06 + i 3.317641e+06 ; -4.670286e+06 + i 2.274187e+07 ; -5.129572e+06 + i -2.819569e+06 ; -3.054053e+05 + i 3.017718e+06 ; -7.774744e+07 + i -3.047464e+07 ; 1.863483e+07 + i -4.050615e+07 ; -6.453978e+06 + i -2.243342e+06 ; -4.602325e+07 + i -3.336210e+07 ; -5.641204e+06 + i -2.376558e+06 ; -1.090988e+06 + i 7.572227e+05 ; 
2.357519e+08 + i 6.552187e+07 ; 2.348207e+08 + i 5.648177e+07 ; -1.631548e+09 + i -2.115891e+08 ; 4.277242e+08 + i -2.862216e+07 ; 6.026246e+07 + i -6.878857e+07 ; 4.271476e+08 + i 5.855312e+08 ; 6.447722e+07 + i -6.189439e+07 ; 4.215363e+08 + i -3.930051e+07 ; 4.316493e+08 + i 5.805723e+08 ; 9.877826e+07 + i -1.005845e+08 ; 8.939413e+07 + i -1.063193e+08 ; 3.885786e+08 + i -4.316610e+08 ; -6.409490e+07 + i -9.986049e+07 ; -6.973397e+07 + i -9.739703e+07 ; 5.194768e+08 + i 4.395087e+09 ; -1.063922e+08 + i -2.986275e+07 ; -9.913279e+07 + i 5.007637e+06 ; 6.265614e+08 + i 3.280499e+08 ; -9.379260e+07 + i -1.523254e+06 ; -1.117168e+08 + i -2.636756e+07 ; 6.312760e+08 + i 3.246687e+08 ; -9.655953e+07 + i 2.018136e+06 ; -1.006850e+08 + i 1.045150e+07 ; 3.130195e+08 + i -4.197172e+08 ; 7.990690e+07 + i 3.524770e+07 ; -5.832136e+06 + i -1.238502e+05 ; 1.547615e+07 + i -3.933483e+07 ; 4.649574e+07 + i 3.794181e+07 ; -7.543913e+05 + i 1.028076e+06 ; -5.698747e+06 + i -1.727357e+06 ; 6.000418e+07 + i -4.284560e+06 ; -3.481822e+06 + i -2.307131e+06 ; -2.318391e+07 + i -3.941195e+07 ; 4.536872e+07 + i 4.887852e+06 ; -5.203245e+05 + i 5.080705e+05 ; -1.097488e+07 + i 9.432033e+06 ; -4.685043e+06 + i -2.313878e+07 ; -6.486406e+06 + i 5.263800e+06 ; 1.300875e+07 + i -3.842703e+07 ; 1.658695e+05 + i -2.046264e+07 ; 7.191130e+05 + i 2.498806e+06 ; -4.472214e+06 + i -2.118515e+06 ; -2.028595e+07 + i -3.216174e+07 ; -7.885243e+06 + i 6.071889e+06 ; -2.294285e+07 + i -3.973180e+07 ; -1.291914e+07 + i -3.010032e+07 ; 5.917221e+05 + i 2.585580e+06 ; -1.021417e+07 + i 8.955521e+06 ; 
3.839675e+08 + i 5.871593e+08 ; 7.997138e+07 + i -6.624819e+07 ; -4.246084e+08 + i -1.515329e+08 ; 6.044161e+08 + i 3.268844e+08 ; -9.184465e+07 + i -1.127053e+07 ; 1.619416e+08 + i -4.721052e+06 ; 3.789932e+08 + i -3.945403e+08 ; 9.524611e+07 + i -9.874054e+07 ; -1.275766e+08 + i 8.154120e+07 ; 3.155604e+08 + i -3.852756e+08 ; -9.948741e+07 + i -3.826604e+06 ; 8.757232e+07 + i 4.292602e+06 ; -1.655194e+09 + i -2.418515e+08 ; 2.173722e+08 + i 1.208395e+08 ; -2.767354e+08 + i -9.293682e+07 ; 5.072824e+08 + i 4.360631e+09 ; -4.159821e+07 + i -1.083633e+08 ; -2.909860e+06 + i 1.244342e+08 ; 4.122566e+08 + i 5.928582e+08 ; 4.234839e+08 + i -1.927250e+07 ; -7.780046e+07 + i 7.686618e+07 ; 6.073125e+08 + i 3.386061e+08 ; -7.534324e+07 + i -8.308758e+07 ; 7.936576e+07 + i 2.838486e+07 ; -5.878262e+07 + i 1.073670e+08 ; -3.651784e+07 + i 2.499208e+07 ; 1.082372e+08 + i 3.919032e+07 ; -7.144096e+07 + i 7.434078e+07 ; 2.310055e+07 + i 1.439514e+07 ; 1.024443e+07 + i -2.437326e+07 ; 1.438346e+08 + i 1.013708e+08 ; -5.524428e+07 + i 4.243115e+07 ; 6.800077e+07 + i -1.241473e+07 ; 1.081612e+08 + i 1.107174e+08 ; 2.128133e+07 + i 1.545543e+07 ; -9.388379e+06 + i -2.414677e+07 ; -2.969111e+08 + i -1.060030e+08 ; -7.125249e+07 + i -2.143084e+07 ; 3.414773e+07 + i 7.205001e+07 ; -1.592299e+08 + i -1.337745e+08 ; 5.282148e+06 + i 2.835104e+07 ; 1.113032e+07 + i -2.020072e+07 ; -6.744221e+07 + i 1.141781e+08 ; -1.237082e+08 + i 1.996147e+07 ; 4.028934e+07 + i 3.070408e+06 ; -7.803245e+07 + i 7.786848e+07 ; 7.146380e+06 + i 3.068308e+07 ; -1.200781e+07 + i -2.135507e+07 ; 
-1.098642e+08 + i -3.829965e+07 ; 3.285545e+08 + i -3.997590e+08 ; -9.626535e+07 + i -4.983830e+07 ; -9.764999e+07 + i -3.285968e+07 ; 6.064636e+08 + i 3.208060e+08 ; -9.127163e+07 + i -8.146410e+07 ; 1.213687e+08 + i -7.648208e+07 ; 3.803047e+08 + i -4.246238e+08 ; 1.480866e+08 + i -7.517356e+07 ; 8.558459e+07 + i -6.513146e+07 ; 4.065333e+08 + i 5.710727e+08 ; 4.533797e+08 + i 1.290409e+08 ; -6.376804e+07 + i -1.096906e+08 ; 6.161106e+08 + i 3.414667e+08 ; -8.685592e+07 + i -4.254387e+07 ; -2.018770e+07 + i -1.143505e+08 ; 4.960089e+08 + i 4.373198e+09 ; -3.669214e+07 + i -1.076973e+08 ; 4.556129e+08 + i 1.288322e+08 ; 4.274742e+08 + i 5.834294e+08 ; 9.553707e+07 + i -5.438934e+07 ; 1.783259e+08 + i 1.836274e+08 ; -1.653084e+09 + i -2.322818e+08 ; 1.850470e+08 + i 1.713774e+08 ; 4.834794e+07 + i 3.410517e+06 ; 9.685490e+07 + i -4.721858e+07 ; -1.861639e+07 + i -1.553902e+07 ; 4.772143e+07 + i 9.687235e+06 ; -2.261998e+07 + i -4.282446e+07 ; -9.729788e+06 + i 3.400845e+06 ; -6.330152e+07 + i 9.440025e+06 ; 9.614497e+07 + i -3.766369e+07 ; 2.017050e+07 + i -3.836738e+06 ; -4.980816e+07 + i 2.681236e+06 ; -2.354019e+07 + i -4.141938e+07 ; -1.129429e+06 + i -2.668773e+06 ; 4.972665e+07 + i 4.527285e+07 ; 1.432734e+08 + i 4.239375e+07 ; -1.102186e+07 + i -1.660776e+07 ; 3.314609e+07 + i 5.132893e+07 ; 1.573304e+07 + i -4.070129e+07 ; -9.090261e+06 + i 2.675659e+06 ; -1.389186e+08 + i -1.501056e+07 ; 1.160545e+08 + i 7.448044e+07 ; -1.813205e+05 + i 5.309639e+06 ; -9.041861e+07 + i -4.291304e+07 ; 1.868317e+07 + i -4.110680e+07 ; -9.817555e+05 + i -1.768120e+06 ; 
-4.243041e+08 + i -1.388450e+08 ; 5.252981e+07 + i -6.475842e+07 ; 3.989593e+08 + i 5.896075e+08 ; -2.585733e+08 + i -7.296123e+07 ; 2.477231e+08 + i 9.155878e+07 ; -1.662954e+09 + i -2.250153e+08 ; -1.446272e+08 + i 8.411233e+07 ; 9.386043e+07 + i -1.063441e+08 ; 3.904842e+08 + i -4.154869e+08 ; -7.159991e+07 + i 6.214979e+07 ; 4.351385e+08 + i -1.321829e+07 ; 4.120109e+08 + i 5.785176e+08 ; 1.693965e+08 + i -1.156347e+07 ; -9.960958e+07 + i -1.407047e+06 ; 6.306940e+08 + i 3.234663e+08 ; 3.883193e+06 + i 1.189451e+08 ; -6.170624e+07 + i -1.075984e+08 ; 5.161103e+08 + i 4.389310e+09 ; 1.046362e+08 + i 1.131378e+07 ; -8.838302e+07 + i 6.407755e+05 ; 3.159442e+08 + i -4.216780e+08 ; 1.128912e+08 + i 1.613655e+07 ; -1.207493e+08 + i -4.839301e+07 ; 6.170806e+08 + i 3.098379e+08 ; 1.346253e+08 + i 1.538946e+06 ; 9.050241e+06 + i -3.612400e+06 ; 1.199948e+08 + i 6.627521e+07 ; 8.765632e+07 + i 3.305820e+07 ; -2.821102e+06 + i -4.103588e+06 ; 1.736988e+07 + i -4.275712e+07 ; 5.285745e+07 + i -1.538207e+07 ; 2.508006e+07 + i -1.676891e+07 ; 9.543534e+07 + i -4.054663e+07 ; 4.300132e+07 + i -7.406603e+06 ; -2.964928e+06 + i -5.217404e+06 ; -2.457495e+07 + i -4.278614e+07 ; -2.948452e+07 + i -6.930534e+07 ; -2.126395e+07 + i -1.042261e+07 ; 1.421947e+08 + i 4.226136e+07 ; -1.425254e+07 + i -6.204669e+07 ; -9.082017e+06 + i 8.915611e+06 ; 1.338889e+07 + i -3.918223e+07 ; -4.699774e+07 + i -1.550861e+07 ; -2.664362e+07 + i -7.662862e+06 ; 9.603157e+07 + i -4.667469e+07 ; -4.564021e+07 + i -1.844694e+07 ; -9.004323e+06 + i 9.379764e+06 ; -2.414522e+07 + i -4.000674e+07 ; 
3.130058e+08 + i -3.803164e+08 ; -8.971460e+07 + i -4.278138e+07 ; -8.970393e+07 + i -4.275609e+07 ; 3.703103e+08 + i -3.989572e+08 ; 1.223551e+08 + i -7.441187e+07 ; 1.225892e+08 + i -7.429500e+07 ; 6.106130e+08 + i 3.323816e+08 ; -9.076701e+07 + i -3.455158e+07 ; -8.562745e+07 + i -8.131677e+07 ; 4.097530e+08 + i 5.832455e+08 ; 7.661653e+07 + i -5.879292e+07 ; 4.794322e+08 + i 1.339388e+08 ; 6.111027e+08 + i 3.311266e+08 ; -8.482329e+07 + i -8.161582e+07 ; -8.990244e+07 + i -3.399332e+07 ; 4.108469e+08 + i 5.837715e+08 ; 4.794992e+08 + i 1.354162e+08 ; 7.498462e+07 + i -5.820751e+07 ; 5.057149e+08 + i 4.368984e+09 ; -4.166605e+07 + i -1.144725e+08 ; -4.166336e+07 + i -1.131342e+08 ; -1.649212e+09 + i -2.400509e+08 ; 2.104962e+08 + i 1.654068e+08 ; 2.098300e+08 + i 1.647758e+08 ; 1.036486e+08 + i 1.087059e+08 ; -5.444707e+06 + i -1.726963e+07 ; -5.508545e+06 + i -1.737511e+07 ; 7.110220e+07 + i 1.158190e+08 ; -5.420665e+06 + i 4.053536e+06 ; -5.442736e+06 + i 4.097743e+06 ; -7.453083e+07 + i 7.539795e+07 ; -1.178105e+07 + i -1.451067e+07 ; 5.514419e+06 + i -2.576165e+07 ; -7.576366e+07 + i 3.950674e+07 ; -6.704755e+06 + i 4.937255e+06 ; -6.907124e+06 + i -2.494923e+05 ; -7.401026e+07 + i 7.508055e+07 ; 5.509023e+06 + i -2.572094e+07 ; -1.187435e+07 + i -1.444627e+07 ; -7.549049e+07 + i 3.938613e+07 ; -6.909239e+06 + i -3.327677e+05 ; -6.685667e+06 + i 4.956629e+06 ; -1.581477e+08 + i -1.367336e+08 ; -2.028980e+06 + i -2.047537e+07 ; -1.945880e+06 + i -2.059264e+07 ; -6.487914e+07 + i -1.158325e+08 ; -8.809547e+06 + i 6.558711e+05 ; -8.751327e+06 + i 6.323206e+05 ; 
6.411808e+07 + i -6.127154e+07 ; 4.114627e+08 + i 5.874578e+08 ; -4.364015e+08 + i -1.501164e+08 ; 1.003111e+08 + i -9.338867e+07 ; 3.888078e+08 + i -4.169743e+08 ; -1.339428e+08 + i 6.162195e+07 ; -9.192985e+07 + i -1.443671e+07 ; 6.307702e+08 + i 3.257708e+08 ; 1.562199e+08 + i 5.187330e+06 ; -8.473274e+07 + i -9.307343e+06 ; 3.159412e+08 + i -4.214874e+08 ; 9.686501e+07 + i 2.329670e+07 ; 2.410321e+08 + i 9.981171e+07 ; -1.649067e+09 + i -2.106612e+08 ; -2.706096e+08 + i -8.952326e+07 ; 4.357719e+08 + i -2.966871e+06 ; 4.277970e+08 + i 6.005529e+08 ; -7.740058e+07 + i 6.317437e+07 ; -5.617446e+07 + i -1.135634e+08 ; 5.262546e+08 + i 4.394313e+09 ; 4.234895e+06 + i 1.326918e+08 ; -1.045471e+08 + i -5.730155e+07 ; 6.328004e+08 + i 3.242492e+08 ; 9.735036e+07 + i 4.773451e+07 ; 5.937765e+07 + i -1.908040e+06 ; -2.107493e+07 + i -3.921246e+07 ; 1.350673e+06 + i 4.945866e+06 ; 4.435549e+07 + i 6.233507e+06 ; -1.082534e+07 + i 8.379054e+06 ; 1.106911e+06 + i 1.883715e+05 ; -1.615771e+07 + i -3.544155e+07 ; -2.137216e+07 + i -3.986347e+07 ; 1.128177e+07 + i -1.816314e+06 ; -9.848887e+06 + i -3.180201e+07 ; -1.022824e+07 + i 8.219574e+06 ; 1.119818e+06 + i -3.358008e+06 ; 7.851626e+07 + i 3.929889e+07 ; 1.748778e+07 + i -3.849974e+07 ; 4.464902e+06 + i 4.458523e+06 ; 4.484031e+07 + i 3.996637e+07 ; -5.421055e+06 + i -2.429624e+06 ; 1.557806e+06 + i -5.345905e+04 ; -4.098259e+04 + i -2.710065e+07 ; 1.379917e+07 + i -3.809172e+07 ; 9.480830e+06 + i -1.574186e+06 ; 4.048968e+06 + i -2.289479e+07 ; -4.541881e+06 + i -2.475199e+06 ; 8.713881e+05 + i -3.071528e+06 ; 
6.538922e+07 + i -6.076038e+07 ; -4.363357e+08 + i -1.505515e+08 ; 4.108759e+08 + i 5.885101e+08 ; 9.974817e+07 + i -9.411071e+07 ; -1.345225e+08 + i 6.131713e+07 ; 3.864749e+08 + i -4.164592e+08 ; 2.410578e+08 + i 1.006534e+08 ; -2.703958e+08 + i -9.030638e+07 ; -1.648295e+09 + i -2.111281e+08 ; 4.363019e+08 + i -3.415527e+06 ; -7.721490e+07 + i 6.302881e+07 ; 4.284694e+08 + i 5.945264e+08 ; -9.051843e+07 + i -1.436341e+07 ; 1.576704e+08 + i 4.034649e+06 ; 6.372641e+08 + i 3.208491e+08 ; -8.362746e+07 + i -1.067498e+07 ; 9.683852e+07 + i 2.229833e+07 ; 3.127341e+08 + i -4.239470e+08 ; -5.718649e+07 + i -1.118237e+08 ; 4.202560e+06 + i 1.330267e+08 ; 5.282097e+08 + i 4.398342e+09 ; -1.042255e+08 + i -5.715716e+07 ; 9.713774e+07 + i 4.836114e+07 ; 6.328902e+08 + i 3.219353e+08 ; 5.900101e+07 + i -2.117430e+06 ; 1.175625e+06 + i 4.870636e+06 ; -2.165230e+07 + i -3.957008e+07 ; 4.423143e+07 + i 5.806156e+06 ; 1.049444e+06 + i 2.537563e+05 ; -1.098714e+07 + i 8.633301e+06 ; 7.862466e+07 + i 3.957996e+07 ; 4.373914e+06 + i 4.337973e+06 ; 1.727306e+07 + i -3.904315e+07 ; 4.497384e+07 + i 4.017706e+07 ; 1.494272e+06 + i -2.624317e+04 ; -5.586178e+06 + i -2.232634e+06 ; -1.612838e+07 + i -3.544238e+07 ; 1.129548e+07 + i -1.897480e+06 ; -2.190710e+07 + i -4.012055e+07 ; -9.689183e+06 + i -3.180234e+07 ; 1.104649e+06 + i -3.366374e+06 ; -1.034753e+07 + i 8.429290e+06 ; -2.889434e+05 + i -2.735867e+07 ; 9.549390e+06 + i -1.601293e+06 ; 1.388900e+07 + i -3.854132e+07 ; 3.981736e+06 + i -2.307900e+07 ; 8.689900e+05 + i -3.114971e+06 ; -4.585661e+06 + i -2.473219e+06 ; 
3.796881e+08 + i -3.749964e+08 ; -1.393606e+08 + i 5.832011e+07 ; -1.398598e+08 + i 5.844714e+07 ; 3.214443e+08 + i -3.817567e+08 ; 5.223593e+07 + i 2.240217e+07 ; 5.236401e+07 + i 2.253266e+07 ; 3.911434e+08 + i 5.982377e+08 ; -6.901807e+07 + i 6.494614e+07 ; -4.163050e+08 + i -1.728459e+08 ; 6.121273e+08 + i 3.271918e+08 ; 8.980314e+07 + i 4.342250e+07 ; 1.303901e+08 + i 3.319369e+07 ; 3.913827e+08 + i 5.973194e+08 ; -4.158983e+08 + i -1.744216e+08 ; -6.725597e+07 + i 6.424927e+07 ; 6.135391e+08 + i 3.266131e+08 ; 1.297688e+08 + i 3.292651e+07 ; 8.919748e+07 + i 4.286969e+07 ; -1.670770e+09 + i -2.409932e+08 ; -2.526947e+08 + i -1.293828e+08 ; -2.518342e+08 + i -1.291756e+08 ; 5.088399e+08 + i 4.360761e+09 ; -2.269770e+06 + i 1.244051e+08 ; -2.178734e+06 + i 1.233858e+08 ; 1.377758e+08 + i 9.619419e+07 ; 8.066580e+07 + i -9.352249e+06 ; 8.086630e+07 + i -9.617085e+06 ; 1.060537e+08 + i 1.070633e+08 ; -7.955613e+06 + i -2.882411e+07 ; -8.034957e+06 + i -2.884984e+07 ; -6.232677e+07 + i 1.075619e+08 ; 5.611071e+07 + i 8.390839e+05 ; 1.109068e+08 + i 4.112142e+07 ; -7.281376e+07 + i 7.614241e+07 ; -1.154704e+07 + i -2.644103e+07 ; 8.345199e+06 + i -2.620323e+07 ; -6.190998e+07 + i 1.072576e+08 ; 1.105403e+08 + i 4.159284e+07 ; 5.561955e+07 + i 7.318565e+05 ; -7.265326e+07 + i 7.609504e+07 ; 8.710399e+06 + i -2.608237e+07 ; -1.158616e+07 + i -2.621675e+07 ; -2.957261e+08 + i -1.079574e+08 ; 3.800517e+07 + i 6.621481e+07 ; 3.811236e+07 + i 6.600694e+07 ; -1.591314e+08 + i -1.338941e+08 ; 8.639523e+06 + i -2.224894e+07 ; 8.528238e+06 + i -2.203621e+07 ; 
-1.314840e+08 + i 5.924097e+07 ; 3.912152e+08 + i -4.033824e+08 ; -1.369194e+08 + i 5.455889e+07 ; -5.749349e+07 + i 6.763284e+07 ; 3.950470e+08 + i 5.827925e+08 ; -4.126121e+08 + i -1.758025e+08 ; 6.389713e+07 + i 1.861685e+07 ; 3.242317e+08 + i -4.181395e+08 ; 6.039429e+07 + i 3.118900e+07 ; 9.573292e+07 + i 3.867029e+07 ; 6.176921e+08 + i 3.093157e+08 ; 1.378578e+08 + i 4.056369e+07 ; -4.072142e+08 + i -1.652216e+08 ; 4.032788e+08 + i 6.016241e+08 ; -6.459500e+07 + i 6.112194e+07 ; -2.371873e+08 + i -1.183089e+08 ; -1.673301e+09 + i -2.278301e+08 ; -2.487824e+08 + i -1.319954e+08 ; 1.458834e+08 + i 3.617836e+07 ; 6.369551e+08 + i 3.247162e+08 ; 9.519832e+07 + i 5.135808e+07 ; 8.664122e+06 + i 1.232596e+08 ; 5.188814e+08 + i 4.383270e+09 ; 2.428622e+06 + i 1.307620e+08 ; 5.229633e+07 + i -5.790025e+06 ; 9.568511e+07 + i -3.820745e+07 ; -2.441938e+07 + i 3.856320e+06 ; 4.100563e+07 + i -2.644903e+05 ; -2.265329e+07 + i -4.293227e+07 ; 1.083805e+06 + i 4.166877e+06 ; -5.245168e+07 + i -1.651835e+07 ; 9.664191e+07 + i -4.574183e+07 ; 1.811474e+07 + i 1.735019e+07 ; -4.783853e+07 + i -2.084735e+07 ; -2.325043e+07 + i -4.034607e+07 ; 1.087288e+07 + i -3.118674e+06 ; 1.344615e+08 + i 1.585055e+07 ; 1.185435e+08 + i 6.916055e+07 ; -4.123108e+06 + i -3.670362e+06 ; 8.600595e+07 + i 4.226989e+07 ; 1.858433e+07 + i -4.244638e+07 ; 8.261756e+05 + i 3.194660e+06 ; -2.841060e+07 + i -6.222583e+07 ; 1.419690e+08 + i 4.191513e+07 ; 1.102417e+07 + i 1.789127e+07 ; -1.450555e+07 + i -5.720429e+07 ; 1.362454e+07 + i -3.975450e+07 ; 9.960902e+06 + i -2.534932e+06 ; 
