-3.007789e+09 + i 1.192081e+09 ; -1.450313e+07 + i 4.977048e+06 ; -1.450354e+07 + i 4.980511e+06 ; 5.088686e+08 + i -4.087244e+08 ; 4.679580e+07 + i -2.852941e+07 ; 4.678400e+07 + i -2.853086e+07 ; -2.510243e+08 + i 1.898855e+08 ; -2.587054e+07 + i 1.494259e+07 ; -5.380986e+06 + i 3.771178e+06 ; -1.427504e+08 + i 6.611956e+07 ; 1.142080e+08 + i -1.003695e+08 ; 4.565209e+06 + i -6.699674e+06 ; -2.510147e+08 + i 1.898879e+08 ; -5.389390e+06 + i 3.763070e+06 ; -2.587529e+07 + i 1.493962e+07 ; -1.427365e+08 + i 6.612748e+07 ; 4.624120e+06 + i -6.694318e+06 ; 1.142105e+08 + i -1.003689e+08 ; 5.838495e+06 + i 2.826325e+07 ; -9.337879e+06 + i 7.809761e+06 ; -9.316326e+06 + i 7.812068e+06 ; 2.707196e+06 + i 2.289258e+07 ; 1.890493e+07 + i -2.425535e+07 ; 1.890612e+07 + i -2.425750e+07 ; 5.700802e+07 + i -3.632188e+07 ; -1.215281e+06 + i 3.634130e+04 ; -1.214356e+06 + i 3.645345e+04 ; 3.227030e+07 + i -1.770624e+07 ; -4.280024e+05 + i 2.975893e+05 ; -4.278959e+05 + i 2.977304e+05 ; 4.191633e+06 + i -1.148298e+07 ; 1.569927e+06 + i -3.405181e+06 ; -1.055104e+06 + i 3.578365e+05 ; 4.515347e+06 + i -8.423882e+06 ; 2.952114e+05 + i -6.024296e+05 ; -3.819636e+05 + i 2.876944e+05 ; 4.198031e+06 + i -1.148155e+07 ; -1.050131e+06 + i 3.573749e+05 ; 1.570349e+06 + i -3.405049e+06 ; 4.518098e+06 + i -8.422631e+06 ; -3.813752e+05 + i 2.873336e+05 ; 2.950863e+05 + i -6.024385e+05 ; -2.323155e+06 + i -1.442507e+06 ; 9.403553e+05 + i -2.084551e+06 ; 9.392370e+05 + i -2.084600e+06 ; -4.526624e+05 + i -2.401738e+06 ; 2.084897e+05 + i -4.531804e+05 ; 2.085291e+05 + i -4.531161e+05 ; 
1.115832e+07 + i -8.818165e+06 ; 1.118838e+07 + i -8.592963e+06 ; 5.640428e+06 + i 2.886248e+07 ; 5.832694e+06 + i -4.285982e+06 ; 3.137163e+07 + i -1.565301e+07 ; -2.505959e+08 + i 1.893533e+08 ; 3.147520e+07 + i -1.595309e+07 ; 6.073401e+06 + i -4.116925e+06 ; -2.528484e+08 + i 1.905374e+08 ; 1.697156e+07 + i -5.136531e+06 ; 1.706872e+07 + i -4.798524e+06 ; -3.008431e+09 + i 1.191445e+09 ; -2.090738e+07 + i 2.655671e+07 ; -2.231122e+07 + i 2.734659e+07 ; 2.489986e+06 + i 2.363496e+07 ; -1.013948e+06 + i 6.070122e+06 ; -1.410316e+08 + i 1.094237e+08 ; -1.424082e+08 + i 6.663032e+07 ; -1.391149e+08 + i 1.085895e+08 ; -3.464504e+06 + i 7.561535e+06 ; -1.444347e+08 + i 6.760267e+07 ; -5.349676e+07 + i 2.792955e+07 ; -5.725355e+07 + i 3.000595e+07 ; 5.060065e+08 + i -4.074464e+08 ; -6.517912e+06 + i 4.446692e+06 ; 5.597494e+06 + i -3.211678e+06 ; -1.665763e+07 + i 1.872719e+07 ; -5.058373e+06 + i 3.010484e+06 ; 1.019425e+06 + i -9.826389e+05 ; -1.806362e+06 + i 3.318911e+06 ; -1.148932e+07 + i 6.528172e+06 ; 3.679658e+06 + i -1.654923e+06 ; -4.769203e+07 + i 3.737952e+07 ; -8.226152e+06 + i 3.720379e+06 ; 7.437162e+05 + i -6.813814e+05 ; -1.451963e+06 + i 4.775946e+06 ; 1.696071e+07 + i -1.533205e+07 ; -9.415751e+06 + i 8.335897e+06 ; -1.318340e+07 + i 1.361370e+07 ; 1.045874e+07 + i -8.593740e+06 ; 3.218803e+05 + i 4.021513e+05 ; -1.833427e+06 + i 3.167189e+06 ; 3.834585e+07 + i -3.217350e+07 ; -2.542431e+06 + i 1.439053e+06 ; -3.458622e+07 + i 2.193375e+07 ; 2.215893e+07 + i -1.544282e+07 ; 7.696117e+05 + i -2.332047e+05 ; -2.121455e+06 + i 4.946280e+06 ; 
-2.517175e+08 + i 1.897663e+08 ; -5.552027e+06 + i 3.831608e+06 ; 2.680642e+07 + i -1.542619e+07 ; -1.432133e+08 + i 6.618101e+07 ; 4.271232e+06 + i -6.811857e+06 ; -1.330725e+08 + i 1.080664e+08 ; 5.881964e+06 + i 2.834886e+07 ; -9.730398e+06 + i 7.961121e+06 ; 1.084610e+07 + i -8.264494e+06 ; 2.696166e+06 + i 2.294389e+07 ; 1.973749e+07 + i -2.478491e+07 ; -2.223222e+07 + i 2.644508e+07 ; -3.008228e+09 + i 1.191934e+09 ; -1.471758e+07 + i 4.938217e+06 ; 1.525907e+07 + i -5.078630e+06 ; 5.086448e+08 + i -4.087349e+08 ; 4.791498e+07 + i -2.876477e+07 ; -5.131139e+07 + i 2.975195e+07 ; -2.511306e+08 + i 1.899663e+08 ; -2.639127e+07 + i 1.494295e+07 ; 6.154528e+06 + i -3.915889e+06 ; -1.428633e+08 + i 6.618581e+07 ; 1.185762e+08 + i -1.022832e+08 ; -4.987533e+06 + i 7.173480e+06 ; 4.352622e+06 + i -1.146702e+07 ; -1.129471e+06 + i 3.655740e+05 ; -1.952404e+06 + i 3.736676e+06 ; 4.604083e+06 + i -8.402289e+06 ; -4.065496e+05 + i 2.958837e+05 ; -3.599288e+05 + i 6.614428e+05 ; -2.285075e+06 + i -1.451341e+06 ; 9.681413e+05 + i -2.135657e+06 ; -1.135176e+06 + i 2.292033e+06 ; -4.223431e+05 + i -2.405317e+06 ; 2.135044e+05 + i -4.627409e+05 ; -2.450420e+05 + i 4.959810e+05 ; 5.701361e+07 + i -3.632277e+07 ; -1.230192e+06 + i 3.330334e+04 ; 1.417425e+06 + i -1.493181e+04 ; 3.226842e+07 + i -1.770486e+07 ; -4.380643e+05 + i 3.038223e+05 ; 5.100464e+05 + i -3.206886e+05 ; 4.207354e+06 + i -1.148137e+07 ; 1.675428e+06 + i -3.486351e+06 ; 1.278163e+06 + i -3.740618e+05 ; 4.520723e+06 + i -8.420140e+06 ; 3.168873e+05 + i -6.168649e+05 ; 4.664101e+05 + i -3.127887e+05 ; 
-5.376848e+06 + i 3.586571e+06 ; -2.530001e+08 + i 1.908134e+08 ; 2.680352e+07 + i -1.540213e+07 ; -9.564672e+06 + i 7.649671e+06 ; 5.637674e+06 + i 2.878677e+07 ; 1.076116e+07 + i -8.214888e+06 ; 5.138540e+06 + i -7.333103e+06 ; -1.452540e+08 + i 6.794136e+07 ; -1.331655e+08 + i 1.082431e+08 ; 2.130142e+07 + i -2.578608e+07 ; 2.409711e+06 + i 2.366258e+07 ; -2.234557e+07 + i 2.660022e+07 ; -1.442726e+07 + i 4.642202e+06 ; -3.011446e+09 + i 1.193126e+09 ; 1.525014e+07 + i -5.054819e+06 ; -2.603830e+07 + i 1.452484e+07 ; -2.523408e+08 + i 1.906805e+08 ; 6.062862e+06 + i -3.865819e+06 ; 4.912335e+07 + i -2.933858e+07 ; 5.029036e+08 + i -4.062116e+08 ; -5.130445e+07 + i 2.983720e+07 ; 1.208175e+08 + i -1.034722e+08 ; -1.445637e+08 + i 6.765550e+07 ; -5.038449e+06 + i 7.264923e+06 ; -2.183253e+06 + i 7.044880e+05 ; -1.844164e+06 + i 3.326991e+06 ; 1.626957e+06 + i -1.196833e+06 ; -1.334506e+06 + i 2.043344e+05 ; -1.031394e+06 + i 1.411312e+06 ; 3.940730e+05 + i -3.791529e+05 ; 1.056264e+07 + i -9.013260e+06 ; -1.829077e+06 + i 3.174692e+06 ; -4.553558e+05 + i 7.562111e+05 ; 6.794956e+06 + i -5.273710e+06 ; -9.459855e+05 + i 1.292555e+06 ; 8.656750e+04 + i 2.160211e+04 ; -2.019366e+06 + i 2.879666e+04 ; -1.536224e+06 + i 4.767121e+06 ; 1.168398e+06 + i -7.969568e+05 ; -1.188855e+06 + i -2.594756e+05 ; -1.440968e+06 + i 1.704781e+06 ; 3.095332e+05 + i -2.917669e+05 ; 2.031193e+07 + i -1.423769e+07 ; -2.135602e+06 + i 4.945609e+06 ; 6.704815e+05 + i -4.009204e+05 ; 1.203380e+07 + i -7.327591e+06 ; -1.267262e+06 + i 1.527877e+06 ; 2.856522e+05 + i -2.087740e+05 ; 
-4.664892e+07 + i 2.927881e+07 ; -4.539976e+07 + i 2.879181e+07 ; 5.034267e+08 + i -4.061070e+08 ; -1.205789e+08 + i 1.036147e+08 ; -4.644238e+06 + i 6.834524e+06 ; -1.448233e+08 + i 6.766484e+07 ; -5.525498e+06 + i 7.264138e+06 ; -1.184048e+08 + i 1.025917e+08 ; -1.450948e+08 + i 6.794758e+07 ; -2.115337e+07 + i 2.581041e+07 ; -1.969671e+07 + i 2.494889e+07 ; 2.472243e+06 + i 2.368790e+07 ; 1.390720e+07 + i -4.801477e+06 ; 1.420162e+07 + i -5.071891e+06 ; -3.011381e+09 + i 1.193146e+09 ; 2.326763e+07 + i -1.452837e+07 ; 5.259579e+06 + i -3.754885e+06 ; -2.521638e+08 + i 1.905923e+08 ; 5.149597e+06 + i -3.557712e+06 ; 2.365759e+07 + i -1.491181e+07 ; -2.524071e+08 + i 1.908811e+08 ; 9.372139e+06 + i -7.563551e+06 ; 9.485105e+06 + i -7.824748e+06 ; 5.600963e+06 + i 2.869402e+07 ; -2.042016e+07 + i 1.426099e+07 ; 5.682044e+05 + i -3.858436e+05 ; -2.268211e+06 + i 4.936782e+06 ; -1.211260e+07 + i 7.340915e+06 ; 2.469387e+05 + i -1.975667e+05 ; -1.272092e+06 + i 1.531712e+06 ; -1.056066e+07 + i 9.034347e+06 ; -4.214244e+05 + i 7.004749e+05 ; -1.892343e+06 + i 3.178449e+06 ; -6.805497e+06 + i 5.292124e+06 ; 7.536778e+04 + i 1.832082e+04 ; -9.527251e+05 + i 1.294425e+06 ; 1.714477e+06 + i -6.440707e+04 ; 1.053507e+06 + i -7.585740e+05 ; -1.547052e+06 + i 4.769212e+06 ; 1.021856e+06 + i 2.331867e+05 ; 2.766097e+05 + i -2.754044e+05 ; -1.444207e+06 + i 1.708151e+06 ; 2.067809e+06 + i -7.017736e+05 ; 1.456036e+06 + i -1.136260e+06 ; -1.857986e+06 + i 3.323738e+06 ; 1.264830e+06 + i -2.026301e+05 ; 3.525130e+05 + i -3.571856e+05 ; -1.035830e+06 + i 1.413452e+06 ; 
-1.447320e+08 + i 6.620587e+07 ; -4.475548e+06 + i 7.274110e+06 ; 1.412565e+08 + i -1.099135e+08 ; -2.493573e+08 + i 1.879606e+08 ; 4.474366e+06 + i -3.182848e+06 ; -1.854176e+07 + i 1.359808e+07 ; 2.693356e+06 + i 2.306276e+07 ; -2.059984e+07 + i 2.562275e+07 ; 2.400932e+07 + i -2.731561e+07 ; 5.842384e+06 + i 2.770226e+07 ; 8.464413e+06 + i -7.032611e+06 ; -9.331173e+06 + i 7.038579e+06 ; 5.084307e+08 + i -4.087426e+08 ; -4.985585e+07 + i 2.933407e+07 ; 4.679070e+07 + i -2.957482e+07 ; -3.001036e+09 + i 1.187840e+09 ; 1.371024e+07 + i -4.231579e+06 ; -1.531388e+07 + i 4.086823e+06 ; -1.428120e+08 + i 6.630251e+07 ; -1.230310e+08 + i 1.043355e+08 ; 5.353477e+06 + i -7.387968e+06 ; -2.495733e+08 + i 1.880076e+08 ; 2.541240e+07 + i -1.382814e+07 ; -5.236720e+06 + i 3.172366e+06 ; 2.848585e+06 + i -1.430241e+07 ; 4.459506e+06 + i -4.246669e+06 ; -4.088818e+07 + i 3.217233e+07 ; 4.497683e+06 + i -1.147471e+07 ; -5.796272e+05 + i -1.381658e+05 ; -3.406329e+05 + i 3.028714e+06 ; -5.854768e+06 + i 1.701396e+06 ; 1.361129e+07 + i -1.435582e+07 ; -1.618097e+07 + i 1.532270e+07 ; -2.183313e+06 + i -1.471403e+06 ; 7.436920e+05 + i -1.878948e+06 ; -1.026610e+06 + i 2.084132e+06 ; 1.027049e+08 + i -7.865495e+07 ; 1.390689e+07 + i -8.949988e+06 ; -1.797342e+07 + i 9.353120e+06 ; 5.699020e+07 + i -3.631110e+07 ; -1.211400e+06 + i -5.648510e+05 ; 1.163077e+06 + i 7.847289e+05 ; 2.334479e+06 + i -1.426492e+07 ; 3.450916e+07 + i -3.051527e+07 ; -5.934370e+06 + i 4.593502e+06 ; 4.199599e+06 + i -1.148496e+07 ; 6.435593e+04 + i -2.655710e+06 ; 4.812610e+05 + i 2.256729e+05 ; 
1.150380e+07 + i -8.702768e+06 ; 5.675296e+06 + i 2.885643e+07 ; 1.166982e+07 + i -8.387739e+06 ; 6.010586e+06 + i -4.167695e+06 ; -2.505028e+08 + i 1.893684e+08 ; 2.831980e+07 + i -1.559303e+07 ; -2.229539e+07 + i 2.634510e+07 ; 2.478074e+06 + i 2.367683e+07 ; -2.263309e+07 + i 2.716742e+07 ; -1.965239e+06 + i 5.814122e+06 ; -1.429167e+08 + i 6.665971e+07 ; -1.396877e+08 + i 1.096142e+08 ; 3.046268e+07 + i -1.571208e+07 ; -2.528663e+08 + i 1.905761e+08 ; 6.339008e+06 + i -3.938625e+06 ; 1.644178e+07 + i -5.184490e+06 ; -3.008539e+09 + i 1.191397e+09 ; 1.591422e+07 + i -4.978413e+06 ; -1.382132e+08 + i 1.089122e+08 ; -1.444618e+08 + i 6.768563e+07 ; -4.340930e+06 + i 7.289342e+06 ; -5.137898e+07 + i 2.783091e+07 ; 5.058236e+08 + i -4.075021e+08 ; -5.424005e+07 + i 2.992272e+07 ; -6.606524e+06 + i 4.490437e+06 ; -1.666718e+07 + i 1.872293e+07 ; 5.584528e+06 + i -3.199629e+06 ; -5.121555e+06 + i 3.036872e+06 ; -1.806650e+06 + i 3.320129e+06 ; 1.026422e+06 + i -9.815734e+05 ; 1.677101e+07 + i -1.541265e+07 ; -1.319947e+07 + i 1.361212e+07 ; -9.371713e+06 + i 8.341378e+06 ; 1.036532e+07 + i -8.645495e+06 ; -1.827145e+06 + i 3.167265e+06 ; 3.252334e+05 + i 4.012557e+05 ; -1.168218e+07 + i 6.603083e+06 ; -4.768441e+07 + i 3.737899e+07 ; 3.662552e+06 + i -1.649588e+06 ; -8.335916e+06 + i 3.752146e+06 ; -1.450581e+06 + i 4.776286e+06 ; 7.482563e+05 + i -6.801708e+05 ; 3.852049e+07 + i -3.218689e+07 ; -3.454603e+07 + i 2.192544e+07 ; -2.491160e+06 + i 1.440040e+06 ; 2.223759e+07 + i -1.543545e+07 ; -2.110969e+06 + i 4.944102e+06 ; 7.734539e+05 + i -2.336384e+05 ; 
1.392554e+08 + i -1.088289e+08 ; -5.259875e+06 + i 6.838282e+06 ; -1.464172e+08 + i 6.765837e+07 ; 4.245078e+07 + i -2.711792e+07 ; -4.703226e+07 + i 2.918180e+07 ; 5.055393e+08 + i -4.075042e+08 ; 2.212058e+07 + i -2.644529e+07 ; -2.052085e+07 + i 2.536689e+07 ; 2.487545e+06 + i 2.382759e+07 ; 3.015740e+06 + i -5.716332e+06 ; -1.222465e+08 + i 1.040814e+08 ; -1.428332e+08 + i 6.673720e+07 ; -2.060987e+07 + i 1.509386e+07 ; 5.646690e+06 + i -3.811060e+06 ; -2.519759e+08 + i 1.905905e+08 ; -1.684419e+07 + i 5.174301e+06 ; 1.459333e+07 + i -5.111190e+06 ; -3.007988e+09 + i 1.191588e+09 ; -1.098264e+07 + i 8.415686e+06 ; 1.050071e+07 + i -7.882337e+06 ; 5.671716e+06 + i 2.868916e+07 ; -5.624670e+06 + i 4.161044e+06 ; 2.462141e+07 + i -1.524544e+07 ; -2.499508e+08 + i 1.893744e+08 ; -3.815358e+07 + i 3.206279e+07 ; -1.581908e+06 + i 1.357956e+06 ; -3.409106e+07 + i 2.186925e+07 ; -2.196541e+07 + i 1.535639e+07 ; 7.327682e+05 + i -2.685279e+05 ; -2.076931e+06 + i 4.926822e+06 ; -1.653597e+07 + i 1.532213e+07 ; -7.630850e+06 + i 7.867946e+06 ; -1.306134e+07 + i 1.358050e+07 ; -1.016798e+07 + i 8.590744e+06 ; 3.590060e+05 + i 3.229789e+05 ; -1.804129e+06 + i 3.156984e+06 ; 1.366752e+07 + i -6.723867e+06 ; 3.091703e+06 + i -1.651226e+06 ; -4.776863e+07 + i 3.736634e+07 ; 9.411991e+06 + i -3.728283e+06 ; 6.023918e+05 + i -6.376442e+05 ; -1.503406e+06 + i 4.769964e+06 ; 7.284980e+06 + i -4.606720e+06 ; 4.794787e+06 + i -3.120102e+06 ; -1.670270e+07 + i 1.871605e+07 ; 5.548521e+06 + i -3.099563e+06 ; 8.507925e+05 + i -9.194955e+05 ; -1.852784e+06 + i 3.318338e+06 ; 
5.932373e+06 + i 2.843837e+07 ; 1.191097e+07 + i -8.311139e+06 ; 1.191391e+07 + i -8.311747e+06 ; 2.726283e+06 + i 2.296589e+07 ; -2.366311e+07 + i 2.693873e+07 ; -2.365307e+07 + i 2.694259e+07 ; -2.516403e+08 + i 1.898442e+08 ; 6.379954e+06 + i -3.923917e+06 ; 2.793744e+07 + i -1.546886e+07 ; -1.430990e+08 + i 6.620094e+07 ; -4.767295e+06 + i 7.102707e+06 ; -1.395343e+08 + i 1.098891e+08 ; -2.516311e+08 + i 1.898462e+08 ; 2.793490e+07 + i -1.547038e+07 ; 6.378687e+06 + i -3.919825e+06 ; -1.430886e+08 + i 6.620826e+07 ; -1.395262e+08 + i 1.098968e+08 ; -4.817941e+06 + i 7.095728e+06 ; -3.008617e+09 + i 1.191809e+09 ; 1.571617e+07 + i -5.041765e+06 ; 1.571138e+07 + i -5.034686e+06 ; 5.084750e+08 + i -4.087324e+08 ; -5.291092e+07 + i 2.994800e+07 ; -5.293561e+07 + i 2.993809e+07 ; -2.281774e+06 + i -1.470270e+06 ; -1.175395e+06 + i 2.351376e+06 ; -1.175676e+06 + i 2.350942e+06 ; -4.088306e+05 + i -2.415519e+06 ; -2.519596e+05 + i 5.068981e+05 ; -2.517448e+05 + i 5.070141e+05 ; 4.353269e+06 + i -1.147128e+07 ; 1.379084e+06 + i -3.790901e+05 ; -2.139283e+06 + i 3.835541e+06 ; 4.606352e+06 + i -8.403146e+06 ; 5.025220e+05 + i -3.201056e+05 ; -4.039044e+05 + i 6.803377e+05 ; 4.359646e+06 + i -1.146982e+07 ; -2.140334e+06 + i 3.835575e+06 ; 1.374312e+06 + i -3.797677e+05 ; 4.608944e+06 + i -8.401942e+06 ; -4.037366e+05 + i 6.803361e+05 ; 5.020010e+05 + i -3.198050e+05 ; 5.703233e+07 + i -3.632484e+07 ; 1.412578e+06 + i -7.896955e+02 ; 1.415670e+06 + i -1.020739e+03 ; 3.227545e+07 + i -1.770324e+07 ; 5.145635e+05 + i -3.240479e+05 ; 5.147475e+05 + i -3.238809e+05 ; 
-5.689728e+06 + i 7.359806e+06 ; -1.466660e+08 + i 6.799482e+07 ; 1.413803e+08 + i -1.098258e+08 ; -2.210465e+07 + i 2.625422e+07 ; 2.369523e+06 + i 2.381958e+07 ; 2.392827e+07 + i -2.726354e+07 ; 5.520200e+06 + i -3.589804e+06 ; -2.523702e+08 + i 1.908697e+08 ; -2.086029e+07 + i 1.470306e+07 ; 1.024301e+07 + i -7.599717e+06 ; 5.649074e+06 + i 2.869083e+07 ; -1.102998e+07 + i 8.154988e+06 ; -4.855504e+07 + i 2.969629e+07 ; 5.025631e+08 + i -4.061955e+08 ; 4.629252e+07 + i -2.926560e+07 ; -1.248180e+08 + i 1.052325e+08 ; -1.449020e+08 + i 6.777947e+07 ; 5.103065e+06 + i -7.253679e+06 ; 1.441874e+07 + i -4.809681e+06 ; -3.011200e+09 + i 1.193184e+09 ; -1.717656e+07 + i 4.805167e+06 ; 2.457341e+07 + i -1.473372e+07 ; -2.520902e+08 + i 1.906024e+08 ; -6.316055e+06 + i 3.983908e+06 ; -1.094582e+07 + i 9.165932e+06 ; -1.871079e+06 + i 3.186640e+06 ; 4.464999e+05 + i -7.799238e+05 ; -7.042117e+06 + i 5.359976e+06 ; -9.484027e+05 + i 1.294123e+06 ; -9.412968e+04 + i -2.114599e+04 ; 2.218334e+06 + i -6.845239e+05 ; -1.838780e+06 + i 3.329225e+06 ; -1.718610e+06 + i 1.211951e+06 ; 1.348275e+06 + i -1.842655e+05 ; -1.032071e+06 + i 1.412749e+06 ; -4.199706e+05 + i 3.861673e+05 ; -2.105808e+07 + i 1.444606e+07 ; -2.261877e+06 + i 4.944287e+06 ; -7.725058e+05 + i 4.016130e+05 ; -1.247373e+07 + i 7.421605e+06 ; -1.270543e+06 + i 1.532056e+06 ; -3.047381e+05 + i 2.152833e+05 ; 1.860303e+06 + i -4.303121e+04 ; -1.536677e+06 + i 4.772513e+06 ; -1.246235e+06 + i 8.060547e+05 ; 1.106200e+06 + i 2.552704e+05 ; -1.440001e+06 + i 1.707641e+06 ; -3.306595e+05 + i 2.975176e+05 ; 
-5.692504e+06 + i 7.365428e+06 ; 1.413799e+08 + i -1.098276e+08 ; -1.466706e+08 + i 6.798954e+07 ; -2.210536e+07 + i 2.625272e+07 ; 2.392762e+07 + i -2.726523e+07 ; 2.365891e+06 + i 2.381650e+07 ; -4.857014e+07 + i 2.969644e+07 ; 4.630027e+07 + i -2.926519e+07 ; 5.026855e+08 + i -4.061689e+08 ; -1.248160e+08 + i 1.052325e+08 ; 5.107978e+06 + i -7.252503e+06 ; -1.448727e+08 + i 6.775683e+07 ; 5.522529e+06 + i -3.585520e+06 ; -2.084025e+07 + i 1.470753e+07 ; -2.521649e+08 + i 1.908912e+08 ; 1.026336e+07 + i -7.598444e+06 ; -1.102259e+07 + i 8.154186e+06 ; 5.653149e+06 + i 2.867240e+07 ; 1.438253e+07 + i -4.807366e+06 ; -1.717685e+07 + i 4.805610e+06 ; -3.011150e+09 + i 1.193216e+09 ; 2.457946e+07 + i -1.473185e+07 ; -6.316006e+06 + i 3.983752e+06 ; -2.520811e+08 + i 1.905772e+08 ; -1.094480e+07 + i 9.164501e+06 ; 4.460171e+05 + i -7.801573e+05 ; -1.870884e+06 + i 3.185164e+06 ; -7.041700e+06 + i 5.359320e+06 ; -9.436794e+04 + i -2.120187e+04 ; -9.484076e+05 + i 1.293933e+06 ; -2.105835e+07 + i 1.444655e+07 ; -7.716462e+05 + i 4.017247e+05 ; -2.257541e+06 + i 4.943123e+06 ; -1.247361e+07 + i 7.422002e+06 ; -3.044383e+05 + i 2.152777e+05 ; -1.270050e+06 + i 1.531627e+06 ; 2.224218e+06 + i -6.849789e+05 ; -1.718142e+06 + i 1.211942e+06 ; -1.840306e+06 + i 3.327171e+06 ; 1.352869e+06 + i -1.839270e+05 ; -4.200918e+05 + i 3.861002e+05 ; -1.033048e+06 + i 1.412766e+06 ; 1.862761e+06 + i -4.448847e+04 ; -1.245869e+06 + i 8.062382e+05 ; -1.534897e+06 + i 4.771693e+06 ; 1.106782e+06 + i 2.547783e+05 ; -3.304502e+05 + i 2.974969e+05 ; -1.440925e+06 + i 1.707568e+06 ; 
2.718999e+06 + i 2.322607e+07 ; 2.487129e+07 + i -2.790606e+07 ; 2.485968e+07 + i -2.791008e+07 ; 5.997223e+06 + i 2.773317e+07 ; -1.146730e+07 + i 6.926730e+06 ; -1.147057e+07 + i 6.926997e+06 ; -1.445650e+08 + i 6.629415e+07 ; 5.933311e+06 + i -7.308997e+06 ; 1.473689e+08 + i -1.113602e+08 ; -2.492748e+08 + i 1.879724e+08 ; -5.046315e+06 + i 3.330114e+06 ; -2.004646e+07 + i 1.375282e+07 ; -1.445692e+08 + i 6.629701e+07 ; 1.473619e+08 + i -1.113694e+08 ; 5.991810e+06 + i -7.300530e+06 ; -2.492401e+08 + i 1.879779e+08 ; -2.004623e+07 + i 1.375137e+07 ; -5.041848e+06 + i 3.326659e+06 ; 5.075182e+08 + i -4.088417e+08 ; 4.874428e+07 + i -2.988948e+07 ; 4.877139e+07 + i -2.988009e+07 ; -3.000924e+09 + i 1.187867e+09 ; -1.576510e+07 + i 4.026921e+06 ; -1.575480e+07 + i 4.021733e+06 ; -5.786362e+06 + i 1.654992e+06 ; -1.625373e+07 + i 1.563932e+07 ; -1.624981e+07 + i 1.564008e+07 ; -2.121732e+06 + i -1.497931e+06 ; -1.006178e+06 + i 2.103821e+06 ; -1.004664e+06 + i 2.103792e+06 ; 2.788961e+06 + i -1.430644e+07 ; -5.210434e+06 + i 4.704040e+06 ; -4.260145e+07 + i 3.261050e+07 ; 4.464555e+06 + i -1.147779e+07 ; 5.767891e+05 + i 2.019359e+05 ; -3.908526e+05 + i 3.115866e+06 ; 2.800269e+06 + i -1.430740e+07 ; -4.260138e+07 + i 3.261290e+07 ; -5.226539e+06 + i 4.701115e+06 ; 4.470094e+06 + i -1.147775e+07 ; -3.898238e+05 + i 3.116040e+06 ; 5.721096e+05 + i 2.025486e+05 ; 1.027217e+08 + i -7.866596e+07 ; -1.850426e+07 + i 9.394663e+06 ; -1.851001e+07 + i 9.390939e+06 ; 5.698961e+07 + i -3.631281e+07 ; 1.197036e+06 + i 8.195113e+05 ; 1.192467e+06 + i 8.201681e+05 ; 
2.326235e+07 + i -2.688772e+07 ; 2.417822e+06 + i 2.394186e+07 ; 2.469610e+07 + i -2.767902e+07 ; 3.300853e+06 + i -5.569195e+06 ; -1.442968e+08 + i 6.677479e+07 ; 1.469467e+08 + i -1.109402e+08 ; -1.329692e+07 + i 8.264121e+06 ; 5.788644e+06 + i 2.871984e+07 ; -1.338420e+07 + i 8.036155e+06 ; -6.148143e+06 + i 4.223544e+06 ; -2.498532e+08 + i 1.893739e+08 ; -2.244079e+07 + i 1.506815e+07 ; 1.450025e+08 + i -1.101165e+08 ; -1.463612e+08 + i 6.776023e+07 ; 5.805325e+06 + i -7.076486e+06 ; 4.463165e+07 + i -2.749879e+07 ; 5.047615e+08 + i -4.075960e+08 ; 4.846171e+07 + i -2.957985e+07 ; -2.244988e+07 + i 1.538747e+07 ; -2.518805e+08 + i 1.906208e+08 ; -6.489013e+06 + i 4.048027e+06 ; -1.723858e+07 + i 5.170413e+06 ; -3.007852e+09 + i 1.191604e+09 ; -1.749885e+07 + i 4.803220e+06 ; -1.745991e+07 + i 1.558380e+07 ; -1.311383e+07 + i 1.360184e+07 ; 9.696987e+06 + i -8.474794e+06 ; -1.073544e+07 + i 8.715984e+06 ; -1.787856e+06 + i 3.161722e+06 ; -3.415158e+05 + i -4.143038e+05 ; 7.154382e+06 + i -4.681310e+06 ; -1.670754e+07 + i 1.871859e+07 ; -5.769492e+06 + i 3.193127e+06 ; 5.544200e+06 + i -3.145594e+06 ; -1.839966e+06 + i 3.320895e+06 ; -1.081291e+06 + i 9.970784e+05 ; -3.981519e+07 + i 3.251006e+07 ; -3.411432e+07 + i 2.187793e+07 ; 2.418029e+06 + i -1.436603e+06 ; -2.288753e+07 + i 1.552275e+07 ; -2.071703e+06 + i 4.928381e+06 ; -8.137093e+05 + i 2.350453e+05 ; 1.387248e+07 + i -6.714979e+06 ; -4.773379e+07 + i 3.736769e+07 ; -3.807142e+06 + i 1.640636e+06 ; 9.576021e+06 + i -3.708148e+06 ; -1.487545e+06 + i 4.769591e+06 ; -7.891971e+05 + i 6.901434e+05 ; 
