-3.982047e+10 + i 4.031379e+10 ; 5.108232e+08 + i -8.326014e+08 ; 5.104367e+08 + i -8.318363e+08 ; 1.158600e+10 + i -2.861108e+10 ; 2.568394e+09 + i 1.094336e+09 ; 2.567100e+09 + i 1.093409e+09 ; -2.615434e+09 + i 1.367648e+10 ; -1.320522e+09 + i -3.482465e+08 ; 1.084436e+08 + i -7.757446e+08 ; -7.774681e+09 + i -5.147378e+09 ; 3.315113e+09 + i -8.436868e+09 ; 1.397168e+09 + i -1.637343e+08 ; -2.615331e+09 + i 1.367782e+10 ; 1.088297e+08 + i -7.780351e+08 ; -1.319594e+09 + i -3.486008e+08 ; -7.774421e+09 + i -5.145835e+09 ; 1.401112e+09 + i -1.657655e+08 ; 3.315551e+09 + i -8.436729e+09 ; 2.002724e+09 + i 4.652529e+09 ; -8.509476e+08 + i -2.382012e+07 ; -8.494844e+08 + i -2.298026e+07 ; -5.832625e+09 + i 1.786807e+09 ; 1.772421e+08 + i -3.402966e+09 ; 1.777890e+08 + i -3.402412e+09 ; 1.896773e+09 + i -1.122091e+09 ; 1.964173e+08 + i -1.671260e+08 ; 1.961445e+08 + i -1.674202e+08 ; 8.885157e+08 + i -2.215868e+08 ; 2.010658e+07 + i -1.300551e+08 ; 1.998852e+07 + i -1.300249e+08 ; 9.163928e+08 + i -1.545872e+09 ; -9.654624e+07 + i -7.579107e+08 ; 1.267933e+08 + i -1.878386e+08 ; 8.885707e+08 + i -5.049364e+08 ; -1.260317e+08 + i -2.462556e+08 ; -4.182015e+05 + i -1.260180e+08 ; 9.167274e+08 + i -1.545607e+09 ; 1.273707e+08 + i -1.882931e+08 ; -9.637746e+07 + i -7.580165e+08 ; 8.884047e+08 + i -5.048959e+08 ; -3.002292e+05 + i -1.263716e+08 ; -1.259527e+08 + i -2.463703e+08 ; 2.423706e+08 + i -1.528542e+09 ; -1.400877e+08 + i -5.761869e+08 ; -1.399943e+08 + i -5.762786e+08 ; 7.876083e+08 + i -7.295492e+08 ; -1.238134e+08 + i -2.072019e+08 ; -1.237159e+08 + i -2.072074e+08 ; 
8.166864e+08 + i 3.358191e+07 ; 7.492397e+08 + i 1.765594e+06 ; 1.974944e+09 + i 4.565388e+09 ; -2.156084e+06 + i 6.654841e+08 ; 1.184703e+09 + i 2.836266e+08 ; -2.591154e+09 + i 1.362137e+10 ; 1.237963e+09 + i 3.250564e+08 ; -9.317457e+07 + i 6.942391e+08 ; -2.644775e+09 + i 1.358543e+10 ; -3.369373e+08 + i 7.306052e+08 ; -4.352191e+08 + i 7.574681e+08 ; -3.976938e+10 + i 4.024135e+10 ; -5.539686e+07 + i 3.052202e+09 ; -1.102017e+08 + i 2.990129e+09 ; -5.986735e+09 + i 1.714270e+09 ; -1.120014e+09 + i 1.319580e+08 ; -2.787571e+09 + i 7.536964e+09 ; -7.906578e+09 + i -5.161145e+09 ; -2.758466e+09 + i 7.606913e+09 ; -1.279356e+09 + i 1.020976e+08 ; -7.918847e+09 + i -5.245144e+09 ; -2.129479e+09 + i -8.681251e+08 ; -2.309694e+09 + i -9.199433e+08 ; 1.145637e+10 + i -2.865419e+10 ; -4.345312e+08 + i -1.412540e+08 ; 2.671475e+08 + i 6.665146e+07 ; -2.246523e+08 + i 1.757975e+09 ; -9.186141e+07 + i -3.475337e+08 ; 1.182582e+08 + i 2.652465e+06 ; -2.881170e+06 + i 6.187169e+08 ; -5.095156e+08 + i -2.336666e+08 ; 2.979924e+07 + i 1.960925e+08 ; -7.631956e+08 + i 2.600066e+09 ; -1.964151e+07 + i -3.712428e+08 ; 7.050777e+07 + i 9.765907e+07 ; 2.309661e+04 + i 7.443862e+08 ; 2.544561e+08 + i -1.516552e+09 ; -8.402887e+07 + i 8.582279e+08 ; -1.397380e+09 + i 8.255769e+08 ; 5.861991e+08 + i -5.118451e+08 ; 1.096113e+08 + i 1.992070e+08 ; -3.680328e+08 + i 8.022303e+08 ; 8.662266e+08 + i -2.458036e+09 ; -1.905832e+08 + i 6.995930e+07 ; -1.737469e+09 + i 2.847541e+08 ; 8.935053e+08 + i -4.129954e+08 ; -1.983377e+07 + i 9.078004e+07 ; -5.407995e+08 + i 7.902655e+08 ; 
-2.622769e+09 + i 1.368715e+10 ; 1.084157e+08 + i -7.624840e+08 ; 1.351789e+09 + i 4.897903e+08 ; -7.744554e+09 + i -5.109949e+09 ; 1.394247e+09 + i -1.283605e+08 ; -2.781370e+09 + i 7.644891e+09 ; 2.003078e+09 + i 4.659887e+09 ; -8.295911e+08 + i -1.545054e+07 ; 8.111534e+08 + i 1.177866e+07 ; -5.807873e+09 + i 1.794733e+09 ; 1.867710e+08 + i -3.292835e+09 ; -9.553558e+07 + i 3.035783e+09 ; -3.982822e+10 + i 4.030419e+10 ; 4.986013e+08 + i -8.233387e+08 ; -5.155942e+08 + i 8.114254e+08 ; 1.156698e+10 + i -2.859871e+10 ; 2.522827e+09 + i 1.068130e+09 ; -2.501649e+09 + i -1.137881e+09 ; -2.628877e+09 + i 1.368088e+10 ; -1.323478e+09 + i -3.400877e+08 ; -9.386201e+07 + i 7.410140e+08 ; -7.772030e+09 + i -5.132264e+09 ; 3.197393e+09 + i -8.186196e+09 ; -1.336489e+09 + i 1.300040e+08 ; 9.233163e+08 + i -1.549834e+09 ; 1.281513e+08 + i -1.799573e+08 ; 9.199000e+07 + i 6.692369e+08 ; 8.910059e+08 + i -5.036632e+08 ; 1.787752e+06 + i -1.220734e+08 ; 1.117601e+08 + i 2.162739e+08 ; 2.467369e+08 + i -1.532376e+09 ; -1.330321e+08 + i -5.574630e+08 ; 1.266694e+08 + i 5.057513e+08 ; 7.905034e+08 + i -7.287033e+08 ; -1.185595e+08 + i -2.006635e+08 ; 1.090690e+08 + i 1.810063e+08 ; 1.897306e+09 + i -1.122529e+09 ; 1.936169e+08 + i -1.642034e+08 ; -1.868839e+08 + i 1.461426e+08 ; 8.896891e+08 + i -2.227306e+08 ; 2.074872e+07 + i -1.272542e+08 ; -2.233488e+07 + i 1.149089e+08 ; 9.186917e+08 + i -1.546873e+09 ; -9.182340e+07 + i -7.357862e+08 ; -1.234731e+08 + i 1.628590e+08 ; 8.897098e+08 + i -5.059837e+08 ; -1.211179e+08 + i -2.395342e+08 ; -4.173755e+06 + i 1.105279e+08 ; 
1.248460e+08 + i -7.275570e+08 ; -2.657140e+09 + i 1.356301e+10 ; 1.343579e+09 + i 4.900742e+08 ; -7.931184e+08 + i 2.190692e+07 ; 1.974996e+09 + i 4.556684e+09 ; 8.074453e+08 + i 9.620060e+06 ; 1.409832e+09 + i -7.329348e+07 ; -7.918371e+09 + i -5.243348e+09 ; -2.810555e+09 + i 7.643494e+09 ; 2.543756e+08 + i -3.226250e+09 ; -5.964659e+09 + i 1.721700e+09 ; -1.174864e+08 + i 3.033411e+09 ; 5.131103e+08 + i -7.880427e+08 ; -3.984929e+10 + i 4.018101e+10 ; -5.258233e+08 + i 8.075517e+08 ; -1.288941e+09 + i -2.985267e+08 ; -2.650752e+09 + i 1.357943e+10 ; -9.894546e+07 + i 7.373228e+08 ; 2.534855e+09 + i 1.124019e+09 ; 1.141671e+10 + i -2.876745e+10 ; -2.517743e+09 + i -1.155253e+09 ; 3.263594e+09 + i -8.111001e+09 ; -7.916745e+09 + i -5.235115e+09 ; -1.349013e+09 + i 1.141308e+08 ; 1.190516e+08 + i -8.679715e+07 ; -6.319717e+06 + i 6.191675e+08 ; 1.229913e+08 + i 2.367172e+07 ; 1.606100e+08 + i -5.966362e+06 ; -1.265131e+07 + i 3.319547e+08 ; 5.739319e+07 + i 5.737325e+06 ; 5.710714e+08 + i -3.779019e+08 ; -3.668926e+08 + i 8.013798e+08 ; 6.913900e+07 + i 1.908616e+08 ; 3.643655e+08 + i 9.246909e+06 ; -2.230959e+07 + i 4.111601e+08 ; 5.130671e+07 + i 5.516621e+07 ; 1.779537e+08 + i -6.041238e+07 ; -4.334703e+06 + i 7.443803e+08 ; 7.026933e+07 + i 9.628564e+07 ; 1.650471e+08 + i 2.728560e+07 ; -1.880902e+07 + i 3.480105e+08 ; 5.341985e+07 + i 3.265520e+07 ; 7.942025e+08 + i -3.691269e+08 ; -5.406537e+08 + i 7.895900e+08 ; 1.023249e+07 + i 7.848717e+07 ; 3.840528e+08 + i 6.505389e+07 ; -6.005616e+07 + i 4.333270e+08 ; 3.178519e+07 + i 3.156785e+07 ; 
-2.660725e+09 + i -1.320518e+09 ; -2.665294e+09 + i -1.281084e+09 ; 1.141421e+10 + i -2.877472e+10 ; -3.250838e+09 + i 8.105944e+09 ; -1.429049e+09 + i 1.381263e+08 ; -7.891693e+09 + i -5.206835e+09 ; -1.435774e+09 + i 1.003735e+08 ; -3.215469e+09 + i 8.179073e+09 ; -7.917608e+09 + i -5.238613e+09 ; -2.325395e+08 + i 3.227458e+09 ; -1.877134e+08 + i 3.290441e+09 ; -5.946320e+09 + i 1.728729e+09 ; -5.407172e+08 + i 8.013803e+08 ; -5.362365e+08 + i 8.330294e+08 ; -3.984956e+10 + i 4.018629e+10 ; 1.396212e+09 + i 4.952304e+08 ; -1.187641e+08 + i 7.709488e+08 ; -2.625378e+09 + i 1.356001e+10 ; -1.315562e+08 + i 7.406929e+08 ; 1.423841e+09 + i 5.383205e+08 ; -2.645989e+09 + i 1.354490e+10 ; 8.358509e+08 + i -9.372086e+06 ; 8.703464e+08 + i 2.662656e+07 ; 1.981612e+09 + i 4.526909e+09 ; -7.938117e+08 + i 3.836334e+08 ; 1.082086e+07 + i 8.738903e+07 ; -5.423604e+08 + i 7.959988e+08 ; -3.876389e+08 + i -5.812488e+07 ; 3.428170e+07 + i 3.541763e+07 ; -5.883164e+07 + i 4.351676e+08 ; -5.661283e+08 + i 3.879714e+08 ; 7.123382e+07 + i 2.097582e+08 ; -3.661355e+08 + i 8.076608e+08 ; -3.663332e+08 + i -1.307843e+06 ; 5.470337e+07 + i 6.138908e+07 ; -2.056202e+07 + i 4.130839e+08 ; -1.827728e+08 + i 7.635952e+07 ; 7.439428e+07 + i 1.040478e+08 ; -5.036672e+06 + i 7.456448e+08 ; -1.698609e+08 + i -2.137463e+07 ; 5.722569e+07 + i 3.575758e+07 ; -2.010234e+07 + i 3.488523e+08 ; -1.178443e+08 + i 9.792750e+07 ; 1.327161e+08 + i 2.792694e+07 ; -7.088468e+06 + i 6.200597e+08 ; -1.634641e+08 + i 1.298716e+07 ; 6.209258e+07 + i 7.208370e+06 ; -1.381582e+07 + i 3.330725e+08 ; 
-7.722571e+09 + i -5.103912e+09 ; -1.413765e+09 + i 1.015735e+08 ; 2.865791e+09 + i -7.537714e+09 ; -2.263799e+09 + i 1.356669e+10 ; -1.390786e+08 + i 6.664687e+08 ; -1.369993e+09 + i -5.229140e+08 ; -5.794031e+09 + i 1.792801e+09 ; -2.383799e+08 + i 3.212046e+09 ; 1.648507e+08 + i -2.984619e+09 ; 2.273905e+09 + i 4.475292e+09 ; 7.134410e+08 + i -1.994561e+07 ; -7.356562e+08 + i 2.291853e+07 ; 1.156278e+10 + i -2.859474e+10 ; -2.529453e+09 + i -1.078119e+09 ; 2.651058e+09 + i 1.231980e+09 ; -3.937104e+10 + i 4.032052e+10 ; -5.093210e+08 + i 7.144015e+08 ; 4.680298e+08 + i -6.818352e+08 ; -7.766947e+09 + i -5.125678e+09 ; -3.180110e+09 + i 7.987118e+09 ; 1.398355e+09 + i -1.044305e+08 ; -2.268825e+09 + i 1.357293e+10 ; 1.196862e+09 + i 2.878473e+08 ; 1.190074e+08 + i -6.498323e+08 ; -3.078602e+08 + i -2.683214e+09 ; 6.642884e+08 + i 3.875056e+07 ; -7.767086e+08 + i 2.383410e+09 ; 9.165652e+08 + i -1.549070e+09 ; 2.816357e+08 + i -2.238311e+08 ; 1.790404e+08 + i 6.638389e+08 ; -7.894237e+08 + i -1.326244e+09 ; 2.645246e+08 + i -1.489694e+09 ; -2.193248e+08 + i 1.420618e+09 ; 2.402042e+08 + i -1.532988e+09 ; -1.605352e+08 + i -4.897968e+08 ; 1.685068e+08 + i 4.692231e+08 ; 1.945803e+09 + i -5.400496e+09 ; 8.941399e+08 + i 2.765679e+08 ; -7.989619e+08 + i -1.898831e+08 ; 1.896519e+09 + i -1.118027e+09 ; 3.901410e+08 + i -2.026456e+08 ; -3.462254e+08 + i 2.064896e+08 ; -2.941681e+08 + i -2.673380e+09 ; 8.695004e+08 + i -2.495091e+09 ; -5.980164e+08 + i -1.680377e+06 ; 9.162803e+08 + i -1.545752e+09 ; -1.687867e+08 + i -6.923970e+08 ; -2.484607e+08 + i 2.220144e+08 ; 
8.275927e+08 + i 3.012539e+07 ; 1.976125e+09 + i 4.559568e+09 ; 8.171582e+08 + i -1.685924e+07 ; -2.583321e+06 + i 6.760125e+08 ; -2.585719e+09 + i 1.361509e+10 ; 1.343142e+09 + i 4.465158e+08 ; -9.357400e+07 + i 3.061853e+09 ; -5.963476e+09 + i 1.717745e+09 ; -1.302741e+08 + i 2.959843e+09 ; -1.158704e+09 + i 1.477677e+08 ; -7.876643e+09 + i -5.131605e+09 ; -2.750106e+09 + i 7.495351e+09 ; 1.298750e+09 + i 3.336320e+08 ; -2.650170e+09 + i 1.358584e+10 ; -8.753940e+07 + i 7.364175e+08 ; -3.431778e+08 + i 7.383746e+08 ; -3.977222e+10 + i 4.023675e+10 ; -4.900048e+08 + i 8.053003e+08 ; -2.742754e+09 + i 7.582357e+09 ; -7.913052e+09 + i -5.236158e+09 ; -1.370056e+09 + i 1.320387e+08 ; -2.159226e+09 + i -8.968190e+08 ; 1.144681e+10 + i -2.864652e+10 ; -2.468653e+09 + i -1.087516e+09 ; -4.297529e+08 + i -1.399663e+08 ; -2.250171e+08 + i 1.757321e+09 ; 2.750090e+08 + i 6.760499e+07 ; -9.000901e+07 + i -3.454107e+08 ; -3.282184e+06 + i 6.185780e+08 ; 1.193225e+08 + i 1.847674e+06 ; 2.517179e+08 + i -1.513623e+09 ; -1.394033e+09 + i 8.270121e+08 ; -8.186659e+07 + i 8.540239e+08 ; 5.868930e+08 + i -5.117418e+08 ; -3.668455e+08 + i 8.016482e+08 ; 1.095696e+08 + i 1.978162e+08 ; -4.975032e+08 + i -2.310119e+08 ; -7.637824e+08 + i 2.598938e+09 ; 2.847278e+07 + i 2.025519e+08 ; -1.732499e+07 + i -3.666920e+08 ; -6.013315e+05 + i 7.443394e+08 ; 7.164448e+07 + i 9.951259e+07 ; 8.716132e+08 + i -2.455609e+09 ; -1.738785e+09 + i 2.847036e+08 ; -1.936338e+08 + i 6.804993e+07 ; 8.952969e+08 + i -4.101664e+08 ; -5.407291e+08 + i 7.903551e+08 ; -1.946242e+07 + i 9.092057e+07 ; 
2.762758e+09 + i -7.596787e+09 ; -1.412019e+09 + i 1.656703e+08 ; -7.870942e+09 + i -5.202365e+09 ; 2.429410e+09 + i 1.152132e+09 ; -2.601591e+09 + i -1.197884e+09 ; 1.143932e+10 + i -2.864354e+10 ; 6.284003e+07 + i -3.064829e+09 ; -1.840651e+08 + i 3.207780e+09 ; -5.937461e+09 + i 1.724441e+09 ; 1.187849e+09 + i -1.972332e+08 ; -3.103487e+09 + i 7.981328e+09 ; -7.875309e+09 + i -5.120454e+09 ; -1.541496e+09 + i -6.020584e+08 ; -1.076671e+08 + i 7.563064e+08 ; -2.623436e+09 + i 1.355618e+10 ; 3.414639e+08 + i -7.382060e+08 ; -5.008823e+08 + i 8.256834e+08 ; -3.976335e+10 + i 4.024760e+10 ; -8.966517e+08 + i -3.472712e+07 ; 8.708088e+08 + i 8.098796e+04 ; 1.979425e+09 + i 4.524148e+09 ; 8.646454e+06 + i -6.867029e+08 ; 1.420003e+09 + i 4.878423e+08 ; -2.570577e+09 + i 1.359563e+10 ; -8.895700e+08 + i 2.437316e+09 ; -2.196066e+08 + i 5.127714e+07 ; -1.754068e+09 + i 2.697104e+08 ; -9.023488e+08 + i 3.902907e+08 ; -2.699202e+07 + i 9.301429e+07 ; -5.458551e+08 + i 7.888247e+08 ; -2.697202e+08 + i 1.498056e+09 ; -1.050086e+08 + i 8.981341e+08 ; -1.405337e+09 + i 8.242274e+08 ; -5.956925e+08 + i 4.959773e+08 ; 1.105055e+08 + i 2.084622e+08 ; -3.701364e+08 + i 8.024733e+08 ; 4.524057e+08 + i 1.737168e+08 ; 2.452037e+07 + i 2.163936e+08 ; -7.648232e+08 + i 2.599835e+09 ; 1.913824e+07 + i 3.374318e+08 ; 7.317396e+07 + i 1.078833e+08 ; -3.025895e+06 + i 7.422927e+08 ; 4.017145e+08 + i 1.149150e+08 ; 2.899717e+08 + i 7.590820e+07 ; -2.264265e+08 + i 1.756034e+09 ; 8.425680e+07 + i 3.235993e+08 ; 1.252722e+08 + i 4.020068e+06 ; -6.545963e+06 + i 6.171332e+08 ; 
2.003662e+09 + i 4.664394e+09 ; 8.233008e+08 + i -1.220646e+07 ; 8.239293e+08 + i -1.203273e+07 ; -5.789966e+09 + i 1.792218e+09 ; -1.335559e+08 + i 2.990701e+09 ; -1.330787e+08 + i 2.991223e+09 ; -2.630131e+09 + i 1.368785e+10 ; -9.047110e+07 + i 7.257725e+08 ; 1.353721e+09 + i 4.459974e+08 ; -7.743585e+09 + i -5.103954e+09 ; -1.368874e+09 + i 1.424362e+08 ; -2.742388e+09 + i 7.483112e+09 ; -2.630036e+09 + i 1.368920e+10 ; 1.353299e+09 + i 4.460747e+08 ; -9.076573e+07 + i 7.276493e+08 ; -7.743349e+09 + i -5.102493e+09 ; -2.743235e+09 + i 7.482902e+09 ; -1.371295e+09 + i 1.447209e+08 ; -3.983906e+10 + i 4.029679e+10 ; -4.999111e+08 + i 7.934728e+08 ; -5.006266e+08 + i 7.937838e+08 ; 1.155394e+10 + i -2.858056e+10 ; -2.456896e+09 + i -1.102774e+09 ; -2.457507e+09 + i -1.103805e+09 ; 2.496851e+08 + i -1.536831e+09 ; 1.184334e+08 + i 4.978904e+08 ; 1.185043e+08 + i 4.979163e+08 ; 7.928901e+08 + i -7.284686e+08 ; 1.047468e+08 + i 1.788904e+08 ; 1.048170e+08 + i 1.788918e+08 ; 9.242418e+08 + i -1.550524e+09 ; -1.263466e+08 + i 1.597309e+08 ; 8.584927e+07 + i 6.588515e+08 ; 8.920923e+08 + i -5.048216e+08 ; -6.424829e+06 + i 1.094651e+08 ; 1.080196e+08 + i 2.139083e+08 ; 9.245698e+08 + i -1.550267e+09 ; 8.565182e+07 + i 6.588471e+08 ; -1.266589e+08 + i 1.601899e+08 ; 8.919276e+08 + i -5.047855e+08 ; 1.079327e+08 + i 2.139763e+08 ; -6.463020e+06 + i 1.097457e+08 ; 1.898329e+09 + i -1.122242e+09 ; -1.858613e+08 + i 1.453824e+08 ; -1.859261e+08 + i 1.451987e+08 ; 8.905807e+08 + i -2.235471e+08 ; -2.327259e+07 + i 1.142958e+08 ; -2.335043e+07 + i 1.142800e+08 ; 
-1.438361e+09 + i 9.792762e+07 ; -7.894217e+09 + i -5.233001e+09 ; 2.830868e+09 + i -7.526674e+09 ; -2.512367e+08 + i 3.151799e+09 ; -5.938279e+09 + i 1.722478e+09 ; 1.408536e+08 + i -3.012094e+09 ; -1.227296e+08 + i 7.189783e+08 ; -2.653166e+09 + i 1.354923e+10 ; -1.484716e+09 + i -5.463976e+08 ; 8.326798e+08 + i -3.590508e+07 ; 1.978609e+09 + i 4.531239e+09 ; -8.309802e+08 + i -2.181136e+05 ; -2.611108e+09 + i -1.249704e+09 ; 1.140568e+10 + i -2.875508e+10 ; 2.618704e+09 + i 1.213645e+09 ; -3.186681e+09 + i 7.906876e+09 ; -7.885838e+09 + i -5.199210e+09 ; 1.368454e+09 + i -1.299814e+08 ; -5.213663e+08 + i 7.796756e+08 ; -3.984272e+10 + i 4.018818e+10 ; 4.540805e+08 + i -7.454767e+08 ; 1.384453e+09 + i 4.375518e+08 ; -2.621872e+09 + i 1.356216e+10 ; 9.681499e+07 + i -6.975612e+08 ; -5.514846e+08 + i 3.762510e+08 ; -3.654879e+08 + i 8.071190e+08 ; -6.873687e+07 + i -1.875986e+08 ; -3.551045e+08 + i -2.603671e+06 ; -2.041619e+07 + i 4.128466e+08 ; -5.082444e+07 + i -5.378448e+07 ; -1.100775e+08 + i 9.378617e+07 ; -6.310672e+06 + i 6.209918e+08 ; -1.225666e+08 + i -2.178553e+07 ; -1.569023e+08 + i 1.264136e+07 ; -1.323308e+07 + i 3.331370e+08 ; -5.701405e+07 + i -4.871941e+06 ; -7.718435e+08 + i 3.705618e+08 ; -5.414765e+08 + i 7.971315e+08 ; -1.187967e+07 + i -7.633540e+07 ; -3.757394e+08 + i -5.747289e+07 ; -5.846681e+07 + i 4.355400e+08 ; -3.153632e+07 + i -3.050450e+07 ; -1.729909e+08 + i 7.205344e+07 ; -4.533546e+06 + i 7.462763e+08 ; -7.027114e+07 + i -9.276708e+07 ; -1.628642e+08 + i -2.077317e+07 ; -1.953985e+07 + i 3.490695e+08 ; -5.290361e+07 + i -3.132712e+07 ; 
-1.438469e+09 + i 9.914256e+07 ; 2.830930e+09 + i -7.526461e+09 ; -7.893767e+09 + i -5.233684e+09 ; -2.509400e+08 + i 3.151748e+09 ; 1.411798e+08 + i -3.011908e+09 ; -5.938756e+09 + i 1.720330e+09 ; -2.611910e+09 + i -1.250105e+09 ; 2.619267e+09 + i 1.214386e+09 ; 1.141122e+10 + i -2.875968e+10 ; -3.186758e+09 + i 7.906932e+09 ; 1.369066e+09 + i -1.297254e+08 ; -7.883235e+09 + i -5.203693e+09 ; -1.227945e+08 + i 7.198700e+08 ; -1.484043e+09 + i -5.451396e+08 ; -2.642708e+09 + i 1.354133e+10 ; 8.335560e+08 + i -3.518065e+07 ; -8.299916e+08 + i 5.298545e+05 ; 1.979939e+09 + i 4.522415e+09 ; -5.226426e+08 + i 7.798943e+08 ; 4.541883e+08 + i -7.456821e+08 ; -3.984299e+10 + i 4.019030e+10 ; 1.384439e+09 + i 4.376678e+08 ; 9.712262e+07 + i -6.976959e+08 ; -2.620379e+09 + i 1.355984e+10 ; -5.515181e+08 + i 3.759771e+08 ; -6.871465e+07 + i -1.875544e+08 ; -3.650637e+08 + i 8.070315e+08 ; -3.550565e+08 + i -2.620672e+06 ; -5.079796e+07 + i -5.379502e+07 ; -2.027653e+07 + i 4.127292e+08 ; -7.718964e+08 + i 3.705196e+08 ; -1.179826e+07 + i -7.626499e+07 ; -5.410050e+08 + i 7.964695e+08 ; -3.757646e+08 + i -5.755093e+07 ; -3.148222e+07 + i -3.047145e+07 ; -5.833900e+07 + i 4.350898e+08 ; -1.101018e+08 + i 9.357517e+07 ; -1.224835e+08 + i -2.175116e+07 ; -6.667341e+06 + i 6.205306e+08 ; -1.568309e+08 + i 1.261822e+07 ; -5.698688e+07 + i -4.899397e+06 ; -1.353718e+07 + i 3.331945e+08 ; -1.729100e+08 + i 7.178944e+07 ; -7.031654e+07 + i -9.274853e+07 ; -4.520633e+06 + i 7.460373e+08 ; -1.628153e+08 + i -2.083455e+07 ; -5.291720e+07 + i -3.130414e+07 ; -1.972496e+07 + i 3.488915e+08 ; 
-5.772619e+09 + i 1.788343e+09 ; 1.917948e+08 + i -2.957989e+09 ; 1.914662e+08 + i -2.958596e+09 ; 2.271281e+09 + i 4.474175e+09 ; -7.508133e+08 + i 6.730716e+07 ; -7.514398e+08 + i 6.704354e+07 ; -7.721186e+09 + i -5.094559e+09 ; 1.421995e+09 + i -1.454127e+08 ; 2.840027e+09 + i -7.380249e+09 ; -2.263092e+09 + i 1.356661e+10 ; 1.277096e+08 + i -6.235130e+08 ; -1.364899e+09 + i -4.585784e+08 ; -7.720479e+09 + i -5.093370e+09 ; 2.840725e+09 + i -7.379949e+09 ; 1.424812e+09 + i -1.473302e+08 ; -2.261952e+09 + i 1.356760e+10 ; -1.364493e+09 + i -4.585620e+08 ; 1.281503e+08 + i -6.251575e+08 ; 1.154768e+10 + i -2.856687e+10 ; 2.601085e+09 + i 1.178968e+09 ; 2.601533e+09 + i 1.180180e+09 ; -3.936857e+10 + i 4.031853e+10 ; 4.708808e+08 + i -6.596667e+08 ; 4.715593e+08 + i -6.598317e+08 ; -8.009747e+08 + i -1.327429e+09 ; -2.173738e+08 + i 1.386593e+09 ; -2.172595e+08 + i 1.386781e+09 ; 2.367038e+08 + i -1.536407e+09 ; 1.647254e+08 + i 4.561820e+08 ; 1.649259e+08 + i 4.563282e+08 ; -3.079031e+08 + i -2.682051e+09 ; -5.847729e+08 + i -2.109165e+07 ; -7.653411e+08 + i 2.333164e+09 ; 9.146781e+08 + i -1.550122e+09 ; -2.453787e+08 + i 2.110532e+08 ; 1.757949e+08 + i 6.488258e+08 ; -3.083436e+08 + i -2.682721e+09 ; -7.655633e+08 + i 2.333013e+09 ; -5.856002e+08 + i -2.047854e+07 ; 9.144434e+08 + i -1.550489e+09 ; 1.755748e+08 + i 6.488383e+08 ; -2.457115e+08 + i 2.116880e+08 ; 1.947422e+09 + i -5.402382e+09 ; -7.747494e+08 + i -2.012669e+08 ; -7.748882e+08 + i -2.015705e+08 ; 1.895804e+09 + i -1.119926e+09 ; -3.391605e+08 + i 1.969428e+08 ; -3.393933e+08 + i 1.968770e+08 ; 
1.036160e+08 + i -3.023446e+09 ; -5.931092e+09 + i 1.716832e+09 ; 1.551630e+08 + i -2.960249e+09 ; 1.228601e+09 + i -2.032565e+08 ; -7.852006e+09 + i -5.117124e+09 ; 2.783481e+09 + i -7.384693e+09 ; -9.023623e+08 + i 8.980872e+06 ; 1.975241e+09 + i 4.531343e+09 ; -8.396528e+08 + i 4.154046e+07 ; 9.961905e+06 + i -6.686310e+08 ; -2.575320e+09 + i 1.360115e+10 ; -1.474335e+09 + i -4.889312e+08 ; 2.757433e+09 + i -7.455403e+09 ; -7.865230e+09 + i -5.198681e+09 ; 1.383571e+09 + i -1.699016e+08 ; 2.383267e+09 + i 1.090245e+09 ; 1.143393e+10 + i -2.862419e+10 ; 2.556932e+09 + i 1.146366e+09 ; -1.522903e+09 + i -5.305887e+08 ; -2.620390e+09 + i 1.355810e+10 ; 9.725288e+07 + i -6.916886e+08 ; 3.455567e+08 + i -7.166840e+08 ; -3.975608e+10 + i 4.024801e+10 ; 4.383108e+08 + i -7.369929e+08 ; -2.700203e+08 + i 1.482547e+09 ; -1.403734e+09 + i 8.244754e+08 ; 8.250377e+07 + i -8.356684e+08 ; -5.917190e+08 + i 4.904372e+08 ; -3.699010e+08 + i 8.023529e+08 ; -1.068411e+08 + i -1.932325e+08 ; 3.886054e+08 + i 1.288341e+08 ; -2.271183e+08 + i 1.757358e+09 ; -2.766397e+08 + i -6.430755e+07 ; 7.506703e+07 + i 3.224994e+08 ; -6.041726e+06 + i 6.176700e+08 ; -1.179696e+08 + i -5.218734e+05 ; -8.900844e+08 + i 2.400177e+09 ; -1.755781e+09 + i 2.741230e+08 ; 1.928652e+08 + i -6.526988e+07 ; -8.934318e+08 + i 3.845056e+08 ; -5.456808e+08 + i 7.904032e+08 ; 1.921869e+07 + i -8.885639e+07 ; 4.383699e+08 + i 1.902746e+08 ; -7.645658e+08 + i 2.598980e+09 ; -2.915533e+07 + i -1.981124e+08 ; 1.029762e+07 + i 3.364251e+08 ; -2.641973e+06 + i 7.424593e+08 ; -7.088186e+07 + i -9.746275e+07 ; 
