-8.303169e+09 + i 5.362188e+08 ; -1.926369e+07 + i -1.620948e+06 ; -1.926802e+07 + i -1.621408e+06 ; 2.630125e+09 + i -2.848924e+08 ; 1.414391e+08 + i -5.131551e+06 ; 1.414369e+08 + i -5.132617e+06 ; -1.236351e+09 + i 1.339703e+08 ; -7.503678e+07 + i 2.646110e+06 ; -1.363688e+07 + i -2.860394e+05 ; -2.837511e+08 + i -8.835561e+06 ; 6.623344e+08 + i -7.670111e+07 ; 3.694068e+07 + i -3.357310e+06 ; -1.236350e+09 + i 1.339710e+08 ; -1.363525e+07 + i -2.859157e+05 ; -7.503645e+07 + i 2.645992e+06 ; -2.837534e+08 + i -8.834999e+06 ; 3.695471e+07 + i -3.351288e+06 ; 6.623348e+08 + i -7.670087e+07 ; -2.304492e+08 + i 4.366418e+07 ; -3.886985e+07 + i 2.222133e+06 ; -3.886399e+07 + i 2.224103e+06 ; -1.278935e+08 + i 1.591122e+07 ; 1.790493e+08 + i -2.596159e+07 ; 1.790496e+08 + i -2.596133e+07 ; 2.123587e+08 + i -1.639589e+07 ; 1.109147e+06 + i -5.235994e+05 ; 1.110102e+06 + i -5.235162e+05 ; 1.005074e+08 + i -6.152474e+06 ; -8.562653e+05 + i -8.503743e+04 ; -8.563625e+05 + i -8.505094e+04 ; 7.899770e+07 + i -1.158702e+07 ; 2.904847e+07 + i -5.007091e+06 ; -4.235526e+05 + i -3.356469e+05 ; 5.101519e+07 + i -6.258427e+06 ; 6.769962e+06 + i -1.378605e+06 ; -1.002583e+06 + i -4.523789e+04 ; 7.899844e+07 + i -1.158654e+07 ; -4.225231e+05 + i -3.350126e+05 ; 2.904861e+07 + i -5.007051e+06 ; 5.101530e+07 + i -6.258289e+06 ; -1.002206e+06 + i -4.509400e+04 ; 6.769949e+06 + i -1.378613e+06 ; 2.937532e+07 + i -7.017152e+06 ; 1.957971e+07 + i -3.585688e+06 ; 1.957953e+07 + i -3.585770e+06 ; 2.667065e+07 + i -4.948640e+06 ; 5.297937e+06 + i -1.120620e+06 ; 5.297887e+06 + i -1.120617e+06 ; 
-1.800601e+07 + i -1.672652e+06 ; -8.309034e+09 + i 5.361425e+08 ; -1.911516e+07 + i -1.640327e+06 ; -7.317519e+07 + i 2.542076e+06 ; -1.239289e+09 + i 1.339571e+08 ; -1.340271e+07 + i -2.954470e+05 ; 1.440477e+08 + i -5.135782e+06 ; 2.617519e+09 + i -2.847808e+08 ; 1.418143e+08 + i -5.169353e+06 ; 6.679907e+08 + i -7.682317e+07 ; -2.905441e+08 + i -8.531293e+06 ; 3.735045e+07 + i -3.387746e+06 ; -1.254045e+07 + i -3.470253e+05 ; -1.240605e+09 + i 1.340598e+08 ; -7.486010e+07 + i 2.622469e+06 ; -3.737136e+07 + i 2.109871e+06 ; -2.323129e+08 + i 4.374670e+07 ; -3.862754e+07 + i 2.214296e+06 ; 3.923188e+07 + i -3.383309e+06 ; -2.918353e+08 + i -8.471464e+06 ; 6.632419e+08 + i -7.678968e+07 ; 1.837390e+08 + i -2.611642e+07 ; -1.319338e+08 + i 1.628462e+07 ; 1.798402e+08 + i -2.602978e+07 ; 4.942585e+05 + i -5.498188e+05 ; -3.788588e+07 + i 6.385896e+06 ; -3.546351e+06 + i 1.229045e+05 ; 1.512693e+06 + i -4.257408e+05 ; -1.467798e+07 + i 2.375935e+06 ; -1.426695e+06 + i 9.524120e+04 ; 8.176064e+07 + i -6.833132e+06 ; -3.493288e+07 + i 5.060138e+06 ; -1.482876e+06 + i -6.904836e+03 ; 3.923773e+07 + i -2.396485e+06 ; -1.312208e+07 + i 2.083219e+06 ; -9.666053e+05 + i 4.561010e+04 ; -2.017223e+06 + i -3.646583e+05 ; -2.976255e+07 + i 5.096398e+06 ; -5.833885e+06 + i 3.478983e+05 ; 9.151660e+04 + i -3.667462e+05 ; -1.234852e+07 + i 2.100401e+06 ; -1.978063e+06 + i 1.616197e+05 ; 5.332238e+07 + i -5.269155e+06 ; -2.662167e+07 + i 4.182442e+06 ; 6.699264e+06 + i -1.241372e+06 ; 2.868625e+07 + i -2.252835e+06 ; -1.117286e+07 + i 1.858111e+06 ; 8.090799e+05 + i -2.529610e+05 ; 
-1.801473e+07 + i -1.673924e+06 ; -1.911543e+07 + i -1.640355e+06 ; -8.309042e+09 + i 5.361390e+08 ; -7.317489e+07 + i 2.542070e+06 ; -1.340308e+07 + i -2.954827e+05 ; -1.239303e+09 + i 1.339562e+08 ; -1.254454e+07 + i -3.472402e+05 ; -7.486272e+07 + i 2.621054e+06 ; -1.240651e+09 + i 1.340379e+08 ; -3.736563e+07 + i 2.111780e+06 ; -3.862901e+07 + i 2.213621e+06 ; -2.323246e+08 + i 4.374475e+07 ; 1.440471e+08 + i -5.135712e+06 ; 1.418127e+08 + i -5.170211e+06 ; 2.617496e+09 + i -2.847915e+08 ; 6.679915e+08 + i -7.682284e+07 ; 3.734892e+07 + i -3.388433e+06 ; -2.905548e+08 + i -8.535430e+06 ; 3.921482e+07 + i -3.387214e+06 ; 6.632416e+08 + i -7.678984e+07 ; -2.918388e+08 + i -8.472820e+06 ; 1.837350e+08 + i -2.611765e+07 ; 1.798390e+08 + i -2.603010e+07 ; -1.319410e+08 + i 1.628475e+07 ; 4.962456e+05 + i -5.495913e+05 ; -3.546383e+06 + i 1.228872e+05 ; -3.788773e+07 + i 6.385687e+06 ; 1.513174e+06 + i -4.256597e+05 ; -1.426744e+06 + i 9.523000e+04 ; -1.467798e+07 + i 2.376011e+06 ; -2.014051e+06 + i -3.640892e+05 ; -5.833959e+06 + i 3.478663e+05 ; -2.976374e+07 + i 5.096272e+06 ; 9.313481e+04 + i -3.663656e+05 ; -1.978054e+06 + i 1.616277e+05 ; -1.234845e+07 + i 2.100518e+06 ; 8.176012e+07 + i -6.833249e+06 ; -1.483033e+06 + i -6.994705e+03 ; -3.493493e+07 + i 5.059486e+06 ; 3.923749e+07 + i -2.396543e+06 ; -9.666849e+05 + i 4.557692e+04 ; -1.312275e+07 + i 2.083041e+06 ; 5.332455e+07 + i -5.268915e+06 ; 6.699337e+06 + i -1.241348e+06 ; -2.662232e+07 + i 4.182235e+06 ; 2.868669e+07 + i -2.252804e+06 ; 8.091015e+05 + i -2.529458e+05 ; -1.117333e+07 + i 1.858020e+06 ; 
2.630335e+09 + i -2.848433e+08 ; -1.444243e+08 + i 5.040884e+06 ; -1.444214e+08 + i 5.042287e+06 ; -8.281612e+09 + i 5.352333e+08 ; 1.598546e+07 + i 1.678572e+06 ; 1.599002e+07 + i 1.679132e+06 ; -2.836840e+08 + i -8.820683e+06 ; -6.718877e+08 + i 7.657338e+07 ; -3.865428e+07 + i 3.434000e+06 ; -1.225948e+09 + i 1.330576e+08 ; 6.978868e+07 + i -2.302036e+06 ; 1.064184e+07 + i 3.541263e+05 ; -2.836909e+08 + i -8.821275e+06 ; -3.866605e+07 + i 3.428540e+06 ; -6.718882e+08 + i 7.657314e+07 ; -1.225939e+09 + i 1.330606e+08 ; 1.063958e+07 + i 3.538018e+05 ; 6.978809e+07 + i -2.302079e+06 ; -1.278770e+08 + i 1.591453e+07 ; -1.829596e+08 + i 2.611345e+07 ; -1.829603e+08 + i 2.611304e+07 ; -2.257745e+08 + i 4.294880e+07 ; 3.408261e+07 + i -1.943771e+06 ; 3.408079e+07 + i -1.944593e+06 ; 5.064122e+08 + i -5.389263e+07 ; 4.410747e+07 + i -1.918897e+06 ; 4.410675e+07 + i -1.919317e+06 ; 2.123497e+08 + i -1.639757e+07 ; 4.805057e+06 + i -9.967569e+05 ; 4.803636e+06 + i -9.970167e+05 ; 1.152445e+08 + i -2.032209e+07 ; 1.986849e+08 + i -2.339166e+07 ; 2.212567e+07 + i -1.541027e+06 ; 7.898606e+07 + i -1.158793e+07 ; 2.485126e+07 + i -4.859489e+06 ; 2.890663e+06 + i -6.690084e+05 ; 1.152513e+08 + i -2.032092e+07 ; 2.212823e+07 + i -1.539632e+06 ; 1.986853e+08 + i -2.339148e+07 ; 7.898918e+07 + i -1.158739e+07 ; 2.892181e+06 + i -6.684928e+05 ; 2.485160e+07 + i -4.859395e+06 ; 1.651312e+07 + i -7.235555e+06 ; 9.841059e+07 + i -1.295465e+07 ; 9.841152e+07 + i -1.295428e+07 ; 2.936723e+07 + i -7.016936e+06 ; 1.839606e+07 + i -3.493803e+06 ; 1.839652e+07 + i -3.493549e+06 ; 
8.009922e+07 + i -2.333418e+06 ; -1.239493e+09 + i 1.339074e+08 ; -1.373696e+07 + i -3.214402e+05 ; 2.205307e+07 + i 1.546843e+06 ; -8.301149e+09 + i 5.359551e+08 ; -1.947835e+07 + i -1.658769e+06 ; -6.897080e+08 + i 7.525658e+07 ; -2.905243e+08 + i -8.525230e+06 ; 3.754087e+07 + i -3.364093e+06 ; -1.377808e+08 + i 3.955115e+06 ; 2.623518e+09 + i -2.847504e+08 ; 1.430572e+08 + i -4.958871e+06 ; 4.187797e+07 + i -2.161938e+06 ; -2.323489e+08 + i 4.374274e+07 ; -3.923167e+07 + i 2.172091e+06 ; 1.549354e+07 + i 1.624674e+05 ; -1.233657e+09 + i 1.338719e+08 ; -7.605071e+07 + i 2.577890e+06 ; -1.845984e+08 + i 2.579194e+07 ; -1.319413e+08 + i 1.628193e+07 ; 1.817980e+08 + i -2.599924e+07 ; -3.140670e+07 + i 2.910889e+06 ; -2.863094e+08 + i -8.499963e+06 ; 6.698469e+08 + i -7.640527e+07 ; -3.162303e+07 + i 1.008232e+06 ; -2.423780e+08 + i 2.641852e+07 ; -6.993881e+06 + i -3.141407e+04 ; -1.623230e+07 + i -1.720083e+05 ; -3.786913e+07 + i 6.392879e+06 ; -2.866007e+06 + i 1.326089e+05 ; 2.059008e+08 + i -2.339150e+07 ; -1.210140e+08 + i 7.668296e+06 ; 7.293208e+06 + i -5.342297e+05 ; 8.743885e+07 + i -7.088768e+06 ; -3.493344e+07 + i 5.060907e+06 ; -8.583619e+05 + i -1.209229e+05 ; -2.182448e+07 + i 9.992568e+05 ; -1.283853e+08 + i 1.692658e+07 ; -1.539874e+07 + i 6.693918e+05 ; -1.305763e+07 + i 1.452362e+05 ; -2.975051e+07 + i 5.100687e+06 ; -4.781151e+06 + i 3.638310e+05 ; 1.030955e+08 + i -1.291405e+07 ; -8.125479e+07 + i 8.255288e+06 ; 5.476720e+07 + i -7.333022e+06 ; 5.222608e+07 + i -5.305423e+06 ; -2.662146e+07 + i 4.182839e+06 ; 4.689738e+06 + i -1.172984e+06 ; 
8.010054e+07 + i -2.333079e+06 ; -1.373739e+07 + i -3.214952e+05 ; -1.239508e+09 + i 1.339066e+08 ; 2.205789e+07 + i 1.547398e+06 ; -1.947858e+07 + i -1.658781e+06 ; -8.301155e+09 + i 5.359525e+08 ; 4.187770e+07 + i -2.162417e+06 ; -3.923318e+07 + i 2.171397e+06 ; -2.323584e+08 + i 4.374172e+07 ; 1.549547e+07 + i 1.622887e+05 ; -7.605300e+07 + i 2.576596e+06 ; -1.233713e+09 + i 1.338474e+08 ; -6.897079e+08 + i 7.525652e+07 ; 3.753955e+07 + i -3.364691e+06 ; -2.905351e+08 + i -8.529657e+06 ; -1.377804e+08 + i 3.955058e+06 ; 1.430553e+08 + i -4.959875e+06 ; 2.623498e+09 + i -2.847600e+08 ; -1.845934e+08 + i 2.579348e+07 ; 1.817972e+08 + i -2.599936e+07 ; -1.319322e+08 + i 1.628702e+07 ; -3.139828e+07 + i 2.912864e+06 ; 6.698464e+08 + i -7.640552e+07 ; -2.863128e+08 + i -8.501414e+06 ; -3.162447e+07 + i 1.007884e+06 ; -6.993850e+06 + i -3.142803e+04 ; -2.423719e+08 + i 2.641964e+07 ; -1.623385e+07 + i -1.722494e+05 ; -2.866113e+06 + i 1.325832e+05 ; -3.786743e+07 + i 6.393284e+06 ; -2.182437e+07 + i 9.992824e+05 ; -1.539885e+07 + i 6.692701e+05 ; -1.283848e+08 + i 1.692616e+07 ; -1.305760e+07 + i 1.453860e+05 ; -4.781168e+06 + i 3.638215e+05 ; -2.974941e+07 + i 5.101042e+06 ; 2.059008e+08 + i -2.339146e+07 ; 7.292971e+06 + i -5.344003e+05 ; -1.210156e+08 + i 7.666962e+06 ; 8.743887e+07 + i -7.088692e+06 ; -8.585587e+05 + i -1.210104e+05 ; -3.493475e+07 + i 5.060404e+06 ; 1.030929e+08 + i -1.291482e+07 ; 5.476763e+07 + i -7.332905e+06 ; -8.125338e+07 + i 8.255056e+06 ; 5.222365e+07 + i -5.306024e+06 ; 4.689733e+06 + i -1.172969e+06 ; -2.662270e+07 + i 4.182460e+06 ; 
-1.236565e+09 + i 1.339133e+08 ; 7.774630e+07 + i -2.635098e+06 ; -1.380803e+07 + i -3.160266e+05 ; -2.838693e+08 + i -8.904939e+06 ; -6.934282e+08 + i 7.531718e+07 ; 3.733727e+07 + i -3.340095e+06 ; -8.303246e+09 + i 5.361868e+08 ; 1.991219e+07 + i 1.716001e+06 ; -1.949394e+07 + i -1.675754e+06 ; 2.630087e+09 + i -2.849190e+08 ; -1.472513e+08 + i 4.729161e+06 ; 1.431332e+08 + i -4.933511e+06 ; -2.305000e+08 + i 4.365282e+07 ; 4.062003e+07 + i -2.060314e+06 ; -3.932815e+07 + i 2.179671e+06 ; -1.279363e+08 + i 1.589338e+07 ; -1.875048e+08 + i 2.581886e+07 ; 1.812334e+08 + i -2.593897e+07 ; -1.236352e+09 + i 1.339727e+08 ; 1.419703e+07 + i 3.761336e+05 ; -7.593367e+07 + i 2.539572e+06 ; -2.837460e+08 + i -8.831945e+06 ; -3.862364e+07 + i 3.256885e+06 ; 6.703564e+08 + i -7.639404e+07 ; 7.905064e+07 + i -1.157444e+07 ; -3.041142e+07 + i 5.027426e+06 ; -4.346758e+05 + i -3.417006e+05 ; 5.104039e+07 + i -6.252568e+06 ; -7.086550e+06 + i 1.394402e+06 ; -1.015885e+06 + i -4.782039e+04 ; 2.123629e+08 + i -1.639479e+07 ; -1.126483e+06 + i 5.543413e+05 ; 1.127347e+06 + i -5.272610e+05 ; 1.005068e+08 + i -6.152280e+06 ; 9.051558e+05 + i 9.976693e+04 ; -8.654448e+05 + i -8.748906e+04 ; 2.939193e+07 + i -7.015879e+06 ; -2.049993e+07 + i 3.609237e+06 ; 1.981897e+07 + i -3.592445e+06 ; 2.668268e+07 + i -4.947302e+06 ; -5.545786e+06 + i 1.135004e+06 ; 5.363153e+06 + i -1.124154e+06 ; 7.900262e+07 + i -1.158529e+07 ; 4.675425e+05 + i 3.643617e+05 ; 2.940385e+07 + i -5.013009e+06 ; 5.101538e+07 + i -6.257852e+06 ; 1.057023e+06 + i 5.834555e+04 ; 6.853181e+06 + i -1.382494e+06 ; 
-1.448826e+08 + i 5.373278e+06 ; 2.617721e+09 + i -2.847394e+08 ; -1.435304e+08 + i 4.964348e+06 ; -6.755254e+08 + i 7.654233e+07 ; -2.906072e+08 + i -8.588432e+06 ; -3.781450e+07 + i 3.356337e+06 ; 1.805616e+07 + i 1.649181e+06 ; -8.309107e+09 + i 5.361179e+08 ; 1.927777e+07 + i 1.681048e+06 ; 7.319423e+07 + i -2.886322e+06 ; -1.239280e+09 + i 1.339744e+08 ; 1.352927e+07 + i 3.171183e+05 ; -3.961267e+07 + i 3.380389e+06 ; -2.917523e+08 + i -8.447324e+06 ; -6.712714e+08 + i 7.648390e+07 ; -1.858159e+08 + i 2.609429e+07 ; -1.319423e+08 + i 1.627741e+07 ; -1.820251e+08 + i 2.600952e+07 ; 1.262016e+07 + i 3.494092e+05 ; -1.240632e+09 + i 1.340498e+08 ; 7.576260e+07 + i -2.513758e+06 ; 3.771943e+07 + i -2.100885e+06 ; -2.323272e+08 + i 4.374130e+07 ; 3.909622e+07 + i -2.168168e+06 ; -8.271801e+07 + i 6.747827e+06 ; -3.497039e+07 + i 5.045310e+06 ; 1.499738e+06 + i 9.551562e+03 ; -3.970060e+07 + i 2.342503e+06 ; -1.312585e+07 + i 2.081909e+06 ; 9.779538e+05 + i -4.440480e+04 ; -5.544601e+05 + i 5.170812e+05 ; -3.789135e+07 + i 6.384388e+06 ; 3.586169e+06 + i -1.182575e+05 ; -1.555382e+06 + i 4.089213e+05 ; -1.468022e+07 + i 2.375251e+06 ; 1.443324e+06 + i -9.379348e+04 ; -5.394682e+07 + i 5.223611e+06 ; -2.664506e+07 + i 4.175080e+06 ; -6.780894e+06 + i 1.243953e+06 ; -2.902496e+07 + i 2.219599e+06 ; -1.117724e+07 + i 1.856927e+06 ; -8.189436e+05 + i 2.545573e+05 ; 2.011357e+06 + i 3.529743e+05 ; -2.976238e+07 + i 5.096575e+06 ; 5.904194e+06 + i -3.411877e+05 ; -1.088933e+05 + i 3.590799e+05 ; -1.234887e+07 + i 2.100200e+06 ; 2.002073e+06 + i -1.598408e+05 ; 
-1.267760e+07 + i -3.645448e+05 ; 7.836765e+07 + i -2.167822e+06 ; -1.240869e+09 + i 1.339871e+08 ; -3.777706e+07 + i 2.075529e+06 ; 4.043858e+07 + i -2.024733e+06 ; -2.323711e+08 + i 4.373866e+07 ; -1.820624e+07 + i -1.721856e+06 ; 1.992066e+07 + i 1.845737e+06 ; -8.309113e+09 + i 5.361162e+08 ; -7.399604e+07 + i 2.441333e+06 ; 1.397278e+07 + i 3.939216e+05 ; -1.239339e+09 + i 1.339499e+08 ; 3.945207e+07 + i -3.459363e+06 ; -6.945459e+08 + i 7.529136e+07 ; -2.918164e+08 + i -8.465917e+06 ; 1.857629e+08 + i -2.613010e+07 ; -1.882763e+08 + i 2.591818e+07 ; -1.319311e+08 + i 1.628703e+07 ; 1.456851e+08 + i -4.925962e+06 ; -1.484680e+08 + i 4.309484e+06 ; 2.617505e+09 + i -2.847867e+08 ; 6.756141e+08 + i -7.648260e+07 ; -3.896711e+07 + i 3.340754e+06 ; -2.905465e+08 + i -8.532615e+06 ; -2.031519e+06 + i -3.711930e+05 ; 6.104485e+06 + i -3.212280e+05 ; -2.976203e+07 + i 5.097117e+06 ; 9.755317e+04 + i -3.699671e+05 ; 2.069761e+06 + i -1.547869e+05 ; -1.234718e+07 + i 2.100847e+06 ; 4.994763e+05 + i -5.558182e+05 ; 3.706719e+06 + i -1.040788e+05 ; -3.789092e+07 + i 6.385363e+06 ; 1.528785e+06 + i -4.283867e+05 ; 1.492089e+06 + i -8.953031e+04 ; -1.467889e+07 + i 2.375938e+06 ; 5.393777e+07 + i -5.233585e+06 ; -7.011589e+06 + i 1.251821e+06 ; -2.662162e+07 + i 4.182598e+06 ; 2.901632e+07 + i -2.226920e+06 ; -8.463584e+05 + i 2.595610e+05 ; -1.117322e+07 + i 1.858093e+06 ; 8.268208e+07 + i -6.765448e+06 ; 1.563453e+06 + i 2.362634e+04 ; -3.493434e+07 + i 5.059728e+06 ; 3.967702e+07 + i -2.354524e+06 ; 1.014522e+06 + i -3.914271e+04 ; -1.312232e+07 + i 2.083158e+06 ; 
-2.847775e+08 + i -9.044553e+06 ; 7.038257e+08 + i -7.484552e+07 ; -3.902404e+07 + i 3.420496e+06 ; -1.225848e+09 + i 1.330759e+08 ; -6.702421e+07 + i 3.062829e+06 ; 1.076476e+07 + i 3.764603e+05 ; 2.629998e+09 + i -2.849404e+08 ; 1.452065e+08 + i -5.330221e+06 ; -1.459876e+08 + i 4.864854e+06 ; -8.281574e+09 + i 5.352438e+08 ; -1.667234e+07 + i -1.869164e+06 ; 1.616311e+07 + i 1.723510e+06 ; -1.280740e+08 + i 1.589186e+07 ; 1.915503e+08 + i -2.591602e+07 ; -1.849773e+08 + i 2.609855e+07 ; -2.258189e+08 + i 4.293505e+07 ; -3.515865e+07 + i 1.826564e+06 ; 3.444920e+07 + i -1.911034e+06 ; -2.836763e+08 + i -8.812015e+06 ; 3.999890e+07 + i -3.336009e+06 ; -6.792463e+08 + i 7.631653e+07 ; -1.225923e+09 + i 1.330654e+08 ; -1.094286e+07 + i -4.140111e+05 ; 7.054221e+07 + i -2.215075e+06 ; 1.155624e+08 + i -2.026004e+07 ; -2.087403e+08 + i 2.277946e+07 ; 2.235122e+07 + i -1.525407e+06 ; 7.912789e+07 + i -1.155704e+07 ; -2.622132e+07 + i 4.862677e+06 ; 2.917276e+06 + i -6.726170e+05 ; 5.064203e+08 + i -5.389082e+07 ; -4.741692e+07 + i 1.409848e+06 ; 4.458997e+07 + i -1.868266e+06 ; 2.123478e+08 + i -1.639802e+07 ; -5.234778e+06 + i 9.759895e+05 ; 4.858434e+06 + i -9.997879e+05 ; 1.664800e+07 + i -7.214155e+06 ; -1.034023e+08 + i 1.272165e+07 ; 9.949331e+07 + i -1.293520e+07 ; 2.944366e+07 + i -7.003373e+06 ; -1.940336e+07 + i 3.492569e+06 ; 1.860101e+07 + i -3.501425e+06 ; 1.152536e+08 + i -2.032042e+07 ; -2.368558e+07 + i 1.341441e+06 ; 2.008620e+08 + i -2.332379e+07 ; 7.898687e+07 + i -1.158780e+07 ; -3.174890e+06 + i 6.548560e+05 ; 2.512690e+07 + i -4.871709e+06 ; 
6.978161e+08 + i -7.470521e+07 ; -2.915750e+08 + i -8.742432e+06 ; -3.796063e+07 + i 3.337793e+06 ; 1.334027e+08 + i -4.904235e+06 ; 2.623408e+09 + i -2.847842e+08 ; -1.446245e+08 + i 4.776913e+06 ; -7.497011e+07 + i 3.407325e+06 ; -1.239185e+09 + i 1.339958e+08 ; 1.385235e+07 + i 3.404823e+05 ; -2.222946e+07 + i -1.587458e+06 ; -8.301120e+09 + i 5.359678e+08 ; 1.962533e+07 + i 1.694448e+06 ; 1.866386e+08 + i -2.573527e+07 ; -1.321119e+08 + i 1.626679e+07 ; -1.837950e+08 + i 2.598776e+07 ; 3.129776e+07 + i -2.926797e+06 ; -2.862305e+08 + i -8.472969e+06 ; -6.771793e+08 + i 7.615199e+07 ; -4.182925e+07 + i 2.164269e+06 ; -2.323646e+08 + i 4.373273e+07 ; 3.966270e+07 + i -2.130866e+06 ; -1.546802e+07 + i -1.522845e+05 ; -1.233674e+09 + i 1.338639e+08 ; 7.688141e+07 + i -2.480993e+06 ; -2.080318e+08 + i 2.328636e+07 ; -1.207098e+08 + i 7.725199e+06 ; -7.374791e+06 + i 5.275329e+05 ; -8.825695e+07 + i 7.028254e+06 ; -3.489164e+07 + i 5.067242e+06 ; 8.663362e+05 + i 1.233921e+05 ; 3.318105e+07 + i -7.163982e+05 ; -2.424014e+08 + i 2.641178e+07 ; 7.059628e+06 + i 4.099811e+04 ; 1.693178e+07 + i 3.250851e+05 ; -3.787964e+07 + i 6.388914e+06 ; 2.894723e+06 + i -1.297944e+05 ; -1.041688e+08 + i 1.287365e+07 ; -8.113136e+07 + i 8.274964e+06 ; -5.536789e+07 + i 7.324193e+06 ; -5.271408e+07 + i 5.280165e+06 ; -2.659592e+07 + i 4.186692e+06 ; -4.741590e+06 + i 1.178249e+06 ; 2.257774e+07 + i -8.736667e+05 ; -1.283957e+08 + i 1.692349e+07 ; 1.556608e+07 + i -6.516756e+05 ; 1.348905e+07 + i -6.350237e+04 ; -2.975744e+07 + i 5.097987e+06 ; 4.833709e+06 + i -3.599086e+05 ; 
