-1.299340e+10 + i 6.727327e+08 ; -2.378667e+07 + i -2.556138e+06 ; -2.379175e+07 + i -2.556867e+06 ; 4.365052e+09 + i -3.746449e+08 ; 2.105198e+08 + i -3.423154e+06 ; 2.105184e+08 + i -3.424056e+06 ; -2.054034e+09 + i 1.783463e+08 ; -1.116187e+08 + i 1.800638e+06 ; -1.849190e+07 + i -8.638361e+05 ; -3.784852e+08 + i -2.290097e+07 ; 1.110323e+09 + i -1.016039e+08 ; 5.917718e+07 + i -3.464889e+06 ; -2.054034e+09 + i 1.783468e+08 ; -1.849017e+07 + i -8.633782e+05 ; -1.116181e+08 + i 1.800647e+06 ; -3.784890e+08 + i -2.290089e+07 ; 5.918680e+07 + i -3.459305e+06 ; 1.110324e+09 + i -1.016037e+08 ; -4.254641e+08 + i 6.179756e+07 ; -5.953885e+07 + i 1.962659e+06 ; -5.953385e+07 + i 1.964462e+06 ; -2.138429e+08 + i 1.736949e+07 ; 3.123055e+08 + i -3.574840e+07 ; 3.123055e+08 + i -3.574817e+07 ; 3.370069e+08 + i -1.983778e+07 ; 2.673682e+06 + i -6.685847e+05 ; 2.674854e+06 + i -6.684532e+05 ; 1.559399e+08 + i -7.103757e+06 ; -1.006833e+06 + i -1.603103e+05 ; -1.006937e+06 + i -1.603326e+05 ; 1.374771e+08 + i -1.531124e+07 ; 5.254067e+07 + i -7.100789e+06 ; 1.320303e+05 + i -4.781812e+05 ; 8.581668e+07 + i -7.836468e+06 ; 1.279029e+07 + i -2.061680e+06 ; -1.297736e+06 + i -1.113986e+05 ; 1.374775e+08 + i -1.531087e+07 ; 1.323880e+05 + i -4.775894e+05 ; 5.254079e+07 + i -7.100748e+06 ; 8.581665e+07 + i -7.836386e+06 ; -1.297481e+06 + i -1.112361e+05 ; 1.279029e+07 + i -2.061685e+06 ; 5.750970e+07 + i -1.009261e+07 ; 3.594688e+07 + i -5.174037e+06 ; 3.594675e+07 + i -5.174102e+06 ; 4.870236e+07 + i -6.663462e+06 ; 1.011864e+07 + i -1.696460e+06 ; 1.011856e+07 + i -1.696461e+06 ; 
-2.191443e+07 + i -2.583047e+06 ; -1.300153e+10 + i 6.725148e+08 ; -2.353695e+07 + i -2.576716e+06 ; -1.087876e+08 + i 1.723381e+06 ; -2.058133e+09 + i 1.782488e+08 ; -1.814194e+07 + i -8.699050e+05 ; 2.142068e+08 + i -3.365808e+06 ; 4.347009e+09 + i -3.747641e+08 ; 2.111225e+08 + i -3.456362e+06 ; 1.118562e+09 + i -1.016310e+08 ; -3.886778e+08 + i -2.268789e+07 ; 5.981481e+07 + i -3.489295e+06 ; -1.682915e+07 + i -9.049237e+05 ; -2.060191e+09 + i 1.783347e+08 ; -1.113192e+08 + i 1.773881e+06 ; -5.720292e+07 + i 1.866494e+06 ; -4.282280e+08 + i 6.182811e+07 ; -5.917901e+07 + i 1.957026e+06 ; 6.245859e+07 + i -3.439400e+06 ; -3.906182e+08 + i -2.265087e+07 ; 1.111789e+09 + i -1.016955e+08 ; 3.192405e+08 + i -3.583194e+07 ; -2.202915e+08 + i 1.772978e+07 ; 3.135641e+08 + i -3.581689e+07 ; 1.822714e+06 + i -6.748966e+05 ; -6.814715e+07 + i 8.925716e+06 ; -5.248402e+06 + i 5.535721e+04 ; 2.990199e+06 + i -4.782668e+05 ; -2.624089e+07 + i 3.374072e+06 ; -2.208274e+06 + i 8.145164e+04 ; 1.308340e+08 + i -8.288876e+06 ; -6.069335e+07 + i 6.632323e+06 ; -2.065122e+06 + i -6.302898e+04 ; 6.076828e+07 + i -2.636989e+06 ; -2.333208e+07 + i 2.903187e+06 ; -1.455855e+06 + i 2.885439e+04 ; -2.088372e+06 + i -5.168104e+05 ; -5.379394e+07 + i 7.217839e+06 ; -8.967054e+06 + i 3.121300e+05 ; 8.800319e+05 + i -4.546243e+05 ; -2.232262e+07 + i 3.010544e+06 ; -3.133120e+06 + i 1.627312e+05 ; 8.710426e+07 + i -6.559201e+06 ; -4.709323e+07 + i 5.655641e+06 ; 1.235021e+07 + i -1.816763e+06 ; 4.548031e+07 + i -2.588253e+06 ; -2.007433e+07 + i 2.619277e+06 ; 1.748481e+06 + i -4.072259e+05 ; 
-2.192424e+07 + i -2.584676e+06 ; -2.353725e+07 + i -2.576768e+06 ; -1.300153e+10 + i 6.725119e+08 ; -1.087873e+08 + i 1.723429e+06 ; -1.814236e+07 + i -8.699742e+05 ; -2.058150e+09 + i 1.782467e+08 ; -1.683426e+07 + i -9.054749e+05 ; -1.113207e+08 + i 1.772760e+06 ; -2.060220e+09 + i 1.783148e+08 ; -5.719797e+07 + i 1.868222e+06 ; -5.917999e+07 + i 1.956437e+06 ; -4.282396e+08 + i 6.182473e+07 ; 2.142060e+08 + i -3.365865e+06 ; 2.111216e+08 + i -3.457039e+06 ; 4.346993e+09 + i -3.747740e+08 ; 1.118563e+09 + i -1.016308e+08 ; 5.981375e+07 + i -3.489880e+06 ; -3.886855e+08 + i -2.269209e+07 ; 6.244138e+07 + i -3.443478e+06 ; 1.111789e+09 + i -1.016956e+08 ; -3.906213e+08 + i -2.265187e+07 ; 3.192369e+08 + i -3.583307e+07 ; 3.135629e+08 + i -3.581723e+07 ; -2.203014e+08 + i 1.772917e+07 ; 1.825033e+06 + i -6.745604e+05 ; -5.248421e+06 + i 5.534352e+04 ; -6.814929e+07 + i 8.925390e+06 ; 2.990717e+06 + i -4.781649e+05 ; -2.208322e+06 + i 8.143920e+04 ; -2.624099e+07 + i 3.374123e+06 ; -2.084943e+06 + i -5.161572e+05 ; -8.967104e+06 + i 3.120996e+05 ; -5.379532e+07 + i 7.217623e+06 ; 8.816550e+05 + i -4.542358e+05 ; -3.133118e+06 + i 1.627360e+05 ; -2.232271e+07 + i 3.010639e+06 ; 1.308335e+08 + i -8.289004e+06 ; -2.065201e+06 + i -6.310270e+04 ; -6.069503e+07 + i 6.631616e+06 ; 6.076804e+07 + i -2.637052e+06 ; -1.455910e+06 + i 2.882319e+04 ; -2.333268e+07 + i 2.902969e+06 ; 8.710680e+07 + i -6.558829e+06 ; 1.235028e+07 + i -1.816742e+06 ; -4.709378e+07 + i 5.655438e+06 ; 4.548085e+07 + i -2.588184e+06 ; 1.748490e+06 + i -4.072154e+05 ; -2.007482e+07 + i 2.619165e+06 ; 
4.365264e+09 + i -3.745954e+08 ; -2.145649e+08 + i 3.259200e+06 ; -2.145630e+08 + i 3.260350e+06 ; -1.296087e+10 + i 6.719182e+08 ; 1.905472e+07 + i 2.534019e+06 ; 1.905998e+07 + i 2.534829e+06 ; -3.784164e+08 + i -2.288555e+07 ; -1.123532e+09 + i 1.012061e+08 ; -6.174383e+07 + i 3.509250e+06 ; -2.037430e+09 + i 1.773948e+08 ; 1.034995e+08 + i -1.493166e+06 ; 1.413359e+07 + i 8.659503e+05 ; -3.784247e+08 + i -2.288657e+07 ; -6.175123e+07 + i 3.504227e+06 ; -1.123533e+09 + i 1.012059e+08 ; -2.037422e+09 + i 1.773975e+08 ; 1.413128e+07 + i 8.653328e+05 ; 1.034988e+08 + i -1.493285e+06 ; -2.138257e+08 + i 1.737325e+07 ; -3.181236e+08 + i 3.583047e+07 ; -3.181238e+08 + i 3.583013e+07 ; -4.173438e+08 + i 6.095214e+07 ; 5.219699e+07 + i -1.717432e+06 ; 5.219576e+07 + i -1.718146e+06 ; 8.384248e+08 + i -7.101614e+07 ; 6.630796e+07 + i -1.468492e+06 ; 6.630758e+07 + i -1.468818e+06 ; 3.369978e+08 + i -1.984023e+07 ; 8.888248e+06 + i -1.192655e+06 ; 8.886734e+06 + i -1.192961e+06 ; 2.091695e+08 + i -2.856172e+07 ; 3.339395e+08 + i -3.107695e+07 ; 3.446552e+07 + i -1.473252e+06 ; 1.374629e+08 + i -1.531289e+07 ; 4.628960e+07 + i -6.986340e+06 ; 5.528075e+06 + i -8.458163e+05 ; 2.091769e+08 + i -2.856036e+07 ; 3.446678e+07 + i -1.471981e+06 ; 3.339398e+08 + i -3.107678e+07 ; 1.374663e+08 + i -1.531226e+07 ; 5.529250e+06 + i -8.452503e+05 ; 4.628990e+07 + i -6.986235e+06 ; 4.030903e+07 + i -1.134051e+07 ; 1.685708e+08 + i -1.754482e+07 ; 1.685716e+08 + i -1.754450e+07 ; 5.749834e+07 + i -1.009301e+07 ; 3.407856e+07 + i -5.073553e+06 ; 3.407879e+07 + i -5.073339e+06 ; 
1.181786e+08 + i -1.357083e+06 ; -2.058335e+09 + i 1.781996e+08 ; -1.856522e+07 + i -9.046462e+05 ; 2.794240e+07 + i 2.457828e+06 ; -1.298999e+10 + i 6.724511e+08 ; -2.402347e+07 + i -2.596201e+06 ; -1.145962e+09 + i 9.914099e+07 ; -3.886597e+08 + i -2.268239e+07 ; 6.002664e+07 + i -3.448053e+06 ; -2.030207e+08 + i 2.135253e+06 ; 4.355422e+09 + i -3.745875e+08 ; 2.124685e+08 + i -3.192964e+06 ; 6.366660e+07 + i -1.827436e+06 ; -4.282699e+08 + i 6.182194e+07 ; -5.994706e+07 + i 1.892975e+06 ; 2.139509e+07 + i 7.195919e+05 ; -2.049978e+09 + i 1.782487e+08 ; -1.129226e+08 + i 1.706298e+06 ; -3.197223e+08 + i 3.533670e+07 ; -2.202978e+08 + i 1.772747e+07 ; 3.162457e+08 + i -3.571271e+07 ; -5.041204e+07 + i 3.000945e+06 ; -3.827624e+08 + i -2.254749e+07 ; 1.120301e+09 + i -1.010400e+08 ; -4.677952e+07 + i 5.922160e+05 ; -4.029207e+08 + i 3.501888e+07 ; -9.785510e+06 + i -2.314525e+05 ; -2.254088e+07 + i -6.106396e+05 ; -6.813490e+07 + i 8.931865e+06 ; -4.299885e+06 + i 7.510058e+04 ; 3.441291e+08 + i -3.091569e+07 ; -1.880384e+08 + i 8.337325e+06 ; 1.142538e+07 + i -5.364952e+05 ; 1.393982e+08 + i -8.490138e+06 ; -6.069518e+07 + i 6.632760e+06 ; -9.483522e+05 + i -1.907012e+05 ; -3.289499e+07 + i 7.733098e+05 ; -2.200430e+08 + i 2.293911e+07 ; -2.315626e+07 + i 5.159410e+05 ; -1.868169e+07 + i -1.741293e+05 ; -5.378435e+07 + i 7.221978e+06 ; -7.510978e+06 + i 3.543429e+05 ; 1.751206e+08 + i -1.740779e+07 ; -1.330779e+08 + i 1.000632e+07 ; 9.412959e+07 + i -1.000129e+07 ; 8.566720e+07 + i -6.658524e+06 ; -4.709361e+07 + i 5.655977e+06 ; 9.361719e+06 + i -1.766085e+06 ; 
1.181799e+08 + i -1.356752e+06 ; -1.856570e+07 + i -9.047322e+05 ; -2.058354e+09 + i 1.781975e+08 ; 2.794804e+07 + i 2.458630e+06 ; -2.402375e+07 + i -2.596243e+06 ; -1.299000e+10 + i 6.724488e+08 ; 6.366688e+07 + i -1.827743e+06 ; -5.994806e+07 + i 1.892373e+06 ; -4.282798e+08 + i 6.181930e+07 ; 2.139785e+07 + i 7.196994e+05 ; -1.129239e+08 + i 1.705280e+06 ; -2.050016e+09 + i 1.782264e+08 ; -1.145962e+09 + i 9.914099e+07 ; 6.002576e+07 + i -3.448568e+06 ; -3.886673e+08 + i -2.268673e+07 ; -2.030202e+08 + i 2.135291e+06 ; 2.124673e+08 + i -3.193756e+06 ; 4.355410e+09 + i -3.745964e+08 ; -3.197178e+08 + i 3.533811e+07 ; 3.162449e+08 + i -3.571288e+07 ; -2.202928e+08 + i 1.773142e+07 ; -5.040360e+07 + i 3.002978e+06 ; 1.120301e+09 + i -1.010402e+08 ; -3.827653e+08 + i -2.254850e+07 ; -4.678093e+07 + i 5.918551e+05 ; -9.785453e+06 + i -2.314553e+05 ; -4.029142e+08 + i 3.502013e+07 ; -2.254262e+07 + i -6.109353e+05 ; -4.299988e+06 + i 7.507320e+04 ; -6.813320e+07 + i 8.932283e+06 ; -3.289485e+07 + i 7.733296e+05 ; -2.315623e+07 + i 5.158531e+05 ; -2.200415e+08 + i 2.293873e+07 ; -1.868185e+07 + i -1.740399e+05 ; -7.510982e+06 + i 3.543312e+05 ; -5.378340e+07 + i 7.222316e+06 ; 3.441290e+08 + i -3.091567e+07 ; 1.142531e+07 + i -5.366257e+05 ; -1.880383e+08 + i 8.336120e+06 ; 1.393981e+08 + i -8.490102e+06 ; -9.484839e+05 + i -1.907794e+05 ; -6.069609e+07 + i 6.632215e+06 ; 1.751182e+08 + i -1.740852e+07 ; 9.412999e+07 + i -1.000118e+07 ; -1.330757e+08 + i 1.000632e+07 ; 8.566481e+07 + i -6.659130e+06 ; 9.361695e+06 + i -1.766079e+06 ; -4.709471e+07 + i 5.655609e+06 ; 
-2.054240e+09 + i 1.782905e+08 ; 1.153924e+08 + i -1.694876e+06 ; -1.867646e+07 + i -8.997982e+05 ; -3.785224e+08 + i -2.297579e+07 ; -1.151305e+09 + i 9.909847e+07 ; 5.969267e+07 + i -3.425909e+06 ; -1.299346e+10 + i 6.727066e+08 ; 2.452154e+07 + i 2.672751e+06 ; -2.401378e+07 + i -2.614262e+06 ; 4.365043e+09 + i -3.746679e+08 ; -2.179168e+08 + i 2.813844e+06 ; 2.125247e+08 + i -3.160723e+06 ; -4.255137e+08 + i 6.178407e+07 ; 6.169198e+07 + i -1.738098e+06 ; -6.009879e+07 + i 1.900127e+06 ; -2.138687e+08 + i 1.734861e+07 ; -3.238753e+08 + i 3.529873e+07 ; 3.153218e+08 + i -3.564716e+07 ; -2.054037e+09 + i 1.783470e+08 ; 1.911391e+07 + i 9.709546e+05 ; -1.126786e+08 + i 1.661212e+06 ; -3.784826e+08 + i -2.289896e+07 ; -6.133468e+07 + i 3.291604e+06 ; 1.120993e+09 + i -1.010083e+08 ; 1.375310e+08 + i -1.529936e+07 ; -5.448665e+07 + i 7.073563e+06 ; 1.268229e+05 + i -4.839576e+05 ; 8.584287e+07 + i -7.831160e+06 ; -1.326487e+07 + i 2.068734e+06 ; -1.311542e+06 + i -1.145383e+05 ; 3.370108e+08 + i -1.983667e+07 ; -2.750947e+06 + i 6.958035e+05 ; 2.704641e+06 + i -6.704814e+05 ; 1.559387e+08 + i -7.103599e+06 ; 1.047824e+06 + i 1.772579e+05 ; -1.015195e+06 + i -1.630894e+05 ; 5.753074e+07 + i -1.009093e+07 ; -3.728019e+07 + i 5.166907e+06 ; 3.629473e+07 + i -5.172740e+06 ; 4.871691e+07 + i -6.661894e+06 ; -1.049436e+07 + i 1.704516e+06 ; 1.021704e+07 + i -1.698299e+06 ; 1.374813e+08 + i -1.530971e+07 ; -1.214550e+05 + i 5.070657e+05 ; 5.304923e+07 + i -7.094194e+06 ; 8.581613e+07 + i -7.836080e+06 ; 1.349240e+06 + i 1.271391e+05 ; 1.291455e+07 + i -2.063229e+06 ; 
-2.158045e+08 + i 3.569219e+06 ; 4.347221e+09 + i -3.747211e+08 ; -2.131470e+08 + i 3.187641e+06 ; -1.128589e+09 + i 1.010727e+08 ; -3.886588e+08 + i -2.274988e+07 ; -6.040047e+07 + i 3.435272e+06 ; 2.201805e+07 + i 2.569813e+06 ; -1.300159e+10 + i 6.724933e+08 ; 2.369352e+07 + i 2.619814e+06 ; 1.094375e+08 + i -2.061510e+06 ; -2.058148e+09 + i 1.782635e+08 ; 1.827871e+07 + i 8.965388e+05 ; -6.298951e+07 + i 3.425927e+06 ; -3.905424e+08 + i -2.262728e+07 ; -1.122470e+09 + i 1.011001e+08 ; -3.221082e+08 + i 3.573533e+07 ; -2.202866e+08 + i 1.771885e+07 ; -3.165849e+08 + i 3.571722e+07 ; 1.693643e+07 + i 9.104159e+05 ; -2.060214e+09 + i 1.783261e+08 ; 1.123835e+08 + i -1.632501e+06 ; 5.767957e+07 + i -1.850404e+06 ; -4.282402e+08 + i 6.182400e+07 ; 5.974758e+07 + i -1.891182e+06 ; -1.320177e+08 + i 8.169186e+06 ; -6.072021e+07 + i 6.617531e+06 ; 2.083835e+06 + i 6.633995e+04 ; -6.131836e+07 + i 2.567552e+06 ; -2.333471e+07 + i 2.901517e+06 ; 1.469431e+06 + i -2.712864e+04 ; -1.849501e+06 + i 6.422273e+05 ; -6.815201e+07 + i 8.924007e+06 ; 5.295369e+06 + i -4.902734e+04 ; -3.020587e+06 + i 4.612271e+05 ; -2.624272e+07 + i 3.373280e+06 ; 2.228695e+06 + i -7.920246e+04 ; -8.789313e+07 + i 6.489675e+06 ; -4.711253e+07 + i 5.647499e+06 ; -1.246956e+07 + i 1.816768e+06 ; -4.589266e+07 + i 2.542206e+06 ; -2.007812e+07 + i 2.617766e+06 ; -1.765431e+06 + i 4.087001e+05 ; 2.102115e+06 + i 5.044459e+05 ; -5.379384e+07 + i 7.217866e+06 ; 9.052706e+06 + i -3.024164e+05 ; -8.899619e+05 + i 4.460708e+05 ; -2.232268e+07 + i 3.010284e+06 ; 3.163207e+06 + i -1.598231e+05 ; 
-1.698646e+07 + i -9.294332e+05 ; 1.154053e+08 + i -1.201472e+06 ; -2.060440e+09 + i 1.782635e+08 ; -5.770303e+07 + i 1.813092e+06 ; 6.135633e+07 + i -1.693222e+06 ; -4.282927e+08 + i 6.181632e+07 ; -2.211034e+07 + i -2.634132e+06 ; 2.431348e+07 + i 2.787421e+06 ; -1.300159e+10 + i 6.724916e+08 ; -1.097533e+08 + i 1.593828e+06 ; 1.875904e+07 + i 9.882641e+05 ; -2.058188e+09 + i 1.782391e+08 ; 6.289346e+07 + i -3.496265e+06 ; -1.152878e+09 + i 9.908949e+07 ; -3.906010e+08 + i -2.264560e+07 ; 3.220933e+08 + i -3.576788e+07 ; -3.251568e+08 + i 3.539323e+07 ; -2.202915e+08 + i 1.773160e+07 ; 2.161167e+08 + i -3.099053e+06 ; -2.188696e+08 + i 2.367040e+06 ; 4.347000e+09 + i -3.747705e+08 ; 1.128618e+09 + i -1.010226e+08 ; -6.196575e+07 + i 3.361317e+06 ; -3.886784e+08 + i -2.268959e+07 ; -2.097590e+06 + i -5.228006e+05 ; 9.295092e+06 + i -2.739866e+05 ; -5.379419e+07 + i 7.218285e+06 ; 8.932969e+05 + i -4.566582e+05 ; 3.247853e+06 + i -1.515414e+05 ; -2.232149e+07 + i 3.010968e+06 ; 1.839207e+06 + i -6.791090e+05 ; 5.437321e+06 + i -2.980567e+04 ; -6.815303e+07 + i 8.924838e+06 ; 3.016107e+06 + i -4.790523e+05 ; 2.288522e+06 + i -7.259862e+04 ; -2.624212e+07 + i 3.373990e+06 ; 8.789904e+07 + i -6.500272e+06 ; -1.280767e+07 + i 1.817268e+06 ; -4.709332e+07 + i 5.655700e+06 ; 4.589403e+07 + i -2.549847e+06 ; -1.813593e+06 + i 4.133914e+05 ; -2.007477e+07 + i 2.619219e+06 ; 1.320001e+08 + i -8.188328e+06 ; 2.147122e+06 + i 8.283401e+04 ; -6.069457e+07 + i 6.631807e+06 ; 6.130693e+07 + i -2.579908e+06 ; 1.510631e+06 + i -2.019788e+04 ; -2.333227e+07 + i 2.903084e+06 ; 
-3.795499e+08 + i -2.313769e+07 ; 1.165130e+09 + i -9.838550e+07 ; -6.222897e+07 + i 3.475289e+06 ; -2.037322e+09 + i 1.774149e+08 ; -1.009899e+08 + i 2.325088e+06 ; 1.426459e+07 + i 8.926368e+05 ; 4.364954e+09 + i -3.746896e+08 ; 2.161636e+08 + i -3.500505e+06 ; -2.164270e+08 + i 3.023281e+06 ; -1.296084e+10 + i 6.719282e+08 ; -1.969539e+07 + i -2.723239e+06 ; 1.922557e+07 + i 2.581061e+06 ; -2.140537e+08 + i 1.733778e+07 ; 3.297903e+08 + i -3.532859e+07 ; -3.209235e+08 + i 3.574528e+07 ; -4.173824e+08 + i 6.093836e+07 ; -5.349989e+07 + i 1.572231e+06 ; 5.264742e+07 + i -1.668849e+06 ; -3.784171e+08 + i -2.288034e+07 ; 6.344290e+07 + i -3.360394e+06 ; -1.133372e+09 + i 1.006916e+08 ; -2.037408e+09 + i 1.774018e+08 ; -1.445087e+07 + i -9.314306e+05 ; 1.043947e+08 + i -1.378598e+06 ; 2.095030e+08 + i -2.849016e+07 ; -3.469182e+08 + i 3.012740e+07 ; 3.474981e+07 + i -1.446868e+06 ; 1.376078e+08 + i -1.527958e+07 ; -4.820848e+07 + i 6.936913e+06 ; 5.570944e+06 + i -8.474706e+05 ; 8.384327e+08 + i -7.101410e+07 ; -7.002142e+07 + i 8.528553e+05 ; 6.688855e+07 + i -1.398559e+06 ; 3.369957e+08 + i -1.984048e+07 ; -9.438885e+06 + i 1.144879e+06 ; 8.966693e+06 + i -1.192018e+06 ; 4.045728e+07 + i -1.131301e+07 ; -1.751358e+08 + i 1.713782e+07 ; 1.700521e+08 + i -1.748747e+07 ; 5.758037e+07 + i -1.007668e+07 ; -3.548564e+07 + i 5.036077e+06 ; 3.438055e+07 + i -5.074894e+06 ; 2.091793e+08 + i -2.855980e+07 ; -3.627746e+07 + i 1.212403e+06 ; 3.368652e+08 + i -3.093267e+07 ; 1.374637e+08 + i -1.531269e+07 ; -5.893155e+06 + i 8.150501e+05 ; 4.669858e+07 + i -6.989406e+06 ; 
1.156352e+09 + i -9.834190e+07 ; -3.897455e+08 + i -2.292639e+07 ; -6.056037e+07 + i 3.401347e+06 ; 1.986011e+08 + i -3.216357e+06 ; 4.355324e+09 + i -3.746196e+08 ; -2.143274e+08 + i 2.952888e+06 ; -1.129249e+08 + i 2.579708e+06 ; -2.058052e+09 + i 1.782856e+08 ; 1.869106e+07 + i 9.283911e+05 ; -2.812188e+07 + i -2.498707e+06 ; -1.298997e+10 + i 6.724612e+08 ; 2.416664e+07 + i 2.634443e+06 ; 3.224846e+08 + i -3.521542e+07 ; -2.205012e+08 + i 1.769913e+07 ; -3.190223e+08 + i 3.563130e+07 ; 5.030335e+07 + i -3.034331e+06 ; -3.826955e+08 + i -2.252299e+07 ; -1.130110e+09 + i 1.005296e+08 ; -6.362021e+07 + i 1.847341e+06 ; -4.282781e+08 + i 6.181515e+07 ; 6.047244e+07 + i -1.833835e+06 ; -2.138122e+07 + i -7.062968e+05 ; -2.049990e+09 + i 1.782427e+08 ; 1.139081e+08 + i -1.579301e+06 ; -3.469349e+08 + i 3.074757e+07 ; -1.877161e+08 + i 8.404619e+06 ; -1.152674e+07 + i 5.263507e+05 ; -1.404400e+08 + i 8.406583e+06 ; -6.064901e+07 + i 6.641276e+06 ; 9.551981e+05 + i 1.932797e+05 ; 4.843923e+07 + i -2.561075e+05 ; -4.029424e+08 + i 3.501247e+07 ; 9.859968e+06 + i 2.434141e+05 ; 2.325452e+07 + i 7.753274e+05 ; -6.814331e+07 + i 8.928385e+06 ; 4.334539e+06 + i -7.089017e+04 ; -1.765560e+08 + i 1.733501e+07 ; -1.329426e+08 + i 1.003171e+07 ; -9.495514e+07 + i 9.971640e+06 ; -8.630726e+07 + i 6.618555e+06 ; -4.706537e+07 + i 5.661198e+06 ; -9.444383e+06 + i 1.769938e+06 ; 3.372060e+07 + i -6.217770e+05 ; -2.200525e+08 + i 2.293617e+07 ; 2.335751e+07 + i -4.916400e+05 ; 1.913933e+07 + i 2.680010e+05 ; -5.378967e+07 + i 7.219553e+06 ; 7.576807e+06 + i -3.479839e+05 ; 
