-5.933399e+09 + i 5.993348e+08 ; -1.927911e+07 + i -5.750600e+05 ; -1.928346e+07 + i -5.749579e+05 ; 1.645769e+09 + i -2.861832e+08 ; 1.059343e+08 + i -1.000782e+07 ; 1.059293e+08 + i -1.000963e+07 ; -7.760450e+08 + i 1.323979e+08 ; -5.648451e+07 + i 5.122394e+06 ; -1.156601e+07 + i 5.940971e+05 ; -2.474199e+08 + i 7.935530e+06 ; 4.049514e+08 + i -7.552480e+07 ; 2.336040e+07 + i -4.388568e+06 ; -7.760422e+08 + i 1.323993e+08 ; -1.156513e+07 + i 5.930765e+05 ; -5.648486e+07 + i 5.121774e+06 ; -2.474193e+08 + i 7.937673e+06 ; 2.338897e+07 + i -4.379525e+06 ; 4.049525e+08 + i -7.552440e+07 ; -1.097399e+08 + i 3.729859e+07 ; -2.733933e+07 + i 3.515762e+06 ; -2.732879e+07 + i 3.518871e+06 ; -7.148518e+07 + i 1.923966e+07 ; 1.001523e+08 + i -2.351841e+07 ; 1.001533e+08 + i -2.351810e+07 ; 1.447832e+08 + i -1.907460e+07 ; -1.611779e+05 + i -4.649236e+05 ; -1.602165e+05 + i -4.648819e+05 ; 7.171373e+07 + i -7.795095e+06 ; -8.399790e+05 + i 5.762328e+03 ; -8.400752e+05 + i 5.774737e+03 ; 4.315737e+07 + i -1.113736e+07 ; 1.488904e+07 + i -4.235334e+06 ; -1.002236e+06 + i -2.152484e+05 ; 2.988965e+07 + i -6.622143e+06 ; 3.179679e+06 + i -1.038664e+06 ; -8.793059e+05 + i 4.212792e+04 ; 4.315951e+07 + i -1.113640e+07 ; -9.996566e+05 + i -2.143817e+05 ; 1.488926e+07 + i -4.235278e+06 ; 2.989024e+07 + i -6.621764e+06 ; -8.786619e+05 + i 4.224557e+04 ; 3.179639e+06 + i -1.038684e+06 ; 1.146362e+07 + i -5.450263e+06 ; 9.729094e+06 + i -2.918378e+06 ; 9.728684e+06 + i -2.918538e+06 ; 1.262557e+07 + i -4.383130e+06 ; 2.432899e+06 + i -8.226520e+05 ; 2.432869e+06 + i -8.226415e+05 ; 
3.038457e+07 + i -3.573415e+06 ; 2.965622e+07 + i -3.383615e+06 ; -1.111355e+08 + i 3.750119e+07 ; 1.290768e+07 + i -7.630363e+05 ; 6.163660e+07 + i -4.628824e+06 ; -7.743975e+08 + i 1.321501e+08 ; 6.252927e+07 + i -4.798278e+06 ; 1.230742e+07 + i -5.048118e+05 ; -7.788176e+08 + i 1.324543e+08 ; 2.188569e+07 + i 6.016300e+05 ; 2.081122e+07 + i 9.160806e+05 ; -5.932443e+09 + i 5.989510e+08 ; -1.059619e+08 + i 2.394538e+07 ; -1.088564e+08 + i 2.416059e+07 ; -7.396162e+07 + i 1.976899e+07 ; -1.835167e+07 + i 4.137188e+06 ; -4.419503e+08 + i 7.516713e+07 ; -2.487537e+08 + i 8.369634e+06 ; -4.386986e+08 + i 7.503698e+07 ; -2.398441e+07 + i 4.700863e+06 ; -2.523189e+08 + i 8.516698e+06 ; -1.077364e+08 + i 8.337139e+06 ; -1.156528e+08 + i 9.013951e+06 ; 1.640551e+09 + i -2.858462e+08 ; -1.616303e+07 + i 1.729772e+06 ; 1.216196e+07 + i -1.097688e+06 ; -7.475382e+07 + i 1.595785e+07 ; -1.055287e+07 + i 7.211668e+05 ; 3.422493e+06 + i -4.990542e+05 ; -1.529211e+07 + i 4.314836e+06 ; -2.442259e+07 + i 2.060760e+06 ; 6.263127e+06 + i -2.222978e+05 ; -1.516257e+08 + i 2.625137e+07 ; -1.397328e+07 + i 4.932426e+05 ; 2.214939e+06 + i -2.545165e+05 ; -1.949306e+07 + i 5.589026e+06 ; 6.272702e+07 + i -1.223147e+07 ; -3.447783e+07 + i 6.761575e+06 ; -5.099493e+07 + i 9.206068e+06 ; 3.377019e+07 + i -5.637869e+06 ; -2.010272e+06 + i 8.867537e+05 ; -1.417238e+07 + i 3.779407e+06 ; 1.290816e+08 + i -2.313397e+07 ; -5.778465e+06 + i 6.227204e+05 ; -8.510663e+07 + i 1.018725e+07 ; 5.981045e+07 + i -8.238166e+06 ; 9.376516e+05 + i 5.928972e+04 ; -1.917803e+07 + i 4.888372e+06 ; 
-7.764140e+08 + i 1.323066e+08 ; -1.174378e+07 + i 5.757999e+05 ; 5.834550e+07 + i -5.238671e+06 ; -2.477534e+08 + i 7.862172e+06 ; 2.340026e+07 + i -4.468332e+06 ; -4.334550e+08 + i 7.563430e+07 ; -1.097784e+08 + i 3.730576e+07 ; -2.782509e+07 + i 3.488734e+06 ; 2.911234e+07 + i -3.420631e+06 ; -7.155785e+07 + i 1.924037e+07 ; 1.019097e+08 + i -2.362584e+07 ; -1.071423e+08 + i 2.389673e+07 ; -5.933560e+09 + i 5.992745e+08 ; -1.936880e+07 + i -6.082936e+05 ; 1.994519e+07 + i 6.548813e+05 ; 1.645666e+09 + i -2.862202e+08 ; 1.070888e+08 + i -9.912168e+06 ; -1.113574e+08 + i 9.792845e+06 ; -7.761630e+08 + i 1.323834e+08 ; -5.685445e+07 + i 5.060323e+06 ; 1.224814e+07 + i -5.053853e+05 ; -2.475712e+08 + i 7.925632e+06 ; 4.119775e+08 + i -7.564018e+07 ; -2.455879e+07 + i 4.469678e+06 ; 4.324672e+07 + i -1.111611e+07 ; -1.055867e+06 + i -2.262020e+05 ; -1.594341e+07 + i 4.333965e+06 ; 2.993131e+07 + i -6.610722e+06 ; -9.057796e+05 + i 3.933947e+04 ; -3.401797e+06 + i 1.069561e+06 ; 1.149378e+07 + i -5.445165e+06 ; 9.883565e+06 + i -2.942194e+06 ; -1.039767e+07 + i 2.998625e+06 ; 1.264533e+07 + i -4.379136e+06 ; 2.469617e+06 + i -8.300559e+05 ; -2.595376e+06 + i 8.498066e+05 ; 1.447867e+08 + i -1.907385e+07 ; -1.624796e+05 + i -4.683845e+05 ; 2.262222e+05 + i 5.054776e+05 ; 7.171237e+07 + i -7.795216e+06 ; -8.549172e+05 + i 4.984523e+03 ; 9.141475e+05 + i 6.263026e+03 ; 4.316555e+07 + i -1.113473e+07 ; 1.515762e+07 + i -4.259182e+06 ; 1.136810e+06 + i 2.531156e+05 ; 2.988964e+07 + i -6.621110e+06 ; 3.237422e+06 + i -1.045477e+06 ; 9.618425e+05 + i -3.075546e+04 ; 
-1.097334e+07 + i 4.617573e+05 ; -7.796911e+08 + i 1.326044e+08 ; 5.824497e+07 + i -5.211417e+06 ; -2.682655e+07 + i 3.312192e+06 ; -1.110888e+08 + i 3.750081e+07 ; 2.892713e+07 + i -3.403788e+06 ; 2.522824e+07 + i -4.598778e+06 ; -2.536087e+08 + i 8.550605e+06 ; -4.340496e+08 + i 7.575084e+07 ; 1.055026e+08 + i -2.395546e+07 ; -7.405936e+07 + i 1.976011e+07 ; -1.076770e+08 + i 2.399058e+07 ; -1.843944e+07 + i -7.194063e+05 ; -5.938600e+09 + i 5.994126e+08 ; 1.984887e+07 + i 6.776012e+05 ; -5.553266e+07 + i 4.875578e+06 ; -7.785694e+08 + i 1.325185e+08 ; 1.205743e+07 + i -4.896287e+05 ; 1.092672e+08 + i -1.001954e+07 ; 1.635463e+09 + i -2.856659e+08 ; -1.115981e+08 + i 9.848828e+06 ; 4.164656e+08 + i -7.596452e+07 ; -2.524722e+08 + i 8.505553e+06 ; -2.484850e+07 + i 4.518745e+06 ; -2.439206e+06 + i -2.288032e+05 ; -1.531855e+07 + i 4.309124e+06 ; 4.357813e+06 + i -5.213746e+05 ; -7.085774e+05 + i -3.345657e+05 ; -6.437167e+06 + i 1.737089e+06 ; 1.381500e+06 + i -2.154936e+05 ; 3.462470e+07 + i -5.736488e+06 ; -1.417753e+07 + i 3.780385e+06 ; -3.543511e+06 + i 1.015886e+06 ; 1.964917e+07 + i -2.770034e+06 ; -5.870941e+06 + i 1.568172e+06 ; -2.585733e+05 + i 1.662326e+05 ; -7.536722e+05 + i -5.342289e+05 ; -1.953544e+07 + i 5.576852e+06 ; 2.809815e+06 + i -2.639432e+05 ; 3.232330e+05 + i -4.826164e+05 ; -7.850961e+06 + i 2.005750e+06 ; 1.031532e+06 + i -1.461988e+05 ; 5.556326e+07 + i -7.828612e+06 ; -1.918853e+07 + i 4.886904e+06 ; 1.328307e+06 + i -6.422883e+04 ; 2.832869e+07 + i -3.176453e+06 ; -7.049115e+06 + i 1.797969e+06 ; 7.488524e+05 + i -8.178804e+04 ; 
-1.078812e+08 + i 1.045476e+07 ; -1.059225e+08 + i 1.040753e+07 ; 1.635742e+09 + i -2.855991e+08 ; -4.164784e+08 + i 7.600915e+07 ; -2.380379e+07 + i 4.463115e+06 ; -2.526017e+08 + i 8.452136e+06 ; -2.537965e+07 + i 4.535046e+06 ; -4.125508e+08 + i 7.580283e+07 ; -2.535205e+08 + i 8.571798e+06 ; -1.054502e+08 + i 2.397590e+07 ; -1.023673e+08 + i 2.373925e+07 ; -7.404809e+07 + i 1.976575e+07 ; 1.830202e+07 + i 6.334589e+05 ; 1.914363e+07 + i 5.465944e+05 ; -5.938581e+09 + i 5.994219e+08 ; 5.403734e+07 + i -5.357082e+06 ; 1.142582e+07 + i -5.903233e+05 ; -7.784217e+08 + i 1.325483e+08 ; 1.082853e+07 + i -4.957641e+05 ; 5.527485e+07 + i -5.509049e+06 ; -7.793497e+08 + i 1.326838e+08 ; 2.663700e+07 + i -3.344680e+06 ; 2.746779e+07 + i -3.499775e+06 ; -1.110324e+08 + i 3.749678e+07 ; -5.564032e+07 + i 7.809911e+06 ; 1.247741e+06 + i -7.823886e+04 ; -1.925968e+07 + i 4.866945e+06 ; -2.837865e+07 + i 3.162923e+06 ; 7.074005e+05 + i -8.566859e+04 ; -7.055192e+06 + i 1.797082e+06 ; -3.463957e+07 + i 5.734411e+06 ; -3.376401e+06 + i 9.921230e+05 ; -1.421877e+07 + i 3.770749e+06 ; -1.966676e+07 + i 2.766444e+06 ; -2.474125e+05 + i 1.595023e+05 ; -5.877225e+06 + i 1.567169e+06 ; 6.198020e+05 + i 4.832616e+05 ; 2.677319e+06 + i -2.736028e+05 ; -1.954174e+07 + i 5.574995e+06 ; -3.918254e+05 + i 4.553196e+05 ; 9.822856e+05 + i -1.475252e+05 ; -7.854730e+06 + i 2.005028e+06 ; 2.379319e+06 + i 2.080222e+05 ; 4.146377e+06 + i -5.326266e+05 ; -1.532372e+07 + i 4.306991e+06 ; 6.740072e+05 + i 3.218678e+05 ; 1.315212e+06 + i -2.163171e+05 ; -6.441176e+06 + i 1.736266e+06 ; 
-2.489498e+08 + i 7.701714e+06 ; -2.459329e+07 + i 4.646539e+06 ; 4.433276e+08 + i -7.541494e+07 ; -7.692422e+08 + i 1.312282e+08 ; 9.380845e+06 + i -3.838591e+05 ; -4.836678e+07 + i 5.432195e+06 ; -7.171839e+07 + i 1.925504e+07 ; -1.046174e+08 + i 2.395608e+07 ; 1.104903e+08 + i -2.411065e+07 ; -1.072609e+08 + i 3.656303e+07 ; 2.437055e+07 + i -3.061017e+06 ; -2.508150e+07 + i 2.983980e+06 ; 1.645532e+09 + i -2.862478e+08 ; -1.097068e+08 + i 9.908871e+06 ; 1.082178e+08 + i -1.042940e+07 ; -5.917558e+09 + i 5.976937e+08 ; 1.691016e+07 + i 8.318307e+05 ; -1.780647e+07 + i -1.050122e+06 ; -2.476510e+08 + i 7.938627e+06 ; -4.196395e+08 + i 7.592406e+07 ; 2.552193e+07 + i -4.594235e+06 ; -7.694342e+08 + i 1.312030e+08 ; 5.318591e+07 + i -4.515940e+06 ; -9.871345e+06 + i 2.840546e+05 ; 5.823505e+07 + i -1.746293e+07 ; 1.511813e+07 + i -2.250726e+06 ; -1.305275e+08 + i 2.266748e+07 ; 4.335946e+07 + i -1.109869e+07 ; 1.058528e+06 + i -6.178937e+05 ; -1.280375e+07 + i 4.067310e+06 ; 1.345499e+06 + i -4.521663e+06 ; 5.822537e+07 + i -1.223467e+07 ; -6.186213e+07 + i 1.220393e+07 ; 1.158690e+07 + i -5.433781e+06 ; 9.078702e+06 + i -2.821733e+06 ; -9.733860e+06 + i 2.863320e+06 ; 3.191137e+08 + i -5.409689e+07 ; 3.300057e+07 + i -3.369180e+06 ; -3.641580e+07 + i 2.923333e+06 ; 1.447619e+08 + i -1.907705e+07 ; 1.945101e+06 + i -1.025556e+06 ; -2.275840e+06 + i 1.045561e+06 ; 5.784161e+07 + i -1.752553e+07 ; 1.228046e+08 + i -2.293435e+07 ; -1.661916e+07 + i 2.111512e+06 ; 4.316626e+07 + i -1.113672e+07 ; 1.192237e+07 + i -3.996796e+06 ; -1.290347e+06 + i 6.238553e+05 ; 
3.050310e+07 + i -3.522308e+06 ; -1.111131e+08 + i 3.750663e+07 ; 2.975400e+07 + i -3.312612e+06 ; 1.293193e+07 + i -7.381932e+05 ; -7.743552e+08 + i 1.321645e+08 ; 5.973356e+07 + i -5.108166e+06 ; -1.067241e+08 + i 2.376984e+07 ; -7.402557e+07 + i 1.976924e+07 ; -1.088978e+08 + i 2.411410e+07 ; -1.868701e+07 + i 3.991875e+06 ; -2.490837e+08 + i 8.289556e+06 ; -4.413239e+08 + i 7.537030e+07 ; 6.139400e+07 + i -4.870750e+06 ; -7.788509e+08 + i 1.324515e+08 ; 1.233515e+07 + i -4.698495e+05 ; 2.155406e+07 + i 5.353847e+05 ; -5.932473e+09 + i 5.989357e+08 ; 2.030370e+07 + i 7.384314e+05 ; -4.385901e+08 + i 7.521577e+07 ; -2.524314e+08 + i 8.520001e+06 ; -2.424143e+07 + i 4.568005e+06 ; -1.060348e+08 + i 8.563966e+06 ; 1.640489e+09 + i -2.858749e+08 ; -1.137596e+08 + i 9.488690e+06 ; -1.628162e+07 + i 1.724496e+06 ; -7.475495e+07 + i 1.595626e+07 ; 1.214275e+07 + i -1.100324e+06 ; -1.062568e+07 + i 7.156559e+05 ; -1.529269e+07 + i 4.314717e+06 ; 3.425485e+06 + i -4.981216e+05 ; 6.270338e+07 + i -1.226688e+07 ; -5.099924e+07 + i 9.202071e+06 ; -3.446481e+07 + i 6.770232e+06 ; 3.376133e+07 + i -5.653892e+06 ; -1.416789e+07 + i 3.780052e+06 ; -2.008952e+06 + i 8.877424e+05 ; -2.467270e+07 + i 2.049269e+06 ; -1.516179e+08 + i 2.625207e+07 ; 6.252148e+06 + i -2.258786e+05 ; -1.409148e+07 + i 4.830338e+05 ; -1.949226e+07 + i 5.589108e+06 ; 2.216812e+06 + i -2.540650e+05 ; 1.292653e+08 + i -2.312628e+07 ; -8.506484e+07 + i 1.019063e+07 ; -5.757231e+06 + i 6.330917e+05 ; 5.987520e+07 + i -8.232293e+06 ; -1.916848e+07 + i 4.889472e+06 ; 9.389181e+05 + i 6.033533e+04 ; 
4.391980e+08 + i -7.507854e+07 ; -2.421736e+07 + i 4.376963e+06 ; -2.538017e+08 + i 8.278306e+06 ; 9.899225e+07 + i -9.641147e+06 ; -1.074931e+08 + i 1.022265e+07 ; 1.640310e+09 + i -2.859121e+08 ; 1.067610e+08 + i -2.380334e+07 ; -1.038840e+08 + i 2.380320e+07 ; -7.418359e+07 + i 1.977920e+07 ; 1.927710e+07 + i -3.845136e+06 ; -4.181336e+08 + i 7.576768e+07 ; -2.490961e+08 + i 8.302225e+06 ; -5.385174e+07 + i 6.075299e+06 ; 1.179576e+07 + i -5.590944e+05 ; -7.782943e+08 + i 1.325720e+08 ; -2.181985e+07 + i -5.838425e+05 ; 1.950455e+07 + i 5.709318e+05 ; -5.932267e+09 + i 5.990109e+08 ; -2.981234e+07 + i 3.566546e+06 ; 2.829590e+07 + i -3.395430e+06 ; -1.109796e+08 + i 3.750515e+07 ; -1.270008e+07 + i 7.921240e+05 ; 5.651400e+07 + i -5.479042e+06 ; -7.740094e+08 + i 1.322392e+08 ; -1.288817e+08 + i 2.316644e+07 ; -4.997532e+06 + i 7.326344e+05 ; -8.469025e+07 + i 1.024520e+07 ; -5.961298e+07 + i 8.264626e+06 ; 9.521491e+05 + i 5.223165e+04 ; -1.912439e+07 + i 4.892719e+06 ; -6.242878e+07 + i 1.229043e+07 ; -3.227963e+07 + i 6.825662e+06 ; -5.086335e+07 + i 9.216870e+06 ; -3.356002e+07 + i 5.675930e+06 ; -1.835691e+06 + i 8.673128e+05 ; -1.413991e+07 + i 3.782293e+06 ; 2.618820e+07 + i -1.806087e+06 ; 5.857197e+06 + i -2.959525e+05 ; -1.516642e+08 + i 2.624098e+07 ; 1.479776e+07 + i -3.434737e+05 ; 2.071379e+06 + i -2.693895e+05 ; -1.951660e+07 + i 5.581526e+06 ; 1.688256e+07 + i -1.645960e+06 ; 1.145460e+07 + i -1.179715e+06 ; -7.477150e+07 + i 1.595140e+07 ; 1.097835e+07 + i -6.631967e+05 ; 3.221080e+06 + i -5.116394e+05 ; -1.531636e+07 + i 4.307952e+06 ; 
-1.098037e+08 + i 3.731291e+07 ; 2.987935e+07 + i -3.289699e+06 ; 2.988117e+07 + i -3.289239e+06 ; -7.155286e+07 + i 1.924156e+07 ; -1.091387e+08 + i 2.389245e+07 ; -1.091356e+08 + i 2.389390e+07 ; -7.764113e+08 + i 1.323160e+08 ; 1.239022e+07 + i -4.735709e+05 ; 5.917645e+07 + i -5.101346e+06 ; -2.476981e+08 + i 7.876871e+06 ; -2.423519e+07 + i 4.471389e+06 ; -4.416551e+08 + i 7.544364e+07 ; -7.764086e+08 + i 1.323174e+08 ; 5.917514e+07 + i -5.101694e+06 ; 1.238603e+07 + i -4.738761e+05 ; -2.476991e+08 + i 7.878528e+06 ; -4.416542e+08 + i 7.544460e+07 ; -2.425763e+07 + i 4.463587e+06 ; -5.933711e+09 + i 5.992208e+08 ; 2.019799e+07 + i 7.195651e+05 ; 2.019009e+07 + i 7.189668e+05 ; 1.645577e+09 + i -2.862484e+08 ; -1.127976e+08 + i 9.634798e+06 ; -1.128054e+08 + i 9.631313e+06 ; 1.151259e+07 + i -5.445160e+06 ; -1.055564e+07 + i 3.017071e+06 ; -1.055555e+07 + i 3.017041e+06 ; 1.266134e+07 + i -4.377625e+06 ; -2.632450e+06 + i 8.559557e+05 ; -2.632373e+06 + i 8.559878e+05 ; 4.325060e+07 + i -1.111580e+07 ; 1.217391e+06 + i 2.640995e+05 ; -1.628186e+07 + i 4.346734e+06 ; 2.993301e+07 + i -6.610221e+06 ; 9.972319e+05 + i -2.733751e+04 ; -3.480809e+06 + i 1.073716e+06 ; 4.325270e+07 + i -1.111485e+07 ; -1.628251e+07 + i 4.346577e+06 ; 1.215517e+06 + i 2.632850e+05 ; 2.993353e+07 + i -6.609864e+06 ; -3.480748e+06 + i 1.073740e+06 ; 9.967489e+05 + i -2.744608e+04 ; 1.447974e+08 + i -1.907119e+07 ; 2.025534e+05 + i 5.069375e+05 ; 2.049535e+05 + i 5.073013e+05 ; 7.171496e+07 + i -7.794063e+06 ; 9.200733e+05 + i 6.784855e+03 ; 9.200447e+05 + i 6.804475e+03 ; 
-2.570193e+07 + i 4.551436e+06 ; -2.547727e+08 + i 8.406355e+06 ; 4.431070e+08 + i -7.530628e+07 ; -1.071046e+08 + i 2.403719e+07 ; -7.426813e+07 + i 1.976662e+07 ; 1.099662e+08 + i -2.397980e+07 ; 1.109353e+07 + i -4.462220e+05 ; -7.792924e+08 + i 1.326833e+08 ; -5.291117e+07 + i 5.791496e+06 ; 2.729139e+07 + i -3.242009e+06 ; -1.109943e+08 + i 3.750123e+07 ; -2.899988e+07 + i 3.356737e+06 ; -1.097837e+08 + i 1.027427e+07 ; 1.635232e+09 + i -2.857112e+08 ; 1.071622e+08 + i -1.034900e+07 ; -4.227961e+08 + i 7.604429e+07 ; -2.527622e+08 + i 8.448346e+06 ; 2.482989e+07 + i -4.498822e+06 ; 1.862648e+07 + i 7.041720e+05 ; -5.938499e+09 + i 5.994470e+08 ; -2.078971e+07 + i -9.600103e+05 ; 5.519209e+07 + i -5.214501e+06 ; -7.783926e+08 + i 1.325592e+08 ; -1.230775e+07 + i 4.551829e+05 ; -3.516930e+07 + i 5.727757e+06 ; -1.421639e+07 + i 3.774509e+06 ; 3.592306e+06 + i -1.026642e+06 ; -1.996173e+07 + i 2.756404e+06 ; -5.875647e+06 + i 1.568008e+06 ; 2.590273e+05 + i -1.690214e+05 ; 2.449572e+06 + i 2.308576e+05 ; -1.531724e+07 + i 4.309735e+06 ; -4.442267e+06 + i 5.120745e+05 ; 7.007979e+05 + i 3.355414e+05 ; -6.438964e+06 + i 1.736875e+06 ; -1.410004e+06 + i 2.133473e+05 ; -5.644872e+07 + i 7.787222e+06 ; -1.926530e+07 + i 4.868337e+06 ; -1.395873e+06 + i 5.104767e+04 ; -2.878403e+07 + i 3.140836e+06 ; -7.055553e+06 + i 1.797458e+06 ; -7.695637e+05 + i 7.990704e+04 ; 6.767396e+05 + i 5.068940e+05 ; -1.953885e+07 + i 5.576536e+06 ; -2.873537e+06 + i 2.547626e+05 ; -3.712375e+05 + i 4.697584e+05 ; -7.852120e+06 + i 2.005669e+06 ; -1.054013e+06 + i 1.442049e+05 ; 
-2.571017e+07 + i 4.551354e+06 ; 4.431076e+08 + i -7.530630e+07 ; -2.547713e+08 + i 8.405577e+06 ; -1.071040e+08 + i 2.403713e+07 ; 1.099671e+08 + i -2.397986e+07 ; -7.426363e+07 + i 1.976570e+07 ; -1.097926e+08 + i 1.027215e+07 ; 1.071655e+08 + i -1.034779e+07 ; 1.635285e+09 + i -2.856927e+08 ; -4.227953e+08 + i 7.604457e+07 ; 2.483161e+07 + i -4.498069e+06 ; -2.527343e+08 + i 8.453420e+06 ; 1.108986e+07 + i -4.456944e+05 ; -5.290412e+07 + i 5.794457e+06 ; -7.791974e+08 + i 1.327149e+08 ; 2.730154e+07 + i -3.239102e+06 ; -2.899611e+07 + i 3.357927e+06 ; -1.109765e+08 + i 3.750239e+07 ; 1.860221e+07 + i 6.993728e+05 ; -2.078982e+07 + i -9.600747e+05 ; -5.938491e+09 + i 5.994539e+08 ; 5.519443e+07 + i -5.213689e+06 ; -1.230728e+07 + i 4.551659e+05 ; -7.783677e+08 + i 1.325599e+08 ; -3.516702e+07 + i 5.727821e+06 ; 3.592186e+06 + i -1.026702e+06 ; -1.421522e+07 + i 3.774565e+06 ; -1.996103e+07 + i 2.756468e+06 ; 2.589560e+05 + i -1.690549e+05 ; -5.875258e+06 + i 1.567992e+06 ; -5.644919e+07 + i 7.787174e+06 ; -1.395538e+06 + i 5.118587e+04 ; -1.926199e+07 + i 4.869074e+06 ; -2.878419e+07 + i 3.140841e+06 ; -7.694075e+05 + i 7.995703e+04 ; -7.054749e+06 + i 1.797544e+06 ; 2.454047e+06 + i 2.315685e+05 ; -4.442041e+06 + i 5.121511e+05 ; -1.531614e+07 + i 4.309457e+06 ; 7.034406e+05 + i 3.361449e+05 ; -1.410019e+06 + i 2.133312e+05 ; -6.439301e+06 + i 1.736689e+06 ; 6.798593e+05 + i 5.071585e+05 ; -2.873476e+06 + i 2.548131e+05 ; -1.953682e+07 + i 5.576732e+06 ; -3.704439e+05 + i 4.698301e+05 ; -1.053898e+06 + i 1.442362e+05 ; -7.852425e+06 + i 2.005504e+06 ; 
-7.185665e+07 + i 1.926610e+07 ; 1.121595e+08 + i -2.417407e+07 ; 1.121556e+08 + i -2.417573e+07 ; -1.071788e+08 + i 3.658260e+07 ; -2.646141e+07 + i 2.715381e+06 ; -2.646342e+07 + i 2.714872e+06 ; -2.489093e+08 + i 7.724244e+06 ; 2.577243e+07 + i -4.500332e+06 ; 4.508733e+08 + i -7.523206e+07 ; -7.692033e+08 + i 1.312393e+08 ; -9.871734e+06 + i 3.103892e+05 ; -4.952677e+07 + i 5.249475e+06 ; -2.489168e+08 + i 7.724098e+06 ; 4.508731e+08 + i -7.523284e+07 ; 2.579857e+07 + i -4.491425e+06 ; -7.691873e+08 + i 1.312442e+08 ; -4.952571e+07 + i 5.249544e+06 ; -9.866118e+06 + i 3.111251e+05 ; 1.645012e+09 + i -2.863703e+08 ; 1.099953e+08 + i -1.023115e+07 ; 1.100043e+08 + i -1.022731e+07 ; -5.917502e+09 + i 5.977086e+08 ; -1.806735e+07 + i -1.110814e+06 ; -1.805750e+07 + i -1.109466e+06 ; 1.452125e+06 + i -4.516680e+06 ; -6.250252e+07 + i 1.228813e+07 ; -6.250091e+07 + i 1.228870e+07 ; 1.165733e+07 + i -5.427324e+06 ; -9.819294e+06 + i 2.888499e+06 ; -9.818561e+06 + i 2.888736e+06 ; 5.820226e+07 + i -1.747099e+07 ; -1.624711e+07 + i 2.212199e+06 ; -1.327348e+08 + i 2.263233e+07 ; 4.334248e+07 + i -1.110327e+07 ; -1.221629e+06 + i 6.387567e+05 ; -1.302351e+07 + i 4.094840e+06 ; 5.821111e+07 + i -1.746968e+07 ; -1.327354e+08 + i 2.263228e+07 ; -1.625371e+07 + i 2.209709e+06 ; 4.334652e+07 + i -1.110263e+07 ; -1.302319e+07 + i 4.094956e+06 ; -1.224664e+06 + i 6.379981e+05 ; 3.191306e+08 + i -5.409450e+07 ; -3.694013e+07 + i 2.883453e+06 ; -3.694124e+07 + i 2.882632e+06 ; 1.447632e+08 + i -1.907699e+07 ; -2.307347e+06 + i 1.057611e+06 ; -2.310392e+06 + i 1.056986e+06 ; 
1.084352e+08 + i -2.381853e+07 ; -7.436779e+07 + i 1.978366e+07 ; 1.113571e+08 + i -2.403164e+07 ; 1.934086e+07 + i -3.810769e+06 ; -2.502703e+08 + i 8.150124e+06 ; 4.494024e+08 + i -7.501051e+07 ; -3.130831e+07 + i 3.280227e+06 ; -1.109234e+08 + i 3.751885e+07 ; -3.060505e+07 + i 3.081254e+06 ; -1.308538e+07 + i 7.253745e+05 ; -7.739224e+08 + i 1.322470e+08 ; -5.457994e+07 + i 5.685642e+06 ; 4.461296e+08 + i -7.488236e+07 ; -2.538617e+08 + i 8.291076e+06 ; 2.503878e+07 + i -4.371915e+06 ; 1.009922e+08 + i -9.418103e+06 ; 1.639849e+09 + i -2.860125e+08 ; 1.089871e+08 + i -1.009108e+07 ; -5.543369e+07 + i 5.869158e+06 ; -7.782632e+08 + i 1.325857e+08 ; -1.253591e+07 + i 4.519118e+05 ; -2.210107e+07 + i -6.333247e+05 ; -5.932198e+09 + i 5.990301e+08 ; -2.110285e+07 + i -9.719264e+05 ; -6.359314e+07 + i 1.226162e+07 ; -5.092592e+07 + i 9.212852e+06 ; 3.499719e+07 + i -6.783533e+06 ; -3.418872e+07 + i 5.641772e+06 ; -1.413571e+07 + i 3.784840e+06 ; 2.033536e+06 + i -8.974671e+05 ; 1.690374e+07 + i -1.675222e+06 ; -7.477585e+07 + i 1.595050e+07 ; -1.227133e+07 + i 1.078097e+06 ; 1.103340e+07 + i -6.690281e+05 ; -1.531089e+07 + i 4.309754e+06 ; -3.485665e+06 + i 4.935968e+05 ; -1.309770e+08 + i 2.311884e+07 ; -8.470368e+07 + i 1.024058e+07 ; 5.711829e+06 + i -6.431202e+05 ; -6.058801e+07 + i 8.202713e+06 ; -1.912244e+07 + i 4.893135e+06 ; -9.676993e+05 + i -6.555640e+04 ; 2.638625e+07 + i -1.794262e+06 ; -1.516408e+08 + i 2.624534e+07 ; -6.347381e+06 + i 2.076860e+05 ; 1.492138e+07 + i -3.273202e+05 ; -1.950649e+07 + i 5.583635e+06 ; -2.257140e+06 + i 2.499045e+05 ; 
