2.439083e+07 + i 1.198262e+10 ; -1.352906e+09 + i -3.227570e+08 ; -1.333980e+09 + i -3.337475e+08 ; -5.119519e+09 + i -6.336211e+09 ; 1.039153e+09 + i -1.829578e+09 ; 1.065084e+09 + i -1.809226e+09 ; 1.939638e+09 + i 1.178721e+09 ; -4.137193e+08 + i 4.881614e+08 ; -1.114888e+09 + i 4.049268e+08 ; -2.557073e+09 + i 3.372512e+09 ; -2.687157e+09 + i -1.917892e+09 ; -5.407769e+08 + i -1.114785e+09 ; 1.939508e+09 + i 1.161682e+09 ; -1.124287e+09 + i 4.213060e+08 ; -4.331418e+08 + i 4.919129e+08 ; -2.549771e+09 + i 3.361594e+09 ; -5.832348e+08 + i -1.114825e+09 ; -2.694744e+09 + i -1.920323e+09 ; -4.818537e+08 + i 9.009928e+08 ; -4.609895e+08 + i 7.573792e+07 ; -4.785203e+08 + i 5.959168e+07 ; 1.816798e+09 + i 2.716609e+09 ; -1.234468e+09 + i -1.847464e+08 ; -1.247356e+09 + i -1.993127e+08 ; -2.517174e+08 + i -7.999917e+08 ; -2.971049e+08 + i -4.092104e+07 ; -2.912229e+08 + i -3.796630e+07 ; -1.559095e+08 + i -3.214365e+08 ; -1.833646e+08 + i 1.469951e+08 ; -1.796115e+08 + i 1.455815e+08 ; -8.400566e+08 + i -6.186876e+08 ; -3.834326e+08 + i 8.994555e+07 ; -3.094667e+08 + i 5.429139e+07 ; -4.119222e+08 + i -7.119262e+08 ; -1.951129e+08 + i 1.543406e+08 ; -1.599045e+08 + i 1.666661e+08 ; -8.356741e+08 + i -6.196140e+08 ; -3.162155e+08 + i 5.679675e+07 ; -3.872947e+08 + i 9.581796e+07 ; -4.032795e+08 + i -7.117190e+08 ; -1.617883e+08 + i 1.698854e+08 ; -1.950164e+08 + i 1.608125e+08 ; -9.973344e+08 + i -2.506855e+08 ; -3.365722e+08 + i 1.134384e+08 ; -3.414246e+08 + i 1.168800e+08 ; -8.944120e+08 + i -8.821662e+08 ; -1.908177e+08 + i 1.689460e+08 ; -1.952203e+08 + i 1.714766e+08 ; 
2.380388e+08 + i -8.124374e+07 ; 2.178031e+08 + i 2.428766e+07 ; -6.175196e+08 + i 9.935034e+08 ; 6.144814e+08 + i -1.834375e+08 ; 2.866178e+08 + i -2.336737e+08 ; 1.958918e+09 + i 1.340579e+09 ; 3.085517e+08 + i -3.347380e+08 ; 6.429018e+08 + i -8.000155e+07 ; 1.900606e+09 + i 1.327010e+09 ; 6.499112e+08 + i 2.141609e+08 ; 6.922283e+08 + i 3.124792e+08 ; -6.340045e+07 + i 1.219189e+10 ; 5.819500e+08 + i 1.041815e+08 ; 5.483473e+08 + i 1.731755e+08 ; 1.660226e+09 + i 2.985773e+09 ; 7.363157e+07 + i 6.286036e+08 ; 1.259523e+09 + i 1.280128e+09 ; -2.562976e+09 + i 3.577685e+09 ; 1.303748e+09 + i 1.239004e+09 ; 8.215514e+07 + i 7.371722e+08 ; -2.642217e+09 + i 3.562908e+09 ; -7.053162e+08 + i 8.012943e+08 ; -7.165200e+08 + i 9.077426e+08 ; -5.030300e+09 + i -6.098358e+09 ; -2.090570e+08 + i 2.191098e+08 ; 1.192171e+08 + i -1.246489e+08 ; 3.809078e+08 + i 4.368625e+08 ; -4.255471e+08 + i 1.827446e+08 ; 6.497898e+07 + i -9.810660e+07 ; 4.270571e+08 + i 2.865981e+08 ; -2.526932e+08 + i 2.484516e+08 ; 1.942323e+08 + i -7.238215e+07 ; 5.076577e+08 + i 4.918720e+08 ; -4.115598e+08 + i 5.855015e+07 ; 9.358496e+07 + i -1.249705e+08 ; 3.672237e+08 + i 2.230209e+08 ; -3.957784e+08 + i -7.895889e+07 ; 2.562162e+08 + i 3.500535e+07 ; 4.746640e+08 + i 7.662831e+08 ; -1.954719e+08 + i -2.448652e+08 ; 9.929583e+07 + i -9.359557e+07 ; 5.183343e+08 + i 2.073204e+08 ; -5.046851e+08 + i -3.565264e+08 ; 1.003850e+08 + i 2.723353e+07 ; 8.781705e+07 + i 8.213735e+08 ; 1.561738e+07 + i -3.316404e+08 ; 9.491679e+07 + i -5.511022e+07 ; 5.133011e+08 + i 3.159353e+08 ; 
1.959057e+09 + i 1.189461e+09 ; -1.053249e+09 + i 3.341866e+08 ; 4.408566e+08 + i -7.798249e+08 ; -2.496217e+09 + i 3.233009e+09 ; -4.039987e+08 + i -1.154175e+09 ; 9.553389e+08 + i 1.156257e+09 ; -4.349176e+08 + i 9.135010e+08 ; -4.041182e+08 + i 3.956678e+07 ; 3.233365e+08 + i -3.255796e+06 ; 1.751088e+09 + i 2.636113e+09 ; -1.095566e+09 + i -3.465431e+08 ; 5.772365e+08 + i 2.692829e+08 ; -8.298680e+06 + i 1.207267e+10 ; -1.262262e+09 + i -3.764145e+08 ; 1.151367e+09 + i 3.703180e+08 ; -4.975434e+09 + i -6.313926e+09 ; 1.061994e+09 + i -1.567890e+09 ; -7.842421e+08 + i 1.480140e+09 ; 2.103719e+09 + i 1.239235e+09 ; -3.450064e+08 + i 5.067119e+08 ; 7.064720e+08 + i -2.494756e+08 ; -2.523913e+09 + i 3.274535e+09 ; -2.049679e+09 + i -1.810740e+09 ; 1.879906e+08 + i 8.026371e+08 ; -8.693215e+08 + i -6.327089e+08 ; -2.973135e+08 + i -7.248052e+06 ; 2.328043e+08 + i 9.909461e+07 ; -4.176342e+08 + i -7.246942e+08 ; -1.754229e+08 + i 1.250290e+08 ; 1.617595e+08 + i -1.826854e+07 ; -1.029188e+09 + i -2.654260e+08 ; -3.179657e+08 + i 4.619244e+07 ; 2.280160e+08 + i 6.853845e+07 ; -9.173441e+08 + i -9.059776e+08 ; -2.008001e+08 + i 1.190279e+08 ; 1.578405e+08 + i -2.641664e+07 ; -2.598449e+08 + i -7.886182e+08 ; -2.743407e+08 + i -7.091856e+07 ; 1.746888e+08 + i 1.339719e+08 ; -1.786377e+08 + i -3.089049e+08 ; -1.859264e+08 + i 1.085878e+08 ; 1.638486e+08 + i -2.728428e+06 ; -8.636120e+08 + i -6.126198e+08 ; -3.562505e+08 + i 3.049627e+07 ; 1.958131e+08 + i 9.898495e+07 ; -4.167690e+08 + i -6.866903e+08 ; -1.966907e+08 + i 1.157811e+08 ; 1.629040e+08 + i -1.565836e+07 ; 
-9.442827e+08 + i 3.003418e+08 ; 1.838005e+09 + i 1.387106e+09 ; 4.327703e+08 + i -7.604148e+08 ; -2.784224e+08 + i -1.624421e+07 ; -5.987044e+08 + i 1.006843e+09 ; 3.067203e+08 + i 1.347839e+07 ; -2.791633e+08 + i -1.196168e+09 ; -2.648468e+09 + i 3.477148e+09 ; 9.268114e+08 + i 1.195484e+09 ; -9.494678e+08 + i -4.186590e+08 ; 1.617532e+09 + i 2.883523e+09 ; 5.534067e+08 + i 2.915873e+08 ; -1.154084e+09 + i -4.047462e+08 ; -1.896010e+08 + i 1.225740e+10 ; 1.137020e+09 + i 3.985946e+08 ; -2.187703e+08 + i 4.554983e+08 ; 2.012231e+09 + i 1.369418e+09 ; 6.899365e+08 + i -2.294565e+08 ; 1.185146e+09 + i -1.600503e+09 ; -5.124322e+09 + i -6.119873e+09 ; -8.248170e+08 + i 1.516576e+09 ; -1.906799e+09 + i -1.882583e+09 ; -2.584358e+09 + i 3.462745e+09 ; 1.465545e+08 + i 8.257225e+08 ; -6.460362e+06 + i -2.732089e+08 ; 4.609590e+08 + i 3.176262e+08 ; 8.536394e+07 + i -1.005809e+08 ; 2.936482e+06 + i -2.957540e+08 ; 4.028842e+08 + i 7.951749e+06 ; 2.360430e+07 + i -8.682279e+07 ; 9.157311e+06 + i -4.611737e+08 ; 5.089436e+08 + i 2.248738e+08 ; 8.501499e+07 + i -5.504021e+07 ; 1.882199e+08 + i -3.668795e+08 ; 3.702198e+08 + i 3.488172e+07 ; 2.757666e+07 + i -7.102563e+07 ; -1.328468e+07 + i -2.806144e+08 ; 3.945017e+08 + i 2.553010e+08 ; 9.451640e+07 + i -1.022635e+08 ; 5.215125e+07 + i -2.963867e+08 ; 3.670550e+08 + i 3.287069e+07 ; 3.196484e+07 + i -9.130910e+07 ; 8.808514e+07 + i -5.310643e+08 ; 5.059852e+08 + i 3.246294e+08 ; 7.598305e+07 + i -5.961388e+07 ; 2.404527e+08 + i -3.029623e+08 ; 3.778838e+08 + i 1.583737e+07 ; 2.502610e+07 + i -7.298344e+07 ; 
-1.428876e+09 + i 2.228760e+09 ; -1.315154e+09 + i 2.189998e+09 ; -5.028589e+09 + i -6.129963e+09 ; 1.984874e+09 + i 1.875402e+09 ; 5.239182e+08 + i 1.087118e+09 ; -2.593051e+09 + i 3.342474e+09 ; 4.834420e+08 + i 1.130693e+09 ; 2.090786e+09 + i 1.848513e+09 ; -2.641577e+09 + i 3.357688e+09 ; 9.705473e+08 + i 2.515395e+08 ; 1.060598e+09 + i 2.088060e+08 ; 1.650114e+09 + i 2.835808e+09 ; 1.203298e+09 + i 4.535610e+08 ; 1.271495e+09 + i 4.397404e+08 ; -1.795625e+08 + i 1.216972e+10 ; 5.830779e+08 + i -9.439974e+08 ; 9.965305e+08 + i -1.865110e+08 ; 1.692828e+09 + i 1.342714e+09 ; 9.335861e+08 + i -1.710483e+08 ; 6.810211e+08 + i -9.895418e+08 ; 1.631088e+09 + i 1.353159e+09 ; 2.059106e+08 + i 1.969189e+07 ; 3.085204e+08 + i -5.250558e+07 ; -7.767759e+08 + i 1.198393e+09 ; -3.209104e+07 + i 4.814100e+08 ; 1.112299e+08 + i -1.202935e+08 ; 5.268251e+08 + i 3.071390e+08 ; -1.784586e+08 + i 2.959096e+08 ; 2.267007e+07 + i -1.162570e+08 ; 3.686914e+08 + i -6.372957e+05 ; 2.346687e+07 + i 4.010337e+08 ; 1.374003e+08 + i -1.114291e+08 ; 5.179362e+08 + i 1.874681e+08 ; -1.133168e+08 + i 3.197979e+08 ; 3.763634e+07 + i -1.264199e+08 ; 3.488428e+08 + i 5.223840e+06 ; 8.989059e+07 + i 2.689039e+08 ; 1.144159e+08 + i -1.700295e+08 ; 4.097818e+08 + i 2.660583e+08 ; -1.202208e+07 + i 3.068178e+08 ; 2.063746e+07 + i -1.357631e+08 ; 3.965059e+08 + i 3.947345e+07 ; 6.049745e+07 + i 2.322638e+08 ; 1.038095e+08 + i -1.597701e+08 ; 4.713327e+08 + i 3.190367e+08 ; 5.263068e+07 + i 2.687377e+08 ; 2.054227e+07 + i -1.399570e+08 ; 4.247240e+08 + i 5.707634e+06 ; 
-2.494301e+09 + i 3.252379e+09 ; 2.831247e+08 + i 1.008474e+09 ; -1.339564e+09 + i -1.295604e+09 ; 1.752575e+09 + i 9.967915e+08 ; 7.984224e+08 + i -1.331926e+08 ; -4.854752e+08 + i 8.292586e+08 ; 1.779985e+09 + i 2.613772e+09 ; 8.770710e+08 + i 4.254661e+08 ; -5.573364e+08 + i -3.603533e+08 ; -7.088619e+08 + i 7.806638e+08 ; 2.620341e+08 + i 1.034907e+08 ; -2.111901e+08 + i -5.392929e+07 ; -4.951757e+09 + i -6.321258e+09 ; -9.718648e+08 + i 1.463105e+09 ; 9.165435e+08 + i -1.679652e+09 ; -4.928975e+07 + i 1.177354e+10 ; 8.655939e+08 + i 4.397784e+08 ; -6.501795e+08 + i -3.439580e+08 ; -2.463751e+09 + i 3.281525e+09 ; 1.666641e+09 + i 1.844674e+09 ; -2.126272e+08 + i -8.498988e+08 ; 1.872087e+09 + i 1.034281e+09 ; 1.990734e+08 + i -4.027900e+08 ; -6.263008e+08 + i 2.006993e+08 ; -1.000361e+09 + i -2.169999e+08 ; -2.520286e+06 + i -4.939238e+08 ; 5.130310e+08 + i 3.732042e+08 ; -8.596387e+08 + i -6.444947e+08 ; -2.780499e+08 + i -1.802624e+08 ; 2.219030e+08 + i -3.773002e+06 ; -8.938418e+08 + i -1.555495e+08 ; -2.928147e+08 + i -3.051568e+08 ; 2.816451e+08 + i 1.435488e+08 ; -1.012935e+09 + i -2.749807e+08 ; -2.087310e+08 + i -1.775298e+08 ; 1.636877e+08 + i 3.896905e+07 ; -1.156425e+09 + i -9.786297e+08 ; 2.484914e+08 + i -5.474886e+08 ; -8.035411e+07 + i 3.089627e+08 ; -2.434728e+08 + i -8.088527e+08 ; -2.656751e+08 + i -2.993671e+08 ; 2.361799e+08 + i 1.612947e+08 ; -9.943866e+08 + i -2.021453e+08 ; -5.249612e+08 + i -5.722746e+08 ; 6.038706e+07 + i 3.032494e+08 ; -8.403464e+08 + i -6.221658e+08 ; -2.477174e+08 + i -1.265318e+08 ; 2.365529e+08 + i 6.793802e+07 ; 
2.252418e+08 + i -1.195631e+08 ; -5.917185e+08 + i 1.037691e+09 ; 9.212295e+07 + i 5.956815e+06 ; 6.780198e+08 + i -2.421920e+08 ; 1.920589e+09 + i 1.376289e+09 ; 3.519289e+08 + i -6.789013e+08 ; 6.863990e+08 + i 2.132007e+08 ; 1.616833e+09 + i 2.933301e+09 ; 5.610134e+08 + i 3.980638e+08 ; 1.637017e+08 + i 7.324482e+08 ; -2.569710e+09 + i 3.490064e+09 ; 1.020358e+09 + i 1.158850e+09 ; 2.669313e+08 + i -4.626264e+08 ; 1.969936e+09 + i 1.354291e+09 ; 6.643255e+08 + i -3.390908e+08 ; 7.167849e+08 + i 2.420715e+08 ; -6.517838e+07 + i 1.225008e+10 ; 1.000356e+09 + i 3.421228e+08 ; 1.251141e+09 + i 1.082207e+09 ; -2.623423e+09 + i 3.484242e+09 ; 3.318276e+08 + i 7.832850e+08 ; -7.836326e+08 + i 8.568738e+08 ; -4.978066e+09 + i -6.142429e+09 ; -7.530318e+08 + i 1.371896e+09 ; -1.973700e+08 + i 1.998523e+08 ; 3.825727e+08 + i 4.496914e+08 ; 1.001756e+08 + i -1.356651e+08 ; -4.061197e+08 + i 1.799664e+08 ; 4.334949e+08 + i 2.919547e+08 ; 5.613211e+07 + i -1.019408e+08 ; -3.880794e+08 + i -6.897259e+07 ; 4.597550e+08 + i 7.640631e+08 ; 2.353983e+08 + i 3.172224e+07 ; -2.131681e+08 + i -2.434818e+08 ; 5.060372e+08 + i 2.124350e+08 ; 8.818955e+07 + i -9.575020e+07 ; -2.380944e+08 + i 2.186218e+08 ; 5.135048e+08 + i 5.033966e+08 ; 2.005826e+08 + i -1.081638e+08 ; -3.848823e+08 + i 4.698386e+07 ; 3.738114e+08 + i 2.248319e+08 ; 7.852556e+07 + i -1.368526e+08 ; -5.100168e+08 + i -3.624584e+08 ; 7.844709e+07 + i 8.165054e+08 ; 8.945661e+07 + i 1.274661e+07 ; 1.430008e+07 + i -3.470159e+08 ; 5.044000e+08 + i 3.091121e+08 ; 8.347570e+07 + i -5.914466e+07 ; 
-1.309737e+09 + i -1.170121e+09 ; 4.435508e+08 + i 9.344981e+08 ; -2.616055e+09 + i 3.431793e+09 ; 1.050524e+09 + i -1.531214e+09 ; -1.060142e+09 + i 1.688409e+09 ; -4.926797e+09 + i -6.120342e+09 ; -7.371625e+08 + i -3.344670e+07 ; 8.643732e+08 + i 2.729581e+08 ; 1.667581e+09 + i 2.886955e+09 ; -3.832767e+08 + i -6.261091e+08 ; 1.671857e+09 + i 1.708794e+09 ; -2.515896e+09 + i 3.388234e+09 ; -7.016746e+08 + i 1.008024e+09 ; 9.000439e+08 + i -1.328693e+08 ; 1.680287e+09 + i 1.324114e+09 ; -7.660696e+08 + i -1.983928e+08 ; 1.061236e+09 + i 3.933617e+08 ; -5.166228e+07 + i 1.215554e+10 ; -1.775113e+08 + i 1.301853e+08 ; 2.231744e+08 + i -1.468642e+07 ; -7.430635e+08 + i 1.200698e+09 ; -6.244023e+08 + i 1.084675e+08 ; 4.584130e+08 + i -7.639804e+08 ; 1.784811e+09 + i 1.371714e+09 ; 4.480163e+08 + i 4.196855e+08 ; 8.942230e+07 + i 5.866769e+07 ; 6.464953e+07 + i 8.450451e+08 ; -6.419564e+07 + i 4.102950e+08 ; 1.047514e+08 + i -5.926292e+07 ; 5.072246e+08 + i 3.109063e+08 ; 3.342739e+08 + i 1.547088e+08 ; 2.888441e+08 + i 5.015342e+07 ; 4.746615e+08 + i 7.632081e+08 ; 1.731580e+08 + i 3.055398e+08 ; 1.170443e+08 + i -1.055341e+08 ; 5.075782e+08 + i 1.860588e+08 ; 1.303528e+08 + i -9.013627e+07 ; 2.626458e+08 + i -1.130208e+08 ; 5.224498e+08 + i 5.234201e+08 ; 2.842221e+08 + i -2.900657e+07 ; 1.046187e+08 + i -1.621286e+08 ; 3.944604e+08 + i 2.682680e+08 ; 1.539911e+08 + i -1.162742e+08 ; 1.396535e+08 + i -1.599246e+08 ; 3.896927e+08 + i 4.777447e+08 ; 3.231570e+08 + i -1.018914e+08 ; 9.004008e+07 + i -1.212333e+08 ; 4.641880e+08 + i 3.257364e+08 ; 
-4.375731e+08 + i 9.286212e+08 ; 1.204310e+08 + i -6.820749e+07 ; 1.063134e+08 + i -6.708023e+07 ; 1.707641e+09 + i 2.651085e+09 ; 6.799480e+08 + i 2.960764e+08 ; 6.739241e+08 + i 2.915514e+08 ; 2.053515e+09 + i 1.227749e+09 ; 7.708191e+08 + i -2.515601e+08 ; 4.121363e+08 + i -7.189071e+08 ; -2.496526e+09 + i 3.163094e+09 ; 3.489828e+08 + i 8.818354e+08 ; 1.074480e+09 + i 1.031621e+09 ; 2.054414e+09 + i 1.211174e+09 ; 4.199165e+08 + i -7.127390e+08 ; 7.740211e+08 + i -2.584360e+08 ; -2.489770e+09 + i 3.153537e+09 ; 1.092852e+09 + i 1.039482e+09 ; 3.584324e+08 + i 8.768247e+08 ; 1.728605e+07 + i 1.216093e+10 ; 1.031590e+09 + i 4.277462e+08 ; 1.047271e+09 + i 4.319845e+08 ; -4.846381e+09 + i -6.347624e+09 ; -9.281834e+08 + i 1.359624e+09 ; -9.228302e+08 + i 1.375346e+09 ; -1.036884e+09 + i -2.689999e+08 ; 2.391128e+08 + i 6.776619e+07 ; 2.373411e+08 + i 6.788617e+07 ; -9.330642e+08 + i -9.236179e+08 ; 1.677929e+08 + i -2.682004e+07 ; 1.661099e+08 + i -2.563712e+07 ; -8.837490e+08 + i -6.352575e+08 ; 2.076584e+08 + i 1.148441e+08 ; 2.372235e+08 + i 8.387569e+07 ; -4.270464e+08 + i -7.095781e+08 ; 1.701673e+08 + i -1.783158e+07 ; 1.671684e+08 + i -2.133361e+07 ; -8.790086e+08 + i -6.359058e+08 ; 2.406592e+08 + i 8.205859e+07 ; 2.112366e+08 + i 1.157414e+08 ; -4.183042e+08 + i -7.090312e+08 ; 1.682923e+08 + i -2.427054e+07 ; 1.737638e+08 + i -1.911413e+07 ; -2.661798e+08 + i -7.829266e+08 ; 1.905003e+08 + i 1.304071e+08 ; 1.935490e+08 + i 1.340696e+08 ; -1.845048e+08 + i -2.944671e+08 ; 1.663658e+08 + i -1.449761e+07 ; 1.710147e+08 + i -1.171064e+07 ; 
3.767670e+08 + i 1.033108e+09 ; -2.616166e+09 + i 3.423454e+09 ; -1.338514e+09 + i -1.271589e+09 ; 8.203558e+08 + i 3.750846e+08 ; 1.657317e+09 + i 2.877141e+09 ; -6.769862e+08 + i -2.135250e+08 ; 8.702146e+08 + i -2.027823e+08 ; 1.685961e+09 + i 1.338760e+09 ; -6.058705e+08 + i 9.271992e+08 ; 1.464570e+08 + i 2.219553e+07 ; -7.360240e+08 + i 1.152391e+09 ; -1.532664e+08 + i 1.127908e+07 ; -1.196346e+09 + i 1.813816e+09 ; -5.006849e+09 + i -6.102076e+09 ; 1.133446e+09 + i -1.679126e+09 ; 1.636191e+09 + i 1.793345e+09 ; -2.550643e+09 + i 3.393857e+09 ; -2.878747e+08 + i -8.270728e+08 ; 1.004978e+09 + i 4.459069e+08 ; -1.779660e+08 + i 1.214404e+10 ; -7.512353e+08 + i -3.077419e+08 ; 3.737882e+08 + i -7.747692e+08 ; 1.751938e+09 + i 1.314873e+09 ; -6.960865e+08 + i 1.484599e+08 ; -3.294819e+07 + i 3.531487e+08 ; 5.314225e+08 + i 1.838414e+08 ; -7.273604e+07 + i 7.532055e+07 ; -1.585425e+08 + i 2.583097e+08 ; 3.573820e+08 + i 9.732823e+05 ; -9.999407e+06 + i 7.525830e+07 ; 1.200734e+07 + i 1.849717e+08 ; 4.692614e+08 + i 3.128776e+08 ; -6.071311e+07 + i 1.008958e+08 ; 1.775704e+07 + i 2.276476e+08 ; 4.211427e+08 + i 4.817204e+06 ; -6.127793e+06 + i 8.350593e+07 ; -9.358420e+07 + i 4.135746e+08 ; 5.348359e+08 + i 3.045024e+08 ; -5.173470e+07 + i 7.899346e+07 ; -2.030251e+08 + i 2.238055e+08 ; 3.713646e+08 + i -1.046199e+07 ; -8.873337e+06 + i 7.406686e+07 ; 3.834498e+07 + i 2.141559e+08 ; 4.055352e+08 + i 2.537554e+08 ; -6.864506e+07 + i 1.090669e+08 ; -3.691912e+07 + i 2.425730e+08 ; 3.850228e+08 + i 2.871265e+07 ; -1.271618e+07 + i 8.796529e+07 ; 
3.875733e+08 + i 1.026353e+09 ; -1.345860e+09 + i -1.285072e+09 ; -2.639382e+09 + i 3.431778e+09 ; 8.192291e+08 + i 3.765611e+08 ; -6.862465e+08 + i -2.192429e+08 ; 1.668858e+09 + i 2.883213e+09 ; -1.190067e+09 + i 1.829545e+09 ; 1.124837e+09 + i -1.698453e+09 ; -5.045355e+09 + i -6.097661e+09 ; 1.642436e+09 + i 1.797249e+09 ; -2.950249e+08 + i -8.220177e+08 ; -2.556003e+09 + i 3.358175e+09 ; 8.824426e+08 + i -2.055411e+08 ; -6.067699e+08 + i 9.100917e+08 ; 1.626198e+09 + i 1.325123e+09 ; 1.472710e+08 + i 1.157758e+07 ; -1.604866e+08 + i 1.244871e+06 ; -7.634667e+08 + i 1.202809e+09 ; 1.013060e+09 + i 4.599785e+08 ; -7.573758e+08 + i -3.018251e+08 ; -1.705931e+08 + i 1.213817e+10 ; 3.766897e+08 + i -7.712929e+08 ; -7.073772e+08 + i 1.500988e+08 ; 1.699329e+09 + i 1.318715e+09 ; -3.436365e+07 + i 3.528703e+08 ; -7.396413e+07 + i 7.556586e+07 ; 5.259094e+08 + i 1.822974e+08 ; -1.574167e+08 + i 2.572734e+08 ; -1.031606e+07 + i 7.632803e+07 ; 3.521506e+08 + i 2.776075e+06 ; -9.374503e+07 + i 4.157743e+08 ; -5.171684e+07 + i 7.708598e+07 ; 5.262519e+08 + i 3.039469e+08 ; -2.030015e+08 + i 2.262523e+08 ; -1.011242e+07 + i 7.235528e+07 ; 3.665017e+08 + i -4.948028e+06 ; 1.160491e+07 + i 1.829996e+08 ; -6.127288e+07 + i 1.017449e+08 ; 4.766431e+08 + i 3.160310e+08 ; 1.800618e+07 + i 2.261323e+08 ; -5.651176e+06 + i 8.451344e+07 ; 4.285694e+08 + i 2.205839e+06 ; 3.562750e+07 + i 2.138779e+08 ; -6.719982e+07 + i 1.083326e+08 ; 4.104331e+08 + i 2.612095e+08 ; -3.680730e+07 + i 2.421000e+08 ; -1.176181e+07 + i 8.614628e+07 ; 3.943259e+08 + i 3.523610e+07 ; 
1.764057e+09 + i 2.616881e+09 ; -6.529924e+08 + i -2.724616e+08 ; -6.489941e+08 + i -2.643992e+08 ; -6.833137e+08 + i 7.706344e+08 ; -2.988996e+07 + i 1.496542e+07 ; -1.605682e+07 + i 1.685301e+07 ; -2.472808e+09 + i 3.199571e+09 ; -3.734180e+08 + i -8.622901e+08 ; -1.280544e+09 + i -1.282922e+09 ; 1.794309e+09 + i 9.904060e+08 ; -6.470884e+08 + i 8.755023e+07 ; -4.762531e+08 + i 7.997615e+08 ; -2.463406e+09 + i 3.186641e+09 ; -1.286029e+09 + i -1.291119e+09 ; -3.882919e+08 + i -8.726285e+08 ; 1.789309e+09 + i 9.683385e+08 ; -4.743788e+08 + i 7.943511e+08 ; -6.555227e+08 + i 9.157910e+07 ; -4.820741e+09 + i -6.313949e+09 ; 1.016075e+09 + i -1.573897e+09 ; 1.026852e+09 + i -1.597319e+09 ; -3.520436e+07 + i 1.178396e+10 ; -6.605137e+08 + i -3.477422e+08 ; -6.729304e+08 + i -3.588425e+08 ; -8.999877e+08 + i -1.622910e+08 ; 2.483423e+08 + i 1.006782e+08 ; 2.493245e+08 + i 9.580609e+07 ; -1.022273e+09 + i -2.794604e+08 ; 1.291627e+08 + i 3.266046e+07 ; 1.258195e+08 + i 2.987423e+07 ; -1.016429e+09 + i -2.105048e+08 ; 6.237931e+06 + i 2.693394e+08 ; 4.704778e+08 + i 3.415565e+08 ; -8.602239e+08 + i -6.403413e+08 ; 1.977198e+08 + i 6.114750e+07 ; 1.900506e+08 + i -8.606995e+06 ; -1.008253e+09 + i -2.079756e+08 ; 4.705635e+08 + i 3.452957e+08 ; 1.225408e+07 + i 2.697135e+08 ; -8.549707e+08 + i -6.361591e+08 ; 1.923160e+08 + i -8.713978e+06 ; 2.026927e+08 + i 5.850215e+07 ; -1.174145e+09 + i -9.670910e+08 ; -1.070334e+08 + i 2.738037e+08 ; -1.058244e+08 + i 2.769200e+08 ; -2.481026e+08 + i -7.953719e+08 ; 1.953346e+08 + i 1.453080e+08 ; 1.994107e+08 + i 1.485525e+08 ; 
-7.095366e+08 + i -1.562081e+08 ; 1.689707e+09 + i 2.898517e+09 ; -6.429696e+08 + i -2.194696e+08 ; -4.164680e+08 + i -6.999516e+08 ; -2.498053e+09 + i 3.418198e+09 ; -1.278915e+09 + i -1.221392e+09 ; -9.464788e+07 + i 1.619501e+08 ; -6.967040e+08 + i 1.135558e+09 ; -3.214974e+07 + i 6.769230e+07 ; -7.000686e+08 + i 2.355147e+08 ; 1.797186e+09 + i 1.323370e+09 ; -4.940380e+08 + i 8.626393e+08 ; -1.351638e+09 + i -1.188227e+09 ; -2.589281e+09 + i 3.440172e+09 ; -3.871336e+08 + i -8.186733e+08 ; 9.569095e+08 + i -1.420528e+09 ; -4.857842e+09 + i -6.117558e+09 ; 1.022081e+09 + i -1.534757e+09 ; -5.495064e+08 + i 9.374819e+08 ; 1.735021e+09 + i 1.304807e+09 ; -6.968373e+08 + i 1.351714e+08 ; -7.185321e+08 + i -2.119803e+08 ; -3.485053e+07 + i 1.210170e+10 ; -7.199548e+08 + i -3.079483e+08 ; 3.677827e+08 + i 1.436821e+08 ; 4.854547e+08 + i 7.691240e+08 ; -2.239851e+08 + i -2.392644e+07 ; 2.024783e+08 + i 3.086221e+08 ; 5.155401e+08 + i 1.903658e+08 ; -8.164538e+07 + i 9.336969e+07 ; 1.904653e+08 + i -1.163496e+08 ; 3.849568e+08 + i 4.717627e+08 ; -7.347376e+07 + i 1.452602e+08 ; 3.553617e+08 + i -9.650215e+07 ; 4.555765e+08 + i 3.252291e+08 ; -4.343418e+07 + i 9.812757e+07 ; 4.931056e+08 + i 4.179112e+08 ; 7.055097e+07 + i 8.424807e+08 ; -9.312351e+07 + i -1.244465e+07 ; -2.678928e+07 + i 4.140870e+08 ; 5.120821e+08 + i 3.043248e+08 ; -7.632217e+07 + i 6.078295e+07 ; 1.841640e+08 + i -1.034738e+08 ; 5.134799e+08 + i 5.124708e+08 ; -1.868173e+08 + i 1.113803e+08 ; 3.158701e+08 + i -1.192862e+07 ; 3.853908e+08 + i 2.524258e+08 ; -6.540662e+07 + i 1.365734e+08 ; 
