-7.600953e+09 + i 1.437948e+10 ; -3.419512e+07 + i 1.274955e+08 ; -3.405072e+07 + i 1.275454e+08 ; -1.344160e+09 + i -3.199671e+09 ; -6.274635e+07 + i -3.523852e+08 ; -6.291976e+07 + i -3.522804e+08 ; 4.647615e+08 + i 1.605758e+09 ; 1.762246e+07 + i 1.954024e+08 ; 3.058338e+07 + i 5.089526e+07 ; -1.111292e+08 + i 1.132131e+09 ; -3.981411e+08 + i -6.744122e+08 ; -6.550426e+07 + i -1.932819e+07 ; 4.649503e+08 + i 1.605664e+09 ; 3.023782e+07 + i 5.071460e+07 ; 1.744782e+07 + i 1.953843e+08 ; -1.106805e+08 + i 1.132180e+09 ; -6.471138e+07 + i -1.980065e+07 ; -3.981171e+08 + i -6.744137e+08 ; 4.150749e+08 + i -1.439296e+08 ; 5.138180e+07 + i 6.942751e+07 ; 5.168652e+07 + i 6.924971e+07 ; 3.991758e+08 + i -7.897867e+07 ; -1.452542e+08 + i -7.441497e+07 ; -1.452736e+08 + i -7.457582e+07 ; -4.475964e+07 + i -3.956996e+08 ; -7.277467e+06 + i 1.305420e+07 ; -7.256086e+06 + i 1.306805e+07 ; 1.522355e+07 + i -2.314954e+08 ; 2.767268e+06 + i 3.900466e+06 ; 2.775800e+06 + i 3.897705e+06 ; -1.219273e+08 + i -5.684550e+06 ; -2.331659e+07 + i 2.341394e+06 ; 6.562600e+04 + i 1.149492e+07 ; -8.883235e+07 + i -2.520845e+07 ; -1.219460e+06 + i 1.084636e+06 ; 2.525871e+06 + i 2.456046e+06 ; -1.217948e+08 + i -5.737672e+06 ; 1.112569e+05 + i 1.140593e+07 ; -2.330425e+07 + i 2.348180e+06 ; -8.875355e+07 + i -2.520478e+07 ; 2.514053e+06 + i 2.445187e+06 ; -1.220055e+06 + i 1.086237e+06 ; -6.079424e+04 + i 6.665635e+07 ; -1.106720e+07 + i 3.603470e+06 ; -1.109476e+07 + i 3.630054e+06 ; -1.313681e+07 + i 4.651646e+07 ; -7.913146e+05 + i 1.906193e+05 ; -7.876952e+05 + i 1.949760e+05 ; 
-5.566908e+07 + i -9.559275e+07 ; -5.198186e+07 + i -9.753695e+07 ; 4.260681e+08 + i -1.380112e+08 ; -3.671628e+07 + i -6.334953e+07 ; 2.487159e+07 + i -2.367636e+08 ; 4.579268e+08 + i 1.601018e+09 ; 2.029222e+07 + i -2.372571e+08 ; -3.293747e+07 + i -6.756962e+07 ; 4.584122e+08 + i 1.619778e+09 ; 6.136131e+07 + i -1.402272e+08 ; 6.750618e+07 + i -1.422684e+08 ; -7.621810e+09 + i 1.437657e+10 ; 1.802513e+08 + i 1.043184e+08 ; 1.815411e+08 + i 1.156106e+08 ; 4.098607e+08 + i -8.230993e+07 ; 9.866406e+07 + i 4.521619e+06 ; 3.189730e+08 + i 9.034437e+08 ; -9.904229e+07 + i 1.128724e+09 ; 3.218252e+08 + i 8.877046e+08 ; 1.012618e+08 + i 2.252933e+07 ; -9.940815e+07 + i 1.146598e+09 ; -1.481271e+07 + i 4.093313e+08 ; -1.407470e+07 + i 4.383036e+08 ; -1.350037e+09 + i -3.177233e+09 ; 1.796499e+07 + i 4.735624e+07 ; -3.263348e+06 + i -4.248599e+07 ; 1.126529e+08 + i 8.873484e+07 ; 1.103135e+07 + i 4.076620e+07 ; -7.478001e+06 + i -7.004627e+06 ; 1.628475e+07 + i -7.776304e+06 ; 7.366410e+06 + i 9.025772e+07 ; 3.490034e+06 + i -3.043886e+07 ; 1.100619e+08 + i 3.018920e+08 ; -7.044756e+06 + i 7.012803e+07 ; -5.939943e+06 + i -5.768734e+06 ; 4.547881e+07 + i -5.584279e+06 ; -6.041818e+07 + i -9.596920e+07 ; 2.895135e+07 + i 5.355175e+07 ; 8.983678e+07 + i 7.953890e+07 ; -3.421825e+07 + i -6.452425e+07 ; 5.169164e+06 + i -4.824405e+06 ; 1.581171e+07 + i -6.853202e+06 ; -1.200149e+08 + i -2.404206e+08 ; -1.180388e+06 + i 1.763716e+07 ; 3.731212e+07 + i 2.466394e+08 ; -4.240992e+07 + i -1.577735e+08 ; 2.456971e+06 + i -6.046489e+06 ; 4.668630e+07 + i 5.596109e+05 ; 
4.537809e+08 + i 1.606784e+09 ; 3.033556e+07 + i 5.382141e+07 ; -1.734282e+07 + i -2.007642e+08 ; -1.140095e+08 + i 1.137274e+09 ; -7.120433e+07 + i -1.784582e+07 ; 3.773705e+08 + i 8.442222e+08 ; 4.176904e+08 + i -1.411560e+08 ; 5.126351e+07 + i 7.459787e+07 ; -4.683017e+07 + i -8.583384e+07 ; 4.007639e+08 + i -7.840737e+07 ; -1.477970e+08 + i -8.176825e+07 ; 1.602311e+08 + i 1.040582e+08 ; -7.610140e+09 + i 1.437833e+10 ; -3.764481e+07 + i 1.284317e+08 ; 3.963604e+07 + i -1.342801e+08 ; -1.346911e+09 + i -3.197131e+09 ; -5.676230e+07 + i -3.624207e+08 ; 4.338631e+07 + i 3.929786e+08 ; 4.653795e+08 + i 1.610318e+09 ; 1.170465e+07 + i 1.988964e+08 ; -2.644398e+07 + i -6.011274e+07 ; -1.102867e+08 + i 1.134451e+09 ; -3.954996e+08 + i -7.115622e+08 ; 7.303742e+07 + i 2.469723e+07 ; -1.195000e+08 + i -6.647549e+06 ; -4.838983e+05 + i 1.224645e+07 ; 2.621416e+07 + i 2.345730e+05 ; -8.718867e+07 + i -2.521017e+07 ; 2.523720e+06 + i 2.748248e+06 ; 1.415010e+06 + i -1.002879e+06 ; 3.761917e+04 + i 6.593383e+07 ; -1.177697e+07 + i 3.566738e+06 ; 1.306857e+07 + i -2.826207e+06 ; -1.280512e+07 + i 4.594304e+07 ; -8.429546e+05 + i 2.505997e+05 ; 9.213616e+05 + i -2.114277e+05 ; -4.461092e+07 + i -3.957896e+08 ; -7.501231e+06 + i 1.322279e+07 ; 9.866494e+06 + i -1.504415e+07 ; 1.517627e+07 + i -2.313132e+08 ; 2.862541e+06 + i 4.046516e+06 ; -2.695634e+06 + i -4.971121e+06 ; -1.218834e+08 + i -5.738327e+06 ; -2.385694e+07 + i 1.593435e+06 ; 1.626365e+06 + i -1.405952e+07 ; -8.870127e+07 + i -2.509828e+07 ; -1.205918e+06 + i 9.912670e+05 ; -2.495586e+06 + i -3.428165e+06 ; 
2.718074e+07 + i 5.327555e+07 ; 4.623836e+08 + i 1.619650e+09 ; -1.715908e+07 + i -2.010712e+08 ; 4.710619e+07 + i 7.467566e+07 ; 4.245238e+08 + i -1.413418e+08 ; -4.677431e+07 + i -8.511928e+07 ; -7.294676e+07 + i -2.494837e+07 ; -1.010843e+08 + i 1.154747e+09 ; 3.794356e+08 + i 8.443780e+08 ; -1.512271e+08 + i -9.388774e+07 ; 4.099484e+08 + i -8.194958e+07 ; 1.617970e+08 + i 1.043908e+08 ; -4.062893e+07 + i 1.261223e+08 ; -7.619430e+09 + i 1.440234e+10 ; 3.979891e+07 + i -1.344973e+08 ; 7.179855e+06 + i 1.963205e+08 ; 4.676244e+08 + i 1.621920e+09 ; -2.645812e+07 + i -5.936989e+07 ; -5.601261e+07 + i -3.719919e+08 ; -1.356879e+09 + i -3.154544e+09 ; 4.500425e+07 + i 3.926090e+08 ; -3.957735e+08 + i -7.288351e+08 ; -9.934826e+07 + i 1.148566e+09 ; 7.422138e+07 + i 2.472145e+07 ; -3.974373e+06 + i 2.428593e+07 ; 1.612259e+07 + i -6.992116e+06 ; -5.539010e+06 + i -1.110476e+07 ; -5.662126e+06 + i 1.711723e+07 ; 4.613242e+06 + i 3.957284e+06 ; -2.352239e+06 + i -2.090363e+06 ; -4.264964e+07 + i -6.858600e+07 ; 1.610648e+07 + i -6.707096e+06 ; 3.250668e+06 + i -2.424240e+05 ; -2.411453e+07 + i -4.825624e+07 ; 4.112312e+06 + i 3.700264e+06 ; 3.016793e+04 + i -9.627918e+05 ; -1.647196e+07 + i 1.899234e+07 ; 4.428215e+07 + i -4.971452e+06 ; -3.758909e+06 + i -8.363668e+06 ; -1.475494e+07 + i 1.175638e+07 ; 4.999917e+06 + i 3.051531e+06 ; -1.918848e+06 + i -1.679023e+06 ; -3.806455e+07 + i -1.401307e+08 ; 4.653087e+07 + i 6.133275e+05 ; -1.816476e+06 + i -6.041853e+06 ; -1.040728e+07 + i -8.861160e+07 ; 4.325258e+06 + i 2.084648e+06 ; -9.734584e+05 + i -1.824651e+06 ; 
7.891471e+07 + i 3.482812e+08 ; 8.176238e+07 + i 3.380447e+08 ; -1.348314e+09 + i -3.154378e+09 ; 4.026670e+08 + i 7.300612e+08 ; 6.726388e+07 + i 1.895422e+07 ; -1.012803e+08 + i 1.151143e+09 ; 6.710916e+07 + i 2.672568e+07 ; 4.044498e+08 + i 7.126479e+08 ; -9.851160e+07 + i 1.152873e+09 ; 1.541749e+08 + i 9.193225e+07 ; 1.518511e+08 + i 7.987192e+07 ; 4.121398e+08 + i -8.268717e+07 ; 3.008506e+07 + i -1.249323e+08 ; 2.742304e+07 + i -1.274278e+08 ; -7.617896e+09 + i 1.440213e+10 ; -3.519447e+07 + i -1.711921e+08 ; -3.223281e+07 + i -4.941122e+07 ; 4.672475e+08 + i 1.616099e+09 ; -2.931300e+07 + i -4.925982e+07 ; -3.875762e+07 + i -1.740982e+08 ; 4.703721e+08 + i 1.617835e+09 ; -4.661361e+07 + i -7.083571e+07 ; -5.029116e+07 + i -7.044273e+07 ; 4.207129e+08 + i -1.434034e+08 ; 3.772093e+07 + i 1.418668e+08 ; -2.433476e+06 + i -4.908975e+06 ; 4.475679e+07 + i 1.565825e+06 ; 9.954188e+06 + i 8.998484e+07 ; -1.056472e+06 + i -1.414909e+06 ; 4.396991e+06 + i 2.231755e+06 ; 4.363816e+07 + i 6.890314e+07 ; 2.498965e+06 + i -2.987298e+05 ; 1.552575e+07 + i -6.062812e+06 ; 2.483658e+07 + i 4.882404e+07 ; -6.251662e+04 + i -7.782838e+05 ; 4.086234e+06 + i 3.787228e+06 ; 1.221139e+07 + i -1.693938e+07 ; -3.832839e+06 + i -7.040734e+06 ; 4.416884e+07 + i -4.731374e+06 ; 1.219111e+07 + i -1.079399e+07 ; -1.798978e+06 + i -1.359089e+06 ; 5.107562e+06 + i 3.208098e+06 ; 2.789275e+06 + i -2.299379e+07 ; -5.663347e+06 + i -9.243771e+06 ; 1.584704e+07 + i -6.963753e+06 ; 4.966069e+06 + i -1.626900e+07 ; -2.184671e+06 + i -1.700570e+06 ; 4.668417e+06 + i 4.055040e+06 ; 
-1.302738e+08 + i 1.145094e+09 ; 7.946241e+07 + i 2.115304e+07 ; -3.257667e+08 + i -9.081869e+08 ; 4.487751e+08 + i 1.595244e+09 ; -2.891244e+07 + i -4.610567e+07 ; 6.991362e+07 + i 1.376926e+08 ; 4.041606e+08 + i -7.621406e+07 ; 1.558629e+08 + i 8.820973e+07 ; -1.588918e+08 + i -1.188200e+08 ; 4.098668e+08 + i -1.361577e+08 ; -4.757638e+07 + i -6.687850e+07 ; 3.764812e+07 + i 7.092046e+07 ; -1.349771e+09 + i -3.195546e+09 ; 4.822534e+07 + i 3.779113e+08 ; -8.766860e+07 + i -3.572683e+08 ; -7.610346e+09 + i 1.432743e+10 ; 4.133650e+07 + i -1.220284e+08 ; -6.425116e+07 + i 1.317933e+08 ; -1.066382e+08 + i 1.137549e+09 ; 3.928806e+08 + i 7.491154e+08 ; -7.260653e+07 + i -2.485667e+07 ; 4.479351e+08 + i 1.598272e+09 ; -5.980855e+05 + i -1.919314e+08 ; 2.005713e+07 + i 5.219297e+07 ; -1.471862e+08 + i 2.395088e+07 ; -2.975223e+07 + i -2.709447e+07 ; 9.395734e+07 + i 2.584282e+08 ; -1.182028e+08 + i -7.685500e+06 ; -1.240792e+06 + i 1.097570e+07 ; 3.103538e+07 + i -9.272171e+06 ; 2.475892e+07 + i 9.093177e+07 ; -7.491865e+07 + i -6.884012e+07 ; 7.028804e+07 + i 9.370311e+07 ; 6.361094e+05 + i 6.474450e+07 ; -8.479326e+06 + i 6.156772e+06 ; 1.065308e+07 + i -4.666279e+06 ; -2.136339e+08 + i -6.525757e+08 ; -2.609578e+07 + i -1.036048e+08 ; -8.412185e+06 + i 1.368804e+08 ; -4.448051e+07 + i -3.952454e+08 ; -1.562999e+07 + i 1.655473e+07 ; 2.149514e+07 + i -1.267672e+07 ; -1.522404e+08 + i 2.852114e+07 ; -1.247928e+08 + i -2.049544e+08 ; 2.312647e+07 + i 4.274541e+07 ; -1.219321e+08 + i -5.744359e+06 ; -2.458001e+07 + i 1.450127e+07 ; 3.027310e+06 + i -1.065722e+07 ; 
-4.887498e+07 + i -9.469279e+07 ; 4.264968e+08 + i -1.386733e+08 ; -4.059806e+07 + i -9.674258e+07 ; -3.159916e+07 + i -6.050371e+07 ; 4.592144e+08 + i 1.600680e+09 ; -4.863506e+06 + i -2.121124e+08 ; 1.581046e+08 + i 1.083538e+08 ; 4.112565e+08 + i -8.195838e+07 ; 1.724164e+08 + i 1.134537e+08 ; 8.053293e+07 + i 6.066148e+06 ; -1.036881e+08 + i 1.133604e+09 ; 3.393625e+08 + i 8.962671e+08 ; 1.618118e+07 + i -2.294451e+08 ; 4.590133e+08 + i 1.621774e+09 ; -2.450284e+07 + i -6.419703e+07 ; 5.442192e+07 + i -1.384248e+08 ; -7.624244e+09 + i 1.437585e+10 ; 4.973676e+07 + i -1.360885e+08 ; 3.409000e+08 + i 8.857330e+08 ; -9.742849e+07 + i 1.148786e+09 ; 8.334154e+07 + i 2.417053e+07 ; 6.421195e+06 + i 3.956584e+08 ; -1.353345e+09 + i -3.177467e+09 ; 1.460196e+07 + i 4.130346e+08 ; 1.803424e+07 + i 4.886574e+07 ; 1.124209e+08 + i 8.874610e+07 ; -3.015762e+06 + i -4.217896e+07 ; 1.093536e+07 + i 4.191225e+07 ; 1.631376e+07 + i -7.712328e+06 ; -7.356573e+06 + i -7.064428e+06 ; -6.473156e+07 + i -9.635009e+07 ; 8.966677e+07 + i 7.966585e+07 ; 2.958457e+07 + i 5.309268e+07 ; -3.666531e+07 + i -6.533330e+07 ; 1.587883e+07 + i -6.899163e+06 ; 5.138450e+06 + i -4.893763e+06 ; 7.603791e+06 + i 9.240018e+07 ; 1.100724e+08 + i 3.019142e+08 ; 3.499947e+06 + i -3.006782e+07 ; -7.113926e+06 + i 7.141527e+07 ; 4.554146e+07 + i -5.588336e+06 ; -5.831954e+06 + i -5.798899e+06 ; -1.184397e+08 + i -2.408743e+08 ; 3.747992e+07 + i 2.462958e+08 ; -6.118132e+05 + i 1.705114e+07 ; -4.144013e+07 + i -1.576445e+08 ; 4.675703e+07 + i 4.234440e+05 ; 2.452325e+06 + i -6.112918e+06 ; 
-3.260474e+08 + i -8.921376e+08 ; 6.075760e+07 + i 2.299856e+07 ; -1.197542e+08 + i 1.159390e+09 ; -8.519357e+07 + i -3.228331e+08 ; 7.553041e+07 + i 3.569490e+08 ; -1.356974e+09 + i -3.174765e+09 ; -1.639657e+08 + i -1.071671e+08 ; 1.522771e+08 + i 8.598611e+07 ; 4.155901e+08 + i -7.848653e+07 ; -6.658115e+07 + i -1.120120e+07 ; 3.982919e+08 + i 7.471408e+08 ; -1.005906e+08 + i 1.135394e+09 ; 7.606665e+07 + i 1.510682e+08 ; -2.949723e+07 + i -5.276113e+07 ; 4.693879e+08 + i 1.614491e+09 ; -6.000878e+07 + i 1.415149e+08 ; 3.139169e+07 + i -1.312512e+08 ; -7.612755e+09 + i 1.437787e+10 ; 4.693235e+07 + i 8.451142e+07 ; -4.029088e+07 + i -7.764474e+07 ; 4.215216e+08 + i -1.441483e+08 ; 3.643997e+07 + i 5.576255e+07 ; -3.678065e+07 + i -1.854230e+08 ; 4.657531e+08 + i 1.595963e+09 ; 1.189331e+08 + i 2.352995e+08 ; 7.372795e+06 + i 1.001619e+07 ; 4.103368e+07 + i 2.418638e+08 ; 4.214488e+07 + i 1.536105e+08 ; 1.052776e+06 + i -6.631496e+06 ; 4.657308e+07 + i -1.252949e+05 ; 6.418457e+07 + i 9.340931e+07 ; 3.774386e+07 + i 3.901131e+07 ; 9.024664e+07 + i 7.821284e+07 ; 3.683635e+07 + i 6.314661e+07 ; 3.677681e+06 + i -5.937990e+06 ; 1.580342e+07 + i -7.266683e+06 ; 1.094859e+07 + i -1.080394e+08 ; -3.102469e+06 + i -2.608521e+07 ; 1.088319e+08 + i 3.021015e+08 ; 1.985119e+07 + i -7.849937e+07 ; -6.287597e+06 + i -3.601246e+06 ; 4.464870e+07 + i -5.113843e+06 ; -1.381105e+07 + i -5.590043e+07 ; -9.852576e+06 + i -3.610471e+07 ; 1.118314e+08 + i 8.886903e+07 ; -7.938437e+06 + i -4.656907e+07 ; -7.643373e+06 + i -4.601660e+06 ; 1.570293e+07 + i -7.142543e+06 ; 
4.200831e+08 + i -1.375419e+08 ; -3.571794e+07 + i -9.559595e+07 ; -3.568444e+07 + i -9.566042e+07 ; 4.018421e+08 + i -7.809033e+07 ; 1.555907e+08 + i 1.178982e+08 ; 1.557935e+08 + i 1.179398e+08 ; 4.566173e+08 + i 1.609630e+09 ; -2.394639e+07 + i -6.272262e+07 ; -5.858059e+06 + i -2.096898e+08 ; -1.117696e+08 + i 1.136658e+09 ; 7.362611e+07 + i 2.417263e+07 ; 3.488140e+08 + i 8.987181e+08 ; 4.567859e+08 + i 1.609518e+09 ; -5.859684e+06 + i -2.097830e+08 ; -2.378864e+07 + i -6.260909e+07 ; -1.113911e+08 + i 1.136734e+09 ; 3.490843e+08 + i 8.990115e+08 ; 7.282710e+07 + i 2.450687e+07 ; -7.617802e+09 + i 1.437730e+10 ; 4.573905e+07 + i -1.371958e+08 ; 4.585152e+07 + i -1.368565e+08 ; -1.348705e+09 + i -3.195114e+09 ; 3.068963e+07 + i 4.057387e+08 ; 3.015839e+07 + i 4.056135e+08 ; -7.006182e+05 + i 6.528239e+07 ; 1.405526e+07 + i -2.314155e+06 ; 1.403923e+07 + i -2.329878e+06 ; -1.294875e+07 + i 4.537073e+07 ; 1.038099e+06 + i -2.581196e+05 ; 1.041287e+06 + i -2.528579e+05 ; -1.197746e+08 + i -6.776480e+06 ; 2.675167e+06 + i -1.474937e+07 ; 2.652455e+07 + i 1.973505e+06 ; -8.720259e+07 + i -2.523990e+07 ; -2.295581e+06 + i -3.804396e+06 ; 1.313825e+06 + i -7.582754e+05 ; -1.196389e+08 + i -6.828124e+06 ; 2.651723e+07 + i 1.985004e+06 ; 2.607423e+06 + i -1.471718e+07 ; -8.712670e+07 + i -2.523574e+07 ; 1.315424e+06 + i -7.643265e+05 ; -2.290421e+06 + i -3.791524e+06 ; -4.429584e+07 + i -3.961904e+08 ; 1.025035e+07 + i -1.481080e+07 ; 1.027919e+07 + i -1.484039e+07 ; 1.528896e+07 + i -2.313348e+08 ; -2.749535e+06 + i -5.117675e+06 ; -2.738954e+06 + i -5.116262e+06 ; 
6.742597e+07 + i 2.821457e+07 ; -1.150360e+08 + i 1.161935e+09 ; -3.242984e+08 + i -9.081288e+08 ; 1.535053e+08 + i 9.985928e+07 ; 4.140454e+08 + i -7.819856e+07 ; -1.603127e+08 + i -1.234672e+08 ; -2.616607e+07 + i -5.346721e+07 ; 4.704520e+08 + i 1.617834e+09 ; 6.598014e+07 + i 1.540305e+08 ; -3.774785e+07 + i -7.753423e+07 ; 4.214303e+08 + i -1.439680e+08 ; 4.179019e+07 + i 8.708082e+07 ; 6.961361e+07 + i 3.680564e+08 ; -1.360392e+09 + i -3.150952e+09 ; -8.650534e+07 + i -3.522301e+08 ; 3.938268e+08 + i 7.660617e+08 ; -9.944561e+07 + i 1.155539e+09 ; -7.315161e+07 + i -2.636393e+07 ; 3.565017e+07 + i -1.299740e+08 ; -7.614686e+09 + i 1.440162e+10 ; -6.851120e+07 + i 1.453615e+08 ; -2.659113e+07 + i -1.845348e+08 ; 4.686990e+08 + i 1.615239e+09 ; 2.675964e+07 + i 6.584605e+07 ; 4.251316e+07 + i 7.221498e+07 ; 1.608866e+07 + i -6.142994e+06 ; -3.954474e+06 + i 3.522817e+05 ; 2.387710e+07 + i 5.079558e+07 ; 4.120704e+06 + i 3.674120e+06 ; -4.520381e+04 + i 1.135294e+06 ; 5.018988e+06 + i -2.413257e+07 ; 1.626949e+07 + i -7.030118e+06 ; 4.973618e+06 + i 1.199454e+07 ; 6.467598e+06 + i -1.678538e+07 ; 4.688882e+06 + i 3.962565e+06 ; 2.277680e+06 + i 2.335527e+06 ; 3.511747e+07 + i 1.471834e+08 ; 4.516415e+07 + i 1.608061e+06 ; 6.383619e+05 + i 6.935809e+06 ; 7.940270e+06 + i 9.286839e+07 ; 4.418657e+06 + i 2.171186e+06 ; 9.706817e+05 + i 2.098808e+06 ; 1.452686e+07 + i -1.813131e+07 ; 4.442076e+07 + i -4.760490e+06 ; 3.201188e+06 + i 9.113349e+06 ; 1.384811e+07 + i -1.135335e+07 ; 5.132423e+06 + i 3.133337e+06 ; 1.867872e+06 + i 1.888852e+06 ; 
6.761565e+07 + i 2.833422e+07 ; -3.243382e+08 + i -9.082227e+08 ; -1.151662e+08 + i 1.161836e+09 ; 1.534274e+08 + i 9.981104e+07 ; -1.603921e+08 + i -1.235179e+08 ; 4.137460e+08 + i -7.804438e+07 ; 6.944906e+07 + i 3.682368e+08 ; -8.639309e+07 + i -3.523532e+08 ; -1.358531e+09 + i -3.151114e+09 ; 3.938700e+08 + i 7.660093e+08 ; -7.306511e+07 + i -2.638653e+07 ; -9.960489e+07 + i 1.154121e+09 ; -2.595624e+07 + i -5.343859e+07 ; 6.637010e+07 + i 1.538779e+08 ; 4.735074e+08 + i 1.616138e+09 ; -3.744240e+07 + i -7.778244e+07 ; 4.185876e+07 + i 8.691373e+07 ; 4.207128e+08 + i -1.444714e+08 ; 3.527249e+07 + i -1.295064e+08 ; -6.851428e+07 + i 1.454047e+08 ; -7.613316e+09 + i 1.440243e+10 ; -2.645659e+07 + i -1.845286e+08 ; 2.675722e+07 + i 6.587048e+07 ; 4.682700e+08 + i 1.614207e+09 ; 4.246618e+07 + i 7.217964e+07 ; -3.972565e+06 + i 3.506720e+05 ; 1.603387e+07 + i -6.191500e+06 ; 2.385408e+07 + i 5.076199e+07 ; -5.075862e+04 + i 1.138719e+06 ; 4.107004e+06 + i 3.684349e+06 ; 3.513542e+07 + i 1.472085e+08 ; 6.479640e+05 + i 6.927444e+06 ; 4.514458e+07 + i 1.525685e+06 ; 7.959964e+06 + i 9.288512e+07 ; 9.723736e+05 + i 2.095832e+06 ; 4.406369e+06 + i 2.173371e+06 ; 5.076291e+06 + i -2.418733e+07 ; 4.976663e+06 + i 1.198581e+07 ; 1.618428e+07 + i -7.063433e+06 ; 6.537550e+06 + i -1.681791e+07 ; 2.273498e+06 + i 2.335364e+06 ; 4.677262e+06 + i 3.982682e+06 ; 1.449960e+07 + i -1.818607e+07 ; 3.211539e+06 + i 9.113216e+06 ; 4.440388e+07 + i -4.804045e+06 ; 1.383500e+07 + i -1.137532e+07 ; 1.869396e+06 + i 1.884252e+06 ; 5.122158e+06 + i 3.149209e+06 ; 
4.083674e+08 + i -7.119396e+07 ; -1.632690e+08 + i -1.319836e+08 ; -1.634984e+08 + i -1.319958e+08 ; 4.125759e+08 + i -1.361887e+08 ; 1.094072e+07 + i 8.232252e+07 ; 1.092768e+07 + i 8.236868e+07 ; -1.258798e+08 + i 1.146873e+09 ; -6.446613e+07 + i -2.849216e+07 ; -2.925792e+08 + i -9.492432e+08 ; 4.504692e+08 + i 1.594611e+09 ; 2.636717e+07 + i 5.605989e+07 ; 5.586952e+07 + i 1.544200e+08 ; -1.258495e+08 + i 1.146891e+09 ; -2.927960e+08 + i -9.496579e+08 ; -6.355549e+07 + i -2.885331e+07 ; 4.510757e+08 + i 1.594387e+09 ; 5.581988e+07 + i 1.543682e+08 ; 2.626888e+07 + i 5.592871e+07 ; -1.362439e+09 + i -3.191907e+09 ; -7.320968e+07 + i -3.772226e+08 ; -7.263048e+07 + i -3.771795e+08 ; -7.608610e+09 + i 1.432760e+10 ; -7.003813e+07 + i 1.324307e+08 ; -7.001975e+07 + i 1.321088e+08 ; 2.384482e+07 + i 8.973816e+07 ; 7.699275e+07 + i 9.738281e+07 ; 7.705572e+07 + i 9.735399e+07 ; 4.806419e+05 + i 6.366215e+07 ; 1.140409e+07 + i -6.028030e+06 ; 1.142529e+07 + i -6.049917e+06 ; -1.481831e+08 + i 2.447228e+07 ; 3.401689e+07 + i 4.038685e+07 ; 8.572590e+07 + i 2.692411e+08 ; -1.186947e+08 + i -7.374404e+06 ; 3.620359e+06 + i -1.263055e+07 ; 3.202995e+07 + i -8.277721e+06 ; -1.480648e+08 + i 2.435820e+07 ; 8.573798e+07 + i 2.693873e+08 ; 3.374037e+07 + i 4.046146e+07 ; -1.186233e+08 + i -7.404687e+06 ; 3.207923e+07 + i -8.295318e+06 ; 3.594743e+06 + i -1.255956e+07 ; -2.136294e+08 + i -6.532367e+08 ; -1.258837e+07 + i 1.380955e+08 ; -1.271300e+07 + i 1.379928e+08 ; -4.458347e+07 + i -3.952632e+08 ; 2.230845e+07 + i -1.229745e+07 ; 2.225366e+07 + i -1.221481e+07 ; 
-1.603242e+08 + i -1.200249e+08 ; 4.175541e+08 + i -7.493623e+07 ; -1.611228e+08 + i -1.314499e+08 ; -5.916128e+07 + i -9.420546e+06 ; -1.158894e+08 + i 1.143134e+09 ; -2.894149e+08 + i -9.465371e+08 ; 1.705247e+07 + i 9.491008e+07 ; 4.240938e+08 + i -1.441190e+08 ; 1.248724e+07 + i 9.763409e+07 ; 3.127650e+07 + i 6.311670e+07 ; 4.667272e+08 + i 1.595780e+09 ; 5.616392e+07 + i 1.723688e+08 ; -2.925926e+08 + i -9.313590e+08 ; -1.165181e+08 + i 1.162204e+09 ; -6.138218e+07 + i -2.802311e+07 ; -7.009637e+07 + i -3.462798e+08 ; -1.367690e+09 + i -3.172731e+09 ; -7.018165e+07 + i -3.752210e+08 ; 6.236048e+07 + i 1.724798e+08 ; 4.715577e+08 + i 1.614396e+09 ; 2.608411e+07 + i 6.819838e+07 ; -6.363951e+07 + i 1.432934e+08 ; -7.610861e+09 + i 1.437696e+10 ; -7.214874e+07 + i 1.457679e+08 ; 6.014828e+07 + i 1.014955e+08 ; 9.020138e+07 + i 7.909342e+07 ; -2.934004e+07 + i -5.518587e+07 ; 3.353681e+07 + i 6.815514e+07 ; 1.620771e+07 + i -7.361841e+06 ; -5.472696e+06 + i 5.051242e+06 ; -1.714490e+07 + i -5.618304e+07 ; 1.118946e+08 + i 8.900812e+07 ; 9.948298e+05 + i 4.301894e+07 ; -9.143458e+06 + i -4.752473e+07 ; 1.593708e+07 + i -7.214645e+06 ; 7.160794e+06 + i 7.653848e+06 ; 1.112953e+08 + i 2.485101e+08 ; 4.089978e+07 + i 2.426655e+08 ; -4.105332e+05 + i -1.606517e+07 ; 3.620520e+07 + i 1.606433e+08 ; 4.678239e+07 + i -1.732611e+05 ; -2.775049e+06 + i 6.438923e+06 ; 1.333471e+07 + i -1.072850e+08 ; 1.092125e+08 + i 3.019361e+08 ; -5.116690e+06 + i 3.060707e+07 ; 2.190853e+07 + i -7.795266e+07 ; 4.483249e+07 + i -5.291840e+06 ; 5.633312e+06 + i 6.263855e+06 ; 
