-1.309147e+10 + i 4.310186e+09 ; -1.387812e+07 + i 1.845984e+08 ; -1.384906e+07 + i 1.846191e+08 ; 7.622680e+09 + i -3.745728e+09 ; -2.792208e+08 + i 4.463210e+08 ; -2.793463e+08 + i 4.463206e+08 ; -4.071717e+09 + i 2.626383e+09 ; 1.421654e+08 + i -2.908889e+08 ; 1.072753e+07 + i 1.430605e+08 ; 1.635984e+09 + i -2.195393e+09 ; 2.034793e+09 + i -8.793386e+08 ; -1.188970e+08 + i 2.958945e+08 ; -4.071733e+09 + i 2.626449e+09 ; 1.050860e+07 + i 1.429491e+08 ; 1.422425e+08 + i -2.909186e+08 ; 1.636058e+09 + i -2.195340e+09 ; -1.191242e+08 + i 2.956399e+08 ; 2.034843e+09 + i -8.793490e+08 ; -1.765893e+09 + i 1.846036e+09 ; 8.346431e+07 + i -2.271116e+08 ; 8.359254e+07 + i -2.271180e+08 ; 4.683274e+08 + i -1.502559e+09 ; 8.513774e+08 + i -5.306336e+08 ; 8.514313e+08 + i -5.306293e+08 ; 2.430978e+08 + i 1.531972e+08 ; -1.055337e+07 + i 6.472374e+07 ; -1.058869e+07 + i 6.472114e+07 ; 5.174157e+07 + i 2.481659e+07 ; 2.802837e+06 + i 3.375349e+07 ; 2.792604e+06 + i 3.375781e+07 ; 2.464886e+08 + i 8.024605e+07 ; 1.871043e+08 + i -1.385881e+08 ; -4.532771e+06 + i 5.700724e+07 ; 4.832318e+07 + i 2.960018e+07 ; 6.825291e+07 + i -7.197826e+07 ; 4.289346e+06 + i 3.115071e+07 ; 2.465463e+08 + i 8.023904e+07 ; -4.585493e+06 + i 5.696209e+07 ; 1.871244e+08 + i -1.385981e+08 ; 4.832425e+07 + i 2.959875e+07 ; 4.255433e+06 + i 3.112965e+07 ; 6.826572e+07 + i -7.198627e+07 ; 2.300944e+08 + i 3.861472e+07 ; 1.470866e+08 + i -1.219901e+08 ; 1.470940e+08 + i -1.219952e+08 ; 4.624957e+07 + i 3.090347e+07 ; 5.891312e+07 + i -6.685781e+07 ; 5.892289e+07 + i -6.686023e+07 ; 
-8.087709e+07 + i 2.367879e+08 ; -7.337554e+07 + i 2.369199e+08 ; -1.757793e+09 + i 1.861163e+09 ; -2.339485e+07 + i -1.233791e+08 ; -1.308474e+08 + i 3.091929e+08 ; -4.071877e+09 + i 2.660279e+09 ; -1.377876e+08 + i 3.052789e+08 ; -1.730749e+07 + i -1.456624e+08 ; -4.065510e+09 + i 2.642634e+09 ; -2.086632e+06 + i -1.655346e+08 ; 4.444449e+06 + i -1.912917e+08 ; -1.309654e+10 + i 4.344670e+09 ; -8.527737e+08 + i 5.855836e+08 ; -8.444353e+08 + i 5.870949e+08 ; 4.847688e+08 + i -1.513097e+09 ; 9.420826e+07 + i -2.681224e+08 ; -2.042325e+09 + i 1.012296e+09 ; 1.648193e+09 + i -2.212388e+09 ; -2.049279e+09 + i 1.005757e+09 ; 1.098296e+08 + i -3.009038e+08 ; 1.653904e+09 + i -2.204273e+09 ; 2.457446e+08 + i -4.336316e+08 ; 2.642354e+08 + i -4.726981e+08 ; 7.636685e+09 + i -3.761073e+09 ; 4.777744e+07 + i -8.183735e+07 ; -2.557324e+07 + i 7.102216e+07 ; -5.180949e+08 + i 4.341285e+08 ; 1.797176e+07 + i 2.972581e+07 ; -7.589625e+06 + i 3.740183e+07 ; -1.697785e+08 + i 2.082375e+08 ; 6.024406e+07 + i -9.389780e+07 ; -1.293514e+07 + i -3.094699e+07 ; -7.506949e+08 + i 5.088714e+08 ; 1.482816e+07 + i 3.679431e+07 ; -1.182433e+07 + i -1.463597e+07 ; -2.074780e+08 + i 2.289901e+08 ; 3.919240e+08 + i -2.089914e+08 ; -2.279776e+08 + i 1.511535e+08 ; -4.916487e+07 + i -2.759241e+08 ; 7.598524e+07 + i 5.049387e+07 ; -5.671863e+07 + i 6.402932e+07 ; -9.674058e+07 + i -1.107639e+08 ; 6.360387e+08 + i -2.900022e+08 ; 1.433132e+07 + i -6.608514e+07 ; 2.796747e+07 + i -3.376301e+08 ; 7.767486e+07 + i 7.190264e+07 ; -3.466546e+06 + i -2.844186e+07 ; -9.190711e+07 + i -1.264686e+08 ; 
-4.070122e+09 + i 2.626978e+09 ; 1.180999e+07 + i 1.432302e+08 ; -1.444211e+08 + i 2.694712e+08 ; 1.634230e+09 + i -2.201540e+09 ; -1.182999e+08 + i 2.925490e+08 ; -2.050145e+09 + i 9.806022e+08 ; -1.764754e+09 + i 1.846043e+09 ; 8.216942e+07 + i -2.291456e+08 ; -8.212787e+07 + i 2.274769e+08 ; 4.666476e+08 + i -1.505818e+09 ; 8.491199e+08 + i -5.480292e+08 ; -8.520167e+08 + i 5.789073e+08 ; -1.309256e+10 + i 4.310271e+09 ; -1.274287e+07 + i 1.856292e+08 ; 1.399121e+07 + i -1.838819e+08 ; 7.624274e+09 + i -3.744226e+09 ; -2.775202e+08 + i 4.501486e+08 ; 2.787169e+08 + i -4.338035e+08 ; -4.072412e+09 + i 2.626924e+09 ; 1.422105e+08 + i -2.909388e+08 ; -1.193451e+07 + i -1.436496e+08 ; 1.637099e+09 + i -2.195157e+09 ; 2.037298e+09 + i -9.113890e+08 ; 1.172649e+08 + i -2.930069e+08 ; 2.454542e+08 + i 7.933739e+07 ; -4.045035e+06 + i 5.679005e+07 ; -1.860221e+08 + i 1.505957e+08 ; 4.837036e+07 + i 2.942103e+07 ; 4.612543e+06 + i 3.103256e+07 ; -6.684720e+07 + i 7.716295e+07 ; 2.291253e+08 + i 3.792981e+07 ; 1.462742e+08 + i -1.252100e+08 ; -1.456659e+08 + i 1.321124e+08 ; 4.628517e+07 + i 3.072716e+07 ; 5.832732e+07 + i -6.829100e+07 ; -5.748790e+07 + i 7.159023e+07 ; 2.431087e+08 + i 1.531757e+08 ; -1.016490e+07 + i 6.501786e+07 ; 9.292276e+06 + i -6.463678e+07 ; 5.178734e+07 + i 2.471998e+07 ; 3.064384e+06 + i 3.382327e+07 ; -3.671410e+06 + i -3.358064e+07 ; 2.464821e+08 + i 8.012550e+07 ; 1.864129e+08 + i -1.421526e+08 ; 3.327535e+06 + i -5.653333e+07 ; 4.835835e+07 + i 2.948821e+07 ; 6.767711e+07 + i -7.346323e+07 ; -5.125402e+06 + i -3.080825e+07 ; 
9.415701e+06 + i 1.420510e+08 ; -4.064686e+09 + i 2.634646e+09 ; -1.442309e+08 + i 2.669604e+08 ; 7.810403e+07 + i -2.273933e+08 ; -1.759205e+09 + i 1.860924e+09 ; -8.196570e+07 + i 2.262623e+08 ; -1.218578e+08 + i 2.891365e+08 ; 1.656147e+09 + i -2.208381e+09 ; -2.048200e+09 + i 9.727223e+08 ; 8.409497e+08 + i -5.396462e+08 ; 4.826196e+08 + i -1.516147e+09 ; -8.504242e+08 + i 5.727621e+08 ; -1.511196e+07 + i 1.844075e+08 ; -1.308765e+10 + i 4.318108e+09 ; 1.532259e+07 + i -1.835869e+08 ; 1.379897e+08 + i -2.894047e+08 ; -4.066985e+09 + i 2.642697e+09 ; -1.112410e+07 + i -1.436490e+08 ; -2.810063e+08 + i 4.465652e+08 ; 7.647343e+09 + i -3.749157e+09 ; 2.810332e+08 + i -4.314583e+08 ; 2.028589e+09 + i -9.029292e+08 ; 1.654050e+09 + i -2.204308e+09 ; 1.191387e+08 + i -2.911888e+08 ; -3.047107e+06 + i 3.386744e+07 ; -1.697365e+08 + i 2.083469e+08 ; -9.917282e+06 + i 3.420648e+07 ; -1.371247e+07 + i 1.204917e+07 ; -6.353296e+07 + i 9.220161e+07 ; -2.697674e+06 + i 1.624970e+07 ; 7.862060e+07 + i 2.738809e+07 ; -9.709930e+07 + i -1.110086e+08 ; -5.360609e+07 + i 5.434884e+07 ; 7.992543e+06 + i 1.308150e+07 ; -7.333101e+07 + i -3.376300e+07 ; -1.574605e+07 + i 2.343241e+07 ; -9.490395e+06 + i 4.232606e+07 ; -2.075230e+08 + i 2.291395e+08 ; -1.114546e+07 + i -1.059937e+07 ; -1.530282e+07 + i 1.188137e+07 ; -7.146620e+07 + i 9.731699e+07 ; -7.611279e+06 + i -3.135730e+06 ; 9.192684e+07 + i 3.791981e+07 ; -9.205047e+07 + i -1.265279e+08 ; -5.191625e+06 + i -1.842103e+07 ; 9.125370e+06 + i 1.302802e+07 ; -7.461166e+07 + i -3.706630e+07 ; -5.661263e+06 + i -6.229405e+06 ; 
2.896650e+08 + i -4.154232e+08 ; 2.885454e+08 + i -4.166000e+08 ; 7.645735e+09 + i -3.749228e+09 ; -2.031153e+09 + i 9.014203e+08 ; 1.240585e+08 + i -2.883110e+08 ; 1.651571e+09 + i -2.210156e+09 ; 1.259150e+08 + i -2.865239e+08 ; -2.037782e+09 + i 9.021498e+08 ; 1.656054e+09 + i -2.208129e+09 ; -8.440504e+08 + i 5.362937e+08 ; -8.505260e+08 + i 5.386314e+08 ; 4.814036e+08 + i -1.519028e+09 ; 1.857295e+07 + i -1.819302e+08 ; 1.754953e+07 + i -1.828316e+08 ; -1.308774e+10 + i 4.318398e+09 ; -1.464514e+08 + i 2.592274e+08 ; -8.357590e+06 + i -1.423693e+08 ; -4.068690e+09 + i 2.640944e+09 ; -6.670688e+06 + i -1.411099e+08 ; -1.503380e+08 + i 2.582534e+08 ; -4.067513e+09 + i 2.633703e+09 ; -8.309604e+07 + i 2.195902e+08 ; -8.688321e+07 + i 2.200994e+08 ; -1.762341e+09 + i 1.859549e+09 ; -9.118109e+07 + i -3.841664e+07 ; -4.725768e+06 + i -1.863121e+07 ; -9.172788e+07 + i -1.265992e+08 ; -8.944663e+06 + i -1.310579e+07 ; -5.466313e+06 + i -6.415777e+06 ; -7.457810e+07 + i -3.717370e+07 ; -7.832609e+07 + i -2.814131e+07 ; -5.405822e+07 + i 5.173364e+07 ; -9.659449e+07 + i -1.111156e+08 ; -7.807108e+06 + i -1.316635e+07 ; -1.609302e+07 + i 2.248635e+07 ; -7.318751e+07 + i -3.387940e+07 ; 1.022147e+07 + i -4.297394e+07 ; -1.077304e+07 + i -1.080029e+07 ; -2.072749e+08 + i 2.292400e+08 ; 1.546098e+07 + i -1.198031e+07 ; -7.452967e+06 + i -3.321803e+06 ; -7.140671e+07 + i 9.739181e+07 ; 3.347098e+06 + i -3.464911e+07 ; -1.063356e+07 + i 3.332884e+07 ; -1.696864e+08 + i 2.084599e+08 ; 1.386637e+07 + i -1.214693e+07 ; -3.083842e+06 + i 1.587393e+07 ; -6.350423e+07 + i 9.230705e+07 ; 
1.630398e+09 + i -2.204552e+09 ; 1.239576e+08 + i -2.913195e+08 ; 2.037204e+09 + i -9.997963e+08 ; -4.097890e+09 + i 2.729983e+09 ; -6.587119e+06 + i -1.364130e+08 ; 1.439220e+08 + i -2.303082e+08 ; 4.645258e+08 + i -1.507317e+09 ; -8.433111e+08 + i 5.447113e+08 ; 8.439229e+08 + i -5.768843e+08 ; -1.781124e+09 + i 1.937664e+09 ; -7.163238e+07 + i 2.075343e+08 ; 7.580003e+07 + i -2.017685e+08 ; 7.624308e+09 + i -3.743961e+09 ; 2.814769e+08 + i -4.510104e+08 ; -2.932652e+08 + i 4.188933e+08 ; -1.313300e+10 + i 4.428329e+09 ; 1.671049e+07 + i -1.788796e+08 ; -1.322676e+07 + i 1.817380e+08 ; 1.637461e+09 + i -2.195634e+09 ; -2.033422e+09 + i 9.237214e+08 ; -1.261077e+08 + i 2.883417e+08 ; -4.097604e+09 + i 2.729912e+09 ; -1.306484e+08 + i 2.683175e+08 ; 7.519299e+06 + i 1.375002e+08 ; 7.272275e+08 + i -6.210522e+08 ; -6.235991e+07 + i 1.280464e+08 ; -6.393471e+08 + i 3.290880e+08 ; 2.469812e+08 + i 8.082352e+07 ; -1.968392e+07 + i 8.844958e+07 ; -1.956418e+08 + i 1.746291e+08 ; 3.936320e+08 + i -4.884405e+08 ; 3.933238e+08 + i -2.279177e+08 ; -3.918133e+08 + i 2.421516e+08 ; 2.301343e+08 + i 3.908386e+07 ; 1.524463e+08 + i -1.433711e+08 ; -1.501188e+08 + i 1.491544e+08 ; 1.480210e+09 + i -8.356131e+08 ; -9.556552e+07 + i 1.628760e+08 ; 8.872208e+07 + i -1.768766e+08 ; 2.436881e+08 + i 1.533713e+08 ; -2.922461e+07 + i 1.021190e+08 ; 2.496324e+07 + i -1.071503e+08 ; 7.256374e+08 + i -6.237974e+08 ; 6.395998e+08 + i -3.067437e+08 ; 5.730688e+07 + i -1.363993e+08 ; 2.465680e+08 + i 8.028568e+07 ; 1.980563e+08 + i -1.673031e+08 ; 1.612876e+07 + i -9.227941e+07 ; 
-8.171842e+07 + i 2.359119e+08 ; -1.758525e+09 + i 1.860821e+09 ; -8.400928e+07 + i 2.261457e+08 ; -2.275143e+07 + i -1.230491e+08 ; -4.072566e+09 + i 2.659719e+09 ; -1.466880e+08 + i 2.736177e+08 ; -8.489379e+08 + i 5.901624e+08 ; 4.824926e+08 + i -1.516459e+09 ; -8.477925e+08 + i 5.876581e+08 ; 9.763467e+07 + i -2.649862e+08 ; 1.645594e+09 + i -2.218749e+09 ; -2.047746e+09 + i 1.010566e+09 ; -1.419564e+08 + i 2.996398e+08 ; -4.065804e+09 + i 2.642755e+09 ; -1.162306e+07 + i -1.441017e+08 ; -1.884669e+06 + i -1.653206e+08 ; -1.309701e+10 + i 4.344625e+09 ; 1.246709e+07 + i -1.862992e+08 ; -2.047876e+09 + i 1.010375e+09 ; 1.654062e+09 + i -2.204544e+09 ; 1.222312e+08 + i -2.884306e+08 ; 2.471881e+08 + i -4.302087e+08 ; 7.637756e+09 + i -3.760188e+09 ; 2.794701e+08 + i -4.373641e+08 ; 4.713321e+07 + i -8.237655e+07 ; -5.180931e+08 + i 4.341329e+08 ; -2.688318e+07 + i 6.961047e+07 ; 1.807024e+07 + i 2.952304e+07 ; -1.697954e+08 + i 2.082376e+08 ; -8.087079e+06 + i 3.717895e+07 ; 3.913837e+08 + i -2.098503e+08 ; -4.954810e+07 + i -2.765849e+08 ; -2.287194e+08 + i 1.510483e+08 ; 7.608297e+07 + i 5.017590e+07 ; -9.694408e+07 + i -1.109529e+08 ; -5.707833e+07 + i 6.403815e+07 ; 5.908695e+07 + i -9.512320e+07 ; -7.508313e+08 + i 5.088613e+08 ; -1.185209e+07 + i -3.060246e+07 ; 1.502122e+07 + i 3.656943e+07 ; -2.075435e+08 + i 2.290064e+08 ; -1.134970e+07 + i -1.461349e+07 ; 6.346735e+08 + i -2.921151e+08 ; 2.815092e+07 + i -3.374458e+08 ; 1.532694e+07 + i -6.501645e+07 ; 7.788644e+07 + i 7.151860e+07 ; -9.186636e+07 + i -1.264400e+08 ; -3.065039e+06 + i -2.831336e+07 ; 
2.047006e+09 + i -1.011535e+09 ; 1.256180e+08 + i -2.886564e+08 ; 1.648670e+09 + i -2.213030e+09 ; -2.687691e+08 + i 3.825270e+08 ; 2.878190e+08 + i -4.226357e+08 ; 7.637709e+09 + i -3.759971e+09 ; 8.530975e+08 + i -5.859862e+08 ; -8.494484e+08 + i 5.521166e+08 ; 4.793533e+08 + i -1.520231e+09 ; -1.041396e+08 + i 2.616776e+08 ; -2.040689e+09 + i 9.375154e+08 ; 1.646793e+09 + i -2.218556e+09 ; 1.620145e+08 + i -2.534860e+08 ; -9.695735e+06 + i -1.431584e+08 ; -4.069223e+09 + i 2.640902e+09 ; 8.680865e+05 + i 1.651747e+08 ; 1.454030e+07 + i -1.857127e+08 ; -1.309586e+10 + i 4.344587e+09 ; 9.123077e+07 + i -2.247560e+08 ; -8.952253e+07 + i 2.201400e+08 ; -1.762901e+09 + i 1.859571e+09 ; 2.012767e+07 + i 1.223087e+08 ; -1.532538e+08 + i 2.648269e+08 ; -4.074884e+09 + i 2.658494e+09 ; -6.329368e+08 + i 2.951581e+08 ; 1.763748e+07 + i -6.119651e+07 ; 2.904936e+07 + i -3.348514e+08 ; -7.854659e+07 + i -7.049247e+07 ; -1.922309e+06 + i -2.727599e+07 ; -9.148899e+07 + i -1.256870e+08 ; -3.898614e+08 + i 2.125525e+08 ; -2.292507e+08 + i 1.430658e+08 ; -4.827535e+07 + i -2.747995e+08 ; -7.646384e+07 + i -4.908928e+07 ; -5.798063e+07 + i 6.175960e+07 ; -9.635373e+07 + i -1.103483e+08 ; -5.561210e+07 + i 1.037626e+08 ; -1.068205e+07 + i -3.035622e+07 ; -7.506521e+08 + i 5.089294e+08 ; -1.603178e+07 + i -3.543137e+07 ; -1.064630e+07 + i -1.463042e+07 ; -2.077279e+08 + i 2.289952e+08 ; -4.489626e+07 + i 8.697949e+07 ; -2.853122e+07 + i 6.778085e+07 ; -5.183454e+08 + i 4.341602e+08 ; -1.862624e+07 + i -2.835584e+07 ; -9.062665e+06 + i 3.641194e+07 ; -1.700579e+08 + i 2.082957e+08 ; 
-1.763896e+09 + i 1.846048e+09 ; -8.396025e+07 + i 2.270282e+08 ; -8.390683e+07 + i 2.270209e+08 ; 4.643315e+08 + i -1.509085e+09 ; -8.428450e+08 + i 5.983193e+08 ; -8.427960e+08 + i 5.983298e+08 ; -4.070672e+09 + i 2.627196e+09 ; -1.422043e+07 + i -1.446198e+08 ; -1.489693e+08 + i 2.684758e+08 ; 1.634824e+09 + i -2.201232e+09 ; 1.216019e+08 + i -2.898185e+08 ; -2.044446e+09 + i 1.017687e+09 ; -4.070688e+09 + i 2.627262e+09 ; -1.490090e+08 + i 2.684904e+08 ; -1.399007e+07 + i -1.445249e+08 ; 1.634897e+09 + i -2.201180e+09 ; -2.044505e+09 + i 1.017691e+09 ; 1.219420e+08 + i -2.895808e+08 ; -1.309392e+10 + i 4.310533e+09 ; 1.167669e+07 + i -1.852907e+08 ; 1.168349e+07 + i -1.852766e+08 ; 7.626644e+09 + i -3.742699e+09 ; 2.786474e+08 + i -4.372424e+08 ; 2.785604e+08 + i -4.372535e+08 ; 2.281172e+08 + i 3.728886e+07 ; -1.438231e+08 + i 1.354945e+08 ; -1.438203e+08 + i 1.354952e+08 ; 4.629037e+07 + i 3.054235e+07 ; -5.639648e+07 + i 7.302990e+07 ; -5.639121e+07 + i 7.303021e+07 ; 2.453274e+08 + i 7.930600e+07 ; 2.923250e+06 + i -5.643150e+07 ; -1.842624e+08 + i 1.545309e+08 ; 4.839025e+07 + i 2.931004e+07 ; -5.405609e+06 + i -3.069045e+07 ; -6.576377e+07 + i 7.873027e+07 ; 2.453850e+08 + i 7.929887e+07 ; -1.842804e+08 + i 1.545355e+08 ; 2.997704e+06 + i -5.639277e+07 ; 4.839134e+07 + i 2.930862e+07 ; -6.577407e+07 + i 7.873466e+07 ; -5.361039e+06 + i -3.067608e+07 ; 2.431475e+08 + i 1.531717e+08 ; 8.789267e+06 + i -6.484838e+07 ; 8.768518e+06 + i -6.485291e+07 ; 5.182646e+07 + i 2.462197e+07 ; -3.985685e+06 + i -3.356323e+07 ; -3.990957e+06 + i -3.356258e+07 ; 
1.306451e+08 + i -2.815977e+08 ; 1.652159e+09 + i -2.211382e+09 ; 2.034506e+09 + i -1.014482e+09 ; -8.381242e+08 + i 5.540114e+08 ; 4.781115e+08 + i -1.520420e+09 ; 8.388009e+08 + i -5.916200e+08 ; -9.194368e+06 + i -1.423612e+08 ; -4.066637e+09 + i 2.634481e+09 ; 1.570467e+08 + i -2.505487e+08 ; -8.598008e+07 + i 2.195877e+08 ; -1.761944e+09 + i 1.859965e+09 ; 8.352073e+07 + i -2.244009e+08 ; 2.916315e+08 + i -4.191205e+08 ; 7.648368e+09 + i -3.748365e+09 ; -2.897909e+08 + i 4.192367e+08 ; -2.029524e+09 + i 9.337757e+08 ; 1.652467e+09 + i -2.210619e+09 ; -1.215577e+08 + i 2.891437e+08 ; 1.647845e+07 + i -1.835863e+08 ; -1.308687e+10 + i 4.318077e+09 ; -5.155564e+06 + i 1.897190e+08 ; -1.510972e+08 + i 2.594752e+08 ; -4.068021e+09 + i 2.640714e+09 ; 1.713402e+07 + i 1.453099e+08 ; -7.892893e+07 + i -2.726438e+07 ; -9.691029e+07 + i -1.111877e+08 ; 5.286567e+07 + i -5.540787e+07 ; -8.028079e+06 + i -1.317612e+07 ; -7.331352e+07 + i -3.388441e+07 ; 1.544380e+07 + i -2.374848e+07 ; 2.757436e+06 + i -3.524545e+07 ; -1.695335e+08 + i 2.084579e+08 ; 9.669605e+06 + i -3.431912e+07 ; 1.378616e+07 + i -1.248332e+07 ; -6.344099e+07 + i 9.228343e+07 ; 2.545159e+06 + i -1.628875e+07 ; -9.223882e+07 + i -3.765545e+07 ; -9.153819e+07 + i -1.266461e+08 ; 5.546413e+06 + i 1.847541e+07 ; -9.174288e+06 + i -1.310641e+07 ; -7.450763e+07 + i -3.719992e+07 ; 5.811444e+06 + i 6.179439e+06 ; 9.513557e+06 + i -4.372823e+07 ; -2.071918e+08 + i 2.292243e+08 ; 1.163205e+07 + i 1.061334e+07 ; 1.535815e+07 + i -1.233516e+07 ; -7.135253e+07 + i 9.737299e+07 ; 7.788394e+06 + i 3.079069e+06 ; 
1.307411e+08 + i -2.815718e+08 ; 2.034503e+09 + i -1.014478e+09 ; 1.652134e+09 + i -2.211390e+09 ; -8.380993e+08 + i 5.540045e+08 ; 8.388049e+08 + i -5.916107e+08 ; 4.780145e+08 + i -1.520497e+09 ; 2.915834e+08 + i -4.191163e+08 ; -2.897268e+08 + i 4.192401e+08 ; 7.647642e+09 + i -3.748843e+09 ; -2.029528e+09 + i 9.337801e+08 ; -1.214924e+08 + i 2.891395e+08 ; 1.651816e+09 + i -2.210969e+09 ; -9.122716e+06 + i -1.423471e+08 ; 1.571444e+08 + i -2.505360e+08 ; -4.067931e+09 + i 2.633612e+09 ; -8.590271e+07 + i 2.195880e+08 ; 8.360851e+07 + i -2.243937e+08 ; -1.763015e+09 + i 1.859523e+09 ; 1.646313e+07 + i -1.835571e+08 ; -5.141496e+06 + i 1.897066e+08 ; -1.308682e+10 + i 4.318160e+09 ; -1.511017e+08 + i 2.594811e+08 ; 1.715039e+07 + i 1.453040e+08 ; -4.068152e+09 + i 2.640643e+09 ; -7.895913e+07 + i -2.726970e+07 ; 5.286357e+07 + i -5.540502e+07 ; -9.686861e+07 + i -1.112061e+08 ; -8.024967e+06 + i -1.317949e+07 ; 1.544452e+07 + i -2.374781e+07 ; -7.330290e+07 + i -3.389556e+07 ; -9.224018e+07 + i -3.765552e+07 ; 5.558726e+06 + i 1.847255e+07 ; -9.162474e+07 + i -1.266932e+08 ; -9.171418e+06 + i -1.310999e+07 ; 5.818328e+06 + i 6.176981e+06 ; -7.455926e+07 + i -3.722097e+07 ; 2.724178e+06 + i -3.524937e+07 ; 9.677913e+06 + i -3.431991e+07 ; -1.696397e+08 + i 2.084637e+08 ; 1.378566e+07 + i -1.248708e+07 ; 2.548738e+06 + i -1.629047e+07 ; -6.347890e+07 + i 9.230705e+07 ; 9.491614e+06 + i -4.373495e+07 ; 1.163009e+07 + i 1.061323e+07 ; -2.072079e+08 + i 2.292233e+08 ; 1.535888e+07 + i -1.233914e+07 ; 7.787875e+06 + i 3.078832e+06 ; -7.137352e+07 + i 9.737590e+07 ; 
4.593939e+08 + i -1.511294e+09 ; 8.285266e+08 + i -5.967053e+08 ; 8.284839e+08 + i -5.967139e+08 ; -1.781914e+09 + i 1.937818e+09 ; 8.152750e+07 + i -2.009857e+08 ; 8.148484e+07 + i -2.009883e+08 ; 1.631419e+09 + i -2.204262e+09 ; -1.354094e+08 + i 2.854322e+08 ; 2.022912e+09 + i -1.039867e+09 ; -4.097735e+09 + i 2.729803e+09 ; 1.234027e+07 + i 1.379314e+08 ; 1.535842e+08 + i -2.295376e+08 ; 1.631625e+09 + i -2.204282e+09 ; 2.022968e+09 + i -1.039873e+09 ; -1.357106e+08 + i 2.852006e+08 ; -4.097614e+09 + i 2.729782e+09 ; 1.536176e+08 + i -2.295448e+08 ; 1.214544e+07 + i 1.378401e+08 ; 7.628523e+09 + i -3.742407e+09 ; -2.966493e+08 + i 4.226763e+08 ; -2.965766e+08 + i 4.226972e+08 ; -1.313269e+10 + i 4.427994e+09 ; -7.590151e+06 + i 1.822065e+08 ; -7.593461e+06 + i 1.821929e+08 ; 3.953114e+08 + i -4.865248e+08 ; -3.880860e+08 + i 2.500298e+08 ; -3.880688e+08 + i 2.500287e+08 ; 2.302220e+08 + i 3.962364e+07 ; -1.477783e+08 + i 1.521228e+08 ; -1.477616e+08 + i 1.521245e+08 ; 7.275923e+08 + i -6.210094e+08 ; 5.330967e+07 + i -1.376738e+08 ; -6.348733e+08 + i 3.412850e+08 ; 2.466471e+08 + i 8.085829e+07 ; 1.368940e+07 + i -9.273043e+07 ; -1.930607e+08 + i 1.783597e+08 ; 7.274940e+08 + i -6.210219e+08 ; -6.348989e+08 + i 3.412898e+08 ; 5.340625e+07 + i -1.376039e+08 ; 2.466019e+08 + i 8.084989e+07 ; -1.930823e+08 + i 1.783649e+08 ; 1.377519e+07 + i -9.268663e+07 ; 1.480135e+09 + i -8.357547e+08 ; 8.308032e+07 + i -1.798551e+08 ; 8.305673e+07 + i -1.798616e+08 ; 2.432431e+08 + i 1.533259e+08 ; 2.206270e+07 + i -1.080177e+08 ; 2.205334e+07 + i -1.080146e+08 ; 
8.380474e+08 + i -6.064390e+08 ; 4.754558e+08 + i -1.521490e+09 ; 8.297524e+08 + i -6.076273e+08 ; -1.152372e+08 + i 2.534443e+08 ; 1.642322e+09 + i -2.221740e+09 ; 2.025926e+09 + i -1.055665e+09 ; 9.663603e+07 + i -2.245704e+08 ; -1.762675e+09 + i 1.860195e+09 ; 8.916599e+07 + i -2.244241e+08 ; 2.428167e+07 + i 1.225161e+08 ; -4.073825e+09 + i 2.659229e+09 ; 1.632450e+08 + i -2.580204e+08 ; 2.032892e+09 + i -1.049419e+09 ; 1.648872e+09 + i -2.213517e+09 ; -1.297636e+08 + i 2.867339e+08 ; -2.725421e+08 + i 3.864014e+08 ; 7.640752e+09 + i -3.759329e+09 ; -2.898124e+08 + i 4.261464e+08 ; 1.701894e+08 + i -2.543703e+08 ; -4.068492e+09 + i 2.640601e+09 ; 1.936507e+07 + i 1.451751e+08 ; 5.644500e+06 + i 1.652813e+08 ; -1.309486e+10 + i 4.344094e+09 ; 4.052187e+05 + i 1.915304e+08 ; -3.863726e+08 + i 2.191958e+08 ; -4.867027e+07 + i -2.750058e+08 ; 2.266850e+08 + i -1.555761e+08 ; -7.728504e+07 + i -4.762899e+07 ; -9.647528e+07 + i -1.103618e+08 ; 5.623125e+07 + i -6.521531e+07 ; -4.118672e+07 + i 8.858111e+07 ; -5.182256e+08 + i 4.342582e+08 ; 2.684252e+07 + i -6.955543e+07 ; -1.905995e+07 + i -2.764395e+07 ; -1.700187e+08 + i 2.083157e+08 ; 7.793121e+06 + i -3.731019e+07 ; -6.278711e+08 + i 3.071774e+08 ; 2.996551e+07 + i -3.345652e+08 ; -1.468363e+07 + i 6.511444e+07 ; -7.965249e+07 + i -6.883820e+07 ; -9.110386e+07 + i -1.256518e+08 ; 3.490079e+06 + i 2.833545e+07 ; -5.132343e+07 + i 1.056891e+08 ; -7.507528e+08 + i 5.088846e+08 ; 1.258752e+07 + i 3.064423e+07 ; -1.652551e+07 + i -3.472695e+07 ; -2.077432e+08 + i 2.289883e+08 ; 1.163560e+07 + i 1.451795e+07 ; 
