-4.626949e+09 + i 7.747018e+08 ; -1.819270e+07 + i 7.496502e+05 ; -1.819630e+07 + i 7.506886e+05 ; 1.122463e+09 + i -3.335737e+08 ; 8.218081e+07 + i -1.606310e+07 ; 8.217331e+07 + i -1.606557e+07 ; -5.335606e+08 + i 1.534957e+08 ; -4.416526e+07 + i 8.252436e+06 ; -9.508828e+06 + i 1.599323e+06 ; -2.114474e+08 + i 2.519271e+07 ; 2.696716e+08 + i -8.614689e+07 ; 1.513259e+07 + i -5.614076e+06 ; -5.335556e+08 + i 1.534981e+08 ; -9.509988e+06 + i 1.596314e+06 ; -4.416669e+07 + i 8.251012e+06 ; -2.114431e+08 + i 2.519707e+07 ; 1.517293e+07 + i -5.602632e+06 ; 2.696733e+08 + i -8.614632e+07 ; -5.182420e+07 + i 3.685884e+07 ; -1.990198e+07 + i 5.115402e+06 ; -1.988737e+07 + i 5.119523e+06 ; -3.819777e+07 + i 2.310747e+07 ; 6.076166e+07 + i -2.481313e+07 ; 6.076302e+07 + i -2.481308e+07 ; 1.062971e+08 + i -2.478229e+07 ; -7.649611e+05 + i -3.942955e+05 ; -7.640336e+05 + i -3.942647e+05 ; 5.482850e+07 + i -1.081214e+07 ; -7.313396e+05 + i 9.961888e+04 ; -7.313971e+05 + i 9.967541e+04 ; 2.458432e+07 + i -1.206027e+07 ; 8.158157e+06 + i -4.166986e+06 ; -1.172781e+06 + i -7.953337e+04 ; 1.828769e+07 + i -7.715631e+06 ; 1.618876e+06 + i -9.182662e+05 ; -7.193320e+05 + i 1.294006e+05 ; 2.458786e+07 + i -1.205879e+07 ; -1.169089e+06 + i -7.862228e+04 ; 8.158439e+06 + i -4.166907e+06 ; 1.828888e+07 + i -7.714904e+06 ; -7.185911e+05 + i 1.294274e+05 ; 1.618806e+06 + i -9.182957e+05 ; 3.631979e+06 + i -4.582394e+06 ; 5.181321e+06 + i -2.767785e+06 ; 5.180676e+06 + i -2.768016e+06 ; 5.816248e+06 + i -4.190766e+06 ; 1.213017e+06 + i -7.114582e+05 ; 1.213007e+06 + i -7.114356e+05 ; 
2.257354e+07 + i -5.402977e+06 ; 2.218100e+07 + i -5.167783e+06 ; -5.278030e+07 + i 3.721018e+07 ; 1.049876e+07 + i -1.855571e+06 ; 4.959306e+07 + i -7.906067e+06 ; -5.324121e+08 + i 1.531418e+08 ; 5.015889e+07 + i -8.142627e+06 ; 1.030691e+07 + i -1.581225e+06 ; -5.359983e+08 + i 1.537041e+08 ; 2.066535e+07 + i -7.026091e+05 ; 2.012475e+07 + i -3.344358e+05 ; -4.626640e+09 + i 7.741875e+08 ; -6.532464e+07 + i 2.585083e+07 ; -6.764589e+07 + i 2.624336e+07 ; -3.969575e+07 + i 2.379157e+07 ; -1.085322e+07 + i 5.296576e+06 ; -3.037038e+08 + i 8.800307e+07 ; -2.120438e+08 + i 2.572442e+07 ; -3.009370e+08 + i 8.768174e+07 ; -1.518640e+07 + i 6.166898e+06 ; -2.150637e+08 + i 2.610004e+07 ; -8.625147e+07 + i 1.426765e+07 ; -9.250140e+07 + i 1.537899e+07 ; 1.118180e+09 + i -3.329737e+08 ; -1.224934e+07 + i 2.668831e+06 ; 9.519284e+06 + i -1.768173e+06 ; -4.724130e+07 + i 1.752739e+07 ; -8.517008e+06 + i 1.438407e+06 ; 2.411546e+06 + i -6.948494e+05 ; -8.431577e+06 + i 4.215535e+06 ; -1.929403e+07 + i 3.455043e+06 ; 5.354998e+06 + i -6.182239e+05 ; -1.036670e+08 + i 3.046058e+07 ; -1.195635e+07 + i 1.373985e+06 ; 1.639100e+06 + i -4.145385e+05 ; -1.054229e+07 + i 5.650173e+06 ; 4.117757e+07 + i -1.363593e+07 ; -2.261597e+07 + i 7.470956e+06 ; -3.399707e+07 + i 1.119340e+07 ; 2.323156e+07 + i -6.813547e+06 ; -7.319045e+05 + i 7.671890e+05 ; -8.015663e+06 + i 3.835401e+06 ; 8.715966e+07 + i -2.673833e+07 ; -4.405607e+06 + i 8.905952e+05 ; -6.356606e+07 + i 1.410824e+07 ; 4.335976e+07 + i -1.071759e+07 ; 9.231795e+05 + i -1.245964e+04 ; -1.101048e+07 + i 5.273820e+06 ; 
-5.340424e+08 + i 1.533703e+08 ; -9.696526e+06 + i 1.593550e+06 ; 4.568005e+07 + i -8.491186e+06 ; -2.118576e+08 + i 2.513193e+07 ; 1.504440e+07 + i -5.726516e+06 ; -2.952645e+08 + i 8.818142e+07 ; -5.184520e+07 + i 3.688501e+07 ; -2.037927e+07 + i 5.124614e+06 ; 2.164701e+07 + i -5.126023e+06 ; -3.825855e+07 + i 2.312375e+07 ; 6.219041e+07 + i -2.505447e+07 ; -6.650095e+07 + i 2.575869e+07 ; -4.627196e+09 + i 7.746022e+08 ; -1.832753e+07 + i 7.037423e+05 ; 1.891813e+07 + i -6.892731e+05 ; 1.122311e+09 + i -3.336187e+08 ; 8.336854e+07 + i -1.602254e+07 ; -8.741761e+07 + i 1.613448e+07 ; -5.336885e+08 + i 1.534953e+08 ; -4.459830e+07 + i 8.185453e+06 ; 1.026123e+07 + i -1.537357e+06 ; -2.115974e+08 + i 2.519830e+07 ; 2.758483e+08 + i -8.674636e+07 ; -1.608279e+07 + i 5.823426e+06 ; 2.469973e+07 + i -1.203260e+07 ; -1.237810e+06 + i -8.916934e+04 ; -8.963683e+06 + i 4.352182e+06 ; 1.834435e+07 + i -7.698112e+06 ; -7.471761e+05 + i 1.286947e+05 ; -1.775379e+06 + i 9.637131e+05 ; 3.667240e+06 + i -4.578379e+06 ; 5.285746e+06 + i -2.804894e+06 ; -5.666816e+06 + i 2.902343e+06 ; 5.840623e+06 + i -4.186577e+06 ; 1.235713e+06 + i -7.210554e+05 ; -1.321229e+06 + i 7.487585e+05 ; 1.063015e+08 + i -2.478156e+07 ; -7.716293e+05 + i -3.989740e+05 ; 8.869309e+05 + i 4.439412e+05 ; 5.482700e+07 + i -1.081223e+07 ; -7.457678e+05 + i 1.004860e+05 ; 8.156940e+05 + i -9.303432e+04 ; 2.459583e+07 + i -1.205715e+07 ; 8.365714e+06 + i -4.211558e+06 ; 1.351969e+06 + i 1.162480e+05 ; 1.828937e+07 + i -7.713755e+06 ; 1.661504e+06 + i -9.284342e+05 ; 8.100716e+05 + i -1.243788e+05 ; 
-9.164049e+06 + i 1.420755e+06 ; -5.365751e+08 + i 1.539171e+08 ; 4.562591e+07 + i -8.460715e+06 ; -1.972674e+07 + i 4.877703e+06 ; -5.274057e+07 + i 3.719475e+07 ; 2.150216e+07 + i -5.098921e+06 ; 1.651313e+07 + i -5.979520e+06 ; -2.161890e+08 + i 2.620764e+07 ; -2.956414e+08 + i 8.833200e+07 ; 6.498432e+07 + i -2.560523e+07 ; -3.979519e+07 + i 2.379200e+07 ; -6.685502e+07 + i 2.588342e+07 ; -1.764683e+07 + i 5.226736e+05 ; -4.631580e+09 + i 7.750144e+08 ; 1.886214e+07 + i -6.624132e+05 ; -4.366535e+07 + i 7.905772e+06 ; -5.356683e+08 + i 1.538031e+08 ; 1.011001e+07 + i -1.510949e+06 ; 8.519109e+07 + i -1.626361e+07 ; 1.113816e+09 + i -3.325077e+08 ; -8.755463e+07 + i 1.621036e+07 ; 2.794658e+08 + i -8.733369e+07 ; -2.152181e+08 + i 2.610110e+07 ; -1.627451e+07 + i 5.893972e+06 ; -2.512662e+06 + i -3.267163e+04 ; -8.464389e+06 + i 4.210592e+06 ; 3.229447e+06 + i -7.673974e+05 ; -1.101592e+06 + i -2.613098e+05 ; -3.675344e+06 + i 1.684084e+06 ; 9.563013e+05 + i -2.880286e+05 ; 2.383913e+07 + i -7.030922e+06 ; -8.018472e+06 + i 3.838306e+06 ; -1.949800e+06 + i 9.666732e+05 ; 1.410514e+07 + i -3.680199e+06 ; -3.363548e+06 + i 1.533696e+06 ; -4.113523e+04 + i 1.187660e+05 ; -1.427696e+06 + i -4.882299e+05 ; -1.060032e+07 + i 5.634335e+06 ; 2.169499e+06 + i -4.481060e+05 ; -3.905760e+05 + i -5.211858e+05 ; -4.610591e+06 + i 1.980150e+06 ; 7.300136e+05 + i -2.084780e+05 ; 4.007207e+07 + i -1.006229e+07 ; -1.102234e+07 + i 5.272117e+06 ; 1.102983e+06 + i -1.673390e+05 ; 2.145580e+07 + i -4.505761e+06 ; -4.132051e+06 + i 1.787432e+06 ; 5.628384e+05 + i -1.291945e+05 ; 
-8.328114e+07 + i 1.670340e+07 ; -8.156989e+07 + i 1.654334e+07 ; 1.114177e+09 + i -3.324131e+08 ; -2.794022e+08 + i 8.741702e+07 ; -1.542630e+07 + i 5.721396e+06 ; -2.154139e+08 + i 2.604922e+07 ; -1.675235e+07 + i 5.893066e+06 ; -2.761288e+08 + i 8.697909e+07 ; -2.160746e+08 + i 2.623427e+07 ; -6.490121e+07 + i 2.563794e+07 ; -6.244105e+07 + i 2.520696e+07 ; -3.977266e+07 + i 2.380789e+07 ; 1.738119e+07 + i -6.565157e+05 ; 1.801609e+07 + i -8.087909e+05 ; -4.631547e+09 + i 7.750301e+08 ; 4.158082e+07 + i -8.412782e+06 ; 9.382669e+06 + i -1.596747e+06 ; -5.354901e+08 + i 1.538191e+08 ; 8.979675e+06 + i -1.454099e+06 ; 4.248349e+07 + i -8.653414e+06 ; -5.361391e+08 + i 1.540176e+08 ; 1.951123e+07 + i -4.888841e+06 ; 2.004216e+07 + i -5.103062e+06 ; -5.270027e+07 + i 3.716756e+07 ; -4.016944e+07 + i 1.004778e+07 ; 1.008988e+06 + i -1.785519e+05 ; -1.111819e+07 + i 5.248265e+06 ; -2.152156e+07 + i 4.493701e+06 ; 5.197848e+05 + i -1.302728e+05 ; -4.138667e+06 + i 1.787504e+06 ; -2.385392e+07 + i 7.035028e+06 ; -1.834253e+06 + i 9.280223e+05 ; -8.070500e+06 + i 3.828908e+06 ; -1.412540e+07 + i 3.681154e+06 ; -4.070074e+04 + i 1.113004e+05 ; -3.370613e+06 + i 1.533215e+06 ; 1.226284e+06 + i 4.243597e+05 ; 2.035852e+06 + i -4.484594e+05 ; -1.060890e+07 + i 5.632597e+06 ; 2.849755e+05 + i 4.849915e+05 ; 6.840182e+05 + i -2.053367e+05 ; -4.615004e+06 + i 1.980096e+06 ; 2.426829e+06 + i 1.097770e+04 ; 3.022433e+06 + i -7.635468e+05 ; -8.472543e+06 + i 4.207484e+06 ; 1.050820e+06 + i 2.477885e+05 ; 8.958093e+05 + i -2.828143e+05 ; -3.680158e+06 + i 1.683695e+06 ; 
-2.131934e+08 + i 2.497012e+07 ; -1.586184e+07 + i 6.015619e+06 ; 3.046043e+08 + i -8.834789e+07 ; -5.289940e+08 + i 1.519792e+08 ; 7.829616e+06 + i -1.249894e+06 ; -3.626551e+07 + i 8.318470e+06 ; -3.837684e+07 + i 2.316923e+07 ; -6.416970e+07 + i 2.557748e+07 ; 6.924281e+07 + i -2.616132e+07 ; -5.055755e+07 + i 3.607927e+07 ; 1.783874e+07 + i -4.507025e+06 ; -1.860844e+07 + i 4.424634e+06 ; 1.122145e+09 + i -3.336511e+08 ; -8.576044e+07 + i 1.614392e+07 ; 8.361073e+07 + i -1.674929e+07 ; -4.614834e+09 + i 7.722030e+08 ; 1.642516e+07 + i -3.085864e+05 ; -1.758719e+07 + i 3.299727e+04 ; -2.116454e+08 + i 2.523893e+07 ; -2.823834e+08 + i 8.751812e+07 ; 1.678518e+07 + i -5.991869e+06 ; -5.292062e+08 + i 1.519624e+08 ; 4.203968e+07 + i -7.404695e+06 ; -8.432071e+06 + i 1.137125e+06 ; 3.056423e+07 + i -1.743589e+07 ; 1.059324e+07 + i -3.088426e+06 ; -8.914568e+07 + i 2.628912e+07 ; 2.482850e+07 + i -1.201646e+07 ; 1.547622e+05 + i -5.552800e+05 ; -6.469638e+06 + i 3.949897e+06 ; -4.040325e+06 + i -2.750592e+06 ; 3.706380e+07 + i -1.343108e+07 ; -4.039880e+07 + i 1.363553e+07 ; 3.768499e+06 + i -4.571247e+06 ; 4.721200e+06 + i -2.637125e+06 ; -5.248884e+06 + i 2.734586e+06 ; 2.196002e+08 + i -6.324888e+07 ; 2.525670e+07 + i -5.245606e+06 ; -2.903422e+07 + i 4.872500e+06 ; 1.062745e+08 + i -2.478232e+07 ; 3.758075e+05 + i -1.048834e+06 ; -6.348183e+05 + i 1.127671e+06 ; 3.011147e+07 + i -1.749389e+07 ; 8.174107e+07 + i -2.616674e+07 ; -1.215774e+07 + i 3.028499e+06 ; 2.459330e+07 + i -1.206014e+07 ; 5.785288e+06 + i -3.783058e+06 ; -3.507604e+05 + i 5.883895e+05 ; 
2.276503e+07 + i -5.321179e+06 ; -5.275163e+07 + i 3.721514e+07 ; 2.239259e+07 + i -5.036433e+06 ; 1.056367e+07 + i -1.802709e+06 ; -5.323508e+08 + i 1.531610e+08 ; 4.714444e+07 + i -8.388634e+06 ; -6.630166e+07 + i 2.560864e+07 ; -3.974980e+07 + i 2.380502e+07 ; -6.776456e+07 + i 2.614886e+07 ; -1.139505e+07 + i 5.075784e+06 ; -2.124630e+08 + i 2.564800e+07 ; -3.028111e+08 + i 8.827176e+07 ; 4.902554e+07 + i -8.153691e+06 ; -5.360320e+08 + i 1.537083e+08 ; 1.039448e+07 + i -1.501389e+06 ; 2.025920e+07 + i -7.843515e+05 ; -4.626692e+09 + i 7.741601e+08 ; 1.937923e+07 + i -5.741480e+05 ; -3.005511e+08 + i 8.795366e+07 ; -2.151574e+08 + i 2.612353e+07 ; -1.564239e+07 + i 5.949913e+06 ; -8.435612e+07 + i 1.448338e+07 ; 1.118078e+09 + i -3.330175e+08 ; -9.006976e+07 + i 1.585154e+07 ; -1.236372e+07 + i 2.673744e+06 ; -4.724502e+07 + i 1.752455e+07 ; 9.498957e+06 + i -1.767268e+06 ; -8.590841e+06 + i 1.438526e+06 ; -8.432261e+06 + i 4.215617e+06 ; 2.415864e+06 + i -6.934190e+05 ; 4.109867e+07 + i -1.369299e+07 ; -3.400684e+07 + i 1.118906e+07 ; -2.259053e+07 + i 7.481993e+06 ; 2.319697e+07 + i -6.842475e+06 ; -8.010505e+06 + i 3.836192e+06 ; -7.292790e+05 + i 7.680120e+05 ; -1.953590e+07 + i 3.462524e+06 ; -1.036589e+08 + i 3.046098e+07 ; 5.339788e+06 + i -6.209137e+05 ; -1.207823e+07 + i 1.371136e+06 ; -1.054141e+07 + i 5.650358e+06 ; 1.641645e+06 + i -4.136288e+05 ; 8.733937e+07 + i -2.673357e+07 ; -6.352318e+07 + i 1.410965e+07 ; -4.370712e+06 + i 9.018467e+05 ; 4.342829e+07 + i -1.071000e+07 ; -1.100015e+07 + i 5.274538e+06 ; 9.258544e+05 + i -1.147263e+04 ; 
3.013220e+08 + i -8.778234e+07 ; -1.593229e+07 + i 5.633480e+06 ; -2.167756e+08 + i 2.586398e+07 ; 7.633139e+07 + i -1.544222e+07 ; -8.326160e+07 + i 1.644768e+07 ; 1.117856e+09 + i -3.330600e+08 ; 6.627584e+07 + i -2.567548e+07 ; -6.371703e+07 + i 2.537814e+07 ; -3.987052e+07 + i 2.385347e+07 ; 1.216288e+07 + i -4.893904e+06 ; -2.812168e+08 + i 8.732491e+07 ; -2.124515e+08 + i 2.567948e+07 ; -4.034331e+07 + i 9.276290e+06 ; 9.767757e+06 + i -1.575008e+06 ; -5.353372e+08 + i 1.538450e+08 ; -2.057758e+07 + i 7.278911e+05 ; 1.838709e+07 + i -7.850473e+05 ; -4.626381e+09 + i 7.742849e+08 ; -2.208291e+07 + i 5.296143e+06 ; 2.095712e+07 + i -5.003845e+06 ; -5.263931e+07 + i 3.717573e+07 ; -1.026789e+07 + i 1.863429e+06 ; 4.365547e+07 + i -8.693709e+06 ; -5.319195e+08 + i 1.532452e+08 ; -8.693452e+07 + i 2.674592e+07 ; -3.529841e+06 + i 9.864391e+05 ; -6.310119e+07 + i 1.415383e+07 ; -4.314356e+07 + i 1.072562e+07 ; 9.236579e+05 + i -2.891148e+04 ; -1.095607e+07 + i 5.273366e+06 ; -4.081800e+07 + i 1.369355e+07 ; -2.052528e+07 + i 7.424996e+06 ; -3.386231e+07 + i 1.119627e+07 ; -2.298311e+07 + i 6.851250e+06 ; -6.043009e+05 + i 7.278072e+05 ; -7.982180e+06 + i 3.835884e+06 ; 2.128242e+07 + i -3.234948e+06 ; 4.871425e+06 + i -6.973402e+05 ; -1.037187e+08 + i 3.044613e+07 ; 1.293749e+07 + i -1.215196e+06 ; 1.487198e+06 + i -4.202830e+05 ; -1.057587e+07 + i 5.639983e+06 ; 1.302523e+07 + i -2.619749e+06 ; 8.752993e+06 + i -1.831946e+06 ; -4.726800e+07 + i 1.751750e+07 ; 8.989716e+06 + i -1.397366e+06 ; 2.211340e+06 + i -6.928367e+05 ; -8.464648e+06 + i 4.207197e+06 ; 
-5.185472e+07 + i 3.691043e+07 ; 2.254732e+07 + i -4.992704e+06 ; 2.254968e+07 + i -4.992268e+06 ; -3.824985e+07 + i 2.313181e+07 ; -6.832039e+07 + i 2.586740e+07 ; -6.831510e+07 + i 2.586986e+07 ; -5.340231e+08 + i 1.533960e+08 ; 1.043989e+07 + i -1.503353e+06 ; 4.664716e+07 + i -8.353094e+06 ; -2.117831e+08 + i 2.515352e+07 ; -1.578949e+07 + i 5.803408e+06 ; -3.029888e+08 + i 8.841986e+07 ; -5.340182e+08 + i 1.533982e+08 ; 4.664544e+07 + i -8.353668e+06 ; 1.043583e+07 + i -1.502658e+06 ; -2.117811e+08 + i 2.515718e+07 ; -3.029863e+08 + i 8.842239e+07 ; -1.582237e+07 + i 5.793003e+06 ; -4.627422e+09 + i 7.745154e+08 ; 1.925017e+07 + i -6.093858e+05 ; 1.924225e+07 + i -6.086324e+05 ; 1.122186e+09 + i -3.336499e+08 ; -8.896406e+07 + i 1.601629e+07 ; -8.897689e+07 + i 1.601025e+07 ; 3.683752e+06 + i -4.582522e+06 ; -5.781872e+06 + i 2.935826e+06 ; -5.781854e+06 + i 2.935706e+06 ; 5.857387e+06 + i -4.186794e+06 ; -1.345858e+06 + i 7.576340e+05 ; -1.345737e+06 + i 7.576881e+05 ; 2.470352e+07 + i -1.203333e+07 ; 1.442058e+06 + i 1.266437e+05 ; -9.250898e+06 + i 4.389349e+06 ; 1.834660e+07 + i -7.697800e+06 ; 8.472550e+05 + i -1.225479e+05 ; -1.841084e+06 + i 9.724325e+05 ; 2.470702e+07 + i -1.203185e+07 ; -9.251731e+06 + i 4.389181e+06 ; 1.439064e+06 + i 1.255799e+05 ; 1.834769e+07 + i -7.697108e+06 ; -1.840986e+06 + i 9.724680e+05 ; 8.466672e+05 + i -1.225902e+05 ; 1.063155e+08 + i -2.477864e+07 ; 8.682673e+05 + i 4.491372e+05 ; 8.710060e+05 + i 4.494760e+05 ; 5.483120e+07 + i -1.081061e+07 ; 8.217591e+05 + i -9.323054e+04 ; 8.217725e+05 + i -9.316645e+04 ; 
-1.701949e+07 + i 5.933302e+06 ; -2.174684e+08 + i 2.607154e+07 ; 3.045512e+08 + i -8.823265e+07 ; -6.630934e+07 + i 2.580816e+07 ; -3.996727e+07 + i 2.383847e+07 ; 6.894372e+07 + i -2.602588e+07 ; 9.296582e+06 + i -1.406698e+06 ; -5.360884e+08 + i 1.540134e+08 ; -3.990271e+07 + i 8.902489e+06 ; 2.026434e+07 + i -4.786940e+06 ; -5.265846e+07 + i 3.717216e+07 ; -2.164468e+07 + i 5.030527e+06 ; -8.527306e+07 + i 1.661533e+07 ; 1.113536e+09 + i -3.325547e+08 ; 8.276669e+07 + i -1.660113e+07 ; -2.850677e+08 + i 8.785204e+07 ; -2.155620e+08 + i 2.607020e+07 ; 1.628943e+07 + i -5.867002e+06 ; 1.778644e+07 + i -5.794568e+05 ; -4.631432e+09 + i 7.750669e+08 ; -2.016818e+07 + i 2.904882e+05 ; 4.284351e+07 + i -8.309480e+06 ; -5.354458e+08 + i 1.538347e+08 ; -1.038678e+07 + i 1.498874e+06 ; -2.434289e+07 + i 7.061065e+06 ; -8.062073e+06 + i 3.835207e+06 ; 1.977274e+06 + i -9.841373e+05 ; -1.440716e+07 + i 3.687934e+06 ; -3.367843e+06 + i 1.534187e+06 ; 3.747845e+04 + i -1.215843e+05 ; 2.527206e+06 + i 4.085726e+04 ; -8.462063e+06 + i 4.211935e+06 ; -3.320083e+06 + i 7.611434e+05 ; 1.097455e+06 + i 2.678059e+05 ; -3.677187e+06 + i 1.684294e+06 ; -9.852344e+05 + i 2.875790e+05 ; -4.093514e+07 + i 1.007035e+07 ; -1.112071e+07 + i 5.251833e+06 ; -1.185029e+06 + i 1.528713e+05 ; -2.192201e+07 + i 4.490838e+06 ; -4.138349e+06 + i 1.788108e+06 ; -5.843170e+05 + i 1.287677e+05 ; 1.316059e+06 + i 4.564654e+05 ; -1.060369e+07 + i 5.635165e+06 ; -2.241302e+06 + i 4.404207e+05 ; 3.274205e+05 + i 5.070103e+05 ; -4.611624e+06 + i 1.980744e+06 ; -7.532658e+05 + i 2.078642e+05 ; 
-1.702682e+07 + i 5.934662e+06 ; 3.045517e+08 + i -8.823299e+07 ; -2.174685e+08 + i 2.606950e+07 ; -6.630892e+07 + i 2.580777e+07 ; 6.894432e+07 + i -2.602632e+07 ; -3.996495e+07 + i 2.383623e+07 ; -8.528456e+07 + i 1.661290e+07 ; 8.277164e+07 + i -1.659953e+07 ; 1.113613e+09 + i -3.325286e+08 ; -2.850665e+08 + i 8.785243e+07 ; 1.629224e+07 + i -5.865864e+06 ; -2.155293e+08 + i 2.607162e+07 ; 9.294312e+06 + i -1.404959e+06 ; -3.989139e+07 + i 8.907045e+06 ; -5.359516e+08 + i 1.540543e+08 ; 2.027827e+07 + i -4.783176e+06 ; -2.163934e+07 + i 5.031853e+06 ; -5.264147e+07 + i 3.716877e+07 ; 1.775686e+07 + i -5.844509e+05 ; -2.016840e+07 + i 2.904517e+05 ; -4.631412e+09 + i 7.750812e+08 ; 4.284697e+07 + i -8.308149e+06 ; -1.038641e+07 + i 1.498770e+06 ; -5.354227e+08 + i 1.538303e+08 ; -2.434079e+07 + i 7.060772e+06 ; 1.977062e+06 + i -9.842579e+05 ; -8.060977e+06 + i 3.834948e+06 ; -1.440644e+07 + i 3.687873e+06 ; 3.735618e+04 + i -1.216402e+05 ; -3.367537e+06 + i 1.534091e+06 ; -4.093563e+07 + i 1.007039e+07 ; -1.184498e+06 + i 1.530616e+05 ; -1.111662e+07 + i 5.252371e+06 ; -2.192214e+07 + i 4.490921e+06 ; -5.840961e+05 + i 1.288243e+05 ; -4.137526e+06 + i 1.788061e+06 ; 2.532365e+06 + i 4.152594e+04 ; -3.319755e+06 + i 7.612343e+05 ; -8.461599e+06 + i 4.211125e+06 ; 1.100822e+06 + i 2.685641e+05 ; -9.852764e+05 + i 2.875442e+05 ; -3.677791e+06 + i 1.684070e+06 ; 1.319243e+06 + i 4.564020e+05 ; -2.241158e+06 + i 4.405224e+05 ; -1.060157e+07 + i 5.635185e+06 ; 3.282360e+05 + i 5.069798e+05 ; -7.531103e+05 + i 2.078995e+05 ; -4.612171e+06 + i 1.980524e+06 ; 
-3.847875e+07 + i 2.321870e+07 ; 7.065499e+07 + i -2.636534e+07 ; 7.064873e+07 + i -2.636812e+07 ; -5.045137e+07 + i 3.610726e+07 ; -2.028506e+07 + i 4.108859e+06 ; -2.028769e+07 + i 4.108335e+06 ; -2.131182e+08 + i 2.501426e+07 ; 1.716179e+07 + i -5.869391e+06 ; 3.117335e+08 + i -8.851036e+07 ; -5.289405e+08 + i 1.519949e+08 ; -8.385252e+06 + i 1.201136e+06 ; -3.759962e+07 + i 8.152837e+06 ; -2.131250e+08 + i 2.501497e+07 ; 3.117320e+08 + i -8.851283e+07 ; 1.719982e+07 + i -5.857417e+06 ; -5.289180e+08 + i 1.520018e+08 ; -3.759859e+07 + i 8.152612e+06 ; -8.379187e+06 + i 1.201086e+06 ; 1.121478e+09 + i -3.338064e+08 ; 8.552301e+07 + i -1.661198e+07 ; 8.553755e+07 + i -1.660555e+07 ; -4.614760e+09 + i 7.722247e+08 ; -1.791976e+07 + i -4.406874e+04 ; -1.790882e+07 + i -4.355974e+04 ; -3.938413e+06 + i -2.757896e+06 ; -4.084542e+07 + i 1.380124e+07 ; -4.084302e+07 + i 1.380208e+07 ; 3.841276e+06 + i -4.570851e+06 ; -5.288747e+06 + i 2.767050e+06 ; -5.287700e+06 + i 2.767334e+06 ; 3.052154e+07 + i -1.744605e+07 ; -1.165872e+07 + i 3.163529e+06 ; -9.120210e+07 + i 2.636149e+07 ; 2.480565e+07 + i -1.202251e+07 ; -2.658254e+05 + i 6.002391e+05 ; -6.626834e+06 + i 3.999116e+06 ; 3.053158e+07 + i -1.744485e+07 ; -9.120276e+07 + i 2.636180e+07 ; -1.166872e+07 + i 3.160063e+06 ; 2.481030e+07 + i -1.202184e+07 ; -6.626338e+06 + i 3.999326e+06 ; -2.697358e+05 + i 5.995360e+05 ; 2.196190e+08 + i -6.324834e+07 ; -2.957012e+07 + i 4.845796e+06 ; -2.957253e+07 + i 4.844137e+06 ; 1.062757e+08 + i -2.478280e+07 ; -6.437726e+05 + i 1.148963e+06 ; -6.475217e+05 + i 1.148353e+06 ; 
6.777498e+07 + i -2.578876e+07 ; -4.002741e+07 + i 2.388443e+07 ; 7.012441e+07 + i -2.617946e+07 ; 1.228378e+07 + i -4.818238e+06 ; -2.137536e+08 + i 2.552971e+07 ; 3.107066e+08 + i -8.820579e+07 ; -2.389360e+07 + i 4.954204e+06 ; -5.256533e+07 + i 3.719799e+07 ; -2.353860e+07 + i 4.707417e+06 ; -1.072111e+07 + i 1.801555e+06 ; -5.318281e+08 + i 1.532528e+08 ; -4.158402e+07 + i 8.863544e+06 ; 3.079174e+08 + i -8.788798e+07 ; -2.168068e+08 + i 2.590060e+07 ; 1.667970e+07 + i -5.689729e+06 ; 7.848203e+07 + i -1.529323e+07 ; 1.117279e+09 + i -3.331879e+08 ; 8.480892e+07 + i -1.640273e+07 ; -4.209165e+07 + i 9.120358e+06 ; -5.352862e+08 + i 1.538675e+08 ; -1.059952e+07 + i 1.508524e+06 ; -2.090918e+07 + i 6.758768e+05 ; -4.626287e+09 + i 7.743103e+08 ; -2.047645e+07 + i 2.748031e+05 ; -4.191783e+07 + i 1.372537e+07 ; -3.392471e+07 + i 1.119694e+07 ; 2.305271e+07 + i -7.529362e+06 ; -2.360527e+07 + i 6.844924e+06 ; -7.974125e+06 + i 3.839986e+06 ; 7.369767e+05 + i -7.811834e+05 ; 1.299620e+07 + i -2.670012e+06 ; -4.727324e+07 + i 1.751708e+07 ; -9.650522e+06 + i 1.742296e+06 ; 9.028834e+06 + i -1.414908e+06 ; -8.456722e+06 + i 4.209859e+06 ; -2.476966e+06 + i 6.924895e+05 ; -8.890811e+07 + i 2.680331e+07 ; -6.312041e+07 + i 1.415010e+07 ; 4.313670e+06 + i -9.127529e+05 ; -4.412255e+07 + i 1.070092e+07 ; -1.095346e+07 + i 5.274383e+06 ; -9.600396e+05 + i 6.224682e+03 ; 2.148078e+07 + i -3.223518e+06 ; -1.036906e+08 + i 3.045107e+07 ; -5.454775e+06 + i 5.997358e+05 ; 1.307504e+07 + i -1.195470e+06 ; -1.056335e+07 + i 5.642319e+06 ; -1.684351e+06 + i 4.116057e+05 ; 
