-2.569414e+10 + i 4.602957e+10 ; -6.678327e+08 + i -1.331268e+09 ; -6.645445e+08 + i -1.330079e+09 ; -9.716572e+08 + i -2.863145e+10 ; 3.422147e+09 + i -1.080125e+09 ; 3.420709e+09 + i -1.074810e+09 ; 2.399062e+09 + i 1.101460e+10 ; -1.449803e+09 + i 5.797307e+08 ; -1.001733e+09 + i -6.972503e+08 ; -9.910837e+09 + i 1.288779e+09 ; -1.131516e+09 + i -8.769650e+09 ; 9.214721e+08 + i -1.465127e+09 ; 2.403306e+09 + i 1.101229e+10 ; -1.008080e+09 + i -6.970240e+08 ; -1.452618e+09 + i 5.772016e+08 ; -9.906192e+09 + i 1.287352e+09 ; 9.156136e+08 + i -1.476253e+09 ; -1.131612e+09 + i -8.771118e+09 ; 2.228818e+09 + i 2.409912e+09 ; -7.668253e+08 + i 4.723957e+08 ; -7.654402e+08 + i 4.668464e+08 ; -2.665547e+09 + i 6.428372e+09 ; -1.601741e+09 + i -2.759402e+09 ; -1.600451e+09 + i -2.762059e+09 ; 1.259556e+09 + i -2.013801e+09 ; -6.619494e+07 + i -3.261935e+08 ; -6.669612e+07 + i -3.250320e+08 ; 7.350657e+08 + i -7.022127e+08 ; -1.645318e+08 + i -9.054506e+07 ; -1.641967e+08 + i -9.019368e+07 ; -2.429464e+08 + i -1.998462e+09 ; -5.297419e+08 + i -5.229270e+08 ; -1.578212e+08 + i -2.630507e+08 ; 4.513075e+08 + i -1.264909e+09 ; -2.725691e+08 + i -8.890796e+07 ; -1.744034e+08 + i -5.971706e+07 ; -2.421194e+08 + i -1.999207e+09 ; -1.591383e+08 + i -2.645509e+08 ; -5.304375e+08 + i -5.231420e+08 ; 4.519750e+08 + i -1.264109e+09 ; -1.753917e+08 + i -5.979679e+07 ; -2.731080e+08 + i -8.878140e+07 ; -1.042605e+09 + i -1.502611e+09 ; -4.715060e+08 + i -3.493059e+08 ; -4.721056e+08 + i -3.494985e+08 ; -1.253559e+07 + i -1.576112e+09 ; -2.522584e+08 + i -5.940646e+07 ; -2.525203e+08 + i -5.966715e+07 ; 
7.224463e+08 + i -3.970558e+08 ; 6.237702e+08 + i -3.332262e+08 ; 2.087480e+09 + i 2.375160e+09 ; 8.234227e+08 + i 5.217285e+08 ; 1.212857e+09 + i -3.977747e+08 ; 2.360234e+09 + i 1.102625e+10 ; 1.308523e+09 + i -4.363858e+08 ; 7.755957e+08 + i 6.406799e+08 ; 2.274236e+09 + i 1.099829e+10 ; 5.427882e+08 + i 9.979163e+08 ; 4.886143e+08 + i 1.115826e+09 ; -2.575542e+10 + i 4.600637e+10 ; 1.189903e+09 + i 2.271064e+09 ; 1.075766e+09 + i 2.273284e+09 ; -2.913749e+09 + i 6.546751e+09 ; -8.173714e+08 + i 1.042623e+09 ; 4.595365e+08 + i 7.146371e+09 ; -1.004575e+10 + i 1.425414e+09 ; 5.571840e+08 + i 7.181489e+09 ; -9.755806e+08 + i 1.147418e+09 ; -1.015112e+10 + i 1.346475e+09 ; -2.623729e+09 + i 6.362403e+08 ; -2.821624e+09 + i 7.242878e+08 ; -1.101243e+09 + i -2.852263e+10 ; -5.356527e+08 + i 1.957804e+08 ; 3.072477e+08 + i -1.070885e+08 ; 3.969657e+08 + i 1.583620e+09 ; -5.365093e+08 + i -2.136535e+08 ; 1.257766e+08 + i -8.249098e+07 ; 3.047184e+08 + i 6.637583e+08 ; -6.803822e+08 + i 1.448720e+08 ; 2.533619e+08 + i 1.357417e+08 ; 2.443345e+08 + i 2.404005e+09 ; -4.715105e+08 + i -3.437813e+08 ; 1.771979e+08 + i -1.299627e+07 ; 3.312172e+08 + i 7.130022e+08 ; -4.831149e+08 + i -1.265187e+09 ; 3.274196e+08 + i 6.875853e+08 ; -6.053260e+08 + i 1.739660e+09 ; 2.040027e+08 + i -8.164614e+08 ; 2.105801e+08 + i 6.656170e+07 ; 3.521340e+08 + i 9.180518e+08 ; -2.820174e+08 + i -2.339596e+09 ; -5.491844e+07 + i 1.813593e+08 ; -1.391273e+09 + i 1.405060e+09 ; 6.688615e+08 + i -8.763650e+08 ; 9.338898e+07 + i 7.095467e+07 ; 1.560545e+08 + i 1.057414e+09 ; 
2.414978e+09 + i 1.103775e+10 ; -9.647207e+08 + i -6.941289e+08 ; 1.674936e+09 + i -5.716156e+08 ; -9.822643e+09 + i 1.251279e+09 ; 9.882308e+08 + i -1.432634e+09 ; 4.703470e+08 + i 7.156612e+09 ; 2.248654e+09 + i 2.415237e+09 ; -7.306976e+08 + i 4.395987e+08 ; 6.801438e+08 + i -4.075936e+08 ; -2.645138e+09 + i 6.377493e+09 ; -1.437592e+09 + i -2.708588e+09 ; 1.113601e+09 + i 2.341502e+09 ; -2.572617e+10 + i 4.605350e+10 ; -6.449695e+08 + i -1.302738e+09 ; 5.991401e+08 + i 1.321923e+09 ; -9.411316e+08 + i -2.857986e+10 ; 3.332240e+09 + i -9.947164e+08 ; -3.323047e+09 + i 9.270648e+08 ; 2.420581e+09 + i 1.105984e+10 ; -1.427721e+09 + i 5.990433e+08 ; 8.858225e+08 + i 6.377094e+08 ; -9.869526e+09 + i 1.281235e+09 ; -8.500735e+08 + i -8.357352e+09 ; -9.380832e+08 + i 1.278465e+09 ; -2.503514e+08 + i -2.014949e+09 ; -1.386409e+08 + i -2.661405e+08 ; 3.812726e+08 + i 4.802273e+08 ; 4.549614e+08 + i -1.271497e+09 ; -1.652908e+08 + i -6.626992e+07 ; 2.142647e+08 + i 1.026689e+08 ; -1.051216e+09 + i -1.513262e+09 ; -4.378422e+08 + i -3.523870e+08 ; 3.467224e+08 + i 3.364312e+08 ; -1.126241e+07 + i -1.585296e+09 ; -2.391201e+08 + i -6.715582e+07 ; 1.988134e+08 + i 7.658938e+07 ; 1.257503e+09 + i -2.014679e+09 ; -5.854226e+07 + i -3.207305e+08 ; 1.675241e+07 + i 2.972337e+08 ; 7.299649e+08 + i -7.042183e+08 ; -1.571224e+08 + i -9.392259e+07 ; 1.251194e+08 + i 9.943261e+07 ; -2.471900e+08 + i -2.004627e+09 ; -4.928717e+08 + i -5.191452e+08 ; 9.401568e+07 + i 2.501067e+08 ; 4.474364e+08 + i -1.265874e+09 ; -2.599047e+08 + i -9.521626e+07 ; 1.345956e+08 + i 7.512367e+07 ; 
-8.918192e+08 + i -6.772804e+08 ; 2.205196e+09 + i 1.097730e+10 ; 1.664538e+09 + i -5.617476e+08 ; -6.344614e+08 + i 4.366669e+08 ; 2.070132e+09 + i 2.373776e+09 ; 6.723574e+08 + i -4.058523e+08 ; 1.081051e+09 + i -1.393156e+09 ; -1.014053e+10 + i 1.319130e+09 ; 4.357276e+08 + i 7.179844e+09 ; -1.284238e+09 + i -2.700987e+09 ; -2.892977e+09 + i 6.501032e+09 ; 1.085462e+09 + i 2.355473e+09 ; -5.752147e+08 + i -1.281630e+09 ; -2.591010e+10 + i 4.597641e+10 ; 5.848754e+08 + i 1.332850e+09 ; -1.330448e+09 + i 6.050486e+08 ; 2.274410e+09 + i 1.101809e+10 ; 8.761521e+08 + i 6.401091e+08 ; 3.419750e+09 + i -9.489375e+08 ; -1.254027e+09 + i -2.859457e+10 ; -3.361939e+09 + i 9.345632e+08 ; -6.923277e+08 + i -8.335261e+09 ; -1.011826e+10 + i 1.341413e+09 ; -9.718003e+08 + i 1.280373e+09 ; 3.468563e+07 + i -2.368230e+08 ; 3.067693e+08 + i 6.764414e+08 ; 1.525018e+08 + i -6.486187e+07 ; 1.412741e+08 + i -2.329302e+08 ; 2.774638e+08 + i 3.333642e+08 ; 6.926211e+07 + i -5.141775e+07 ; 3.980577e+08 + i -7.355465e+08 ; 3.505324e+08 + i 9.174852e+08 ; 1.646914e+08 + i 9.522012e+07 ; 4.631987e+08 + i -2.901003e+08 ; 3.139686e+08 + i 3.189596e+08 ; 8.231646e+07 + i -7.791526e+06 ; 1.108401e+08 + i -2.577948e+08 ; 3.315336e+08 + i 7.273326e+08 ; 1.744092e+08 + i -4.301928e+06 ; 1.916188e+08 + i -1.923640e+08 ; 2.551376e+08 + i 3.473142e+08 ; 8.179575e+07 + i -4.055798e+07 ; 6.778914e+08 + i -8.319303e+08 ; 1.544218e+08 + i 1.057887e+09 ; 1.023088e+08 + i 3.936536e+07 ; 5.448643e+08 + i -1.957989e+08 ; 2.997121e+08 + i 3.679832e+08 ; 6.182278e+07 + i -1.870623e+07 ; 
-3.850355e+09 + i 1.069782e+09 ; -3.796800e+09 + i 1.122717e+09 ; -1.256855e+09 + i -2.858927e+10 ; 7.020186e+08 + i 8.312766e+09 ; -9.634432e+08 + i 1.482295e+09 ; -1.005511e+10 + i 1.309221e+09 ; -1.018596e+09 + i 1.453358e+09 ; 8.218150e+08 + i 8.361011e+09 ; -1.012034e+10 + i 1.306569e+09 ; 1.300942e+09 + i 2.652988e+09 ; 1.419958e+09 + i 2.675037e+09 ; -2.872841e+09 + i 6.468735e+09 ; 5.866811e+08 + i 1.347973e+09 ; 6.421290e+08 + i 1.377858e+09 ; -2.589137e+10 + i 4.597031e+10 ; 1.759058e+09 + i -6.693769e+08 ; 9.681859e+08 + i 7.161963e+08 ; 2.214406e+09 + i 1.094266e+10 ; 9.080783e+08 + i 7.018784e+08 ; 1.848808e+09 + i -6.587056e+08 ; 2.164381e+09 + i 1.093814e+10 ; 6.611617e+08 + i -4.977170e+08 ; 7.518942e+08 + i -5.056552e+08 ; 1.985177e+09 + i 2.365182e+09 ; -6.423458e+08 + i 8.361925e+08 ; 1.257538e+08 + i 3.986828e+07 ; 1.683413e+08 + i 1.064368e+09 ; -5.262022e+08 + i 2.093266e+08 ; 7.199537e+07 + i -2.515045e+07 ; 3.036041e+08 + i 3.643600e+08 ; -3.717505e+08 + i 7.257541e+08 ; 1.997516e+08 + i 1.028788e+08 ; 3.646450e+08 + i 9.158285e+08 ; -4.386702e+08 + i 2.966176e+08 ; 9.695603e+07 + i -1.318569e+07 ; 3.174795e+08 + i 3.131667e+08 ; -7.767687e+07 + i 2.803161e+08 ; 1.979402e+08 + i -1.329986e+07 ; 3.340462e+08 + i 7.296331e+08 ; -1.796668e+08 + i 2.090948e+08 ; 9.081031e+07 + i -5.089685e+07 ; 2.583777e+08 + i 3.513669e+08 ; -8.540839e+06 + i 2.399414e+08 ; 1.715443e+08 + i -8.282381e+07 ; 3.089442e+08 + i 6.777354e+08 ; -1.223876e+08 + i 2.421710e+08 ; 7.721106e+07 + i -6.296708e+07 ; 2.812721e+08 + i 3.361801e+08 ; 
-9.792988e+09 + i 1.235526e+09 ; -1.033111e+09 + i 1.390242e+09 ; -4.188466e+08 + i -7.228349e+09 ; 2.544609e+09 + i 1.063854e+10 ; 7.811860e+08 + i 6.556417e+08 ; -1.775235e+09 + i 6.564034e+08 ; -2.633871e+09 + i 6.354241e+09 ; 1.263771e+09 + i 2.675086e+09 ; -1.013641e+09 + i -2.369603e+09 ; 2.224974e+09 + i 2.031410e+09 ; 5.726983e+08 + i -3.660577e+08 ; -5.573909e+08 + i 4.056606e+08 ; -9.313553e+08 + i -2.856727e+10 ; -3.314053e+09 + i 9.687697e+08 ; 3.603325e+09 + i -1.063921e+09 ; -2.534281e+10 + i 4.571482e+10 ; 4.427589e+08 + i 1.203599e+09 ; -3.781786e+08 + i -1.079735e+09 ; -9.846185e+09 + i 1.276797e+09 ; 5.868063e+08 + i 8.116647e+09 ; 1.003216e+09 + i -1.335161e+09 ; 2.566767e+09 + i 1.066426e+10 ; 1.235752e+09 + i -5.383385e+08 ; -7.386110e+08 + i -5.879886e+08 ; -1.551097e+09 + i -2.001465e+09 ; 5.967308e+08 + i -5.660313e+08 ; 2.985353e+08 + i 2.228774e+09 ; -2.501912e+08 + i -2.009133e+09 ; -6.583809e+07 + i -4.492605e+08 ; 4.526463e+08 + i 4.094110e+08 ; -1.426909e+09 + i -7.462333e+08 ; -3.944377e+08 + i -1.332133e+09 ; 3.820030e+08 + i 1.186535e+09 ; -1.053261e+09 + i -1.505348e+09 ; -3.445486e+08 + i -3.347945e+08 ; 3.339865e+08 + i 2.790789e+08 ; -3.964184e+08 + i -5.171336e+09 ; 1.051615e+09 + i -4.690338e+08 ; -8.038642e+08 + i 3.738872e+08 ; 1.268510e+09 + i -2.013229e+09 ; 6.305852e+07 + i -5.493465e+08 ; -2.958375e+07 + i 4.638816e+08 ; -1.527175e+09 + i -2.010747e+09 ; -2.954343e+08 + i -2.472589e+09 ; -4.727683e+08 + i 4.693288e+08 ; -2.431354e+08 + i -1.998848e+09 ; -4.646821e+08 + i -4.731314e+08 ; 7.817733e+07 + i 3.810942e+08 ; 
7.222878e+08 + i -4.236766e+08 ; 2.074991e+09 + i 2.376624e+09 ; 5.991550e+08 + i -4.530013e+08 ; 8.563619e+08 + i 5.212345e+08 ; 2.344567e+09 + i 1.101513e+10 ; 1.572392e+09 + i -5.686794e+08 ; 1.200033e+09 + i 2.366539e+09 ; -2.902933e+09 + i 6.503203e+09 ; 9.997770e+08 + i 2.331160e+09 ; -8.038119e+08 + i 1.139091e+09 ; -9.981339e+09 + i 1.389873e+09 ; 3.865502e+08 + i 7.025059e+09 ; 1.359778e+09 + i -5.471709e+08 ; 2.279871e+09 + i 1.101785e+10 ; 8.776270e+08 + i 6.079236e+08 ; 5.625484e+08 + i 1.022398e+09 ; -2.576845e+10 + i 4.601643e+10 ; 5.831483e+08 + i 1.257232e+09 ; 5.402289e+08 + i 7.096962e+09 ; -1.012204e+10 + i 1.332587e+09 ; -9.279702e+08 + i 1.327181e+09 ; -2.708420e+09 + i 6.580818e+08 ; -1.083596e+09 + i -2.850247e+10 ; -3.190253e+09 + i 8.997699e+08 ; -5.268427e+08 + i 1.884617e+08 ; 3.945350e+08 + i 1.585341e+09 ; 3.103668e+08 + i -1.201244e+08 ; -5.294167e+08 + i -2.142212e+08 ; 3.047159e+08 + i 6.653573e+08 ; 1.247052e+08 + i -8.467864e+07 ; -4.826076e+08 + i -1.252098e+09 ; -6.034438e+08 + i 1.734586e+09 ; 3.196455e+08 + i 6.805563e+08 ; 1.986881e+08 + i -8.169625e+08 ; 3.502280e+08 + i 9.158283e+08 ; 2.078780e+08 + i 6.583299e+07 ; -6.634663e+08 + i 1.252299e+08 ; 2.417622e+08 + i 2.406206e+09 ; 2.676139e+08 + i 1.363991e+08 ; -4.571822e+08 + i -3.443450e+08 ; 3.319109e+08 + i 7.147358e+08 ; 1.799304e+08 + i -1.697571e+07 ; -2.810037e+08 + i -2.344036e+09 ; -1.392863e+09 + i 1.406012e+09 ; -5.901291e+07 + i 1.811723e+08 ; 6.729551e+08 + i -8.799663e+08 ; 1.559092e+08 + i 1.056252e+09 ; 9.241409e+07 + i 6.880647e+07 ; 
-5.652299e+08 + i -7.161440e+09 ; -9.012068e+08 + i 1.450661e+09 ; -1.004032e+10 + i 1.299017e+09 ; 3.360086e+09 + i -9.398144e+08 ; -3.550096e+09 + i 1.030353e+09 ; -1.075461e+09 + i -2.847698e+10 ; -1.232523e+09 + i -2.301885e+09 ; 1.303196e+09 + i 2.607895e+09 ; -2.872861e+09 + i 6.461102e+09 ; 6.934176e+08 + i -1.211267e+09 ; 6.484901e+08 + i 8.022963e+09 ; -9.948651e+09 + i 1.384063e+09 ; -2.036208e+09 + i 7.416334e+08 ; 9.251329e+08 + i 6.931075e+08 ; 2.206946e+09 + i 1.093286e+10 ; -5.658700e+08 + i -1.012286e+09 ; 6.212708e+08 + i 1.303463e+09 ; -2.573386e+10 + i 4.598837e+10 ; -7.558431e+08 + i 5.209721e+08 ; 6.887816e+08 + i -5.176012e+08 ; 1.982953e+09 + i 2.370372e+09 ; -8.621474e+08 + i -5.472137e+08 ; 1.722220e+09 + i -6.506985e+08 ; 2.299563e+09 + i 1.096810e+10 ; 2.261994e+08 + i 2.363663e+09 ; -1.068889e+08 + i 2.123191e+08 ; -1.430230e+09 + i 1.422258e+09 ; -7.245596e+08 + i 8.863964e+08 ; 9.477068e+07 + i 8.263503e+07 ; 1.515543e+08 + i 1.064020e+09 ; 4.333776e+08 + i 1.279251e+09 ; 3.466731e+08 + i 7.524097e+08 ; -6.118565e+08 + i 1.750881e+09 ; -2.410875e+08 + i 8.302944e+08 ; 2.232327e+08 + i 7.449860e+07 ; 3.517859e+08 + i 9.189053e+08 ; 5.184751e+08 + i -9.117359e+07 ; 2.999590e+08 + i 1.565522e+08 ; 2.424806e+08 + i 2.410861e+09 ; 3.907675e+08 + i 3.138717e+08 ; 2.018529e+08 + i -1.695362e+07 ; 3.263962e+08 + i 7.247600e+08 ; 4.579417e+08 + i -1.540448e+08 ; 3.426568e+08 + i -1.338333e+08 ; 3.911969e+08 + i 1.590760e+09 ; 4.720604e+08 + i 2.145315e+08 ; 1.386318e+08 + i -9.071040e+07 ; 3.019664e+08 + i 6.771762e+08 ; 
2.256690e+09 + i 2.418393e+09 ; 6.209686e+08 + i -4.684819e+08 ; 6.204823e+08 + i -4.706912e+08 ; -2.652330e+09 + i 6.350619e+09 ; 1.087495e+09 + i 2.365427e+09 ; 1.088498e+09 + i 2.363581e+09 ; 2.424708e+09 + i 1.106342e+10 ; 8.612956e+08 + i 6.319284e+08 ; 1.578838e+09 + i -5.889358e+08 ; -9.805534e+09 + i 1.242464e+09 ; -9.226169e+08 + i 1.350747e+09 ; 4.016555e+08 + i 6.977501e+09 ; 2.429063e+09 + i 1.106113e+10 ; 1.579666e+09 + i -5.876118e+08 ; 8.658584e+08 + i 6.320486e+08 ; -9.801243e+09 + i 1.241177e+09 ; 4.021934e+08 + i 6.980866e+09 ; -9.180723e+08 + i 1.356478e+09 ; -2.574591e+10 + i 4.608637e+10 ; 5.576732e+08 + i 1.279755e+09 ; 5.592130e+08 + i 1.282782e+09 ; -8.978683e+08 + i -2.854939e+10 ; -3.230946e+09 + i 8.501397e+08 ; -3.233925e+09 + i 8.527583e+08 ; -1.061035e+09 + i -1.519295e+09 ; 3.390235e+08 + i 3.398558e+08 ; 3.389711e+08 + i 3.395412e+08 ; -1.154887e+07 + i -1.593096e+09 ; 1.960536e+08 + i 7.983550e+07 ; 1.958908e+08 + i 7.964715e+07 ; -2.527991e+08 + i -2.018532e+09 ; 8.845981e+07 + i 2.560326e+08 ; 3.744486e+08 + i 4.771663e+08 ; 4.507755e+08 + i -1.273170e+09 ; 1.336527e+08 + i 7.863299e+07 ; 2.119428e+08 + i 1.040910e+08 ; -2.519941e+08 + i -2.019225e+09 ; 3.747488e+08 + i 4.777322e+08 ; 8.941774e+07 + i 2.567098e+08 ; 4.514212e+08 + i -1.272362e+09 ; 2.123520e+08 + i 1.041601e+08 ; 1.343299e+08 + i 7.865643e+07 ; 1.257792e+09 + i -2.017963e+09 ; 1.871751e+07 + i 2.962471e+08 ; 1.837995e+07 + i 2.965286e+08 ; 7.271734e+08 + i -7.052498e+08 ; 1.254591e+08 + i 1.003641e+08 ; 1.255544e+08 + i 1.007282e+08 ; 
-1.018368e+09 + i 1.429209e+09 ; -1.009241e+10 + i 1.292867e+09 ; -4.434973e+08 + i -7.172330e+09 ; 1.192905e+09 + i 2.622565e+09 ; -2.872947e+09 + i 6.463961e+09 ; -1.121898e+09 + i -2.350438e+09 ; 8.613129e+08 + i 6.743884e+08 ; 2.173770e+09 + i 1.095271e+10 ; -1.894436e+09 + i 7.219992e+08 ; 6.026067e+08 + i -5.074589e+08 ; 1.999040e+09 + i 2.367897e+09 ; -6.534710e+08 + i 4.664977e+08 ; -3.637177e+09 + i 9.947897e+08 ; -1.221889e+09 + i -2.855941e+10 ; 3.582588e+09 + i -1.026513e+09 ; 5.007056e+08 + i 8.040510e+09 ; -1.003626e+10 + i 1.307152e+09 ; 9.365929e+08 + i -1.325083e+09 ; 5.330978e+08 + i 1.290882e+09 ; -2.588647e+10 + i 4.595225e+10 ; -4.667995e+08 + i -1.135453e+09 ; 1.608360e+09 + i -6.689063e+08 ; 2.223082e+09 + i 1.093478e+10 ; -7.940206e+08 + i -6.372226e+08 ; -3.803288e+08 + i 6.876751e+08 ; 3.655902e+08 + i 9.147118e+08 ; -1.607493e+08 + i -8.911989e+07 ; -4.339226e+08 + i 2.686904e+08 ; 3.179233e+08 + i 3.126803e+08 ; -7.868477e+07 + i 9.210103e+06 ; -1.622112e+07 + i 2.176340e+08 ; 3.113209e+08 + i 6.753597e+08 ; -1.449211e+08 + i 6.703173e+07 ; -1.229004e+08 + i 2.235178e+08 ; 2.811630e+08 + i 3.345478e+08 ; -6.527242e+07 + i 5.132270e+07 ; -6.459140e+08 + i 7.838364e+08 ; 1.715120e+08 + i 1.062839e+09 ; -9.783604e+07 + i -3.170966e+07 ; -5.137447e+08 + i 1.819307e+08 ; 3.048994e+08 + i 3.631328e+08 ; -5.841522e+07 + i 1.944586e+07 ; -8.501248e+07 + i 2.531707e+08 ; 3.357652e+08 + i 7.276939e+08 ; -1.658755e+08 + i 7.114978e+06 ; -1.761011e+08 + i 1.886147e+08 ; 2.585712e+08 + i 3.491138e+08 ; -7.755422e+07 + i 4.042182e+07 ; 
-1.014480e+09 + i 1.429731e+09 ; -4.426538e+08 + i -7.173329e+09 ; -1.009603e+10 + i 1.291492e+09 ; 1.192512e+09 + i 2.621764e+09 ; -1.121860e+09 + i -2.352263e+09 ; -2.878498e+09 + i 6.466898e+09 ; -3.638225e+09 + i 9.982388e+08 ; 3.584776e+09 + i -1.029373e+09 ; -1.232109e+09 + i -2.857376e+10 ; 5.011463e+08 + i 8.040968e+09 ; 9.364546e+08 + i -1.326839e+09 ; -1.004404e+10 + i 1.299166e+09 ; 8.644205e+08 + i 6.748301e+08 ; -1.890338e+09 + i 7.189016e+08 ; 2.158166e+09 + i 1.092486e+10 ; 6.047868e+08 + i -5.108326e+08 ; -6.521271e+08 + i 4.625317e+08 ; 1.976822e+09 + i 2.367942e+09 ; 5.336688e+08 + i 1.295803e+09 ; -4.677918e+08 + i -1.135439e+09 ; -2.587986e+10 + i 4.595277e+10 ; 1.608819e+09 + i -6.688367e+08 ; -7.952251e+08 + i -6.381430e+08 ; 2.214493e+09 + i 1.092860e+10 ; -3.810125e+08 + i 6.876095e+08 ; -1.606844e+08 + i -8.934226e+07 ; 3.649512e+08 + i 9.134458e+08 ; -4.338552e+08 + i 2.685174e+08 ; -7.880151e+07 + i 9.141075e+06 ; 3.172592e+08 + i 3.122826e+08 ; -6.460776e+08 + i 7.841582e+08 ; -9.760868e+07 + i -3.202391e+07 ; 1.697782e+08 + i 1.061473e+09 ; -5.139999e+08 + i 1.822424e+08 ; -5.833778e+07 + i 1.918698e+07 ; 3.034277e+08 + i 3.629799e+08 ; -1.657886e+07 + i 2.174612e+08 ; -1.449289e+08 + i 6.677343e+07 ; 3.105863e+08 + i 6.763534e+08 ; -1.228430e+08 + i 2.232374e+08 ; -6.539472e+07 + i 5.132022e+07 ; 2.816455e+08 + i 3.352480e+08 ; -8.580218e+07 + i 2.527646e+08 ; -1.656988e+08 + i 7.245963e+06 ; 3.350848e+08 + i 7.279775e+08 ; -1.762496e+08 + i 1.884617e+08 ; -7.739690e+07 + i 4.039628e+07 ; 2.582423e+08 + i 3.501017e+08 ; 
-2.630609e+09 + i 6.326743e+09 ; -1.020410e+09 + i -2.355804e+09 ; -1.022198e+09 + i -2.354207e+09 ; 2.228276e+09 + i 2.035577e+09 ; -4.673752e+08 + i 4.853974e+08 ; -4.671600e+08 + i 4.878697e+08 ; -9.767711e+09 + i 1.229603e+09 ; 9.307444e+08 + i -1.398382e+09 ; -3.050563e+08 + i -7.050700e+09 ; 2.548225e+09 + i 1.063863e+10 ; -6.803976e+08 + i -6.130748e+08 ; -1.647995e+09 + i 6.734741e+08 ; -9.764249e+09 + i 1.227828e+09 ; -3.046301e+08 + i -7.053570e+09 ; 9.271025e+08 + i -1.405925e+09 ; 2.551462e+09 + i 1.063403e+10 ; -1.648257e+09 + i 6.721552e+08 ; -6.844980e+08 + i -6.138987e+08 ; -8.760295e+08 + i -2.852044e+10 ; 3.475357e+09 + i -9.915991e+08 ; 3.479671e+09 + i -9.938439e+08 ; -2.534677e+10 + i 4.571133e+10 ; -3.438485e+08 + i -1.080135e+09 ; -3.445705e+08 + i -1.083192e+09 ; -1.434873e+09 + i -7.308354e+08 ; 3.446559e+08 + i 1.141689e+09 ; 3.453883e+08 + i 1.141152e+09 ; -1.062482e+09 + i -1.502240e+09 ; 3.086686e+08 + i 2.704456e+08 ; 3.088849e+08 + i 2.695847e+08 ; -1.551233e+09 + i -2.000798e+09 ; -5.029655e+08 + i 4.286690e+08 ; 2.592623e+08 + i 2.160528e+09 ; -2.521660e+08 + i -2.003638e+09 ; 5.655515e+07 + i 3.696401e+08 ; 4.274694e+08 + i 3.980468e+08 ; -1.552059e+09 + i -1.999420e+09 ; 2.587984e+08 + i 2.161388e+09 ; -5.016407e+08 + i 4.307485e+08 ; -2.527212e+08 + i -2.002708e+09 ; 4.278702e+08 + i 3.986865e+08 ; 5.811565e+07 + i 3.704172e+08 ; -4.021175e+08 + i -5.175349e+09 ; -8.076576e+08 + i 3.317924e+08 ; -8.084379e+08 + i 3.323809e+08 ; 1.264781e+09 + i -2.010945e+09 ; -4.434936e+07 + i 4.466747e+08 ; -4.446713e+07 + i 4.476940e+08 ; 
-1.180045e+09 + i -2.327114e+09 ; -2.873205e+09 + i 6.456357e+09 ; -1.062167e+09 + i -2.321815e+09 ; 7.042665e+08 + i -1.277726e+09 ; -9.923462e+09 + i 1.366201e+09 ; -3.660953e+08 + i -7.004911e+09 ; -6.709370e+08 + i 5.739892e+08 ; 2.006304e+09 + i 2.374281e+09 ; -5.698619e+08 + i 5.240601e+08 ; -8.417313e+08 + i -5.323766e+08 ; 2.311260e+09 + i 1.097314e+10 ; -1.774447e+09 + i 7.215323e+08 ; -4.660467e+08 + i -7.047419e+09 ; -1.002755e+10 + i 1.292324e+09 ; 8.689158e+08 + i -1.374132e+09 ; 3.198509e+09 + i -8.916377e+08 ; -1.038581e+09 + i -2.845379e+10 ; 3.404958e+09 + i -9.660017e+08 ; -1.870127e+09 + i 7.461908e+08 ; 2.215091e+09 + i 1.092790e+10 ; -7.829472e+08 + i -6.408942e+08 ; -5.238161e+08 + i -1.011518e+09 ; -2.573192e+10 + i 4.596959e+10 ; -4.567851e+08 + i -1.114330e+09 ; 4.365941e+08 + i 1.262943e+09 ; -6.089734e+08 + i 1.750254e+09 ; -3.001542e+08 + i -6.630443e+08 ; -2.321869e+08 + i 8.236803e+08 ; 3.527223e+08 + i 9.189062e+08 ; -1.991263e+08 + i -6.598663e+07 ; 4.780045e+08 + i -1.271653e+08 ; 3.943553e+08 + i 1.591845e+09 ; -3.010139e+08 + i 1.281396e+08 ; 4.701910e+08 + i 2.329836e+08 ; 3.030247e+08 + i 6.751878e+08 ; -1.187705e+08 + i 8.327305e+07 ; 2.131842e+08 + i 2.333036e+09 ; -1.422378e+09 + i 1.426400e+09 ; 6.297064e+07 + i -1.782269e+08 ; -7.071734e+08 + i 8.723894e+08 ; 1.550221e+08 + i 1.063518e+09 ; -8.808617e+07 + i -6.700624e+07 ; 5.471124e+08 + i -6.532473e+07 ; 2.408775e+08 + i 2.408997e+09 ; -2.580269e+08 + i -1.317273e+08 ; 3.907581e+08 + i 3.322571e+08 ; 3.271547e+08 + i 7.223774e+08 ; -1.740890e+08 + i 1.694323e+07 ; 
