-2.014301e+10 + i 5.542990e+09 ; -9.152102e+07 + i 1.951689e+07 ; -9.152834e+07 + i 1.953123e+07 ; 3.843894e+09 + i -1.998416e+09 ; 3.268452e+08 + i -1.297378e+08 ; 3.267817e+08 + i -1.297474e+08 ; -1.869535e+09 + i 9.259074e+08 ; -1.789931e+08 + i 6.769835e+07 ; -3.789365e+07 + i 1.646772e+07 ; -9.458308e+08 + i 2.838797e+08 ; 8.859307e+08 + i -4.968940e+08 ; 4.150879e+07 + i -3.329665e+07 ; -1.869485e+09 + i 9.259201e+08 ; -3.793381e+07 + i 1.643355e+07 ; -1.790164e+08 + i 6.768520e+07 ; -9.457625e+08 + i 2.839157e+08 ; 4.183126e+07 + i -3.325759e+07 ; 8.859446e+08 + i -4.968911e+08 ; -4.096317e+07 + i 1.580623e+08 ; -7.007076e+07 + i 3.665818e+07 ; -6.995324e+07 + i 3.667370e+07 ; -3.995971e+07 + i 1.201704e+08 ; 1.674213e+08 + i -1.256052e+08 ; 1.674277e+08 + i -1.256125e+08 ; 4.048993e+08 + i -1.705608e+08 ; -6.696797e+06 + i -4.428591e+05 ; -6.691198e+06 + i -4.424726e+05 ; 2.219502e+08 + i -8.118474e+07 ; -3.013777e+06 + i 1.277835e+06 ; -3.013404e+06 + i 1.278453e+06 ; 5.163031e+07 + i -6.001304e+07 ; 1.781958e+07 + i -1.853472e+07 ; -6.519847e+06 + i 1.231746e+06 ; 4.504004e+07 + i -4.247117e+07 ; 3.376721e+06 + i -3.480926e+06 ; -2.783901e+06 + i 1.287300e+06 ; 5.166391e+07 + i -6.000529e+07 ; -6.492504e+06 + i 1.231734e+06 ; 1.782190e+07 + i -1.853414e+07 ; 4.505412e+07 + i -4.246543e+07 ; -2.780161e+06 + i 1.286030e+06 ; 3.376065e+06 + i -3.481017e+06 ; -6.657710e+06 + i -1.170805e+07 ; 1.098453e+07 + i -1.161234e+07 ; 1.097879e+07 + i -1.161297e+07 ; 5.262429e+06 + i -1.492815e+07 ; 2.449669e+06 + i -2.632946e+06 ; 2.449845e+06 + i -2.632686e+06 ; 
8.202561e+07 + i -4.077670e+07 ; 8.163023e+07 + i -3.958145e+07 ; -4.312122e+07 + i 1.607923e+08 ; 4.125880e+07 + i -1.871540e+07 ; 2.115497e+08 + i -6.971640e+07 ; -1.865881e+09 + i 9.233658e+08 ; 2.127988e+08 + i -7.118819e+07 ; 4.211581e+07 + i -1.767402e+07 ; -1.881140e+09 + i 9.285958e+08 ; 1.061240e+08 + i -1.997938e+07 ; 1.058420e+08 + i -1.817255e+07 ; -2.014539e+10 + i 5.539819e+09 ; -1.829555e+08 + i 1.357297e+08 ; -1.925478e+08 + i 1.392361e+08 ; -4.294364e+07 + i 1.239457e+08 ; -1.947411e+07 + i 3.053404e+07 ; -1.055382e+09 + i 5.330013e+08 ; -9.449475e+08 + i 2.865387e+08 ; -1.042836e+09 + i 5.294469e+08 ; -3.659736e+07 + i 3.734948e+07 ; -9.584055e+08 + i 2.907072e+08 ; -3.629662e+08 + i 1.246440e+08 ; -3.886907e+08 + i 1.339772e+08 ; 3.825112e+09 + i -1.992861e+09 ; -4.661703e+07 + i 2.048147e+07 ; 3.867971e+07 + i -1.454291e+07 ; -1.397603e+08 + i 9.488264e+07 ; -3.488016e+07 + i 1.332679e+07 ; 7.984288e+06 + i -4.694386e+06 ; -1.943850e+07 + i 1.838586e+07 ; -7.899545e+07 + i 2.932591e+07 ; 2.423011e+07 + i -7.060499e+06 ; -3.584690e+08 + i 1.827803e+08 ; -5.405217e+07 + i 1.580471e+07 ; 5.685230e+06 + i -3.166658e+06 ; -2.063875e+07 + i 2.590180e+07 ; 1.329232e+08 + i -7.649897e+07 ; -7.337660e+07 + i 4.162896e+07 ; -1.066112e+08 + i 6.709857e+07 ; 7.929847e+07 + i -4.180372e+07 ; 6.287401e+05 + i 2.543517e+06 ; -1.909365e+07 + i 1.734968e+07 ; 2.929920e+08 + i -1.579704e+08 ; -1.758957e+07 + i 6.630397e+06 ; -2.453007e+08 + i 1.022437e+08 ; 1.603244e+08 + i -7.291112e+07 ; 4.828711e+06 + i -8.947014e+05 ; -2.451561e+07 + i 2.611766e+07 ; 
-1.873359e+09 + i 9.252706e+08 ; -3.892794e+07 + i 1.667507e+07 ; 1.853364e+08 + i -6.985608e+07 ; -9.485079e+08 + i 2.840025e+08 ; 4.005178e+07 + i -3.389169e+07 ; -1.007444e+09 + i 5.283494e+08 ; -4.078293e+07 + i 1.584115e+08 ; -7.252164e+07 + i 3.722326e+07 ; 7.934842e+07 + i -3.832591e+07 ; -4.010104e+07 + i 1.203867e+08 ; 1.732099e+08 + i -1.279382e+08 ; -1.905985e+08 + i 1.351671e+08 ; -2.014535e+10 + i 5.542295e+09 ; -9.268023e+07 + i 1.929855e+07 ; 9.595153e+07 + i -1.978466e+07 ; 3.842673e+09 + i -1.998533e+09 ; 3.335872e+08 + i -1.305276e+08 ; -3.545997e+08 + i 1.342980e+08 ; -1.870177e+09 + i 9.261915e+08 ; -1.819576e+08 + i 6.758691e+07 ; 4.244494e+07 + i -1.688352e+07 ; -9.465526e+08 + i 2.841286e+08 ; 9.144696e+08 + i -5.048843e+08 ; -4.476066e+07 + i 3.537281e+07 ; 5.251849e+07 + i -5.990817e+07 ; -6.948903e+06 + i 1.243965e+06 ; -2.068386e+07 + i 2.005110e+07 ; 4.552177e+07 + i -4.236422e+07 ; -2.935436e+06 + i 1.316180e+06 ; -3.884810e+06 + i 3.770246e+06 ; -6.437351e+06 + i -1.173211e+07 ; 1.125716e+07 + i -1.186024e+07 ; -1.254741e+07 + i 1.259209e+07 ; 5.430945e+06 + i -1.493299e+07 ; 2.503074e+06 + i -2.683314e+06 ; -2.761580e+06 + i 2.849272e+06 ; 4.049299e+08 + i -1.705627e+08 ; -6.774522e+06 + i -4.618949e+05 ; 7.784540e+06 + i 6.045745e+05 ; 2.219412e+08 + i -8.118027e+07 ; -3.080809e+06 + i 1.302161e+06 ; 3.507435e+06 + i -1.351228e+06 ; 5.171925e+07 + i -6.000197e+07 ; 1.858927e+07 + i -1.890482e+07 ; 7.783616e+06 + i -1.228745e+06 ; 4.506770e+07 + i -4.245470e+07 ; 3.533531e+06 + i -3.550020e+06 ; 3.298229e+06 + i -1.371058e+06 ; 
-3.739910e+07 + i 1.550270e+07 ; -1.882652e+09 + i 9.299546e+08 ; 1.852494e+08 + i -6.972003e+07 ; -7.087551e+07 + i 3.569203e+07 ; -4.309507e+07 + i 1.604982e+08 ; 7.875934e+07 + i -3.810143e+07 ; 4.601821e+07 + i -3.619855e+07 ; -9.637041e+08 + i 2.921169e+08 ; -1.008383e+09 + i 5.292331e+08 ; 1.841715e+08 + i -1.324670e+08 ; -4.345372e+07 + i 1.240505e+08 ; -1.916028e+08 + i 1.359323e+08 ; -9.042682e+07 + i 1.792872e+07 ; -2.016601e+10 + i 5.547288e+09 ; 9.583390e+07 + i -1.965467e+07 ; -1.790751e+08 + i 6.561556e+07 ; -1.878358e+09 + i 9.292702e+08 ; 4.181629e+07 + i -1.665822e+07 ; 3.415946e+08 + i -1.330063e+08 ; 3.804860e+09 + i -1.987580e+09 ; -3.547562e+08 + i 1.347326e+08 ; 9.296552e+08 + i -5.101564e+08 ; -9.592055e+08 + i 2.909005e+08 ; -4.525952e+07 + i 3.582193e+07 ; -1.349518e+07 + i 2.550710e+06 ; -1.965316e+07 + i 1.840556e+07 ; 1.189065e+07 + i -5.596271e+06 ; -7.656757e+06 + i 3.469587e+05 ; -9.601464e+06 + i 7.639165e+06 ; 3.122946e+06 + i -1.843692e+06 ; 8.055277e+07 + i -4.367299e+07 ; -1.907757e+07 + i 1.738161e+07 ; -4.591990e+06 + i 4.150874e+06 ; 5.022913e+07 + i -2.494841e+07 ; -8.806680e+06 + i 6.993804e+06 ; 3.929191e+05 + i 2.254232e+05 ; -1.125818e+07 + i -6.408389e+05 ; -2.110020e+07 + i 2.584261e+07 ; 8.356082e+06 + i -3.642802e+06 ; -6.012064e+06 + i -1.762778e+06 ; -1.276133e+07 + i 9.170153e+06 ; 2.432344e+06 + i -1.403665e+06 ; 1.472958e+08 + i -6.745315e+07 ; -2.459650e+07 + i 2.611246e+07 ; 4.622875e+06 + i -1.752109e+06 ; 8.424300e+07 + i -3.373658e+07 ; -1.133764e+07 + i 8.250942e+06 ; 2.099228e+06 + i -9.768605e+05 ; 
-3.276892e+08 + i 1.335198e+08 ; -3.196503e+08 + i 1.314902e+08 ; 3.807749e+09 + i -1.987049e+09 ; -9.284812e+08 + i 5.108116e+08 ; -4.227775e+07 + i 3.396498e+07 ; -9.606624e+08 + i 2.908496e+08 ; -4.810610e+07 + i 3.580320e+07 ; -9.140721e+08 + i 5.063825e+08 ; -9.628324e+08 + i 2.921868e+08 ; -1.833966e+08 + i 1.326159e+08 ; -1.733828e+08 + i 1.287877e+08 ; -4.314975e+07 + i 1.241727e+08 ; 8.770189e+07 + i -1.873136e+07 ; 8.991142e+07 + i -1.996181e+07 ; -2.016567e+10 + i 5.547388e+09 ; 1.635876e+08 + i -6.647248e+07 ; 3.717500e+07 + i -1.640838e+07 ; -1.877326e+09 + i 9.289870e+08 ; 3.612555e+07 + i -1.545992e+07 ; 1.665971e+08 + i -6.825525e+07 ; -1.879348e+09 + i 9.303648e+08 ; 6.970123e+07 + i -3.539767e+07 ; 7.093495e+07 + i -3.669214e+07 ; -4.320468e+07 + i 1.601182e+08 ; -1.479199e+08 + i 6.751251e+07 ; 4.026115e+06 + i -1.716169e+06 ; -2.533026e+07 + i 2.604030e+07 ; -8.468798e+07 + i 3.376329e+07 ; 1.861630e+06 + i -9.376220e+05 ; -1.136857e+07 + i 8.264988e+06 ; -8.056722e+07 + i 4.375727e+07 ; -4.277614e+06 + i 3.883551e+06 ; -1.943658e+07 + i 1.737941e+07 ; -5.030613e+07 + i 2.501660e+07 ; 3.407211e+05 + i 2.014781e+05 ; -8.847086e+06 + i 6.999913e+06 ; 9.596347e+06 + i 4.044750e+05 ; 7.646259e+06 + i -3.503673e+06 ; -2.116043e+07 + i 2.584685e+07 ; 5.108937e+06 + i 1.606651e+06 ; 2.216479e+06 + i -1.338411e+06 ; -1.278219e+07 + i 9.181991e+06 ; 1.285410e+07 + i -2.577495e+06 ; 1.082363e+07 + i -5.369029e+06 ; -1.972746e+07 + i 1.838857e+07 ; 7.271865e+06 + i -3.639531e+05 ; 2.847392e+06 + i -1.754417e+06 ; -9.628626e+06 + i 7.646120e+06 ; 
-9.572734e+08 + i 2.838314e+08 ; -4.212660e+07 + i 3.604998e+07 ; 1.057638e+09 + i -5.353326e+08 ; -1.855738e+09 + i 9.165239e+08 ; 3.141308e+07 + i -1.374316e+07 ; -1.347058e+08 + i 6.294444e+07 ; -4.027878e+07 + i 1.208933e+08 ; -1.798976e+08 + i 1.318465e+08 ; 2.024912e+08 + i -1.389883e+08 ; -3.929090e+07 + i 1.548294e+08 ; 6.323283e+07 + i -3.284560e+07 ; -6.823752e+07 + i 3.273077e+07 ; 3.841477e+09 + i -1.998616e+09 ; -3.457436e+08 + i 1.327975e+08 ; 3.287851e+08 + i -1.346680e+08 ; -2.009560e+10 + i 5.523590e+09 ; 8.542482e+07 + i -1.606454e+07 ; -9.429474e+07 + i 1.507494e+07 ; -9.463767e+08 + i 2.846152e+08 ; -9.438663e+08 + i 5.136378e+08 ; 4.740617e+07 + i -3.643058e+07 ; -1.857009e+09 + i 9.166634e+08 ; 1.739475e+08 + i -6.226374e+07 ; -3.570259e+07 + i 1.351234e+07 ; 5.266272e+07 + i -7.782650e+07 ; 3.490780e+07 + i -2.039544e+07 ; -3.073088e+08 + i 1.572500e+08 ; 5.335664e+07 + i -5.990997e+07 ; -2.522316e+06 + i -1.330611e+06 ; -9.930770e+06 + i 1.684254e+07 ; -3.353133e+07 + i 2.883619e+06 ; 1.119734e+08 + i -7.261956e+07 ; -1.282942e+08 + i 7.647737e+07 ; -5.835986e+06 + i -1.179297e+07 ; 9.482650e+06 + i -1.067123e+07 ; -1.151610e+07 + i 1.158475e+07 ; 7.659453e+08 + i -3.828095e+08 ; 9.826256e+07 + i -4.101507e+07 ; -1.219691e+08 + i 4.186070e+07 ; 4.047862e+08 + i -1.705223e+08 ; -5.098207e+06 + i -3.678136e+06 ; 4.515348e+06 + i 4.608716e+06 ; 4.970460e+07 + i -7.778766e+07 ; 2.680193e+08 + i -1.510122e+08 ; -4.377776e+07 + i 2.155553e+07 ; 5.167951e+07 + i -6.002015e+07 ; 7.718968e+06 + i -1.520931e+07 ; 1.789673e+06 + i 1.709684e+06 ; 
8.386976e+07 + i -4.022520e+07 ; -4.292623e+07 + i 1.607795e+08 ; 8.410949e+07 + i -3.861532e+07 ; 4.216986e+07 + i -1.820424e+07 ; -1.865372e+09 + i 9.234524e+08 ; 1.942555e+08 + i -7.029044e+07 ; -1.906148e+08 + i 1.345619e+08 ; -4.307991e+07 + i 1.241231e+08 ; -1.941774e+08 + i 1.384309e+08 ; -2.454135e+07 + i 2.923812e+07 ; -9.478399e+08 + i 2.865191e+08 ; -1.048050e+09 + i 5.341445e+08 ; 2.065954e+08 + i -7.032100e+07 ; -1.881259e+09 + i 9.287393e+08 ; 4.345262e+07 + i -1.689939e+07 ; 1.031465e+08 + i -2.028715e+07 ; -2.014595e+10 + i 5.539602e+09 ; 9.957072e+07 + i -1.922983e+07 ; -1.038221e+09 + i 5.310732e+08 ; -9.586565e+08 + i 2.910459e+08 ; -4.119941e+07 + i 3.599438e+07 ; -3.507013e+08 + i 1.246376e+08 ; 3.824135e+09 + i -1.993135e+09 ; -3.715973e+08 + i 1.344517e+08 ; -4.717622e+07 + i 2.064803e+07 ; -1.398086e+08 + i 9.486239e+07 ; 3.859167e+07 + i -1.449699e+07 ; -3.526686e+07 + i 1.342195e+07 ; -1.944041e+07 + i 1.839027e+07 ; 8.021682e+06 + i -4.687960e+06 ; 1.319519e+08 + i -7.688504e+07 ; -1.066979e+08 + i 6.708589e+07 ; -7.314342e+07 + i 4.166786e+07 ; 7.882365e+07 + i -4.203763e+07 ; -1.905783e+07 + i 1.735136e+07 ; 6.476216e+05 + i 2.541702e+06 ; -8.021386e+07 + i 2.961170e+07 ; -3.584221e+08 + i 1.827787e+08 ; 2.413195e+07 + i -7.045961e+06 ; -5.472226e+07 + i 1.591512e+07 ; -2.063149e+07 + i 2.590332e+07 ; 5.709009e+06 + i -3.160614e+06 ; 2.940409e+08 + i -1.580131e+08 ; -2.450573e+08 + i 1.022157e+08 ; -1.730968e+07 + i 6.652903e+06 ; 1.607812e+08 + i -7.287316e+07 ; -2.445383e+07 + i 2.611105e+07 ; 4.849822e+06 + i -8.945744e+05 ; 
1.044008e+09 + i -5.304829e+08 ; -4.578303e+07 + i 3.383459e+07 ; -9.697995e+08 + i 2.905242e+08 ; 2.989728e+08 + i -1.236313e+08 ; -3.294267e+08 + i 1.327475e+08 ; 3.822546e+09 + i -1.993216e+09 ; 1.898019e+08 + i -1.350444e+08 ; -1.789219e+08 + i 1.306000e+08 ; -4.320018e+07 + i 1.247494e+08 ; 3.037760e+07 + i -2.858091e+07 ; -9.386806e+08 + i 5.124060e+08 ; -9.474387e+08 + i 2.868496e+08 ; -1.497737e+08 + i 6.993436e+07 ; 3.947226e+07 + i -1.657505e+07 ; -1.876264e+09 + i 9.290247e+08 ; -1.054104e+08 + i 2.015347e+07 ; 9.219353e+07 + i -2.005819e+07 ; -2.014301e+10 + i 5.540493e+09 ; -8.056180e+07 + i 3.914352e+07 ; 7.682746e+07 + i -3.673668e+07 ; -4.280098e+07 + i 1.601148e+08 ; -4.002409e+07 + i 1.828790e+07 ; 1.726027e+08 + i -6.952687e+07 ; -1.862277e+09 + i 9.236182e+08 ; -2.918184e+08 + i 1.575851e+08 ; -1.201638e+07 + i 6.494040e+06 ; -2.424061e+08 + i 1.020857e+08 ; -1.591559e+08 + i 7.261411e+07 ; 4.658837e+06 + i -1.049766e+06 ; -2.423702e+07 + i 2.604624e+07 ; -1.304900e+08 + i 7.655562e+07 ; -6.236099e+07 + i 3.984830e+07 ; -1.058682e+08 + i 6.698252e+07 ; -7.762834e+07 + i 4.185259e+07 ; 9.717349e+05 + i 2.191236e+06 ; -1.891363e+07 + i 1.731353e+07 ; 9.165545e+07 + i -2.967407e+07 ; 2.089245e+07 + i -7.179937e+06 ; -3.588887e+08 + i 1.827085e+08 ; 6.079527e+07 + i -1.556888e+07 ; 4.834037e+06 + i -3.018966e+06 ; -2.091681e+07 + i 2.586223e+07 ; 5.117353e+07 + i -2.098057e+07 ; 3.396845e+07 + i -1.431471e+07 ; -1.400020e+08 + i 9.482553e+07 ; 3.775319e+07 + i -1.357947e+07 ; 6.940756e+06 + i -4.462597e+06 ; -1.969282e+07 + i 1.836866e+07 ; 
-4.054724e+07 + i 1.587712e+08 ; 8.542604e+07 + i -3.826723e+07 ; 8.544235e+07 + i -3.826858e+07 ; -3.995303e+07 + i 1.204809e+08 ; -1.996344e+08 + i 1.371413e+08 ; -1.995811e+08 + i 1.371594e+08 ; -1.872967e+09 + i 9.255895e+08 ; 4.371169e+07 + i -1.685333e+07 ; 1.918217e+08 + i -6.977943e+07 ; -9.478886e+08 + i 2.841116e+08 ; -4.334301e+07 + i 3.507634e+07 ; -1.047617e+09 + i 5.353922e+08 ; -1.872919e+09 + i 9.256006e+08 ; 1.918068e+08 + i -6.978567e+07 ; 4.370008e+07 + i -1.683741e+07 ; -9.478394e+08 + i 2.841442e+08 ; -1.047575e+09 + i 5.354237e+08 ; -4.361768e+07 + i 3.503335e+07 ; -2.014744e+10 + i 5.541703e+09 ; 9.848907e+07 + i -1.951581e+07 ; 9.845769e+07 + i -1.948947e+07 ; 3.841733e+09 + i -1.998579e+09 ; -3.640285e+08 + i 1.348170e+08 ; -3.641592e+08 + i 1.347713e+08 ; -6.399702e+06 + i -1.180648e+07 ; -1.289140e+07 + i 1.286362e+07 ; -1.289271e+07 + i 1.286188e+07 ; 5.513302e+06 + i -1.496923e+07 ; -2.826899e+06 + i 2.903726e+06 ; -2.825709e+06 + i 2.904223e+06 ; 5.252758e+07 + i -5.992461e+07 ; 8.368026e+06 + i -1.230008e+06 ; -2.193355e+07 + i 2.047305e+07 ; 4.553540e+07 + i -4.236680e+07 ; 3.514494e+06 + i -1.394590e+06 ; -4.175330e+06 + i 3.853547e+06 ; 5.256101e+07 + i -5.991673e+07 ; -2.193948e+07 + i 2.047287e+07 ; 8.342282e+06 + i -1.234260e+06 ; 4.554863e+07 + i -4.236128e+07 ; -4.174460e+06 + i 3.853617e+06 ; 3.511336e+06 + i -1.393572e+06 ; 4.050316e+08 + i -1.705645e+08 ; 7.738006e+06 + i 6.647007e+05 ; 7.755870e+06 + i 6.644473e+05 ; 2.219791e+08 + i -8.117172e+07 ; 3.537201e+06 + i -1.363619e+06 ; 3.538042e+06 + i -1.362905e+06 ; 
-4.922762e+07 + i 3.621799e+07 ; -9.719117e+08 + i 2.920937e+08 ; 1.058148e+09 + i -5.348366e+08 ; -1.896914e+08 + i 1.345163e+08 ; -4.387269e+07 + i 1.246964e+08 ; 2.016941e+08 + i -1.385751e+08 ; 3.824525e+07 + i -1.549354e+07 ; -1.879107e+09 + i 9.303152e+08 ; -1.503043e+08 + i 6.790655e+07 ; 7.470635e+07 + i -3.535872e+07 ; -4.293119e+07 + i 1.601151e+08 ; -8.016928e+07 + i 3.776659e+07 ; -3.391251e+08 + i 1.348889e+08 ; 3.802934e+09 + i -1.987604e+09 ; 3.253444e+08 + i -1.333020e+08 ; -9.556914e+08 + i 5.174407e+08 ; -9.612103e+08 + i 2.912944e+08 ; 4.556186e+07 + i -3.573224e+07 ; 9.058003e+07 + i -1.862758e+07 ; -2.016469e+10 + i 5.547588e+09 ; -1.063845e+08 + i 1.812077e+07 ; 1.712763e+08 + i -6.704307e+07 ; -1.876936e+09 + i 9.290518e+08 ; -4.333426e+07 + i 1.705875e+07 ; -8.300002e+07 + i 4.428079e+07 ; -1.932914e+07 + i 1.741987e+07 ; 4.591151e+06 + i -4.266738e+06 ; -5.177383e+07 + i 2.527566e+07 ; -8.823844e+06 + i 7.000710e+06 ; -4.328353e+05 + i -2.286144e+05 ; 1.367509e+07 + i -2.463800e+06 ; -1.962601e+07 + i 1.841603e+07 ; -1.243401e+07 + i 5.640657e+06 ; 7.714184e+06 + i -2.630890e+05 ; -9.607621e+06 + i 7.644781e+06 ; -3.281793e+06 + i 1.868546e+06 ; -1.518882e+08 + i 6.822568e+07 ; -2.530605e+07 + i 2.607362e+07 ; -5.199451e+06 + i 1.729892e+06 ; -8.688676e+07 + i 3.405310e+07 ; -1.136135e+07 + i 8.267436e+06 ; -2.216347e+06 + i 9.996658e+05 ; 1.037991e+07 + i 5.373693e+05 ; -2.110628e+07 + i 2.586320e+07 ; -8.810148e+06 + i 3.662816e+06 ; 5.548428e+06 + i 1.724681e+06 ; -1.275845e+07 + i 9.181380e+06 ; -2.561510e+06 + i 1.423622e+06 ; 
-4.925086e+07 + i 3.624063e+07 ; 1.058147e+09 + i -5.348436e+08 ; -9.719337e+08 + i 2.920712e+08 ; -1.896940e+08 + i 1.345104e+08 ; 2.016920e+08 + i -1.385818e+08 ; -4.388347e+07 + i 1.246809e+08 ; -3.392090e+08 + i 1.348851e+08 ; 3.253859e+08 + i -1.332975e+08 ; 3.803601e+09 + i -1.987464e+09 ; -9.556810e+08 + i 5.174416e+08 ; 4.558802e+07 + i -3.572603e+07 ; -9.610380e+08 + i 2.912173e+08 ; 3.825198e+07 + i -1.547504e+07 ; -1.501985e+08 + i 6.793070e+07 ; -1.877990e+09 + i 9.304635e+08 ; 7.481684e+07 + i -3.534738e+07 ; -8.012918e+07 + i 3.776626e+07 ; -4.288819e+07 + i 1.600429e+08 ; 9.037601e+07 + i -1.862812e+07 ; -1.063857e+08 + i 1.812221e+07 ; -2.016443e+10 + i 5.547727e+09 ; 1.713086e+08 + i -6.703409e+07 ; -4.333338e+07 + i 1.705793e+07 ; -1.876868e+09 + i 9.289545e+08 ; -8.299237e+07 + i 4.427513e+07 ; 4.588682e+06 + i -4.267779e+06 ; -1.932683e+07 + i 1.741417e+07 ; -5.177099e+07 + i 2.527325e+07 ; -4.340670e+05 + i -2.289195e+05 ; -8.823304e+06 + i 6.999818e+06 ; -1.518901e+08 + i 6.822747e+07 ; -5.194832e+06 + i 1.730636e+06 ; -2.528060e+07 + i 2.607039e+07 ; -8.688637e+07 + i 3.405463e+07 ; -2.214679e+06 + i 9.997466e+05 ; -1.135785e+07 + i 8.265751e+06 ; 1.370886e+07 + i -2.464322e+06 ; -1.243147e+07 + i 5.640789e+06 ; -1.963238e+07 + i 1.840725e+07 ; 7.739557e+06 + i -2.605795e+05 ; -3.282406e+06 + i 1.868243e+06 ; -9.612864e+06 + i 7.644415e+06 ; 1.039553e+07 + i 5.320267e+05 ; -8.808302e+06 + i 3.663651e+06 ; -2.109527e+07 + i 2.586030e+07 ; 5.552173e+06 + i 1.722880e+06 ; -2.560364e+06 + i 1.423617e+06 ; -1.276341e+07 + i 9.180700e+06 ; 
-4.028524e+07 + i 1.215622e+08 ; 2.083667e+08 + i -1.414688e+08 ; 2.083051e+08 + i -1.414879e+08 ; -3.843808e+07 + i 1.549868e+08 ; -8.027791e+07 + i 3.180106e+07 ; -8.029640e+07 + i 3.180108e+07 ; -9.564025e+08 + i 2.842210e+08 ; 5.056253e+07 + i -3.593645e+07 ; 1.095428e+09 + i -5.408990e+08 ; -1.855294e+09 + i 9.165937e+08 ; -3.475762e+07 + i 1.418469e+07 ; -1.433650e+08 + i 6.321821e+07 ; -9.564318e+08 + i 2.842328e+08 ; 1.095392e+09 + i -5.409353e+08 ; 5.088017e+07 + i -3.588542e+07 ; -1.855106e+09 + i 9.166252e+08 ; -1.433627e+08 + i 6.321269e+07 ; -3.472875e+07 + i 1.417219e+07 ; 3.836403e+09 + i -1.999232e+09 ; 3.403039e+08 + i -1.355771e+08 ; 3.404473e+08 + i -1.355325e+08 ; -2.009498e+10 + i 5.523721e+09 ; -9.682255e+07 + i 1.473310e+07 ; -9.676191e+07 + i 1.471566e+07 ; -3.307553e+07 + i 2.702399e+06 ; -1.292527e+08 + i 7.790388e+07 ; -1.292317e+08 + i 7.790807e+07 ; -5.456279e+06 + i -1.188802e+07 ; -1.148781e+07 + i 1.171319e+07 ; -1.147963e+07 + i 1.171361e+07 ; 5.233531e+07 + i -7.785858e+07 ; -3.979486e+07 + i 2.217993e+07 ; -3.179892e+08 + i 1.589763e+08 ; 5.317574e+07 + i -5.993170e+07 ; 2.333613e+06 + i 1.646081e+06 ; -1.037462e+07 + i 1.724091e+07 ; 5.240041e+07 + i -7.786005e+07 ; -3.179887e+08 + i 1.589852e+08 ; -3.988165e+07 + i 2.216350e+07 ; 5.320738e+07 + i -5.993047e+07 ; -1.036958e+07 + i 1.724192e+07 ; 2.307024e+06 + i 1.647051e+06 ; 7.660447e+08 + i -3.828474e+08 ; -1.251482e+08 + i 4.197622e+07 ; -1.251784e+08 + i 4.196019e+07 ; 4.047857e+08 + i -1.705294e+08 ; 4.660937e+06 + i 4.770364e+06 ; 4.635420e+06 + i 4.771595e+06 ; 
1.970625e+08 + i -1.368337e+08 ; -4.372480e+07 + i 1.252119e+08 ; 2.068295e+08 + i -1.403425e+08 ; 3.184704e+07 + i -2.792060e+07 ; -9.559074e+08 + i 2.867444e+08 ; 1.092085e+09 + i -5.388805e+08 ; -9.360659e+07 + i 3.803090e+07 ; -4.216838e+07 + i 1.602624e+08 ; -9.351809e+07 + i 3.680504e+07 ; -4.300926e+07 + i 1.840272e+07 ; -1.861704e+09 + i 9.236278e+08 ; -1.597912e+08 + i 6.915271e+07 ; 1.079376e+09 + i -5.353681e+08 ; -9.695781e+08 + i 2.909503e+08 ; 4.930206e+07 + i -3.479551e+07 ; 3.118515e+08 + i -1.247584e+08 ; 3.818201e+09 + i -1.993757e+09 ; 3.380209e+08 + i -1.341071e+08 ; -1.605328e+08 + i 7.072812e+07 ; -1.875762e+09 + i 9.291721e+08 ; -4.441428e+07 + i 1.730604e+07 ; -1.076741e+08 + i 2.005512e+07 ; -2.014226e+10 + i 5.540596e+09 ; -1.082834e+08 + i 1.808831e+07 ; -1.362219e+08 + i 7.756132e+07 ; -1.061915e+08 + i 6.706055e+07 ; 7.527416e+07 + i -4.223497e+07 ; -8.107100e+07 + i 4.229762e+07 ; -1.882937e+07 + i 1.733778e+07 ; -7.118806e+05 + i -2.611096e+06 ; 5.054024e+07 + i -2.133531e+07 ; -1.400308e+08 + i 9.483387e+07 ; -3.964696e+07 + i 1.443267e+07 ; 3.778651e+07 + i -1.377518e+07 ; -1.962373e+07 + i 1.838249e+07 ; -8.356478e+06 + i 4.742845e+06 ; -3.021314e+08 + i 1.593118e+08 ; -2.425348e+08 + i 1.021095e+08 ; 1.690269e+07 + i -6.659801e+06 ; -1.647142e+08 + i 7.318021e+07 ; -2.421076e+07 + i 2.605375e+07 ; -5.081171e+06 + i 8.908616e+05 ; 9.287557e+07 + i -2.962866e+07 ; -3.586908e+08 + i 1.827216e+08 ; -2.495259e+07 + i 6.979117e+06 ; 6.174204e+07 + i -1.546697e+07 ; -2.082780e+07 + i 2.586502e+07 ; -5.954399e+06 + i 3.193415e+06 ; 
