-2.014301e+10 + i 5.542990e+09 ; -9.152102e+07 + i 1.951689e+07 ; -9.152834e+07 + i 1.953123e+07 ; 3.843894e+09 + i -1.998416e+09 ; 3.268452e+08 + i -1.297378e+08 ; 3.267817e+08 + i -1.297474e+08 ; -1.869535e+09 + i 9.259074e+08 ; -1.789931e+08 + i 6.769835e+07 ; -3.789365e+07 + i 1.646772e+07 ; -9.458308e+08 + i 2.838797e+08 ; 8.859307e+08 + i -4.968940e+08 ; 4.150879e+07 + i -3.329665e+07 ; -1.869485e+09 + i 9.259201e+08 ; -3.793381e+07 + i 1.643355e+07 ; -1.790164e+08 + i 6.768520e+07 ; -9.457625e+08 + i 2.839157e+08 ; 4.183126e+07 + i -3.325759e+07 ; 8.859446e+08 + i -4.968911e+08 ; -4.096317e+07 + i 1.580623e+08 ; -7.007076e+07 + i 3.665818e+07 ; -6.995324e+07 + i 3.667370e+07 ; -3.995971e+07 + i 1.201704e+08 ; 1.674213e+08 + i -1.256052e+08 ; 1.674277e+08 + i -1.256125e+08 ; 4.048993e+08 + i -1.705608e+08 ; -6.696797e+06 + i -4.428591e+05 ; -6.691198e+06 + i -4.424726e+05 ; 2.219502e+08 + i -8.118474e+07 ; -3.013777e+06 + i 1.277835e+06 ; -3.013404e+06 + i 1.278453e+06 ; 5.163031e+07 + i -6.001304e+07 ; 1.781958e+07 + i -1.853472e+07 ; -6.519847e+06 + i 1.231746e+06 ; 4.504004e+07 + i -4.247117e+07 ; 3.376721e+06 + i -3.480926e+06 ; -2.783901e+06 + i 1.287300e+06 ; 5.166391e+07 + i -6.000529e+07 ; -6.492504e+06 + i 1.231734e+06 ; 1.782190e+07 + i -1.853414e+07 ; 4.505412e+07 + i -4.246543e+07 ; -2.780161e+06 + i 1.286030e+06 ; 3.376065e+06 + i -3.481017e+06 ; -6.657710e+06 + i -1.170805e+07 ; 1.098453e+07 + i -1.161234e+07 ; 1.097879e+07 + i -1.161297e+07 ; 5.262429e+06 + i -1.492815e+07 ; 2.449669e+06 + i -2.632946e+06 ; 2.449845e+06 + i -2.632686e+06 ; 
-8.935782e+07 + i 1.817289e+07 ; -2.016360e+10 + i 5.547963e+09 ; -9.145068e+07 + i 1.942035e+07 ; -1.762479e+08 + i 6.576561e+07 ; -1.877994e+09 + i 9.289547e+08 ; -3.740565e+07 + i 1.623836e+07 ; 3.345762e+08 + i -1.322095e+08 ; 3.806029e+09 + i -1.987443e+09 ; 3.269028e+08 + i -1.301438e+08 ; 9.006186e+08 + i -5.021287e+08 ; -9.587403e+08 + i 2.906268e+08 ; 4.191028e+07 + i -3.370812e+07 ; -3.647538e+07 + i 1.528036e+07 ; -1.878786e+09 + i 9.305813e+08 ; -1.789120e+08 + i 6.756405e+07 ; -6.850890e+07 + i 3.516074e+07 ; -4.327659e+07 + i 1.601431e+08 ; -6.942388e+07 + i 3.645624e+07 ; 4.762060e+07 + i -3.553765e+07 ; -9.608208e+08 + i 2.920794e+08 ; 8.867757e+08 + i -4.977122e+08 ; 1.780149e+08 + i -1.300860e+08 ; -4.334176e+07 + i 1.238298e+08 ; 1.683649e+08 + i -1.263180e+08 ; -1.115065e+07 + i -4.791048e+05 ; -2.109354e+07 + i 2.581658e+07 ; -7.433935e+06 + i 3.462469e+06 ; -5.955134e+06 + i -1.640135e+06 ; -1.276601e+07 + i 9.167387e+06 ; -2.143195e+06 + i 1.318710e+06 ; 1.426174e+08 + i -6.651032e+07 ; -2.458311e+07 + i 2.608641e+07 ; -3.803353e+06 + i 1.675839e+06 ; 8.159258e+07 + i -3.333068e+07 ; -1.134716e+07 + i 8.247823e+06 ; -1.790312e+06 + i 9.175814e+05 ; -1.324043e+07 + i 2.608228e+06 ; -1.972635e+07 + i 1.837700e+07 ; -1.047086e+07 + i 5.295399e+06 ; -7.546841e+06 + i 4.092878e+05 ; -9.627656e+06 + i 7.638569e+06 ; -2.747094e+06 + i 1.726409e+06 ; 7.769894e+07 + i -4.299286e+07 ; -1.909651e+07 + i 1.734885e+07 ; 4.211427e+06 + i -3.816082e+06 ; 4.846602e+07 + i -2.459861e+07 ; -8.812474e+06 + i 6.990531e+06 ; -3.188261e+05 + i -1.987903e+05 ; 
-8.941361e+07 + i 1.818374e+07 ; -9.144888e+07 + i 1.942317e+07 ; -2.016384e+10 + i 5.547910e+09 ; -1.762571e+08 + i 6.575829e+07 ; -3.740334e+07 + i 1.624142e+07 ; -1.877974e+09 + i 9.290148e+08 ; -3.646595e+07 + i 1.529868e+07 ; -1.790105e+08 + i 6.754094e+07 ; -1.880011e+09 + i 9.303807e+08 ; -6.838990e+07 + i 3.517759e+07 ; -6.945993e+07 + i 3.645383e+07 ; -4.317210e+07 + i 1.602923e+08 ; 3.345961e+08 + i -1.321972e+08 ; 3.268416e+08 + i -1.301601e+08 ; 3.805459e+09 + i -1.987510e+09 ; 9.006440e+08 + i -5.021226e+08 ; 4.187013e+07 + i -3.371125e+07 ; -9.589163e+08 + i 2.906304e+08 ; 4.741060e+07 + i -3.554110e+07 ; 8.867581e+08 + i -4.977218e+08 ; -9.609730e+08 + i 2.920013e+08 ; 1.779377e+08 + i -1.300956e+08 ; 1.683491e+08 + i -1.263162e+08 ; -4.328870e+07 + i 1.238872e+08 ; -1.114414e+07 + i -4.842753e+05 ; -7.434861e+06 + i 3.462524e+06 ; -2.109695e+07 + i 2.582216e+07 ; -5.953202e+06 + i -1.642285e+06 ; -2.143534e+06 + i 1.318882e+06 ; -1.276134e+07 + i 9.168106e+06 ; -1.321074e+07 + i 2.607669e+06 ; -1.047199e+07 + i 5.295747e+06 ; -1.972739e+07 + i 1.838016e+07 ; -7.524424e+06 + i 4.115079e+05 ; -2.746330e+06 + i 1.726642e+06 ; -9.621840e+06 + i 7.639306e+06 ; 1.426134e+08 + i -6.650832e+07 ; -3.808421e+06 + i 1.675403e+06 ; -2.460562e+07 + i 2.609121e+07 ; 8.159114e+07 + i -3.332918e+07 ; -1.791630e+06 + i 9.177768e+05 ; -1.135183e+07 + i 8.249378e+06 ; 7.770264e+07 + i -4.300086e+07 ; 4.213147e+06 + i -3.815642e+06 ; -1.910503e+07 + i 1.734984e+07 ; 4.846366e+07 + i -2.460211e+07 ; -3.175784e+05 + i -1.984585e+05 ; -8.814885e+06 + i 6.992007e+06 ; 
3.847052e+09 + i -1.997870e+09 ; -3.387878e+08 + i 1.323742e+08 ; -3.386939e+08 + i 1.323943e+08 ; -2.009652e+10 + i 5.523416e+09 ; 8.370192e+07 + i -1.618733e+07 ; 8.371699e+07 + i -1.620011e+07 ; -9.449383e+08 + i 2.839700e+08 ; -9.165710e+08 + i 5.065332e+08 ; -4.428342e+07 + i 3.517191e+07 ; -1.856693e+09 + i 9.165444e+08 ; 1.708953e+08 + i -6.272835e+07 ; 3.081311e+07 + i -1.355079e+07 ; -9.449550e+08 + i 2.839856e+08 ; -4.457146e+07 + i 3.513710e+07 ; -9.165853e+08 + i 5.065308e+08 ; -1.856500e+09 + i 9.165775e+08 ; 3.083393e+07 + i -1.352511e+07 ; 1.709032e+08 + i -6.272100e+07 ; -3.984295e+07 + i 1.200969e+08 ; -1.748981e+08 + i 1.296323e+08 ; -1.749211e+08 + i 1.296308e+08 ; -4.000083e+07 + i 1.548021e+08 ; 6.129807e+07 + i -3.236103e+07 ; 6.125249e+07 + i -3.236601e+07 ; 7.659620e+08 + i -3.828046e+08 ; 9.485539e+07 + i -4.039245e+07 ; 9.482584e+07 + i -4.039957e+07 ; 4.048838e+08 + i -1.705252e+08 ; -5.088575e+06 + i -3.527236e+06 ; -5.099106e+06 + i -3.524696e+06 ; 4.944127e+07 + i -7.771149e+07 ; 2.596934e+08 + i -1.487282e+08 ; 3.518246e+07 + i -1.995292e+07 ; 5.159525e+07 + i -5.999945e+07 ; 7.342341e+06 + i -1.484060e+07 ; -2.336360e+06 + i -1.295813e+06 ; 4.950294e+07 + i -7.771362e+07 ; 3.525284e+07 + i -1.994541e+07 ; 2.597034e+08 + i -1.487274e+08 ; 5.162631e+07 + i -5.999824e+07 ; -2.320367e+06 + i -1.300456e+06 ; 7.344583e+06 + i -1.484211e+07 ; -3.475430e+07 + i 3.104463e+06 ; 1.094639e+08 + i -7.133802e+07 ; 1.094854e+08 + i -7.133531e+07 ; -6.643773e+06 + i -1.168977e+07 ; 9.238954e+06 + i -1.046848e+07 ; 9.252415e+06 + i -1.046755e+07 ; 
2.047942e+08 + i -7.141807e+07 ; -1.881244e+09 + i 9.283535e+08 ; -3.911170e+07 + i 1.663193e+07 ; 1.024405e+08 + i -2.068321e+07 ; -2.014383e+10 + i 5.540207e+09 ; -9.373448e+07 + i 1.948897e+07 ; -9.991797e+08 + i 5.243615e+08 ; -9.583186e+08 + i 2.907208e+08 ; 4.226633e+07 + i -3.427690e+07 ; -3.467505e+08 + i 1.252384e+08 ; 3.825252e+09 + i -1.992946e+09 ; 3.364852e+08 + i -1.311726e+08 ; 8.040820e+07 + i -3.988045e+07 ; -4.327115e+07 + i 1.603812e+08 ; -7.211958e+07 + i 3.717104e+07 ; 4.194094e+07 + i -1.808659e+07 ; -1.861501e+09 + i 9.240766e+08 ; -1.842507e+08 + i 6.849349e+07 ; -1.838021e+08 + i 1.325350e+08 ; -4.353685e+07 + i 1.237766e+08 ; 1.738489e+08 + i -1.285842e+08 ; -3.209694e+07 + i 2.932161e+07 ; -9.453177e+08 + i 2.865095e+08 ; 9.140859e+08 + i -5.046038e+08 ; -7.588688e+07 + i 2.928598e+07 ; -3.584676e+08 + i 1.827679e+08 ; -2.052177e+07 + i 7.129415e+06 ; -5.200992e+07 + i 1.592216e+07 ; -2.065912e+07 + i 2.589739e+07 ; -4.696822e+06 + i 2.978486e+06 ; 2.811316e+08 + i -1.560325e+08 ; -2.452708e+08 + i 1.022465e+08 ; 1.166791e+07 + i -6.398958e+06 ; 1.539901e+08 + i -7.230522e+07 ; -2.451913e+07 + i 2.611172e+07 ; -4.552571e+06 + i 1.057506e+06 ; -4.465858e+07 + i 2.040937e+07 ; -1.397267e+08 + i 9.484379e+07 ; -3.310970e+07 + i 1.420843e+07 ; -3.348959e+07 + i 1.334422e+07 ; -1.952120e+07 + i 1.837440e+07 ; -6.706338e+06 + i 4.394889e+06 ; 1.253842e+08 + i -7.564632e+07 ; -1.065678e+08 + i 6.710544e+07 ; 6.052637e+07 + i -3.918578e+07 ; 7.498602e+07 + i -4.150311e+07 ; -1.908695e+07 + i 1.734086e+07 ; -9.599677e+05 + i -2.124592e+06 ; 
2.048159e+08 + i -7.141463e+07 ; -3.911087e+07 + i 1.663444e+07 ; -1.881200e+09 + i 9.284271e+08 ; 1.024640e+08 + i -2.068846e+07 ; -9.372987e+07 + i 1.949401e+07 ; -2.014398e+10 + i 5.540195e+09 ; 8.036703e+07 + i -3.989495e+07 ; -7.215807e+07 + i 3.716723e+07 ; -4.308273e+07 + i 1.605712e+08 ; 4.190834e+07 + i -1.810721e+07 ; -1.843413e+08 + i 6.847137e+07 ; -1.862897e+09 + i 9.238444e+08 ; -9.991928e+08 + i 5.243529e+08 ; 4.223501e+07 + i -3.427524e+07 ; -9.585360e+08 + i 2.907017e+08 ; -3.467662e+08 + i 1.252289e+08 ; 3.364110e+08 + i -1.311944e+08 ; 3.824740e+09 + i -1.993011e+09 ; -1.837027e+08 + i 1.325501e+08 ; 1.738523e+08 + i -1.285743e+08 ; -4.315633e+07 + i 1.238951e+08 ; -3.198601e+07 + i 2.932733e+07 ; 9.140593e+08 + i -5.046183e+08 ; -9.454963e+08 + i 2.864029e+08 ; -7.590430e+07 + i 2.928661e+07 ; -2.052365e+07 + i 7.128473e+06 ; -3.584001e+08 + i 1.827742e+08 ; -5.202210e+07 + i 1.592288e+07 ; -4.697777e+06 + i 2.978834e+06 ; -2.063738e+07 + i 2.589764e+07 ; -4.465500e+07 + i 2.041094e+07 ; -3.311816e+07 + i 1.420621e+07 ; -1.397328e+08 + i 9.485233e+07 ; -3.347647e+07 + i 1.334871e+07 ; -6.705954e+06 + i 4.395489e+06 ; -1.950291e+07 + i 1.837430e+07 ; 2.811386e+08 + i -1.560291e+08 ; 1.165672e+07 + i -6.401108e+06 ; -2.453316e+08 + i 1.022414e+08 ; 1.539991e+08 + i -7.230158e+07 ; -4.556627e+06 + i 1.057842e+06 ; -2.453449e+07 + i 2.611586e+07 ; 1.253393e+08 + i -7.565010e+07 ; 6.053287e+07 + i -3.918541e+07 ; -1.065911e+08 + i 6.709706e+07 ; 7.495221e+07 + i -4.150466e+07 ; -9.581233e+05 + i -2.123697e+06 ; -1.910435e+07 + i 1.734262e+07 ; 
-1.873129e+09 + i 9.252715e+08 ; 1.862544e+08 + i -7.049037e+07 ; -3.919189e+07 + i 1.670255e+07 ; -9.482999e+08 + i 2.839293e+08 ; -1.006992e+09 + i 5.287252e+08 ; 4.231250e+07 + i -3.406342e+07 ; -2.014548e+10 + i 5.542230e+09 ; 9.634185e+07 + i -2.000130e+07 ; -9.432436e+07 + i 1.946589e+07 ; 3.842500e+09 + i -1.998591e+09 ; -3.546024e+08 + i 1.351009e+08 ; 3.373135e+08 + i -1.312495e+08 ; -4.124619e+07 + i 1.583182e+08 ; 7.968113e+07 + i -3.829495e+07 ; -7.223426e+07 + i 3.726356e+07 ; -4.055500e+07 + i 1.202174e+08 ; -1.921877e+08 + i 1.350504e+08 ; 1.733810e+08 + i -1.280881e+08 ; -1.869109e+09 + i 9.262000e+08 ; 4.244085e+07 + i -1.684641e+07 ; -1.847717e+08 + i 6.838662e+07 ; -9.454364e+08 + i 2.840382e+08 ; -4.776761e+07 + i 3.547556e+07 ; 9.156976e+08 + i -5.051206e+08 ; 5.246710e+07 + i -5.989008e+07 ; -2.054695e+07 + i 2.007153e+07 ; -6.788558e+06 + i 1.221803e+06 ; 4.549743e+07 + i -4.235775e+07 ; -3.845637e+06 + i 3.773036e+06 ; -2.883049e+06 + i 1.308068e+06 ; 4.049535e+08 + i -1.705667e+08 ; 7.909491e+06 + i 6.217355e+05 ; -6.862411e+06 + i -5.044201e+05 ; 2.219538e+08 + i -8.118243e+07 ; 3.539830e+06 + i -1.349228e+06 ; -3.102959e+06 + i 1.294324e+06 ; -6.595255e+06 + i -1.175085e+07 ; -1.263105e+07 + i 1.260970e+07 ; 1.138305e+07 + i -1.187675e+07 ; 5.335272e+06 + i -1.495418e+07 ; -2.787020e+06 + i 2.855266e+06 ; 2.544406e+06 + i -2.691642e+06 ; 5.174812e+07 + i -5.998276e+07 ; 7.652174e+06 + i -1.208253e+06 ; 1.849275e+07 + i -1.894839e+07 ; 4.509338e+07 + i -4.244462e+07 ; 3.261242e+06 + i -1.365392e+06 ; 3.505014e+06 + i -3.558493e+06 ; 
-3.280236e+08 + i 1.340912e+08 ; 3.808761e+09 + i -1.986966e+09 ; -3.378474e+08 + i 1.315457e+08 ; -9.274615e+08 + i 5.104059e+08 ; -9.605374e+08 + i 2.906904e+08 ; -4.354584e+07 + i 3.440067e+07 ; 8.765529e+07 + i -1.888786e+07 ; -2.016542e+10 + i 5.547433e+09 ; 9.343777e+07 + i -1.943697e+07 ; 1.639649e+08 + i -6.710169e+07 ; -1.877211e+09 + i 9.290258e+08 ; 3.827039e+07 + i -1.645013e+07 ; -4.898159e+07 + i 3.576054e+07 ; -9.594452e+08 + i 2.922188e+08 ; -9.163973e+08 + i 5.060308e+08 ; -1.839195e+08 + i 1.322497e+08 ; -4.333681e+07 + i 1.238895e+08 ; -1.741658e+08 + i 1.288423e+08 ; 3.688351e+07 + i -1.522131e+07 ; -1.879477e+09 + i 9.304314e+08 ; 1.848199e+08 + i -6.823383e+07 ; 7.021456e+07 + i -3.522983e+07 ; -4.368631e+07 + i 1.600870e+08 ; 7.181600e+07 + i -3.702128e+07 ; -1.477514e+08 + i 6.741554e+07 ; -2.531360e+07 + i 2.602053e+07 ; 3.921521e+06 + i -1.695685e+06 ; -8.458899e+07 + i 3.370869e+07 ; -1.137408e+07 + i 8.262585e+06 ; 1.848899e+06 + i -9.311336e+05 ; 9.664730e+06 + i 3.349722e+05 ; -2.113771e+07 + i 2.583706e+07 ; 7.660243e+06 + i -3.506885e+06 ; 5.143945e+06 + i 1.567678e+06 ; -1.277962e+07 + i 9.179864e+06 ; 2.215178e+06 + i -1.340589e+06 ; -8.056441e+07 + i 4.366408e+07 ; -1.939199e+07 + i 1.736731e+07 ; -4.351610e+06 + i 3.901847e+06 ; -5.029148e+07 + i 2.495835e+07 ; -8.849503e+06 + i 6.996351e+06 ; 3.316481e+05 + i 2.075949e+05 ; 1.289838e+07 + i -2.593257e+06 ; -1.969960e+07 + i 1.838709e+07 ; 1.082784e+07 + i -5.372337e+06 ; 7.297110e+06 + i -3.768993e+05 ; -9.625634e+06 + i 7.643429e+06 ; 2.844762e+06 + i -1.756747e+06 ; 
-3.700074e+07 + i 1.567398e+07 ; 2.039247e+08 + i -6.955311e+07 ; -1.883205e+09 + i 9.298814e+08 ; -7.011589e+07 + i 3.584045e+07 ; 7.906466e+07 + i -3.868869e+07 ; -4.330405e+07 + i 1.605170e+08 ; -9.202447e+07 + i 1.800121e+07 ; 1.025872e+08 + i -1.868986e+07 ; -2.016547e+10 + i 5.547484e+09 ; -1.818352e+08 + i 6.626286e+07 ; 4.163966e+07 + i -1.706638e+07 ; -1.878167e+09 + i 9.291639e+08 ; 4.438743e+07 + i -3.661382e+07 ; -1.014356e+09 + i 5.284119e+08 ; -9.604954e+08 + i 2.921082e+08 ; 1.817875e+08 + i -1.327967e+08 ; -1.911305e+08 + i 1.363925e+08 ; -4.318874e+07 + i 1.238645e+08 ; 3.459071e+08 + i -1.333098e+08 ; -3.731748e+08 + i 1.346367e+08 ; 3.805900e+09 + i -1.987325e+09 ; 9.311943e+08 + i -5.094957e+08 ; -4.507941e+07 + i 3.656902e+07 ; -9.587515e+08 + i 2.906282e+08 ; -1.358087e+07 + i 2.582675e+06 ; 1.186048e+07 + i -5.601609e+06 ; -1.966106e+07 + i 1.839918e+07 ; -7.723424e+06 + i 3.675469e+05 ; 3.112185e+06 + i -1.846719e+06 ; -9.604382e+06 + i 7.638747e+06 ; -1.150357e+07 + i -5.828936e+05 ; 8.342611e+06 + i -3.648201e+06 ; -2.109409e+07 + i 2.583821e+07 ; -6.142610e+06 + i -1.735569e+06 ; 2.424444e+06 + i -1.406474e+06 ; -1.276392e+07 + i 9.169190e+06 ; 8.023511e+07 + i -4.367967e+07 ; -4.734137e+06 + i 4.133686e+06 ; -1.907135e+07 + i 1.736222e+07 ; 5.005304e+07 + i -2.495245e+07 ; 3.799744e+05 + i 2.300913e+05 ; -8.810200e+06 + i 6.991932e+06 ; 1.471827e+08 + i -6.732639e+07 ; 4.505215e+06 + i -1.767031e+06 ; -2.458475e+07 + i 2.609821e+07 ; 8.414859e+07 + i -3.366356e+07 ; 2.081727e+06 + i -9.727887e+05 ; -1.134567e+07 + i 8.249128e+06 ; 
-9.566720e+08 + i 2.836364e+08 ; 1.057297e+09 + i -5.354353e+08 ; -4.493768e+07 + i 3.590152e+07 ; -1.855622e+09 + i 9.165895e+08 ; -1.349049e+08 + i 6.371694e+07 ; 3.175300e+07 + i -1.373598e+07 ; 3.841231e+09 + i -1.998720e+09 ; 3.282017e+08 + i -1.355885e+08 ; -3.482394e+08 + i 1.337620e+08 ; -2.009582e+10 + i 5.523568e+09 ; -9.451396e+07 + i 1.505836e+07 ; 8.600316e+07 + i -1.611629e+07 ; -4.039215e+07 + i 1.207006e+08 ; 2.024389e+08 + i -1.388305e+08 ; -1.803555e+08 + i 1.318949e+08 ; -4.067975e+07 + i 1.547915e+08 ; -6.895887e+07 + i 3.270099e+07 ; 6.303466e+07 + i -3.281855e+07 ; -9.440605e+08 + i 2.843697e+08 ; 5.062604e+07 + i -3.648606e+07 ; -9.436060e+08 + i 5.139214e+08 ; -1.856145e+09 + i 9.166615e+08 ; -3.409241e+07 + i 1.345889e+07 ; 1.757000e+08 + i -6.328581e+07 ; 5.256474e+07 + i -7.775579e+07 ; -3.069847e+08 + i 1.572830e+08 ; 3.601575e+07 + i -2.027576e+07 ; 5.331431e+07 + i -5.987937e+07 ; -9.900762e+06 + i 1.682991e+07 ; -2.444588e+06 + i -1.341639e+06 ; 7.660277e+08 + i -3.828295e+08 ; -1.216543e+08 + i 4.180660e+07 ; 9.757360e+07 + i -4.086408e+07 ; 4.048357e+08 + i -1.705332e+08 ; 4.559776e+06 + i 4.594047e+06 ; -5.193452e+06 + i -3.645588e+06 ; -3.383895e+07 + i 2.937397e+06 ; -1.295964e+08 + i 7.637978e+07 ; 1.127865e+08 + i -7.250545e+07 ; -6.037752e+06 + i -1.177775e+07 ; -1.164099e+07 + i 1.162011e+07 ; 9.564169e+06 + i -1.068265e+07 ; 4.954450e+07 + i -7.768999e+07 ; -4.518162e+07 + i 2.144720e+07 ; 2.673823e+08 + i -1.509590e+08 ; 5.161782e+07 + i -5.997831e+07 ; 1.667516e+06 + i 1.742626e+06 ; 7.633507e+06 + i -1.517930e+07 ; 
1.041840e+09 + i -5.298760e+08 ; -9.697347e+08 + i 2.903483e+08 ; -4.369078e+07 + i 3.490324e+07 ; 3.007877e+08 + i -1.248026e+08 ; 3.823249e+09 + i -1.993211e+09 ; -3.463858e+08 + i 1.324071e+08 ; -1.515551e+08 + i 7.116486e+07 ; -1.875983e+09 + i 9.291161e+08 ; 3.986825e+07 + i -1.682967e+07 ; -1.050180e+08 + i 2.033353e+07 ; -2.014281e+10 + i 5.540530e+09 ; 9.546370e+07 + i -1.951635e+07 ; 1.915687e+08 + i -1.342013e+08 ; -4.365677e+07 + i 1.243831e+08 ; -1.790891e+08 + i 1.308584e+08 ; 3.270561e+07 + i -2.849622e+07 ; -9.435372e+08 + i 2.869109e+08 ; -9.408526e+08 + i 5.120363e+08 ; -8.199228e+07 + i 3.883998e+07 ; -4.418236e+07 + i 1.600448e+08 ; 7.432985e+07 + i -3.766045e+07 ; -4.214477e+07 + i 1.761262e+07 ; -1.862232e+09 + i 9.237651e+08 ; 1.896198e+08 + i -6.908821e+07 ; -2.912739e+08 + i 1.574051e+08 ; -2.425442e+08 + i 1.020897e+08 ; -1.205526e+07 + i 6.485921e+06 ; -1.588691e+08 + i 7.255371e+07 ; -2.426916e+07 + i 2.604904e+07 ; 4.668398e+06 + i -1.054595e+06 ; 9.099622e+07 + i -2.939881e+07 ; -3.588856e+08 + i 1.827072e+08 ; 2.098687e+07 + i -7.191846e+06 ; 6.041511e+07 + i -1.544323e+07 ; -2.090863e+07 + i 2.585743e+07 ; 4.822453e+06 + i -3.021755e+06 ; -1.298530e+08 + i 7.657029e+07 ; -1.057298e+08 + i 6.695481e+07 ; -6.231863e+07 + i 3.983287e+07 ; -7.730602e+07 + i 4.187818e+07 ; -1.892827e+07 + i 1.731060e+07 ; 9.835039e+05 + i 2.187673e+06 ; 5.083354e+07 + i -2.090053e+07 ; -1.399096e+08 + i 9.482443e+07 ; 3.407099e+07 + i -1.436615e+07 ; 3.755980e+07 + i -1.352944e+07 ; -1.967059e+07 + i 1.836312e+07 ; 6.918206e+06 + i -4.465055e+06 ; 
