-9.566988e+09 + i 6.928942e+08 ; -1.849652e+07 + i -2.553130e+06 ; -1.850051e+07 + i -2.553871e+06 ; 3.176237e+09 + i -3.826405e+08 ; 1.573553e+08 + i -4.162284e+06 ; 1.573541e+08 + i -4.163294e+06 ; -1.493543e+09 + i 1.816432e+08 ; -8.340799e+07 + i 2.175585e+06 ; -1.413456e+07 + i -7.980508e+05 ; -2.908070e+08 + i -2.114741e+07 ; 8.062557e+08 + i -1.036502e+08 ; 4.363342e+07 + i -3.751770e+06 ; -1.493543e+09 + i 1.816437e+08 ; -1.413311e+07 + i -7.976050e+05 ; -8.340756e+07 + i 2.175575e+06 ; -2.908099e+08 + i -2.114723e+07 ; 4.364155e+07 + i -3.745615e+06 ; 8.062559e+08 + i -1.036500e+08 ; -3.025806e+08 + i 6.222581e+07 ; -4.425812e+07 + i 2.203504e+06 ; -4.425407e+07 + i 2.205491e+06 ; -1.564247e+08 + i 1.856127e+07 ; 2.247930e+08 + i -3.620123e+07 ; 2.247930e+08 + i -3.620098e+07 ; 2.478183e+08 + i -2.060927e+07 ; 1.848066e+06 + i -6.928716e+05 ; 1.848979e+06 + i -6.927401e+05 ; 1.152347e+08 + i -7.448730e+06 ; -7.980942e+05 + i -1.559202e+05 ; -7.981783e+05 + i -1.559431e+05 ; 9.923107e+07 + i -1.565186e+07 ; 3.751771e+07 + i -7.151910e+06 ; -1.906374e+04 + i -4.859341e+05 ; 6.245300e+07 + i -8.100043e+06 ; 9.033490e+06 + i -2.055366e+06 ; -1.004829e+06 + i -1.047563e+05 ; 9.923135e+07 + i -1.565144e+07 ; -1.869689e+04 + i -4.852794e+05 ; 3.751780e+07 + i -7.151866e+06 ; 6.245298e+07 + i -8.099945e+06 ; -1.004605e+06 + i -1.045819e+05 ; 9.033484e+06 + i -2.055371e+06 ; 4.049170e+07 + i -1.016171e+07 ; 2.557448e+07 + i -5.194028e+06 ; 2.557437e+07 + i -5.194100e+06 ; 3.485341e+07 + i -6.800544e+06 ; 7.126676e+06 + i -1.687210e+06 ; 7.126621e+06 + i -1.687210e+06 ; 
-1.709297e+07 + i -2.588599e+06 ; -9.573153e+09 + i 6.926927e+08 ; -1.831376e+07 + i -2.575339e+06 ; -8.129522e+07 + i 2.084716e+06 ; -1.496657e+09 + i 1.815580e+08 ; -1.387312e+07 + i -8.055118e+05 ; 1.601421e+08 + i -4.115144e+06 ; 3.162643e+09 + i -3.827119e+08 ; 1.578014e+08 + i -4.199675e+06 ; 8.124426e+08 + i -1.037036e+08 ; -2.984295e+08 + i -2.089210e+07 ; 4.410753e+07 + i -3.779937e+06 ; -1.289167e+07 + i -8.477595e+05 ; -1.498185e+09 + i 1.816555e+08 ; -8.318961e+07 + i 2.147175e+06 ; -4.252205e+07 + i 2.094610e+06 ; -3.046636e+08 + i 6.227226e+07 ; -4.398947e+07 + i 2.196787e+06 ; 4.610821e+07 + i -3.736833e+06 ; -2.998792e+08 + i -2.084612e+07 ; 8.073350e+08 + i -1.037494e+08 ; 2.299879e+08 + i -3.631012e+07 ; -1.611981e+08 + i 1.895799e+07 ; 2.257223e+08 + i -3.627586e+07 ; 1.214476e+06 + i -7.046955e+05 ; -4.871722e+07 + i 9.010002e+06 ; -3.932375e+06 + i 7.749846e+04 ; 2.141310e+06 + i -5.086556e+05 ; -1.875797e+07 + i 3.394885e+06 ; -1.639765e+06 + i 9.246147e+04 ; 9.605814e+07 + i -8.607752e+06 ; -4.379526e+07 + i 6.789454e+06 ; -1.567952e+06 + i -5.461172e+04 ; 4.495059e+07 + i -2.793912e+06 ; -1.671077e+07 + i 2.934290e+06 ; -1.086635e+06 + i 3.580084e+04 ; -1.690480e+06 + i -5.260280e+05 ; -3.839433e+07 + i 7.268446e+06 ; -6.660794e+06 + i 3.492976e+05 ; 5.575865e+05 + i -4.745190e+05 ; -1.591482e+07 + i 3.023715e+06 ; -2.313507e+06 + i 1.772148e+05 ; 6.368528e+07 + i -6.779005e+06 ; -3.382407e+07 + i 5.755200e+06 ; 8.773689e+06 + i -1.818603e+06 ; 3.349258e+07 + i -2.719999e+06 ; -1.434023e+07 + i 2.641195e+06 ; 1.198703e+06 + i -4.004209e+05 ; 
-1.710070e+07 + i -2.590293e+06 ; -1.831400e+07 + i -2.575392e+06 ; -9.573157e+09 + i 6.926894e+08 ; -8.129491e+07 + i 2.084761e+06 ; -1.387346e+07 + i -8.055815e+05 ; -1.496670e+09 + i 1.815560e+08 ; -1.289568e+07 + i -8.482938e+05 ; -8.319088e+07 + i 2.145905e+06 ; -1.498209e+09 + i 1.816335e+08 ; -4.251806e+07 + i 2.096515e+06 ; -4.399028e+07 + i 2.196130e+06 ; -3.046732e+08 + i 6.226881e+07 ; 1.601414e+08 + i -4.115187e+06 ; 1.578006e+08 + i -4.200442e+06 ; 3.162630e+09 + i -3.827228e+08 ; 8.124431e+08 + i -1.037033e+08 ; 4.410666e+07 + i -3.780591e+06 ; -2.984360e+08 + i -2.089667e+07 ; 4.609453e+07 + i -3.741217e+06 ; 8.073348e+08 + i -1.037495e+08 ; -2.998816e+08 + i -2.084724e+07 ; 2.299850e+08 + i -3.631137e+07 ; 2.257214e+08 + i -3.627622e+07 ; -1.612058e+08 + i 1.895747e+07 ; 1.216300e+06 + i -7.043520e+05 ; -3.932391e+06 + i 7.748288e+04 ; -4.871891e+07 + i 9.009670e+06 ; 2.141721e+06 + i -5.085486e+05 ; -1.639804e+06 + i 9.244812e+04 ; -1.875805e+07 + i 3.394945e+06 ; -1.687771e+06 + i -5.253375e+05 ; -6.660837e+06 + i 3.492639e+05 ; -3.839542e+07 + i 7.268229e+06 ; 5.588764e+05 + i -4.741002e+05 ; -2.313506e+06 + i 1.772204e+05 ; -1.591488e+07 + i 3.023823e+06 ; 9.605772e+07 + i -8.607890e+06 ; -1.568021e+06 + i -5.469504e+04 ; -4.379666e+07 + i 6.788693e+06 ; 4.495040e+07 + i -2.793980e+06 ; -1.086681e+06 + i 3.576634e+04 ; -1.671126e+07 + i 2.934060e+06 ; 6.368728e+07 + i -6.778626e+06 ; 8.773741e+06 + i -1.818579e+06 ; -3.382452e+07 + i 5.754977e+06 ; 3.349300e+07 + i -2.719931e+06 ; 1.198710e+06 + i -4.004087e+05 ; -1.434062e+07 + i 2.641077e+06 ; 
3.176405e+09 + i -3.825872e+08 ; -1.604304e+08 + i 4.001724e+06 ; -1.604288e+08 + i 4.003018e+06 ; -9.542743e+09 + i 6.919633e+08 ; 1.493281e+07 + i 2.548950e+06 ; 1.493695e+07 + i 2.549781e+06 ; -2.907524e+08 + i -2.113085e+07 ; -8.162794e+08 + i 1.032835e+08 ; -4.555339e+07 + i 3.808056e+06 ; -1.481293e+09 + i 1.806154e+08 ; 7.738016e+07 + i -1.831104e+06 ; 1.085819e+07 + i 8.170253e+05 ; -2.907590e+08 + i -2.113186e+07 ; -4.555976e+07 + i 3.802508e+06 ; -8.162796e+08 + i 1.032832e+08 ; -1.481287e+09 + i 1.806184e+08 ; 1.085629e+07 + i 8.164010e+05 ; 7.737961e+07 + i -1.831223e+06 ; -1.564110e+08 + i 1.856527e+07 ; -2.291485e+08 + i 3.630802e+07 ; -2.291488e+08 + i 3.630764e+07 ; -2.966838e+08 + i 6.133611e+07 ; 3.880132e+07 + i -1.927650e+06 ; 3.880030e+07 + i -1.928447e+06 ; 6.103680e+08 + i -7.249933e+07 ; 4.946969e+07 + i -1.714734e+06 ; 4.946937e+07 + i -1.715104e+06 ; 2.478109e+08 + i -2.061179e+07 ; 6.387305e+06 + i -1.251833e+06 ; 6.386105e+06 + i -1.252157e+06 ; 1.493650e+08 + i -2.881864e+07 ; 2.423526e+08 + i -3.168489e+07 ; 2.554282e+07 + i -1.623971e+06 ; 9.921990e+07 + i -1.565349e+07 ; 3.284905e+07 + i -7.018889e+06 ; 3.940824e+06 + i -8.785583e+05 ; 1.493709e+08 + i -2.881720e+07 ; 2.554397e+07 + i -1.622561e+06 ; 2.423529e+08 + i -3.168470e+07 ; 9.922259e+07 + i -1.565283e+07 ; 3.941818e+06 + i -8.779496e+05 ; 3.284930e+07 + i -7.018775e+06 ; 2.714719e+07 + i -1.122569e+07 ; 1.218267e+08 + i -1.782323e+07 ; 1.218273e+08 + i -1.782287e+07 ; 4.048297e+07 + i -1.016202e+07 ; 2.419396e+07 + i -5.086899e+06 ; 2.419417e+07 + i -5.086659e+06 ; 
8.843386e+07 + i -1.724903e+06 ; -1.496818e+09 + i 1.815048e+08 ; -1.419826e+07 + i -8.413133e+05 ; 2.158527e+07 + i 2.450915e+06 ; -9.564506e+09 + i 6.925927e+08 ; -1.868184e+07 + i -2.596075e+06 ; -8.336334e+08 + i 1.012174e+08 ; -2.984151e+08 + i -2.088606e+07 ; 4.427804e+07 + i -3.738907e+06 ; -1.520064e+08 + i 2.784943e+06 ; 3.169004e+09 + i -3.825562e+08 ; 1.588704e+08 + i -3.925318e+06 ; 4.739237e+07 + i -2.074338e+06 ; -3.046967e+08 + i 6.226597e+07 ; -4.458117e+07 + i 2.132184e+06 ; 1.627764e+07 + i 6.460146e+05 ; -1.490536e+09 + i 1.815365e+08 ; -8.440775e+07 + i 2.079158e+06 ; -2.304778e+08 + i 3.581182e+07 ; -1.612032e+08 + i 1.895542e+07 ; 2.277664e+08 + i -3.618052e+07 ; -3.716048e+07 + i 3.248763e+06 ; -2.939525e+08 + i -2.076632e+07 ; 8.138918e+08 + i -1.031019e+08 ; -3.500691e+07 + i 7.499052e+05 ; -2.929650e+08 + i 3.569694e+07 ; -7.412309e+06 + i -2.022890e+05 ; -1.709218e+07 + i -5.561276e+05 ; -4.870709e+07 + i 9.016827e+06 ; -3.216445e+06 + i 9.646599e+04 ; 2.500484e+08 + i -3.154857e+07 ; -1.389840e+08 + i 8.865957e+06 ; 8.456633e+06 + i -5.844842e+05 ; 1.024366e+08 + i -8.840044e+06 ; -4.379663e+07 + i 6.789990e+06 ; -7.592108e+05 + i -1.903937e+05 ; -2.453519e+07 + i 8.996606e+05 ; -1.589618e+08 + i 2.328830e+07 ; -1.727084e+07 + i 6.008288e+05 ; -1.409391e+07 + i -1.100794e+05 ; -3.838642e+07 + i 7.272980e+06 ; -5.556933e+06 + i 3.886260e+05 ; 1.267778e+08 + i -1.769760e+07 ; -9.729161e+07 + i 1.040572e+07 ; 6.796852e+07 + i -1.014585e+07 ; 6.256922e+07 + i -6.871354e+06 ; -3.382431e+07 + i 5.755582e+06 ; 6.541646e+06 + i -1.758832e+06 ; 
8.843489e+07 + i -1.724544e+06 ; -1.419864e+07 + i -8.414017e+05 ; -1.496832e+09 + i 1.815028e+08 ; 2.158969e+07 + i 2.451734e+06 ; -1.868206e+07 + i -2.596116e+06 ; -9.564509e+09 + i 6.925901e+08 ; 4.739256e+07 + i -2.074701e+06 ; -4.458200e+07 + i 2.131512e+06 ; -3.047049e+08 + i 6.226335e+07 ; 1.627980e+07 + i 6.460793e+05 ; -8.440881e+07 + i 2.078003e+06 ; -1.490568e+09 + i 1.815119e+08 ; -8.336332e+08 + i 1.012174e+08 ; 4.427731e+07 + i -3.739483e+06 ; -2.984215e+08 + i -2.089080e+07 ; -1.520060e+08 + i 2.784969e+06 ; 1.588694e+08 + i -3.926214e+06 ; 3.168993e+09 + i -3.825660e+08 ; -2.304742e+08 + i 3.581336e+07 ; 2.277657e+08 + i -3.618070e+07 ; -1.611990e+08 + i 1.895991e+07 ; -3.715377e+07 + i 3.250952e+06 ; 8.138915e+08 + i -1.031021e+08 ; -2.939547e+08 + i -2.076748e+07 ; -3.500804e+07 + i 7.495161e+05 ; -7.412264e+06 + i -2.022939e+05 ; -2.929598e+08 + i 3.569826e+07 ; -1.709354e+07 + i -5.564368e+05 ; -3.216528e+06 + i 9.643647e+04 ; -4.870574e+07 + i 9.017277e+06 ; -2.453509e+07 + i 8.996823e+05 ; -1.727083e+07 + i 6.007269e+05 ; -1.589607e+08 + i 2.328787e+07 ; -1.409402e+07 + i -1.099716e+05 ; -5.556939e+06 + i 3.886133e+05 ; -3.838565e+07 + i 7.273351e+06 ; 2.500484e+08 + i -3.154854e+07 ; 8.456563e+06 + i -5.846334e+05 ; -1.389842e+08 + i 8.864616e+06 ; 1.024365e+08 + i -8.839999e+06 ; -7.593217e+05 + i -1.904808e+05 ; -4.379741e+07 + i 6.789403e+06 ; 1.267758e+08 + i -1.769839e+07 ; 6.796884e+07 + i -1.014572e+07 ; -9.728991e+07 + i 1.040568e+07 ; 6.256732e+07 + i -6.872009e+06 ; 6.541627e+06 + i -1.758823e+06 ; -3.382520e+07 + i 5.755180e+06 ; 
-1.493707e+09 + i 1.815825e+08 ; 8.627644e+07 + i -2.084049e+06 ; -1.428074e+07 + i -8.358866e+05 ; -2.908498e+08 + i -2.122778e+07 ; -8.376669e+08 + i 1.011964e+08 ; 4.403161e+07 + i -3.714260e+06 ; -9.567036e+09 + i 6.928650e+08 ; 1.907358e+07 + i 2.675021e+06 ; -1.867809e+07 + i -2.615512e+06 ; 3.176226e+09 + i -3.826664e+08 ; -1.630571e+08 + i 3.549025e+06 ; 1.589200e+08 + i -3.891826e+06 ; -3.026207e+08 + i 6.221150e+07 ; 4.592663e+07 + i -1.974106e+06 ; -4.469349e+07 + i 2.140082e+06 ; -1.564485e+08 + i 1.853919e+07 ; -2.336110e+08 + i 3.578712e+07 ; 2.270880e+08 + i -3.611042e+07 ; -1.493546e+09 + i 1.816441e+08 ; 1.462413e+07 + i 9.106190e+05 ; -8.423496e+07 + i 2.031689e+06 ; -2.908050e+08 + i -2.114497e+07 ; -4.529836e+07 + i 3.580159e+06 ; 8.144198e+08 + i -1.030726e+08 ; 9.927350e+07 + i -1.563888e+07 ; -3.899124e+07 + i 7.134177e+06 ; -2.392791e+04 + i -4.922859e+05 ; 6.247350e+07 + i -8.094226e+06 ; -9.389793e+06 + i 2.065387e+06 ; -1.015846e+06 + i -1.080564e+05 ; 2.478215e+08 + i -2.060806e+07 ; -1.901907e+06 + i 7.233287e+05 ; 1.871347e+06 + i -6.953310e+05 ; 1.152338e+08 + i -7.448547e+06 ; 8.323086e+05 + i 1.739180e+05 ; -8.049117e+05 + i -1.588812e+05 ; 4.050787e+07 + i -1.015997e+07 ; -2.658158e+07 + i 5.194053e+06 ; 2.583706e+07 + i -5.194656e+06 ; 3.486466e+07 + i -6.798892e+06 ; -7.408200e+06 + i 1.697714e+06 ; 7.200447e+06 + i -1.689673e+06 ; 9.923441e+07 + i -1.565016e+07 ; 3.218774e+04 + i 5.173830e+05 ; 3.790261e+07 + i -7.147855e+06 ; 6.245262e+07 + i -8.099591e+06 ; 1.046799e+06 + i 1.213380e+05 ; 9.126824e+06 + i -2.057674e+06 ; 
-1.613095e+08 + i 4.345323e+06 ; 3.162811e+09 + i -3.826658e+08 ; -1.593818e+08 + i 3.922293e+06 ; -8.201168e+08 + i 1.031634e+08 ; -2.984277e+08 + i -2.095871e+07 ; -4.456128e+07 + i 3.726328e+06 ; 1.717043e+07 + i 2.572191e+06 ; -9.573203e+09 + i 6.926689e+08 ; 1.843950e+07 + i 2.621656e+06 ; 8.172131e+07 + i -2.454837e+06 ; -1.496666e+09 + i 1.815746e+08 ; 1.398155e+07 + i 8.334496e+05 ; -4.651083e+07 + i 3.724962e+06 ; -2.998181e+08 + i -2.082045e+07 ; -8.155083e+08 + i 1.031722e+08 ; -2.321699e+08 + i 3.622346e+07 ; -1.611974e+08 + i 1.894682e+07 ; -2.280206e+08 + i 3.618690e+07 ; 1.297375e+07 + i 8.528864e+05 ; -1.498203e+09 + i 1.816460e+08 ; 8.402013e+07 + i -2.001117e+06 ; 4.288361e+07 + i -2.079161e+06 ; -3.046732e+08 + i 6.226760e+07 ; 4.443184e+07 + i -2.129709e+06 ; -9.697460e+07 + i 8.485699e+06 ; -4.381811e+07 + i 6.773381e+06 ; 1.582699e+06 + i 5.806510e+04 ; -4.537898e+07 + i 2.722026e+06 ; -1.671313e+07 + i 2.932540e+06 ; 1.097220e+06 + i -3.404300e+04 ; -1.240560e+06 + i 6.691555e+05 ; -4.872122e+07 + i 9.008176e+06 ; 3.969079e+06 + i -7.099547e+04 ; -2.167284e+06 + i 4.901908e+05 ; -1.875951e+07 + i 3.394038e+06 ; 1.655641e+06 + i -9.019797e+04 ; -6.429439e+07 + i 6.709017e+06 ; -3.384021e+07 + i 5.746501e+06 ; -8.863668e+06 + i 1.819269e+06 ; -3.381287e+07 + i 2.672872e+06 ; -1.434342e+07 + i 2.639619e+06 ; -1.211170e+06 + i 4.020689e+05 ; 1.698327e+06 + i 5.126569e+05 ; -3.839428e+07 + i 7.268500e+06 ; 6.727395e+06 + i -3.394275e+05 ; -5.668166e+05 + i 4.653685e+05 ; -1.591492e+07 + i 3.023439e+06 ; 2.336819e+06 + i -1.743132e+05 ; 
-1.301555e+07 + i -8.729947e+05 ; 8.638295e+07 + i -1.552653e+06 ; -1.498384e+09 + i 1.815782e+08 ; -4.291069e+07 + i 2.040811e+06 ; 4.568587e+07 + i -1.926845e+06 ; -3.047150e+08 + i 6.226013e+07 ; -1.724956e+07 + i -2.643582e+06 ; 1.893570e+07 + i 2.802697e+06 ; -9.573207e+09 + i 6.926670e+08 ; -8.204884e+07 + i 1.950683e+06 ; 1.436165e+07 + i 9.300186e+05 ; -1.496701e+09 + i 1.815480e+08 ; 4.642785e+07 + i -3.803001e+06 ; -8.388425e+08 + i 1.011835e+08 ; -2.998653e+08 + i -2.084036e+07 ; 2.321534e+08 + i -3.625932e+07 ; -2.345537e+08 + i 3.589084e+07 ; -1.611979e+08 + i 1.896008e+07 ; 1.616348e+08 + i -3.838459e+06 ; -1.638587e+08 + i 3.068842e+06 ; 3.162635e+09 + i -3.827188e+08 ; 8.201458e+08 + i -1.031072e+08 ; -4.576106e+07 + i 3.659167e+06 ; -2.984304e+08 + i -2.089390e+07 ; -1.698329e+06 + i -5.326441e+05 ; 6.916107e+06 + i -3.104469e+05 ; -3.839449e+07 + i 7.268977e+06 ; 5.674480e+05 + i -4.769800e+05 ; 2.402458e+06 + i -1.660451e+05 ; -1.591390e+07 + i 3.024179e+06 ; 1.226490e+06 + i -7.096412e+05 ; 4.080068e+06 + i -5.122345e+04 ; -4.872186e+07 + i 9.009112e+06 ; 2.161020e+06 + i -5.098933e+05 ; 1.702173e+06 + i -8.354576e+04 ; -1.875892e+07 + i 3.394813e+06 ; 6.429675e+07 + i -6.720453e+06 ; -9.118605e+06 + i 1.821707e+06 ; -3.382415e+07 + i 5.755276e+06 ; 3.381243e+07 + i -2.681156e+06 ; -1.246510e+06 + i 4.072961e+05 ; -1.434058e+07 + i 2.641139e+06 ; 9.695755e+07 + i -8.506281e+06 ; 1.633620e+06 + i 7.548538e+04 ; -4.379629e+07 + i 6.788907e+06 ; 4.536807e+07 + i -2.735440e+06 ; 1.129694e+06 + i -2.687824e+04 ; -1.671094e+07 + i 2.934185e+06 ; 
-2.916545e+08 + i -2.139805e+07 ; 8.482040e+08 + i -1.004820e+08 ; -4.592763e+07 + i 3.775727e+06 ; -1.481208e+09 + i 1.806367e+08 ; -7.533104e+07 + i 2.719022e+06 ; 1.096220e+07 + i 8.451332e+05 ; 3.176156e+09 + i -3.826897e+08 ; 1.615956e+08 + i -4.275338e+06 ; -1.618822e+08 + i 3.759114e+06 ; -9.542714e+09 + i 6.919742e+08 ; -1.544759e+07 + i -2.754247e+06 ; 1.506994e+07 + i 2.599567e+06 ; -1.565912e+08 + i 1.852938e+07 ; 2.380481e+08 + i -3.583662e+07 ; -2.312766e+08 + i 3.623272e+07 ; -2.967153e+08 + i 6.132114e+07 ; -3.981055e+07 + i 1.776841e+06 ; 3.915117e+07 + i -1.878467e+06 ; -2.907527e+08 + i -2.112463e+07 ; 4.686550e+07 + i -3.658170e+06 ; -8.238004e+08 + i 1.027870e+08 ; -1.481276e+09 + i 1.806231e+08 ; -1.110926e+07 + i -8.867888e+05 ; 7.807804e+07 + i -1.713037e+06 ; 1.496303e+08 + i -2.874308e+07 ; -2.523255e+08 + i 3.073442e+07 ; 2.576304e+07 + i -1.597739e+06 ; 9.933520e+07 + i -1.561794e+07 ; -3.430733e+07 + i 6.977722e+06 ; 3.973075e+06 + i -8.808290e+05 ; 6.103744e+08 + i -7.249715e+07 ; -5.238952e+07 + i 1.070467e+06 ; 4.992183e+07 + i -1.643159e+06 ; 2.478093e+08 + i -2.061209e+07 ; -6.814723e+06 + i 1.205756e+06 ; 6.447011e+06 + i -1.251985e+06 ; 2.726469e+07 + i -1.119713e+07 ; -1.268584e+08 + i 1.742274e+07 ; 1.229550e+08 + i -1.777017e+07 ; 4.054807e+07 + i -1.014486e+07 ; -2.526306e+07 + i 5.054994e+06 ; 2.442128e+07 + i -5.089984e+06 ; 1.493728e+08 + i -2.881662e+07 ; -2.696225e+07 + i 1.354336e+06 ; 2.445873e+08 + i -3.154667e+07 ; 9.922061e+07 + i -1.565329e+07 ; -4.223792e+06 + i 8.488467e+05 ; 3.315680e+07 + i -7.024547e+06 ; 
8.416170e+08 + i -1.004101e+08 ; -2.992796e+08 + i -2.114474e+07 ; -4.469105e+07 + i 3.692779e+06 ; 1.484665e+08 + i -3.929771e+06 ; 3.168925e+09 + i -3.825913e+08 ; -1.603202e+08 + i 3.677866e+06 ; -8.423908e+07 + i 3.019254e+06 ; -1.496590e+09 + i 1.815984e+08 ; 1.429791e+07 + i 8.661569e+05 ; -2.172734e+07 + i -2.494993e+06 ; -9.564488e+09 + i 6.926041e+08 ; 1.879668e+07 + i 2.637077e+06 ; 2.325832e+08 + i -3.569622e+07 ; -1.613637e+08 + i 1.892734e+07 ; -2.298762e+08 + i 3.610922e+07 ; 3.706906e+07 + i -3.281627e+06 ; -2.938983e+08 + i -2.073936e+07 ; -8.213890e+08 + i 1.026097e+08 ; -4.735000e+07 + i 2.092692e+06 ; -3.047033e+08 + i 6.225808e+07 ; 4.498956e+07 + i -2.072019e+06 ; -1.626412e+07 + i -6.319052e+05 ; -1.490545e+09 + i 1.815297e+08 ; 8.517604e+07 + i -1.948179e+06 ; -2.521948e+08 + i 3.138174e+07 ; -1.387279e+08 + i 8.936750e+06 ; -8.535239e+06 + i 5.742559e+05 ; -1.032374e+08 + i 8.755162e+06 ; -4.375998e+07 + i 6.798774e+06 ; 7.648167e+05 + i 1.931729e+05 ; 3.632228e+07 + i -3.950608e+05 ; -2.929823e+08 + i 3.568994e+07 ; 7.470795e+06 + i 2.147588e+05 ; 1.765993e+07 + i 7.320687e+05 ; -4.871393e+07 + i 9.012965e+06 ; 3.243473e+06 + i -9.219701e+04 ; -1.278733e+08 + i 1.762661e+07 ; -9.718424e+07 + i 1.043207e+07 ; -6.859690e+07 + i 1.011873e+07 ; -6.305924e+07 + i 6.831623e+06 ; -3.380189e+07 + i 5.760956e+06 ; -6.603172e+06 + i 1.763404e+06 ; 2.518748e+07 + i -7.408660e+05 ; -1.589694e+08 + i 2.328508e+07 ; 1.742752e+07 + i -5.759395e+05 ; 1.445684e+07 + i 2.093352e+05 ; -3.839079e+07 + i 7.270293e+06 ; 5.607943e+06 + i -3.822715e+05 ; 
