-8.637692e+09 + i 3.748809e+10 ; -1.105750e+09 + i 4.578262e+08 ; -1.110302e+09 + i 4.550830e+08 ; -1.030946e+10 + i -1.573058e+10 ; 5.117097e+08 + i -2.682034e+09 ; 5.137164e+08 + i -2.687918e+09 ; 3.489308e+09 + i 5.753953e+09 ; -3.589751e+08 + i 1.187027e+09 ; -5.092715e+08 + i 8.227747e+08 ; -3.407442e+09 + i 6.005192e+09 ; -3.899532e+09 + i -3.589327e+09 ; -7.404238e+08 + i -8.038079e+08 ; 3.482756e+09 + i 5.756217e+09 ; -5.027246e+08 + i 8.257297e+08 ; -3.544978e+08 + i 1.190722e+09 ; -3.414447e+09 + i 6.003463e+09 ; -7.430183e+08 + i -7.902889e+08 ; -3.899448e+09 + i -3.587675e+09 ; 2.704243e+09 + i 1.697733e+09 ; -8.538883e+07 + i 8.817469e+08 ; -8.935501e+07 + i 8.877668e+08 ; 3.245630e+09 + i 3.452772e+09 ; -1.724675e+09 + i -4.228876e+08 ; -1.726762e+09 + i -4.194346e+08 ; -2.378107e+07 + i -1.665038e+09 ; -2.034428e+08 + i 2.992152e+07 ; -2.028775e+08 + i 2.866494e+07 ; 2.902398e+08 + i -6.658437e+08 ; -2.959397e+07 + i 1.150160e+08 ; -3.016804e+07 + i 1.146476e+08 ; -1.171452e+09 + i -5.691416e+08 ; -3.822786e+08 + i 8.598592e+07 ; -1.596197e+08 + i 1.118922e+08 ; -6.388444e+08 + i -6.754623e+08 ; -6.350992e+07 + i 1.292671e+08 ; -4.050485e+06 + i 1.221355e+08 ; -1.174107e+09 + i -5.690325e+08 ; -1.594058e+08 + i 1.139068e+08 ; -3.814103e+08 + i 8.572421e+07 ; -6.405618e+08 + i -6.767598e+08 ; -3.152845e+06 + i 1.224780e+08 ; -6.313311e+07 + i 1.287045e+08 ; -1.320878e+09 + i 3.617921e+08 ; -2.736150e+08 + i 1.454262e+08 ; -2.725036e+08 + i 1.455476e+08 ; -1.260359e+09 + i -1.551191e+08 ; -3.323064e+07 + i 1.328869e+08 ; -3.278203e+07 + i 1.328884e+08 ; 
2.686280e+08 + i -7.559616e+08 ; 3.283563e+08 + i -6.757157e+08 ; 2.675527e+09 + i 1.805540e+09 ; 5.696510e+08 + i -6.117756e+08 ; 5.865328e+08 + i -9.056699e+08 ; 3.570557e+09 + i 5.720447e+09 ; 5.571205e+08 + i -9.748065e+08 ; 6.625847e+08 + i -5.625415e+08 ; 3.476321e+09 + i 5.795341e+09 ; 9.629587e+08 + i -1.803045e+08 ; 1.036388e+09 + i -1.282457e+08 ; -8.525220e+09 + i 3.746360e+10 ; 1.268988e+09 + i 8.440026e+08 ; 1.236231e+09 + i 9.168167e+08 ; 3.357489e+09 + i 3.674025e+09 ; 4.172517e+08 + i 9.205947e+08 ; 2.300703e+09 + i 3.918469e+09 ; -3.314441e+09 + i 6.118099e+09 ; 2.364580e+09 + i 3.870790e+09 ; 4.175250e+08 + i 1.035095e+09 ; -3.425881e+09 + i 6.189028e+09 ; -1.006020e+09 + i 1.922120e+09 ; -1.050939e+09 + i 2.057417e+09 ; -1.028417e+10 + i -1.572747e+10 ; -7.321005e+07 + i 4.830566e+08 ; 7.724085e+07 + i -2.554398e+08 ; 8.889970e+08 + i 7.381331e+08 ; -2.508726e+08 + i 4.315665e+08 ; -2.893958e+07 + i -1.276858e+08 ; 5.738958e+08 + i -2.584205e+05 ; -2.169660e+08 + i 5.267547e+08 ; 1.557978e+08 + i -1.603396e+08 ; 8.271540e+08 + i 1.282173e+09 ; -4.014974e+08 + i 3.097763e+08 ; -3.431646e+06 + i -1.325242e+08 ; 5.496747e+08 + i 1.142434e+08 ; -5.962226e+08 + i -4.254929e+08 ; 3.448457e+08 + i 1.721214e+08 ; 7.127727e+08 + i 9.603617e+08 ; -2.818012e+08 + i -4.643675e+08 ; 6.517264e+07 + i -8.095764e+07 ; 6.227169e+08 + i -1.228437e+07 ; -8.614969e+08 + i -1.176013e+09 ; 3.689576e+07 + i 4.928539e+07 ; 1.047529e+07 + i 1.347536e+09 ; -1.277561e+07 + i -8.792262e+08 ; 3.835492e+07 + i -5.223051e+07 ; 6.245598e+08 + i 2.049455e+08 ; 
3.525563e+09 + i 5.728799e+09 ; -5.362268e+08 + i 7.863036e+08 ; 3.260739e+08 + i -1.307670e+09 ; -3.481001e+09 + i 5.945253e+09 ; -7.405717e+08 + i -8.779722e+08 ; 2.360553e+09 + i 4.207738e+09 ; 2.686005e+09 + i 1.659209e+09 ; -1.455540e+08 + i 8.436766e+08 ; 2.253784e+08 + i -7.632374e+08 ; 3.196840e+09 + i 3.472505e+09 ; -1.709559e+09 + i -5.264404e+08 ; 1.404835e+09 + i 8.800861e+08 ; -8.566866e+09 + i 3.749845e+10 ; -1.097418e+09 + i 4.292698e+08 ; 1.158431e+09 + i -3.686316e+08 ; -1.029622e+10 + i -1.580269e+10 ; 6.247935e+08 + i -2.640917e+09 ; -8.057076e+08 + i 2.511991e+09 ; 3.493556e+09 + i 5.675282e+09 ; -3.480652e+08 + i 1.139178e+09 ; 5.858480e+08 + i -6.581703e+08 ; -3.446356e+09 + i 5.977446e+09 ; -3.578492e+09 + i -3.866184e+09 ; 5.731543e+08 + i 9.417877e+08 ; -1.183748e+09 + i -5.501787e+08 ; -1.727308e+08 + i 1.038157e+08 ; 3.898301e+08 + i 2.034810e+07 ; -6.501989e+08 + i -6.738606e+08 ; -1.223911e+07 + i 1.227695e+08 ; 9.747605e+07 + i -1.066526e+08 ; -1.320402e+09 + i 3.808493e+08 ; -2.841364e+08 + i 1.282182e+08 ; 3.041027e+08 + i -6.431348e+07 ; -1.267558e+09 + i -1.444820e+08 ; -4.185825e+07 + i 1.315177e+08 ; 7.090624e+07 + i -1.164542e+08 ; -2.172130e+07 + i -1.664860e+09 ; -2.056292e+08 + i 2.392282e+07 ; 2.138483e+08 + i 2.382001e+07 ; 2.983473e+08 + i -6.634720e+08 ; -3.693539e+07 + i 1.154991e+08 ; 6.366339e+07 + i -1.044362e+08 ; -1.169835e+09 + i -5.603265e+08 ; -3.877768e+08 + i 6.477928e+07 ; 1.969229e+08 + i -6.096474e+07 ; -6.360363e+08 + i -6.761722e+08 ; -7.151900e+07 + i 1.269739e+08 ; 4.149431e+07 + i -1.172770e+08 ; 
-5.320195e+08 + i 7.080772e+08 ; 3.460704e+09 + i 5.879379e+09 ; 3.380000e+08 + i -1.298951e+09 ; -1.620609e+08 + i 7.424657e+08 ; 2.674240e+09 + i 1.831300e+09 ; 2.279907e+08 + i -7.600245e+08 ; -7.070326e+08 + i -9.572507e+08 ; -3.472761e+09 + i 6.186763e+09 ; 2.378338e+09 + i 4.244526e+09 ; -1.682655e+09 + i -6.575083e+08 ; 3.313210e+09 + i 3.697936e+09 ; 1.413511e+09 + i 9.132178e+08 ; -1.087869e+09 + i 3.580773e+08 ; -8.624469e+09 + i 3.758004e+10 ; 1.172163e+09 + i -3.601141e+08 ; -3.498553e+08 + i 1.043295e+09 ; 3.454238e+09 + i 5.756327e+09 ; 5.899036e+08 + i -6.539715e+08 ; 6.646067e+08 + i -2.707873e+09 ; -1.039422e+10 + i -1.562432e+10 ; -7.917571e+08 + i 2.545560e+09 ; -3.529579e+09 + i -3.988638e+09 ; -3.460464e+09 + i 6.170453e+09 ; 5.801352e+08 + i 9.735737e+08 ; -2.831761e+08 + i -4.841222e+07 ; 5.794891e+08 + i -2.123515e+07 ; -5.588595e+06 + i -1.469577e+08 ; -2.523227e+08 + i -1.141183e+08 ; 2.018808e+08 + i -1.676826e+08 ; -3.855354e+07 + i -5.766761e+07 ; -2.699033e+08 + i -5.939704e+08 ; 6.224720e+08 + i -1.662525e+07 ; 7.955340e+07 + i -4.743089e+07 ; -5.301627e+07 + i -4.629443e+08 ; 1.918112e+08 + i -1.738390e+08 ; -5.008319e+06 + i -3.892131e+07 ; -2.402786e+08 + i -1.213952e+08 ; 5.607339e+08 + i 9.650623e+07 ; 1.399498e+07 + i -1.331709e+08 ; -1.865731e+08 + i -1.627820e+08 ; 2.154405e+08 + i -1.163188e+08 ; -3.389784e+07 + i -5.685863e+07 ; -1.109706e+08 + i -8.453915e+08 ; 6.267779e+08 + i 2.035719e+08 ; 3.423839e+07 + i -6.705684e+07 ; 1.325348e+08 + i -4.962915e+08 ; 2.148525e+08 + i -1.327607e+08 ; -1.660108e+07 + i -3.724360e+07 ; 
-4.161781e+08 + i 3.038451e+09 ; -3.719758e+08 + i 3.008086e+09 ; -1.042580e+10 + i -1.563144e+10 ; 3.463413e+09 + i 3.977392e+09 ; 7.395868e+08 + i 8.503512e+08 ; -3.508817e+09 + i 6.134552e+09 ; 7.036833e+08 + i 8.792754e+08 ; 3.536951e+09 + i 3.893155e+09 ; -3.516576e+09 + i 6.201055e+09 ; 1.613327e+09 + i 6.997674e+08 ; 1.660861e+09 + i 6.078859e+08 ; 3.260584e+09 + i 3.701541e+09 ; 1.171092e+09 + i -4.068704e+08 ; 1.196493e+09 + i -4.664688e+08 ; -8.651673e+09 + i 3.758197e+10 ; 1.475154e+08 + i -1.432361e+09 ; 5.719691e+08 + i -8.371882e+08 ; 3.471226e+09 + i 5.885886e+09 ; 5.634391e+08 + i -7.703930e+08 ; 1.523432e+08 + i -1.516598e+09 ; 3.463544e+09 + i 5.946097e+09 ; 1.207150e+08 + i -7.609209e+08 ; 9.949206e+07 + i -8.497211e+08 ; 2.764894e+09 + i 1.891097e+09 ; 8.720607e+07 + i 8.119266e+08 ; 1.754248e+07 + i -8.389357e+07 ; 6.277519e+08 + i 1.884993e+08 ; -1.390908e+08 + i 4.662568e+08 ; -2.739475e+07 + i -3.752139e+07 ; 2.120206e+08 + i -1.315885e+08 ; 2.363877e+08 + i 5.837726e+08 ; 7.125554e+07 + i -7.320507e+07 ; 6.150397e+08 + i -2.308000e+07 ; 2.771922e+07 + i 4.405961e+08 ; -1.686228e+07 + i -4.113041e+07 ; 1.901877e+08 + i -1.688961e+08 ; 2.460154e+08 + i 7.536065e+07 ; -1.297279e+07 + i -1.454722e+08 ; 5.596365e+08 + i 9.217515e+07 ; 1.974429e+08 + i 1.387125e+08 ; -4.786579e+07 + i -5.330784e+07 ; 2.122034e+08 + i -1.227600e+08 ; 2.685894e+08 + i 2.735230e+07 ; -3.773966e+07 + i -1.565131e+08 ; 5.782431e+08 + i -2.176244e+07 ; 2.423446e+08 + i 9.498977e+07 ; -5.515176e+07 + i -5.247115e+07 ; 1.984885e+08 + i -1.722860e+08 ; 
-3.475936e+09 + i 5.881945e+09 ; 6.691449e+08 + i 9.693812e+08 ; -2.316525e+09 + i -3.939053e+09 ; 3.345147e+09 + i 5.614385e+09 ; 5.540579e+08 + i -6.494098e+08 ; -1.910043e+08 + i 1.550607e+09 ; 3.150869e+09 + i 3.457499e+09 ; 1.680393e+09 + i 6.987579e+08 ; -1.388838e+09 + i -9.167022e+08 ; 2.480264e+09 + i 1.662034e+09 ; 1.939530e+08 + i -7.106582e+08 ; -1.687608e+08 + i 6.585943e+08 ; -1.028473e+10 + i -1.582116e+10 ; -7.100584e+08 + i 2.600615e+09 ; 6.765133e+08 + i -2.858688e+09 ; -8.621287e+09 + i 3.722068e+10 ; 1.080680e+09 + i -2.168720e+08 ; -9.677826e+08 + i 4.850728e+07 ; -3.482588e+09 + i 5.940648e+09 ; 3.342202e+09 + i 4.069665e+09 ; -6.039054e+08 + i -9.916951e+08 ; 3.338539e+09 + i 5.551725e+09 ; 3.652721e+08 + i -9.505188e+08 ; -5.185146e+08 + i 5.334417e+08 ; -1.549231e+09 + i -1.239572e+08 ; -2.339846e+08 + i -5.301028e+08 ; 8.090073e+08 + i 1.056315e+09 ; -1.186706e+09 + i -5.419501e+08 ; -3.174379e+08 + i 5.193897e+07 ; 3.554137e+08 + i -3.014156e+07 ; -1.145359e+09 + i 7.733825e+08 ; -7.671139e+08 + i -5.205499e+08 ; 5.622570e+08 + i 5.023415e+08 ; -1.319871e+09 + i 3.879267e+08 ; -3.619084e+08 + i 1.058727e+08 ; 2.826638e+08 + i -4.892457e+07 ; -1.666350e+09 + i -2.677678e+09 ; 8.444249e+07 + i -8.541487e+08 ; -2.292468e+08 + i 5.606839e+08 ; -2.910889e+07 + i -1.674431e+09 ; -3.769468e+08 + i -8.037975e+07 ; 2.683719e+08 + i 8.888878e+07 ; -1.551406e+09 + i -1.637042e+08 ; -1.107365e+09 + i -1.171592e+09 ; 8.746315e+07 + i 4.152693e+08 ; -1.171119e+09 + i -5.668866e+08 ; -4.585352e+08 + i 6.835468e+07 ; 2.424644e+08 + i -1.720886e+07 ; 
2.323739e+08 + i -7.421134e+08 ; 2.678979e+09 + i 1.807439e+09 ; 2.364676e+08 + i -6.154475e+08 ; 5.306905e+08 + i -6.439577e+08 ; 3.572966e+09 + i 5.734709e+09 ; 3.747280e+08 + i -1.189766e+09 ; 1.388162e+09 + i 7.651770e+08 ; 3.319041e+09 + i 3.690210e+09 ; 1.352647e+09 + i 9.245500e+08 ; 5.362711e+08 + i 8.507951e+08 ; -3.353674e+09 + i 6.071346e+09 ; 2.202603e+09 + i 4.092557e+09 ; 4.357394e+08 + i -9.892334e+08 ; 3.480701e+09 + i 5.762990e+09 ; 5.500792e+08 + i -6.014782e+08 ; 9.766694e+08 + i -2.246727e+08 ; -8.504491e+09 + i 3.746332e+10 ; 1.112314e+09 + i -3.087136e+08 ; 2.222815e+09 + i 3.960314e+09 ; -3.464070e+09 + i 6.173003e+09 ; 5.504195e+08 + i 9.109425e+08 ; -9.827626e+08 + i 2.038549e+09 ; -1.027907e+10 + i -1.574377e+10 ; -8.339728e+08 + i 2.345786e+09 ; -8.810422e+07 + i 4.743122e+08 ; 8.932226e+08 + i 7.373091e+08 ; 6.784557e+07 + i -2.527075e+08 ; -2.582378e+08 + i 4.198605e+08 ; 5.740370e+08 + i -2.602611e+06 ; -2.955119e+07 + i -1.254823e+08 ; -5.708998e+08 + i -4.300177e+08 ; 7.118655e+08 + i 9.605774e+08 ; 3.433424e+08 + i 1.848718e+08 ; -2.677823e+08 + i -4.531422e+08 ; 6.238268e+08 + i -1.041108e+07 ; 6.764763e+07 + i -7.760189e+07 ; -2.508488e+08 + i 5.099284e+08 ; 8.298506e+08 + i 1.281267e+09 ; 1.470700e+08 + i -1.676981e+08 ; -4.152449e+08 + i 2.882626e+08 ; 5.488099e+08 + i 1.120023e+08 ; -5.960435e+06 + i -1.302070e+08 ; -8.607322e+08 + i -1.173033e+09 ; 1.359193e+07 + i 1.351863e+09 ; 3.681288e+07 + i 5.962252e+07 ; -1.629722e+07 + i -8.773992e+08 ; 6.246857e+08 + i 2.075502e+08 ; 3.947057e+07 + i -4.868342e+07 ; 
-2.306392e+09 + i -3.870617e+09 ; 7.123301e+08 + i 8.221144e+08 ; -3.470751e+09 + i 6.075982e+09 ; 6.100199e+08 + i -2.718765e+09 ; -6.187433e+08 + i 2.820645e+09 ; -1.025370e+10 + i -1.577898e+10 ; -1.273048e+09 + i -7.932572e+08 ; 1.631921e+09 + i 7.011288e+08 ; 3.248820e+09 + i 3.671730e+09 ; -5.319128e+08 + i -7.227981e+08 ; 3.249618e+09 + i 4.042025e+09 ; -3.391965e+09 + i 6.053567e+09 ; -1.419831e+08 + i 1.780400e+09 ; 5.950725e+08 + i -7.831082e+08 ; 3.460166e+09 + i 5.908101e+09 ; -9.352406e+08 + i 2.079628e+08 ; 1.170883e+09 + i -3.920867e+08 ; -8.578359e+09 + i 3.744816e+10 ; -1.495995e+08 + i 7.891754e+08 ; 1.121227e+08 + i -7.699463e+08 ; 2.758879e+09 + i 1.891250e+09 ; -5.903481e+08 + i 7.021913e+08 ; 2.749677e+08 + i -1.404245e+09 ; 3.556707e+09 + i 5.818775e+09 ; 9.158468e+08 + i 1.233685e+09 ; 6.656530e+07 + i 1.121941e+08 ; 3.599865e+07 + i 1.392887e+09 ; 5.666763e+07 + i 9.287196e+08 ; 4.909458e+07 + i -5.334382e+07 ; 6.329373e+08 + i 2.112413e+08 ; 6.378775e+08 + i 4.665711e+08 ; 4.137068e+08 + i 1.913330e+08 ; 7.250422e+08 + i 9.690355e+08 ; 3.131196e+08 + i 4.864607e+08 ; 7.380960e+07 + i -8.900378e+07 ; 6.250651e+08 + i -5.613046e+06 ; 3.165660e+08 + i -3.455906e+08 ; 1.568342e+08 + i -2.214689e+08 ; 8.353471e+08 + i 1.274004e+09 ; 4.015166e+08 + i -1.885481e+08 ; -1.971492e+07 + i -1.557780e+08 ; 5.616393e+08 + i 1.017948e+08 ; 1.485977e+08 + i -4.096132e+08 ; 4.845460e+07 + i -3.005495e+08 ; 9.002876e+08 + i 7.317039e+08 ; 2.948685e+08 + i -3.623343e+08 ; -4.781160e+07 + i -1.464547e+08 ; 5.845607e+08 + i -1.621643e+07 ; 
2.694311e+09 + i 1.632781e+09 ; 1.962703e+08 + i -6.207118e+08 ; 1.968770e+08 + i -6.186361e+08 ; 3.188799e+09 + i 3.482216e+09 ; 1.371296e+09 + i 8.264788e+08 ; 1.369704e+09 + i 8.274545e+08 ; 3.525270e+09 + i 5.680514e+09 ; 5.709348e+08 + i -6.277499e+08 ; 3.354755e+08 + i -1.192479e+09 ; -3.508803e+09 + i 5.946707e+09 ; 6.094903e+08 + i 8.826708e+08 ; 2.088250e+09 + i 4.106067e+09 ; 3.518281e+09 + i 5.682862e+09 ; 3.335929e+08 + i -1.194647e+09 ; 5.669213e+08 + i -6.311746e+08 ; -3.514956e+09 + i 5.945157e+09 ; 2.088076e+09 + i 4.100910e+09 ; 6.131234e+08 + i 8.757263e+08 ; -8.516585e+09 + i 3.748805e+10 ; 1.145009e+09 + i -3.062684e+08 ; 1.144582e+09 + i -3.119789e+08 ; -1.031064e+10 + i -1.585546e+10 ; -8.692436e+08 + i 2.437459e+09 ; -8.647621e+08 + i 2.436584e+09 ; -1.317552e+09 + i 3.995800e+08 ; 2.945246e+08 + i -5.959385e+07 ; 2.945610e+08 + i -5.914334e+07 ; -1.272191e+09 + i -1.313419e+08 ; 6.966241e+07 + i -1.125852e+08 ; 6.992189e+07 + i -1.125123e+08 ; -1.182462e+09 + i -5.423380e+08 ; 1.981339e+08 + i -6.000819e+07 ; 3.723429e+08 + i 2.374657e+07 ; -6.461342e+08 + i -6.716842e+08 ; 4.184353e+07 + i -1.148385e+08 ; 9.511444e+07 + i -1.031270e+08 ; -1.185078e+09 + i -5.423180e+08 ; 3.720930e+08 + i 2.327420e+07 ; 1.979659e+08 + i -6.101754e+07 ; -6.478425e+08 + i -6.729681e+08 ; 9.460265e+07 + i -1.029826e+08 ; 4.117768e+07 + i -1.150289e+08 ; -2.603132e+07 + i -1.662685e+09 ; 2.064712e+08 + i 2.080341e+07 ; 2.062882e+08 + i 2.075813e+07 ; 2.999205e+08 + i -6.635742e+08 ; 6.290279e+07 + i -1.017573e+08 ; 6.247337e+07 + i -1.022123e+08 ; 
6.875855e+08 + i 9.084045e+08 ; -3.507634e+09 + i 6.127227e+09 ; -2.254448e+09 + i -3.920699e+09 ; 1.606415e+09 + i 7.561944e+08 ; 3.252366e+09 + i 3.668606e+09 ; -1.308856e+09 + i -8.098636e+08 ; 5.660223e+08 + i -6.919555e+08 ; 3.464201e+09 + i 5.935038e+09 ; -1.619073e+08 + i 1.630658e+09 ; 1.259132e+08 + i -6.800350e+08 ; 2.746842e+09 + i 1.889464e+09 ; -1.903798e+08 + i 7.009700e+08 ; -6.237923e+08 + i 2.860364e+09 ; -1.038917e+10 + i -1.568945e+10 ; 6.430306e+08 + i -2.873405e+09 ; 3.223109e+09 + i 4.123211e+09 ; -3.523639e+09 + i 6.090313e+09 ; -5.815616e+08 + i -9.158856e+08 ; 1.163427e+09 + i -3.070991e+08 ; -8.679520e+09 + i 3.759359e+10 ; -1.032888e+09 + i 9.922258e+07 ; 2.444667e+08 + i -1.267297e+09 ; 3.441992e+09 + i 5.889978e+09 ; -6.219340e+08 + i 5.716602e+08 ; 2.098582e+08 + i 6.010079e+08 ; 6.088110e+08 + i -2.402037e+07 ; -7.207141e+07 + i 3.666525e+07 ; 7.825339e+06 + i 4.515553e+08 ; 1.870578e+08 + i -1.672568e+08 ; 2.157312e+06 + i 3.329518e+07 ; 2.537357e+08 + i 5.618367e+07 ; 5.730267e+08 + i -2.185919e+07 ; -5.619746e+05 + i 1.340268e+08 ; 2.280277e+08 + i 1.133728e+08 ; 1.971182e+08 + i -1.702681e+08 ; 3.250548e+07 + i 5.403577e+07 ; 4.620157e+07 + i 8.248808e+08 ; 6.220151e+08 + i 1.854021e+08 ; -2.926470e+07 + i 5.214514e+07 ; -1.650443e+08 + i 4.675737e+08 ; 2.093440e+08 + i -1.301218e+08 ; 1.266865e+07 + i 3.249354e+07 ; 2.267150e+08 + i 1.082590e+08 ; 5.570467e+08 + i 9.318609e+07 ; -1.888734e+07 + i 1.197384e+08 ; 1.760790e+08 + i 1.583076e+08 ; 2.117967e+08 + i -1.197309e+08 ; 2.789983e+07 + i 5.325046e+07 ; 
6.828428e+08 + i 9.044150e+08 ; -2.255232e+09 + i -3.918710e+09 ; -3.501183e+09 + i 6.129395e+09 ; 1.605874e+09 + i 7.578851e+08 ; -1.308505e+09 + i -8.065973e+08 ; 3.260353e+09 + i 3.670328e+09 ; -6.205107e+08 + i 2.855016e+09 ; 6.394029e+08 + i -2.869778e+09 ; -1.039340e+10 + i -1.567172e+10 ; 3.221346e+09 + i 4.122115e+09 ; -5.821789e+08 + i -9.149581e+08 ; -3.528373e+09 + i 6.112365e+09 ; 5.611297e+08 + i -6.951994e+08 ; -1.700732e+08 + i 1.632620e+09 ; 3.445537e+09 + i 5.970313e+09 ; 1.194295e+08 + i -6.764767e+08 ; -1.936709e+08 + i 7.059524e+08 ; 2.766922e+09 + i 1.901981e+09 ; 1.167777e+09 + i -3.151620e+08 ; -1.031180e+09 + i 9.871134e+07 ; -8.686563e+09 + i 3.758389e+10 ; 2.431929e+08 + i -1.268077e+09 ; -6.193604e+08 + i 5.725362e+08 ; 3.450182e+09 + i 5.904328e+09 ; 2.105706e+08 + i 6.022200e+08 ; -7.211972e+07 + i 3.710530e+07 ; 6.091278e+08 + i -2.168354e+07 ; 7.166726e+06 + i 4.521693e+08 ; 2.357459e+06 + i 3.340747e+07 ; 1.882820e+08 + i -1.667240e+08 ; 4.665469e+07 + i 8.241333e+08 ; -2.978264e+07 + i 5.264498e+07 ; 6.230174e+08 + i 1.881600e+08 ; -1.646383e+08 + i 4.668432e+08 ; 1.264221e+07 + i 3.294136e+07 ; 2.112307e+08 + i -1.297886e+08 ; 2.537913e+08 + i 5.719202e+07 ; -7.124918e+05 + i 1.342593e+08 ; 5.735234e+08 + i -2.138623e+07 ; 2.274861e+08 + i 1.138292e+08 ; 3.259015e+07 + i 5.404941e+07 ; 1.968446e+08 + i -1.704973e+08 ; 2.274058e+08 + i 1.097404e+08 ; -1.918595e+07 + i 1.195704e+08 ; 5.568459e+08 + i 9.309658e+07 ; 1.760076e+08 + i 1.588256e+08 ; 2.768457e+07 + i 5.342982e+07 ; 2.117575e+08 + i -1.207881e+08 ; 
3.130097e+09 + i 3.435710e+09 ; -1.285704e+09 + i -8.820982e+08 ; -1.282733e+09 + i -8.829444e+08 ; 2.468929e+09 + i 1.654747e+09 ; -9.633755e+07 + i 4.736102e+08 ; -9.675240e+07 + i 4.708038e+08 ; -3.506545e+09 + i 5.861112e+09 ; -6.263385e+08 + i -8.824952e+08 ; -2.105622e+09 + i -3.933234e+09 ; 3.328810e+09 + i 5.608027e+09 ; -5.811473e+08 + i 4.983752e+08 ; -1.813371e+08 + i 1.377262e+09 ; -3.512511e+09 + i 5.861740e+09 ; -2.107941e+09 + i -3.928295e+09 ; -6.312054e+08 + i -8.731840e+08 ; 3.320937e+09 + i 5.612556e+09 ; -1.814872e+08 + i 1.380092e+09 ; -5.777025e+08 + i 5.021545e+08 ; -1.026122e+10 + i -1.590356e+10 ; 7.399721e+08 + i -2.719490e+09 ; 7.324879e+08 + i -2.718238e+09 ; -8.628122e+09 + i 3.722309e+10 ; -9.695549e+08 + i 1.398152e+07 ; -9.703493e+08 + i 1.969065e+07 ; -1.124626e+09 + i 7.874946e+08 ; 4.970139e+08 + i 5.492788e+08 ; 4.954895e+08 + i 5.498960e+08 ; -1.310841e+09 + i 4.030454e+08 ; 2.829688e+08 + i -1.312656e+07 ; 2.826704e+08 + i -1.203323e+07 ; -1.541132e+09 + i -1.251054e+08 ; 4.285395e+07 + i 4.744586e+08 ; 7.300163e+08 + i 1.077603e+09 ; -1.178128e+09 + i -5.467874e+08 ; 2.466770e+08 + i 1.692029e+07 ; 3.526287e+08 + i 6.551256e+04 ; -1.541705e+09 + i -1.254923e+08 ; 7.314841e+08 + i 1.076352e+09 ; 4.362423e+07 + i 4.722388e+08 ; -1.178276e+09 + i -5.475407e+08 ; 3.520403e+08 + i -1.006419e+06 ; 2.458813e+08 + i 1.534841e+07 ; -1.664982e+09 + i -2.670427e+09 ; -2.644990e+08 + i 5.740383e+08 ; -2.636086e+08 + i 5.739729e+08 ; -2.486407e+07 + i -1.675444e+09 ; 2.653048e+08 + i 1.137111e+08 ; 2.660376e+08 + i 1.122761e+08 ; 
-1.296880e+09 + i -7.625053e+08 ; 3.236972e+09 + i 3.649364e+09 ; -1.266642e+09 + i -8.442507e+08 ; -6.100127e+08 + i -7.090280e+08 ; -3.390756e+09 + i 5.993097e+09 ; -2.086858e+09 + i -3.877615e+09 ; -7.818049e+07 + i 6.410632e+08 ; 2.731053e+09 + i 1.876184e+09 ; -1.289261e+08 + i 5.461462e+08 ; -5.399884e+08 + i 6.267557e+08 ; 3.549868e+09 + i 5.817079e+09 ; -2.125624e+08 + i 1.472583e+09 ; -2.152149e+09 + i -3.822093e+09 ; -3.490767e+09 + i 6.050008e+09 ; -6.130974e+08 + i -8.294116e+08 ; 7.017615e+08 + i -2.516213e+09 ; -1.023862e+10 + i -1.582999e+10 ; 7.462129e+08 + i -2.662967e+09 ; -1.952801e+08 + i 1.554813e+09 ; 3.436083e+09 + i 5.904033e+09 ; -6.295510e+08 + i 5.602126e+08 ; -9.574938e+08 + i 1.587794e+08 ; -8.604694e+09 + i 3.747172e+10 ; -1.024835e+09 + i 8.525534e+07 ; 5.955313e+08 + i 4.367438e+08 ; 7.215604e+08 + i 9.602941e+08 ; -3.189910e+08 + i -2.007948e+08 ; 2.933602e+08 + i 4.556949e+08 ; 6.203024e+08 + i -8.070383e+06 ; -6.969229e+07 + i 6.841776e+07 ; 1.665116e+08 + i -4.328495e+08 ; 8.994737e+08 + i 7.279231e+08 ; -6.690023e+07 + i 2.325914e+08 ; 3.076592e+08 + i -3.652170e+08 ; 5.818750e+08 + i -1.554496e+07 ; 2.118495e+07 + i 1.182906e+08 ; 8.494243e+08 + i 1.195920e+09 ; 3.744896e+07 + i 1.382252e+09 ; -2.984686e+07 + i -6.584622e+07 ; 2.354757e+07 + i 8.813146e+08 ; 6.287907e+08 + i 2.091075e+08 ; -4.023129e+07 + i 4.191776e+07 ; 3.143999e+08 + i -3.791869e+08 ; 8.349893e+08 + i 1.279151e+09 ; -1.474717e+08 + i 1.521844e+08 ; 4.087547e+08 + i -2.025271e+08 ; 5.593376e+08 + i 1.058134e+08 ; -4.195231e+05 + i 1.228840e+08 ; 
