1.680779e+00 + i 9.546003e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.251522e-01 + i -4.559457e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.876567e-02 + i -4.034373e-03 ; -8.621382e-02 + i -1.208916e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.876567e-02 + i -4.034373e-03 ; 0.000000e+00 + i -0.000000e+00 ; -8.621382e-02 + i -1.208916e-02 ; 5.744815e-02 + i 8.054784e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.261821e-05 + i -3.936909e-06 ; -3.128780e-02 + i -4.387268e-03 ; -3.128780e-02 + i -4.387268e-03 ; -1.600748e-02 + i -2.245381e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -6.282450e-03 + i -8.817087e-04 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.090390e-02 + i -1.529742e-03 ; -6.415319e-03 + i -8.995750e-04 ; 0.000000e+00 + i -0.000000e+00 ; -5.093486e-03 + i -7.149887e-04 ; -2.120756e-03 + i -2.973788e-04 ; 0.000000e+00 + i -0.000000e+00 ; -1.090390e-02 + i -1.529742e-03 ; 0.000000e+00 + i -0.000000e+00 ; -6.415319e-03 + i -8.995750e-04 ; -5.093486e-03 + i -7.149887e-04 ; 0.000000e+00 + i -0.000000e+00 ; -2.120756e-03 + i -2.973788e-04 ; -7.654873e-03 + i -1.074154e-03 ; -4.850788e-03 + i -6.801918e-04 ; -4.850788e-03 + i -6.801918e-04 ; -4.170718e-03 + i -5.855953e-04 ; -1.803156e-03 + i -2.528440e-04 ; -1.803156e-03 + i -2.528440e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; 1.680779e+00 + i 9.546003e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.251522e-01 + i -4.559457e-02 ; 0.000000e+00 + i -0.000000e+00 ; -8.621382e-02 + i -1.208916e-02 ; -2.876567e-02 + i -4.034373e-03 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.744815e-02 + i 8.054784e-03 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.876567e-02 + i -4.034373e-03 ; -8.621382e-02 + i -1.208916e-02 ; -3.128780e-02 + i -4.387268e-03 ; -2.261821e-05 + i -3.936909e-06 ; -3.128780e-02 + i -4.387268e-03 ; -0.000000e+00 + i -0.000000e+00 ; 7.982284e-03 + i 1.118534e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.125584e-03 + i 4.375140e-04 ; -0.000000e+00 + i -0.000000e+00 ; -6.415319e-03 + i -8.995750e-04 ; 4.256655e-03 + i 5.961157e-04 ; 0.000000e+00 + i -0.000000e+00 ; -2.120756e-03 + i -2.973788e-04 ; 2.247326e-03 + i 3.143620e-04 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.606983e-03 + i 9.256857e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.815963e-03 + i 3.940980e-04 ; -0.000000e+00 + i -0.000000e+00 ; -4.850788e-03 + i -6.801918e-04 ; 3.808413e-03 + i 5.332619e-04 ; -1.777143e-03 + i -2.491963e-04 ; -1.803156e-03 + i -2.528440e-04 ; 2.070750e-03 + i 2.896021e-04 ; -4.834793e-04 + i -6.779492e-05 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.680779e+00 + i 9.546003e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.744815e-02 + i 8.054784e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.251522e-01 + i -4.559457e-02 ; -8.621382e-02 + i -1.208916e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.876567e-02 + i -4.034373e-03 ; 0.000000e+00 + i -0.000000e+00 ; -8.621382e-02 + i -1.208916e-02 ; -2.876567e-02 + i -4.034373e-03 ; -3.128780e-02 + i -4.387268e-03 ; -3.128780e-02 + i -4.387268e-03 ; -2.261821e-05 + i -3.936909e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.982284e-03 + i 1.118534e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.125584e-03 + i 4.375140e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.606983e-03 + i 9.256857e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.815963e-03 + i 3.940980e-04 ; -6.415319e-03 + i -8.995750e-04 ; 0.000000e+00 + i -0.000000e+00 ; 4.256655e-03 + i 5.961157e-04 ; -2.120756e-03 + i -2.973788e-04 ; 0.000000e+00 + i -0.000000e+00 ; 2.247326e-03 + i 3.143620e-04 ; -4.850788e-03 + i -6.801918e-04 ; -1.777143e-03 + i -2.491963e-04 ; 3.808413e-03 + i 5.332619e-04 ; -1.803156e-03 + i -2.528440e-04 ; -4.834793e-04 + i -6.779492e-05 ; 2.070750e-03 + i 2.896021e-04 ; 
-3.251522e-01 + i -4.559457e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.680779e+00 + i 9.546003e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.876567e-02 + i -4.034373e-03 ; 8.621382e-02 + i 1.208916e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.876567e-02 + i -4.034373e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.621382e-02 + i 1.208916e-02 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.261821e-05 + i -3.936909e-06 ; 3.128780e-02 + i 4.387268e-03 ; 3.128780e-02 + i 4.387268e-03 ; 5.744815e-02 + i 8.054784e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.287091e-02 + i -8.816710e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.600748e-02 + i -2.245381e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.547333e-02 + i -3.572711e-03 ; -2.650606e-02 + i -3.716758e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.090390e-02 + i -1.529742e-03 ; -6.415319e-03 + i -8.995750e-04 ; 0.000000e+00 + i -0.000000e+00 ; -2.547333e-02 + i -3.572711e-03 ; 0.000000e+00 + i -0.000000e+00 ; -2.650606e-02 + i -3.716758e-03 ; -1.090390e-02 + i -1.529742e-03 ; 0.000000e+00 + i -0.000000e+00 ; -6.415319e-03 + i -8.995750e-04 ; -1.165185e-02 + i -1.634622e-03 ; -1.515738e-02 + i -2.125412e-03 ; -1.515738e-02 + i -2.125412e-03 ; -7.654873e-03 + i -1.074154e-03 ; -4.850788e-03 + i -6.801918e-04 ; -4.850788e-03 + i -6.801918e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.680779e+00 + i 9.546003e-02 ; -0.000000e+00 + i -0.000000e+00 ; 8.621382e-02 + i 1.208916e-02 ; -2.876567e-02 + i -4.034373e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.251522e-01 + i -4.559457e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.744815e-02 + i 8.054784e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.128780e-02 + i 4.387268e-03 ; -2.261821e-05 + i -3.936909e-06 ; -3.128780e-02 + i -4.387268e-03 ; 0.000000e+00 + i -0.000000e+00 ; -2.876567e-02 + i -4.034373e-03 ; -8.621382e-02 + i -1.208916e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.140148e-02 + i 4.402443e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.982284e-03 + i 1.118534e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.650606e-02 + i -3.716758e-03 ; 5.044539e-03 + i 7.065948e-04 ; 0.000000e+00 + i -0.000000e+00 ; -6.415319e-03 + i -8.995750e-04 ; 4.256655e-03 + i 5.961157e-04 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.037001e-02 + i 2.855578e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.606983e-03 + i 9.256857e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.515738e-02 + i -2.125412e-03 ; 5.799666e-03 + i 8.124811e-04 ; -8.763809e-03 + i -1.228887e-03 ; -4.850788e-03 + i -6.801918e-04 ; 3.808413e-03 + i 5.332619e-04 ; -1.777143e-03 + i -2.491963e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.680779e+00 + i 9.546003e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.744815e-02 + i 8.054784e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.625172e-01 + i 2.278788e-02 ; 8.621382e-02 + i 1.208916e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.876567e-02 + i -4.034373e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.251522e-01 + i -4.559457e-02 ; 3.128780e-02 + i 4.387268e-03 ; -3.128780e-02 + i -4.387268e-03 ; -2.261821e-05 + i -3.936909e-06 ; 0.000000e+00 + i -0.000000e+00 ; -8.621382e-02 + i -1.208916e-02 ; -2.876567e-02 + i -4.034373e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.140148e-02 + i 4.402443e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.982284e-03 + i 1.118534e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.037001e-02 + i 2.855578e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.606983e-03 + i 9.256857e-04 ; -2.650606e-02 + i -3.716758e-03 ; 0.000000e+00 + i -0.000000e+00 ; 5.044539e-03 + i 7.065948e-04 ; -6.415319e-03 + i -8.995750e-04 ; 0.000000e+00 + i -0.000000e+00 ; 4.256655e-03 + i 5.961157e-04 ; -1.515738e-02 + i -2.125412e-03 ; -8.763809e-03 + i -1.228887e-03 ; 5.799666e-03 + i 8.124811e-04 ; -4.850788e-03 + i -6.801918e-04 ; -1.777143e-03 + i -2.491963e-04 ; 3.808413e-03 + i 5.332619e-04 ; 
1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.876567e-02 + i -4.034373e-03 ; 8.621382e-02 + i 1.208916e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.680779e+00 + i 9.546003e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.251522e-01 + i -4.559457e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 5.744815e-02 + i 8.054784e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.261821e-05 + i -3.936909e-06 ; 3.128780e-02 + i 4.387268e-03 ; -3.128780e-02 + i -4.387268e-03 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.876567e-02 + i -4.034373e-03 ; 0.000000e+00 + i -0.000000e+00 ; -8.621382e-02 + i -1.208916e-02 ; -1.090390e-02 + i -1.529742e-03 ; 6.415319e-03 + i 8.995750e-04 ; 0.000000e+00 + i -0.000000e+00 ; -5.093486e-03 + i -7.149887e-04 ; 2.120756e-03 + i 2.973788e-04 ; 0.000000e+00 + i -0.000000e+00 ; -1.600748e-02 + i -2.245381e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -6.282450e-03 + i -8.817087e-04 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -7.654873e-03 + i -1.074154e-03 ; 4.850788e-03 + i 6.801918e-04 ; -4.850788e-03 + i -6.801918e-04 ; -4.170718e-03 + i -5.855953e-04 ; 1.803156e-03 + i 2.528440e-04 ; -1.803156e-03 + i -2.528440e-04 ; -1.090390e-02 + i -1.529742e-03 ; 0.000000e+00 + i -0.000000e+00 ; -6.415319e-03 + i -8.995750e-04 ; -5.093486e-03 + i -7.149887e-04 ; 0.000000e+00 + i -0.000000e+00 ; -2.120756e-03 + i -2.973788e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; -3.251522e-01 + i -4.559457e-02 ; -0.000000e+00 + i -0.000000e+00 ; 8.621382e-02 + i 1.208916e-02 ; -2.876567e-02 + i -4.034373e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.680779e+00 + i 9.546003e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.876567e-02 + i -4.034373e-03 ; 8.621382e-02 + i 1.208916e-02 ; 3.128780e-02 + i 4.387268e-03 ; -2.261821e-05 + i -3.936909e-06 ; 3.128780e-02 + i 4.387268e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.744815e-02 + i 8.054784e-03 ; -0.000000e+00 + i -0.000000e+00 ; 6.415319e-03 + i 8.995750e-04 ; 4.256655e-03 + i 5.961157e-04 ; -0.000000e+00 + i -0.000000e+00 ; 2.120756e-03 + i 2.973788e-04 ; 2.247326e-03 + i 3.143620e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.982284e-03 + i 1.118534e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.125584e-03 + i 4.375140e-04 ; -0.000000e+00 + i -0.000000e+00 ; 4.850788e-03 + i 6.801918e-04 ; 3.808413e-03 + i 5.332619e-04 ; 1.777143e-03 + i 2.491963e-04 ; 1.803156e-03 + i 2.528440e-04 ; 2.070750e-03 + i 2.896021e-04 ; 4.834793e-04 + i 6.779492e-05 ; -0.000000e+00 + i -0.000000e+00 ; 6.606983e-03 + i 9.256857e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.815963e-03 + i 3.940980e-04 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.744815e-02 + i 8.054784e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.680779e+00 + i 9.546003e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.625172e-01 + i 2.278788e-02 ; 0.000000e+00 + i -0.000000e+00 ; 8.621382e-02 + i 1.208916e-02 ; -2.876567e-02 + i -4.034373e-03 ; -3.128780e-02 + i -4.387268e-03 ; 3.128780e-02 + i 4.387268e-03 ; -2.261821e-05 + i -3.936909e-06 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.251522e-01 + i -4.559457e-02 ; -8.621382e-02 + i -1.208916e-02 ; 0.000000e+00 + i -0.000000e+00 ; -2.876567e-02 + i -4.034373e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.606983e-03 + i 9.256857e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.815963e-03 + i 3.940980e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.982284e-03 + i 1.118534e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.125584e-03 + i 4.375140e-04 ; -4.850788e-03 + i -6.801918e-04 ; 1.777143e-03 + i 2.491963e-04 ; 3.808413e-03 + i 5.332619e-04 ; -1.803156e-03 + i -2.528440e-04 ; 4.834793e-04 + i 6.779492e-05 ; 2.070750e-03 + i 2.896021e-04 ; -6.415319e-03 + i -8.995750e-04 ; 0.000000e+00 + i -0.000000e+00 ; 4.256655e-03 + i 5.961157e-04 ; -2.120756e-03 + i -2.973788e-04 ; 0.000000e+00 + i -0.000000e+00 ; 2.247326e-03 + i 3.143620e-04 ; 
-2.876567e-02 + i -4.034373e-03 ; -8.621382e-02 + i -1.208916e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.251522e-01 + i -4.559457e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.680779e+00 + i 9.546003e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.261821e-05 + i -3.936909e-06 ; -3.128780e-02 + i -4.387268e-03 ; 3.128780e-02 + i 4.387268e-03 ; 5.744815e-02 + i 8.054784e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.876567e-02 + i -4.034373e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.621382e-02 + i 1.208916e-02 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.547333e-02 + i -3.572711e-03 ; 2.650606e-02 + i 3.716758e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.090390e-02 + i -1.529742e-03 ; 6.415319e-03 + i 8.995750e-04 ; 0.000000e+00 + i -0.000000e+00 ; -6.287091e-02 + i -8.816710e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.600748e-02 + i -2.245381e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.165185e-02 + i -1.634622e-03 ; 1.515738e-02 + i 2.125412e-03 ; -1.515738e-02 + i -2.125412e-03 ; -7.654873e-03 + i -1.074154e-03 ; 4.850788e-03 + i 6.801918e-04 ; -4.850788e-03 + i -6.801918e-04 ; -2.547333e-02 + i -3.572711e-03 ; 0.000000e+00 + i -0.000000e+00 ; -2.650606e-02 + i -3.716758e-03 ; -1.090390e-02 + i -1.529742e-03 ; 0.000000e+00 + i -0.000000e+00 ; -6.415319e-03 + i -8.995750e-04 ; 
-8.621382e-02 + i -1.208916e-02 ; -2.876567e-02 + i -4.034373e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.251522e-01 + i -4.559457e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.680779e+00 + i 9.546003e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.128780e-02 + i -4.387268e-03 ; -2.261821e-05 + i -3.936909e-06 ; 3.128780e-02 + i 4.387268e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.876567e-02 + i -4.034373e-03 ; 8.621382e-02 + i 1.208916e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.744815e-02 + i 8.054784e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.625172e-01 + i 2.278788e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.650606e-02 + i 3.716758e-03 ; 5.044539e-03 + i 7.065948e-04 ; -0.000000e+00 + i -0.000000e+00 ; 6.415319e-03 + i 8.995750e-04 ; 4.256655e-03 + i 5.961157e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.140148e-02 + i 4.402443e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.982284e-03 + i 1.118534e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.515738e-02 + i 2.125412e-03 ; 5.799666e-03 + i 8.124811e-04 ; 8.763809e-03 + i 1.228887e-03 ; 4.850788e-03 + i 6.801918e-04 ; 3.808413e-03 + i 5.332619e-04 ; 1.777143e-03 + i 2.491963e-04 ; -0.000000e+00 + i -0.000000e+00 ; 2.037001e-02 + i 2.855578e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 6.606983e-03 + i 9.256857e-04 ; -0.000000e+00 + i -0.000000e+00 ; 
