1.141061e+09 + i 7.084587e+09 ; -1.064994e+08 + i 4.813395e+08 ; -1.121203e+08 + i 4.853488e+08 ; -4.032947e+09 + i -1.651675e+09 ; -5.013751e+08 + i -7.319796e+08 ; -5.094023e+08 + i -7.352569e+08 ; 1.042810e+09 + i 7.070784e+08 ; 1.492247e+08 + i 3.782930e+08 ; 1.774418e+08 + i 4.331453e+08 ; 3.745074e+08 + i 1.912406e+09 ; -1.192060e+09 + i 4.152048e+07 ; -3.621135e+08 + i 6.842574e+07 ; 1.039259e+09 + i 7.185661e+08 ; 1.824741e+08 + i 4.279277e+08 ; 1.587147e+08 + i 3.740662e+08 ; 3.678492e+08 + i 1.918384e+09 ; -3.545528e+08 + i 7.388162e+07 ; -1.189501e+09 + i 4.195091e+07 ; 1.253762e+09 + i 3.522388e+08 ; 2.165273e+08 + i 3.525065e+08 ; 2.206680e+08 + i 3.588037e+08 ; 1.654263e+09 + i 2.299584e+08 ; -3.485355e+08 + i 2.566645e+08 ; -3.464275e+08 + i 2.604137e+08 ; -9.735611e+07 + i -3.143562e+08 ; -3.037105e+07 + i 6.887635e+07 ; -3.154131e+07 + i 6.724782e+07 ; 1.297344e+08 + i -1.332158e+08 ; 4.962216e+07 + i 3.062043e+07 ; 4.871638e+07 + i 3.128259e+07 ; -3.364797e+08 + i 1.576729e+08 ; -3.517352e+07 + i 9.827417e+07 ; 1.062995e+07 + i 7.854505e+07 ; -2.694257e+08 + i 2.382507e+07 ; 5.010348e+07 + i 3.496905e+07 ; 6.271438e+07 + i 2.616757e+07 ; -3.403067e+08 + i 1.611203e+08 ; 1.192546e+07 + i 7.883759e+07 ; -3.537264e+07 + i 9.611337e+07 ; -2.739077e+08 + i 2.587383e+07 ; 6.329421e+07 + i 2.515516e+07 ; 4.853662e+07 + i 3.386197e+07 ; -3.294445e+08 + i 4.925537e+08 ; 3.568534e+06 + i 9.656225e+07 ; 4.466126e+06 + i 9.498264e+07 ; -4.717471e+08 + i 3.941135e+08 ; 6.349168e+07 + i 2.927163e+07 ; 6.342151e+07 + i 2.815077e+07 ; 
-1.248183e+07 + i -3.239076e+08 ; 4.602687e+07 + i -3.210631e+08 ; 1.288011e+09 + i 3.679649e+08 ; 3.331484e+07 + i -3.703847e+08 ; 4.899187e+07 + i -3.330800e+08 ; 1.084258e+09 + i 6.339480e+08 ; 1.605635e+07 + i -3.348911e+08 ; 8.046665e+07 + i -3.890149e+08 ; 1.060285e+09 + i 6.904443e+08 ; 2.502724e+08 + i -2.986129e+08 ; 2.807343e+08 + i -3.141779e+08 ; 1.244707e+09 + i 6.986267e+09 ; 3.268103e+08 + i 6.064789e+07 ; 3.304720e+08 + i 7.939585e+07 ; 1.779362e+09 + i 2.470336e+08 ; 3.078874e+08 + i 1.827543e+08 ; 8.293413e+08 + i 4.602193e+08 ; 4.222372e+08 + i 1.900919e+09 ; 8.428702e+08 + i 4.459010e+08 ; 3.240216e+08 + i 1.964249e+08 ; 4.009174e+08 + i 1.955063e+09 ; 6.338126e+07 + i 6.544755e+08 ; 6.596099e+07 + i 6.790355e+08 ; -4.064257e+09 + i -1.746985e+09 ; 1.032700e+08 + i 1.684277e+08 ; -3.848485e+07 + i -7.753431e+07 ; 3.064154e+08 + i 2.432757e+07 ; 6.619553e+07 + i 2.177227e+08 ; -5.221768e+07 + i -2.319359e+07 ; 1.596757e+08 + i -1.792901e+08 ; 5.734294e+07 + i 1.758361e+08 ; -9.589294e+06 + i -7.759676e+07 ; 2.594480e+08 + i 1.326992e+08 ; -2.738124e+07 + i 1.930374e+08 ; -5.419302e+07 + i -2.726891e+07 ; 1.450215e+08 + i -1.059168e+08 ; -1.442187e+08 + i 1.812336e+06 ; 7.095751e+07 + i -3.605536e+07 ; 3.287236e+08 + i 4.962727e+07 ; -1.319477e+08 + i -5.536814e+07 ; -2.326557e+07 + i -2.460040e+07 ; 1.481781e+08 + i -2.001374e+08 ; -2.846413e+08 + i -1.315250e+08 ; 5.169849e+06 + i -9.510318e+06 ; 1.718277e+08 + i 2.621596e+08 ; -1.163307e+08 + i -2.315702e+08 ; -1.919922e+07 + i -1.782537e+07 ; 1.642074e+08 + i -1.267575e+08 ; 
1.063776e+09 + i 6.887546e+08 ; 1.442501e+08 + i 4.331197e+08 ; -2.081255e+08 + i -3.833010e+08 ; 3.089974e+08 + i 1.945308e+09 ; -4.085742e+08 + i 5.111847e+07 ; 9.396070e+08 + i 6.950754e+08 ; 1.202264e+09 + i 3.231169e+08 ; 1.553840e+08 + i 3.642602e+08 ; -5.630664e+07 + i -3.466764e+08 ; 1.648091e+09 + i 2.798274e+08 ; -3.935966e+08 + i 2.510283e+08 ; 4.482462e+08 + i 3.055322e+07 ; 1.208211e+09 + i 7.051121e+09 ; -1.068782e+08 + i 4.774853e+08 ; 2.011465e+08 + i -4.887026e+08 ; -4.086938e+09 + i -1.703050e+09 ; -4.649612e+08 + i -7.864843e+08 ; 2.751648e+08 + i 7.745046e+08 ; 9.760983e+08 + i 6.481610e+08 ; 1.345310e+08 + i 3.475554e+08 ; -2.696975e+06 + i -4.143240e+08 ; 3.407528e+08 + i 1.922764e+09 ; -1.257730e+09 + i -1.527864e+08 ; 4.041065e+08 + i 9.736957e+07 ; -3.320796e+08 + i 1.741771e+08 ; 7.358903e+06 + i 8.783725e+07 ; 8.770915e+07 + i -8.795171e+07 ; -2.784301e+08 + i 2.968658e+07 ; 6.540629e+07 + i 3.029112e+07 ; -3.195049e+07 + i -6.321014e+07 ; -3.090568e+08 + i 5.049279e+08 ; -1.514993e+06 + i 1.026116e+08 ; 4.742150e+07 + i -1.065401e+08 ; -4.668453e+08 + i 4.060972e+08 ; 6.641716e+07 + i 3.447060e+07 ; -4.670548e+07 + i -6.568302e+07 ; -9.604741e+07 + i -3.181757e+08 ; -3.226699e+07 + i 7.004247e+07 ; 6.244987e+07 + i -5.954055e+07 ; 1.434195e+08 + i -1.446526e+08 ; 5.058042e+07 + i 3.629921e+07 ; -3.992655e+07 + i -5.881411e+07 ; -3.272189e+08 + i 1.631650e+08 ; -4.413819e+07 + i 1.006564e+08 ; 3.360807e+07 + i -9.291975e+07 ; -2.714811e+08 + i 1.823600e+07 ; 4.966893e+07 + i 4.080750e+07 ; -5.604094e+07 + i -6.040945e+07 ; 
1.076600e+08 + i 4.024705e+08 ; 1.078205e+09 + i 7.419692e+08 ; -1.999029e+08 + i -3.869219e+08 ; 9.547049e+07 + i 3.374663e+08 ; 1.280865e+09 + i 4.021198e+08 ; -5.607384e+07 + i -3.527876e+08 ; -4.349627e+08 + i 2.396443e+07 ; 3.990284e+08 + i 1.975414e+09 ; 9.606520e+08 + i 7.004674e+08 ; -4.422993e+08 + i 2.179511e+08 ; 1.786596e+09 + i 3.127188e+08 ; 4.654761e+08 + i 4.340350e+07 ; -1.439135e+08 + i 4.531165e+08 ; 1.232343e+09 + i 7.021084e+09 ; 2.109646e+08 + i -4.969028e+08 ; 8.389010e+07 + i 3.238195e+08 ; 9.870209e+08 + i 6.553712e+08 ; 1.166582e+06 + i -4.218481e+08 ; -4.897513e+08 + i -8.049300e+08 ; -4.053705e+09 + i -1.682700e+09 ; 2.986892e+08 + i 7.763415e+08 ; -1.295012e+09 + i -1.839077e+08 ; 3.772688e+08 + i 1.979998e+09 ; 4.237998e+08 + i 1.041425e+08 ; -1.518343e+08 + i 1.020562e+08 ; 1.404438e+08 + i -2.046039e+08 ; -4.894416e+07 + i -4.054234e+07 ; -1.609836e+08 + i 7.243568e+07 ; -6.469113e+07 + i -1.391824e+08 ; -3.733299e+07 + i 4.937660e+06 ; -1.909999e+08 + i -5.768889e+07 ; 1.369770e+08 + i -2.105957e+08 ; -8.161777e+05 + i -2.522444e+07 ; -1.344755e+08 + i -8.448397e+07 ; -7.390871e+07 + i -1.378863e+08 ; -1.918470e+07 + i 3.613778e+06 ; -1.297281e+08 + i 6.168839e+07 ; 1.335369e+08 + i -1.272600e+08 ; -4.466636e+07 + i -4.009791e+07 ; -1.320407e+08 + i 3.761320e+07 ; -4.536953e+07 + i -1.130425e+08 ; -3.656468e+07 + i 6.079089e+06 ; -1.666048e+08 + i -1.511823e+08 ; 1.620686e+08 + i -1.314628e+08 ; -1.191562e+07 + i -2.207122e+07 ; -5.532046e+07 + i -1.327050e+08 ; -5.600570e+07 + i -1.143205e+08 ; -1.932569e+07 + i 7.243783e+06 ; 
7.252028e+08 + i 7.828589e+08 ; 7.226099e+08 + i 7.821135e+08 ; -4.101547e+09 + i -1.669648e+09 ; 1.209103e+09 + i 2.207008e+08 ; 3.793508e+08 + i -3.300827e+07 ; 3.415173e+08 + i 1.992391e+09 ; 3.705724e+08 + i -2.733791e+07 ; 1.199561e+09 + i 1.865071e+08 ; 3.688097e+08 + i 2.027531e+09 ; 4.344579e+08 + i -1.107730e+08 ; 4.199432e+08 + i -1.421172e+08 ; 1.741921e+09 + i 3.568526e+08 ; 1.906323e+08 + i -5.291855e+08 ; 1.725537e+08 + i -5.667076e+08 ; 1.218963e+09 + i 7.051139e+09 ; -3.543003e+08 + i -3.648560e+08 ; -1.620415e+08 + i -5.313279e+08 ; 1.117606e+09 + i 7.121023e+08 ; -1.337912e+08 + i -4.942838e+08 ; -3.939988e+08 + i -3.907180e+08 ; 1.143291e+09 + i 7.419494e+08 ; -1.171371e+08 + i -3.476632e+08 ; -1.693493e+08 + i -3.672438e+08 ; 1.398283e+09 + i 3.510771e+08 ; 1.285559e+08 + i 1.540372e+08 ; -2.735124e+07 + i -1.507004e+07 ; 1.587048e+08 + i -1.358098e+08 ; 2.684616e+07 + i 1.215799e+08 ; -1.911079e+07 + i 1.706554e+07 ; -5.029495e+07 + i -1.126317e+08 ; 1.594029e+08 + i 8.466010e+07 ; -1.663156e+07 + i -2.266825e+07 ; 1.378527e+08 + i -2.041658e+08 ; 9.534237e+07 + i 9.880824e+07 ; -1.881862e+07 + i 1.706353e+07 ; -5.942739e+07 + i -1.364824e+08 ; 1.096018e+08 + i -7.903993e+07 ; -6.549685e+07 + i -2.633431e+07 ; 1.273979e+08 + i -1.245545e+08 ; 1.259213e+08 + i -5.272423e+07 ; -3.750676e+07 + i 2.017255e+07 ; -5.486799e+07 + i -1.103124e+08 ; 1.339087e+08 + i -8.778445e+07 ; -7.040921e+07 + i -2.400331e+07 ; 1.395202e+08 + i -1.969022e+08 ; 1.409751e+08 + i -6.241150e+07 ; -3.755785e+07 + i 2.389044e+07 ; -7.052190e+07 + i -1.366009e+08 ; 
3.014050e+08 + i 1.893250e+09 ; 4.278105e+08 + i 2.969173e+07 ; -8.246707e+08 + i -4.535222e+08 ; 1.015450e+09 + i 7.429595e+08 ; -5.278623e+07 + i -4.432254e+08 ; 3.038672e+08 + i 5.420754e+08 ; 1.594833e+09 + i 2.836900e+08 ; 4.566234e+08 + i -1.933788e+08 ; -4.487893e+08 + i 8.370327e+04 ; 1.201777e+09 + i 4.127867e+08 ; -8.394772e+07 + i -3.755786e+08 ; 5.725459e+07 + i 3.315495e+08 ; -4.079877e+09 + i -1.717145e+09 ; 4.053997e+08 + i 8.101317e+08 ; -4.206485e+08 + i -9.216149e+08 ; 1.132442e+09 + i 7.053051e+09 ; 2.591898e+08 + i -4.195253e+08 ; -2.617984e+08 + i 2.617268e+08 ; 2.760955e+08 + i 1.915772e+09 ; 1.260078e+09 + i 2.672319e+08 ; -4.248700e+08 + i -1.142104e+08 ; 9.522339e+08 + i 6.953841e+08 ; -5.455775e+07 + i -3.010460e+08 ; -1.764524e+06 + i 3.417631e+08 ; -3.012069e+08 + i 3.030032e+08 ; -2.184692e+08 + i -5.669075e+07 ; 2.586806e+08 + i 5.706254e+07 ; -3.362659e+08 + i 1.912231e+08 ; -7.352488e+07 + i 1.669206e+08 ; 5.584637e+07 + i -8.626767e+07 ; -1.953865e+08 + i 5.705230e+08 ; -2.721484e+08 + i 3.649117e+07 ; 1.663720e+08 + i 2.442382e+07 ; -3.121159e+08 + i 5.186751e+08 ; -6.788406e+07 + i 1.826694e+08 ; 5.714135e+07 + i -8.369239e+07 ; -4.907564e+08 + i -2.566267e+08 ; -1.825050e+08 + i -2.198504e+08 ; 2.314292e+07 + i 1.284028e+08 ; -1.044176e+08 + i -3.186025e+08 ; -1.246321e+08 + i 1.373499e+08 ; 7.272675e+07 + i -6.847386e+07 ; -3.129554e+08 + i 2.735665e+08 ; -4.051371e+08 + i -3.963214e+07 ; 9.422344e+07 + i 6.408944e+07 ; -3.333512e+08 + i 1.614088e+08 ; -9.286110e+07 + i 1.647459e+08 ; 5.141731e+07 + i -8.573423e+07 ; 
-2.324111e+07 + i -2.991647e+08 ; 1.282012e+09 + i 3.644585e+08 ; 2.705729e+07 + i -2.597145e+08 ; -1.029312e+07 + i -3.666358e+08 ; 1.089512e+09 + i 6.314376e+08 ; -1.309644e+08 + i -3.380856e+08 ; 3.759233e+08 + i -3.479603e+07 ; 1.775714e+09 + i 2.811438e+08 ; 3.984484e+08 + i 4.394751e+06 ; 3.596168e+08 + i 9.172510e+07 ; 3.971256e+08 + i 1.902187e+09 ; 8.745786e+08 + i 6.181090e+08 ; -4.486101e+07 + i -2.720686e+08 ; 1.035270e+09 + i 6.616703e+08 ; 2.405592e+05 + i -3.350087e+08 ; 2.257048e+08 + i -3.289804e+08 ; 1.248555e+09 + i 6.973692e+09 ; 2.107746e+08 + i -4.418844e+08 ; 7.748423e+08 + i 5.890341e+08 ; 3.738000e+08 + i 1.970161e+09 ; 3.291206e+08 + i 8.290754e+07 ; 9.432167e+07 + i 7.003818e+08 ; -4.068158e+09 + i -1.743417e+09 ; 2.450323e+08 + i 6.941323e+08 ; 8.855817e+07 + i 1.726024e+08 ; 3.085168e+08 + i 2.042155e+07 ; -3.970676e+07 + i -7.296398e+07 ; 5.104820e+07 + i 2.142857e+08 ; 1.562401e+08 + i -1.808476e+08 ; -5.080999e+07 + i -2.362760e+07 ; -1.222830e+08 + i -4.225438e+06 ; 3.313998e+08 + i 4.765623e+07 ; 8.038147e+07 + i -2.817318e+07 ; -1.073217e+08 + i -4.811050e+07 ; 1.503738e+08 + i -2.025957e+08 ; -1.714559e+07 + i -2.591751e+07 ; 2.459443e+07 + i 1.785106e+08 ; 2.583445e+08 + i 1.304119e+08 ; -1.672677e+07 + i -7.408997e+07 ; -5.246173e+07 + i 1.803515e+08 ; 1.407138e+08 + i -1.062821e+08 ; -5.187121e+07 + i -2.617414e+07 ; -2.771209e+08 + i -1.303145e+08 ; 1.779349e+08 + i 2.635651e+08 ; 1.399636e+07 + i -1.057981e+06 ; -1.110284e+08 + i -2.255986e+08 ; 1.674980e+08 + i -1.253497e+08 ; -1.315861e+07 + i -1.770389e+07 ; 
-8.024329e+08 + i -4.773488e+08 ; 3.938880e+08 + i -3.456439e+07 ; 3.697373e+08 + i 1.926792e+09 ; -4.647522e+08 + i -8.811662e+08 ; 5.043820e+08 + i 8.653492e+08 ; -4.059336e+09 + i -1.781792e+09 ; -3.033204e+08 + i -8.837661e+07 ; 4.668112e+08 + i -1.238626e+08 ; 1.716131e+09 + i 3.178767e+08 ; -2.714368e+08 + i -6.918374e+07 ; 1.203038e+09 + i 3.246557e+08 ; 3.735440e+08 + i 1.923009e+09 ; 4.378737e+08 + i 5.650857e+08 ; -1.054032e+08 + i -5.262468e+08 ; 1.118784e+09 + i 7.382754e+08 ; -1.804047e+08 + i 2.805982e+08 ; 2.155885e+08 + i -5.232605e+08 ; 1.185264e+09 + i 6.987200e+09 ; 7.461275e+07 + i 3.282037e+08 ; -1.348680e+08 + i -3.384368e+08 ; 1.381285e+09 + i 3.619527e+08 ; -7.822199e+06 + i 4.885111e+08 ; -2.558555e+08 + i -4.266026e+08 ; 1.128162e+09 + i 6.858081e+08 ; 3.509313e+08 + i 1.386829e+08 ; 3.669485e+07 + i 1.505832e+07 ; 2.027000e+08 + i 2.774676e+08 ; 1.688612e+08 + i 2.321491e+08 ; -1.243742e+07 + i -1.987730e+07 ; 1.741950e+08 + i -1.250605e+08 ; 1.963703e+08 + i -1.913224e+07 ; 1.001003e+08 + i -3.264827e+07 ; 3.411030e+08 + i 5.150013e+07 ; 1.638876e+08 + i 3.652780e+07 ; -2.102699e+07 + i -2.513364e+07 ; 1.585748e+08 + i -1.944218e+08 ; 6.564231e+07 + i -1.290071e+08 ; -3.224144e+07 + i -1.080277e+08 ; 2.546254e+08 + i 1.217608e+08 ; 8.248052e+07 + i -1.236026e+08 ; -7.189425e+07 + i -3.565094e+07 ; 1.381162e+08 + i -1.236856e+08 ; -2.595103e+07 + i -1.747071e+08 ; -6.265772e+07 + i -9.007925e+07 ; 3.050162e+08 + i 1.002661e+07 ; 5.079209e+05 + i -2.173154e+08 ; -7.233857e+07 + i -2.769851e+07 ; 1.511327e+08 + i -1.992599e+08 ; 
1.217712e+09 + i 2.783447e+08 ; 5.752168e+06 + i -2.312285e+08 ; 8.585832e+06 + i -2.325545e+08 ; 1.657298e+09 + i 2.748127e+08 ; 3.916166e+08 + i -1.967162e+07 ; 3.921375e+08 + i -1.913301e+07 ; 1.023698e+09 + i 6.428569e+08 ; -1.188658e+07 + i -3.652484e+08 ; -1.597392e+08 + i -3.105697e+08 ; 2.902114e+08 + i 1.961837e+09 ; 3.615692e+08 + i 4.360258e+07 ; 7.851991e+08 + i 6.962504e+08 ; 1.019198e+09 + i 6.554701e+08 ; -1.667650e+08 + i -3.089141e+08 ; -1.798269e+07 + i -3.644075e+08 ; 2.849542e+08 + i 1.967862e+09 ; 7.804577e+08 + i 6.942989e+08 ; 3.613634e+08 + i 3.846733e+07 ; 1.220427e+09 + i 7.022715e+09 ; 2.187642e+08 + i -4.549823e+08 ; 2.134383e+08 + i -4.578499e+08 ; -4.141302e+09 + i -1.704688e+09 ; 2.547835e+08 + i 7.415152e+08 ; 2.546225e+08 + i 7.388557e+08 ; -2.937377e+08 + i 5.302480e+08 ; 3.595152e+07 + i -9.744132e+07 ; 3.635916e+07 + i -9.709664e+07 ; -4.576767e+08 + i 4.281411e+08 ; -4.622586e+07 + i -5.616156e+07 ; -4.607722e+07 + i -5.680399e+07 ; -3.234982e+08 + i 1.821851e+08 ; 2.474984e+07 + i -9.249099e+07 ; 7.490158e+07 + i -7.741476e+07 ; -2.719714e+08 + i 2.480211e+07 ; -5.505825e+07 + i -5.299556e+07 ; -3.049522e+07 + i -5.513741e+07 ; -3.273117e+08 + i 1.855682e+08 ; 7.451295e+07 + i -7.689842e+07 ; 2.428340e+07 + i -9.207726e+07 ; -2.765218e+08 + i 2.708353e+07 ; -3.039665e+07 + i -5.398979e+07 ; -5.496228e+07 + i -5.182995e+07 ; -1.011135e+08 + i -3.152445e+08 ; 5.275601e+07 + i -5.479017e+07 ; 5.182556e+07 + i -5.378172e+07 ; 1.419780e+08 + i -1.506322e+08 ; -3.587083e+07 + i -5.187223e+07 ; -3.690498e+07 + i -5.078129e+07 ; 
4.108524e+08 + i -1.202958e+07 ; 3.556253e+08 + i 1.968827e+09 ; -7.632177e+08 + i -4.762767e+08 ; 4.633093e+08 + i -1.419397e+08 ; 1.714033e+09 + i 3.100716e+08 ; -3.381571e+08 + i 8.200536e+06 ; -6.914643e+07 + i -4.359376e+08 ; 1.138386e+09 + i 7.467696e+08 ; 3.712449e+08 + i 5.031511e+08 ; -8.091090e+07 + i -3.041602e+08 ; 1.381681e+09 + i 3.802979e+08 ; 4.030332e+07 + i 3.084891e+08 ; 5.396236e+08 + i 8.347976e+08 ; -4.097769e+09 + i -1.719674e+09 ; -4.883338e+08 + i -8.891570e+08 ; 1.228739e+09 + i 3.234318e+08 ; 3.011911e+08 + i 1.956150e+09 ; -3.712507e+08 + i -8.416028e+07 ; 2.533160e+08 + i -4.771277e+08 ; 1.202780e+09 + i 7.080090e+09 ; -2.712128e+08 + i 2.682589e+08 ; -2.052898e+08 + i -3.411674e+08 ; 1.086794e+09 + i 7.536775e+08 ; -5.121423e+07 + i 3.651410e+08 ; 1.758710e+08 + i 9.900173e+07 ; 1.298033e+08 + i -2.004983e+08 ; -2.353850e+06 + i 1.400905e+07 ; 1.127802e+08 + i 1.125174e+08 ; -6.219802e+07 + i -1.283325e+08 ; 1.158029e+07 + i -2.436059e+06 ; 1.484612e+08 + i -6.496818e+07 ; 1.331644e+08 + i -1.946547e+08 ; 3.383013e+07 + i 3.794014e+07 ; 1.503729e+08 + i -4.545086e+07 ; -7.150687e+07 + i -1.329104e+08 ; 2.880847e+07 + i 1.585010e+06 ; 1.412290e+08 + i 1.722898e+08 ; 1.512169e+08 + i -1.356503e+08 ; 5.108795e+06 + i 9.847803e+06 ; 3.486388e+07 + i 1.366635e+08 ; -5.057126e+07 + i -1.082741e+08 ; 1.266948e+07 + i -4.910282e+06 ; 1.265798e+08 + i -4.877701e+07 ; 1.289381e+08 + i -1.237529e+08 ; 2.956845e+07 + i 3.705458e+07 ; 1.328269e+08 + i -2.555182e+07 ; -5.070295e+07 + i -1.093814e+08 ; 2.854653e+07 + i 8.147824e+05 ; 
4.033725e+08 + i -1.112861e+07 ; -7.604240e+08 + i -4.750602e+08 ; 3.651304e+08 + i 1.958385e+09 ; 4.620150e+08 + i -1.368362e+08 ; -3.318585e+08 + i 1.143308e+07 ; 1.727111e+09 + i 3.078385e+08 ; 5.348380e+08 + i 8.251470e+08 ; -4.861680e+08 + i -8.830190e+08 ; -4.086251e+09 + i -1.710650e+09 ; 1.222941e+09 + i 3.252152e+08 ; -3.722909e+08 + i -8.401420e+07 ; 3.157473e+08 + i 1.983881e+09 ; -7.768665e+07 + i -4.336121e+08 ; 3.646164e+08 + i 5.131024e+08 ; 1.141801e+09 + i 7.757374e+08 ; -8.460447e+07 + i -2.932690e+08 ; 4.429000e+07 + i 3.172175e+08 ; 1.400256e+09 + i 3.676658e+08 ; 2.489881e+08 + i -4.875618e+08 ; -2.707867e+08 + i 2.641395e+08 ; 1.190809e+09 + i 7.072353e+09 ; -2.083599e+08 + i -3.397151e+08 ; -4.601500e+07 + i 3.601037e+08 ; 1.106489e+09 + i 7.494430e+08 ; 1.777641e+08 + i 1.004908e+08 ; -1.985047e+06 + i 1.513621e+07 ; 1.323121e+08 + i -1.974918e+08 ; 1.117019e+08 + i 1.148044e+08 ; 1.213184e+07 + i -2.253456e+06 ; -5.996605e+07 + i -1.298744e+08 ; 1.409067e+08 + i 1.706094e+08 ; 5.104916e+06 + i 1.144255e+07 ; 1.541873e+08 + i -1.356235e+08 ; 3.412596e+07 + i 1.349010e+08 ; 1.374617e+07 + i -4.333881e+06 ; -4.892914e+07 + i -1.113378e+08 ; 1.503746e+08 + i -6.383718e+07 ; 3.379619e+07 + i 3.833125e+07 ; 1.336766e+08 + i -1.912264e+08 ; 1.507280e+08 + i -4.441912e+07 ; 2.895593e+07 + i 1.665720e+06 ; -6.993800e+07 + i -1.307517e+08 ; 1.288954e+08 + i -4.789712e+07 ; 2.911952e+07 + i 3.730704e+07 ; 1.266546e+08 + i -1.223788e+08 ; 1.332635e+08 + i -2.460468e+07 ; 2.899219e+07 + i 1.346163e+06 ; -5.241063e+07 + i -1.082939e+08 ; 
1.591986e+09 + i 2.500935e+08 ; -3.508619e+08 + i -1.856032e+07 ; -3.496974e+08 + i -2.126461e+07 ; 1.182228e+09 + i 4.078910e+08 ; 2.363427e+07 + i 1.654593e+08 ; 1.876979e+07 + i 1.654625e+08 ; 2.730413e+08 + i 1.888541e+09 ; -3.702792e+08 + i -4.184782e+07 ; -7.349896e+08 + i -4.940615e+08 ; 9.859084e+08 + i 7.440513e+08 ; -5.876315e+07 + i 3.393196e+08 ; 2.708536e+08 + i 3.948329e+08 ; 2.681925e+08 + i 1.898867e+09 ; -7.321581e+08 + i -4.861311e+08 ; -3.658187e+08 + i -3.525841e+07 ; 9.850973e+08 + i 7.553711e+08 ; 2.760236e+08 + i 3.996353e+08 ; -5.292626e+07 + i 3.382532e+08 ; -4.113185e+09 + i -1.753749e+09 ; -3.831998e+08 + i -8.308108e+08 ; -3.844644e+08 + i -8.209482e+08 ; 1.121401e+09 + i 7.059913e+09 ; -2.858394e+08 + i 2.310537e+08 ; -2.802214e+08 + i 2.358865e+08 ; -1.693942e+08 + i 5.818873e+08 ; 1.464809e+08 + i 7.952907e+07 ; 1.458602e+08 + i 8.184391e+07 ; -2.935245e+08 + i 5.314378e+08 ; 8.381842e+07 + i -5.772021e+07 ; 8.561688e+07 + i -5.658617e+07 ; -2.909345e+08 + i 2.955805e+08 ; 8.883736e+07 + i 1.216474e+08 ; 2.331972e+08 + i 9.673321e+07 ; -3.288563e+08 + i 1.765258e+08 ; 8.368497e+07 + i -6.245120e+07 ; 8.234484e+07 + i -6.555120e+07 ; -2.944479e+08 + i 2.969891e+08 ; 2.334349e+08 + i 9.387315e+07 ; 8.724852e+07 + i 1.213789e+08 ; -3.317485e+08 + i 1.768408e+08 ; 8.009318e+07 + i -6.618793e+07 ; 8.219487e+07 + i -6.195365e+07 ; -4.882324e+08 + i -2.564584e+08 ; 1.258529e+07 + i 1.579083e+08 ; 1.235196e+07 + i 1.570494e+08 ; -1.051239e+08 + i -3.269652e+08 ; 9.940411e+07 + i -4.917568e+07 ; 9.862020e+07 + i -5.084038e+07 ; 
-3.178880e+08 + i 1.122407e+07 ; 1.700054e+09 + i 2.913092e+08 ; -3.357664e+08 + i -1.029519e+07 ; -3.193303e+08 + i -1.950507e+07 ; 3.598641e+08 + i 1.879491e+09 ; -7.147096e+08 + i -4.818918e+08 ; 7.888293e+07 + i 1.989895e+08 ; 1.348900e+09 + i 3.713282e+08 ; 1.756188e+07 + i 1.840565e+08 ; 1.980711e+05 + i 3.502381e+08 ; 1.123464e+09 + i 6.955926e+08 ; 2.781313e+08 + i 4.219117e+08 ; -7.206085e+08 + i -4.648983e+08 ; 3.402180e+08 + i 1.905125e+09 ; -3.450144e+08 + i -2.916156e+07 ; -3.480082e+08 + i -7.873816e+08 ; -4.078379e+09 + i -1.804051e+09 ; -3.602798e+08 + i -8.089932e+08 ; 3.151832e+08 + i 4.361228e+08 ; 1.092510e+09 + i 7.597302e+08 ; -5.595330e+07 + i 3.595654e+08 ; -2.377384e+08 + i 2.582026e+08 ; 1.181759e+09 + i 7.040891e+09 ; -2.791727e+08 + i 2.617631e+08 ; 1.514588e+08 + i -2.409422e+07 ; 3.321527e+08 + i 4.429316e+07 ; -7.172200e+07 + i 1.191169e+07 ; 1.332379e+08 + i 2.100085e+07 ; 1.469109e+08 + i -1.933460e+08 ; 1.069108e+07 + i 2.238928e+07 ; -2.964167e+07 + i -1.847182e+08 ; 3.018504e+08 + i 4.737171e+06 ; 2.379632e+07 + i 5.811701e+07 ; 2.953044e+06 + i -2.139752e+08 ; 1.472105e+08 + i -1.982205e+08 ; 3.595022e+07 + i 2.510741e+07 ; 2.853186e+08 + i 1.277581e+08 ; 2.001479e+08 + i 2.686624e+08 ; -5.117147e+06 + i -5.528309e+06 ; 1.162773e+08 + i 2.096829e+08 ; 1.685607e+08 + i -1.231667e+08 ; 8.359486e+06 + i 1.407376e+07 ; 3.441569e+07 + i -1.447038e+08 ; 2.598008e+08 + i 1.261910e+08 ; 4.358237e+06 + i 6.271410e+07 ; 7.102041e+07 + i -1.393644e+08 ; 1.411636e+08 + i -1.182397e+08 ; 3.783621e+07 + i 2.681317e+07 ; 
