-6.382300e+09 + i 1.650403e+10 ; -2.630832e+07 + i 1.714301e+08 ; -2.604866e+07 + i 1.715287e+08 ; -2.365520e+09 + i -3.486569e+09 ; -1.544364e+08 + i -4.270131e+08 ; -1.546900e+08 + i -4.268534e+08 ; 8.785581e+08 + i 1.790970e+09 ; 5.951590e+07 + i 2.391321e+08 ; 5.691945e+07 + i 6.535228e+07 ; 4.233317e+07 + i 1.433923e+09 ; -6.571631e+08 + i -6.950294e+08 ; -9.929940e+07 + i -7.758744e+06 ; 8.788616e+08 + i 1.790809e+09 ; 5.640473e+07 + i 6.500957e+07 ; 5.922252e+07 + i 2.390853e+08 ; 4.304426e+07 + i 1.434068e+09 ; -9.814670e+07 + i -8.458165e+06 ; -6.571442e+08 + i -6.950346e+08 ; 5.690281e+08 + i -2.701982e+08 ; 8.861873e+07 + i 7.970301e+07 ; 8.907022e+07 + i 7.942743e+07 ; 5.735656e+08 + i -1.743274e+08 ; -2.107706e+08 + i -4.212627e+07 ; -2.107604e+08 + i -4.241206e+07 ; -1.263655e+08 + i -4.672427e+08 ; -7.932959e+06 + i 1.914601e+07 ; -7.900455e+06 + i 1.918149e+07 ; -1.481923e+07 + i -2.823446e+08 ; 5.132240e+06 + i 4.747541e+06 ; 5.149768e+06 + i 4.741607e+06 ; -1.717705e+08 + i 1.932666e+07 ; -3.046560e+07 + i 1.247666e+07 ; 2.620855e+06 + i 1.616784e+07 ; -1.300421e+08 + i -1.705066e+07 ; -4.357349e+05 + i 2.891459e+06 ; 4.678523e+06 + i 2.335251e+06 ; -1.715542e+08 + i 1.924807e+07 ; 2.695093e+06 + i 1.602251e+07 ; -3.044711e+07 + i 1.249552e+07 ; -1.299162e+08 + i -1.703593e+07 ; 4.654648e+06 + i 2.316160e+06 ; -4.346223e+05 + i 2.894356e+06 ; 1.393361e+07 + i 1.100543e+08 ; -1.304242e+07 + i 1.095100e+07 ; -1.309675e+07 + i 1.099332e+07 ; -1.144200e+07 + i 8.399303e+07 ; 4.664577e+04 + i 8.847711e+05 ; 5.135746e+04 + i 8.953018e+05 ; 
-9.667644e+07 + i -1.192661e+08 ; -9.138369e+07 + i -1.232382e+08 ; 5.853344e+08 + i -2.615197e+08 ; -6.538538e+07 + i -8.592060e+07 ; -3.824574e+06 + i -2.948214e+08 ; 8.673420e+08 + i 1.784695e+09 ; -1.074720e+07 + i -2.947546e+08 ; -6.051898e+07 + i -9.308694e+07 ; 8.712219e+08 + i 1.808850e+09 ; 6.463965e+07 + i -1.867020e+08 ; 7.332131e+07 + i -1.905966e+08 ; -6.412282e+09 + i 1.649801e+10 ; 2.682564e+08 + i 8.449857e+07 ; 2.721424e+08 + i 9.874415e+07 ; 5.901067e+08 + i -1.824173e+08 ; 1.461345e+08 + i -6.353923e+06 ; 5.801087e+08 + i 1.001888e+09 ; 5.943549e+07 + i 1.427903e+09 ; 5.817051e+08 + i 9.814317e+08 ; 1.529796e+08 + i 1.533782e+07 ; 6.193787e+07 + i 1.451533e+09 ; 4.789466e+07 + i 5.097502e+08 ; 5.365236e+07 + i 5.457864e+08 ; -2.371307e+09 + i -3.457611e+09 ; 3.583378e+07 + i 5.562980e+07 ; -1.193282e+07 + i -5.210203e+07 ; 1.712822e+08 + i 7.916813e+07 ; 2.517301e+07 + i 5.079766e+07 ; -1.224261e+07 + i -7.414700e+06 ; 2.010143e+07 + i -2.308593e+07 ; 2.562838e+07 + i 1.123755e+08 ; -2.714813e+05 + i -3.932843e+07 ; 1.987742e+08 + i 3.323313e+08 ; 1.563698e+06 + i 9.174334e+07 ; -9.973609e+06 + i -6.491056e+06 ; 6.178728e+07 + i -2.032057e+07 ; -9.829010e+07 + i -9.614740e+07 ; 4.710203e+07 + i 5.424659e+07 ; 1.417044e+08 + i 7.774855e+07 ; -5.938062e+07 + i -6.854516e+07 ; 5.814027e+06 + i -7.455689e+06 ; 1.975279e+07 + i -2.172271e+07 ; -2.037514e+08 + i -2.598922e+08 ; 7.034060e+05 + i 2.092487e+07 ; 9.419874e+07 + i 2.927778e+08 ; -8.550321e+07 + i -1.856611e+08 ; 2.294395e+06 + i -7.723068e+06 ; 6.524534e+07 + i -1.274711e+07 ; 
8.631850e+08 + i 1.790779e+09 ; 5.662535e+07 + i 7.000108e+07 ; -6.051449e+07 + i -2.445781e+08 ; 3.874449e+07 + i 1.441642e+09 ; -1.074621e+08 + i -5.690716e+06 ; 6.581871e+08 + i 9.236117e+08 ; 5.724924e+08 + i -2.652414e+08 ; 8.907499e+07 + i 8.754327e+07 ; -8.403090e+07 + i -1.037826e+08 ; 5.762489e+08 + i -1.734621e+08 ; -2.157688e+08 + i -5.143789e+07 ; 2.400173e+08 + i 7.968356e+07 ; -6.395501e+09 + i 1.650072e+10 ; -3.128420e+07 + i 1.725271e+08 ; 3.338576e+07 + i -1.811526e+08 ; -2.369606e+09 + i -3.482559e+09 ; -1.472313e+08 + i -4.410242e+08 ; 1.320570e+08 + i 4.834317e+08 ; 8.788595e+08 + i 1.798750e+09 ; 5.115719e+07 + i 2.438007e+08 ; -5.175838e+07 + i -7.955050e+07 ; 4.384214e+07 + i 1.437758e+09 ; -6.607969e+08 + i -7.434895e+08 ; 1.120988e+08 + i 1.488118e+07 ; -1.681693e+08 + i 1.813601e+07 ; 1.906356e+06 + i 1.726681e+07 ; 3.547672e+07 + i -9.929765e+06 ; -1.276756e+08 + i -1.679200e+07 ; 4.739739e+06 + i 2.770106e+06 ; 6.927900e+05 + i -3.101515e+06 ; 1.405752e+07 + i 1.087999e+08 ; -1.415983e+07 + i 1.109444e+07 ; 1.632924e+07 + i -1.073217e+07 ; -1.085067e+07 + i 8.305181e+07 ; -7.147495e+03 + i 1.033735e+06 ; 3.175437e+04 + i -1.142944e+06 ; -1.260942e+08 + i -4.673054e+08 ; -8.259388e+06 + i 1.941910e+07 ; 1.163826e+07 + i -2.221986e+07 ; -1.497856e+07 + i -2.820085e+08 ; 5.322900e+06 + i 4.965534e+06 ; -5.251793e+06 + i -6.380767e+06 ; -1.718347e+08 + i 1.918212e+07 ; -3.142507e+07 + i 1.167154e+07 ; -4.244384e+05 + i -2.012695e+07 ; -1.298945e+08 + i -1.684065e+07 ; -4.100176e+05 + i 2.822746e+06 ; -4.901248e+06 + i -3.767490e+06 ; 
5.141785e+07 + i 7.013984e+07 ; 8.778192e+08 + i 1.807451e+09 ; -6.030196e+07 + i -2.452047e+08 ; 8.247139e+07 + i 8.892279e+07 ; 5.838187e+08 + i -2.673122e+08 ; -8.386570e+07 + i -1.028584e+08 ; -1.113677e+08 + i -1.454156e+07 ; 6.021138e+07 + i 1.462774e+09 ; 6.613170e+08 + i 9.232270e+08 ; -2.229815e+08 + i -6.612474e+07 ; 5.906076e+08 + i -1.821623e+08 ; 2.424930e+08 + i 7.958456e+07 ; -3.619634e+07 + i 1.700036e+08 ; -6.404756e+09 + i 1.653137e+10 ; 3.358416e+07 + i -1.816284e+08 ; 4.390724e+07 + i 2.412490e+08 ; 8.836533e+08 + i 1.814082e+09 ; -5.169331e+07 + i -7.860010e+07 ; -1.478793e+08 + i -4.531759e+08 ; -2.376551e+09 + i -3.429223e+09 ; 1.344488e+08 + i 4.825774e+08 ; -6.642857e+08 + i -7.649710e+08 ; 6.220964e+07 + i 1.454555e+09 ; 1.139621e+08 + i 1.452855e+07 ; -2.108690e+06 + i 3.521656e+07 ; 1.985094e+07 + i -2.173392e+07 ; -1.036888e+07 + i -1.237066e+07 ; -5.938910e+06 + i 2.615571e+07 ; 4.616243e+06 + i 2.578723e+06 ; -3.766918e+06 + i -1.707659e+06 ; -7.189775e+07 + i -7.431562e+07 ; 2.021957e+07 + i -2.143832e+07 ; 3.886894e+06 + i -2.443792e+06 ; -4.294692e+07 + i -5.537204e+07 ; 3.954896e+06 + i 2.512205e+06 ; -3.782101e+05 + i -1.256388e+06 ; -2.076855e+07 + i 2.760162e+07 ; 6.003324e+07 + i -1.942881e+07 ; -7.433467e+06 + i -9.558012e+06 ; -1.966560e+07 + i 1.797165e+07 ; 6.322963e+06 + i -6.124049e+05 ; -3.105756e+06 + i -1.364160e+06 ; -7.706788e+07 + i -1.623455e+08 ; 6.504160e+07 + i -1.267361e+07 ; -3.845480e+06 + i -7.773858e+06 ; -2.988448e+07 + i -1.074126e+08 ; 5.257625e+06 + i -1.570411e+06 ; -1.815870e+06 + i -1.916311e+06 ; 
1.787951e+08 + i 4.180974e+08 ; 1.812883e+08 + i 4.046545e+08 ; -2.364729e+09 + i -3.427445e+09 ; 6.745917e+08 + i 7.677745e+08 ; 1.022224e+08 + i 6.474548e+06 ; 5.991065e+07 + i 1.458451e+09 ; 1.032258e+08 + i 1.676441e+07 ; 6.741656e+08 + i 7.454868e+08 ; 6.452249e+07 + i 1.460001e+09 ; 2.279705e+08 + i 6.298998e+07 ; 2.224476e+08 + i 4.773154e+07 ; 5.945481e+08 + i -1.832020e+08 ; 2.052735e+07 + i -1.692396e+08 ; 1.599105e+07 + i -1.721453e+08 ; -6.402320e+09 + i 1.653121e+10 ; -8.233772e+07 + i -2.043424e+08 ; -5.981204e+07 + i -6.307254e+07 ; 8.835113e+08 + i 1.804133e+09 ; -5.504724e+07 + i -6.361807e+07 ; -8.823337e+07 + i -2.074380e+08 ; 8.885627e+08 + i 1.805829e+09 ; -8.156775e+07 + i -8.275671e+07 ; -8.733241e+07 + i -8.108576e+07 ; 5.776311e+08 + i -2.712208e+08 ; 7.671394e+07 + i 1.651496e+08 ; -4.604688e+06 + i -6.067035e+06 ; 6.245182e+07 + i -1.139357e+07 ; 2.921927e+07 + i 1.096563e+08 ; -1.854430e+06 + i -1.327350e+06 ; 5.366819e+06 + i -1.318660e+06 ; 7.365986e+07 + i 7.492794e+07 ; 2.697511e+06 + i -2.286014e+06 ; 1.939653e+07 + i -2.048985e+07 ; 4.424703e+07 + i 5.642961e+07 ; -4.677323e+05 + i -9.551259e+05 ; 3.910815e+06 + i 2.642922e+06 ; 1.463815e+07 + i -2.475444e+07 ; -7.256390e+06 + i -7.580578e+06 ; 5.981988e+07 + i -1.905794e+07 ; 1.593510e+07 + i -1.668550e+07 ; -2.809773e+06 + i -9.429449e+05 ; 6.506572e+06 + i -3.199625e+05 ; 3.884367e+05 + i -3.330269e+07 ; -1.016932e+07 + i -9.654964e+06 ; 1.943517e+07 + i -2.174631e+07 ; 4.932373e+06 + i -2.486337e+07 ; -3.374970e+06 + i -1.205999e+06 ; 4.734954e+06 + i 2.753466e+06 ; 
1.669613e+07 + i 1.450876e+09 ; 1.204711e+08 + i 1.002904e+07 ; -5.896897e+08 + i -1.008700e+09 ; 8.537251e+08 + i 1.780684e+09 ; -5.312906e+07 + i -6.109272e+07 ; 1.297019e+08 + i 1.612417e+08 ; 5.815247e+08 + i -1.696739e+08 ; 2.293703e+08 + i 5.843026e+07 ; -2.401552e+08 + i -9.891645e+07 ; 5.621107e+08 + i -2.556673e+08 ; -8.208407e+07 + i -7.960173e+07 ; 6.838299e+07 + i 8.409565e+07 ; -2.373889e+09 + i -3.480444e+09 ; 1.371857e+08 + i 4.615853e+08 ; -1.931612e+08 + i -4.338949e+08 ; -6.403943e+09 + i 1.644007e+10 ; 3.844972e+07 + i -1.660360e+08 ; -7.209725e+07 + i 1.786725e+08 ; 4.895864e+07 + i 1.443288e+09 ; 6.638092e+08 + i 7.923609e+08 ; -1.121021e+08 + i -1.348390e+07 ; 8.527459e+08 + i 1.785622e+09 ; -3.331129e+07 + i -2.366978e+08 ; 4.041843e+07 + i 6.988219e+07 ; -1.976596e+08 + i 6.748768e+07 ; -4.887064e+07 + i -2.619121e+07 ; 1.683097e+08 + i 2.841170e+08 ; -1.664458e+08 + i 1.665866e+07 ; 1.127841e+06 + i 1.772531e+07 ; 4.091112e+07 + i -2.038883e+07 ; 5.540975e+07 + i 1.353986e+08 ; -1.151015e+08 + i -5.971718e+07 ; 1.121077e+08 + i 9.432606e+07 ; 1.488691e+07 + i 1.069951e+08 ; -8.579976e+06 + i 1.474239e+07 ; 1.302149e+07 + i -1.346951e+07 ; -3.963632e+08 + i -7.229332e+08 ; -5.651592e+07 + i -1.240669e+08 ; 9.636748e+06 + i 1.703168e+08 ; -1.258575e+08 + i -4.663819e+08 ; -1.957047e+07 + i 2.653031e+07 ; 2.882240e+07 + i -2.006553e+07 ; -2.049522e+08 + i 7.386929e+07 ; -2.056187e+08 + i -2.116978e+08 ; 4.104627e+07 + i 4.914600e+07 ; -1.718248e+08 + i 1.922858e+07 ; -3.043718e+07 + i 2.819239e+07 ; 2.451910e+06 + i -1.767477e+07 ; 
-8.725423e+07 + i -1.168125e+08 ; 5.861256e+08 + i -2.624828e+08 ; -7.467600e+07 + i -1.206776e+08 ; -5.837412e+07 + i -8.038690e+07 ; 8.690694e+08 + i 1.784277e+09 ; -4.396343e+07 + i -2.600746e+08 ; 2.363218e+08 + i 8.754350e+07 ; 5.925569e+08 + i -1.818602e+08 ; 2.585866e+08 + i 9.403296e+07 ; 1.196482e+08 + i -6.229075e+06 ; 5.298086e+07 + i 1.434946e+09 ; 6.096618e+08 + i 9.927512e+08 ; -1.454240e+07 + i -2.842811e+08 ; 8.717402e+08 + i 1.812313e+09 ; -4.814525e+07 + i -8.629701e+07 ; 5.522533e+07 + i -1.849258e+08 ; -6.415659e+09 + i 1.649651e+10 ; 4.764272e+07 + i -1.825816e+08 ; 6.099715e+08 + i 9.801761e+08 ; 6.487719e+07 + i 1.455231e+09 ; 1.264928e+08 + i 1.602307e+07 ; 7.699122e+07 + i 4.921156e+08 ; -2.375806e+09 + i -3.458437e+09 ; 9.235432e+07 + i 5.098143e+08 ; 3.595117e+07 + i 5.791689e+07 ; 1.709242e+08 + i 7.917771e+07 ; -1.150546e+07 + i -5.162887e+07 ; 2.499930e+07 + i 5.256350e+07 ; 2.014088e+07 + i -2.297207e+07 ; -1.205570e+07 + i -7.500064e+06 ; -1.045455e+08 + i -9.731852e+07 ; 1.414794e+08 + i 7.794177e+07 ; 4.805001e+07 + i 5.354243e+07 ; -6.286458e+07 + i -7.023941e+07 ; 1.984547e+07 + i -2.179007e+07 ; 5.741703e+06 + i -7.582601e+06 ; 2.655799e+07 + i 1.156331e+08 ; 1.987292e+08 + i 3.323742e+08 ; -2.261596e+05 + i -3.871868e+07 ; 1.782483e+06 + i 9.381283e+07 ; 6.190373e+07 + i -2.030562e+07 ; -9.799274e+06 + i -6.531568e+06 ; -2.018216e+08 + i -2.601719e+08 ; 9.435253e+07 + i 2.922727e+08 ; 1.536731e+06 + i 2.002928e+07 ; -8.432283e+07 + i -1.852502e+08 ; 6.534676e+07 + i -1.294943e+07 ; 2.267354e+06 + i -7.844486e+06 ; 
-5.880174e+08 + i -9.883853e+08 ; 9.334193e+07 + i 1.176906e+07 ; 3.415779e+07 + i 1.468122e+09 ; -1.840182e+08 + i -3.906116e+08 ; 1.746101e+08 + i 4.330281e+08 ; -2.381391e+09 + i -3.454503e+09 ; -2.461391e+08 + i -8.591686e+07 ; 2.245584e+08 + i 5.512332e+07 ; 5.989950e+08 + i -1.758887e+08 ; -1.002832e+08 + i 2.256802e+04 ; 6.711583e+08 + i 7.918035e+08 ; 5.737992e+07 + i 1.438327e+09 ; 1.413653e+08 + i 1.755484e+08 ; -5.631007e+07 + i -6.788316e+07 ; 8.866474e+08 + i 1.801803e+09 ; -6.382508e+07 + i 1.890107e+08 ; 2.196830e+07 + i -1.777669e+08 ; -6.399389e+09 + i 1.650166e+10 ; 8.412863e+07 + i 1.006480e+08 ; -7.353101e+07 + i -9.073615e+07 ; 5.789104e+08 + i -2.722930e+08 ; 6.614993e+07 + i 7.309320e+07 ; -8.665698e+07 + i -2.243465e+08 ; 8.786173e+08 + i 1.777493e+09 ; 2.021563e+08 + i 2.514517e+08 ; 1.240435e+07 + i 1.045927e+07 ; 9.924005e+07 + i 2.858557e+08 ; 8.509068e+07 + i 1.789350e+08 ; 2.656058e+05 + i -8.851784e+06 ; 6.497551e+07 + i -1.383184e+07 ; 1.029031e+08 + i 9.275489e+07 ; 5.784880e+07 + i 3.482036e+07 ; 1.421200e+08 + i 7.579714e+07 ; 6.249299e+07 + i 6.687148e+07 ; 3.559924e+06 + i -9.205386e+06 ; 1.967584e+07 + i -2.238824e+07 ; -1.155553e+06 + i -1.373214e+08 ; -9.634606e+06 + i -3.337327e+07 ; 1.970273e+08 + i 3.324897e+08 ; 1.623883e+07 + i -1.032301e+08 ; -1.040192e+07 + i -3.065466e+06 ; 6.049129e+07 + i -1.962244e+07 ; -3.045317e+07 + i -6.820405e+07 ; -2.081941e+07 + i -4.339093e+07 ; 1.700743e+08 + i 7.931759e+07 ; -2.091196e+07 + i -5.947558e+07 ; -1.232466e+07 + i -3.703375e+06 ; 1.917557e+07 + i -2.204958e+07 ; 
5.750803e+08 + i -2.587608e+08 ; -6.787882e+07 + i -1.179822e+08 ; -6.781880e+07 + i -1.180773e+08 ; 5.778754e+08 + i -1.728100e+08 ; 2.345732e+08 + i 9.909078e+07 ; 2.348500e+08 + i 9.918093e+07 ; 8.668216e+08 + i 1.796154e+09 ; -4.790938e+07 + i -8.354833e+07 ; -4.446454e+07 + i -2.570864e+08 ; 4.230681e+07 + i 1.440979e+09 ; 1.122811e+08 + i 1.494128e+07 ; 6.242924e+08 + i 9.972240e+08 ; 8.670973e+08 + i 1.795953e+09 ; -4.439902e+07 + i -2.572373e+08 ; -4.763708e+07 + i -8.333173e+07 ; 4.290173e+07 + i 1.441160e+09 ; 6.246239e+08 + i 9.977708e+08 ; 1.110867e+08 + i 1.538536e+07 ; -6.406224e+09 + i 1.649789e+10 ; 4.212106e+07 + i -1.850936e+08 ; 4.224117e+07 + i -1.845070e+08 ; -2.372207e+09 + i -3.479477e+09 ; 1.150757e+08 + i 5.009154e+08 ; 1.143381e+08 + i 5.006371e+08 ; 1.284934e+07 + i 1.074855e+08 ; 1.795805e+07 + i -1.004050e+07 ; 1.793497e+07 + i -1.007036e+07 ; -1.102837e+07 + i 8.202215e+07 ; 2.218118e+05 + i -1.290454e+06 ; 2.237002e+05 + i -1.280591e+06 ; -1.686694e+08 + i 1.781098e+07 ; 1.059120e+06 + i -2.101364e+07 ; 3.630049e+07 + i -7.588480e+06 ; -1.277163e+08 + i -1.682939e+07 ; -4.645525e+06 + i -4.326331e+06 ; 6.071967e+05 + i -2.857882e+06 ; -1.684468e+08 + i 1.773687e+07 ; 3.629162e+07 + i -7.568972e+06 ; 9.624449e+05 + i -2.096778e+07 ; -1.275952e+08 + i -1.681368e+07 ; 6.107913e+05 + i -2.870351e+06 ; -4.635977e+06 + i -4.305449e+06 ; -1.254875e+08 + i -4.679113e+08 ; 1.227204e+07 + i -2.182605e+07 ; 1.231436e+07 + i -2.187079e+07 ; -1.481238e+07 + i -2.820347e+08 ; -5.337301e+06 + i -6.637222e+06 ; -5.318761e+06 + i -6.633534e+06 ; 
1.039146e+08 + i 1.867232e+07 ; 4.187415e+07 + i 1.471179e+09 ; -5.887989e+08 + i -1.008596e+09 ; 2.282652e+08 + i 7.325949e+07 ; 5.968850e+08 + i -1.757439e+08 ; -2.418964e+08 + i -1.077533e+08 ; -5.060436e+07 + i -7.012508e+07 ; 8.885376e+08 + i 1.805963e+09 ; 1.264189e+08 + i 1.810905e+08 ; -6.915198e+07 + i -9.200800e+07 ; 5.788607e+08 + i -2.720120e+08 ; 7.620032e+07 + i 1.056080e+08 ; 1.676842e+08 + i 4.470580e+08 ; -2.381732e+09 + i -3.423833e+09 ; -1.907962e+08 + i -4.270889e+08 ; 6.678746e+08 + i 8.153160e+08 ; 6.212359e+07 + i 1.465868e+09 ; -1.121265e+08 + i -1.732694e+07 ; 2.863854e+07 + i -1.767978e+08 ; -6.397599e+09 + i 1.653080e+10 ; -7.527107e+07 + i 1.957897e+08 ; -7.107335e+07 + i -2.240640e+08 ; 8.859764e+08 + i 1.802846e+09 ; 5.181098e+07 + i 8.937004e+07 ; 7.253277e+07 + i 7.932978e+07 ; 2.030657e+07 + i -2.054517e+07 ; -5.019143e+06 + i 2.663305e+06 ; 4.315725e+07 + i 5.904566e+07 ; 3.976111e+06 + i 2.431293e+06 ; 3.761622e+05 + i 1.559794e+06 ; 3.708826e+06 + i -3.493366e+07 ; 2.010168e+07 + i -2.180565e+07 ; 9.663682e+06 + i 1.368170e+07 ; 7.200176e+06 + i -2.557931e+07 ; 4.770755e+06 + i 2.587629e+06 ; 3.721345e+06 + i 2.049474e+06 ; 7.374685e+07 + i 1.722245e+08 ; 6.315260e+07 + i -1.125433e+07 ; 2.117941e+06 + i 9.063743e+06 ; 2.672776e+07 + i 1.134839e+08 ; 5.414701e+06 + i -1.443615e+06 ; 1.851515e+06 + i 2.352301e+06 ; 1.814512e+07 + i -2.650905e+07 ; 6.021892e+07 + i -1.906451e+07 ; 6.719790e+06 + i 1.067755e+07 ; 1.849093e+07 + i -1.748679e+07 ; 6.541350e+06 + i -4.500396e+05 ; 3.088674e+06 + i 1.660667e+06 ; 
1.042534e+08 + i 1.889197e+07 ; -5.888357e+08 + i -1.008763e+09 ; 4.170726e+07 + i 1.471062e+09 ; 2.281337e+08 + i 7.315201e+07 ; -2.420294e+08 + i -1.078572e+08 ; 5.962850e+08 + i -1.755260e+08 ; 1.674405e+08 + i 4.473495e+08 ; -1.906110e+08 + i -4.272969e+08 ; -2.379262e+09 + i -3.423893e+09 ; 6.679648e+08 + i 8.152256e+08 ; -1.119986e+08 + i -1.735866e+07 ; 6.210519e+07 + i 1.463433e+09 ; -5.023157e+07 + i -7.005742e+07 ; 1.270434e+08 + i 1.808555e+08 ; 8.931563e+08 + i 1.803519e+09 ; -6.865210e+07 + i -9.240564e+07 ; 7.631956e+07 + i 1.053179e+08 ; 5.776441e+08 + i -2.729751e+08 ; 2.804541e+07 + i -1.760596e+08 ; -7.528921e+07 + i 1.958667e+08 ; -6.395750e+09 + i 1.653236e+10 ; -7.087068e+07 + i -2.240301e+08 ; 5.179556e+07 + i 8.942961e+07 ; 8.855144e+08 + i 1.801125e+09 ; 7.244724e+07 + i 7.926350e+07 ; -5.051153e+06 + i 2.656309e+06 ; 2.021071e+07 + i -2.063685e+07 ; 4.312066e+07 + i 5.897699e+07 ; 3.660972e+05 + i 1.566081e+06 ; 3.946587e+06 + i 2.451596e+06 ; 7.377575e+07 + i 1.722755e+08 ; 2.129298e+06 + i 9.048171e+06 ; 6.310553e+07 + i -1.140924e+07 ; 2.676007e+07 + i 1.135202e+08 ; 1.852199e+06 + i 2.347803e+06 ; 5.384911e+06 + i -1.432182e+06 ; 3.790943e+06 + i -3.500981e+07 ; 9.668448e+06 + i 1.366493e+07 ; 1.996355e+07 + i -2.186995e+07 ; 7.307425e+06 + i -2.562034e+07 ; 3.714292e+06 + i 2.048630e+06 ; 4.751030e+06 + i 2.622782e+06 ; 1.809303e+07 + i -2.660502e+07 ; 6.737015e+06 + i 1.067740e+07 ; 6.019232e+07 + i -1.915073e+07 ; 1.846888e+07 + i -1.752882e+07 ; 3.091034e+06 + i 1.652117e+06 ; 6.524146e+06 + i -4.217268e+05 ; 
5.869444e+08 + i -1.609011e+08 ; -2.473627e+08 + i -1.185830e+08 ; -2.476909e+08 + i -1.186193e+08 ; 5.660061e+08 + i -2.552021e+08 ; 3.102793e+07 + i 9.840504e+07 ; 3.101745e+07 + i 9.848716e+07 ; 2.289095e+07 + i 1.454588e+09 ; -1.005998e+08 + i -1.867204e+07 ; -5.504263e+08 + i -1.060263e+09 ; 8.565423e+08 + i 1.779954e+09 ; 4.915248e+07 + i 7.712881e+07 ; 1.085836e+08 + i 1.860285e+08 ; 2.296148e+07 + i 1.454577e+09 ; -5.506160e+08 + i -1.060988e+09 ; -9.925322e+07 + i -1.915636e+07 ; 8.574771e+08 + i 1.779663e+09 ; 1.084976e+08 + i 1.859335e+08 ; 4.897458e+07 + i 7.688909e+07 ; -2.391557e+09 + i -3.476518e+09 ; -1.727055e+08 + i -4.627270e+08 ; -1.718672e+08 + i -4.625804e+08 ; -6.401681e+09 + i 1.644056e+10 ; -7.940483e+07 + i 1.788290e+08 ; -7.933317e+07 + i 1.783007e+08 ; 5.367695e+07 + i 1.333673e+08 ; 1.222513e+08 + i 9.988701e+07 ; 1.223481e+08 + i 9.983766e+07 ; 1.454267e+07 + i 1.052240e+08 ; 1.444011e+07 + i -1.582304e+07 ; 1.447218e+07 + i -1.585463e+07 ; -1.992731e+08 + i 6.815893e+07 ; 5.637533e+07 + i 4.682157e+07 ; 1.593149e+08 + i 2.973080e+08 ; -1.672138e+08 + i 1.714605e+07 ; 3.492972e+06 + i -2.081820e+07 ; 4.218613e+07 + i -1.917356e+07 ; -1.990898e+08 + i 6.799524e+07 ; 1.592792e+08 + i 2.975502e+08 ; 5.596689e+07 + i 4.690028e+07 ; -1.671095e+08 + i 1.711336e+07 ; 4.228179e+07 + i -1.918624e+07 ; 3.457987e+06 + i -2.070004e+07 ; -3.962280e+08 + i -7.240188e+08 ; 5.062519e+06 + i 1.708851e+08 ; 4.920807e+06 + i 1.707077e+08 ; -1.260314e+08 + i -4.664336e+08 ; 2.969710e+07 + i -1.958919e+07 ; 2.960164e+07 + i -1.946377e+07 ; 
-2.408583e+08 + i -1.043372e+08 ; 6.015562e+08 + i -1.699342e+08 ; -2.439536e+08 + i -1.186165e+08 ; -8.953662e+07 + i 3.754293e+06 ; 3.670137e+07 + i 1.447585e+09 ; -5.453076e+08 + i -1.057612e+09 ; 4.247139e+07 + i 1.124682e+08 ; 5.828749e+08 + i -2.717488e+08 ; 3.572415e+07 + i 1.176402e+08 ; 5.771996e+07 + i 8.445021e+07 ; 8.798198e+08 + i 1.777394e+09 ; 1.121063e+08 + i 2.080727e+08 ; -5.470980e+08 + i -1.038121e+09 ; 3.856284e+07 + i 1.473219e+09 ; -9.576067e+07 + i -1.872922e+07 ; -1.628085e+08 + i -4.249698e+08 ; -2.395952e+09 + i -3.452991e+09 ; -1.678212e+08 + i -4.607120e+08 ; 1.214058e+08 + i 2.075655e+08 ; 8.899894e+08 + i 1.801972e+09 ; 5.073022e+07 + i 9.280442e+07 ; -6.805794e+07 + i 1.913159e+08 ; -6.396660e+09 + i 1.650027e+10 ; -7.993671e+07 + i 1.956616e+08 ; 9.810431e+07 + i 1.038141e+08 ; 1.420606e+08 + i 7.717907e+07 ; -4.849438e+07 + i -5.607049e+07 ; 5.823857e+07 + i 7.381867e+07 ; 2.034683e+07 + i -2.248791e+07 ; -6.179902e+06 + i 7.911409e+06 ; -3.526921e+07 + i -6.891726e+07 ; 1.701916e+08 + i 7.957738e+07 ; 8.883797e+06 + i 5.268495e+07 ; -2.263871e+07 + i -6.107648e+07 ; 1.954092e+07 + i -2.214780e+07 ; 1.186280e+07 + i 8.329912e+06 ; 1.932836e+08 + i 2.691263e+08 ; 9.888869e+07 + i 2.871931e+08 ; -3.269392e+06 + i -1.860054e+07 ; 7.765331e+07 + i 1.884470e+08 ; 6.535960e+07 + i -1.386081e+07 ; -2.669534e+06 + i 8.361087e+06 ; 1.686023e+06 + i -1.353335e+08 ; 1.975153e+08 + i 3.322795e+08 ; -1.827779e+06 + i 3.936324e+07 ; 1.866251e+07 + i -1.018261e+08 ; 6.077134e+07 + i -1.989454e+07 ; 9.565159e+06 + i 7.188327e+06 ; 
