-6.224204e+09 + i 3.316988e+10 ; -6.617204e+08 + i 6.482965e+08 ; -6.657087e+08 + i 6.496186e+08 ; -9.914213e+09 + i -1.158085e+10 ; -1.829075e+08 + i -2.150088e+09 ; -1.850701e+08 + i -2.153797e+09 ; 3.182642e+09 + i 4.656134e+09 ; -4.181861e+07 + i 1.018104e+09 ; -7.997937e+07 + i 7.342964e+08 ; -1.586090e+09 + i 5.334990e+09 ; -3.347094e+09 + i -2.307534e+09 ; -7.000257e+08 + i -3.848546e+08 ; 3.180877e+09 + i 4.661494e+09 ; -7.468962e+07 + i 7.324526e+08 ; -3.731887e+07 + i 1.016820e+09 ; -1.591326e+09 + i 5.338180e+09 ; -6.952421e+08 + i -3.752612e+08 ; -3.346121e+09 + i -2.306895e+09 ; 2.827316e+09 + i 8.516020e+08 ; 1.917259e+08 + i 7.207813e+08 ; 1.928432e+08 + i 7.263080e+08 ; 3.326716e+09 + i 1.794605e+09 ; -1.310702e+09 + i -8.073496e+07 ; -1.309683e+09 + i -7.763519e+07 ; -1.869502e+08 + i -1.427750e+09 ; -1.300000e+08 + i 7.449817e+07 ; -1.305287e+08 + i 7.359291e+07 ; 2.182547e+08 + i -6.692918e+08 ; 1.758358e+07 + i 7.915045e+07 ; 1.710768e+07 + i 7.937372e+07 ; -9.667571e+08 + i -2.064325e+08 ; -2.482217e+08 + i 1.200735e+08 ; -7.269302e+07 + i 1.198160e+08 ; -6.071597e+08 + i -3.762350e+08 ; -6.190158e+06 + i 8.871898e+07 ; 3.876196e+07 + i 7.462437e+07 ; -9.682062e+08 + i -2.044318e+08 ; -7.161899e+07 + i 1.209345e+08 ; -2.481459e+08 + i 1.194129e+08 ; -6.088178e+08 + i -3.755773e+08 ; 3.936104e+07 + i 7.432926e+07 ; -6.452367e+06 + i 8.834101e+07 ; -8.529683e+08 + i 6.624108e+08 ; -1.511542e+08 + i 1.469478e+08 ; -1.505574e+08 + i 1.462477e+08 ; -9.333737e+08 + i 3.079798e+08 ; 1.840163e+07 + i 8.222575e+07 ; 1.851990e+07 + i 8.193413e+07 ; 
2.981029e+07 + i -7.220978e+08 ; 9.981343e+07 + i -6.899894e+08 ; 2.833720e+09 + i 9.357829e+08 ; 2.362653e+08 + i -6.510477e+08 ; 3.328614e+08 + i -8.872364e+08 ; 3.224361e+09 + i 4.582998e+09 ; 2.929132e+08 + i -9.251020e+08 ; 3.179973e+08 + i -6.477577e+08 ; 3.169412e+09 + i 4.676009e+09 ; 7.045651e+08 + i -4.114111e+08 ; 7.686302e+08 + i -3.943794e+08 ; -6.153011e+09 + i 3.306907e+10 ; 1.134095e+09 + i 5.608297e+08 ; 1.122544e+09 + i 6.244838e+08 ; 3.481069e+09 + i 1.907592e+09 ; 5.657613e+08 + i 6.137530e+08 ; 2.199188e+09 + i 3.028383e+09 ; -1.489792e+09 + i 5.389836e+09 ; 2.244556e+09 + i 2.974780e+09 ; 5.809776e+08 + i 7.009288e+08 ; -1.557310e+09 + i 5.480332e+09 ; -4.570326e+08 + i 1.771598e+09 ; -4.773192e+08 + i 1.889519e+09 ; -9.942981e+09 + i -1.159141e+10 ; 7.038001e+07 + i 3.902132e+08 ; 8.627594e+06 + i -2.160511e+08 ; 8.149962e+08 + i 4.547265e+08 ; -5.021995e+07 + i 3.914908e+08 ; -5.563546e+07 + i -8.426918e+07 ; 4.042334e+08 + i -1.549998e+08 ; -6.131685e+07 + i 4.631449e+08 ; 7.767608e+07 + i -1.576244e+08 ; 7.692746e+08 + i 9.883198e+08 ; -2.257495e+08 + i 3.460005e+08 ; -4.079070e+07 + i -8.866776e+07 ; 4.279233e+08 + i -2.456014e+07 ; -4.948085e+08 + i -2.808870e+08 ; 2.610975e+08 + i 9.994837e+07 ; 7.075960e+08 + i 5.934679e+08 ; -2.886702e+08 + i -3.190721e+08 ; 2.686005e+07 + i -5.986102e+07 ; 4.205929e+08 + i -1.693555e+08 ; -8.073978e+08 + i -8.787728e+08 ; 1.910687e+07 + i 3.174085e+07 ; 1.950545e+08 + i 1.086159e+09 ; -1.579221e+08 + i -7.371365e+08 ; 1.198835e+07 + i -4.045442e+07 ; 4.803062e+08 + i 1.954756e+07 ; 
3.202499e+09 + i 4.614631e+09 ; -1.157527e+08 + i 7.234276e+08 ; -1.267710e+07 + i -1.077632e+09 ; -1.657806e+09 + i 5.328223e+09 ; -7.295740e+08 + i -4.324391e+08 ; 2.426881e+09 + i 3.266293e+09 ; 2.789381e+09 + i 8.380636e+08 ; 1.297755e+08 + i 7.242105e+08 ; -2.750532e+07 + i -7.047592e+08 ; 3.308231e+09 + i 1.829659e+09 ; -1.325542e+09 + i -1.477492e+08 ; 1.252248e+09 + i 5.050815e+08 ; -6.167611e+09 + i 3.313302e+10 ; -6.658938e+08 + i 6.245838e+08 ; 7.387921e+08 + i -6.166613e+08 ; -9.944450e+09 + i -1.163118e+10 ; -9.387249e+07 + i -2.163344e+09 ; -1.202871e+08 + i 2.150190e+09 ; 3.137336e+09 + i 4.605564e+09 ; -5.812033e+07 + i 9.764607e+08 ; 2.132048e+08 + i -6.739629e+08 ; -1.625047e+09 + i 5.336326e+09 ; -3.216378e+09 + i -2.591383e+09 ; 6.578705e+08 + i 5.444042e+08 ; -9.659751e+08 + i -1.869552e+08 ; -8.288633e+07 + i 1.199324e+08 ; 2.868434e+08 + i -5.845229e+07 ; -6.146568e+08 + i -3.683123e+08 ; 3.465329e+07 + i 7.786417e+07 ; 3.130472e+07 + i -9.069712e+07 ; -8.415307e+08 + i 6.731957e+08 ; -1.618982e+08 + i 1.398620e+08 ; 1.961034e+08 + i -1.111503e+08 ; -9.313740e+08 + i 3.185950e+08 ; 1.394677e+07 + i 8.427353e+07 ; 5.932087e+06 + i -9.010898e+07 ; -1.863910e+08 + i -1.429032e+09 ; -1.333868e+08 + i 7.186650e+07 ; 1.597132e+08 + i -4.531702e+07 ; 2.233452e+08 + i -6.741507e+08 ; 1.405757e+07 + i 8.266703e+07 ; 4.837968e+06 + i -8.834953e+07 ; -9.606189e+08 + i -2.026431e+08 ; -2.570872e+08 + i 1.093373e+08 ; 1.169974e+08 + i -1.062744e+08 ; -6.068905e+08 + i -3.781314e+08 ; -1.064355e+07 + i 9.060349e+07 ; -1.760437e+07 + i -8.866769e+07 ; 
-1.437105e+08 + i 6.689917e+08 ; 3.194106e+09 + i 4.745229e+09 ; -1.433186e+06 + i -1.076776e+09 ; 7.910774e+07 + i 6.629666e+08 ; 2.850732e+09 + i 9.594792e+08 ; -2.663714e+07 + i -7.041336e+08 ; -7.292920e+08 + i -4.959320e+08 ; -1.594387e+09 + i 5.493641e+09 ; 2.451871e+09 + i 3.285867e+09 ; -1.341841e+09 + i -2.454417e+08 ; 3.471547e+09 + i 1.942101e+09 ; 1.270930e+09 + i 5.256879e+08 ; -6.850078e+08 + i 5.746841e+08 ; -6.210477e+09 + i 3.318983e+10 ; 7.501055e+08 + i -6.172167e+08 ; -9.251859e+07 + i 9.134267e+08 ; 3.121639e+09 + i 4.671082e+09 ; 2.152675e+08 + i -6.737799e+08 ; -8.196778e+07 + i -2.217608e+09 ; -9.998598e+09 + i -1.148609e+10 ; -9.876549e+07 + i 2.166446e+09 ; -3.208821e+09 + i -2.689071e+09 ; -1.586200e+09 + i 5.485640e+09 ; 6.746646e+08 + i 5.624103e+08 ; -2.279397e+08 + i 8.025691e+07 ; 3.939629e+08 + i -1.702539e+08 ; -4.461515e+07 + i -1.055440e+08 ; -2.219910e+08 + i 2.274336e+07 ; 6.153950e+07 + i -1.523701e+08 ; -4.222715e+07 + i -2.506754e+07 ; -3.158598e+08 + i -4.017505e+08 ; 4.161562e+08 + i -1.712350e+08 ; 4.414384e+07 + i -4.467962e+07 ; -1.433955e+08 + i -3.357155e+08 ; 5.280453e+07 + i -1.526978e+08 ; -1.184581e+07 + i -1.971643e+07 ; -2.136292e+08 + i -3.131106e+06 ; 4.245161e+08 + i -4.127510e+07 ; -2.906838e+07 + i -9.630564e+07 ; -1.855015e+08 + i -4.553585e+07 ; 9.503548e+07 + i -1.164932e+08 ; -3.857722e+07 + i -2.431374e+07 ; -2.249997e+08 + i -6.569372e+08 ; 4.803826e+08 + i 1.746721e+07 ; 6.715552e+06 + i -5.638827e+07 ; 9.710433e+06 + i -4.268090e+08 ; 8.897398e+07 + i -1.256266e+08 ; -1.943793e+07 + i -1.757295e+07 ; 
3.792435e+08 + i 2.342363e+09 ; 4.099800e+08 + i 2.312363e+09 ; -1.002955e+10 + i -1.146550e+10 ; 3.153817e+09 + i 2.725407e+09 ; 7.208290e+08 + i 4.204296e+08 ; -1.631442e+09 + i 5.482414e+09 ; 6.960571e+08 + i 4.525082e+08 ; 3.190967e+09 + i 2.644459e+09 ; -1.611122e+09 + i 5.532117e+09 ; 1.327725e+09 + i 3.121306e+08 ; 1.340654e+09 + i 2.310127e+08 ; 3.440812e+09 + i 1.976678e+09 ; 7.198639e+08 + i -6.572708e+08 ; 7.146016e+08 + i -7.082266e+08 ; -6.224462e+09 + i 3.320705e+10 ; -2.073123e+08 + i -1.097086e+09 ; 1.011373e+08 + i -7.803872e+08 ; 3.205040e+09 + i 4.736953e+09 ; 1.233416e+08 + i -7.303887e+08 ; -2.329336e+08 + i -1.155068e+09 ; 3.222726e+09 + i 4.782451e+09 ; -1.198892e+08 + i -6.624957e+08 ; -1.682274e+08 + i -7.136232e+08 ; 2.936278e+09 + i 9.402407e+08 ; 1.938002e+08 + i 6.484947e+08 ; -1.069985e+07 + i -5.916204e+07 ; 4.752540e+08 + i 5.615853e+06 ; -2.982840e+07 + i 4.120490e+08 ; -2.511939e+07 + i -1.334254e+07 ; 8.810790e+07 + i -1.245818e+08 ; 2.912373e+08 + i 4.150198e+08 ; 3.027768e+07 + i -5.650543e+07 ; 4.100170e+08 + i -1.731485e+08 ; 1.168321e+08 + i 3.383087e+08 ; -1.798445e+07 + i -1.599191e+07 ; 5.493475e+07 + i -1.509029e+08 ; 1.974482e+08 + i -3.171137e+07 ; -5.152569e+07 + i -9.076826e+07 ; 4.220259e+08 + i -4.298803e+07 ; 1.816841e+08 + i 2.316249e+07 ; -4.435043e+07 + i -1.575669e+07 ; 8.976728e+07 + i -1.177766e+08 ; 2.114562e+08 + i -8.677261e+07 ; -6.998278e+07 + i -9.656879e+07 ; 3.941533e+08 + i -1.697156e+08 ; 2.082681e+08 + i -2.880133e+07 ; -4.856982e+07 + i -1.411947e+07 ; 5.727973e+07 + i -1.528029e+08 ; 
-1.684448e+09 + i 5.266663e+09 ; 7.188622e+08 + i 5.303391e+08 ; -2.204688e+09 + i -3.045332e+09 ; 3.067786e+09 + i 4.577206e+09 ; 1.661355e+08 + i -6.533939e+08 ; 2.610071e+08 + i 1.248798e+09 ; 3.264469e+09 + i 1.846232e+09 ; 1.363844e+09 + i 2.776841e+08 ; -1.228357e+09 + i -5.328707e+08 ; 2.664990e+09 + i 8.859063e+08 ; -6.238530e+07 + i -6.531500e+08 ; 5.331853e+07 + i 6.028093e+08 ; -9.944740e+09 + i -1.165261e+10 ; 8.110300e+06 + i 2.168659e+09 ; -1.292183e+08 + i -2.380976e+09 ; -6.233377e+09 + i 3.294806e+10 ; 7.362570e+08 + i -4.937480e+08 ; -7.418186e+08 + i 3.087953e+08 ; -1.673518e+09 + i 5.334282e+09 ; 3.097749e+09 + i 2.807084e+09 ; -6.979566e+08 + i -5.701246e+08 ; 3.025259e+09 + i 4.542716e+09 ; 1.290680e+08 + i -8.467492e+08 ; -2.059284e+08 + i 5.557135e+08 ; -1.165754e+09 + i 1.535325e+08 ; -2.988295e+08 + i -3.184650e+08 ; 7.092838e+08 + i 7.808953e+08 ; -9.618541e+08 + i -1.767470e+08 ; -1.880455e+08 + i 1.430628e+08 ; 2.544549e+08 + i -7.701051e+07 ; -6.367510e+08 + i 9.358699e+08 ; -6.686921e+08 + i -2.772330e+08 ; 4.988136e+08 + i 3.454108e+08 ; -8.355923e+08 + i 6.807474e+08 ; -2.165692e+08 + i 1.761185e+08 ; 1.954227e+08 + i -9.755927e+07 ; -1.525918e+09 + i -2.082093e+09 ; -1.185809e+08 + i -6.663048e+08 ; -1.196170e+08 + i 4.956190e+08 ; -1.960275e+08 + i -1.431397e+09 ; -2.765426e+08 + i 5.884756e+07 ; 2.070278e+08 + i -1.964027e+05 ; -1.187751e+09 + i 1.202451e+08 ; -1.004426e+09 + i -7.741364e+08 ; 1.413443e+08 + i 2.998864e+08 ; -9.647336e+08 + i -2.053466e+08 ; -3.111176e+08 + i 1.542023e+08 ; 1.608200e+08 + i -8.207722e+07 ; 
8.727546e+06 + i -6.935237e+08 ; 2.834973e+09 + i 9.374022e+08 ; 6.027561e+07 + i -6.055720e+08 ; 1.903520e+08 + i -6.502050e+08 ; 3.230760e+09 + i 4.590944e+09 ; 7.801466e+07 + i -1.012488e+09 ; 1.183163e+09 + i 4.346538e+08 ; 3.465395e+09 + i 1.935507e+09 ; 1.201683e+09 + i 5.664824e+08 ; 6.192768e+08 + i 4.973213e+08 ; -1.534284e+09 + i 5.369278e+09 ; 2.218990e+09 + i 3.200997e+09 ; 2.063710e+08 + i -8.840135e+08 ; 3.151640e+09 + i 4.653629e+09 ; 2.258367e+08 + i -6.121071e+08 ; 6.929505e+08 + i -4.486671e+08 ; -6.139328e+09 + i 3.305865e+10 ; 7.342367e+08 + i -5.529138e+08 ; 2.189488e+09 + i 3.122063e+09 ; -1.590921e+09 + i 5.488993e+09 ; 6.172764e+08 + i 5.523704e+08 ; -3.893597e+08 + i 1.861758e+09 ; -9.942797e+09 + i -1.160391e+10 ; -2.152015e+08 + i 2.016477e+09 ; 5.571263e+07 + i 3.913244e+08 ; 8.170168e+08 + i 4.517508e+08 ; 3.797309e+06 + i -2.106365e+08 ; -6.177100e+07 + i 3.876223e+08 ; 4.028238e+08 + i -1.561944e+08 ; -5.510147e+07 + i -8.273669e+07 ; -4.757107e+08 + i -2.997736e+08 ; 7.070550e+08 + i 5.929366e+08 ; 2.664999e+08 + i 1.086881e+08 ; -2.699572e+08 + i -3.213095e+08 ; 4.217881e+08 + i -1.690661e+08 ; 3.007726e+07 + i -5.957692e+07 ; -9.482413e+07 + i 4.687971e+08 ; 7.702311e+08 + i 9.866596e+08 ; 6.940495e+07 + i -1.578720e+08 ; -2.481798e+08 + i 3.393765e+08 ; 4.260607e+08 + i -2.497054e+07 ; -4.100927e+07 + i -8.642032e+07 ; -8.052206e+08 + i -8.776375e+08 ; 1.998189e+08 + i 1.087314e+09 ; 2.490352e+07 + i 3.889917e+07 ; -1.587284e+08 + i -7.348689e+08 ; 4.819623e+08 + i 2.089900e+07 ; 1.463675e+07 + i -3.942267e+07 ; 
-2.200549e+09 + i -3.005093e+09 ; 6.957099e+08 + i 4.020999e+08 ; -1.633287e+09 + i 5.401791e+09 ; -1.738498e+08 + i -2.240557e+09 ; 1.636001e+08 + i 2.302857e+09 ; -9.944838e+09 + i -1.164508e+10 ; -1.128276e+09 + i -5.216873e+08 ; 1.349687e+09 + i 2.955195e+08 ; 3.407194e+09 + i 1.960239e+09 ; -5.656930e+08 + i -4.162835e+08 ; 3.032032e+09 + i 2.832409e+09 ; -1.568045e+09 + i 5.377975e+09 ; 3.613327e+08 + i 1.382334e+09 ; 1.426938e+08 + i -7.588248e+08 ; 3.210430e+09 + i 4.760095e+09 ; -6.747243e+08 + i 4.049219e+08 ; 7.373169e+08 + i -6.500281e+08 ; -6.204764e+09 + i 3.309233e+10 ; 8.333538e+07 + i 6.980265e+08 ; -1.231907e+08 + i -6.581425e+08 ; 2.932823e+09 + i 9.473958e+08 ; -1.900804e+08 + i 7.306857e+08 ; -9.659647e+07 + i -1.144216e+09 ; 3.262069e+09 + i 4.657288e+09 ; 8.750111e+08 + i 8.913945e+08 ; 6.931731e+07 + i 7.136376e+07 ; 2.351561e+08 + i 1.109563e+09 ; 2.118998e+08 + i 7.488375e+08 ; 2.055978e+07 + i -4.624260e+07 ; 4.900798e+08 + i 1.972592e+07 ; 5.381524e+08 + i 2.873134e+08 ; 3.293618e+08 + i 9.697564e+07 ; 7.213111e+08 + i 5.942983e+08 ; 3.161013e+08 + i 3.182331e+08 ; 3.260507e+07 + i -6.901528e+07 ; 4.269129e+08 + i -1.666710e+08 ; 2.144707e+08 + i -3.702882e+08 ; 5.043774e+07 + i -2.039005e+08 ; 7.700130e+08 + i 9.790286e+08 ; 2.846664e+08 + i -2.556920e+08 ; -6.405656e+07 + i -9.773267e+07 ; 4.276988e+08 + i -3.833040e+07 ; 1.540372e+07 + i -3.719769e+08 ; -3.273454e+07 + i -2.416359e+08 ; 8.177786e+08 + i 4.447177e+08 ; 1.120742e+08 + i -3.659648e+08 ; -7.956949e+07 + i -8.880925e+07 ; 4.008920e+08 + i -1.703797e+08 ; 
2.774097e+09 + i 8.093997e+08 ; 3.066072e+07 + i -5.872756e+08 ; 3.190305e+07 + i -5.867133e+08 ; 3.305010e+09 + i 1.836974e+09 ; 1.182470e+09 + i 4.792343e+08 ; 1.181867e+09 + i 4.804952e+08 ; 3.169119e+09 + i 4.585269e+09 ; 2.212456e+08 + i -6.391363e+08 ; 5.008874e+07 + i -9.935828e+08 ; -1.674772e+09 + i 5.346569e+09 ; 6.488664e+08 + i 4.962373e+08 ; 2.144314e+09 + i 3.278122e+09 ; 3.167252e+09 + i 4.591077e+09 ; 4.775930e+07 + i -9.930011e+08 ; 2.168778e+08 + i -6.388562e+08 ; -1.679282e+09 + i 5.349228e+09 ; 2.140971e+09 + i 3.275282e+09 ; 6.482784e+08 + i 4.893099e+08 ; -6.136550e+09 + i 3.310000e+10 ; 7.577732e+08 + i -5.663887e+08 ; 7.540523e+08 + i -5.695822e+08 ; -9.977460e+09 + i -1.165406e+10 ; -1.990203e+08 + i 2.106220e+09 ; -1.965335e+08 + i 2.103576e+09 ; -8.262562e+08 + i 6.833426e+08 ; 1.901843e+08 + i -1.008993e+08 ; 1.905000e+08 + i -1.006732e+08 ; -9.247615e+08 + i 3.291368e+08 ; 7.672778e+06 + i -8.610995e+07 ; 7.792937e+06 + i -8.625261e+07 ; -9.597200e+08 + i -1.832761e+08 ; 1.173712e+08 + i -1.034270e+08 ; 2.743048e+08 + i -4.689865e+07 ; -6.117152e+08 + i -3.697608e+08 ; -1.515524e+07 + i -8.633010e+07 ; 3.186874e+07 + i -8.703986e+07 ; -9.612107e+08 + i -1.813577e+08 ; 2.739912e+08 + i -4.700052e+07 ; 1.169069e+08 + i -1.039567e+08 ; -6.133369e+08 + i -3.690957e+08 ; 3.178220e+07 + i -8.665683e+07 ; -1.551606e+07 + i -8.610060e+07 ; -1.883541e+08 + i -1.424327e+09 ; 1.530515e+08 + i -4.249554e+07 ; 1.529524e+08 + i -4.219935e+07 ; 2.232282e+08 + i -6.748373e+08 ; 6.789040e+06 + i -8.623900e+07 ; 6.358003e+06 + i -8.611998e+07 ; 
7.000279e+08 + i 4.726485e+08 ; -1.642068e+09 + i 5.460696e+09 ; -2.156110e+09 + i -3.064707e+09 ; 1.327780e+09 + i 3.423625e+08 ; 3.408310e+09 + i 1.955736e+09 ; -1.124543e+09 + i -5.021558e+08 ; 1.690575e+08 + i -6.801716e+08 ; 3.219273e+09 + i 4.776522e+09 ; 2.867104e+08 + i 1.280596e+09 ; -7.700633e+07 + i -6.027052e+08 ; 2.927156e+09 + i 9.518003e+08 ; 2.338235e+07 + i 6.467867e+08 ; 1.594869e+08 + i 2.315464e+09 ; -1.002926e+10 + i -1.153128e+10 ; -1.655581e+08 + i -2.363222e+09 ; 3.019077e+09 + i 2.891239e+09 ; -1.671474e+09 + i 5.459016e+09 ; -6.473392e+08 + i -5.293957e+08 ; 7.654627e+08 + i -5.883260e+08 ; -6.236722e+09 + i 3.323195e+10 ; -7.844343e+08 + i 3.635720e+08 ; -6.187396e+07 + i -1.030990e+09 ; 3.191037e+09 + i 4.760196e+09 ; -2.832097e+08 + i 6.296694e+08 ; 2.801098e+08 + i 4.318287e+08 ; 4.050535e+08 + i -1.693156e+08 ; -4.465287e+07 + i 3.364001e+07 ; 1.097690e+08 + i 3.492413e+08 ; 5.463459e+07 + i -1.475481e+08 ; 7.253215e+06 + i 1.815697e+07 ; 2.168834e+08 + i -6.054395e+07 ; 3.904909e+08 + i -1.663282e+08 ; 3.363844e+07 + i 1.005487e+08 ; 2.087983e+08 + i -1.020303e+07 ; 5.782043e+07 + i -1.505893e+08 ; 3.701971e+07 + i 2.654403e+07 ; 1.705575e+08 + i 6.664900e+08 ; 4.692944e+08 + i 7.303426e+06 ; -1.160631e+07 + i 4.348417e+07 ; -4.512061e+07 + i 4.193360e+08 ; 8.770944e+07 + i -1.220717e+08 ; 1.452481e+07 + i 1.696139e+07 ; 2.026225e+08 + i -8.089553e+05 ; 4.207743e+08 + i -4.122435e+07 ; 1.882324e+07 + i 9.052836e+07 ; 1.794099e+08 + i 4.663613e+07 ; 9.128468e+07 + i -1.161247e+08 ; 3.350602e+07 + i 2.579536e+07 ; 
6.947509e+08 + i 4.732352e+08 ; -2.155240e+09 + i -3.063287e+09 ; -1.637916e+09 + i 5.457349e+09 ; 1.328932e+09 + i 3.439104e+08 ; -1.122078e+09 + i -5.009496e+08 ; 3.414548e+09 + i 1.951401e+09 ; 1.577647e+08 + i 2.310619e+09 ; -1.652096e+08 + i -2.359182e+09 ; -1.002407e+10 + i -1.151850e+10 ; 3.017429e+09 + i 2.892251e+09 ; -6.474191e+08 + i -5.284436e+08 ; -1.659828e+09 + i 5.476465e+09 ; 1.641563e+08 + i -6.786973e+08 ; 2.832719e+08 + i 1.287090e+09 ; 3.224408e+09 + i 4.811092e+09 ; -7.842217e+07 + i -5.962025e+08 ; 2.485842e+07 + i 6.514171e+08 ; 2.945280e+09 + i 9.483744e+08 ; 7.632061e+08 + i -5.960809e+08 ; -7.841276e+08 + i 3.621695e+08 ; -6.248493e+09 + i 3.322961e+10 ; -6.315881e+07 + i -1.030468e+09 ; -2.816665e+08 + i 6.281066e+08 ; 3.203564e+09 + i 4.763880e+09 ; 2.814436e+08 + i 4.320985e+08 ; -4.430242e+07 + i 3.388914e+07 ; 4.068892e+08 + i -1.682696e+08 ; 1.099712e+08 + i 3.501734e+08 ; 7.446094e+06 + i 1.805387e+07 ; 5.551066e+07 + i -1.481853e+08 ; 1.702096e+08 + i 6.657595e+08 ; -1.148790e+07 + i 4.407784e+07 ; 4.713910e+08 + i 8.324759e+06 ; -4.550010e+07 + i 4.187028e+08 ; 1.481602e+07 + i 1.713172e+07 ; 8.869948e+07 + i -1.230762e+08 ; 2.175293e+08 + i -6.001334e+07 ; 3.369119e+07 + i 1.007930e+08 ; 3.915396e+08 + i -1.661543e+08 ; 2.087267e+08 + i -9.592807e+06 ; 3.708009e+07 + i 2.650905e+07 ; 5.781747e+07 + i -1.506934e+08 ; 2.039927e+08 + i -3.722685e+05 ; 1.857033e+07 + i 9.064876e+07 ; 4.206852e+08 + i -4.072591e+07 ; 1.797613e+08 + i 4.701834e+07 ; 3.354402e+07 + i 2.599966e+07 ; 9.077735e+07 + i -1.164691e+08 ; 
3.229209e+09 + i 1.834414e+09 ; -1.124601e+09 + i -5.619532e+08 ; -1.123272e+09 + i -5.641388e+08 ; 2.650741e+09 + i 8.902999e+08 ; 1.040215e+07 + i 4.239029e+08 ; 8.665823e+06 + i 4.229501e+08 ; -1.719483e+09 + i 5.269615e+09 ; -6.595890e+08 + i -4.865920e+08 ; -2.024589e+09 + i -3.098944e+09 ; 3.051809e+09 + i 4.586371e+09 ; -2.698146e+08 + i 5.648472e+08 ; 1.753883e+08 + i 1.101227e+09 ; -1.721814e+09 + i 5.273665e+09 ; -2.022440e+09 + i -3.094426e+09 ; -6.583355e+08 + i -4.779885e+08 ; 3.049848e+09 + i 4.593756e+09 ; 1.774481e+08 + i 1.102634e+09 ; -2.657214e+08 + i 5.650631e+08 ; -9.962543e+09 + i -1.172263e+10 ; -1.224119e+07 + i -2.284703e+09 ; -1.564166e+07 + i -2.279785e+09 ; -6.237642e+09 + i 3.295499e+10 ; -7.590712e+08 + i 2.852409e+08 ; -7.559996e+08 + i 2.890239e+08 ; -6.116902e+08 + i 9.344205e+08 ; 4.700407e+08 + i 4.106171e+08 ; 4.696226e+08 + i 4.119496e+08 ; -8.196360e+08 + i 6.860257e+08 ; 2.141016e+08 + i -7.429073e+07 ; 2.146154e+08 + i -7.365484e+07 ; -1.160657e+09 + i 1.463266e+08 ; 1.375368e+08 + i 3.683618e+08 ; 6.578678e+08 + i 8.223237e+08 ; -9.598782e+08 + i -1.856279e+08 ; 1.826148e+08 + i -6.266959e+07 ; 2.666605e+08 + i -5.845150e+07 ; -1.161218e+09 + i 1.471275e+08 ; 6.578502e+08 + i 8.205517e+08 ; 1.372494e+08 + i 3.666257e+08 ; -9.604492e+08 + i -1.855739e+08 ; 2.655759e+08 + i -5.854739e+07 ; 1.814456e+08 + i -6.320513e+07 ; -1.521643e+09 + i -2.077565e+09 ; -1.344247e+08 + i 5.188555e+08 ; -1.339244e+08 + i 5.185139e+08 ; -1.948093e+08 + i -1.433992e+09 ; 2.184027e+08 + i 1.421743e+07 ; 2.179800e+08 + i 1.294233e+07 ; 
-1.104181e+09 + i -4.739501e+08 ; 3.380565e+09 + i 1.948564e+09 ; -1.099487e+09 + i -5.398609e+08 ; -6.137483e+08 + i -3.661588e+08 ; -1.596225e+09 + i 5.321331e+09 ; -1.995970e+09 + i -3.063526e+09 ; 6.575276e+07 + i 5.387343e+08 ; 2.906383e+09 + i 9.562434e+08 ; -6.023076e+06 + i 4.921544e+08 ; -2.074807e+08 + i 6.397163e+08 ; 3.258774e+09 + i 4.661118e+09 ; 1.669793e+08 + i 1.183483e+09 ; -2.038129e+09 + i -3.004878e+09 ; -1.666540e+09 + i 5.394462e+09 ; -6.328683e+08 + i -4.531236e+08 ; -5.042627e+06 + i -2.122848e+09 ; -9.953651e+09 + i -1.169000e+10 ; 1.009786e+07 + i -2.245848e+09 ; 2.054892e+08 + i 1.236033e+09 ; 3.192467e+09 + i 4.773727e+09 ; -2.950114e+08 + i 6.232327e+08 ; -7.148190e+08 + i 3.854405e+08 ; -6.205151e+09 + i 3.312368e+10 ; -7.845616e+08 + i 3.514709e+08 ; 4.876426e+08 + i 2.832073e+08 ; 7.131449e+08 + i 5.899776e+08 ; -2.542836e+08 + i -1.306141e+08 ; 2.833408e+08 + i 3.037008e+08 ; 4.219790e+08 + i -1.642177e+08 ; -3.568599e+07 + i 5.435997e+07 ; 1.978125e+07 + i -3.958164e+08 ; 8.147271e+08 + i 4.426712e+08 ; -1.389929e+07 + i 1.969755e+08 ; 1.214500e+08 + i -3.725029e+08 ; 3.993034e+08 + i -1.681038e+08 ; 4.582761e+07 + i 8.310894e+07 ; 7.977941e+08 + i 8.896293e+08 ; 2.302693e+08 + i 1.100837e+09 ; -2.287045e+07 + i -4.925125e+07 ; 1.605863e+08 + i 7.284444e+08 ; 4.862946e+08 + i 2.109653e+07 ; -1.880922e+07 + i 3.520327e+07 ; 1.950965e+08 + i -3.873178e+08 ; 7.727847e+08 + i 9.822601e+08 ; -7.774248e+07 + i 1.478344e+08 ; 2.795498e+08 + i -2.664307e+08 ; 4.288748e+08 + i -3.471361e+07 ; 3.309980e+07 + i 8.582555e+07 ; 
