-8.930637e+09 + i 1.261893e+10 ; -4.352559e+07 + i 9.818082e+07 ; -4.344199e+07 + i 9.821778e+07 ; -5.106938e+08 + i -3.004028e+09 ; 9.476380e+06 + i -3.024293e+08 ; 9.344986e+06 + i -3.023632e+08 ; 1.090501e+08 + i 1.476635e+09 ; -1.705520e+07 + i 1.657732e+08 ; 1.317063e+07 + i 4.282773e+07 ; -2.525313e+08 + i 9.235771e+08 ; -1.911265e+08 + i -6.599989e+08 ; -4.297550e+07 + i -2.740387e+07 ; 1.091847e+08 + i 1.476583e+09 ; 1.293609e+07 + i 4.271209e+07 ; -1.716857e+07 + i 1.657584e+08 ; -2.522308e+08 + i 9.236109e+08 ; -4.236668e+07 + i -2.770942e+07 ; -1.911031e+08 + i -6.599998e+08 ; 3.192908e+08 + i -5.021226e+07 ; 2.543946e+07 + i 6.381147e+07 ; 2.567102e+07 + i 6.370018e+07 ; 2.921394e+08 + i -8.015710e+06 ; -9.548725e+07 + i -9.666140e+07 ; -9.550377e+07 + i -9.675720e+07 ; 2.622978e+07 + i -3.460166e+08 ; -7.168512e+06 + i 9.070725e+06 ; -7.154578e+06 + i 9.076882e+06 ; 4.505970e+07 + i -1.957273e+08 ; 1.246594e+06 + i 3.386126e+06 ; 1.251549e+06 + i 3.385279e+06 ; -8.773392e+07 + i -2.480804e+07 ; -1.773689e+07 + i -4.434795e+06 ; -1.764385e+06 + i 8.634346e+06 ; -6.052760e+07 + i -3.294298e+07 ; -1.386736e+06 + i -1.134230e+05 ; 1.205205e+06 + i 2.460880e+06 ; -8.764197e+07 + i -2.483932e+07 ; -1.728001e+06 + i 8.578433e+06 ; -1.772892e+07 + i -4.431911e+06 ; -6.047439e+07 + i -3.294003e+07 ; 1.199824e+06 + i 2.453262e+06 ; -1.387680e+06 + i -1.123519e+05 ; -9.589535e+06 + i 4.190658e+07 ; -9.058305e+06 + i -1.121966e+06 ; -9.075254e+06 + i -1.106256e+06 ; -1.491989e+07 + i 2.531966e+07 ; -9.933415e+05 + i -3.836078e+05 ; -9.911067e+05 + i -3.815209e+05 ; 
-2.585634e+07 + i -8.264331e+07 ; -2.308494e+07 + i -8.337260e+07 ; 3.265988e+08 + i -4.535768e+07 ; -1.683749e+07 + i -5.130004e+07 ; 5.322189e+07 + i -1.960901e+08 ; 1.049997e+08 + i 1.472433e+09 ; 5.011251e+07 + i -1.970572e+08 ; -1.361837e+07 + i -5.372911e+07 ; 1.025920e+08 + i 1.487720e+09 ; 6.465670e+07 + i -1.077445e+08 ; 6.926046e+07 + i -1.084567e+08 ; -8.945629e+09 + i 1.261650e+10 ; 1.159067e+08 + i 1.209745e+08 ; 1.151140e+08 + i 1.303651e+08 ; 2.995362e+08 + i -8.367409e+06 ; 6.886669e+07 + i 1.480993e+07 ; 1.014735e+08 + i 8.362419e+08 ; -2.434623e+08 + i 9.222001e+08 ; 1.057878e+08 + i 8.236947e+08 ; 6.798639e+07 + i 3.031671e+07 ; -2.463259e+08 + i 9.364178e+08 ; -7.188410e+07 + i 3.403332e+08 ; -7.561323e+07 + i 3.645465e+08 ; -5.178857e+08 + i -2.986081e+09 ; 5.046597e+06 + i 4.202337e+07 ; 4.042495e+06 + i -3.594850e+07 ; 6.891037e+07 + i 9.655674e+07 ; 1.056718e+06 + i 3.448305e+07 ; -4.186010e+06 + i -6.853800e+06 ; 1.300504e+07 + i 1.292755e+06 ; -8.059344e+06 + i 7.554897e+07 ; 7.039044e+06 + i -2.443883e+07 ; 3.633832e+07 + i 2.810159e+08 ; -1.525517e+07 + i 5.584347e+07 ; -3.236502e+06 + i -5.417293e+06 ; 3.408454e+07 + i 4.765759e+06 ; -3.003331e+07 + i -9.572194e+07 ; 1.366917e+07 + i 5.286328e+07 ; 5.239962e+07 + i 8.181583e+07 ; -1.480625e+07 + i -6.170869e+07 ; 4.685263e+06 + i -2.877391e+06 ; 1.243109e+07 + i 1.849236e+06 ; -5.253705e+07 + i -2.279241e+08 ; -3.341130e+06 + i 1.514762e+07 ; -1.016831e+07 + i 2.149532e+08 ; -7.404555e+06 + i -1.394499e+08 ; 2.740129e+06 + i -4.772105e+06 ; 3.373769e+07 + i 9.804364e+06 ; 
1.007941e+08 + i 1.477579e+09 ; 1.275566e+07 + i 4.479271e+07 ; 1.829738e+07 + i -1.707440e+08 ; -2.551990e+08 + i 9.271107e+08 ; -4.723711e+07 + i -2.654809e+07 ; 1.509504e+08 + i 7.921606e+08 ; 3.211219e+08 + i -4.846935e+07 ; 2.474078e+07 + i 6.748251e+07 ; -2.016158e+07 + i -7.560675e+07 ; 2.931120e+08 + i -7.531513e+06 ; -9.619883e+07 + i -1.028078e+08 ; 1.010304e+08 + i 1.217062e+08 ; -8.937281e+09 + i 1.261833e+10 ; -4.610742e+07 + i 9.881274e+07 ; 4.826901e+07 + i -1.029802e+08 ; -5.128322e+08 + i -3.002424e+09 ; 1.511537e+07 + i -3.097655e+08 ; -2.875857e+07 + i 3.325396e+08 ; 1.093902e+08 + i 1.479494e+09 ; -2.169778e+07 + i 1.682298e+08 ; -9.198555e+06 + i -4.910808e+07 ; -2.521975e+08 + i 9.251506e+08 ; -1.834024e+08 + i -6.896700e+08 ; 4.730818e+07 + i 3.202321e+07 ; -8.593580e+07 + i -2.546908e+07 ; -2.245936e+06 + i 9.154785e+06 ; 1.927412e+07 + i 6.998675e+06 ; -5.932600e+07 + i -3.297354e+07 ; 1.158736e+06 + i 2.672254e+06 ; 1.506768e+06 + i 3.292432e+05 ; -9.454914e+06 + i 4.145383e+07 ; -9.523488e+06 + i -1.275283e+06 ; 1.025184e+07 + i 2.193716e+06 ; -1.467613e+07 + i 2.496401e+07 ; -1.038952e+06 + i -3.696196e+05 ; 1.107993e+06 + i 4.763696e+05 ; 2.631645e+07 + i -3.460871e+08 ; -7.341331e+06 + i 9.172429e+06 ; 9.201243e+06 + i -1.033507e+07 ; 4.504019e+07 + i -1.956259e+08 ; 1.286754e+06 + i 3.496368e+06 ; -1.040646e+06 + i -4.138816e+06 ; -8.764844e+07 + i -2.483877e+07 ; -1.798981e+07 + i -5.136690e+06 ; 3.261774e+06 + i -1.034544e+07 ; -6.042643e+07 + i -3.287867e+07 ; -1.366286e+06 + i -2.122175e+05 ; -1.019593e+06 + i -3.167461e+06 ; 
1.079568e+07 + i 4.380304e+07 ; 1.051275e+08 + i 1.488382e+09 ; 1.846370e+07 + i -1.708807e+08 ; 2.200815e+07 + i 6.674747e+07 ; 3.254564e+08 + i -4.742075e+07 ; -2.021576e+07 + i -7.502206e+07 ; -4.737326e+07 + i -3.252818e+07 ; -2.484473e+08 + i 9.425743e+08 ; 1.523453e+08 + i 7.926661e+08 ; -9.677324e+07 + i -1.132472e+08 ; 2.994352e+08 + i -7.991388e+06 ; 1.020310e+08 + i 1.223004e+08 ; -4.782918e+07 + i 9.659278e+07 ; -8.947606e+09 + i 1.263752e+10 ; 4.840711e+07 + i -1.030590e+08 ; -2.445152e+07 + i 1.655662e+08 ; 1.094844e+08 + i 1.488799e+09 ; -9.306954e+06 + i -4.849977e+07 ; 1.711696e+07 + i -3.175764e+08 ; -5.264948e+08 + i -2.967592e+09 ; -2.759832e+07 + i 3.324919e+08 ; -1.809532e+08 + i -7.040748e+08 ; -2.464895e+08 + i 9.377923e+08 ; 4.808835e+07 + i 3.227374e+07 ; -6.054270e+06 + i 1.769531e+07 ; 1.283650e+07 + i 1.781272e+06 ; -2.091634e+06 + i -1.022878e+07 ; -6.146633e+06 + i 1.171894e+07 ; 3.587029e+06 + i 4.948587e+06 ; -1.331639e+06 + i -2.275994e+06 ; -2.045625e+07 + i -6.510989e+07 ; 1.262227e+07 + i 1.945512e+06 ; 2.559237e+06 + i 1.152768e+06 ; -9.982136e+06 + i -4.383990e+07 ; 3.234381e+06 + i 4.570164e+06 ; 2.638363e+05 + i -7.298540e+05 ; -1.444524e+07 + i 1.310795e+07 ; 3.317715e+07 + i 5.162021e+06 ; -1.213875e+06 + i -7.539591e+06 ; -1.210551e+07 + i 7.490021e+06 ; 3.429844e+06 + i 5.265515e+06 ; -1.076487e+06 + i -1.821790e+06 ; -6.518367e+06 + i -1.251694e+08 ; 3.361070e+07 + i 9.842719e+06 ; -3.537115e+05 + i -4.986743e+06 ; 5.819313e+06 + i -7.597133e+07 ; 3.064624e+06 + i 4.288028e+06 ; -3.710866e+05 + i -1.733495e+06 ; 
2.012180e+06 + i 3.015317e+08 ; 5.527428e+06 + i 2.934827e+08 ; -5.200542e+08 + i -2.967732e+09 ; 1.857667e+08 + i 7.048999e+08 ; 4.411187e+07 + i 2.754945e+07 ; -2.482516e+08 + i 9.395448e+08 ; 4.290167e+07 + i 3.372502e+07 ; 1.896461e+08 + i 6.907798e+08 ; -2.466472e+08 + i 9.413881e+08 ; 9.880546e+07 + i 1.121003e+08 ; 9.895973e+07 + i 1.020558e+08 ; 3.008131e+08 + i -8.388212e+06 ; 4.021689e+07 + i -9.584227e+07 ; 3.876470e+07 + i -9.813277e+07 ; -8.946552e+09 + i 1.263739e+10 ; 1.543191e+06 + i -1.486199e+08 ; -1.431271e+07 + i -4.187911e+07 ; 1.094678e+08 + i 1.485146e+09 ; -1.244376e+07 + i -4.127103e+07 ; -4.821792e+05 + i -1.514452e+08 ; 1.113578e+08 + i 1.486961e+09 ; -2.199918e+07 + i -6.415995e+07 ; -2.446990e+07 + i -6.456023e+07 ; 3.230588e+08 + i -4.878550e+07 ; 6.097885e+06 + i 1.263151e+08 ; -9.303099e+05 + i -4.207518e+06 ; 3.226213e+07 + i 1.048976e+07 ; -6.239438e+06 + i 7.685362e+07 ; -4.914116e+05 + i -1.433718e+06 ; 3.102499e+06 + i 4.384466e+06 ; 2.103777e+07 + i 6.534725e+07 ; 2.071249e+06 + i 9.684962e+05 ; 1.214662e+07 + i 2.381538e+06 ; 1.037940e+07 + i 4.421617e+07 ; 1.698583e+05 + i -6.148423e+05 ; 3.209194e+06 + i 4.630276e+06 ; 1.118648e+07 + i -1.174903e+07 ; -1.466727e+06 + i -6.584037e+06 ; 3.309710e+07 + i 5.315953e+06 ; 1.017693e+07 + i -6.858746e+06 ; -1.056936e+06 + i -1.562811e+06 ; 3.486619e+06 + i 5.362892e+06 ; 5.108293e+06 + i -1.683522e+07 ; -2.459052e+06 + i -8.860864e+06 ; 1.264123e+07 + i 1.805656e+06 ; 5.584711e+06 + i -1.116265e+07 ; -1.293208e+06 + i -1.954738e+06 ; 3.607428e+06 + i 5.013111e+06 ; 
-2.681776e+08 + i 9.330166e+08 ; 5.253596e+07 + i 2.963698e+07 ; -1.060693e+08 + i -8.401146e+08 ; 9.924084e+07 + i 1.465600e+09 ; -1.297168e+07 + i -3.801340e+07 ; 2.745536e+07 + i 1.232712e+08 ; 2.952951e+08 + i -5.991976e+06 ; 1.007099e+08 + i 1.090537e+08 ; -9.803030e+07 + i -1.335620e+08 ; 3.148950e+08 + i -4.640775e+07 ; -2.344962e+07 + i -6.008105e+07 ; 1.567350e+07 + i 6.317436e+07 ; -5.149760e+08 + i -3.001341e+09 ; -2.340366e+07 + i 3.216345e+08 ; -7.162750e+06 + i -3.075080e+08 ; -8.929828e+09 + i 1.257460e+10 ; 4.748263e+07 + i -9.267710e+07 ; -6.469495e+07 + i 9.932613e+07 ; -2.496981e+08 + i 9.271472e+08 ; 1.758708e+08 + i 7.197703e+08 ; -4.669111e+07 + i -3.286279e+07 ; 9.831718e+07 + i 1.467600e+09 ; 2.837042e+07 + i -1.611145e+08 ; 6.039250e+06 + i 4.210575e+07 ; -1.119692e+08 + i -7.939524e+06 ; -1.655092e+07 + i -2.772409e+07 ; 3.141198e+07 + i 2.406859e+08 ; -8.485002e+07 + i -2.620000e+07 ; -2.669041e+06 + i 7.105005e+06 ; 2.420877e+07 + i -1.283995e+06 ; 3.851710e+06 + i 6.561450e+07 ; -4.426095e+07 + i -7.505541e+07 ; 3.757651e+07 + i 9.383061e+07 ; -8.915125e+06 + i 4.063928e+07 ; -7.632657e+06 + i 9.124615e+05 ; 8.605849e+06 + i 7.047540e+05 ; -6.056372e+07 + i -6.037095e+08 ; -2.629763e+06 + i -9.003831e+07 ; -2.607154e+07 + i 1.137067e+08 ; 2.635469e+07 + i -3.457311e+08 ; -1.348392e+07 + i 1.010072e+07 ; 1.718229e+07 + i -7.298893e+06 ; -1.159838e+08 + i -4.758407e+06 ; -6.071703e+07 + i -2.005184e+08 ; 9.925086e+06 + i 3.884003e+07 ; -8.771640e+07 + i -2.485307e+07 ; -2.035294e+07 + i 5.391209e+06 ; 3.583130e+06 + i -6.581671e+06 ; 
-2.082943e+07 + i -8.217012e+07 ; 3.268903e+08 + i -4.579341e+07 ; -1.495060e+07 + i -8.283686e+07 ; -1.317560e+07 + i -4.957410e+07 ; 1.060131e+08 + i 1.472199e+09 ; 2.878173e+07 + i -1.789607e+08 ; 9.944273e+07 + i 1.240262e+08 ; 3.003654e+08 + i -8.041279e+06 ; 1.087484e+08 + i 1.289883e+08 ; 5.565030e+07 + i 1.593379e+07 ; -2.472844e+08 + i 9.255509e+08 ; 1.168051e+08 + i 8.314154e+08 ; 4.573939e+07 + i -1.910680e+08 ; 1.030164e+08 + i 1.488954e+09 ; -7.774666e+06 + i -5.162653e+07 ; 5.924487e+07 + i -1.063558e+08 ; -8.947406e+09 + i 1.261608e+10 ; 5.588400e+07 + i -1.043527e+08 ; 1.195611e+08 + i 8.225321e+08 ; -2.450678e+08 + i 9.378934e+08 ; 5.504013e+07 + i 3.135375e+07 ; -5.480756e+07 + i 3.303578e+08 ; -5.203795e+08 + i -2.986183e+09 ; -5.193124e+07 + i 3.470515e+08 ; 4.984093e+06 + i 4.307881e+07 ; 6.874650e+07 + i 9.655800e+07 ; 4.176779e+06 + i -3.572482e+07 ; 9.208413e+05 + i 3.526308e+07 ; 1.302361e+07 + i 1.332405e+06 ; -4.098228e+06 + i -6.891562e+06 ; -3.314091e+07 + i -9.595502e+07 ; 5.225768e+07 + i 8.189907e+07 ; 1.414833e+07 + i 5.257520e+07 ; -1.655280e+07 + i -6.220299e+07 ; 1.248543e+07 + i 1.818489e+06 ; 4.677595e+06 + i -2.921564e+06 ; -8.265726e+06 + i 7.711705e+07 ; 3.636814e+07 + i 2.810219e+08 ; 7.011778e+06 + i -2.419634e+07 ; -1.552090e+07 + i 5.673807e+07 ; 3.412063e+07 + i 4.761069e+06 ; -3.162780e+06 + i -5.434925e+06 ; -5.122127e+07 + i -2.283666e+08 ; -9.986575e+06 + i 2.147036e+08 ; -2.891387e+06 + i 1.476699e+07 ; -6.621895e+06 + i -1.394245e+08 ; 3.379793e+07 + i 9.710912e+06 ; 2.748803e+06 + i -4.813365e+06 ; 
-1.084462e+08 + i -8.269169e+08 ; 3.888599e+07 + i 3.045009e+07 ; -2.626886e+08 + i 9.456879e+08 ; -1.041667e+07 + i -2.788458e+08 ; -1.229606e+06 + i 3.067328e+08 ; -5.231014e+08 + i -2.984404e+09 ; -1.033170e+08 + i -1.234715e+08 ; 9.817930e+07 + i 1.072507e+08 ; 3.032132e+08 + i -5.690530e+06 ; -4.484288e+07 + i -1.959024e+07 ; 1.802242e+08 + i 7.175193e+08 ; -2.451263e+08 + i 9.266772e+08 ; 2.958914e+07 + i 1.358051e+08 ; -1.190941e+07 + i -4.426040e+07 ; 1.111331e+08 + i 1.484066e+09 ; -6.335555e+07 + i 1.084606e+08 ; 4.185333e+07 + i -1.007156e+08 ; -8.939052e+09 + i 1.261717e+10 ; 2.029276e+07 + i 7.520017e+07 ; -1.641052e+07 + i -6.972119e+07 ; 3.236642e+08 + i -4.928568e+07 ; 1.677351e+07 + i 4.654195e+07 ; 2.270190e+06 + i -1.595323e+08 ; 1.110783e+08 + i 1.469037e+09 ; 5.212090e+07 + i 2.245540e+08 ; 3.692852e+06 + i 9.716603e+06 ; -6.983557e+06 + i 2.116201e+08 ; 7.513503e+06 + i 1.366856e+08 ; 1.763958e+06 + i -5.152872e+06 ; 3.374429e+07 + i 9.327001e+06 ; 3.326383e+07 + i 9.384072e+07 ; 2.193602e+07 + i 4.185618e+07 ; 5.286130e+07 + i 8.086714e+07 ; 1.705936e+07 + i 6.064474e+07 ; 3.731769e+06 + i -3.719426e+06 ; 1.247999e+07 + i 1.565628e+06 ; 2.344441e+07 + i -8.815206e+07 ; 1.861764e+06 + i -2.141345e+07 ; 3.541765e+07 + i 2.811734e+08 ; 2.546170e+07 + i -6.169275e+07 ; -3.678050e+06 + i -3.955712e+06 ; 3.348124e+07 + i 5.060923e+06 ; -1.177476e+06 + i -4.800673e+07 ; -1.464950e+06 + i -3.134679e+07 ; 6.830656e+07 + i 9.663997e+07 ; 1.683725e+06 + i -3.846536e+07 ; -4.545696e+06 + i -5.185105e+06 ; 1.256480e+07 + i 1.683886e+06 ; 
3.229088e+08 + i -4.627104e+07 ; -1.138144e+07 + i -8.221495e+07 ; -1.135816e+07 + i -8.225736e+07 ; 2.938463e+08 + i -7.322185e+06 ; 9.608870e+07 + i 1.319898e+08 ; 9.623998e+07 + i 1.320149e+08 ; 1.028173e+08 + i 1.479279e+09 ; -7.271465e+06 + i -5.080413e+07 ; 2.751983e+07 + i -1.769508e+08 ; -2.536384e+08 + i 9.267022e+08 ; 4.803536e+07 + i 3.131876e+07 ; 1.231473e+08 + i 8.333371e+08 ; 1.029387e+08 + i 1.479218e+09 ; 2.750102e+07 + i -1.770059e+08 ; -7.180737e+06 + i -5.072990e+07 ; -2.533862e+08 + i 9.267526e+08 ; 1.233443e+08 + i 8.335123e+08 ; 4.744475e+07 + i 3.153860e+07 ; -8.942921e+09 + i 1.261780e+10 ; 5.295538e+07 + i -1.049578e+08 ; 5.302856e+07 + i -1.047452e+08 ; -5.142635e+08 + i -3.001106e+09 ; -3.946952e+07 + i 3.417558e+08 ; -3.985898e+07 + i 3.416822e+08 ; -9.887564e+06 + i 4.105867e+07 ; 1.084954e+07 + i 2.653533e+06 ; 1.083883e+07 + i 2.643950e+06 ; -1.474872e+07 + i 2.461247e+07 ; 1.186069e+06 + i 4.805587e+05 ; 1.188958e+06 + i 4.835431e+05 ; -8.608449e+07 + i -2.554085e+07 ; 4.090163e+06 + i -1.084532e+07 ; 1.922060e+07 + i 8.385539e+06 ; -5.932851e+07 + i -3.299733e+07 ; -8.332037e+05 + i -3.431162e+06 ; 1.388704e+06 + i 5.515332e+05 ; -8.599090e+07 + i -2.557144e+07 ; 1.921366e+07 + i 8.392803e+06 ; 4.038101e+06 + i -1.082443e+07 ; -5.927740e+07 + i -3.299420e+07 ; 1.390006e+06 + i 5.483708e+05 ; -8.310184e+05 + i -3.422428e+06 ; 2.651855e+07 + i -3.463399e+08 ; 9.435624e+06 + i -1.016355e+07 ; 9.458926e+06 + i -1.018336e+07 ; 4.512506e+07 + i -1.956390e+08 ; -1.066560e+06 + i -4.232994e+06 ; -1.060068e+06 + i -4.231945e+06 ; 
4.291640e+07 + i 3.494347e+07 ; -2.598195e+08 + i 9.481083e+08 ; -1.045838e+08 + i -8.400745e+08 ; 9.717422e+07 + i 1.184721e+08 ; 3.020206e+08 + i -5.435699e+06 ; -9.890332e+07 + i -1.361053e+08 ; -9.810334e+06 + i -4.406027e+07 ; 1.114739e+08 + i 1.486899e+09 ; 2.224972e+07 + i 1.369229e+08 ; -1.490193e+07 + i -6.885373e+07 ; 3.235520e+08 + i -4.915940e+07 ; 1.662092e+07 + i 7.623066e+07 ; -7.069495e+06 + i 3.155626e+08 ; -5.292718e+08 + i -2.965208e+09 ; -6.973192e+06 + i -3.035071e+08 ; 1.741758e+08 + i 7.330661e+08 ; -2.470724e+08 + i 9.423852e+08 ; -4.731307e+07 + i -3.323549e+07 ; 4.460769e+07 + i -9.917660e+07 ; -8.944202e+09 + i 1.263704e+10 ; -7.003374e+07 + i 1.103407e+08 ; 9.210581e+06 + i -1.578981e+08 ; 1.104587e+08 + i 1.484624e+09 ; 9.173478e+06 + i 5.267701e+07 ; 1.976892e+07 + i 6.790157e+07 ; 1.252723e+07 + i 2.334444e+06 ; -3.032813e+06 + i -1.137566e+06 ; 9.414740e+06 + i 4.572242e+07 ; 3.238548e+06 + i 4.565544e+06 ; -2.935405e+05 + i 8.358320e+05 ; 6.778407e+06 + i -1.757091e+07 ; 1.293540e+07 + i 1.765367e+06 ; 1.573546e+06 + i 1.085365e+07 ; 6.679808e+06 + i -1.148159e+07 ; 3.626937e+06 + i 4.957451e+06 ; 1.238196e+06 + i 2.459067e+06 ; 3.489887e+06 + i 1.303744e+08 ; 3.251362e+07 + i 1.052165e+07 ; -5.602316e+05 + i 5.587558e+06 ; -8.082932e+06 + i 7.902692e+07 ; 3.118952e+06 + i 4.353825e+06 ; 3.344979e+05 + i 1.921767e+06 ; 1.289942e+07 + i -1.249815e+07 ; 3.326933e+07 + i 5.296449e+06 ; 7.195003e+05 + i 8.057102e+06 ; 1.136618e+07 + i -7.190704e+06 ; 3.510656e+06 + i 5.316800e+06 ; 1.005152e+06 + i 1.977422e+06 ; 
4.302346e+07 + i 3.502711e+07 ; -1.046137e+08 + i -8.401311e+08 ; -2.599228e+08 + i 9.480318e+08 ; 9.712784e+07 + i 1.184440e+08 ; -9.895131e+07 + i -1.361363e+08 ; 3.018529e+08 + i -5.350174e+06 ; -7.199970e+06 + i 3.156767e+08 ; -6.890830e+06 + i -3.035807e+08 ; -5.278230e+08 + i -2.965338e+09 ; 1.742025e+08 + i 7.330363e+08 ; -4.724904e+07 + i -3.324900e+07 ; -2.471649e+08 + i 9.415055e+08 ; -9.682911e+06 + i -4.403489e+07 ; 2.252592e+07 + i 1.368346e+08 ; 1.137458e+08 + i 1.485806e+09 ; -1.468063e+07 + i -6.900540e+07 ; 1.667521e+07 + i 7.612979e+07 ; 3.231328e+08 + i -4.948699e+07 ; 4.431433e+07 + i -9.887687e+07 ; -7.003394e+07 + i 1.103661e+08 ; -8.943212e+09 + i 1.263753e+10 ; 9.305064e+06 + i -1.578962e+08 ; 9.172303e+06 + i 5.268719e+07 ; 1.101570e+08 + i 1.483961e+09 ; 1.974345e+07 + i 6.787759e+07 ; -3.044024e+06 + i -1.138463e+06 ; 1.249540e+07 + i 2.303110e+06 ; 9.402052e+06 + i 4.570291e+07 ; -2.972547e+05 + i 8.376383e+05 ; 3.231101e+06 + i 4.570296e+06 ; 3.499831e+06 + i 1.303891e+08 ; -5.519087e+05 + i 5.582609e+06 ; 3.251336e+07 + i 1.047090e+07 ; -8.071293e+06 + i 7.903643e+07 ; 3.363892e+05 + i 1.919711e+06 ; 3.113121e+06 + i 4.351896e+06 ; 6.824007e+06 + i -1.760903e+07 ; 1.576488e+06 + i 1.084870e+07 ; 1.287999e+07 + i 1.742277e+06 ; 6.730723e+06 + i -1.150374e+07 ; 1.235484e+06 + i 2.458898e+06 ; 3.618026e+06 + i 4.969516e+06 ; 1.288806e+07 + i -1.253443e+07 ; 7.264979e+05 + i 8.057426e+06 ; 3.326287e+07 + i 5.270738e+06 ; 1.135956e+07 + i -7.204212e+06 ; 1.006539e+06 + i 1.974714e+06 ; 3.502478e+06 + i 5.325819e+06 ; 
2.982230e+08 + i -2.780306e+06 ; -9.987183e+07 + i -1.432065e+08 ; -1.000413e+08 + i -1.432156e+08 ; 3.168810e+08 + i -4.650197e+07 ; -5.094821e+06 + i 7.129821e+07 ; -5.111013e+06 + i 7.132674e+07 ; -2.650529e+08 + i 9.340677e+08 ; -4.040465e+07 + i -3.523342e+07 ; -7.539703e+07 + i -8.724248e+08 ; 1.003865e+08 + i 1.465182e+09 ; 1.051117e+07 + i 4.451864e+07 ; 1.630340e+07 + i 1.345352e+08 ; -2.650399e+08 + i 9.340948e+08 ; -7.557230e+07 + i -8.726768e+08 ; -3.972623e+07 + i -3.546976e+07 ; 1.008230e+08 + i 1.465038e+09 ; 1.627430e+07 + i 1.345016e+08 ; 1.046268e+07 + i 4.443369e+07 ; -5.246995e+08 + i -2.998676e+09 ; 5.010151e+06 + i -3.214331e+08 ; 5.428211e+06 + i -3.214100e+08 ; -8.928476e+09 + i 1.257467e+10 ; -6.934769e+07 + i 9.994113e+07 ; -6.932933e+07 + i 9.973581e+07 ; 3.430722e+06 + i 6.477460e+07 ; 4.199594e+07 + i 9.675050e+07 ; 4.204292e+07 + i 9.673430e+07 ; -8.905047e+06 + i 3.990872e+07 ; 9.105107e+06 + i -6.209460e+04 ; 9.120653e+06 + i -7.665246e+04 ; -1.126686e+08 + i -7.591911e+06 ; 1.819190e+07 + i 3.712619e+07 ; 2.346511e+07 + i 2.494231e+08 ; -8.521349e+07 + i -2.600802e+07 ; 4.076003e+06 + i -7.857909e+06 ; 2.491080e+07 + i -4.534904e+05 ; -1.125780e+08 + i -7.669388e+06 ; 2.348386e+07 + i 2.495129e+08 ; 1.798954e+07 + i 3.717776e+07 ; -8.515986e+07 + i -2.603084e+07 ; 2.493843e+07 + i -4.657214e+05 ; 4.050990e+06 + i -7.812694e+06 ; -6.056099e+07 + i -6.041284e+08 ; -2.975865e+07 + i 1.149914e+08 ; -2.985723e+07 + i 1.149272e+08 ; 2.629361e+07 + i -3.457421e+08 ; 1.786081e+07 + i -7.005282e+06 ; 1.782197e+07 + i -6.951648e+06 ; 
-9.964516e+07 + i -1.328053e+08 ; 3.044754e+08 + i -3.347625e+06 ; -9.851891e+07 + i -1.423159e+08 ; -3.956196e+07 + i -1.844285e+07 ; -2.573895e+08 + i 9.325145e+08 ; -7.358356e+07 + i -8.696730e+08 ; -2.817899e+06 + i 8.285312e+07 ; 3.254483e+08 + i -4.931409e+07 ; -6.215677e+06 + i 8.406944e+07 ; 1.282148e+07 + i 5.132950e+07 ; 1.118875e+08 + i 1.468854e+09 ; 1.379360e+07 + i 1.496608e+08 ; -7.820620e+07 + i -8.574565e+08 ; -2.604380e+08 + i 9.474700e+08 ; -3.839019e+07 + i -3.438188e+07 ; 2.529698e+06 + i -2.951200e+08 ; -5.313978e+08 + i -2.982759e+09 ; 6.811123e+06 + i -3.193950e+08 ; 1.809585e+07 + i 1.503761e+08 ; 1.126465e+08 + i 1.483994e+09 ; 8.549301e+06 + i 5.433341e+07 ; -6.650307e+07 + i 1.098057e+08 ; -8.937593e+09 + i 1.261660e+10 ; -7.294706e+07 + i 1.108278e+08 ; 2.931726e+07 + i 9.989933e+07 ; 5.276150e+07 + i 8.146616e+07 ; -1.349427e+07 + i -5.436502e+07 ; 1.408724e+07 + i 6.431027e+07 ; 1.275084e+07 + i 1.507365e+06 ; -4.950164e+06 + i 2.990138e+06 ; -3.583581e+06 + i -4.823599e+07 ; 6.833271e+07 + i 9.672631e+07 ; -5.824928e+06 + i 3.634471e+07 ; 8.683287e+05 + i -3.912347e+07 ; 1.273282e+07 + i 1.639846e+06 ; 3.885412e+06 + i 7.322789e+06 ; 4.471586e+07 + i 2.346167e+08 ; -7.080123e+06 + i 2.121168e+08 ; 2.171675e+06 + i -1.412321e+07 ; 2.223482e+06 + i 1.419141e+08 ; 3.386925e+07 + i 9.295291e+06 ; -3.035860e+06 + i 5.030818e+06 ; 2.536623e+07 + i -8.789474e+07 ; 3.572915e+07 + i 2.810519e+08 ; -8.336874e+06 + i 2.460352e+07 ; 2.712963e+07 + i -6.148697e+07 ; 3.362234e+07 + i 4.945323e+06 ; 2.971455e+06 + i 5.769358e+06 ; 
