1.976345e+00 + i 3.138688e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.662230e-01 + i -1.498786e+00 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.122144e-02 + i -1.325187e-01 ; -1.236236e-01 + i -3.974171e-01 ; 0.000000e+00 + i -0.000000e+00 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.122144e-02 + i -1.325187e-01 ; 0.000000e+00 + i -0.000000e+00 ; -1.236236e-01 + i -3.974171e-01 ; 8.240212e-02 + i 2.648984e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.095541e-05 + i -3.784220e-05 ; -4.486240e-02 + i -1.442208e-01 ; -4.486240e-02 + i -1.442208e-01 ; -2.293472e-02 + i -7.373170e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -8.994089e-03 + i -2.891624e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.561837e-02 + i -5.021154e-02 ; -9.196736e-03 + i -2.956508e-02 ; 0.000000e+00 + i -0.000000e+00 ; -7.290051e-03 + i -2.343821e-02 ; -3.039465e-03 + i -9.771076e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.561837e-02 + i -5.021154e-02 ; 0.000000e+00 + i -0.000000e+00 ; -9.196736e-03 + i -2.956508e-02 ; -7.290051e-03 + i -2.343821e-02 ; 0.000000e+00 + i -0.000000e+00 ; -3.039465e-03 + i -9.771076e-03 ; -1.096095e-02 + i -3.523918e-02 ; -6.953619e-03 + i -2.235405e-02 ; -6.953619e-03 + i -2.235405e-02 ; -5.967609e-03 + i -1.918691e-02 ; -2.584180e-03 + i -8.307457e-03 ; -2.584180e-03 + i -8.307457e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; 1.976345e+00 + i 3.138688e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.662230e-01 + i -1.498786e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.236236e-01 + i -3.974171e-01 ; -4.122144e-02 + i -1.325187e-01 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.240212e-02 + i 2.648984e-01 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.122144e-02 + i -1.325187e-01 ; -1.236236e-01 + i -3.974171e-01 ; -4.486240e-02 + i -1.442208e-01 ; -1.095541e-05 + i -3.784220e-05 ; -4.486240e-02 + i -1.442208e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.145734e-02 + i 3.682971e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.490016e-03 + i 1.443159e-02 ; -0.000000e+00 + i -0.000000e+00 ; -9.196736e-03 + i -2.956508e-02 ; 6.115180e-03 + i 1.965606e-02 ; 0.000000e+00 + i -0.000000e+00 ; -3.039465e-03 + i -9.771076e-03 ; 3.230790e-03 + i 1.038351e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.484513e-03 + i 3.048758e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.045760e-03 + i 1.300343e-02 ; -0.000000e+00 + i -0.000000e+00 ; -6.953619e-03 + i -2.235405e-02 ; 5.471707e-03 + i 1.758747e-02 ; -2.547540e-03 + i -8.189669e-03 ; -2.584180e-03 + i -8.307457e-03 ; 2.977306e-03 + i 9.568630e-03 ; -6.928948e-04 + i -2.227474e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.976345e+00 + i 3.138688e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.240212e-02 + i 2.648984e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.662230e-01 + i -1.498786e+00 ; -1.236236e-01 + i -3.974171e-01 ; 0.000000e+00 + i -0.000000e+00 ; -4.122144e-02 + i -1.325187e-01 ; 0.000000e+00 + i -0.000000e+00 ; -1.236236e-01 + i -3.974171e-01 ; -4.122144e-02 + i -1.325187e-01 ; -4.486240e-02 + i -1.442208e-01 ; -4.486240e-02 + i -1.442208e-01 ; -1.095541e-05 + i -3.784220e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.145734e-02 + i 3.682971e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.490016e-03 + i 1.443159e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.484513e-03 + i 3.048758e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.045760e-03 + i 1.300343e-02 ; -9.196736e-03 + i -2.956508e-02 ; 0.000000e+00 + i -0.000000e+00 ; 6.115180e-03 + i 1.965606e-02 ; -3.039465e-03 + i -9.771076e-03 ; 0.000000e+00 + i -0.000000e+00 ; 3.230790e-03 + i 1.038351e-02 ; -6.953619e-03 + i -2.235405e-02 ; -2.547540e-03 + i -8.189669e-03 ; 5.471707e-03 + i 1.758747e-02 ; -2.584180e-03 + i -8.307457e-03 ; -6.928948e-04 + i -2.227474e-03 ; 2.977306e-03 + i 9.568630e-03 ; 
-4.662230e-01 + i -1.498786e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.976345e+00 + i 3.138688e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.122144e-02 + i -1.325187e-01 ; 1.236236e-01 + i 3.974171e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.122144e-02 + i -1.325187e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.236236e-01 + i 3.974171e-01 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.095541e-05 + i -3.784220e-05 ; 4.486240e-02 + i 1.442208e-01 ; 4.486240e-02 + i 1.442208e-01 ; 8.240212e-02 + i 2.648984e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.012676e-02 + i -2.897363e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.293472e-02 + i -7.373170e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.650515e-02 + i -1.173570e-01 ; -3.800458e-02 + i -1.221747e-01 ; 0.000000e+00 + i -0.000000e+00 ; -1.561837e-02 + i -5.021154e-02 ; -9.196736e-03 + i -2.956508e-02 ; 0.000000e+00 + i -0.000000e+00 ; -3.650515e-02 + i -1.173570e-01 ; 0.000000e+00 + i -0.000000e+00 ; -3.800458e-02 + i -1.221747e-01 ; -1.561837e-02 + i -5.021154e-02 ; 0.000000e+00 + i -0.000000e+00 ; -9.196736e-03 + i -2.956508e-02 ; -1.668908e-02 + i -5.365361e-02 ; -2.173191e-02 + i -6.986236e-02 ; -2.173191e-02 + i -6.986236e-02 ; -1.096095e-02 + i -3.523918e-02 ; -6.953619e-03 + i -2.235405e-02 ; -6.953619e-03 + i -2.235405e-02 ; 
-0.000000e+00 + i -0.000000e+00 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.976345e+00 + i 3.138688e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.236236e-01 + i 3.974171e-01 ; -4.122144e-02 + i -1.325187e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.662230e-01 + i -1.498786e+00 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.240212e-02 + i 2.648984e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; 4.486240e-02 + i 1.442208e-01 ; -1.095541e-05 + i -3.784220e-05 ; -4.486240e-02 + i -1.442208e-01 ; 0.000000e+00 + i -0.000000e+00 ; -4.122144e-02 + i -1.325187e-01 ; -1.236236e-01 + i -3.974171e-01 ; -0.000000e+00 + i -0.000000e+00 ; 4.504692e-02 + i 1.448113e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.145734e-02 + i 3.682971e-02 ; -0.000000e+00 + i -0.000000e+00 ; -3.800458e-02 + i -1.221747e-01 ; 7.251588e-03 + i 2.330932e-02 ; 0.000000e+00 + i -0.000000e+00 ; -9.196736e-03 + i -2.956508e-02 ; 6.115180e-03 + i 1.965606e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.922537e-02 + i 9.394921e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.484513e-03 + i 3.048758e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.173191e-02 + i -6.986236e-02 ; 8.332053e-03 + i 2.678273e-02 ; -1.256512e-02 + i -4.039356e-02 ; -6.953619e-03 + i -2.235405e-02 ; 5.471707e-03 + i 1.758747e-02 ; -2.547540e-03 + i -8.189669e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.976345e+00 + i 3.138688e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.240212e-02 + i 2.648984e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.330822e-01 + i 7.492952e-01 ; 1.236236e-01 + i 3.974171e-01 ; 0.000000e+00 + i -0.000000e+00 ; -4.122144e-02 + i -1.325187e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.662230e-01 + i -1.498786e+00 ; 4.486240e-02 + i 1.442208e-01 ; -4.486240e-02 + i -1.442208e-01 ; -1.095541e-05 + i -3.784220e-05 ; 0.000000e+00 + i -0.000000e+00 ; -1.236236e-01 + i -3.974171e-01 ; -4.122144e-02 + i -1.325187e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.504692e-02 + i 1.448113e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.145734e-02 + i 3.682971e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.922537e-02 + i 9.394921e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.484513e-03 + i 3.048758e-02 ; -3.800458e-02 + i -1.221747e-01 ; 0.000000e+00 + i -0.000000e+00 ; 7.251588e-03 + i 2.330932e-02 ; -9.196736e-03 + i -2.956508e-02 ; 0.000000e+00 + i -0.000000e+00 ; 6.115180e-03 + i 1.965606e-02 ; -2.173191e-02 + i -6.986236e-02 ; -1.256512e-02 + i -4.039356e-02 ; 8.332053e-03 + i 2.678273e-02 ; -6.953619e-03 + i -2.235405e-02 ; -2.547540e-03 + i -8.189669e-03 ; 5.471707e-03 + i 1.758747e-02 ; 
2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.122144e-02 + i -1.325187e-01 ; 1.236236e-01 + i 3.974171e-01 ; 0.000000e+00 + i -0.000000e+00 ; 1.976345e+00 + i 3.138688e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.662230e-01 + i -1.498786e+00 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 8.240212e-02 + i 2.648984e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.095541e-05 + i -3.784220e-05 ; 4.486240e-02 + i 1.442208e-01 ; -4.486240e-02 + i -1.442208e-01 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.122144e-02 + i -1.325187e-01 ; 0.000000e+00 + i -0.000000e+00 ; -1.236236e-01 + i -3.974171e-01 ; -1.561837e-02 + i -5.021154e-02 ; 9.196736e-03 + i 2.956508e-02 ; 0.000000e+00 + i -0.000000e+00 ; -7.290051e-03 + i -2.343821e-02 ; 3.039465e-03 + i 9.771076e-03 ; 0.000000e+00 + i -0.000000e+00 ; -2.293472e-02 + i -7.373170e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -8.994089e-03 + i -2.891624e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.096095e-02 + i -3.523918e-02 ; 6.953619e-03 + i 2.235405e-02 ; -6.953619e-03 + i -2.235405e-02 ; -5.967609e-03 + i -1.918691e-02 ; 2.584180e-03 + i 8.307457e-03 ; -2.584180e-03 + i -8.307457e-03 ; -1.561837e-02 + i -5.021154e-02 ; 0.000000e+00 + i -0.000000e+00 ; -9.196736e-03 + i -2.956508e-02 ; -7.290051e-03 + i -2.343821e-02 ; 0.000000e+00 + i -0.000000e+00 ; -3.039465e-03 + i -9.771076e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; -4.662230e-01 + i -1.498786e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.236236e-01 + i 3.974171e-01 ; -4.122144e-02 + i -1.325187e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.976345e+00 + i 3.138688e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.122144e-02 + i -1.325187e-01 ; 1.236236e-01 + i 3.974171e-01 ; 4.486240e-02 + i 1.442208e-01 ; -1.095541e-05 + i -3.784220e-05 ; 4.486240e-02 + i 1.442208e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.240212e-02 + i 2.648984e-01 ; -0.000000e+00 + i -0.000000e+00 ; 9.196736e-03 + i 2.956508e-02 ; 6.115180e-03 + i 1.965606e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.039465e-03 + i 9.771076e-03 ; 3.230790e-03 + i 1.038351e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.145734e-02 + i 3.682971e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.490016e-03 + i 1.443159e-02 ; -0.000000e+00 + i -0.000000e+00 ; 6.953619e-03 + i 2.235405e-02 ; 5.471707e-03 + i 1.758747e-02 ; 2.547540e-03 + i 8.189669e-03 ; 2.584180e-03 + i 8.307457e-03 ; 2.977306e-03 + i 9.568630e-03 ; 6.928948e-04 + i 2.227474e-03 ; -0.000000e+00 + i -0.000000e+00 ; 9.484513e-03 + i 3.048758e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.045760e-03 + i 1.300343e-02 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.240212e-02 + i 2.648984e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.976345e+00 + i 3.138688e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.330822e-01 + i 7.492952e-01 ; 0.000000e+00 + i -0.000000e+00 ; 1.236236e-01 + i 3.974171e-01 ; -4.122144e-02 + i -1.325187e-01 ; -4.486240e-02 + i -1.442208e-01 ; 4.486240e-02 + i 1.442208e-01 ; -1.095541e-05 + i -3.784220e-05 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.662230e-01 + i -1.498786e+00 ; -1.236236e-01 + i -3.974171e-01 ; 0.000000e+00 + i -0.000000e+00 ; -4.122144e-02 + i -1.325187e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.484513e-03 + i 3.048758e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.045760e-03 + i 1.300343e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.145734e-02 + i 3.682971e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.490016e-03 + i 1.443159e-02 ; -6.953619e-03 + i -2.235405e-02 ; 2.547540e-03 + i 8.189669e-03 ; 5.471707e-03 + i 1.758747e-02 ; -2.584180e-03 + i -8.307457e-03 ; 6.928948e-04 + i 2.227474e-03 ; 2.977306e-03 + i 9.568630e-03 ; -9.196736e-03 + i -2.956508e-02 ; 0.000000e+00 + i -0.000000e+00 ; 6.115180e-03 + i 1.965606e-02 ; -3.039465e-03 + i -9.771076e-03 ; 0.000000e+00 + i -0.000000e+00 ; 3.230790e-03 + i 1.038351e-02 ; 
-4.122144e-02 + i -1.325187e-01 ; -1.236236e-01 + i -3.974171e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.662230e-01 + i -1.498786e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.976345e+00 + i 3.138688e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.095541e-05 + i -3.784220e-05 ; -4.486240e-02 + i -1.442208e-01 ; 4.486240e-02 + i 1.442208e-01 ; 8.240212e-02 + i 2.648984e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.122144e-02 + i -1.325187e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.236236e-01 + i 3.974171e-01 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.650515e-02 + i -1.173570e-01 ; 3.800458e-02 + i 1.221747e-01 ; 0.000000e+00 + i -0.000000e+00 ; -1.561837e-02 + i -5.021154e-02 ; 9.196736e-03 + i 2.956508e-02 ; 0.000000e+00 + i -0.000000e+00 ; -9.012676e-02 + i -2.897363e-01 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.293472e-02 + i -7.373170e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.668908e-02 + i -5.365361e-02 ; 2.173191e-02 + i 6.986236e-02 ; -2.173191e-02 + i -6.986236e-02 ; -1.096095e-02 + i -3.523918e-02 ; 6.953619e-03 + i 2.235405e-02 ; -6.953619e-03 + i -2.235405e-02 ; -3.650515e-02 + i -1.173570e-01 ; 0.000000e+00 + i -0.000000e+00 ; -3.800458e-02 + i -1.221747e-01 ; -1.561837e-02 + i -5.021154e-02 ; 0.000000e+00 + i -0.000000e+00 ; -9.196736e-03 + i -2.956508e-02 ; 
-1.236236e-01 + i -3.974171e-01 ; -4.122144e-02 + i -1.325187e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.662230e-01 + i -1.498786e+00 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.976345e+00 + i 3.138688e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.486240e-02 + i -1.442208e-01 ; -1.095541e-05 + i -3.784220e-05 ; 4.486240e-02 + i 1.442208e-01 ; -0.000000e+00 + i -0.000000e+00 ; -4.122144e-02 + i -1.325187e-01 ; 1.236236e-01 + i 3.974171e-01 ; -0.000000e+00 + i -0.000000e+00 ; 8.240212e-02 + i 2.648984e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.330822e-01 + i 7.492952e-01 ; -0.000000e+00 + i -0.000000e+00 ; 3.800458e-02 + i 1.221747e-01 ; 7.251588e-03 + i 2.330932e-02 ; -0.000000e+00 + i -0.000000e+00 ; 9.196736e-03 + i 2.956508e-02 ; 6.115180e-03 + i 1.965606e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.504692e-02 + i 1.448113e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.145734e-02 + i 3.682971e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.173191e-02 + i 6.986236e-02 ; 8.332053e-03 + i 2.678273e-02 ; 1.256512e-02 + i 4.039356e-02 ; 6.953619e-03 + i 2.235405e-02 ; 5.471707e-03 + i 1.758747e-02 ; 2.547540e-03 + i 8.189669e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.922537e-02 + i 9.394921e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.484513e-03 + i 3.048758e-02 ; -0.000000e+00 + i -0.000000e+00 ; 
