-3.875975e+09 + i 9.347585e+08 ; -1.690927e+07 + i 2.217666e+06 ; -1.691186e+07 + i 2.219680e+06 ; 8.319710e+08 + i -3.689332e+08 ; 6.670809e+07 + i -2.117495e+07 ; 6.669876e+07 + i -2.117750e+07 ; -3.996173e+08 + i 1.699233e+08 ; -3.616314e+07 + i 1.094682e+07 ; -7.862549e+06 + i 2.487503e+06 ; -1.834914e+08 + i 4.089701e+07 ; 1.954789e+08 + i -9.349005e+07 ; 1.023897e+07 + i -6.318437e+06 ; -3.996105e+08 + i 1.699261e+08 ; -7.866073e+06 + i 2.482453e+06 ; -3.616570e+07 + i 1.094466e+07 ; -1.834837e+08 + i 4.090319e+07 ; 1.028743e+07 + i -6.307212e+06 ; 1.954810e+08 + i -9.348943e+07 ; -2.273624e+07 + i 3.489797e+07 ; -1.520215e+07 + i 6.335209e+06 ; -1.518460e+07 + i 6.339416e+06 ; -1.891890e+07 + i 2.452500e+07 ; 4.018112e+07 + i -2.522098e+07 ; 4.018259e+07 + i -2.522150e+07 ; 8.368576e+07 + i -2.956162e+07 ; -1.032563e+06 + i -2.673975e+05 ; -1.031658e+06 + i -2.673507e+05 ; 4.464156e+07 + i -1.351191e+07 ; -6.187358e+05 + i 1.816475e+05 ; -6.187411e+05 + i 1.817452e+05 ; 1.464973e+07 + i -1.229606e+07 ; 4.812055e+06 + i -3.977022e+06 ; -1.178587e+06 + i 7.430350e+04 ; 1.176799e+07 + i -8.301445e+06 ; 9.085685e+05 + i -8.039746e+05 ; -5.846867e+05 + i 1.994541e+05 ; 1.465439e+07 + i -1.229434e+07 ; -1.174236e+06 + i 7.493614e+04 ; 4.812387e+06 + i -3.976921e+06 ; 1.176974e+07 + i -8.300436e+06 ; -5.839544e+05 + i 1.993497e+05 ; 9.084740e+05 + i -8.040041e+05 ; 2.147287e+05 + i -3.531961e+06 ; 2.985925e+06 + i -2.561679e+06 ; 2.985091e+06 + i -2.561911e+06 ; 2.500108e+06 + i -3.699685e+06 ; 6.685350e+05 + i -6.135892e+05 ; 6.685414e+05 + i -6.135527e+05 ; 
-1.641407e+07 + i 1.985860e+06 ; -3.879866e+09 + i 9.354484e+08 ; -1.688719e+07 + i 2.194661e+06 ; -3.551080e+07 + i 1.060283e+07 ; -4.013231e+08 + i 1.703802e+08 ; -7.759777e+06 + i 2.449423e+06 ; 6.822925e+07 + i -2.154474e+07 ; 8.246375e+08 + i -3.672930e+08 ; 6.676090e+07 + i -2.125756e+07 ; 1.984220e+08 + i -9.431343e+07 ; -1.863117e+08 + i 4.204356e+07 ; 1.034812e+07 + i -6.397367e+06 ; -7.504089e+06 + i 2.272450e+06 ; -4.016173e+08 + i 1.706803e+08 ; -3.613573e+07 + i 1.091758e+07 ; -1.478580e+07 + i 6.050608e+06 ; -2.334909e+07 + i 3.528206e+07 ; -1.507632e+07 + i 6.303787e+06 ; 1.147153e+07 + i -6.666356e+06 ; -1.867968e+08 + i 4.229089e+07 ; 1.957028e+08 + i -9.364934e+07 ; 4.237791e+07 + i -2.595510e+07 ; -1.987889e+07 + i 2.525963e+07 ; 4.040945e+07 + i -2.535560e+07 ; -1.753276e+06 + i -3.260015e+05 ; -6.054558e+06 + i 5.469503e+06 ; -1.569595e+06 + i 5.813134e+05 ; -7.883184e+05 + i -4.567329e+05 ; -3.001143e+06 + i 1.909698e+06 ; -4.849934e+05 + i 2.402966e+05 ; 3.012940e+07 + i -1.175544e+07 ; -6.667386e+06 + i 5.342592e+06 ; -7.883369e+05 + i 2.614418e+05 ; 1.676057e+07 + i -5.615580e+06 ; -2.677570e+06 + i 1.723507e+06 ; -3.849565e+05 + i 1.599173e+05 ; -2.406837e+06 + i 2.257811e+05 ; -5.085983e+06 + i 3.973195e+06 ; -2.254681e+06 + i 9.273111e+05 ; -1.252911e+06 + i -1.130637e+05 ; -2.326661e+06 + i 1.603541e+06 ; -6.256699e+05 + i 3.206813e+05 ; 1.711684e+07 + i -7.894235e+06 ; -4.888615e+06 + i 3.700929e+06 ; 1.080532e+06 + i -8.409622e+05 ; 1.045587e+07 + i -4.352430e+06 ; -2.128840e+06 + i 1.465230e+06 ; -3.091026e+04 + i -7.169484e+04 ; 
-1.642423e+07 + i 1.986757e+06 ; -1.688714e+07 + i 2.195050e+06 ; -3.879900e+09 + i 9.354367e+08 ; -3.551164e+07 + i 1.060175e+07 ; -7.759697e+06 + i 2.449884e+06 ; -4.013259e+08 + i 1.703896e+08 ; -7.504361e+06 + i 2.275358e+06 ; -3.614945e+07 + i 1.091261e+07 ; -4.017972e+08 + i 1.706316e+08 ; -1.476821e+07 + i 6.055083e+06 ; -1.508185e+07 + i 6.302676e+06 ; -2.334501e+07 + i 3.530268e+07 ; 6.823131e+07 + i -2.154273e+07 ; 6.675247e+07 + i -2.126082e+07 ; 8.245520e+08 + i -3.673128e+08 ; 1.984255e+08 + i -9.431214e+07 ; 1.034208e+07 + i -6.398725e+06 ; -1.863403e+08 + i 4.204063e+07 ; 1.143797e+07 + i -6.670347e+06 ; 1.957007e+08 + i -9.365077e+07 ; -1.868151e+08 + i 4.227913e+07 ; 4.236642e+07 + i -2.595785e+07 ; 4.040681e+07 + i -2.535572e+07 ; -1.987501e+07 + i 2.526801e+07 ; -1.751718e+06 + i -3.266715e+05 ; -1.569744e+06 + i 5.812928e+05 ; -6.055689e+06 + i 5.470316e+06 ; -7.878235e+05 + i -4.569695e+05 ; -4.850643e+05 + i 2.403127e+05 ; -3.000480e+06 + i 1.909917e+06 ; -2.401942e+06 + i 2.260979e+05 ; -2.254890e+06 + i 9.273231e+05 ; -5.086544e+06 + i 3.973732e+06 ; -1.249472e+06 + i -1.124209e+05 ; -6.255712e+05 + i 3.207282e+05 ; -2.325806e+06 + i 1.603770e+06 ; 3.012860e+07 + i -1.175527e+07 ; -7.890996e+05 + i 2.612635e+05 ; -6.671449e+06 + i 5.342798e+06 ; 1.676022e+07 + i -5.615436e+06 ; -3.851842e+05 + i 1.599116e+05 ; -2.678497e+06 + i 1.723678e+06 ; 1.711819e+07 + i -7.895317e+06 ; 1.080772e+06 + i -8.408790e+05 ; -4.890093e+06 + i 3.700893e+06 ; 1.045580e+07 + i -4.352936e+06 ; -3.074280e+04 + i -7.162465e+04 ; -2.129375e+06 + i 1.465399e+06 ; 
8.324382e+08 + i -3.688176e+08 ; -6.892314e+07 + i 2.150245e+07 ; -6.890987e+07 + i 2.150691e+07 ; -3.866364e+09 + i 9.315057e+08 ; 1.529037e+07 + i -1.680761e+06 ; 1.529403e+07 + i -1.682397e+06 ; -1.833547e+08 + i 4.092236e+07 ; -2.014606e+08 + i 9.487229e+07 ; -1.088505e+07 + i 6.642830e+06 ; -3.965432e+08 + i 1.681744e+08 ; 3.432836e+07 + i -1.005632e+07 ; 6.406551e+06 + i -2.013170e+06 ; -1.833590e+08 + i 4.092463e+07 ; -1.092831e+07 + i 6.632733e+06 ; -2.014627e+08 + i 9.487169e+07 ; -3.965150e+08 + i 1.681822e+08 ; 6.407617e+06 + i -2.009435e+06 ; 3.432896e+07 + i -1.005520e+07 ; -1.889509e+07 + i 2.451908e+07 ; -4.181669e+07 + i 2.590323e+07 ; -4.182016e+07 + i 2.590245e+07 ; -2.222075e+07 + i 3.414114e+07 ; 1.332636e+07 + i -5.583218e+06 ; 1.331948e+07 + i -5.584800e+06 ; 1.643193e+08 + i -7.027495e+07 ; 1.964730e+07 + i -6.736030e+06 ; 1.964320e+07 + i -6.737553e+06 ; 8.367958e+07 + i -2.955642e+07 ; -4.524301e+05 + i -9.169515e+05 ; -4.543670e+05 + i -9.167720e+05 ; 1.607747e+07 + i -1.678901e+07 ; 5.762086e+07 + i -2.810342e+07 ; 7.811174e+06 + i -3.585209e+06 ; 1.464228e+07 + i -1.229364e+07 ; 2.718742e+06 + i -3.390806e+06 ; -2.370245e+05 + i -4.184851e+05 ; 1.608768e+07 + i -1.678847e+07 ; 7.821801e+06 + i -3.582800e+06 ; 5.762239e+07 + i -2.810312e+07 ; 1.464724e+07 + i -1.229309e+07 ; -2.340304e+05 + i -4.187795e+05 ; 2.719245e+06 + i -3.390962e+06 ; -5.906233e+06 + i -1.056517e+06 ; 2.517526e+07 + i -1.391236e+07 ; 2.517846e+07 + i -1.391158e+07 ; 2.150335e+05 + i -3.528382e+06 ; 2.579931e+06 + i -2.360731e+06 ; 2.581991e+06 + i -2.360300e+06 ; 
4.075236e+07 + i -1.128489e+07 ; -4.018001e+08 + i 1.702547e+08 ; -8.074098e+06 + i 2.487641e+06 ; 1.881282e+07 + i -2.343589e+06 ; -3.875860e+09 + i 9.342367e+08 ; -1.726629e+07 + i 2.181634e+06 ; -2.167559e+08 + i 9.690753e+07 ; -1.862517e+08 + i 4.206276e+07 ; 1.046196e+07 + i -6.479195e+06 ; -6.946867e+07 + i 1.986889e+07 ; 8.283325e+08 + i -3.680890e+08 ; 6.842138e+07 + i -2.128383e+07 ; 1.721208e+07 + i -6.769590e+06 ; -2.336718e+07 + i 3.531122e+07 ; -1.558537e+07 + i 6.386470e+06 ; 8.683580e+06 + i -2.743509e+06 ; -3.981354e+08 + i 1.696470e+08 ; -3.710037e+07 + i 1.101859e+07 ; -4.356155e+07 + i 2.624174e+07 ; -1.990594e+07 + i 2.524957e+07 ; 4.153679e+07 + i -2.569795e+07 ; -8.281072e+06 + i 5.567278e+06 ; -1.837068e+08 + i 4.145066e+07 ; 2.008566e+08 + i -9.451506e+07 ; -1.539955e+07 + i 4.710052e+06 ; -7.713537e+07 + i 3.366042e+07 ; -4.075433e+06 + i 1.064058e+06 ; -1.011991e+07 + i 2.285603e+06 ; -5.991809e+06 + i 5.488161e+06 ; -1.073558e+06 + i 5.229775e+05 ; 6.186282e+07 + i -2.917548e+07 ; -5.047075e+07 + i 1.736138e+07 ; 2.574036e+06 + i -1.152192e+06 ; 3.255782e+07 + i -1.270813e+07 ; -6.659348e+06 + i 5.347204e+06 ; -8.463338e+05 + i 1.177825e+05 ; -9.399508e+06 + i 3.439651e+06 ; -3.245934e+07 + i 1.842554e+07 ; -6.861501e+06 + i 2.362448e+06 ; -6.843366e+06 + i 2.091215e+06 ; -5.053009e+06 + i 3.977185e+06 ; -1.547928e+06 + i 8.047161e+05 ; 2.821222e+07 + i -1.450866e+07 ; -2.425031e+07 + i 1.250087e+07 ; 1.389712e+07 + i -7.664966e+06 ; 1.650898e+07 + i -7.662374e+06 ; -4.886540e+06 + i 3.700406e+06 ; 6.185021e+04 + i -5.724404e+05 ; 
4.075558e+07 + i -1.128409e+07 ; -8.074221e+06 + i 2.488017e+06 ; -4.018001e+08 + i 1.702664e+08 ; 1.881726e+07 + i -2.344267e+06 ; -1.726594e+07 + i 2.182312e+06 ; -3.875882e+09 + i 9.342319e+08 ; 1.720678e+07 + i -6.772310e+06 ; -1.559118e+07 + i 6.385153e+06 ; -2.335261e+07 + i 3.533791e+07 ; 8.680245e+06 + i -2.746981e+06 ; -3.711293e+07 + i 1.101391e+07 ; -3.983402e+08 + i 1.695912e+08 ; -2.167573e+08 + i 9.690621e+07 ; 1.045699e+07 + i -6.479866e+06 ; -1.862851e+08 + i 4.205628e+07 ; -6.947030e+07 + i 1.986733e+07 ; 6.841128e+07 + i -2.128796e+07 ; 8.282562e+08 + i -3.681074e+08 ; -4.354695e+07 + i 2.624556e+07 ; 4.153659e+07 + i -2.569676e+07 ; -1.985459e+07 + i 2.527155e+07 ; -8.263698e+06 + i 5.569883e+06 ; 2.008534e+08 + i -9.451718e+07 ; -1.837275e+08 + i 4.143548e+07 ; -1.540241e+07 + i 4.709818e+06 ; -4.075651e+06 + i 1.063897e+06 ; -7.712494e+07 + i 3.366209e+07 ; -1.012197e+07 + i 2.285566e+06 ; -1.073740e+06 + i 5.230003e+05 ; -5.988342e+06 + i 5.488573e+06 ; -9.399070e+06 + i 3.439909e+06 ; -6.862660e+06 + i 2.361978e+06 ; -3.246086e+07 + i 1.842610e+07 ; -6.841681e+06 + i 2.092086e+06 ; -1.547918e+06 + i 8.047927e+05 ; -5.050117e+06 + i 3.977562e+06 ; 6.186363e+07 + i -2.917491e+07 ; 2.572452e+06 + i -1.152725e+06 ; -5.048004e+07 + i 1.735938e+07 ; 3.255892e+07 + i -1.270747e+07 ; -8.470001e+05 + i 1.177207e+05 ; -6.662200e+06 + i 5.347441e+06 ; 2.820538e+07 + i -1.451002e+07 ; 1.389813e+07 + i -7.664802e+06 ; -2.425309e+07 + i 1.249895e+07 ; 1.650369e+07 + i -7.663182e+06 ; 6.206723e+04 + i -5.722914e+05 ; -4.889472e+06 + i 3.700251e+06 ; 
-4.001465e+08 + i 1.697863e+08 ; 3.764652e+07 + i -1.138709e+07 ; -8.094519e+06 + i 2.500842e+06 ; -1.838942e+08 + i 4.085602e+07 ; -2.184816e+08 + i 9.761479e+07 ; 1.044610e+07 + i -6.433540e+06 ; -3.876309e+09 + i 9.346191e+08 ; 1.774281e+07 + i -2.226346e+06 ; -1.735906e+07 + i 2.166757e+06 ; 8.317642e+08 + i -3.689864e+08 ; -7.178906e+07 + i 2.175372e+07 ; 6.856359e+07 + i -2.128275e+07 ; -2.280213e+07 + i 3.492322e+07 ; 1.693070e+07 + i -6.480620e+06 ; -1.561369e+07 + i 6.403766e+06 ; -1.901980e+07 + i 2.452123e+07 ; -4.519636e+07 + i 2.663110e+07 ; 4.140787e+07 + i -2.559974e+07 ; -3.995718e+08 + i 1.699653e+08 ; 8.638063e+06 + i -2.479913e+06 ; -3.717322e+07 + i 1.098504e+07 ; -1.834421e+08 + i 4.092478e+07 ; -1.148155e+07 + i 6.607823e+06 ; 2.011725e+08 + i -9.459121e+07 ; 1.477419e+07 + i -1.226639e+07 ; -5.419165e+06 + i 4.235595e+06 ; -1.220645e+06 + i 6.743045e+04 ; 1.183254e+07 + i -8.280015e+06 ; -1.017230e+06 + i 8.592600e+05 ; -6.026943e+05 + i 2.009848e+05 ; 8.369473e+07 + i -2.956115e+07 ; 1.209439e+06 + i 3.207766e+05 ; -1.052690e+06 + i -2.810998e+05 ; 4.464204e+07 + i -1.351162e+07 ; 7.103432e+05 + i -1.828012e+05 ; -6.345801e+05 + i 1.823937e+05 ; 2.285972e+05 + i -3.536817e+06 ; -3.360938e+06 + i 2.735682e+06 ; 3.079075e+06 + i -2.608294e+06 ; 2.513916e+06 + i -3.701720e+06 ; -7.480739e+05 + i 6.564354e+05 ; 6.904214e+05 + i -6.247671e+05 ; 1.466631e+07 + i -1.229034e+07 ; 1.358139e+06 + i -4.813019e+04 ; 4.965207e+06 + i -4.046850e+06 ; 1.177439e+07 + i -8.297265e+06 ; 6.694433e+05 + i -2.034174e+05 ; 9.379919e+05 + i -8.185103e+05 ; 
-6.736677e+07 + i 2.201184e+07 ; 8.250428e+08 + i -3.671957e+08 ; -6.868416e+07 + i 2.134345e+07 ; -2.036384e+08 + i 9.543858e+07 ; -1.866075e+08 + i 4.201572e+07 ; -1.068422e+07 + i 6.490872e+06 ; 1.620485e+07 + i -2.116878e+06 ; -3.880116e+09 + i 9.353522e+08 ; 1.720987e+07 + i -2.164114e+06 ; 3.365994e+07 + i -1.105722e+07 ; -4.012051e+08 + i 1.704084e+08 ; 7.919815e+06 + i -2.466611e+06 ; -1.171965e+07 + i 6.700076e+06 ; -1.865874e+08 + i 4.233319e+07 ; -2.013809e+08 + i 9.476531e+07 ; -4.356730e+07 + i 2.628844e+07 ; -1.988635e+07 + i 2.527101e+07 ; -4.161485e+07 + i 2.574368e+07 ; 7.567798e+06 + i -2.266247e+06 ; -4.017152e+08 + i 1.706482e+08 ; 3.716490e+07 + i -1.095088e+07 ; 1.507367e+07 + i -6.053755e+06 ; -2.340786e+07 + i 3.526468e+07 ; 1.552123e+07 + i -6.363017e+06 ; -3.105634e+07 + i 1.183934e+07 ; -6.779483e+06 + i 5.320789e+06 ; 8.093314e+05 + i -2.627552e+05 ; -1.728572e+07 + i 5.635933e+06 ; -2.683342e+06 + i 1.725048e+06 ; 3.957971e+05 + i -1.613912e+05 ; 1.526005e+06 + i 2.792060e+05 ; -6.063421e+06 + i 5.471265e+06 ; 1.610832e+06 + i -5.855139e+05 ; 6.633268e+05 + i 4.329406e+05 ; -3.004422e+06 + i 1.911022e+06 ; 4.988817e+05 + i -2.430319e+05 ; -1.765200e+07 + i 7.971161e+06 ; -4.938081e+06 + i 3.698287e+06 ; -1.112600e+06 + i 8.561269e+05 ; -1.078943e+07 + i 4.386935e+06 ; -2.135522e+06 + i 1.465617e+06 ; 3.194437e+04 + i 7.393894e+04 ; 2.350332e+06 + i -2.316614e+05 ; -5.082669e+06 + i 3.975125e+06 ; 2.320555e+06 + i -9.355247e+05 ; 1.209450e+06 + i 1.125942e+05 ; -2.326827e+06 + i 1.604259e+06 ; 6.446192e+05 + i -3.245965e+05 ; 
-7.624675e+06 + i 2.319225e+06 ; 4.041507e+07 + i -1.092290e+07 ; -4.022741e+08 + i 1.705205e+08 ; -1.511258e+07 + i 6.135076e+06 ; 1.686309e+07 + i -6.525627e+06 ; -2.338400e+07 + i 3.532785e+07 ; -1.683123e+07 + i 1.921701e+06 ; 1.862712e+07 + i -1.918413e+06 ; -3.880128e+09 + i 9.353561e+08 ; -3.647187e+07 + i 1.061546e+07 ; 8.522489e+06 + i -2.500683e+06 ; -4.013685e+08 + i 1.704038e+08 ; 1.105438e+07 + i -6.896566e+06 ; -2.196531e+08 + i 9.749978e+07 ; -1.867472e+08 + i 4.230087e+07 ; 4.327067e+07 + i -2.639733e+07 ; -4.515777e+07 + i 2.688518e+07 ; -1.985733e+07 + i 2.526734e+07 ; 7.018487e+07 + i -2.157591e+07 ; -7.475454e+07 + i 2.137854e+07 ; 8.246079e+08 + i -3.672825e+08 ; 2.041591e+08 + i -9.525007e+07 ; -1.115364e+07 + i 6.835568e+06 ; -1.863148e+08 + i 4.204472e+07 ; -2.458629e+06 + i 2.152232e+05 ; 2.511862e+06 + i -9.595778e+05 ; -5.077630e+06 + i 3.977450e+06 ; -1.276630e+06 + i -1.236181e+05 ; 6.972905e+05 + i -3.364010e+05 ; -2.322997e+06 + i 1.604055e+06 ; -1.800277e+06 + i -3.476546e+05 ; 1.736032e+06 + i -5.989666e+05 ; -6.056772e+06 + i 5.472634e+06 ; -8.093211e+05 + i -4.744924e+05 ; 5.395454e+05 + i -2.512959e+05 ; -3.001041e+06 + i 1.910121e+06 ; 1.759953e+07 + i -7.979254e+06 ; -1.200521e+06 + i 8.983579e+05 ; -4.885768e+06 + i 3.703085e+06 ; 1.075003e+07 + i -4.390824e+06 ; 3.706008e+04 + i 8.021197e+04 ; -2.128665e+06 + i 1.465541e+06 ; 3.095700e+07 + i -1.183960e+07 ; 9.103320e+05 + i -2.636909e+05 ; -6.668710e+06 + i 5.344057e+06 ; 1.721145e+07 + i -5.639986e+06 ; 4.377091e+05 + i -1.648461e+05 ; -2.677507e+06 + i 1.723777e+06 ; 
-1.852385e+08 + i 4.071885e+07 ; 2.273693e+08 + i -9.824936e+07 ; -1.106404e+07 + i 6.754012e+06 ; -3.963731e+08 + i 1.681955e+08 ; -2.857536e+07 + i 1.074716e+07 ; 6.575538e+06 + i -2.024233e+06 ; 8.315699e+08 + i -3.690237e+08 ; 6.753510e+07 + i -2.221832e+07 ; -7.060148e+07 + i 2.160632e+07 ; -3.866263e+09 + i 9.315359e+08 ; -1.694058e+07 + i 1.353189e+06 ; 1.565670e+07 + i -1.634234e+06 ; -1.903880e+07 + i 2.459630e+07 ; 4.725702e+07 + i -2.722901e+07 ; -4.293878e+07 + i 2.624930e+07 ; -2.232888e+07 + i 3.412689e+07 ; -1.461116e+07 + i 5.549861e+06 ; 1.365417e+07 + i -5.634708e+06 ; -1.832466e+08 + i 4.098802e+07 ; 1.205532e+07 + i -6.789638e+06 ; -2.066241e+08 + i 9.586658e+07 ; -3.964654e+08 + i 1.681992e+08 ; -6.931788e+06 + i 1.954069e+06 ; 3.516725e+07 + i -1.008728e+07 ; 1.659025e+07 + i -1.675246e+07 ; -6.621000e+07 + i 2.902965e+07 ; 7.979328e+06 + i -3.628054e+06 ; 1.491156e+07 + i -1.225313e+07 ; -3.337382e+06 + i 3.706914e+06 ; -2.491960e+05 + i -4.300013e+05 ; 1.643317e+08 + i -7.027672e+07 ; -2.415706e+07 + i 6.608061e+06 ; 2.013741e+07 + i -6.778294e+06 ; 8.367279e+07 + i -2.955866e+07 ; 2.618712e+05 + i 1.077795e+06 ; -4.570184e+05 + i -9.398670e+05 ; -5.741217e+06 + i -1.068705e+06 ; -2.897055e+07 + i 1.454488e+07 ; 2.583685e+07 + i -1.408354e+07 ; 3.214710e+05 + i -3.531695e+06 ; -3.093758e+06 + i 2.546362e+06 ; 2.655806e+06 + i -2.399343e+06 ; 1.609289e+07 + i -1.678548e+07 ; -9.586753e+06 + i 3.686663e+06 ; 5.910292e+07 + i -2.841027e+07 ; 1.464442e+07 + i -1.229114e+07 ; 7.971335e+04 + i 4.894126e+05 ; 2.801703e+06 + i -3.452248e+06 ; 
2.242718e+08 + i -9.737299e+07 ; -1.880800e+08 + i 4.185774e+07 ; -1.075698e+07 + i 6.564859e+06 ; 6.194632e+07 + i -2.045899e+07 ; 8.280328e+08 + i -3.681589e+08 ; -7.015871e+07 + i 2.135923e+07 ; -3.205990e+07 + i 1.199403e+07 ; -4.010141e+08 + i 1.704395e+08 ; 8.215232e+06 + i -2.504622e+06 ; -1.919874e+07 + i 2.258238e+06 ; -3.875723e+09 + i 9.342962e+08 ; 1.754840e+07 + i -2.157282e+06 ; 4.500323e+07 + i -2.646477e+07 ; -1.998243e+07 + i 2.533683e+07 ; -4.262475e+07 + i 2.604863e+07 ; 8.303166e+06 + i -5.441046e+06 ; -1.834530e+08 + i 4.153174e+07 ; -2.059798e+08 + i 9.551778e+07 ; -1.737314e+07 + i 6.602056e+06 ; -2.348467e+07 + i 3.525146e+07 ; 1.599356e+07 + i -6.437152e+06 ; -8.676494e+06 + i 2.683558e+06 ; -3.982283e+08 + i 1.695967e+08 ; 3.803484e+07 + i -1.104843e+07 ; -6.366062e+07 + i 2.931550e+07 ; -5.001225e+07 + i 1.737649e+07 ; -2.646126e+06 + i 1.161944e+06 ; -3.338265e+07 + i 1.270669e+07 ; -6.612632e+06 + i 5.341207e+06 ; 8.647407e+05 + i -1.154684e+05 ; 1.787328e+07 + i -4.524080e+06 ; -7.719740e+07 + i 3.364529e+07 ; 4.157004e+06 + i -1.067162e+06 ; 1.144434e+07 + i -2.099094e+06 ; -6.028255e+06 + i 5.478120e+06 ; 1.098287e+06 + i -5.283003e+05 ; -2.903303e+07 + i 1.461938e+07 ; -2.409948e+07 + i 1.248990e+07 ; -1.425598e+07 + i 7.760947e+06 ; -1.692374e+07 + i 7.699996e+06 ; -4.857619e+06 + i 3.697694e+06 ; -6.485943e+04 + i 5.856503e+05 ; 1.045079e+07 + i -3.426826e+06 ; -3.248699e+07 + i 1.841963e+07 ; 7.033739e+06 + i -2.375899e+06 ; 7.521771e+06 + i -2.058037e+06 ; -5.075846e+06 + i 3.972561e+06 ; 1.589449e+06 + i -8.136858e+05 ; 
