-1.030071e+10 + i 1.116796e+10 ; -5.206501e+07 + i 7.786434e+07 ; -5.201424e+07 + i 7.789663e+07 ; 1.868730e+08 + i -2.850063e+09 ; 6.716856e+07 + i -2.660779e+08 ; 6.706050e+07 + i -2.660376e+08 ; -1.978963e+08 + i 1.378707e+09 ; -4.558013e+07 + i 1.443356e+08 ; 1.205754e+06 + i 3.738522e+07 ; -3.742436e+08 + i 7.735946e+08 ; -1.920464e+07 + i -6.453703e+08 ; -2.663108e+07 + i -3.238296e+07 ; -1.977908e+08 + i 1.378680e+09 ; 1.039021e+06 + i 3.729780e+07 ; -4.566032e+07 + i 1.443197e+08 ; -3.740264e+08 + i 7.736306e+08 ; -2.612321e+07 + i -3.257533e+07 ; -1.918328e+07 + i -6.453705e+08 ; 2.527813e+08 + i 1.559351e+07 ; 6.400694e+06 + i 5.969293e+07 ; 6.592203e+06 + i 5.962489e+07 ; 2.203998e+08 + i 4.023653e+07 ; -5.480497e+07 + i -1.112360e+08 ; -5.481440e+07 + i -1.112978e+08 ; 8.724834e+07 + i -3.094086e+08 ; -7.184236e+06 + i 6.377761e+06 ; -7.174326e+06 + i 6.381007e+06 ; 7.233892e+07 + i -1.697064e+08 ; 2.141566e+05 + i 3.002564e+06 ; 2.174134e+05 + i 3.002640e+06 ; -6.246722e+07 + i -3.821101e+07 ; -1.291888e+07 + i -9.024652e+06 ; -3.035255e+06 + i 6.726105e+06 ; -3.997392e+07 + i -3.856438e+07 ; -1.208526e+06 + i -9.745176e+05 ; 3.051349e+05 + i 2.375611e+06 ; -6.239650e+07 + i -3.822774e+07 ; -3.002261e+06 + i 6.689622e+06 ; -1.291331e+07 + i -9.023052e+06 ; -3.993496e+07 + i -3.856017e+07 ; 3.032060e+05 + i 2.369684e+06 ; -1.209489e+06 + i -9.738054e+05 ; -1.476894e+07 + i 2.648719e+07 ; -6.927528e+06 + i -4.305985e+06 ; -6.939853e+06 + i -4.296668e+06 ; -1.506146e+07 + i 1.248822e+07 ; -8.953303e+05 + i -8.726982e+05 ; -8.939410e+05 + i -8.714779e+05 ; 
-3.846332e+06 + i -7.420742e+07 ; -1.698581e+06 + i -7.419954e+07 ; 2.576133e+08 + i 1.999350e+07 ; -3.043833e+06 + i -4.378062e+07 ; 7.879562e+07 + i -1.666728e+08 ; -2.001084e+08 + i 1.374767e+09 ; 7.667403e+07 + i -1.679577e+08 ; -2.085022e+05 + i -4.508001e+07 ; -2.048766e+08 + i 1.387657e+09 ; 6.997713e+07 + i -8.481424e+07 ; 7.354953e+07 + i -8.463028e+07 ; -1.031201e+10 + i 1.116530e+10 ; 6.570002e+07 + i 1.324473e+08 ; 6.325500e+07 + i 1.405060e+08 ; 2.256397e+08 + i 4.167117e+07 ; 4.892304e+07 + i 2.220988e+07 ; -8.245137e+07 + i 7.849651e+08 ; -3.671263e+08 + i 7.736393e+08 ; -7.677568e+07 + i 7.746519e+08 ; 4.519291e+07 + i 3.588893e+07 ; -3.720140e+08 + i 7.853715e+08 ; -1.211339e+08 + i 2.907430e+08 ; -1.286531e+08 + i 3.115688e+08 ; 1.780915e+08 + i -2.835243e+09 ; -4.769842e+06 + i 3.802094e+07 ; 1.010471e+07 + i -3.122965e+07 ; 3.424029e+07 + i 1.015845e+08 ; -6.287587e+06 + i 2.999883e+07 ; -1.775517e+06 + i -6.703905e+06 ; 9.564103e+06 + i 6.978243e+06 ; -2.075365e+07 + i 6.512157e+07 ; 1.009237e+07 + i -2.021343e+07 ; -2.606644e+07 + i 2.648998e+08 ; -2.227023e+07 + i 4.594380e+07 ; -1.323470e+06 + i -5.145666e+06 ; 2.528266e+07 + i 1.187258e+07 ; -4.591417e+06 + i -9.485046e+07 ; 4.947870e+05 + i 5.202366e+07 ; 2.374306e+07 + i 8.285930e+07 ; 9.064248e+05 + i -5.921493e+07 ; 4.261512e+06 + i -1.446573e+06 ; 8.946946e+06 + i 7.230932e+06 ; 3.375956e+06 + i -2.181455e+08 ; -5.443215e+06 + i 1.328175e+07 ; -4.981579e+07 + i 1.916320e+08 ; 2.127543e+07 + i -1.261901e+08 ; 3.055497e+06 + i -3.820681e+06 ; 2.385016e+07 + i 1.600883e+07 ; 
-2.045409e+08 + i 1.379269e+09 ; 6.305649e+05 + i 3.878837e+07 ; 4.764642e+07 + i -1.488519e+08 ; -3.768552e+08 + i 7.760937e+08 ; -3.002873e+07 + i -3.201582e+07 ; -3.677785e+07 + i 7.518850e+08 ; 2.540696e+08 + i 1.683132e+07 ; 5.263527e+06 + i 6.245317e+07 ; -3.699303e+05 + i -6.855950e+07 ; 2.210125e+08 + i 4.068168e+07 ; -5.415051e+07 + i -1.165526e+08 ; 5.380509e+07 + i 1.330880e+08 ; -1.030583e+10 + i 1.116741e+10 ; -5.414796e+07 + i 7.823208e+07 ; 5.650999e+07 + i -8.132594e+07 ; 1.850518e+08 + i -2.849044e+09 ; 7.279415e+07 + i -2.715711e+08 ; -8.730243e+07 + i 2.891023e+08 ; -1.978501e+08 + i 1.380649e+09 ; -4.954017e+07 + i 1.460227e+08 ; 2.807522e+06 + i -4.184693e+07 ; -3.742402e+08 + i 7.747572e+08 ; -7.440183e+06 + i -6.697875e+08 ; 2.892723e+07 + i 3.655370e+07 ; -6.101177e+07 + i -3.863129e+07 ; -3.487702e+06 + i 7.093301e+06 ; 1.350321e+07 + i 1.151861e+07 ; -3.903233e+07 + i -3.856391e+07 ; 2.293343e+05 + i 2.536112e+06 ; 1.245958e+06 + i 1.255312e+06 ; -1.460372e+07 + i 2.618199e+07 ; -7.229162e+06 + i -4.526979e+06 ; 7.550986e+06 + i 5.515193e+06 ; -1.485105e+07 + i 1.225847e+07 ; -9.311161e+05 + i -8.845842e+05 ; 9.675906e+05 + i 1.027183e+06 ; 8.730718e+07 + i -3.094579e+08 ; -7.328443e+06 + i 6.437375e+06 ; 8.911012e+06 + i -7.169596e+06 ; 7.232611e+07 + i -1.696457e+08 ; 2.212905e+05 + i 3.091017e+06 ; 7.924275e+04 + i -3.557562e+06 ; -6.236968e+07 + i -3.823142e+07 ; -1.296154e+07 + i -9.682472e+06 ; 4.445633e+06 + i -7.897731e+06 ; -3.989595e+07 + i -3.852036e+07 ; -1.173743e+06 + i -1.072773e+06 ; -2.240232e+04 + i -2.910911e+06 ; 
-5.454852e+05 + i 3.755516e+07 ; -2.032551e+08 + i 1.388761e+09 ; 4.778968e+07 + i -1.488905e+08 ; 3.476957e+06 + i 6.124864e+07 ; 2.568297e+08 + i 1.858392e+07 ; -5.184663e+05 + i -6.806120e+07 ; -2.894657e+07 + i -3.720011e+07 ; -3.746499e+08 + i 7.902218e+08 ; -3.585286e+07 + i 7.526024e+08 ; -5.251760e+07 + i -1.257762e+08 ; 2.254311e+08 + i 4.202089e+07 ; 5.440792e+07 + i 1.338286e+08 ; -5.499108e+07 + i 7.608890e+07 ; -1.031750e+10 + i 1.118309e+10 ; 5.662069e+07 + i -8.132542e+07 ; -5.106313e+07 + i 1.433235e+08 ; -1.994453e+08 + i 1.388435e+09 ; 2.612748e+06 + i -4.133033e+07 ; 7.585660e+07 + i -2.781248e+08 ; 1.677495e+08 + i -2.819886e+09 ; -8.644257e+07 + i 2.892579e+08 ; -2.733194e+06 + i -6.821262e+08 ; -3.723467e+08 + i 7.863903e+08 ; 2.943427e+07 + i 3.693233e+07 ; -7.742208e+06 + i 1.346065e+07 ; 9.379401e+06 + i 7.303023e+06 ; 5.303414e+05 + i -9.502651e+06 ; -6.630717e+06 + i 8.317369e+06 ; 2.211731e+06 + i 5.735328e+06 ; -5.366659e+05 + i -2.346107e+06 ; -2.886009e+06 + i -6.232745e+07 ; 9.077542e+06 + i 7.306492e+06 ; 1.806118e+06 + i 2.083998e+06 ; 1.007846e+06 + i -4.058591e+07 ; 1.999853e+06 + i 5.274068e+06 ; 3.994742e+05 + i -5.371953e+05 ; -1.340935e+07 + i 9.085320e+06 ; 2.453473e+07 + i 1.211886e+07 ; 6.735799e+05 + i -6.873310e+06 ; -1.052683e+07 + i 4.602890e+06 ; 1.686700e+06 + i 6.673392e+06 ; -4.295429e+05 + i -1.867523e+06 ; 1.943096e+07 + i -1.140730e+08 ; 2.374050e+07 + i 1.603510e+07 ; 7.163341e+05 + i -4.263948e+06 ; 1.927124e+07 + i -6.684782e+07 ; 1.582432e+06 + i 5.688972e+06 ; 9.005752e+04 + i -1.637164e+06 ; 
-5.865725e+07 + i 2.671848e+08 ; -5.444618e+07 + i 2.606656e+08 ; 1.729047e+08 + i -2.819932e+09 ; 6.309062e+06 + i 6.828930e+08 ; 2.736401e+07 + i 3.281255e+07 ; -3.740172e+08 + i 7.876006e+08 ; 2.528361e+07 + i 3.790923e+07 ; 1.200754e+07 + i 6.710998e+08 ; -3.732209e+08 + i 7.894786e+08 ; 5.409173e+07 + i 1.251226e+08 ; 5.616438e+07 + i 1.164753e+08 ; 2.264018e+08 + i 4.184845e+07 ; 4.907104e+07 + i -7.584507e+07 ; 4.844962e+07 + i -7.798527e+07 ; -1.031670e+10 + i 1.118304e+10 ; 3.084689e+07 + i -1.318930e+08 ; -2.123634e+06 + i -3.675987e+07 ; -1.991205e+08 + i 1.385966e+09 ; -9.307883e+05 + i -3.589152e+07 ; 2.990423e+07 + i -1.346349e+08 ; -1.980825e+08 + i 1.387818e+09 ; -3.826646e+06 + i -5.938105e+07 ; -5.498113e+06 + i -6.024552e+07 ; 2.552494e+08 + i 1.752614e+07 ; -1.991780e+07 + i 1.148703e+08 ; 1.486766e+05 + i -3.710798e+06 ; 2.262115e+07 + i 1.645689e+07 ; -1.969610e+07 + i 6.744296e+07 ; -5.812676e+04 + i -1.409479e+06 ; 1.597603e+06 + i 5.758736e+06 ; 3.247292e+06 + i 6.253474e+07 ; 1.495870e+06 + i 1.828909e+06 ; 8.651145e+06 + i 7.605516e+06 ; -7.898473e+05 + i 4.086953e+07 ; 3.071595e+05 + i -4.660849e+05 ; 1.972153e+06 + i 5.317834e+06 ; 1.071042e+07 + i -8.232742e+06 ; 3.003642e+05 + i -6.147752e+06 ; 2.446540e+07 + i 1.222069e+07 ; 8.956800e+06 + i -4.223865e+06 ; -4.728458e+05 + i -1.652070e+06 ; 1.713765e+06 + i 6.741510e+06 ; 6.911216e+06 + i -1.288423e+07 ; -8.165759e+03 + i -8.448898e+06 ; 9.228768e+06 + i 7.315810e+06 ; 6.132654e+06 + i -7.947695e+06 ; -5.801030e+05 + i -2.074879e+06 ; 2.213505e+06 + i 5.782143e+06 ; 
-3.880192e+08 + i 7.803472e+08 ; 3.342023e+07 + i 3.505865e+07 ; 7.944482e+07 + i -7.884555e+08 ; -2.031502e+08 + i 1.367337e+09 ; -2.171468e+06 + i -3.275405e+07 ; -4.239748e+06 + i 1.125830e+08 ; 2.224446e+08 + i 4.191549e+07 ; 5.620811e+07 + i 1.226106e+08 ; -4.930412e+07 + i -1.429577e+08 ; 2.490460e+08 + i 1.699341e+07 ; -5.851334e+06 + i -5.542289e+07 ; -7.340898e+05 + i 5.764482e+07 ; 1.832820e+08 + i -2.848330e+09 ; -8.133547e+07 + i 2.808805e+08 ; 5.567527e+07 + i -2.716373e+08 ; -1.029158e+10 + i 1.112905e+10 ; 5.381758e+07 + i -7.245157e+07 ; -6.791212e+07 + i 7.670594e+07 ; -3.724994e+08 + i 7.762266e+08 ; -4.142310e+06 + i 6.946929e+08 ; -2.811535e+07 + i -3.767336e+07 ; -2.041630e+08 + i 1.368738e+09 ; 5.309999e+07 + i -1.388441e+08 ; -3.741047e+06 + i 3.548049e+07 ; -8.507665e+07 + i -3.045150e+07 ; -6.737389e+06 + i -2.774793e+07 ; -2.185452e+07 + i 2.270126e+08 ; -6.003750e+07 + i -3.914885e+07 ; -3.407136e+06 + i 4.659095e+06 ; 1.893898e+07 + i 4.322927e+06 ; -9.600058e+06 + i 4.948236e+07 ; -1.932250e+07 + i -7.869668e+07 ; 1.081945e+07 + i 9.345548e+07 ; -1.407243e+07 + i 2.560087e+07 ; -6.242762e+06 + i -2.542365e+06 ; 6.479599e+06 + i 4.163225e+06 ; 6.964107e+07 + i -5.660928e+08 ; 1.588877e+07 + i -8.011004e+07 ; -4.181513e+07 + i 9.706736e+07 ; 8.728467e+07 + i -3.092048e+08 ; -1.204593e+07 + i 5.838875e+06 ; 1.440133e+07 + i -3.556377e+06 ; -8.859266e+07 + i -2.823070e+07 ; -7.830770e+06 + i -1.961079e+08 ; -1.794397e+05 + i 3.594355e+07 ; -6.243913e+07 + i -3.824698e+07 ; -1.675672e+07 + i -8.063003e+05 ; 3.837317e+06 + i -4.048136e+06 ; 
8.501252e+04 + i -7.378055e+07 ; 2.578535e+08 + i 1.970191e+07 ; 4.497887e+06 + i -7.353279e+07 ; -3.234717e+05 + i -4.252985e+07 ; -1.992640e+08 + i 1.374626e+09 ; 5.715552e+07 + i -1.548315e+08 ; 5.248812e+07 + i 1.343009e+08 ; 2.261496e+08 + i 4.199493e+07 ; 5.853792e+07 + i 1.393401e+08 ; 3.856817e+07 + i 2.261380e+07 ; -3.705523e+08 + i 7.759585e+08 ; -6.997487e+07 + i 7.820115e+08 ; 7.204719e+07 + i -1.632861e+08 ; -2.046200e+08 + i 1.388492e+09 ; 4.057618e+06 + i -4.346657e+07 ; 6.546919e+07 + i -8.387600e+07 ; -1.031337e+10 + i 1.116496e+10 ; 6.267242e+07 + i -8.216164e+07 ; -6.609068e+07 + i 7.744109e+08 ; -3.712306e+08 + i 7.864822e+08 ; 3.513879e+07 + i 3.614584e+07 ; -1.062477e+08 + i 2.836088e+08 ; 1.761092e+08 + i -2.835365e+09 ; -1.075768e+08 + i 2.994686e+08 ; -4.951656e+06 + i 3.880419e+07 ; 3.411557e+07 + i 1.015767e+08 ; 1.016828e+07 + i -3.105416e+07 ; -6.478886e+06 + i 3.056054e+07 ; 9.575447e+06 + i 7.005179e+06 ; -1.705856e+06 + i -6.726314e+06 ; -6.974941e+06 + i -9.511441e+07 ; 2.361749e+07 + i 8.291321e+07 ; 8.915609e+05 + i 5.184691e+07 ; -4.062454e+05 + i -5.960115e+07 ; 8.994305e+06 + i 7.210421e+06 ; 4.265837e+06 + i -1.477392e+06 ; -2.123856e+07 + i 6.634043e+07 ; -2.603002e+07 + i 2.648980e+08 ; 1.003916e+07 + i -2.004516e+07 ; -2.265584e+07 + i 4.660810e+07 ; 2.530595e+07 + i 1.187003e+07 ; -1.268204e+06 + i -5.154150e+06 ; 4.537407e+06 + i -2.185171e+08 ; -4.962336e+07 + i 1.914440e+08 ; -5.052680e+06 + i 1.303298e+07 ; 2.193200e+07 + i -1.261898e+08 ; 2.390740e+07 + i 1.594265e+07 ; 3.070923e+06 + i -3.848378e+06 ; 
7.518170e+07 + i -7.772387e+08 ; 2.283230e+07 + i 3.483940e+07 ; -3.862437e+08 + i 7.919367e+08 ; 4.768710e+07 + i -2.470129e+08 ; -6.181072e+07 + i 2.703521e+08 ; 1.738397e+08 + i -2.834199e+09 ; -5.529567e+07 + i -1.341963e+08 ; 5.446327e+07 + i 1.209621e+08 ; 2.280437e+08 + i 4.379669e+07 ; -2.957153e+07 + i -2.501056e+07 ; -2.419775e+05 + i 6.925237e+08 ; -3.689912e+08 + i 7.767956e+08 ; -5.235768e+06 + i 1.243197e+08 ; 1.353646e+05 + i -3.848964e+07 ; -1.976981e+08 + i 1.385241e+09 ; -6.882786e+07 + i 8.526443e+07 ; 5.112804e+07 + i -7.976300e+07 ; -1.030693e+10 + i 1.116587e+10 ; 4.461808e+05 + i 6.864447e+07 ; 1.558231e+06 + i -6.390970e+07 ; 2.557618e+08 + i 1.718742e+07 ; 3.339163e+06 + i 4.056510e+07 ; 3.333944e+07 + i -1.407183e+08 ; -1.949643e+08 + i 1.372525e+09 ; -3.293845e+06 + i 2.157529e+08 ; 8.461025e+05 + i 9.404181e+06 ; -4.685451e+07 + i 1.892555e+08 ; -2.085732e+07 + i 1.242263e+08 ; 2.347129e+06 + i -4.122833e+06 ; 2.393635e+07 + i 1.565214e+07 ; 7.503284e+06 + i 9.349672e+07 ; 8.817404e+06 + i 4.351128e+07 ; 2.425880e+07 + i 8.215155e+07 ; 1.115759e+06 + i 5.843100e+07 ; 3.664582e+06 + i -2.158002e+06 ; 9.034006e+06 + i 7.022444e+06 ; 3.470884e+07 + i -7.412332e+07 ; 5.661021e+06 + i -1.814520e+07 ; -2.680652e+07 + i 2.649924e+08 ; 3.108152e+07 + i -4.996790e+07 ; -1.864506e+06 + i -4.100279e+06 ; 2.479826e+07 + i 1.205130e+07 ; 8.644653e+06 + i -4.235668e+07 ; 5.104944e+06 + i -2.789209e+07 ; 3.376269e+07 + i 1.016214e+08 ; 8.943243e+06 + i -3.282558e+07 ; -2.301140e+06 + i -5.472828e+06 ; 9.191669e+06 + i 7.224839e+06 ; 
2.553630e+08 + i 1.832896e+07 ; 7.257550e+06 + i -7.306275e+07 ; 7.277125e+06 + i -7.309114e+07 ; 2.215414e+08 + i 4.085599e+07 ; 4.830250e+07 + i 1.410437e+08 ; 4.842087e+07 + i 1.410646e+08 ; -2.030785e+08 + i 1.380432e+09 ; 4.467286e+06 + i -4.296779e+07 ; 5.570179e+07 + i -1.531548e+08 ; -3.756540e+08 + i 7.758601e+08 ; 2.974720e+07 + i 3.583999e+07 ; -6.550247e+07 + i 7.838131e+08 ; -2.029818e+08 + i 1.380400e+09 ; 5.568051e+07 + i -1.531895e+08 ; 4.520313e+06 + i -4.291163e+07 ; -3.754741e+08 + i 7.759055e+08 ; -6.535803e+07 + i 7.839323e+08 ; 2.927057e+07 + i 3.597414e+07 ; -1.031023e+10 + i 1.116694e+10 ; 6.040940e+07 + i -8.260447e+07 ; 6.044977e+07 + i -8.245855e+07 ; 1.837989e+08 + i -2.848174e+09 ; -9.709799e+07 + i 2.958133e+08 ; -9.739861e+07 + i 2.957544e+08 ; -1.486082e+07 + i 2.590011e+07 ; 7.902313e+06 + i 5.951916e+06 ; 7.894949e+06 + i 5.945233e+06 ; -1.487094e+07 + i 1.202068e+07 ; 1.018813e+06 + i 1.057697e+06 ; 1.021224e+06 + i 1.059603e+06 ; -6.109544e+07 + i -3.868390e+07 ; 5.161521e+06 + i -8.253111e+06 ; 1.318824e+07 + i 1.267225e+07 ; -3.902890e+07 + i -3.858273e+07 ; 1.631198e+05 + i -3.102745e+06 ; 1.107107e+06 + i 1.452002e+06 ; -6.102388e+07 + i -3.870016e+07 ; 1.318151e+07 + i 1.267706e+07 ; 5.118379e+06 + i -8.240327e+06 ; -3.899161e+07 + i -3.857852e+07 ; 1.108351e+06 + i 1.450212e+06 ; 1.634494e+05 + i -3.096381e+06 ; 8.746334e+07 + i -3.096198e+08 ; 9.056039e+06 + i -7.027299e+06 ; 9.076785e+06 + i -7.040892e+06 ; 7.239512e+07 + i -1.696518e+08 ; 7.182920e+04 + i -3.624217e+06 ; 7.615514e+04 + i -3.623161e+06 ; 
2.506432e+07 + i 3.894207e+07 ; -3.845863e+08 + i 7.942952e+08 ; 8.080714e+07 + i -7.883526e+08 ; 5.162760e+07 + i 1.304108e+08 ; 2.270560e+08 + i 4.398000e+07 ; -4.982495e+07 + i -1.443946e+08 ; 1.473315e+06 + i -3.779392e+07 ; -1.979473e+08 + i 1.387735e+09 ; -1.086270e+07 + i 1.242266e+08 ; 2.360824e+06 + i -6.265181e+07 ; 2.556403e+08 + i 1.727900e+07 ; -2.316621e+06 + i 6.873176e+07 ; -6.795953e+07 + i 2.774968e+08 ; 1.653257e+08 + i -2.818281e+09 ; 5.511646e+07 + i -2.683001e+08 ; -7.902060e+06 + i 7.055862e+08 ; -3.733557e+08 + i 7.896147e+08 ; -2.879532e+07 + i -3.750113e+07 ; 5.287118e+07 + i -7.806696e+07 ; -1.031485e+10 + i 1.118286e+10 ; -7.426973e+07 + i 8.582495e+07 ; 3.819725e+07 + i -1.385381e+08 ; -1.983575e+08 + i 1.385660e+09 ; -3.155292e+06 + i 4.422764e+07 ; 1.804076e+06 + i 6.455975e+07 ; 8.933269e+06 + i 7.590902e+06 ; -2.144825e+06 + i -2.130860e+06 ; -1.807194e+06 + i 4.204594e+07 ; 2.000625e+06 + i 5.278160e+06 ; -4.379271e+05 + i 6.060976e+05 ; 8.276997e+06 + i -1.333859e+07 ; 9.452859e+06 + i 7.299657e+06 ; -1.034029e+06 + i 9.954971e+06 ; 7.001178e+06 + i -8.122106e+06 ; 2.233937e+06 + i 5.746249e+06 ; 4.294040e+05 + i 2.486564e+06 ; -2.266230e+07 + i 1.180417e+08 ; 2.278929e+07 + i 1.649366e+07 ; -1.495224e+06 + i 4.666227e+06 ; -2.150559e+07 + i 6.910591e+07 ; 1.612363e+06 + i 5.742391e+06 ; -1.498410e+05 + i 1.775064e+06 ; 1.209682e+07 + i -8.680651e+06 ; 2.459421e+07 + i 1.221355e+07 ; -1.140207e+06 + i 7.240049e+06 ; 9.887411e+06 + i -4.394481e+06 ; 1.738149e+06 + i 6.711341e+06 ; 3.444700e+05 + i 1.986380e+06 ; 
2.512541e+07 + i 3.900899e+07 ; 8.078633e+07 + i -7.883903e+08 ; -3.846678e+08 + i 7.942346e+08 ; 5.159835e+07 + i 1.303909e+08 ; -4.985547e+07 + i -1.444172e+08 ; 2.269499e+08 + i 4.402169e+07 ; -6.807301e+07 + i 2.775707e+08 ; 5.518443e+07 + i -2.683449e+08 ; 1.665130e+08 + i -2.818344e+09 ; -7.882062e+06 + i 7.055688e+08 ; -2.874420e+07 + i -3.750785e+07 ; -3.733675e+08 + i 7.890247e+08 ; 1.556985e+06 + i -3.776690e+07 ; -1.064721e+07 + i 1.241802e+08 ; -1.960935e+08 + i 1.387056e+09 ; 2.540811e+06 + i -6.274484e+07 ; -2.267141e+06 + i 6.866768e+07 ; 2.553906e+08 + i 1.703126e+07 ; 5.261525e+07 + i -7.786924e+07 ; -7.426988e+07 + i 8.584087e+07 ; -1.031410e+10 + i 1.118321e+10 ; 3.826888e+07 + i -1.385346e+08 ; -3.156477e+06 + i 4.423202e+07 ; -1.985489e+08 + i 1.385196e+09 ; 1.790470e+06 + i 6.454108e+07 ; -2.152553e+06 + i -2.131869e+06 ; 8.914153e+06 + i 7.567932e+06 ; -1.813846e+06 + i 4.203283e+07 ; -4.407358e+05 + i 6.070229e+05 ; 1.996114e+06 + i 5.280119e+06 ; -2.265700e+07 + i 1.180515e+08 ; -1.487887e+06 + i 4.663258e+06 ; 2.279976e+07 + i 1.645891e+07 ; -2.149843e+07 + i 6.911238e+07 ; -1.479353e+05 + i 1.773643e+06 ; 1.609617e+06 + i 5.739084e+06 ; 8.317015e+06 + i -1.336516e+07 ; -1.031064e+06 + i 9.951944e+06 ; 9.414495e+06 + i 7.280686e+06 ; 7.042137e+06 + i -8.136341e+06 ; 4.274700e+05 + i 2.486307e+06 ; 2.226214e+06 + i 5.753795e+06 ; 1.209481e+07 + i -8.707203e+06 ; -1.135032e+06 + i 7.240704e+06 ; 2.459423e+07 + i 1.219608e+07 ; 9.884621e+06 + i -4.403918e+06 ; 3.458156e+05 + i 1.984672e+06 ; 1.730832e+06 + i 6.716655e+06 ; 
2.244523e+08 + i 4.422808e+07 ; -4.925913e+07 + i -1.505494e+08 ; -4.939206e+07 + i -1.505613e+08 ; 2.506117e+08 + i 1.694902e+07 ; -1.816742e+07 + i 6.311582e+07 ; -1.818529e+07 + i 6.313466e+07 ; -3.856844e+08 + i 7.811247e+08 ; -2.289713e+07 + i -3.912926e+07 ; 1.095664e+08 + i -8.140041e+08 ; -2.022813e+08 + i 1.367088e+09 ; -4.626234e+05 + i 3.724693e+07 ; -1.413462e+07 + i 1.203282e+08 ; -3.856819e+08 + i 7.811525e+08 ; 1.094333e+08 + i -8.141729e+08 ; -2.234742e+07 + i -3.927212e+07 ; -2.019365e+08 + i 1.367003e+09 ; -1.415212e+07 + i 1.203039e+08 ; -4.825687e+05 + i 3.718508e+07 ; 1.752630e+08 + i -2.846596e+09 ; 6.699107e+07 + i -2.815998e+08 ; 6.731285e+07 + i -2.815727e+08 ; -1.029048e+10 + i 1.112911e+10 ; -7.182521e+07 + i 7.712652e+07 ; -7.179697e+07 + i 7.698697e+07 ; -9.733705e+06 + i 4.882725e+07 ; 1.374575e+07 + i 9.602555e+07 ; 1.378395e+07 + i 9.601693e+07 ; -1.395015e+07 + i 2.506898e+07 ; 6.864061e+06 + i 3.738815e+06 ; 6.876757e+06 + i 3.729243e+06 ; -8.562729e+07 + i -3.023086e+07 ; 6.552982e+06 + i 3.489873e+07 ; -2.986354e+07 + i 2.340707e+08 ; -6.033429e+07 + i -3.903197e+07 ; 4.324153e+06 + i -4.912371e+06 ; 1.939437e+07 + i 5.052055e+06 ; -8.554914e+07 + i -3.028412e+07 ; -2.984801e+07 + i 2.341297e+08 ; 6.392227e+06 + i 3.492911e+07 ; -6.029002e+07 + i -3.904801e+07 ; 1.941200e+07 + i 5.044748e+06 ; 4.298488e+06 + i -4.881969e+06 ; 6.966640e+07 + i -5.663764e+08 ; -4.517488e+07 + i 9.819040e+07 ; -4.525254e+07 + i 9.814500e+07 ; 8.724658e+07 + i -3.092155e+08 ; 1.495197e+07 + i -3.306102e+06 ; 1.491956e+07 + i -3.270520e+06 ; 
-5.116882e+07 + i -1.413069e+08 ; 2.287821e+08 + i 4.550705e+07 ; -4.846803e+07 + i -1.494555e+08 ; -2.559935e+07 + i -2.404494e+07 ; -3.795875e+08 + i 7.810160e+08 ; 1.103800e+08 + i -8.112558e+08 ; -1.881840e+07 + i 7.382068e+07 ; 2.571085e+08 + i 1.720334e+07 ; -2.147195e+07 + i 7.411645e+07 ; -1.290055e+05 + i 4.377902e+07 ; -1.942590e+08 + i 1.372374e+09 ; -1.901922e+07 + i 1.334044e+08 ; 1.044384e+08 + i -8.011539e+08 ; -3.846557e+08 + i 7.932310e+08 ; -2.160103e+07 + i -3.804496e+07 ; 5.992002e+07 + i -2.586471e+08 ; 1.669888e+08 + i -2.833108e+09 ; 6.792615e+07 + i -2.795553e+08 ; -1.594666e+07 + i 1.345514e+08 ; -1.965523e+08 + i 1.385240e+09 ; -3.828015e+06 + i 4.544900e+07 ; -7.164908e+07 + i 8.624024e+07 ; -1.030572e+10 + i 1.116552e+10 ; -7.673899e+07 + i 8.623510e+07 ; 3.411037e+06 + i 9.816690e+07 ; 2.410528e+07 + i 8.258572e+07 ; 4.782739e+04 + i -5.338875e+07 ; -1.779743e+06 + i 6.117995e+07 ; 9.235167e+06 + i 6.994574e+06 ; -4.493429e+06 + i 1.494269e+06 ; 6.808398e+06 + i -4.263080e+07 ; 3.376741e+07 + i 1.016813e+08 ; -1.159224e+07 + i 3.148771e+07 ; 8.387433e+06 + i -3.333710e+07 ; 9.323904e+06 + i 7.201128e+06 ; 1.472510e+06 + i 7.051092e+06 ; -1.086885e+07 + i 2.235919e+08 ; -4.695549e+07 + i 1.895814e+08 ; 4.468762e+06 + i -1.261137e+07 ; -2.589791e+07 + i 1.281683e+08 ; 2.402021e+07 + i 1.563591e+07 ; -3.337518e+06 + i 3.997802e+06 ; 3.632036e+07 + i -7.404225e+07 ; -2.653716e+07 + i 2.649078e+08 ; -1.118135e+07 + i 2.032879e+07 ; 3.247741e+07 + i -4.987315e+07 ; 2.491861e+07 + i 1.197529e+07 ; 1.072488e+06 + i 5.400580e+06 ; 
