-5.375132e+09 + i 1.903491e+10 ; -2.682107e+07 + i 2.380443e+08 ; -2.636885e+07 + i 2.383184e+08 ; -3.626784e+09 + i -3.960797e+09 ; -2.679768e+08 + i -5.469864e+08 ; -2.683863e+08 + i -5.467599e+08 ; 1.348252e+09 + i 2.068668e+09 ; 1.071450e+08 + i 3.067995e+08 ; 9.594240e+07 + i 9.572926e+07 ; 1.768811e+08 + i 1.875984e+09 ; -9.911589e+08 + i -7.383840e+08 ; -1.533600e+08 + i 4.886305e+06 ; 1.348824e+09 + i 2.068432e+09 ; 9.523640e+07 + i 9.499882e+07 ; 1.066325e+08 + i 3.066153e+08 ; 1.779903e+08 + i 1.876482e+09 ; -1.514871e+08 + i 3.966384e+06 ; -9.911550e+08 + i -7.384135e+08 ; 8.311401e+08 + i -4.137041e+08 ; 1.427084e+08 + i 1.033289e+08 ; 1.434749e+08 + i 1.029427e+08 ; 8.699722e+08 + i -2.733927e+08 ; -3.038191e+08 + i 7.402007e+05 ; -3.036532e+08 + i 2.490675e+05 ; -2.143120e+08 + i -5.739471e+08 ; -1.033299e+07 + i 2.855709e+07 ; -1.029890e+07 + i 2.864925e+07 ; -3.792353e+07 + i -3.546543e+08 ; 8.920293e+06 + i 6.504374e+06 ; 8.961703e+06 + i 6.498855e+06 ; -2.473135e+08 + i 4.647291e+07 ; -4.106063e+07 + i 2.762933e+07 ; 5.657489e+06 + i 2.434445e+07 ; -1.906443e+08 + i -1.444414e+07 ; 1.400323e+06 + i 5.957217e+06 ; 8.567835e+06 + i 2.312663e+06 ; -2.469219e+08 + i 4.640026e+07 ; 5.816463e+06 + i 2.411579e+07 ; -4.104428e+07 + i 2.768076e+07 ; -1.904362e+08 + i -1.438037e+07 ; 8.524503e+06 + i 2.270134e+06 ; 1.406712e+06 + i 5.966557e+06 ; 2.477576e+07 + i 1.893003e+08 ; -1.566263e+07 + i 2.288763e+07 ; -1.578173e+07 + i 2.293744e+07 ; -1.989385e+07 + i 1.512099e+08 ; 2.294490e+06 + i 1.974829e+06 ; 2.293653e+06 + i 1.999515e+06 ; 
-1.492994e+08 + i -1.668245e+08 ; -1.406445e+08 + i -1.740148e+08 ; 8.539165e+08 + i -3.985471e+08 ; -1.024565e+08 + i -1.318436e+08 ; -2.565512e+07 + i -3.776963e+08 ; 1.330565e+09 + i 2.057858e+09 ; -3.639755e+07 + i -3.773660e+08 ; -9.490038e+07 + i -1.438023e+08 ; 1.337702e+09 + i 2.090740e+09 ; 8.433975e+07 + i -2.512037e+08 ; 9.739229e+07 + i -2.572897e+08 ; -5.417339e+09 + i 1.901881e+10 ; 3.928067e+08 + i 7.143424e+07 ; 3.995993e+08 + i 9.053929e+07 ; 8.981503e+08 + i -2.878936e+08 ; 2.222345e+08 + i -7.715116e+06 ; 8.905935e+08 + i 1.157782e+09 ; 2.025215e+08 + i 1.867474e+09 ; 8.920391e+08 + i 1.130416e+09 ; 2.340131e+08 + i 1.969778e+07 ; 2.073957e+08 + i 1.900470e+09 ; 1.057779e+08 + i 6.582432e+08 ; 1.162605e+08 + i 7.049670e+08 ; -3.636043e+09 + i -3.923149e+09 ; 6.102866e+07 + i 7.098709e+07 ; -2.147236e+07 + i -6.675094e+07 ; 2.531799e+08 + i 7.301436e+07 ; 4.511619e+07 + i 6.931881e+07 ; -1.931671e+07 + i -8.890019e+06 ; 2.789738e+07 + i -4.958226e+07 ; 4.494061e+07 + i 1.466963e+08 ; -3.156911e+06 + i -5.265786e+07 ; 3.051426e+08 + i 3.809590e+08 ; 7.363901e+06 + i 1.248419e+08 ; -1.608836e+07 + i -8.431056e+06 ; 8.730390e+07 + i -4.007544e+07 ; -1.473672e+08 + i -9.824284e+07 ; 6.913883e+07 + i 5.511067e+07 ; 2.160622e+08 + i 8.264894e+07 ; -9.329591e+07 + i -7.631832e+07 ; 6.693463e+06 + i -1.094200e+07 ; 2.756340e+07 + i -4.778211e+07 ; -3.081487e+08 + i -2.950240e+08 ; 1.681463e+06 + i 2.478239e+07 ; 1.595648e+08 + i 3.633594e+08 ; -1.365981e+08 + i -2.310623e+08 ; 2.301703e+06 + i -9.825612e+06 ; 9.404295e+07 + i -3.053517e+07 ; 
1.327056e+09 + i 2.063717e+09 ; 9.458898e+07 + i 1.033077e+08 ; -1.104783e+08 + i -3.115812e+08 ; 1.711588e+08 + i 1.887719e+09 ; -1.656021e+08 + i 6.867500e+06 ; 1.008311e+09 + i 1.062351e+09 ; 8.344642e+08 + i -4.044951e+08 ; 1.428919e+08 + i 1.159975e+08 ; -1.346601e+08 + i -1.401625e+08 ; 8.745515e+08 + i -2.715079e+08 ; -3.118878e+08 + i -1.193506e+07 ; 3.546199e+08 + i 5.308735e+07 ; -5.393358e+09 + i 1.902540e+10 ; -3.429581e+07 + i 2.385656e+08 ; 3.766650e+07 + i -2.518341e+08 ; -3.633963e+09 + i -3.954781e+09 ; -2.574762e+08 + i -5.665654e+08 ; 2.345625e+08 + i 6.264790e+08 ; 1.345642e+09 + i 2.081867e+09 ; 9.429669e+07 + i 3.120167e+08 ; -8.676569e+07 + i -1.182798e+08 ; 1.786855e+08 + i 1.882923e+09 ; -1.001782e+09 + i -8.048788e+08 ; 1.747090e+08 + i 7.079932e+06 ; -2.417000e+08 + i 4.563776e+07 ; 4.556292e+06 + i 2.592936e+07 ; 4.963691e+07 + i -2.493370e+07 ; -1.872962e+08 + i -1.328834e+07 ; 8.693775e+06 + i 3.019191e+06 ; -1.050820e+06 + i -6.842835e+06 ; 2.530282e+07 + i 1.870408e+08 ; -1.751306e+07 + i 2.324145e+07 ; 2.128332e+07 + i -2.357690e+07 ; -1.856182e+07 + i 1.497782e+08 ; 2.224382e+06 + i 2.305185e+06 ; -2.385500e+06 + i -2.817329e+06 ; -2.139023e+08 + i -5.738125e+08 ; -1.088279e+07 + i 2.897277e+07 ; 1.639883e+07 + i -3.302819e+07 ; -3.847435e+07 + i -3.541172e+08 ; 9.267393e+06 + i 6.894924e+06 ; -9.221783e+06 + i -9.215446e+06 ; -2.475356e+08 + i 4.598022e+07 ; -4.267376e+07 + i 2.671971e+07 ; -2.074354e+06 + i -3.053931e+07 ; -1.905714e+08 + i -1.406116e+07 ; 1.474657e+06 + i 5.978986e+06 ; -9.167829e+06 + i -4.651687e+06 ; 
8.554043e+07 + i 1.040739e+08 ; 1.349641e+09 + i 2.088005e+09 ; -1.101170e+08 + i -3.128292e+08 ; 1.316227e+08 + i 1.190166e+08 ; 8.544901e+08 + i -4.083882e+08 ; -1.344607e+08 + i -1.389088e+08 ; -1.723665e+08 + i -4.958777e+06 ; 2.040130e+08 + i 1.916129e+09 ; 1.013309e+09 + i 1.061259e+09 ; -3.240708e+08 + i -3.090499e+07 ; 8.997171e+08 + i -2.877980e+08 ; 3.587513e+08 + i 5.240756e+07 ; -4.226223e+07 + i 2.353345e+08 ; -5.405038e+09 + i 1.906466e+10 ; 3.798724e+07 + i -2.528069e+08 ; 8.267705e+07 + i 3.089669e+08 ; 1.352755e+09 + i 2.103286e+09 ; -8.671798e+07 + i -1.170274e+08 ; -2.594141e+08 + i -5.825659e+08 ; -3.640200e+09 + i -3.886949e+09 ; 2.383718e+08 + i 6.249944e+08 ; -1.008727e+09 + i -8.327370e+08 ; 2.075522e+08 + i 1.905363e+09 ; 1.778650e+08 + i 6.200259e+06 ; -3.202869e+06 + i 5.367106e+07 ; 2.711429e+07 + i -4.718186e+07 ; -1.751754e+07 + i -1.479096e+07 ; -9.781129e+06 + i 4.134007e+07 ; 2.065990e+06 + i -3.146808e+05 ; -5.967972e+06 + i -1.005441e+06 ; -1.111958e+08 + i -8.611405e+07 ; 2.824947e+07 + i -4.711141e+07 ; 4.659498e+06 + i -6.084852e+06 ; -6.811639e+07 + i -6.859476e+07 ; 1.204369e+06 + i -4.760042e+04 ; -1.111367e+06 + i -1.676077e+06 ; -3.007924e+07 + i 3.962973e+07 ; 8.445576e+07 + i -3.896433e+07 ; -1.305963e+07 + i -1.180810e+07 ; -2.928607e+07 + i 2.640798e+07 ; 7.525211e+06 + i -6.931976e+06 ; -4.993344e+06 + i -7.575105e+05 ; -1.245509e+08 + i -1.980594e+08 ; 9.374560e+07 + i -3.043774e+07 ; -6.516791e+06 + i -1.089780e+07 ; -5.180736e+07 + i -1.368426e+08 ; 5.919390e+06 + i -7.902356e+06 ; -3.081504e+06 + i -2.055852e+06 ; 
3.077939e+08 + i 5.321862e+08 ; 3.109967e+08 + i 5.141743e+08 ; -3.624549e+09 + i -3.880425e+09 ; 1.023775e+09 + i 8.403706e+08 ; 1.588170e+08 + i -7.476364e+06 ; 2.043133e+08 + i 1.911465e+09 ; 1.606102e+08 + i 6.871923e+06 ; 1.021690e+09 + i 8.107765e+08 ; 2.121106e+08 + i 1.913015e+09 ; 3.336861e+08 + i 2.687917e+07 ; 3.243545e+08 + i 6.187761e+06 ; 9.072378e+08 + i -2.880902e+08 ; 1.835991e+07 + i -2.382880e+08 ; 1.082740e+07 + i -2.422866e+08 ; -5.401035e+09 + i 1.906518e+10 ; -1.427682e+08 + i -2.572608e+08 ; -1.018478e+08 + i -9.284506e+07 ; 1.355761e+09 + i 2.086039e+09 ; -9.355691e+07 + i -9.405075e+07 ; -1.523694e+08 + i -2.610531e+08 ; 1.363961e+09 + i 2.088098e+09 ; -1.313382e+08 + i -1.086707e+08 ; -1.411353e+08 + i -1.053081e+08 ; 8.450580e+08 + i -4.172648e+08 ; 1.236783e+08 + i 2.028004e+08 ; -7.724351e+06 + i -8.266006e+06 ; 8.968039e+07 + i -2.911114e+07 ; 5.028910e+07 + i 1.405468e+08 ; -3.089684e+06 + i -1.161238e+06 ; 6.014576e+06 + i -7.449928e+06 ; 1.142903e+08 + i 8.780340e+07 ; 2.664206e+06 + i -5.622097e+06 ; 2.687958e+07 + i -4.580664e+07 ; 7.024503e+07 + i 7.100212e+07 ; -1.205430e+06 + i -1.168377e+06 ; 1.083540e+06 + i 1.302654e+05 ; 2.053254e+07 + i -3.642959e+07 ; -1.265626e+07 + i -8.553021e+06 ; 8.399139e+07 + i -3.845858e+07 ; 2.347404e+07 + i -2.519913e+07 ; -4.367630e+06 + i -1.095915e+05 ; 7.761730e+06 + i -6.325523e+06 ; 3.336266e+05 + i -5.104880e+07 ; -1.704195e+07 + i -1.046970e+07 ; 2.650930e+07 + i -4.738378e+07 ; 8.067752e+06 + i -3.946509e+07 ; -5.156224e+06 + i -2.532574e+05 ; 2.271205e+06 + i 6.288944e+04 ; 
1.400220e+08 + i 1.895699e+09 ; 1.858981e+08 + i 1.116113e+06 ; -9.026236e+08 + i -1.168840e+09 ; 1.310690e+09 + i 2.056765e+09 ; -8.832764e+07 + i -9.296494e+07 ; 2.151426e+08 + i 2.080605e+08 ; 8.821161e+08 + i -2.638279e+08 ; 3.344176e+08 + i 2.113994e+07 ; -3.548169e+08 + i -7.909886e+07 ; 8.192289e+08 + i -3.880860e+08 ; -1.308374e+08 + i -1.078307e+08 ; 1.113102e+08 + i 1.107152e+08 ; -3.640906e+09 + i -3.952720e+09 ; 2.431666e+08 + i 5.936896e+08 ; -3.284505e+08 + i -5.638963e+08 ; -5.409812e+09 + i 1.895182e+10 ; 4.741576e+07 + i -2.321074e+08 ; -1.002218e+08 + i 2.431275e+08 ; 1.845968e+08 + i 1.893493e+09 ; 1.009950e+09 + i 8.715365e+08 ; -1.764953e+08 + i -2.618793e+06 ; 1.308370e+09 + i 2.065228e+09 ; -6.593929e+07 + i -3.031380e+08 ; 6.777049e+07 + i 1.044119e+08 ; -2.745982e+08 + i 1.223141e+08 ; -7.829471e+07 + i -2.709604e+07 ; 2.556750e+08 + i 3.238182e+08 ; -2.390487e+08 + i 4.360180e+07 ; 3.880380e+06 + i 3.048401e+07 ; 5.637585e+07 + i -3.486139e+07 ; 9.161398e+07 + i 2.186776e+08 ; -1.713020e+08 + i -4.904266e+07 ; 1.670549e+08 + i 9.937748e+07 ; 2.689055e+07 + i 1.843183e+08 ; -8.490603e+06 + i 2.992617e+07 ; 1.759275e+07 + i -2.822099e+07 ; -6.129595e+08 + i -8.325237e+08 ; -9.549202e+07 + i -1.578755e+08 ; 2.320539e+07 + i 2.181326e+08 ; -2.137023e+08 + i -5.721232e+08 ; -2.800922e+07 + i 4.178691e+07 ; 4.162467e+07 + i -2.905872e+07 ; -2.864470e+08 + i 1.302223e+08 ; -3.106954e+08 + i -2.267407e+08 ; 6.537430e+07 + i 6.151644e+07 ; -2.474508e+08 + i 4.624311e+07 ; -4.045704e+07 + i 4.884926e+07 ; 3.536727e+06 + i -3.001518e+07 ; 
-1.369396e+08 + i -1.603007e+08 ; 8.555108e+08 + i -3.996728e+08 ; -1.163853e+08 + i -1.654775e+08 ; -9.437863e+07 + i -1.205510e+08 ; 1.332976e+09 + i 2.057462e+09 ; -8.588382e+07 + i -3.316953e+08 ; 3.460123e+08 + i 6.668019e+07 ; 9.024565e+08 + i -2.863781e+08 ; 3.802338e+08 + i 7.871093e+07 ; 1.831704e+08 + i -1.501231e+07 ; 1.922121e+08 + i 1.877021e+09 ; 9.359383e+08 + i 1.150364e+09 ; -3.980121e+07 + i -3.624491e+08 ; 1.336944e+09 + i 2.096678e+09 ; -7.818116e+07 + i -1.285931e+08 ; 7.142660e+07 + i -2.507453e+08 ; -5.421660e+09 + i 1.901545e+10 ; 5.806415e+07 + i -2.502926e+08 ; 9.349594e+08 + i 1.135636e+09 ; 2.110340e+08 + i 1.907282e+09 ; 1.941193e+08 + i 1.392193e+07 ; 1.486646e+08 + i 6.389977e+08 ; -3.641872e+09 + i -3.925562e+09 ; 1.749210e+08 + i 6.564437e+08 ; 6.081861e+07 + i 7.451214e+07 ; 2.525864e+08 + i 7.295370e+07 ; -2.078765e+07 + i -6.591499e+07 ; 4.446884e+07 + i 7.203393e+07 ; 2.792561e+07 + i -4.936530e+07 ; -1.900641e+07 + i -8.983733e+06 ; -1.562293e+08 + i -1.019460e+08 ; 2.157136e+08 + i 8.293234e+07 ; 7.073997e+07 + i 5.414016e+07 ; -9.784923e+07 + i -8.020603e+07 ; 2.770734e+07 + i -4.787108e+07 ; 6.568048e+06 + i -1.121377e+07 ; 4.662930e+07 + i 1.523908e+08 ; 3.049688e+08 + i 3.809852e+08 ; -3.150690e+06 + i -5.159693e+07 ; 7.709966e+06 + i 1.286132e+08 ; 8.750639e+07 + i -3.997102e+07 ; -1.578958e+07 + i -8.454313e+06 ; -3.059635e+08 + i -2.947944e+08 ; 1.597491e+08 + i 3.625441e+08 ; 3.113791e+06 + i 2.349672e+07 ; -1.353733e+08 + i -2.301065e+08 ; 9.422299e+07 + i -3.083329e+07 ; 2.259360e+06 + i -1.007648e+07 ; 
-9.002707e+08 + i -1.142450e+09 ; 1.458290e+08 + i -1.562397e+06 ; 1.667198e+08 + i 1.918786e+09 ; -3.127947e+08 + i -5.065833e+08 ; 2.997277e+08 + i 5.584507e+08 ; -3.651601e+09 + i -3.920764e+09 ; -3.634710e+08 + i -6.679129e+07 ; 3.289754e+08 + i 1.560193e+07 ; 9.109323e+08 + i -2.749987e+08 ; -1.553100e+08 + i 9.918542e+06 ; 1.019754e+09 + i 8.752656e+08 ; 1.976666e+08 + i 1.883920e+09 ; 2.350382e+08 + i 2.236566e+08 ; -9.654680e+07 + i -9.980540e+07 ; 1.360998e+09 + i 2.083040e+09 ; -8.578556e+07 + i 2.543689e+08 ; 2.133860e+07 + i -2.498161e+08 ; -5.399958e+09 + i 1.902897e+10 ; 1.354590e+08 + i 1.334998e+08 ; -1.202507e+08 + i -1.167488e+08 ; 8.473780e+08 + i -4.185485e+08 ; 1.090683e+08 + i 1.106704e+08 ; -1.488805e+08 + i -2.876382e+08 ; 1.348612e+09 + i 2.048851e+09 ; 3.076508e+08 + i 2.805712e+08 ; 1.959754e+07 + i 1.157279e+07 ; 1.677582e+08 + i 3.536174e+08 ; 1.373991e+08 + i 2.198672e+08 ; -3.549313e+05 + i -1.224098e+07 ; 9.370076e+07 + i -3.242489e+07 ; 1.532013e+08 + i 9.375421e+07 ; 8.486758e+07 + i 2.969797e+07 ; 2.167447e+08 + i 7.965185e+07 ; 9.688212e+07 + i 7.430098e+07 ; 3.640696e+06 + i -1.410838e+07 ; 2.749909e+07 + i -4.895764e+07 ; -7.733624e+06 + i -1.801514e+08 ; -1.773718e+07 + i -4.564558e+07 ; 3.026379e+08 + i 3.807452e+08 ; 1.984610e+07 + i -1.388550e+08 ; -1.738647e+07 + i -2.880596e+06 ; 8.505281e+07 + i -3.924339e+07 ; -5.184129e+07 + i -8.946952e+07 ; -3.495404e+07 + i -5.568343e+07 ; 2.512985e+08 + i 7.300167e+07 ; -3.753578e+07 + i -8.210814e+07 ; -1.998982e+07 + i -2.926601e+06 ; 2.608205e+07 + i -4.799289e+07 ; 
8.348690e+08 + i -3.931121e+08 ; -1.076488e+08 + i -1.590114e+08 ; -1.075341e+08 + i -1.591359e+08 ; 8.768589e+08 + i -2.699441e+08 ; 3.449362e+08 + i 8.062949e+07 ; 3.452966e+08 + i 8.083385e+07 ; 1.329964e+09 + i 2.074081e+09 ; -7.968723e+07 + i -1.238661e+08 ; -8.535530e+07 + i -3.275595e+08 ; 1.770779e+08 + i 1.887941e+09 ; 1.733881e+08 + i 8.350362e+06 ; 9.582495e+08 + i 1.161260e+09 ; 1.330520e+09 + i 2.073755e+09 ; -8.510060e+07 + i -3.277340e+08 ; -7.926810e+07 + i -1.233718e+08 ; 1.779789e+08 + i 1.888454e+09 ; 9.584744e+08 + i 1.162286e+09 ; 1.714808e+08 + i 8.743368e+06 ; -5.407615e+09 + i 1.901774e+10 ; 5.114979e+07 + i -2.561033e+08 ; 5.109966e+07 + i -2.550824e+08 ; -3.638364e+09 + i -3.950271e+09 ; 2.088070e+08 + i 6.490010e+08 ; 2.078512e+08 + i 6.483524e+08 ; 2.376630e+07 + i 1.840605e+08 ; 2.391878e+07 + i -2.227538e+07 ; 2.389343e+07 + i -2.233711e+07 ; -1.845380e+07 + i 1.478540e+08 ; -2.005849e+06 + i -3.150266e+06 ; -2.011594e+06 + i -3.133357e+06 ; -2.424456e+08 + i 4.470941e+07 ; 1.977278e+05 + i -3.144052e+07 ; 5.111049e+07 + i -2.143540e+07 ; -1.874094e+08 + i -1.334988e+07 ; -8.725685e+06 + i -5.494945e+06 ; -1.079140e+06 + i -6.666962e+06 ; -2.420454e+08 + i 4.465086e+07 ; 5.109439e+07 + i -2.140115e+07 ; 4.816051e+04 + i -3.138569e+07 ; -1.872108e+08 + i -1.328577e+07 ; -1.065301e+06 + i -6.692117e+06 ; -8.711507e+06 + i -5.457901e+06 ; -2.126174e+08 + i -5.745248e+08 ; 1.739293e+07 + i -3.219660e+07 ; 1.746947e+07 + i -3.225949e+07 ; -3.820574e+07 + i -3.541091e+08 ; -9.289583e+06 + i -9.701545e+06 ; -9.256428e+06 + i -9.688209e+06 ; 
1.616967e+08 + i 9.401341e+06 ; 1.792848e+08 + i 1.923833e+09 ; -9.037204e+08 + i -1.169541e+09 ; 3.344484e+08 + i 4.064385e+07 ; 9.081115e+08 + i -2.754719e+08 ; -3.546495e+08 + i -9.581898e+07 ; -8.569306e+07 + i -1.039826e+08 ; 1.363615e+09 + i 2.088448e+09 ; 2.109714e+08 + i 2.318380e+08 ; -1.120084e+08 + i -1.201145e+08 ; 8.473782e+08 + i -4.180587e+08 ; 1.217824e+08 + i 1.414547e+08 ; 2.899586e+08 + i 5.755200e+08 ; -3.649171e+09 + i -3.879407e+09 ; -3.249077e+08 + i -5.539489e+08 ; 1.016506e+09 + i 9.047006e+08 ; 2.049769e+08 + i 1.924184e+09 ; -1.740014e+08 + i -1.067004e+07 ; 3.210454e+07 + i -2.488382e+08 ; -5.393870e+09 + i 1.906583e+10 ; -1.024854e+08 + i 2.654921e+08 ; -1.242546e+08 + i -2.864224e+08 ; 1.360410e+09 + i 2.084694e+09 ; 8.365017e+07 + i 1.351721e+08 ; 1.127663e+08 + i 9.366649e+07 ; 2.838506e+07 + i -4.556231e+07 ; -6.601740e+06 + i 6.294739e+06 ; 6.872969e+07 + i 7.441048e+07 ; 1.293268e+06 + i -2.607422e+05 ; 1.067431e+06 + i 2.241155e+06 ; 5.765809e+06 + i -5.293713e+07 ; 2.761134e+07 + i -4.726348e+07 ; 1.640994e+07 + i 1.676468e+07 ; 1.175410e+07 + i -4.011406e+07 ; 2.391484e+06 + i -2.417030e+05 ; 5.972684e+06 + i 1.521783e+06 ; 1.195353e+08 + i 2.121162e+08 ; 9.084382e+07 + i -2.855673e+07 ; 3.654353e+06 + i 1.255014e+07 ; 4.674564e+07 + i 1.454392e+08 ; 6.178978e+06 + i -7.688602e+06 ; 3.106170e+06 + i 2.806989e+06 ; 2.640276e+07 + i -3.852094e+07 ; 8.462388e+07 + i -3.831511e+07 ; 1.193634e+07 + i 1.351007e+07 ; 2.774613e+07 + i -2.593728e+07 ; 7.848811e+06 + i -6.559149e+06 ; 5.037239e+06 + i 1.218477e+06 ; 
1.622595e+08 + i 9.919724e+06 ; -9.036911e+08 + i -1.169836e+09 ; 1.790065e+08 + i 1.923723e+09 ; 3.342662e+08 + i 4.036637e+07 ; -3.548484e+08 + i -9.607054e+07 ; 9.068844e+08 + i -2.753924e+08 ; 2.895118e+08 + i 5.759847e+08 ; -3.245290e+08 + i -5.542794e+08 ; -3.645910e+09 + i -3.879099e+09 ; 1.016728e+09 + i 9.045771e+08 ; -1.737960e+08 + i -1.069816e+07 ; 2.059661e+08 + i 1.920051e+09 ; -8.502450e+07 + i -1.037171e+08 ; 2.120978e+08 + i 2.315882e+08 ; 1.371318e+09 + i 2.085610e+09 ; -1.110404e+08 + i -1.206669e+08 ; 1.220791e+08 + i 1.409541e+08 ; 8.455510e+08 + i -4.202303e+08 ; 3.095115e+07 + i -2.477480e+08 ; -1.025604e+08 + i 2.656237e+08 ; -5.391807e+09 + i 1.906898e+10 ; -1.239572e+08 + i -2.862918e+08 ; 8.356141e+07 + i 1.352992e+08 ; 1.360361e+09 + i 2.081852e+09 ; 1.126269e+08 + i 9.350985e+07 ; -6.656969e+06 + i 6.263035e+06 ; 2.823411e+07 + i -4.577601e+07 ; 6.869984e+07 + i 7.425769e+07 ; 1.044821e+06 + i 2.250316e+06 ; 1.218972e+06 + i -2.291049e+05 ; 1.195621e+08 + i 2.122300e+08 ; 3.672017e+06 + i 1.251591e+07 ; 9.079754e+07 + i -2.887778e+07 ; 4.678486e+07 + i 1.455270e+08 ; 3.102985e+06 + i 2.798038e+06 ; 6.097469e+06 + i -7.668935e+06 ; 5.894952e+06 + i -5.303194e+07 ; 1.642502e+07 + i 1.673251e+07 ; 2.739328e+07 + i -4.742651e+07 ; 1.192756e+07 + i -4.014301e+07 ; 5.960801e+06 + i 1.517336e+06 ; 2.343616e+06 + i -1.818573e+05 ; 2.632933e+07 + i -3.871429e+07 ; 1.196825e+07 + i 1.351436e+07 ; 8.462389e+07 + i -3.849127e+07 ; 2.772374e+07 + i -2.602618e+07 ; 5.044265e+06 + i 1.201806e+06 ; 7.810372e+06 + i -6.513732e+06 ; 
8.865973e+08 + i -2.481322e+08 ; -3.629543e+08 + i -1.105012e+08 ; -3.634404e+08 + i -1.106238e+08 ; 8.246666e+08 + i -3.859190e+08 ; 5.590750e+07 + i 1.240518e+08 ; 5.588324e+07 + i 1.242085e+08 ; 1.476993e+08 + i 1.903941e+09 ; -1.587959e+08 + i -9.042418e+06 ; -8.521716e+08 + i -1.231334e+09 ; 1.315569e+09 + i 2.056794e+09 ; 7.813250e+07 + i 1.188326e+08 ; 1.773622e+08 + i 2.418633e+08 ; 1.479026e+08 + i 1.903865e+09 ; -8.520557e+08 + i -1.232549e+09 ; -1.566605e+08 + i -9.487856e+06 ; 1.317108e+09 + i 2.056586e+09 ; 1.772256e+08 + i 2.416511e+08 ; 7.787577e+07 + i 1.183312e+08 ; -3.666190e+09 + i -3.951119e+09 ; -2.934172e+08 + i -6.034260e+08 ; -2.922266e+08 + i -6.029613e+08 ; -5.406980e+09 + i 1.895304e+10 ; -1.090181e+08 + i 2.420523e+08 ; -1.087161e+08 + i 2.412040e+08 ; 8.889665e+07 + i 2.145184e+08 ; 1.817826e+08 + i 1.094591e+08 ; 1.819602e+08 + i 1.093875e+08 ; 2.660334e+07 + i 1.811769e+08 ; 2.074831e+07 + i -3.193376e+07 ; 2.079845e+07 + i -3.197797e+07 ; -2.773681e+08 + i 1.227561e+08 ; 8.755860e+07 + i 6.165934e+07 ; 2.456630e+08 + i 3.396348e+08 ; -2.404441e+08 + i 4.425683e+07 ; 6.019968e+06 + i -3.488275e+07 ; 5.788168e+07 + i -3.359236e+07 ; -2.770387e+08 + i 1.225564e+08 ; 2.454639e+08 + i 3.399958e+08 ; 8.694352e+07 + i 6.166001e+07 ; -2.402858e+08 + i 4.424489e+07 ; 5.805762e+07 + i -3.354876e+07 ; 5.939829e+06 + i -3.468471e+07 ; -6.122812e+08 + i -8.342142e+08 ; 1.933665e+07 + i 2.173661e+08 ; 1.922831e+07 + i 2.170737e+08 ; -2.139638e+08 + i -5.722760e+08 ; 4.243194e+07 + i -2.876061e+07 ; 4.224163e+07 + i -2.858937e+07 ; 
-3.517295e+08 + i -9.258201e+07 ; 9.126970e+08 + i -2.647085e+08 ; -3.573155e+08 + i -1.112390e+08 ; -1.402946e+08 + i 1.876781e+07 ; 1.684293e+08 + i 1.892344e+09 ; -8.440444e+08 + i -1.228544e+09 ; 7.517028e+07 + i 1.408210e+08 ; 8.533772e+08 + i -4.160289e+08 ; 6.376802e+07 + i 1.495648e+08 ; 9.223689e+07 + i 1.267209e+08 ; 1.350075e+09 + i 2.048977e+09 ; 1.842570e+08 + i 2.700249e+08 ; -8.451265e+08 + i -1.202649e+09 ; 1.713544e+08 + i 1.928490e+09 ; -1.509031e+08 + i -9.492008e+06 ; -2.757510e+08 + i -5.551609e+08 ; -3.671314e+09 + i -3.922222e+09 ; -2.856141e+08 + i -6.010452e+08 ; 1.986612e+08 + i 2.695813e+08 ; 1.366174e+09 + i 2.084481e+09 ; 8.124992e+07 + i 1.399816e+08 ; -9.067706e+07 + i 2.577167e+08 ; -5.395456e+09 + i 1.902701e+10 ; -1.081744e+08 + i 2.639642e+08 ; 1.459842e+08 + i 1.089011e+08 ; 2.163601e+08 + i 8.187131e+07 ; -7.242244e+07 + i -5.759946e+07 ; 9.025087e+07 + i 8.375289e+07 ; 2.866169e+07 + i -4.886018e+07 ; -7.273511e+06 + i 1.187827e+07 ; -5.875351e+07 + i -9.164209e+07 ; 2.514336e+08 + i 7.354275e+07 ; 1.723136e+07 + i 6.712984e+07 ; -3.971476e+07 + i -8.503513e+07 ; 2.670669e+07 + i -4.805373e+07 ; 1.878913e+07 + i 1.020460e+07 ; 2.952552e+08 + i 3.042969e+08 ; 1.666288e+08 + i 3.557248e+08 ; -6.376497e+06 + i -2.187706e+07 ; 1.267439e+08 + i 2.325300e+08 ; 9.439087e+07 + i -3.226162e+07 ; -2.904091e+06 + i 1.092993e+07 ; -5.278690e+06 + i -1.756802e+08 ; 3.032811e+08 + i 3.804862e+08 ; 4.814157e+05 + i 5.230903e+07 ; 2.197787e+07 + i -1.358044e+08 ; 8.555306e+07 + i -3.962866e+07 ; 1.547799e+07 + i 9.401040e+06 ; 
