-7.188296e+09 + i 1.452308e+10 ; 6.510787e+08 + i -1.166148e+09 ; 6.416578e+08 + i -1.167958e+09 ; -2.620811e+07 + i -1.094887e+10 ; 1.905959e+09 + i 8.218710e+08 ; 1.899623e+09 + i 8.025859e+08 ; 2.316702e+09 + i 3.778171e+09 ; -7.792133e+08 + i 1.481043e+08 ; 6.616179e+07 + i -1.333068e+09 ; -5.751570e+09 + i -7.027098e+08 ; 4.900080e+08 + i -3.952493e+09 ; 1.291944e+09 + i -4.166021e+08 ; 2.312379e+09 + i 3.802994e+09 ; 7.406170e+07 + i -1.353028e+09 ; -7.621475e+08 + i 1.494339e+08 ; -5.750245e+09 + i -6.894329e+08 ; 1.320730e+09 + i -4.119541e+08 ; 4.926275e+08 + i -3.948755e+09 ; 2.235825e+09 + i -1.494669e+09 ; -2.588989e+08 + i 4.971441e+08 ; -2.477543e+08 + i 5.146312e+08 ; -4.113878e+09 + i 4.313206e+09 ; -4.942142e+08 + i -1.476107e+09 ; -4.959842e+08 + i -1.466001e+09 ; 8.833185e+08 + i -6.578250e+08 ; 2.185899e+08 + i -2.661625e+08 ; 2.176113e+08 + i -2.719932e+08 ; 5.754179e+08 + i -3.034737e+08 ; -7.471601e+06 + i -2.275517e+08 ; -9.083573e+06 + i -2.286924e+08 ; 3.894999e+08 + i -1.034667e+09 ; -1.529011e+08 + i -3.678861e+08 ; 1.383981e+08 + i -3.143138e+08 ; 8.506219e+08 + i -4.620620e+08 ; -6.223361e+07 + i -1.284643e+08 ; -4.645413e+07 + i -2.252937e+08 ; 3.920675e+08 + i -1.036184e+09 ; 1.430682e+08 + i -3.145555e+08 ; -1.488552e+08 + i -3.680565e+08 ; 8.472674e+08 + i -4.667267e+08 ; -4.459328e+07 + i -2.280734e+08 ; -5.880302e+07 + i -1.300843e+08 ; -1.004537e+08 + i -1.144632e+09 ; -1.329879e+08 + i -2.669306e+08 ; -1.307000e+08 + i -2.662097e+08 ; 1.063233e+09 + i -7.044347e+08 ; -3.748359e+07 + i -1.143461e+08 ; -3.596746e+07 + i -1.131941e+08 ; 
1.835287e+08 + i -3.737315e+08 ; 8.236748e+07 + i -4.278920e+08 ; 2.214116e+09 + i -1.624989e+09 ; 2.712070e+08 + i 9.251053e+08 ; 4.865823e+08 + i -2.647827e+08 ; 2.194377e+09 + i 3.641868e+09 ; 5.705795e+08 + i -2.025761e+08 ; 1.999499e+08 + i 9.551408e+08 ; 2.220313e+09 + i 3.652549e+09 ; -1.177550e+08 + i 9.396656e+08 ; -1.945770e+08 + i 9.653998e+08 ; -7.235753e+09 + i 1.431012e+10 ; 7.585290e+08 + i 9.573710e+08 ; 6.867262e+08 + i 8.873251e+08 ; -4.247305e+09 + i 4.190964e+09 ; -7.499715e+08 + i 4.085423e+08 ; 4.482996e+08 + i 2.831787e+09 ; -5.871729e+09 + i -7.168700e+08 ; 4.905184e+08 + i 2.903854e+09 ; -8.837395e+08 + i 4.058336e+08 ; -5.878762e+09 + i -8.085118e+08 ; -1.381548e+09 + i -1.537550e+08 ; -1.517549e+09 + i -1.728262e+08 ; -1.824006e+08 + i -1.101532e+10 ; -2.579337e+08 + i -2.218069e+07 ; 1.019331e+08 + i 1.255084e+07 ; 5.495144e+07 + i 3.698885e+08 ; -1.128045e+08 + i -5.051812e+08 ; 2.541159e+07 + i 2.139274e+07 ; -2.566157e+08 + i 1.547075e+08 ; -3.058357e+08 + i -8.966916e+07 ; 7.539802e+07 + i 2.253230e+08 ; 7.650272e+07 + i 8.169613e+08 ; -2.940136e+07 + i -4.908864e+08 ; 1.198223e+08 + i 1.123494e+08 ; -1.318029e+08 + i 2.131082e+08 ; -2.330853e+08 + i -6.423154e+08 ; 1.311157e+08 + i 3.538499e+08 ; -7.794632e+08 + i 8.149910e+08 ; 2.657277e+08 + i -4.395377e+08 ; 9.085100e+07 + i 1.031468e+08 ; 2.407989e+06 + i 6.613248e+08 ; -1.307210e+08 + i -1.035905e+09 ; -1.056855e+08 + i 1.717450e+08 ; -1.007432e+09 + i 4.261158e+08 ; 4.084670e+08 + i -3.269715e+08 ; 2.227321e+07 + i 1.244647e+08 ; -1.723454e+08 + i 6.287872e+08 ; 
2.305700e+09 + i 3.814505e+09 ; 3.101951e+07 + i -1.272309e+09 ; 9.227706e+08 + i 2.802259e+08 ; -5.678097e+09 + i -5.936944e+08 ; 1.253401e+09 + i -3.482520e+08 ; 8.024267e+08 + i 2.993630e+09 ; 2.230194e+09 + i -1.490363e+09 ; -2.017991e+08 + i 5.089905e+08 ; 2.023979e+08 + i -5.830825e+08 ; -4.013108e+09 + i 4.368034e+09 ; -4.505469e+08 + i -1.251284e+09 ; 6.885265e+08 + i 7.758051e+08 ; -7.201098e+09 + i 1.445553e+10 ; 5.606441e+08 + i -1.133305e+09 ; -5.985214e+08 + i 1.094368e+09 ; -1.456783e+08 + i -1.093521e+10 ; 1.817312e+09 + i 6.687271e+08 ; -2.028963e+09 + i -8.053950e+08 ; 2.191853e+09 + i 3.749601e+09 ; -8.160146e+08 + i 1.567777e+08 ; 2.127536e+08 + i 1.274526e+09 ; -5.765471e+09 + i -6.022084e+08 ; 1.652899e+08 + i -3.595301e+09 ; -1.088761e+09 + i 5.791606e+08 ; 4.128259e+08 + i -1.051513e+09 ; 1.271764e+08 + i -2.712843e+08 ; 1.825441e+08 + i 1.420686e+08 ; 8.630589e+08 + i -4.514085e+08 ; -4.091577e+07 + i -1.948339e+08 ; 4.664729e+07 + i 4.741734e+07 ; -8.945307e+07 + i -1.156066e+09 ; -1.214145e+08 + i -2.219852e+08 ; 1.249020e+08 + i 7.825184e+07 ; 1.081525e+09 + i -6.879575e+08 ; -3.248512e+07 + i -9.500365e+07 ; 2.567904e+07 + i 4.645974e+07 ; 8.950010e+08 + i -6.616361e+08 ; 1.947227e+08 + i -2.541302e+08 ; -1.198513e+08 + i 1.998313e+08 ; 5.940581e+08 + i -3.125613e+08 ; -1.194641e+07 + i -2.050982e+08 ; 4.357475e+07 + i 1.232866e+08 ; 4.153040e+08 + i -1.034214e+09 ; -1.451289e+08 + i -3.166795e+08 ; -4.291658e+07 + i 2.085104e+08 ; 8.702033e+08 + i -4.766396e+08 ; -5.220329e+07 + i -1.117069e+08 ; 7.111616e+07 + i 1.066637e+08 ; 
2.079067e+07 + i -1.225245e+09 ; 2.316488e+09 + i 3.545609e+09 ; 9.209925e+08 + i 2.700212e+08 ; -1.961224e+08 + i 5.571938e+08 ; 2.203622e+09 + i -1.677180e+09 ; 2.011628e+08 + i -5.889713e+08 ; 1.237228e+09 + i -2.827730e+08 ; -5.840358e+09 + i -7.671886e+08 ; 8.004484e+08 + i 2.989668e+09 ; -4.334423e+08 + i -1.170692e+09 ; -4.170996e+09 + i 4.242501e+09 ; 6.910107e+08 + i 7.726332e+08 ; 5.473971e+08 + i -1.091275e+09 ; -7.185981e+09 + i 1.422708e+10 ; -6.061426e+08 + i 1.093265e+09 ; -8.150266e+08 + i 2.069436e+08 ; 2.132266e+09 + i 3.575613e+09 ; 2.142898e+08 + i 1.276079e+09 ; 1.796845e+09 + i 7.322550e+08 ; -2.697350e+08 + i -1.110921e+10 ; -2.046264e+09 + i -8.240339e+08 ; 1.755804e+08 + i -3.511253e+09 ; -5.919581e+09 + i -7.414381e+08 ; -1.102817e+09 + i 5.658913e+08 ; 6.287264e+07 + i -2.835696e+07 ; -2.786298e+08 + i 1.320805e+08 ; 1.999745e+07 + i 3.432642e+07 ; 2.154132e+08 + i 2.139094e+07 ; -1.572733e+08 + i 3.336191e+08 ; 3.662838e+07 + i 4.823941e+07 ; 2.810741e+08 + i -1.309276e+08 ; 8.073574e+06 + i 6.536900e+08 ; 5.526726e+07 + i 8.926270e+07 ; 2.387332e+08 + i 1.161165e+08 ; 9.148356e+07 + i 1.813349e+08 ; 5.294492e+07 + i 5.567759e+07 ; 1.320530e+08 + i -1.587632e+07 ; -1.613351e+08 + i 1.940905e+08 ; 1.196390e+08 + i 1.062657e+08 ; 1.890090e+08 + i 6.261058e+07 ; -1.228359e+08 + i 3.092517e+08 ; 6.529444e+07 + i 2.112025e+07 ; 3.952168e+08 + i -9.252544e+07 ; -1.711323e+08 + i 6.241136e+08 ; 4.883859e+07 + i 9.670148e+07 ; 2.012257e+08 + i 1.563668e+08 ; 3.786691e+07 + i 2.224514e+08 ; 3.940348e+07 + i 2.754012e+07 ; 
-2.067627e+09 + i -1.286548e+09 ; -2.123065e+09 + i -1.243891e+09 ; -3.411040e+08 + i -1.116619e+10 ; -1.936729e+08 + i 3.472170e+09 ; -1.401081e+09 + i 4.601615e+08 ; -5.880170e+09 + i -6.489247e+08 ; -1.388820e+09 + i 3.927420e+08 ; -1.885104e+08 + i 3.549861e+09 ; -5.903784e+09 + i -6.885835e+08 ; 4.385681e+08 + i 1.167403e+09 ; 4.639371e+08 + i 1.246429e+09 ; -4.101005e+09 + i 4.234011e+09 ; -6.246585e+08 + i 1.123829e+09 ; -6.506274e+08 + i 1.177616e+09 ; -7.229133e+09 + i 1.429590e+10 ; 9.992956e+08 + i 2.810725e+08 ; 4.210317e+07 + i 1.328144e+09 ; 2.336831e+09 + i 3.574157e+09 ; 4.255470e+07 + i 1.272313e+09 ; 1.001077e+09 + i 3.441043e+08 ; 2.346582e+09 + i 3.543418e+09 ; 3.718935e+08 + i -5.859837e+08 ; 3.824688e+08 + i -5.300372e+08 ; 2.323976e+09 + i -1.851739e+09 ; -4.208545e+08 + i 1.520965e+08 ; 2.424604e+07 + i 1.357763e+08 ; -1.871876e+08 + i 6.527721e+08 ; -2.422541e+08 + i -1.414659e+08 ; 4.131315e+07 + i 5.319596e+07 ; 4.360653e+07 + i 2.417555e+08 ; -2.798298e+08 + i 1.794236e+08 ; 4.279468e+07 + i 1.307899e+08 ; 5.488602e+06 + i 6.885636e+08 ; -2.881256e+08 + i -8.622727e+07 ; 4.591885e+07 + i 7.984791e+07 ; 9.870248e+07 + i 2.040901e+08 ; -1.732966e+08 + i 5.308324e+07 ; 1.099403e+08 + i 1.530597e+08 ; -1.589427e+08 + i 1.961246e+08 ; -2.222742e+08 + i -5.161073e+07 ; 7.466470e+07 + i 4.926649e+07 ; -1.323557e+08 + i 3.078143e+08 ; -7.856718e+07 + i 6.086970e+07 ; 3.011152e+07 + i 5.376480e+07 ; -2.815030e+08 + i 1.408581e+08 ; -2.568085e+08 + i 5.837772e+06 ; 3.386267e+07 + i 6.401577e+07 ; -1.672373e+08 + i 3.399760e+08 ; 
-5.659547e+09 + i -6.077472e+08 ; -1.262928e+09 + i 4.328388e+08 ; -2.751673e+08 + i -2.898671e+09 ; 2.567734e+09 + i 3.572581e+09 ; 1.381462e+07 + i 1.092012e+09 ; -1.125346e+09 + i -3.361091e+08 ; -4.001053e+09 + i 4.340087e+09 ; 4.707466e+08 + i 1.152341e+09 ; -5.842904e+08 + i -7.880737e+08 ; 2.439644e+09 + i -1.825786e+09 ; 1.407427e+08 + i -5.346667e+08 ; -2.128669e+08 + i 6.358556e+08 ; -1.797426e+08 + i -1.091527e+10 ; -1.860487e+09 + i -6.319047e+08 ; 2.297595e+09 + i 9.199112e+08 ; -6.895327e+09 + i 1.440515e+10 ; -4.513723e+08 + i 9.608698e+08 ; 2.366856e+08 + i -8.771271e+08 ; -5.759489e+09 + i -5.921987e+08 ; -3.619951e+07 + i 3.322786e+09 ; 1.205020e+09 + i -6.008289e+08 ; 2.503542e+09 + i 3.540500e+09 ; 7.357540e+08 + i -2.075289e+08 ; -1.556718e+08 + i -1.071150e+09 ; -4.503481e+08 + i -8.744912e+08 ; 5.655038e+08 + i -8.315256e+07 ; 1.076462e+08 + i 9.208303e+08 ; 4.018201e+08 + i -1.021466e+09 ; 1.963616e+08 + i -4.028885e+08 ; 1.685876e+08 + i 1.593943e+08 ; -2.106140e+08 + i -1.878889e+08 ; -1.947250e+08 + i -4.930187e+08 ; 2.108311e+08 + i 4.789548e+08 ; -1.134048e+08 + i -1.146119e+09 ; -9.474766e+07 + i 2.547962e+07 ; 1.113550e+08 + i 4.407109e+07 ; -7.935225e+07 + i -2.069031e+09 ; 6.833805e+08 + i 9.078478e+07 ; -5.192727e+08 + i 1.269399e+08 ; 8.889156e+08 + i -6.357936e+08 ; 3.108067e+08 + i -3.601689e+08 ; -2.049698e+08 + i 3.685092e+08 ; -4.123582e+08 + i -8.765653e+08 ; -5.532753e+07 + i -9.868214e+08 ; -4.307432e+08 + i 1.871414e+08 ; 3.921235e+08 + i -1.032774e+09 ; -1.673060e+08 + i -1.070277e+08 ; -1.157086e+08 + i 3.892528e+08 ; 
2.093442e+08 + i -3.903300e+08 ; 2.232384e+09 + i -1.687039e+09 ; 2.963730e+08 + i -6.277511e+08 ; 2.440310e+08 + i 1.004192e+09 ; 2.237116e+09 + i 3.601074e+09 ; 8.951236e+08 + i 9.013499e+07 ; 6.142531e+08 + i 9.786076e+08 ; -4.155963e+09 + i 4.187482e+09 ; 5.932736e+08 + i 6.753922e+08 ; -8.773123e+08 + i 4.613938e+08 ; -5.787974e+09 + i -6.462093e+08 ; 5.949567e+08 + i 2.798082e+09 ; 7.725958e+08 + i -1.887746e+08 ; 2.167141e+09 + i 3.616329e+09 ; 2.265902e+08 + i 1.280601e+09 ; -1.681716e+08 + i 9.623481e+08 ; -7.246557e+09 + i 1.427158e+10 ; -4.499837e+08 + i 1.105054e+09 ; 5.539651e+08 + i 2.981428e+09 ; -5.886526e+09 + i -7.372326e+08 ; -1.229186e+09 + i 6.147947e+08 ; -1.443522e+09 + i -2.109001e+08 ; -2.524731e+08 + i -1.097389e+10 ; -1.941825e+09 + i -5.878990e+08 ; -2.616305e+08 + i -1.775490e+07 ; 6.014370e+07 + i 3.604399e+08 ; 1.269748e+08 + i 1.163202e+07 ; -1.131700e+08 + i -5.160824e+08 ; -2.601009e+08 + i 1.500966e+08 ; 2.329429e+07 + i 2.202795e+07 ; -2.544156e+08 + i -6.570245e+08 ; -7.623213e+08 + i 8.168228e+08 ; 1.377449e+08 + i 3.486884e+08 ; 2.866386e+08 + i -4.553651e+08 ; 9.988906e+06 + i 6.591476e+08 ; 8.665400e+07 + i 1.049923e+08 ; -2.889916e+08 + i -8.549291e+07 ; 7.486759e+07 + i 8.054825e+08 ; 6.581548e+07 + i 2.683298e+08 ; -3.530488e+07 + i -4.876308e+08 ; -1.408705e+08 + i 2.122767e+08 ; 1.328838e+08 + i 1.281284e+08 ; -1.204984e+08 + i -1.063692e+09 ; -1.008667e+09 + i 4.320932e+08 ; -1.132267e+08 + i 1.834722e+08 ; 4.243899e+08 + i -3.237836e+08 ; -1.722670e+08 + i 6.337076e+08 ; 3.212614e+07 + i 1.277862e+08 ; 
-4.652752e+08 + i -3.037177e+09 ; -1.335112e+09 + i 6.418669e+08 ; -5.794436e+09 + i -6.979244e+08 ; 2.040194e+09 + i 8.074970e+08 ; -2.109625e+09 + i -8.901543e+08 ; -3.187029e+08 + i -1.098090e+10 ; -6.267209e+08 + i -9.884450e+08 ; 4.694524e+08 + i 1.150201e+09 ; -4.085617e+09 + i 4.180524e+09 ; 1.037729e+09 + i -7.026225e+08 ; 9.180033e+06 + i 3.354411e+09 ; -5.815052e+09 + i -5.822539e+08 ; -1.226316e+09 + i -3.726302e+08 ; 1.406493e+08 + i 1.227668e+09 ; 2.347062e+09 + i 3.572001e+09 ; 1.706111e+08 + i -9.289219e+08 ; -4.938586e+08 + i 1.152291e+09 ; -7.213141e+09 + i 1.437207e+10 ; -3.978313e+08 + i 5.227247e+08 ; 3.753444e+08 + i -6.549366e+08 ; 2.283259e+09 + i -1.874877e+09 ; -3.182720e+08 + i -1.026421e+09 ; 1.033074e+09 + i 1.497712e+08 ; 2.333295e+09 + i 3.554134e+09 ; 1.085718e+08 + i 1.009176e+09 ; -1.774119e+08 + i 1.415987e+08 ; -1.052854e+09 + i 3.948829e+08 ; -4.217516e+08 + i 2.312990e+08 ; 5.858028e+06 + i 1.411476e+08 ; -1.920138e+08 + i 6.379766e+08 ; 2.427846e+08 + i 5.983114e+08 ; 1.098465e+08 + i 3.947599e+08 ; -8.034742e+08 + i 8.213083e+08 ; -2.984506e+08 + i 3.792409e+08 ; 8.041433e+07 + i 1.113507e+08 ; -6.260753e+06 + i 6.758310e+08 ; 2.195482e+08 + i -6.210442e+07 ; 3.359105e+07 + i 3.090485e+08 ; 7.902751e+07 + i 7.995748e+08 ; 8.542795e+07 + i 4.013475e+08 ; 1.303190e+08 + i 1.659620e+08 ; -1.484810e+08 + i 1.787178e+08 ; 2.086047e+08 + i -5.517602e+07 ; 1.387354e+08 + i 1.775574e+07 ; 5.718854e+07 + i 3.464151e+08 ; 1.390745e+08 + i 4.308565e+08 ; 1.132258e+07 + i 1.732413e+07 ; -2.801939e+08 + i 1.203779e+08 ; 
2.253256e+09 + i -1.481143e+09 ; 2.817875e+08 + i -5.726871e+08 ; 2.891093e+08 + i -5.624028e+08 ; -3.940971e+09 + i 4.298541e+09 ; 5.155152e+08 + i 8.586389e+08 ; 5.210135e+08 + i 8.680917e+08 ; 2.223863e+09 + i 3.780067e+09 ; 1.727632e+08 + i 1.151501e+09 ; 9.107086e+08 + i 2.910693e+07 ; -5.692513e+09 + i -5.286915e+08 ; -1.181365e+09 + i 5.808801e+08 ; 6.078692e+08 + i 2.873151e+09 ; 2.219158e+09 + i 3.804961e+09 ; 9.057164e+08 + i 2.914464e+07 ; 1.710203e+08 + i 1.166294e+09 ; -5.690787e+09 + i -5.163417e+08 ; 5.989210e+08 + i 2.863404e+09 ; -1.192772e+09 + i 5.909298e+08 ; -7.264108e+09 + i 1.438466e+10 ; -4.927923e+08 + i 1.055590e+09 ; -4.993549e+08 + i 1.048369e+09 ; -2.113181e+08 + i -1.085013e+10 ; -1.843850e+09 + i -5.663662e+08 ; -1.842282e+09 + i -5.787571e+08 ; -8.505639e+07 + i -1.185222e+09 ; 9.322740e+07 + i 1.012103e+08 ; 9.427398e+07 + i 1.031016e+08 ; 1.094251e+09 + i -6.747955e+08 ; 1.659164e+07 + i 5.410939e+07 ; 1.814892e+07 + i 5.480452e+07 ; 4.238719e+08 + i -1.043685e+09 ; -7.085808e+07 + i 1.929506e+08 ; 1.449848e+08 + i 1.709849e+08 ; 8.790217e+08 + i -4.611499e+08 ; 4.435751e+07 + i 1.151363e+08 ; 3.981095e+07 + i 6.042849e+07 ; 4.266250e+08 + i -1.045543e+09 ; 1.418574e+08 + i 1.692601e+08 ; -7.171430e+07 + i 1.962016e+08 ; 8.758693e+08 + i -4.658838e+08 ; 3.724732e+07 + i 6.116329e+07 ; 4.481363e+07 + i 1.166549e+08 ; 9.081353e+08 + i -6.508572e+08 ; -1.340032e+08 + i 1.950325e+08 ; -1.341345e+08 + i 1.937633e+08 ; 6.060001e+08 + i -3.225677e+08 ; 2.294815e+07 + i 1.322386e+08 ; 2.298279e+07 + i 1.313748e+08 ; 
-1.350584e+09 + i 5.040348e+08 ; -5.850925e+09 + i -7.282402e+08 ; -3.789739e+08 + i -2.925854e+09 ; 4.419116e+08 + i 1.140014e+09 ; -4.124873e+09 + i 4.192839e+09 ; -5.738287e+08 + i -9.772239e+08 ; 4.627389e+07 + i 1.166972e+09 ; 2.312488e+09 + i 3.556603e+09 ; -1.148124e+09 + i -2.480858e+08 ; 3.334642e+08 + i -6.818218e+08 ; 2.280610e+09 + i -1.813567e+09 ; -3.106075e+08 + i 5.722523e+08 ; -2.037710e+09 + i -9.765840e+08 ; -3.490697e+08 + i -1.108046e+10 ; 2.140340e+09 + i 8.102072e+08 ; -9.046992e+07 + i 3.256484e+09 ; -5.822292e+09 + i -6.521968e+08 ; 1.181668e+09 + i -6.272544e+08 ; -5.161536e+08 + i 1.067878e+09 ; -7.183702e+09 + i 1.429353e+10 ; 2.870222e+08 + i -9.609473e+08 ; 9.999166e+08 + i 4.669943e+07 ; 2.347407e+09 + i 3.555112e+09 ; -1.627917e+08 + i -1.030566e+09 ; -2.358986e+08 + i 1.672051e+08 ; 3.015382e+06 + i 6.840331e+08 ; -5.761397e+07 + i -9.805636e+07 ; -2.447880e+08 + i -6.462357e+07 ; 9.515106e+07 + i 2.003716e+08 ; -5.415169e+07 + i -5.791151e+07 ; -4.909142e+07 + i 5.581645e+07 ; -2.764435e+08 + i 1.481100e+08 ; -3.222354e+07 + i -3.175333e+07 ; -2.164169e+08 + i 1.718538e+07 ; -1.629070e+08 + i 3.403059e+08 ; -4.090625e+07 + i -4.449111e+07 ; -3.617287e+08 + i 1.395203e+08 ; -1.814742e+08 + i 6.540375e+08 ; -5.469996e+07 + i -1.041921e+08 ; -2.091250e+08 + i -1.139474e+08 ; 4.172914e+07 + i 2.432829e+08 ; -4.297196e+07 + i -3.074235e+07 ; -1.355411e+08 + i 4.932370e+07 ; -1.584253e+08 + i 2.034968e+08 ; -1.163950e+08 + i -1.014601e+08 ; -1.908022e+08 + i -3.376109e+07 ; -1.301563e+08 + i 3.135108e+08 ; -6.710611e+07 + i -2.264595e+07 ; 
-1.355728e+09 + i 5.073574e+08 ; -3.864234e+08 + i -2.922031e+09 ; -5.836117e+09 + i -7.253390e+08 ; 4.463711e+08 + i 1.138264e+09 ; -5.717275e+08 + i -9.675432e+08 ; -4.126436e+09 + i 4.158980e+09 ; -2.040339e+09 + i -9.850149e+08 ; 2.135037e+09 + i 8.213229e+08 ; -3.156953e+08 + i -1.108687e+10 ; -8.999095e+07 + i 3.254955e+09 ; 1.192475e+09 + i -6.211826e+08 ; -5.835023e+09 + i -6.826176e+08 ; 4.222230e+07 + i 1.169311e+09 ; -1.153512e+09 + i -2.337899e+08 ; 2.367226e+09 + i 3.534772e+09 ; 3.382390e+08 + i -6.718270e+08 ; -3.006513e+08 + i 5.884554e+08 ; 2.293972e+09 + i -1.874686e+09 ; -5.246827e+08 + i 1.062856e+09 ; 2.891845e+08 + i -9.625834e+08 ; -7.186937e+09 + i 1.431444e+10 ; 1.000842e+09 + i 4.882075e+07 ; -1.558186e+08 + i -1.028439e+09 ; 2.364019e+09 + i 3.563813e+09 ; -2.370517e+08 + i 1.662410e+08 ; -5.783763e+07 + i -9.571104e+07 ; 6.687305e+06 + i 6.830258e+08 ; -2.452736e+08 + i -6.557290e+07 ; -5.327319e+07 + i -5.752690e+07 ; 9.710699e+07 + i 2.017515e+08 ; -3.614089e+08 + i 1.384092e+08 ; -5.504689e+07 + i -1.037313e+08 ; -1.797175e+08 + i 6.520950e+08 ; -2.087265e+08 + i -1.160807e+08 ; -4.368827e+07 + i -2.988643e+07 ; 4.559353e+07 + i 2.430425e+08 ; -5.080894e+07 + i 5.563621e+07 ; -3.089073e+07 + i -3.057670e+07 ; -2.788566e+08 + i 1.450623e+08 ; -2.168007e+08 + i 1.684847e+07 ; -3.998740e+07 + i -4.517732e+07 ; -1.642477e+08 + i 3.395612e+08 ; -1.346135e+08 + i 4.886916e+07 ; -1.175730e+08 + i -1.018289e+08 ; -1.543401e+08 + i 2.005828e+08 ; -1.907168e+08 + i -3.457506e+07 ; -6.817688e+07 + i -2.249587e+07 ; -1.275271e+08 + i 3.087169e+08 ; 
-3.983686e+09 + i 4.281071e+09 ; -5.283157e+08 + i -9.199990e+08 ; -5.261029e+08 + i -9.293425e+08 ; 2.399487e+09 + i -1.806640e+09 ; -2.688213e+08 + i 6.816338e+08 ; -2.764066e+08 + i 6.701993e+08 ; -5.652920e+09 + i -5.403326e+08 ; 1.232705e+09 + i -6.982257e+08 ; -3.021321e+08 + i -2.801310e+09 ; 2.557823e+09 + i 3.546990e+09 ; -9.566044e+07 + i -9.274397e+08 ; -9.997287e+08 + i -8.314613e+07 ; -5.654177e+09 + i -5.405885e+08 ; -2.976397e+08 + i -2.793165e+09 ; 1.245898e+09 + i -7.051852e+08 ; 2.554955e+09 + i 3.561744e+09 ; -9.932952e+08 + i -8.408641e+07 ; -9.427699e+07 + i -9.377487e+08 ; -2.206066e+08 + i -1.082655e+10 ; 2.057675e+09 + i 6.810789e+08 ; 2.053914e+09 + i 6.899168e+08 ; -6.887509e+09 + i 1.436135e+10 ; 3.278249e+08 + i -8.401534e+08 ; 3.308285e+08 + i -8.332852e+08 ; -2.424042e+08 + i -1.663272e+08 ; 2.291750e+08 + i 4.613471e+08 ; 2.274415e+08 + i 4.624930e+08 ; -1.254535e+08 + i -1.151536e+09 ; 1.174572e+08 + i 1.700242e+07 ; 1.187152e+08 + i 2.051169e+07 ; -4.402166e+08 + i -8.702133e+08 ; -4.129118e+08 + i 1.493255e+08 ; 1.378927e+08 + i 8.994626e+08 ; 3.838874e+08 + i -1.028489e+09 ; -1.121375e+08 + i 3.723341e+08 ; 1.820782e+08 + i 1.370629e+08 ; -4.468392e+08 + i -8.777541e+08 ; 1.377322e+08 + i 8.978999e+08 ; -4.176253e+08 + i 1.514672e+08 ; 3.819525e+08 + i -1.033094e+09 ; 1.779765e+08 + i 1.362868e+08 ; -1.135783e+08 + i 3.746721e+08 ; -6.197351e+07 + i -2.079066e+09 ; -5.027327e+08 + i 8.374493e+07 ; -5.033161e+08 + i 8.010560e+07 ; 8.799285e+08 + i -6.415347e+08 ; -1.989787e+08 + i 3.582937e+08 ; -1.994079e+08 + i 3.549798e+08 ; 
-6.071432e+08 + i -1.027728e+09 ; -4.138022e+09 + i 4.157880e+09 ; -5.504648e+08 + i -9.556034e+08 ; 1.065379e+09 + i -7.338058e+08 ; -5.775642e+09 + i -6.192251e+08 ; -3.346367e+08 + i -2.826790e+09 ; -3.994560e+08 + i 6.136219e+08 ; 2.234322e+09 + i -1.794016e+09 ; -3.281731e+08 + i 6.504041e+08 ; -1.981270e+08 + i -9.953104e+08 ; 2.311550e+09 + i 3.594995e+09 ; -1.060937e+09 + i -1.077384e+08 ; -3.658657e+08 + i -2.899353e+09 ; -5.768592e+09 + i -7.042416e+08 ; 1.187304e+09 + i -7.266956e+08 ; 1.877249e+09 + i 6.241342e+08 ; -3.126030e+08 + i -1.093791e+10 ; 1.987733e+09 + i 6.495518e+08 ; -1.122884e+09 + i -1.554996e+08 ; 2.348418e+09 + i 3.546176e+09 ; -1.379756e+08 + i -1.010106e+09 ; 2.247284e+08 + i -9.134022e+08 ; -7.185366e+09 + i 1.433733e+10 ; 2.768433e+08 + i -9.227593e+08 ; 2.199158e+08 + i 6.213015e+08 ; -8.007130e+08 + i 8.153376e+08 ; -1.369652e+08 + i -3.360832e+08 ; -3.247385e+08 + i 3.891305e+08 ; -8.039596e+06 + i 6.707680e+08 ; -8.368260e+07 + i -9.823037e+07 ; 1.879803e+08 + i 1.913626e+06 ; 5.049672e+07 + i 3.601360e+08 ; -1.434788e+08 + i -3.707310e+06 ; 8.290963e+07 + i 4.400344e+08 ; -2.738700e+08 + i 1.311719e+08 ; -2.689161e+07 + i -1.578093e+07 ; 6.269562e+07 + i 1.009310e+09 ; -1.048711e+09 + i 4.136112e+08 ; 1.154277e+08 + i -1.758248e+08 ; -4.465438e+08 + i 2.474664e+08 ; -1.909222e+08 + i 6.411762e+08 ; -3.335249e+07 + i -1.240907e+08 ; 1.931224e+08 + i 1.505356e+07 ; 7.408480e+07 + i 8.013848e+08 ; -7.244120e+07 + i -2.592416e+08 ; 2.898953e+07 + i 4.129582e+08 ; -1.505460e+08 + i 1.873593e+08 ; -1.360763e+08 + i -1.243517e+08 ; 
