3.894428e-01 + i 2.459893e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.917537e-01 + i -1.175411e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.584662e-02 + i -1.041024e-02 ; 7.735100e-02 + i -3.116380e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.584662e-02 + i -1.041024e-02 ; -0.000000e+00 + i 0.000000e+00 ; 7.735100e-02 + i -3.116380e-02 ; -5.150438e-02 + i 2.075356e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.157340e-05 + i -1.772253e-05 ; 2.807392e-02 + i -1.131065e-02 ; 2.807392e-02 + i -1.131065e-02 ; 1.438914e-02 + i -5.794161e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 5.657690e-03 + i -2.276363e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 9.807681e-03 + i -3.948344e-03 ; 5.759158e-03 + i -2.320296e-03 ; -0.000000e+00 + i 0.000000e+00 ; 4.589739e-03 + i -1.846099e-03 ; 1.904953e-03 + i -7.674820e-04 ; -0.000000e+00 + i 0.000000e+00 ; 9.807681e-03 + i -3.948344e-03 ; -0.000000e+00 + i 0.000000e+00 ; 5.759158e-03 + i -2.320296e-03 ; 4.589739e-03 + i -1.846099e-03 ; -0.000000e+00 + i 0.000000e+00 ; 1.904953e-03 + i -7.674820e-04 ; 6.890599e-03 + i -2.773087e-03 ; 4.355040e-03 + i -1.754593e-03 ; 4.355040e-03 + i -1.754593e-03 ; 3.760770e-03 + i -1.512117e-03 ; 1.619818e-03 + i -6.526043e-04 ; 1.619818e-03 + i -6.526043e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; 3.894428e-01 + i 2.459893e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.917537e-01 + i -1.175411e-01 ; -0.000000e+00 + i 0.000000e+00 ; 7.735100e-02 + i -3.116380e-02 ; 2.584662e-02 + i -1.041024e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.150438e-02 + i 2.075356e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.584662e-02 + i -1.041024e-02 ; 7.735100e-02 + i -3.116380e-02 ; 2.807392e-02 + i -1.131065e-02 ; 5.157340e-05 + i -1.772253e-05 ; 2.807392e-02 + i -1.131065e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.145000e-03 + i 2.881689e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.792243e-03 + i 1.128011e-03 ; -0.000000e+00 + i -0.000000e+00 ; 5.759158e-03 + i -2.320296e-03 ; -3.802249e-03 + i 1.534934e-03 ; -0.000000e+00 + i 0.000000e+00 ; 1.904953e-03 + i -7.674820e-04 ; -2.004090e-03 + i 8.104734e-04 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.912185e-03 + i 2.385002e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.514864e-03 + i 1.016258e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.355040e-03 + i -1.754593e-03 ; -3.401145e-03 + i 1.373333e-03 ; 1.595520e-03 + i -6.428159e-04 ; 1.619818e-03 + i -6.526043e-04 ; -1.846087e-03 + i 7.468155e-04 ; 4.343208e-04 + i -1.749824e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.894428e-01 + i 2.459893e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.150438e-02 + i 2.075356e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.917537e-01 + i -1.175411e-01 ; 7.735100e-02 + i -3.116380e-02 ; -0.000000e+00 + i 0.000000e+00 ; 2.584662e-02 + i -1.041024e-02 ; -0.000000e+00 + i 0.000000e+00 ; 7.735100e-02 + i -3.116380e-02 ; 2.584662e-02 + i -1.041024e-02 ; 2.807392e-02 + i -1.131065e-02 ; 2.807392e-02 + i -1.131065e-02 ; 5.157340e-05 + i -1.772253e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.145000e-03 + i 2.881689e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.792243e-03 + i 1.128011e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.912185e-03 + i 2.385002e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.514864e-03 + i 1.016258e-03 ; 5.759158e-03 + i -2.320296e-03 ; -0.000000e+00 + i 0.000000e+00 ; -3.802249e-03 + i 1.534934e-03 ; 1.904953e-03 + i -7.674820e-04 ; -0.000000e+00 + i 0.000000e+00 ; -2.004090e-03 + i 8.104734e-04 ; 4.355040e-03 + i -1.754593e-03 ; 1.595520e-03 + i -6.428159e-04 ; -3.401145e-03 + i 1.373333e-03 ; 1.619818e-03 + i -6.526043e-04 ; 4.343208e-04 + i -1.749824e-04 ; -1.846087e-03 + i 7.468155e-04 ; 
2.917537e-01 + i -1.175411e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.894428e-01 + i 2.459893e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.584662e-02 + i -1.041024e-02 ; -7.735100e-02 + i 3.116380e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.584662e-02 + i -1.041024e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.735100e-02 + i 3.116380e-02 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.157340e-05 + i -1.772253e-05 ; -2.807392e-02 + i 1.131065e-02 ; -2.807392e-02 + i 1.131065e-02 ; -5.150438e-02 + i 2.075356e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.644409e-02 + i -2.273760e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.438914e-02 + i -5.794161e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.288600e-02 + i -9.217442e-03 ; 2.378547e-02 + i -9.582885e-03 ; -0.000000e+00 + i 0.000000e+00 ; 9.807681e-03 + i -3.948344e-03 ; 5.759158e-03 + i -2.320296e-03 ; -0.000000e+00 + i 0.000000e+00 ; 2.288600e-02 + i -9.217442e-03 ; -0.000000e+00 + i 0.000000e+00 ; 2.378547e-02 + i -9.582885e-03 ; 9.807681e-03 + i -3.948344e-03 ; -0.000000e+00 + i 0.000000e+00 ; 5.759158e-03 + i -2.320296e-03 ; 1.048132e-02 + i -4.219743e-03 ; 1.360285e-02 + i -5.480425e-03 ; 1.360285e-02 + i -5.480425e-03 ; 6.890599e-03 + i -2.773087e-03 ; 4.355040e-03 + i -1.754593e-03 ; 4.355040e-03 + i -1.754593e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.894428e-01 + i 2.459893e-01 ; -0.000000e+00 + i -0.000000e+00 ; -7.735100e-02 + i 3.116380e-02 ; 2.584662e-02 + i -1.041024e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.917537e-01 + i -1.175411e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.150438e-02 + i 2.075356e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.807392e-02 + i 1.131065e-02 ; 5.157340e-05 + i -1.772253e-05 ; 2.807392e-02 + i -1.131065e-02 ; -0.000000e+00 + i 0.000000e+00 ; 2.584662e-02 + i -1.041024e-02 ; 7.735100e-02 + i -3.116380e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.814458e-02 + i 1.134217e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.145000e-03 + i 2.881689e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.378547e-02 + i -9.582885e-03 ; -4.499514e-03 + i 1.815856e-03 ; -0.000000e+00 + i 0.000000e+00 ; 5.759158e-03 + i -2.320296e-03 ; -3.802249e-03 + i 1.534934e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.825198e-02 + i 7.356563e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.912185e-03 + i 2.385002e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.360285e-02 + i -5.480425e-03 ; -5.180380e-03 + i 2.090168e-03 ; 7.864998e-03 + i -3.168714e-03 ; 4.355040e-03 + i -1.754593e-03 ; -3.401145e-03 + i 1.373333e-03 ; 1.595520e-03 + i -6.428159e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.894428e-01 + i 2.459893e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.150438e-02 + i 2.075356e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.457439e-01 + i 5.872155e-02 ; -7.735100e-02 + i 3.116380e-02 ; -0.000000e+00 + i 0.000000e+00 ; 2.584662e-02 + i -1.041024e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.917537e-01 + i -1.175411e-01 ; -2.807392e-02 + i 1.131065e-02 ; 2.807392e-02 + i -1.131065e-02 ; 5.157340e-05 + i -1.772253e-05 ; -0.000000e+00 + i 0.000000e+00 ; 7.735100e-02 + i -3.116380e-02 ; 2.584662e-02 + i -1.041024e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.814458e-02 + i 1.134217e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.145000e-03 + i 2.881689e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.825198e-02 + i 7.356563e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.912185e-03 + i 2.385002e-03 ; 2.378547e-02 + i -9.582885e-03 ; -0.000000e+00 + i 0.000000e+00 ; -4.499514e-03 + i 1.815856e-03 ; 5.759158e-03 + i -2.320296e-03 ; -0.000000e+00 + i 0.000000e+00 ; -3.802249e-03 + i 1.534934e-03 ; 1.360285e-02 + i -5.480425e-03 ; 7.864998e-03 + i -3.168714e-03 ; -5.180380e-03 + i 2.090168e-03 ; 4.355040e-03 + i -1.754593e-03 ; 1.595520e-03 + i -6.428159e-04 ; -3.401145e-03 + i 1.373333e-03 ; 
-1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.584662e-02 + i -1.041024e-02 ; -7.735100e-02 + i 3.116380e-02 ; -0.000000e+00 + i 0.000000e+00 ; 3.894428e-01 + i 2.459893e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.917537e-01 + i -1.175411e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -5.150438e-02 + i 2.075356e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.157340e-05 + i -1.772253e-05 ; -2.807392e-02 + i 1.131065e-02 ; 2.807392e-02 + i -1.131065e-02 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.584662e-02 + i -1.041024e-02 ; -0.000000e+00 + i 0.000000e+00 ; 7.735100e-02 + i -3.116380e-02 ; 9.807681e-03 + i -3.948344e-03 ; -5.759158e-03 + i 2.320296e-03 ; -0.000000e+00 + i 0.000000e+00 ; 4.589739e-03 + i -1.846099e-03 ; -1.904953e-03 + i 7.674820e-04 ; -0.000000e+00 + i 0.000000e+00 ; 1.438914e-02 + i -5.794161e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 5.657690e-03 + i -2.276363e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 6.890599e-03 + i -2.773087e-03 ; -4.355040e-03 + i 1.754593e-03 ; 4.355040e-03 + i -1.754593e-03 ; 3.760770e-03 + i -1.512117e-03 ; -1.619818e-03 + i 6.526043e-04 ; 1.619818e-03 + i -6.526043e-04 ; 9.807681e-03 + i -3.948344e-03 ; -0.000000e+00 + i 0.000000e+00 ; 5.759158e-03 + i -2.320296e-03 ; 4.589739e-03 + i -1.846099e-03 ; -0.000000e+00 + i 0.000000e+00 ; 1.904953e-03 + i -7.674820e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; 2.917537e-01 + i -1.175411e-01 ; -0.000000e+00 + i -0.000000e+00 ; -7.735100e-02 + i 3.116380e-02 ; 2.584662e-02 + i -1.041024e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.894428e-01 + i 2.459893e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.584662e-02 + i -1.041024e-02 ; -7.735100e-02 + i 3.116380e-02 ; -2.807392e-02 + i 1.131065e-02 ; 5.157340e-05 + i -1.772253e-05 ; -2.807392e-02 + i 1.131065e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.150438e-02 + i 2.075356e-02 ; -0.000000e+00 + i -0.000000e+00 ; -5.759158e-03 + i 2.320296e-03 ; -3.802249e-03 + i 1.534934e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.904953e-03 + i 7.674820e-04 ; -2.004090e-03 + i 8.104734e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.145000e-03 + i 2.881689e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.792243e-03 + i 1.128011e-03 ; -0.000000e+00 + i -0.000000e+00 ; -4.355040e-03 + i 1.754593e-03 ; -3.401145e-03 + i 1.373333e-03 ; -1.595520e-03 + i 6.428159e-04 ; -1.619818e-03 + i 6.526043e-04 ; -1.846087e-03 + i 7.468155e-04 ; -4.343208e-04 + i 1.749824e-04 ; -0.000000e+00 + i -0.000000e+00 ; -5.912185e-03 + i 2.385002e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.514864e-03 + i 1.016258e-03 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.150438e-02 + i 2.075356e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.894428e-01 + i 2.459893e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i 0.000000e+00 ; -7.735100e-02 + i 3.116380e-02 ; 2.584662e-02 + i -1.041024e-02 ; 2.807392e-02 + i -1.131065e-02 ; -2.807392e-02 + i 1.131065e-02 ; 5.157340e-05 + i -1.772253e-05 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.917537e-01 + i -1.175411e-01 ; 7.735100e-02 + i -3.116380e-02 ; -0.000000e+00 + i 0.000000e+00 ; 2.584662e-02 + i -1.041024e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.912185e-03 + i 2.385002e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.514864e-03 + i 1.016258e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.145000e-03 + i 2.881689e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.792243e-03 + i 1.128011e-03 ; 4.355040e-03 + i -1.754593e-03 ; -1.595520e-03 + i 6.428159e-04 ; -3.401145e-03 + i 1.373333e-03 ; 1.619818e-03 + i -6.526043e-04 ; -4.343208e-04 + i 1.749824e-04 ; -1.846087e-03 + i 7.468155e-04 ; 5.759158e-03 + i -2.320296e-03 ; -0.000000e+00 + i 0.000000e+00 ; -3.802249e-03 + i 1.534934e-03 ; 1.904953e-03 + i -7.674820e-04 ; -0.000000e+00 + i 0.000000e+00 ; -2.004090e-03 + i 8.104734e-04 ; 
2.584662e-02 + i -1.041024e-02 ; 7.735100e-02 + i -3.116380e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.917537e-01 + i -1.175411e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.894428e-01 + i 2.459893e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.157340e-05 + i -1.772253e-05 ; 2.807392e-02 + i -1.131065e-02 ; -2.807392e-02 + i 1.131065e-02 ; -5.150438e-02 + i 2.075356e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.584662e-02 + i -1.041024e-02 ; -0.000000e+00 + i -0.000000e+00 ; -7.735100e-02 + i 3.116380e-02 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.288600e-02 + i -9.217442e-03 ; -2.378547e-02 + i 9.582885e-03 ; -0.000000e+00 + i 0.000000e+00 ; 9.807681e-03 + i -3.948344e-03 ; -5.759158e-03 + i 2.320296e-03 ; -0.000000e+00 + i 0.000000e+00 ; 5.644409e-02 + i -2.273760e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.438914e-02 + i -5.794161e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.048132e-02 + i -4.219743e-03 ; -1.360285e-02 + i 5.480425e-03 ; 1.360285e-02 + i -5.480425e-03 ; 6.890599e-03 + i -2.773087e-03 ; -4.355040e-03 + i 1.754593e-03 ; 4.355040e-03 + i -1.754593e-03 ; 2.288600e-02 + i -9.217442e-03 ; -0.000000e+00 + i 0.000000e+00 ; 2.378547e-02 + i -9.582885e-03 ; 9.807681e-03 + i -3.948344e-03 ; -0.000000e+00 + i 0.000000e+00 ; 5.759158e-03 + i -2.320296e-03 ; 
7.735100e-02 + i -3.116380e-02 ; 2.584662e-02 + i -1.041024e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.917537e-01 + i -1.175411e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.894428e-01 + i 2.459893e-01 ; -0.000000e+00 + i -0.000000e+00 ; 2.807392e-02 + i -1.131065e-02 ; 5.157340e-05 + i -1.772253e-05 ; -2.807392e-02 + i 1.131065e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.584662e-02 + i -1.041024e-02 ; -7.735100e-02 + i 3.116380e-02 ; -0.000000e+00 + i -0.000000e+00 ; -5.150438e-02 + i 2.075356e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.457439e-01 + i 5.872155e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.378547e-02 + i 9.582885e-03 ; -4.499514e-03 + i 1.815856e-03 ; -0.000000e+00 + i -0.000000e+00 ; -5.759158e-03 + i 2.320296e-03 ; -3.802249e-03 + i 1.534934e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.814458e-02 + i 1.134217e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -7.145000e-03 + i 2.881689e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.360285e-02 + i 5.480425e-03 ; -5.180380e-03 + i 2.090168e-03 ; -7.864998e-03 + i 3.168714e-03 ; -4.355040e-03 + i 1.754593e-03 ; -3.401145e-03 + i 1.373333e-03 ; -1.595520e-03 + i 6.428159e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.825198e-02 + i 7.356563e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.912185e-03 + i 2.385002e-03 ; -0.000000e+00 + i -0.000000e+00 ; 
