-4.639477e+10 + i 2.783578e+10 ; 4.161689e+08 + i -1.087019e+08 ; 4.160553e+08 + i -1.086806e+08 ; 1.959368e+10 + i -2.069757e+10 ; 1.021485e+09 + i 1.313885e+09 ; 1.021552e+09 + i 1.313684e+09 ; -8.097540e+09 + i 1.126477e+10 ; -6.147680e+08 + i -6.369341e+08 ; 2.617554e+08 + i -1.844121e+08 ; -2.243544e+09 + i -6.172290e+09 ; 5.469750e+09 + i -5.714480e+09 ; 6.929569e+08 + i 4.311519e+08 ; -8.097676e+09 + i 1.126482e+10 ; 2.621678e+08 + i -1.844799e+08 ; -6.147139e+08 + i -6.368378e+08 ; -2.243732e+09 + i -6.172163e+09 ; 6.936925e+08 + i 4.315766e+08 ; 5.469744e+09 + i -5.714413e+09 ; -1.116010e+09 + i 5.284815e+09 ; -4.632646e+08 + i -3.441511e+08 ; -4.633057e+08 + i -3.439346e+08 ; -3.310241e+09 + i -1.507481e+09 ; 1.531728e+09 + i -2.590625e+09 ; 1.531685e+09 + i -2.590534e+09 ; 1.623939e+09 + i -3.835187e+08 ; 1.357047e+08 + i 1.582217e+07 ; 1.357355e+08 + i 1.577187e+07 ; 6.269324e+08 + i -4.186147e+06 ; 5.341574e+07 + i -2.686673e+07 ; 5.341012e+07 + i -2.687957e+07 ; 1.065448e+09 + i -7.197247e+08 ; 2.557515e+08 + i -5.997745e+08 ; 1.117636e+08 + i -1.116176e+07 ; 6.013522e+08 + i -1.129153e+08 ; 3.291746e+07 + i -2.285966e+08 ; 4.501186e+07 + i -3.151949e+07 ; 1.065423e+09 + i -7.196522e+08 ; 1.118991e+08 + i -1.110542e+07 ; 2.557638e+08 + i -5.997541e+08 ; 6.013433e+08 + i -1.129222e+08 ; 4.508191e+07 + i -3.151996e+07 ; 3.292848e+07 + i -2.285869e+08 ; 6.658486e+08 + i -7.946447e+08 ; 1.581371e+08 + i -4.785096e+08 ; 1.581471e+08 + i -4.785029e+08 ; 5.476531e+08 + i -1.974175e+08 ; 1.768980e+07 + i -1.990216e+08 ; 1.769091e+07 + i -1.990094e+08 ; 
4.607949e+08 + i 3.455136e+08 ; 4.459274e+08 + i 3.168045e+08 ; -1.100488e+09 + i 5.250266e+09 ; -1.985843e+08 + i 1.987679e+08 ; 6.025972e+08 + i 5.963297e+08 ; -8.049817e+09 + i 1.126649e+10 ; 6.089155e+08 + i 6.241560e+08 ; -2.482850e+08 + i 1.785540e+08 ; -8.078154e+09 + i 1.122848e+10 ; -3.407980e+08 + i 1.386609e+08 ; -3.954812e+08 + i 1.143539e+08 ; -4.633519e+10 + i 2.784276e+10 ; -1.405322e+09 + i 2.520543e+09 ; -1.412090e+09 + i 2.481241e+09 ; -3.355089e+09 + i -1.575603e+09 ; -5.903700e+08 + i -3.531384e+08 ; -5.092221e+09 + i 5.542096e+09 ; -2.295033e+09 + i -6.217430e+09 ; -5.098193e+09 + i 5.577005e+09 ; -6.626111e+08 + i -4.223911e+08 ; -2.281574e+09 + i -6.252539e+09 ; -9.191821e+08 + i -1.145586e+09 ; -1.000680e+09 + i -1.232753e+09 ; 1.954927e+10 + i -2.075814e+10 ; -1.866604e+08 + i -2.098947e+08 ; 1.351750e+08 + i 1.283002e+08 ; -8.928806e+08 + i 1.513951e+09 ; 4.527483e+07 + i -1.390134e+08 ; 6.773803e+07 + i 4.349099e+07 ; -2.107778e+08 + i 5.512339e+08 ; -2.084723e+08 + i -2.775704e+08 ; -4.343266e+07 + i 7.455773e+07 ; -1.635787e+09 + i 2.081079e+09 ; 7.476968e+07 + i -1.339253e+08 ; -4.984618e+06 + i 5.089914e+07 ; -2.766753e+08 + i 6.591402e+08 ; 8.204069e+08 + i -1.133082e+09 ; -4.265466e+08 + i 6.732053e+08 ; -1.046591e+09 + i 3.881597e+07 ; 5.229367e+08 + i -1.795911e+08 ; -2.291360e+07 + i 1.921140e+08 ; -4.926918e+08 + i 3.095813e+08 ; 1.604587e+09 + i -1.753659e+09 ; -1.247106e+08 + i -5.492208e+07 ; -1.100206e+09 + i -3.388577e+08 ; 6.993911e+08 + i -9.447702e+07 ; -4.281951e+07 + i 1.897260e+07 ; -5.779359e+08 + i 2.701066e+08 ; 
-8.100520e+09 + i 1.126482e+10 ; 2.597957e+08 + i -1.830499e+08 ; 5.814222e+08 + i 6.784308e+08 ; -2.247006e+09 + i -6.157979e+09 ; 6.845886e+08 + i 4.385503e+08 ; -5.139146e+09 + i 5.585952e+09 ; -1.117287e+09 + i 5.285704e+09 ; -4.608206e+08 + i -3.383765e+08 ; 4.548147e+08 + i 3.370317e+08 ; -3.308826e+09 + i -1.500484e+09 ; 1.502797e+09 + i -2.559076e+09 ; -1.417729e+09 + i 2.508382e+09 ; -4.639405e+10 + i 2.783407e+10 ; 4.132221e+08 + i -1.100340e+08 ; -4.147980e+08 + i 1.045485e+08 ; 1.958946e+10 + i -2.069963e+10 ; 1.018021e+09 + i 1.301357e+09 ; -9.850033e+08 + i -1.322247e+09 ; -8.098793e+09 + i 1.126354e+10 ; -6.158916e+08 + i -6.359063e+08 ; -2.564699e+08 + i 1.822093e+08 ; -2.245527e+09 + i -6.170550e+09 ; 5.378282e+09 + i -5.667129e+09 ; -6.737964e+08 + i -4.315995e+08 ; 1.066965e+09 + i -7.185329e+08 ; 1.104946e+08 + i -9.917509e+06 ; -2.337754e+08 + i 5.767534e+08 ; 6.013518e+08 + i -1.123688e+08 ; 4.452218e+07 + i -3.074597e+07 ; -2.756486e+07 + i 2.182197e+08 ; 6.670821e+08 + i -7.939109e+08 ; 1.544077e+08 + i -4.722211e+08 ; -1.424300e+08 + i 4.584800e+08 ; 5.477296e+08 + i -1.968788e+08 ; 1.681777e+07 + i -1.962057e+08 ; -1.343733e+07 + i 1.894970e+08 ; 1.624016e+09 + i -3.834709e+08 ; 1.348702e+08 + i 1.551811e+07 ; -1.306764e+08 + i -1.730930e+07 ; 6.271288e+08 + i -4.060934e+06 ; 5.302116e+07 + i -2.658791e+07 ; -5.110615e+07 + i 2.484352e+07 ; 1.065760e+09 + i -7.194638e+08 ; 2.506363e+08 + i -5.930272e+08 ; -1.070591e+08 + i 8.193432e+06 ; 6.015605e+08 + i -1.127590e+08 ; 3.187698e+07 + i -2.257380e+08 ; -4.289471e+07 + i 2.904902e+07 ; 
2.594822e+08 + i -1.675913e+08 ; -8.086997e+09 + i 1.121737e+10 ; 5.769491e+08 + i 6.762710e+08 ; -4.530391e+08 + i -3.160651e+08 ; -1.098718e+09 + i 5.249558e+09 ; 4.530096e+08 + i 3.351380e+08 ; 6.796457e+08 + i 4.617550e+08 ; -2.287087e+09 + i -6.257446e+09 ; -5.154583e+09 + i 5.575759e+09 ; 1.522161e+09 + i -2.513294e+09 ; -3.353676e+09 + i -1.569107e+09 ; -1.429493e+09 + i 2.500024e+09 ; 4.123233e+08 + i -9.448582e+07 ; -4.637624e+10 + i 2.778733e+10 ; -4.170697e+08 + i 1.003913e+08 ; -6.092950e+08 + i -6.120175e+08 ; -8.076998e+09 + i 1.122709e+10 ; -2.575964e+08 + i 1.792585e+08 ; 1.011798e+09 + i 1.324598e+09 ; 1.956202e+10 + i -2.081234e+10 ; -9.854390e+08 + i -1.331839e+09 ; 5.396315e+09 + i -5.617206e+09 ; -2.282419e+09 + i -6.251134e+09 ; -6.738918e+08 + i -4.399779e+08 ; 7.386292e+07 + i 2.211817e+06 ; -2.111512e+08 + i 5.508777e+08 ; 6.414631e+07 + i 5.311698e+07 ; 5.638032e+07 + i 4.047779e+07 ; -1.025621e+08 + i 2.418796e+08 ; 2.956807e+07 + i 2.004458e+07 ; 4.771016e+08 + i -1.537294e+08 ; -4.923340e+08 + i 3.099007e+08 ; -4.190815e+07 + i 1.749902e+08 ; 2.061493e+08 + i 4.320332e+07 ; -1.853495e+08 + i 2.228139e+08 ; 4.422801e+06 + i 5.833488e+07 ; 9.570313e+07 + i 3.206513e+07 ; -2.770607e+08 + i 6.585945e+08 ; -1.391323e+06 + i 5.186940e+07 ; 5.406177e+07 + i 5.406929e+07 ; -1.170988e+08 + i 2.611709e+08 ; 8.865111e+06 + i 2.670570e+07 ; 6.290367e+08 + i -1.315521e+08 ; -5.777600e+08 + i 2.701274e+08 ; -2.349149e+07 + i 2.613347e+07 ; 2.218968e+08 + i 6.652335e+07 ; -2.109052e+08 + i 2.254526e+08 ; -8.966300e+03 + i 1.942906e+07 ; 
-9.878104e+08 + i -1.395180e+09 ; -9.946129e+08 + i -1.381594e+09 ; 1.956371e+10 + i -2.081349e+10 ; -5.392535e+09 + i 5.619634e+09 ; -6.921504e+08 + i -4.490667e+08 ; -2.285075e+09 + i -6.238863e+09 ; -6.877203e+08 + i -4.642475e+08 ; -5.390146e+09 + i 5.658932e+09 ; -2.287423e+09 + i -6.257349e+09 ; -1.519313e+09 + i 2.519198e+09 ; -1.511784e+09 + i 2.556274e+09 ; -3.353019e+09 + i -1.563291e+09 ; -4.190055e+08 + i 9.058655e+07 ; -4.222046e+08 + i 1.019673e+08 ; -4.637680e+10 + i 2.778747e+10 ; 5.832543e+08 + i 6.799162e+08 ; -2.645504e+08 + i 1.801981e+08 ; -8.071558e+09 + i 1.122922e+10 ; -2.634063e+08 + i 1.675906e+08 ; 5.852829e+08 + i 7.018689e+08 ; -8.082280e+09 + i 1.121724e+10 ; 4.554983e+08 + i 3.308123e+08 ; 4.614896e+08 + i 3.514774e+08 ; -1.093140e+09 + i 5.248620e+09 ; -6.316160e+08 + i 1.337852e+08 ; -2.489637e+07 + i 2.743758e+07 ; -5.791255e+08 + i 2.708051e+08 ; -2.233886e+08 + i -6.597518e+07 ; -3.575426e+05 + i 2.031131e+07 ; -2.111116e+08 + i 2.258906e+08 ; -4.783770e+08 + i 1.561419e+08 ; -4.617811e+07 + i 1.801173e+08 ; -4.934574e+08 + i 3.107988e+08 ; -2.075240e+08 + i -4.245119e+07 ; 3.581674e+06 + i 6.038958e+07 ; -1.855628e+08 + i 2.233032e+08 ; -9.941681e+07 + i -2.992802e+07 ; -1.932365e+06 + i 5.341348e+07 ; -2.774236e+08 + i 6.585739e+08 ; -5.572077e+07 + i -5.370840e+07 ; 8.853242e+06 + i 2.763324e+07 ; -1.173337e+08 + i 2.610551e+08 ; -7.584753e+07 + i 4.805297e+04 ; 6.527779e+07 + i 5.569049e+07 ; -2.113798e+08 + i 5.507850e+08 ; -5.783629e+07 + i -3.987138e+07 ; 3.018644e+07 + i 2.111170e+07 ; -1.028148e+08 + i 2.417714e+08 ; 
-2.242772e+09 + i -6.150622e+09 ; -6.884827e+08 + i -4.582838e+08 ; 5.124414e+09 + i -5.516088e+09 ; -7.887645e+09 + i 1.135972e+10 ; -2.504343e+08 + i 1.460967e+08 ; -5.454289e+08 + i -6.667731e+08 ; -3.305639e+09 + i -1.497461e+09 ; -1.511058e+09 + i 2.516927e+09 ; 1.432260e+09 + i -2.466845e+09 ; -9.328217e+08 + i 5.326646e+09 ; 4.119964e+08 + i 2.872487e+08 ; -4.133312e+08 + i -2.951419e+08 ; 1.958856e+10 + i -2.069979e+10 ; -1.020378e+09 + i -1.314513e+09 ; 1.001886e+09 + i 1.381554e+09 ; -4.615646e+10 + i 2.801382e+10 ; -3.980550e+08 + i 7.401457e+07 ; 3.880535e+08 + i -7.689679e+07 ; -2.245694e+09 + i -6.168726e+09 ; -5.337908e+09 + i 5.602917e+09 ; 6.845041e+08 + i 4.593368e+08 ; -7.888737e+09 + i 1.136015e+10 ; 5.650517e+08 + i 5.762549e+08 ; 2.461283e+08 + i -1.469878e+08 ; 9.302867e+08 + i -2.283051e+09 ; 3.051821e+08 + i 2.459138e+08 ; -1.532036e+09 + i 1.760311e+09 ; 1.065752e+09 + i -7.209206e+08 ; 1.911936e+08 + i 3.107775e+07 ; -1.846655e+08 + i 6.093962e+08 ; 5.218671e+07 + i -1.343819e+09 ; 8.006603e+08 + i -1.139024e+09 ; -7.674458e+08 + i 1.122398e+09 ; 6.662482e+08 + i -7.960384e+08 ; 1.170443e+08 + i -4.724488e+08 ; -1.089318e+08 + i 4.647079e+08 ; 3.588357e+09 + i -4.048004e+09 ; 3.766866e+08 + i 4.234373e+08 ; -3.748977e+08 + i -3.856977e+08 ; 1.623111e+09 + i -3.832703e+08 ; 2.320439e+08 + i 7.030482e+07 ; -2.259220e+08 + i -5.962044e+07 ; 9.305784e+08 + i -2.277124e+09 ; 1.592238e+09 + i -1.782890e+09 ; -3.004200e+08 + i -2.245759e+08 ; 1.065363e+09 + i -7.197781e+08 ; 1.960682e+08 + i -6.193364e+08 ; -1.858873e+08 + i -2.355197e+07 ; 
4.629591e+08 + i 3.471055e+08 ; -1.099257e+09 + i 5.250173e+09 ; 4.581111e+08 + i 3.337319e+08 ; -2.000505e+08 + i 1.994522e+08 ; -8.048152e+09 + i 1.126698e+10 ; 5.901556e+08 + i 6.720200e+08 ; -1.411012e+09 + i 2.513312e+09 ; -3.352968e+09 + i -1.569052e+09 ; -1.408495e+09 + i 2.475460e+09 ; -5.985515e+08 + i -3.584466e+08 ; -2.297238e+09 + i -6.203701e+09 ; -5.079182e+09 + i 5.542444e+09 ; 6.174460e+08 + i 6.384116e+08 ; -8.078459e+09 + i 1.122794e+10 ; -2.557078e+08 + i 1.817523e+08 ; -3.423522e+08 + i 1.389256e+08 ; -4.633472e+10 + i 2.784208e+10 ; -4.113125e+08 + i 1.090244e+08 ; -5.089354e+09 + i 5.570264e+09 ; -2.281931e+09 + i -6.250643e+09 ; -6.794652e+08 + i -4.420822e+08 ; -9.205184e+08 + i -1.157022e+09 ; 1.954679e+10 + i -2.075926e+10 ; -9.873614e+08 + i -1.308702e+09 ; -1.858102e+08 + i -2.085839e+08 ; -8.928578e+08 + i 1.513857e+09 ; 1.360100e+08 + i 1.308193e+08 ; 4.524930e+07 + i -1.382823e+08 ; -2.107811e+08 + i 5.511828e+08 ; 6.811714e+07 + i 4.376806e+07 ; 8.191742e+08 + i -1.132025e+09 ; -1.046570e+09 + i 4.007170e+07 ; -4.253080e+08 + i 6.730648e+08 ; 5.225783e+08 + i -1.791283e+08 ; -4.924712e+08 + i 3.098530e+08 ; -2.255018e+07 + i 1.919533e+08 ; -2.066079e+08 + i -2.745055e+08 ; -1.635640e+09 + i 2.080915e+09 ; -4.491474e+07 + i 7.470393e+07 ; 7.450210e+07 + i -1.328269e+08 ; -2.766806e+08 + i 6.590497e+08 ; -5.358515e+06 + i 5.116218e+07 ; 1.604140e+09 + i -1.750578e+09 ; -1.100486e+09 + i -3.392414e+08 ; -1.247449e+08 + i -5.671426e+07 ; 6.987429e+08 + i -9.359150e+07 ; -5.779746e+08 + i 2.700754e+08 ; -4.293358e+07 + i 1.885946e+07 ; 
5.093643e+09 + i -5.569138e+09 ; -6.939698e+08 + i -4.421018e+08 ; -2.281474e+09 + i -6.231897e+09 ; 9.150885e+08 + i 1.272079e+09 ; -9.966471e+08 + i -1.355940e+09 ; 1.954580e+10 + i -2.075977e+10 ; 1.406619e+09 + i -2.521283e+09 ; -1.487400e+09 + i 2.534084e+09 ; -3.350211e+09 + i -1.561261e+09 ; 6.109209e+08 + i 3.592661e+08 ; -5.302488e+09 + i 5.626457e+09 ; -2.298887e+09 + i -6.202653e+09 ; -6.068684e+08 + i -7.510204e+08 ; -2.608375e+08 + i 1.816819e+08 ; -8.070670e+09 + i 1.122893e+10 ; 3.426515e+08 + i -1.386601e+08 ; -4.159289e+08 + i 1.102323e+08 ; -4.633552e+10 + i 2.784396e+10 ; -4.722782e+08 + i -3.678818e+08 ; 4.662694e+08 + i 3.491084e+08 ; -1.092674e+09 + i 5.248035e+09 ; 2.036057e+08 + i -1.995876e+08 ; 5.988849e+08 + i 6.968912e+08 ; -8.043156e+09 + i 1.126739e+10 ; -1.604003e+09 + i 1.742994e+09 ; -1.261126e+08 + i -6.610844e+07 ; -1.099976e+09 + i -3.456721e+08 ; -6.964004e+08 + i 8.935411e+07 ; -4.439603e+07 + i 1.714243e+07 ; -5.783318e+08 + i 2.684970e+08 ; -8.193748e+08 + i 1.125276e+09 ; -4.445059e+08 + i 6.830335e+08 ; -1.047622e+09 + i 3.648912e+07 ; -5.211047e+08 + i 1.751715e+08 ; -2.537200e+07 + i 1.956839e+08 ; -4.930695e+08 + i 3.088689e+08 ; 2.096772e+08 + i 2.526191e+08 ; -4.746077e+07 + i 7.590456e+07 ; -1.635966e+09 + i 2.080904e+09 ; -6.959034e+07 + i 1.278892e+08 ; -6.457761e+06 + i 5.236920e+07 ; -2.765756e+08 + i 6.586604e+08 ; 1.859753e+08 + i 1.973214e+08 ; 1.379402e+08 + i 1.358843e+08 ; -8.927278e+08 + i 1.513602e+09 ; -4.256218e+07 + i 1.337427e+08 ; 6.925484e+07 + i 4.564457e+07 ; -2.107751e+08 + i 5.507001e+08 ; 
-1.118179e+09 + i 5.286316e+09 ; 4.595265e+08 + i 3.352638e+08 ; 4.595225e+08 + i 3.353458e+08 ; -3.306550e+09 + i -1.495249e+09 ; -1.405022e+09 + i 2.479066e+09 ; -1.405071e+09 + i 2.479151e+09 ; -8.100854e+09 + i 1.126401e+10 ; -2.528521e+08 + i 1.818046e+08 ; 5.891529e+08 + i 6.742563e+08 ; -2.247923e+09 + i -6.157667e+09 ; -6.812951e+08 + i -4.371934e+08 ; -5.071424e+09 + i 5.535998e+09 ; -8.100992e+09 + i 1.126406e+10 ; 5.891345e+08 + i 6.742061e+08 ; -2.532257e+08 + i 1.818685e+08 ; -2.248106e+09 + i -6.157547e+09 ; -5.071424e+09 + i 5.535898e+09 ; -6.820136e+08 + i -4.374337e+08 ; -4.639364e+10 + i 2.783209e+10 ; -4.098527e+08 + i 1.054985e+08 ; -4.099405e+08 + i 1.054642e+08 ; 1.958468e+10 + i -2.070057e+10 ; -9.838644e+08 + i -1.308915e+09 ; -9.837676e+08 + i -1.309054e+09 ; 6.682672e+08 + i -7.934107e+08 ; -1.409096e+08 + i 4.530291e+08 ; -1.409101e+08 + i 4.530362e+08 ; 5.478467e+08 + i -1.964537e+08 ; -1.336012e+07 + i 1.872141e+08 ; -1.336001e+07 + i 1.872224e+08 ; 1.067173e+09 + i -7.184892e+08 ; -1.067507e+08 + i 7.368783e+06 ; -2.308051e+08 + i 5.707320e+08 ; 6.015759e+08 + i -1.122511e+08 ; -4.283766e+07 + i 2.850734e+07 ; -2.722643e+07 + i 2.158596e+08 ; 1.067149e+09 + i -7.184174e+08 ; -2.308087e+08 + i 5.707069e+08 ; -1.068794e+08 + i 7.344221e+06 ; 6.015672e+08 + i -1.122580e+08 ; -2.723328e+07 + i 2.158496e+08 ; -4.289871e+07 + i 2.851754e+07 ; 1.624045e+09 + i -3.833403e+08 ; -1.301249e+08 + i -1.704628e+07 ; -1.300967e+08 + i -1.706912e+07 ; 6.272957e+08 + i -3.941865e+06 ; -5.093752e+07 + i 2.462340e+07 ; -5.093809e+07 + i 2.461477e+07 ; 
-6.867946e+08 + i -4.702281e+08 ; -2.282934e+09 + i -6.249543e+09 ; 5.102843e+09 + i -5.520518e+09 ; -1.499612e+09 + i 2.490163e+09 ; -3.349319e+09 + i -1.561311e+09 ; 1.419073e+09 + i -2.475595e+09 ; -2.585092e+08 + i 1.671620e+08 ; -8.084066e+09 + i 1.121610e+10 ; -5.957006e+08 + i -7.195897e+08 ; 4.596824e+08 + i 3.269911e+08 ; -1.094140e+09 + i 5.248242e+09 ; -4.574888e+08 + i -3.383688e+08 ; -9.905058e+08 + i -1.376908e+09 ; 1.955900e+10 + i -2.081273e+10 ; 9.970081e+08 + i 1.365919e+09 ; -5.320407e+09 + i 5.571893e+09 ; -2.285687e+09 + i -6.236693e+09 ; 6.791970e+08 + i 4.424185e+08 ; -4.134085e+08 + i 9.161441e+07 ; -4.637673e+10 + i 2.778861e+10 ; 3.966058e+08 + i -1.066421e+08 ; 5.906429e+08 + i 6.711745e+08 ; -8.071689e+09 + i 1.122999e+10 ; 2.493382e+08 + i -1.767780e+08 ; -4.725211e+08 + i 1.556715e+08 ; -4.931288e+08 + i 3.109014e+08 ; 4.106333e+07 + i -1.733750e+08 ; -2.050980e+08 + i -4.126008e+07 ; -1.854469e+08 + i 2.233102e+08 ; -4.596424e+06 + i -5.774872e+07 ; -7.420707e+07 + i 9.217555e+05 ; -2.114866e+08 + i 5.509559e+08 ; -6.411206e+07 + i -5.265091e+07 ; -5.709386e+07 + i -3.890934e+07 ; -1.028004e+08 + i 2.418602e+08 ; -2.951540e+07 + i -1.983598e+07 ; -6.237627e+08 + i 1.342343e+08 ; -5.792443e+08 + i 2.710676e+08 ; 2.291289e+07 + i -2.605035e+07 ; -2.209095e+08 + i -6.443206e+07 ; -2.111406e+08 + i 2.259788e+08 ; -1.273390e+05 + i -1.922138e+07 ; -9.746820e+07 + i -2.869163e+07 ; -2.774811e+08 + i 6.586850e+08 ; 7.616904e+05 + i -5.144311e+07 ; -5.499940e+07 + i -5.259571e+07 ; -1.173356e+08 + i 2.611349e+08 ; -9.017502e+06 + i -2.643915e+07 ; 
-6.869762e+08 + i -4.701305e+08 ; 5.102831e+09 + i -5.520509e+09 ; -2.282841e+09 + i -6.249556e+09 ; -1.499599e+09 + i 2.490198e+09 ; 1.419068e+09 + i -2.475565e+09 ; -3.349058e+09 + i -1.561483e+09 ; -9.905072e+08 + i -1.377012e+09 ; 9.969498e+08 + i 1.366026e+09 ; 1.956051e+10 + i -2.081219e+10 ; -5.320415e+09 + i 5.571890e+09 ; 6.791760e+08 + i 4.425124e+08 ; -2.284492e+09 + i -6.236596e+09 ; -2.586356e+08 + i 1.672374e+08 ; -5.958144e+08 + i -7.194303e+08 ; -8.081338e+09 + i 1.121715e+10 ; 4.596442e+08 + i 3.271339e+08 ; -4.575433e+08 + i -3.382172e+08 ; -1.092404e+09 + i 5.247937e+09 ; -4.135393e+08 + i 9.151273e+07 ; 3.966275e+08 + i -1.066340e+08 ; -4.637701e+10 + i 2.778872e+10 ; 5.906324e+08 + i 6.711772e+08 ; 2.493581e+08 + i -1.767527e+08 ; -8.071270e+09 + i 1.122993e+10 ; -4.724776e+08 + i 1.556402e+08 ; 4.105984e+07 + i -1.733738e+08 ; -4.931057e+08 + i 3.109532e+08 ; -2.050912e+08 + i -4.125494e+07 ; -4.595352e+06 + i -5.774691e+07 ; -1.854291e+08 + i 2.233209e+08 ; -6.237626e+08 + i 1.342283e+08 ; 2.290790e+07 + i -2.603433e+07 ; -5.790759e+08 + i 2.710907e+08 ; -2.209041e+08 + i -6.443450e+07 ; -1.285987e+05 + i -1.921250e+07 ; -2.110541e+08 + i 2.259679e+08 ; -7.416525e+07 + i 8.929890e+05 ; -6.411430e+07 + i -5.263866e+07 ; -2.114114e+08 + i 5.508672e+08 ; -5.708168e+07 + i -3.890407e+07 ; -2.951250e+07 + i -1.983272e+07 ; -1.028179e+08 + i 2.418128e+08 ; -9.742223e+07 + i -2.870899e+07 ; 7.592277e+05 + i -5.144662e+07 ; -2.774491e+08 + i 6.586692e+08 ; -5.498780e+07 + i -5.259384e+07 ; -9.018988e+06 + i -2.643961e+07 ; -1.173226e+08 + i 2.611040e+08 ; 
-3.300974e+09 + i -1.491064e+09 ; 1.423968e+09 + i -2.439773e+09 ; 1.424023e+09 + i -2.439847e+09 ; -9.324693e+08 + i 5.326008e+09 ; -4.229073e+08 + i -2.914141e+08 ; -4.228948e+08 + i -2.914926e+08 ; -2.244216e+09 + i -6.149843e+09 ; 6.969474e+08 + i 4.603026e+08 ; 5.064436e+09 + i -5.461314e+09 ; -7.887518e+09 + i 1.135990e+10 ; 2.414305e+08 + i -1.438176e+08 ; -5.575338e+08 + i -6.590646e+08 ; -2.244373e+09 + i -6.149622e+09 ; 5.064429e+09 + i -5.461221e+09 ; 6.976371e+08 + i 4.606046e+08 ; -7.887563e+09 + i 1.136010e+10 ; -5.575238e+08 + i -6.590144e+08 ; 2.417721e+08 + i -1.438528e+08 ; 1.958140e+10 + i -2.069955e+10 ; 1.003951e+09 + i 1.365029e+09 ; 1.003836e+09 + i 1.365158e+09 ; -4.615604e+10 + i 2.801415e+10 ; 3.826194e+08 + i -7.452475e+07 ; 3.826949e+08 + i -7.448393e+07 ; 5.063193e+07 + i -1.347383e+09 ; -7.572654e+08 + i 1.110233e+09 ; -7.572796e+08 + i 1.110260e+09 ; 6.663543e+08 + i -7.974458e+08 ; -1.066509e+08 + i 4.594864e+08 ; -1.066612e+08 + i 4.595159e+08 ; 9.299113e+08 + i -2.282943e+09 ; -2.944859e+08 + i -2.242650e+08 ; -1.513095e+09 + i 1.743595e+09 ; 1.065870e+09 + i -7.212432e+08 ; -1.830158e+08 + i -2.398436e+07 ; -1.813873e+08 + i 6.032766e+08 ; 9.300148e+08 + i -2.283055e+09 ; -1.513088e+09 + i 1.743558e+09 ; -2.946964e+08 + i -2.243542e+08 ; 1.065922e+09 + i -7.212986e+08 ; -1.813912e+08 + i 6.032490e+08 ; -1.831701e+08 + i -2.399478e+07 ; 3.588764e+09 + i -4.047906e+09 ; -3.675082e+08 + i -3.807418e+08 ; -3.674741e+08 + i -3.807782e+08 ; 1.623507e+09 + i -3.834956e+08 ; -2.224468e+08 + i -5.893242e+07 ; -2.224553e+08 + i -5.895766e+07 ; 
1.398319e+09 + i -2.490704e+09 ; -3.346204e+09 + i -1.559812e+09 ; 1.404575e+09 + i -2.451947e+09 ; 6.188716e+08 + i 3.720368e+08 ; -2.293853e+09 + i -6.195258e+09 ; 5.035018e+09 + i -5.481812e+09 ; -4.807088e+08 + i -3.625958e+08 ; -1.094025e+09 + i 5.247593e+09 ; -4.664207e+08 + i -3.345209e+08 ; 1.992522e+08 + i -1.972161e+08 ; -8.044947e+09 + i 1.126659e+10 ; -6.111894e+08 + i -7.117655e+08 ; 5.041417e+09 + i -5.516206e+09 ; -2.281253e+09 + i -6.230271e+09 ; 6.896270e+08 + i 4.405865e+08 ; 9.184050e+08 + i 1.254605e+09 ; 1.954130e+10 + i -2.075851e+10 ; 9.980335e+08 + i 1.340743e+09 ; -6.169881e+08 + i -7.389299e+08 ; -8.070806e+09 + i 1.122970e+10 ; 2.472712e+08 + i -1.771510e+08 ; 3.381009e+08 + i -1.358108e+08 ; -4.633525e+10 + i 2.784514e+10 ; 3.907537e+08 + i -1.118581e+08 ; -8.123087e+08 + i 1.116833e+09 ; -1.047217e+09 + i 3.700136e+07 ; 4.196844e+08 + i -6.661668e+08 ; -5.170740e+08 + i 1.738280e+08 ; -4.929520e+08 + i 3.089173e+08 ; 2.187216e+07 + i -1.898186e+08 ; 1.807693e+08 + i 1.956710e+08 ; -8.930202e+08 + i 1.513564e+09 ; -1.364933e+08 + i -1.305454e+08 ; -4.323618e+07 + i 1.318717e+08 ; -2.108215e+08 + i 5.507798e+08 ; -6.792008e+07 + i -4.327174e+07 ; -1.589249e+09 + i 1.726741e+09 ; -1.101192e+09 + i -3.456718e+08 ; 1.239842e+08 + i 5.686160e+07 ; -6.906750e+08 + i 8.852859e+07 ; -5.786936e+08 + i 2.686308e+08 ; 4.246442e+07 + i -1.867380e+07 ; 2.037789e+08 + i 2.506698e+08 ; -1.635775e+09 + i 2.080835e+09 ; 4.397929e+07 + i -7.427690e+07 ; -7.016521e+07 + i 1.260503e+08 ; -2.765452e+08 + i 6.586863e+08 ; 5.109616e+06 + i -5.074639e+07 ; 
