7.862011e-01 + i 3.087008e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.020974e-01 + i -1.474165e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.028272e-03 + i -1.303553e-02 ; 2.707185e-02 + i -3.908858e-02 ; -0.000000e+00 + i 0.000000e+00 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.028272e-03 + i -1.303553e-02 ; -0.000000e+00 + i 0.000000e+00 ; 2.707185e-02 + i -3.908858e-02 ; -1.804357e-02 + i 2.605305e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.550880e-06 + i -4.884075e-06 ; 9.824317e-03 + i -1.418517e-02 ; 9.824317e-03 + i -1.418517e-02 ; 5.023421e-03 + i -7.252990e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.970438e-03 + i -2.844839e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 3.421167e-03 + i -4.939523e-03 ; 2.014054e-03 + i -2.908059e-03 ; -0.000000e+00 + i 0.000000e+00 ; 1.597242e-03 + i -2.305987e-03 ; 6.656645e-04 + i -9.611417e-04 ; -0.000000e+00 + i 0.000000e+00 ; 3.421167e-03 + i -4.939523e-03 ; -0.000000e+00 + i 0.000000e+00 ; 2.014054e-03 + i -2.908059e-03 ; 1.597242e-03 + i -2.305987e-03 ; -0.000000e+00 + i 0.000000e+00 ; 6.656645e-04 + i -9.611417e-04 ; 2.401198e-03 + i -3.466806e-03 ; 1.522830e-03 + i -2.198789e-03 ; 1.522830e-03 + i -2.198789e-03 ; 1.307615e-03 + i -1.887800e-03 ; 5.659582e-04 + i -8.171775e-04 ; 5.659582e-04 + i -8.171775e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; 7.862011e-01 + i 3.087008e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.020974e-01 + i -1.474165e-01 ; -0.000000e+00 + i 0.000000e+00 ; 2.707185e-02 + i -3.908858e-02 ; 9.028272e-03 + i -1.303553e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.804357e-02 + i 2.605305e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 9.028272e-03 + i -1.303553e-02 ; 2.707185e-02 + i -3.908858e-02 ; 9.824317e-03 + i -1.418517e-02 ; 3.550880e-06 + i -4.884075e-06 ; 9.824317e-03 + i -1.418517e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.508270e-03 + i 3.621891e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.826561e-04 + i 1.419083e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.014054e-03 + i -2.908059e-03 ; -1.338406e-03 + i 1.932745e-03 ; -0.000000e+00 + i 0.000000e+00 ; 6.656645e-04 + i -9.611417e-04 ; -7.068979e-04 + i 1.020921e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.076279e-03 + i 2.998147e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.853821e-04 + i 1.278631e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.522830e-03 + i -2.198789e-03 ; -1.197525e-03 + i 1.729329e-03 ; 5.579069e-04 + i -8.055524e-04 ; 5.659582e-04 + i -8.171775e-04 ; -6.514004e-04 + i 9.407890e-04 ; 1.517501e-04 + i -2.191093e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.862011e-01 + i 3.087008e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.804357e-02 + i 2.605305e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.020974e-01 + i -1.474165e-01 ; 2.707185e-02 + i -3.908858e-02 ; -0.000000e+00 + i 0.000000e+00 ; 9.028272e-03 + i -1.303553e-02 ; -0.000000e+00 + i 0.000000e+00 ; 2.707185e-02 + i -3.908858e-02 ; 9.028272e-03 + i -1.303553e-02 ; 9.824317e-03 + i -1.418517e-02 ; 9.824317e-03 + i -1.418517e-02 ; 3.550880e-06 + i -4.884075e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.508270e-03 + i 3.621891e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.826561e-04 + i 1.419083e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.076279e-03 + i 2.998147e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.853821e-04 + i 1.278631e-03 ; 2.014054e-03 + i -2.908059e-03 ; -0.000000e+00 + i 0.000000e+00 ; -1.338406e-03 + i 1.932745e-03 ; 6.656645e-04 + i -9.611417e-04 ; -0.000000e+00 + i 0.000000e+00 ; -7.068979e-04 + i 1.020921e-03 ; 1.522830e-03 + i -2.198789e-03 ; 5.579069e-04 + i -8.055524e-04 ; -1.197525e-03 + i 1.729329e-03 ; 5.659582e-04 + i -8.171775e-04 ; 1.517501e-04 + i -2.191093e-04 ; -6.514004e-04 + i 9.407890e-04 ; 
1.020974e-01 + i -1.474165e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.862011e-01 + i 3.087008e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.028272e-03 + i -1.303553e-02 ; -2.707185e-02 + i 3.908858e-02 ; -0.000000e+00 + i -0.000000e+00 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.028272e-03 + i -1.303553e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.707185e-02 + i 3.908858e-02 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.550880e-06 + i -4.884075e-06 ; -9.824317e-03 + i 1.418517e-02 ; -9.824317e-03 + i 1.418517e-02 ; -1.804357e-02 + i 2.605305e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.973781e-02 + i -2.849885e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 5.023421e-03 + i -7.252990e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 7.995275e-03 + i -1.154400e-02 ; 8.322598e-03 + i -1.201686e-02 ; -0.000000e+00 + i 0.000000e+00 ; 3.421167e-03 + i -4.939523e-03 ; 2.014054e-03 + i -2.908059e-03 ; -0.000000e+00 + i 0.000000e+00 ; 7.995275e-03 + i -1.154400e-02 ; -0.000000e+00 + i 0.000000e+00 ; 8.322598e-03 + i -1.201686e-02 ; 3.421167e-03 + i -4.939523e-03 ; -0.000000e+00 + i 0.000000e+00 ; 2.014054e-03 + i -2.908059e-03 ; 3.655714e-03 + i -5.278180e-03 ; 4.759093e-03 + i -6.871575e-03 ; 4.759093e-03 + i -6.871575e-03 ; 2.401198e-03 + i -3.466806e-03 ; 1.522830e-03 + i -2.198789e-03 ; 1.522830e-03 + i -2.198789e-03 ; 
-0.000000e+00 + i -0.000000e+00 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.862011e-01 + i 3.087008e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.707185e-02 + i 3.908858e-02 ; 9.028272e-03 + i -1.303553e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.020974e-01 + i -1.474165e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.804357e-02 + i 2.605305e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -9.824317e-03 + i 1.418517e-02 ; 3.550880e-06 + i -4.884075e-06 ; 9.824317e-03 + i -1.418517e-02 ; -0.000000e+00 + i 0.000000e+00 ; 9.028272e-03 + i -1.303553e-02 ; 2.707185e-02 + i -3.908858e-02 ; -0.000000e+00 + i -0.000000e+00 ; -9.863571e-03 + i 1.424209e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.508270e-03 + i 3.621891e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.322598e-03 + i -1.201686e-02 ; -1.586986e-03 + i 2.291665e-03 ; -0.000000e+00 + i 0.000000e+00 ; 2.014054e-03 + i -2.908059e-03 ; -1.338406e-03 + i 1.932745e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.399009e-03 + i 9.239665e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.076279e-03 + i 2.998147e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.759093e-03 + i -6.871575e-03 ; -1.823690e-03 + i 2.633438e-03 ; 2.751649e-03 + i -3.973060e-03 ; 1.522830e-03 + i -2.198789e-03 ; -1.197525e-03 + i 1.729329e-03 ; 5.579069e-04 + i -8.055524e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.862011e-01 + i 3.087008e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.804357e-02 + i 2.605305e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.103960e-02 + i 7.369547e-02 ; -2.707185e-02 + i 3.908858e-02 ; -0.000000e+00 + i 0.000000e+00 ; 9.028272e-03 + i -1.303553e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.020974e-01 + i -1.474165e-01 ; -9.824317e-03 + i 1.418517e-02 ; 9.824317e-03 + i -1.418517e-02 ; 3.550880e-06 + i -4.884075e-06 ; -0.000000e+00 + i 0.000000e+00 ; 2.707185e-02 + i -3.908858e-02 ; 9.028272e-03 + i -1.303553e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.863571e-03 + i 1.424209e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.508270e-03 + i 3.621891e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -6.399009e-03 + i 9.239665e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.076279e-03 + i 2.998147e-03 ; 8.322598e-03 + i -1.201686e-02 ; -0.000000e+00 + i 0.000000e+00 ; -1.586986e-03 + i 2.291665e-03 ; 2.014054e-03 + i -2.908059e-03 ; -0.000000e+00 + i 0.000000e+00 ; -1.338406e-03 + i 1.932745e-03 ; 4.759093e-03 + i -6.871575e-03 ; 2.751649e-03 + i -3.973060e-03 ; -1.823690e-03 + i 2.633438e-03 ; 1.522830e-03 + i -2.198789e-03 ; 5.579069e-04 + i -8.055524e-04 ; -1.197525e-03 + i 1.729329e-03 ; 
-5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.028272e-03 + i -1.303553e-02 ; -2.707185e-02 + i 3.908858e-02 ; -0.000000e+00 + i 0.000000e+00 ; 7.862011e-01 + i 3.087008e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.020974e-01 + i -1.474165e-01 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; -1.804357e-02 + i 2.605305e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.550880e-06 + i -4.884075e-06 ; -9.824317e-03 + i 1.418517e-02 ; 9.824317e-03 + i -1.418517e-02 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.028272e-03 + i -1.303553e-02 ; -0.000000e+00 + i 0.000000e+00 ; 2.707185e-02 + i -3.908858e-02 ; 3.421167e-03 + i -4.939523e-03 ; -2.014054e-03 + i 2.908059e-03 ; -0.000000e+00 + i 0.000000e+00 ; 1.597242e-03 + i -2.305987e-03 ; -6.656645e-04 + i 9.611417e-04 ; -0.000000e+00 + i 0.000000e+00 ; 5.023421e-03 + i -7.252990e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.970438e-03 + i -2.844839e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 2.401198e-03 + i -3.466806e-03 ; -1.522830e-03 + i 2.198789e-03 ; 1.522830e-03 + i -2.198789e-03 ; 1.307615e-03 + i -1.887800e-03 ; -5.659582e-04 + i 8.171775e-04 ; 5.659582e-04 + i -8.171775e-04 ; 3.421167e-03 + i -4.939523e-03 ; -0.000000e+00 + i 0.000000e+00 ; 2.014054e-03 + i -2.908059e-03 ; 1.597242e-03 + i -2.305987e-03 ; -0.000000e+00 + i 0.000000e+00 ; 6.656645e-04 + i -9.611417e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; 1.020974e-01 + i -1.474165e-01 ; -0.000000e+00 + i -0.000000e+00 ; -2.707185e-02 + i 3.908858e-02 ; 9.028272e-03 + i -1.303553e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.862011e-01 + i 3.087008e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.028272e-03 + i -1.303553e-02 ; -2.707185e-02 + i 3.908858e-02 ; -9.824317e-03 + i 1.418517e-02 ; 3.550880e-06 + i -4.884075e-06 ; -9.824317e-03 + i 1.418517e-02 ; -0.000000e+00 + i -0.000000e+00 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.804357e-02 + i 2.605305e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.014054e-03 + i 2.908059e-03 ; -1.338406e-03 + i 1.932745e-03 ; -0.000000e+00 + i -0.000000e+00 ; -6.656645e-04 + i 9.611417e-04 ; -7.068979e-04 + i 1.020921e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.508270e-03 + i 3.621891e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.826561e-04 + i 1.419083e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.522830e-03 + i 2.198789e-03 ; -1.197525e-03 + i 1.729329e-03 ; -5.579069e-04 + i 8.055524e-04 ; -5.659582e-04 + i 8.171775e-04 ; -6.514004e-04 + i 9.407890e-04 ; -1.517501e-04 + i 2.191093e-04 ; -0.000000e+00 + i -0.000000e+00 ; -2.076279e-03 + i 2.998147e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.853821e-04 + i 1.278631e-03 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.804357e-02 + i 2.605305e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.862011e-01 + i 3.087008e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i 0.000000e+00 ; -2.707185e-02 + i 3.908858e-02 ; 9.028272e-03 + i -1.303553e-02 ; 9.824317e-03 + i -1.418517e-02 ; -9.824317e-03 + i 1.418517e-02 ; 3.550880e-06 + i -4.884075e-06 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 1.020974e-01 + i -1.474165e-01 ; 2.707185e-02 + i -3.908858e-02 ; -0.000000e+00 + i 0.000000e+00 ; 9.028272e-03 + i -1.303553e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.076279e-03 + i 2.998147e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.853821e-04 + i 1.278631e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.508270e-03 + i 3.621891e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.826561e-04 + i 1.419083e-03 ; 1.522830e-03 + i -2.198789e-03 ; -5.579069e-04 + i 8.055524e-04 ; -1.197525e-03 + i 1.729329e-03 ; 5.659582e-04 + i -8.171775e-04 ; -1.517501e-04 + i 2.191093e-04 ; -6.514004e-04 + i 9.407890e-04 ; 2.014054e-03 + i -2.908059e-03 ; -0.000000e+00 + i 0.000000e+00 ; -1.338406e-03 + i 1.932745e-03 ; 6.656645e-04 + i -9.611417e-04 ; -0.000000e+00 + i 0.000000e+00 ; -7.068979e-04 + i 1.020921e-03 ; 
9.028272e-03 + i -1.303553e-02 ; 2.707185e-02 + i -3.908858e-02 ; -0.000000e+00 + i -0.000000e+00 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.020974e-01 + i -1.474165e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.862011e-01 + i 3.087008e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.550880e-06 + i -4.884075e-06 ; 9.824317e-03 + i -1.418517e-02 ; -9.824317e-03 + i 1.418517e-02 ; -1.804357e-02 + i 2.605305e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.028272e-03 + i -1.303553e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.707185e-02 + i 3.908858e-02 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.995275e-03 + i -1.154400e-02 ; -8.322598e-03 + i 1.201686e-02 ; -0.000000e+00 + i 0.000000e+00 ; 3.421167e-03 + i -4.939523e-03 ; -2.014054e-03 + i 2.908059e-03 ; -0.000000e+00 + i 0.000000e+00 ; 1.973781e-02 + i -2.849885e-02 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 5.023421e-03 + i -7.252990e-03 ; -0.000000e+00 + i 0.000000e+00 ; -0.000000e+00 + i 0.000000e+00 ; 3.655714e-03 + i -5.278180e-03 ; -4.759093e-03 + i 6.871575e-03 ; 4.759093e-03 + i -6.871575e-03 ; 2.401198e-03 + i -3.466806e-03 ; -1.522830e-03 + i 2.198789e-03 ; 1.522830e-03 + i -2.198789e-03 ; 7.995275e-03 + i -1.154400e-02 ; -0.000000e+00 + i 0.000000e+00 ; 8.322598e-03 + i -1.201686e-02 ; 3.421167e-03 + i -4.939523e-03 ; -0.000000e+00 + i 0.000000e+00 ; 2.014054e-03 + i -2.908059e-03 ; 
2.707185e-02 + i -3.908858e-02 ; 9.028272e-03 + i -1.303553e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.020974e-01 + i -1.474165e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.862011e-01 + i 3.087008e-01 ; -0.000000e+00 + i -0.000000e+00 ; 9.824317e-03 + i -1.418517e-02 ; 3.550880e-06 + i -4.884075e-06 ; -9.824317e-03 + i 1.418517e-02 ; -0.000000e+00 + i -0.000000e+00 ; 9.028272e-03 + i -1.303553e-02 ; -2.707185e-02 + i 3.908858e-02 ; -0.000000e+00 + i -0.000000e+00 ; -1.804357e-02 + i 2.605305e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -5.103960e-02 + i 7.369547e-02 ; -0.000000e+00 + i -0.000000e+00 ; -8.322598e-03 + i 1.201686e-02 ; -1.586986e-03 + i 2.291665e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.014054e-03 + i 2.908059e-03 ; -1.338406e-03 + i 1.932745e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.863571e-03 + i 1.424209e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.508270e-03 + i 3.621891e-03 ; -0.000000e+00 + i -0.000000e+00 ; -4.759093e-03 + i 6.871575e-03 ; -1.823690e-03 + i 2.633438e-03 ; -2.751649e-03 + i 3.973060e-03 ; -1.522830e-03 + i 2.198789e-03 ; -1.197525e-03 + i 1.729329e-03 ; -5.579069e-04 + i 8.055524e-04 ; -0.000000e+00 + i -0.000000e+00 ; -6.399009e-03 + i 9.239665e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.076279e-03 + i 2.998147e-03 ; -0.000000e+00 + i -0.000000e+00 ; 
