-4.498257e+10 + i 1.684617e+10 ; 1.517834e+08 + i 1.512053e+07 ; 1.517705e+08 + i 1.512292e+07 ; 2.049168e+10 + i -1.241735e+10 ; 3.781326e+08 + i 7.816043e+08 ; 3.781439e+08 + i 7.815880e+08 ; -9.615574e+09 + i 6.910229e+09 ; -2.309406e+08 + i -4.113859e+08 ; 9.904522e+07 + i -2.766825e+07 ; 3.243335e+08 + i -3.859598e+09 ; 5.531684e+09 + i -3.360887e+09 ; 2.535409e+08 + i 3.077291e+08 ; -9.615584e+09 + i 6.910231e+09 ; 9.909894e+07 + i -2.765518e+07 ; -2.309395e+08 + i -4.113780e+08 ; 3.243121e+08 + i -3.859588e+09 ; 2.536367e+08 + i 3.078166e+08 ; 5.531681e+09 + i -3.360882e+09 ; -2.735668e+09 + i 3.439469e+09 ; -1.763145e+08 + i -2.479953e+08 ; -1.763227e+08 + i -2.479776e+08 ; -1.229456e+09 + i -1.254634e+09 ; 1.837978e+09 + i -1.544290e+09 ; 1.837972e+09 + i -1.544282e+09 ; 1.260891e+09 + i -1.811252e+08 ; 5.067707e+07 + i 3.122599e+07 ; 5.068175e+07 + i 3.122188e+07 ; 4.823051e+08 + i -1.065135e+07 ; 2.141558e+07 + i 1.115255e+06 ; 2.141556e+07 + i 1.114177e+06 ; 8.436398e+08 + i -3.571215e+08 ; 3.540531e+08 + i -3.595344e+08 ; 4.223073e+07 + i 1.657546e+07 ; 4.200812e+08 + i -6.622409e+07 ; 9.695945e+07 + i -1.421533e+08 ; 1.856353e+07 + i -1.829110e+06 ; 8.436348e+08 + i -3.571151e+08 ; 4.224851e+07 + i 1.658968e+07 ; 3.540531e+08 + i -3.595325e+08 ; 4.200802e+08 + i -6.622429e+07 ; 1.857263e+07 + i -1.825381e+06 ; 9.695970e+07 + i -1.421523e+08 ; 5.642257e+08 + i -3.914992e+08 ; 2.541730e+08 + i -2.897162e+08 ; 2.541735e+08 + i -2.897157e+08 ; 3.589479e+08 + i -1.028128e+08 ; 7.831826e+07 + i -1.249944e+08 ; 7.831784e+07 + i -1.249934e+08 ; 
1.514840e+08 + i 2.169344e+07 ; -4.497630e+10 + i 1.682746e+10 ; 1.523293e+08 + i 1.691570e+07 ; -2.285287e+08 + i -4.000266e+08 ; -9.606456e+09 + i 6.899681e+09 ; 9.935142e+07 + i -2.624928e+07 ; 3.757943e+08 + i 7.912449e+08 ; 2.048315e+10 + i -1.247255e+10 ; 3.778308e+08 + i 7.850105e+08 ; 5.538682e+09 + i -3.334185e+09 ; 3.119165e+08 + i -3.899747e+09 ; 2.532335e+08 + i 3.108438e+08 ; 9.899720e+07 + i -2.121571e+07 ; -9.610875e+09 + i 6.891958e+09 ; -2.290934e+08 + i -4.095292e+08 ; -1.735096e+08 + i -2.374358e+08 ; -2.727934e+09 + i 3.429361e+09 ; -1.755262e+08 + i -2.466516e+08 ; 2.517448e+08 + i 3.173156e+08 ; 3.114562e+08 + i -3.907552e+09 ; 5.537802e+09 + i -3.353229e+09 ; 1.845397e+09 + i -1.519868e+09 ; -1.244444e+09 + i -1.288682e+09 ; 1.842674e+09 + i -1.538082e+09 ; 3.591553e+07 + i 2.882839e+07 ; -4.175190e+08 + i 4.300137e+08 ; 2.504069e+06 + i -2.002910e+07 ; 1.777019e+07 + i 2.776107e+07 ; -1.630735e+08 + i 1.705027e+08 ; -1.764494e+06 + i -1.121315e+07 ; 4.976723e+08 + i -7.322228e+07 ; -3.944866e+08 + i 9.879029e+07 ; 1.061526e+07 + i -5.419037e+06 ; 1.685290e+08 + i 2.843898e+07 ; -1.760751e+08 + i 1.014642e+08 ; 1.451808e+06 + i -6.812485e+06 ; 2.791370e+07 + i 1.175452e+07 ; -3.360971e+08 + i 3.657836e+08 ; -2.551907e+07 + i -3.799050e+07 ; 1.824705e+07 + i 2.141775e+07 ; -1.448679e+08 + i 1.580101e+08 ; -1.198182e+07 + i -1.511164e+07 ; 3.766888e+08 + i -8.319807e+07 ; -3.453180e+08 + i 1.200560e+08 ; 8.881671e+07 + i -1.110947e+08 ; 1.488738e+08 + i 1.678884e+07 ; -1.597405e+08 + i 1.006005e+08 ; 1.775250e+07 + i -3.821400e+07 ; 
1.514606e+08 + i 2.170272e+07 ; 1.523291e+08 + i 1.691492e+07 ; -4.497627e+10 + i 1.682743e+10 ; -2.285285e+08 + i -4.000239e+08 ; 9.935116e+07 + i -2.625051e+07 ; -9.606510e+09 + i 6.899690e+09 ; 9.898052e+07 + i -2.120868e+07 ; -2.290804e+08 + i -4.095438e+08 ; -9.611236e+09 + i 6.891639e+09 ; -1.735154e+08 + i -2.374246e+08 ; -1.755187e+08 + i -2.466639e+08 ; -2.728180e+09 + i 3.429290e+09 ; 3.757928e+08 + i 7.912396e+08 ; 3.778385e+08 + i 7.850021e+08 ; 2.048294e+10 + i -1.247270e+10 ; 5.538681e+09 + i -3.334185e+09 ; 2.532395e+08 + i 3.108360e+08 ; 3.117507e+08 + i -3.899801e+09 ; 2.517289e+08 + i 3.173078e+08 ; 5.537802e+09 + i -3.353229e+09 ; 3.114508e+08 + i -3.907536e+09 ; 1.845398e+09 + i -1.519871e+09 ; 1.842674e+09 + i -1.538084e+09 ; -1.244490e+09 + i -1.288647e+09 ; 3.592175e+07 + i 2.882548e+07 ; 2.504323e+06 + i -2.002895e+07 ; -4.175244e+08 + i 4.300115e+08 ; 1.777091e+07 + i 2.776151e+07 ; -1.764424e+06 + i -1.121321e+07 ; -1.630755e+08 + i 1.705041e+08 ; 2.792027e+07 + i 1.175181e+07 ; -2.551872e+07 + i -3.799163e+07 ; -3.361087e+08 + i 3.657850e+08 ; 1.824873e+07 + i 2.141819e+07 ; -1.198197e+07 + i -1.511195e+07 ; -1.448680e+08 + i 1.580146e+08 ; 4.976723e+08 + i -7.322281e+07 ; 1.061642e+07 + i -5.420451e+06 ; -3.945099e+08 + i 9.878079e+07 ; 1.685293e+08 + i 2.843889e+07 ; 1.452264e+06 + i -6.813318e+06 ; -1.760863e+08 + i 1.014610e+08 ; 3.766951e+08 + i -8.319985e+07 ; 8.881666e+07 + i -1.110946e+08 ; -3.453160e+08 + i 1.200530e+08 ; 1.488751e+08 + i 1.678899e+07 ; 1.775238e+07 + i -3.821413e+07 ; -1.597402e+08 + i 1.005989e+08 ; 
2.049194e+10 + i -1.241744e+10 ; -3.785747e+08 + i -7.890071e+08 ; -3.785871e+08 + i -7.889928e+08 ; -4.489210e+10 + i 1.697464e+10 ; -1.471311e+08 + i -2.862737e+07 ; -1.471181e+08 + i -2.862923e+07 ; 3.244251e+08 + i -3.859634e+09 ; -5.517424e+09 + i 3.337478e+09 ; -2.541990e+08 + i -3.170336e+08 ; -9.536008e+09 + i 6.993235e+09 ; 2.114536e+08 + i 3.753480e+08 ; -9.551614e+07 + i 1.379513e+07 ; 3.243987e+08 + i -3.859614e+09 ; -2.542901e+08 + i -3.171202e+08 ; -5.517421e+09 + i 3.337473e+09 ; -9.536016e+09 + i 6.993252e+09 ; -9.556541e+07 + i 1.378193e+07 ; 2.114534e+08 + i 3.753410e+08 ; -1.229433e+09 + i -1.254622e+09 ; -1.840928e+09 + i 1.524808e+09 ; -1.840922e+09 + i 1.524801e+09 ; -2.666196e+09 + i 3.492910e+09 ; 1.579552e+08 + i 2.163463e+08 ; 1.579644e+08 + i 2.163339e+08 ; 3.881147e+09 + i -2.459477e+09 ; 1.393220e+08 + i 2.609747e+08 ; 1.393263e+08 + i 2.609710e+08 ; 1.260708e+09 + i -1.811383e+08 ; 8.544593e+07 + i 7.066047e+07 ; 8.544380e+07 + i 7.065929e+07 ; 1.368580e+09 + i -1.411760e+09 ; 1.678032e+09 + i -1.064014e+09 ; 1.127349e+08 + i 1.612781e+08 ; 8.435697e+08 + i -3.570785e+08 ; 3.341828e+08 + i -3.833647e+08 ; 7.107348e+07 + i 4.806114e+07 ; 1.368596e+09 + i -1.411769e+09 ; 1.127637e+08 + i 1.613038e+08 ; 1.678030e+09 + i -1.064010e+09 ; 8.435774e+08 + i -3.570830e+08 ; 7.109567e+07 + i 4.807208e+07 ; 3.341817e+08 + i -3.833610e+08 ; 4.781004e+08 + i -8.636619e+08 ; 9.188955e+08 + i -6.867811e+08 ; 9.188930e+08 + i -6.867774e+08 ; 5.642339e+08 + i -3.914528e+08 ; 2.405364e+08 + i -2.985756e+08 ; 2.405327e+08 + i -2.985711e+08 ; 
2.322385e+08 + i 4.166674e+08 ; -9.606687e+09 + i 6.899727e+09 ; 9.875071e+07 + i -2.702981e+07 ; -1.291077e+08 + i 7.041376e+06 ; -4.495902e+10 + i 1.686390e+10 ; 1.515377e+08 + i 1.421414e+07 ; -5.428300e+09 + i 3.345596e+09 ; 3.119195e+08 + i -3.899734e+09 ; 2.523059e+08 + i 3.082924e+08 ; -3.451197e+08 + i -7.118318e+08 ; 2.047672e+10 + i -1.245139e+10 ; 3.778187e+08 + i 7.789057e+08 ; 1.781209e+08 + i 2.549865e+08 ; -2.728029e+09 + i 3.429419e+09 ; -1.752358e+08 + i -2.460387e+08 ; -7.906028e+07 + i 4.427950e+07 ; -9.594540e+09 + i 6.925110e+09 ; -2.326364e+08 + i -4.116339e+08 ; -1.803115e+09 + i 1.539806e+09 ; -1.244437e+09 + i -1.288691e+09 ; 1.832957e+09 + i -1.534341e+09 ; -2.236356e+08 + i -2.588030e+08 ; 3.063853e+08 + i -3.885919e+09 ; 5.505601e+09 + i -3.352889e+09 ; -7.766198e+07 + i -1.675421e+08 ; -1.876859e+09 + i 1.291993e+09 ; 1.884183e+07 + i -2.379085e+07 ; 2.772712e+07 + i -4.963477e+07 ; -4.174836e+08 + i 4.300815e+08 ; 4.504112e+06 + i -1.782686e+07 ; 1.683455e+09 + i -1.041005e+09 ; -6.214604e+08 + i -2.674770e+08 ; 4.799053e+07 + i 5.364899e+07 ; 5.233078e+08 + i -4.096264e+07 ; -3.944956e+08 + i 9.880698e+07 ; 1.793060e+07 + i 2.420262e+06 ; -6.935292e+07 + i -1.296369e+08 ; -1.150060e+09 + i 9.595367e+08 ; -5.304322e+07 + i -8.898445e+07 ; 1.757252e+07 + i -5.247722e+07 ; -3.360578e+08 + i 3.658418e+08 ; -2.728079e+07 + i -3.444094e+07 ; 9.262418e+08 + i -6.730045e+08 ; -6.310858e+08 + i -5.864731e+07 ; 5.231648e+08 + i -4.114362e+08 ; 3.929827e+08 + i -8.451244e+07 ; -3.453234e+08 + i 1.200707e+08 ; 8.099367e+07 + i -1.224181e+08 ; 
2.322397e+08 + i 4.166673e+08 ; 9.875021e+07 + i -2.703106e+07 ; -9.606744e+09 + i 6.899743e+09 ; -1.290910e+08 + i 7.034380e+06 ; 1.515378e+08 + i 1.421339e+07 ; -4.495900e+10 + i 1.686386e+10 ; 1.781277e+08 + i 2.549813e+08 ; -1.752285e+08 + i -2.460510e+08 ; -2.728277e+09 + i 3.429355e+09 ; -7.904827e+07 + i 4.427465e+07 ; -2.326238e+08 + i -4.116489e+08 ; -9.594911e+09 + i 6.924790e+09 ; -5.428300e+09 + i 3.345596e+09 ; 2.523116e+08 + i 3.082846e+08 ; 3.117558e+08 + i -3.899783e+09 ; -3.451190e+08 + i -7.118275e+08 ; 3.778266e+08 + i 7.788969e+08 ; 2.047650e+10 + i -1.245152e+10 ; -1.803116e+09 + i 1.539809e+09 ; 1.832956e+09 + i -1.534342e+09 ; -1.244482e+09 + i -1.288635e+09 ; -2.236277e+08 + i -2.587993e+08 ; 5.505602e+09 + i -3.352888e+09 ; 3.063794e+08 + i -3.885906e+09 ; -7.766259e+07 + i -1.675440e+08 ; 1.884214e+07 + i -2.379048e+07 ; -1.876846e+09 + i 1.291984e+09 ; 2.772298e+07 + i -4.963300e+07 ; 4.504196e+06 + i -1.782698e+07 ; -4.174827e+08 + i 4.300821e+08 ; -6.935233e+07 + i -1.296384e+08 ; -5.304144e+07 + i -8.898695e+07 ; -1.150091e+09 + i 9.595182e+08 ; 1.757025e+07 + i -5.247567e+07 ; -2.728055e+07 + i -3.444213e+07 ; -3.360610e+08 + i 3.658478e+08 ; 1.683455e+09 + i -1.041006e+09 ; 4.799276e+07 + i 5.364654e+07 ; -6.215065e+08 + i -2.675047e+08 ; 5.233075e+08 + i -4.096391e+07 ; 1.793163e+07 + i 2.418628e+06 ; -3.945195e+08 + i 9.879799e+07 ; 9.262423e+08 + i -6.730075e+08 ; 5.231647e+08 + i -4.114358e+08 ; -6.310731e+08 + i -5.865370e+07 ; 3.929812e+08 + i -8.451379e+07 ; 8.099353e+07 + i -1.224183e+08 ; -3.453211e+08 + i 1.200679e+08 ; 
-9.616006e+09 + i 6.910116e+09 ; 2.164488e+08 + i 4.181717e+08 ; 9.851906e+07 + i -2.763637e+07 ; 3.221438e+08 + i -3.856964e+09 ; -5.421970e+09 + i 3.332437e+09 ; 2.526306e+08 + i 3.059832e+08 ; -4.498245e+10 + i 1.684603e+10 ; -1.513619e+08 + i -1.610610e+07 ; 1.510616e+08 + i 1.486641e+07 ; 2.049122e+10 + i -1.241787e+10 ; -3.629675e+08 + i -7.815186e+08 ; 3.773013e+08 + i 7.773885e+08 ; -2.736020e+09 + i 3.439363e+09 ; 1.732518e+08 + i 2.463943e+08 ; -1.757767e+08 + i -2.465815e+08 ; -1.229959e+09 + i -1.253436e+09 ; -1.799099e+09 + i 1.527636e+09 ; 1.827368e+09 + i -1.539120e+09 ; -9.615584e+09 + i 6.910156e+09 ; -9.850821e+07 + i 2.704999e+07 ; -2.303346e+08 + i -4.091430e+08 ; 3.241560e+08 + i -3.859610e+09 ; -2.495967e+08 + i -3.048630e+08 ; 5.501300e+09 + i -3.351498e+09 ; 8.436702e+08 + i -3.568282e+08 ; -3.459197e+08 + i 3.547330e+08 ; 4.203738e+07 + i 1.645110e+07 ; 4.200267e+08 + i -6.615547e+07 ; -9.447064e+07 + i 1.399640e+08 ; 1.846908e+07 + i -1.839493e+06 ; 1.260886e+09 + i -1.811151e+08 ; -4.944682e+07 + i -3.131474e+07 ; 5.048639e+07 + i 3.100526e+07 ; 4.823133e+08 + i -1.063341e+07 ; -2.088097e+07 + i -1.351926e+06 ; 2.131726e+07 + i 1.080063e+06 ; 5.642275e+08 + i -3.913205e+08 ; -2.481930e+08 + i 2.856873e+08 ; 2.526162e+08 + i -2.886396e+08 ; 3.589051e+08 + i -1.027575e+08 ; -7.625967e+07 + i 1.230365e+08 ; 7.779547e+07 + i -1.244914e+08 ; 8.436285e+08 + i -3.571029e+08 ; -4.125222e+07 + i -1.675223e+07 ; 3.519357e+08 + i -3.582436e+08 ; 4.200878e+08 + i -6.621201e+07 ; -1.810656e+07 + i 1.575269e+06 ; 9.632726e+07 + i -1.415913e+08 ; 
-3.624531e+08 + i -8.021719e+08 ; 2.048334e+10 + i -1.247280e+10 ; -3.769773e+08 + i -7.808335e+08 ; -5.510197e+09 + i 3.326429e+09 ; 3.097870e+08 + i -3.897128e+09 ; -2.524152e+08 + i -3.090660e+08 ; -1.520486e+08 + i -2.240962e+07 ; -4.497627e+10 + i 1.682734e+10 ; -1.517057e+08 + i -1.663165e+07 ; 2.154204e+08 + i 4.127130e+08 ; -9.606001e+09 + i 6.900153e+09 ; -9.890039e+07 + i 2.626709e+07 ; -2.496957e+08 + i -3.190928e+08 ; 3.116835e+08 + i -3.907424e+09 ; -5.507409e+09 + i 3.343883e+09 ; -1.834978e+09 + i 1.515641e+09 ; -1.244965e+09 + i -1.287423e+09 ; -1.832058e+09 + i 1.532961e+09 ; -9.951759e+07 + i 2.073676e+07 ; -9.610842e+09 + i 6.891914e+09 ; 2.284929e+08 + i 4.073100e+08 ; 1.717070e+08 + i 2.395604e+08 ; -2.727765e+09 + i 3.429393e+09 ; 1.749866e+08 + i 2.452724e+08 ; -4.960379e+08 + i 7.379547e+07 ; -3.947768e+08 + i 9.890033e+07 ; -1.055882e+07 + i 5.403860e+06 ; -1.681442e+08 + i -2.803431e+07 ; -1.761417e+08 + i 1.015396e+08 ; -1.437436e+06 + i 6.781381e+06 ; -3.672087e+07 + i -2.827363e+07 ; -4.175735e+08 + i 4.299908e+08 ; -2.473817e+06 + i 1.993916e+07 ; -1.810312e+07 + i -2.753927e+07 ; -1.631002e+08 + i 1.704855e+08 ; 1.767690e+06 + i 1.115897e+07 ; -3.753746e+08 + i 8.357610e+07 ; -3.455200e+08 + i 1.201991e+08 ; -8.826089e+07 + i 1.106717e+08 ; -1.485150e+08 + i -1.644257e+07 ; -1.597935e+08 + i 1.006750e+08 ; -1.762238e+07 + i 3.805325e+07 ; -2.842140e+07 + i -1.127007e+07 ; -3.361282e+08 + i 3.657834e+08 ; 2.544288e+07 + i 3.777883e+07 ; -1.851732e+07 + i -2.119931e+07 ; -1.448875e+08 + i 1.579992e+08 ; 1.194278e+07 + i 1.502534e+07 ; 
9.859684e+07 + i -2.106554e+07 ; 2.271614e+08 + i 4.016328e+08 ; -9.611507e+09 + i 6.891711e+09 ; -1.730274e+08 + i -2.361503e+08 ; 1.737497e+08 + i 2.416962e+08 ; -2.728296e+09 + i 3.429377e+09 ; 1.509150e+08 + i 2.149230e+07 ; -1.500360e+08 + i -1.595925e+07 ; -4.497626e+10 + i 1.682734e+10 ; -2.279574e+08 + i -3.980141e+08 ; -9.779911e+07 + i 2.611258e+07 ; -9.606570e+09 + i 6.899663e+09 ; 2.484214e+08 + i 3.180111e+08 ; -5.429866e+09 + i 3.323031e+09 ; 3.114535e+08 + i -3.907518e+09 ; 1.834696e+09 + i -1.514661e+09 ; -1.803684e+09 + i 1.520446e+09 ; -1.244482e+09 + i -1.288631e+09 ; 3.751986e+08 + i 7.875667e+08 ; -3.753718e+08 + i -7.703533e+08 ; 2.048292e+10 + i -1.247271e+10 ; 5.511190e+09 + i -3.325542e+09 ; -2.481208e+08 + i -3.069838e+08 ; 3.117379e+08 + i -3.899802e+09 ; 2.782297e+07 + i 1.165872e+07 ; 2.525819e+07 + i 3.720915e+07 ; -3.361124e+08 + i 3.657915e+08 ; 1.819231e+07 + i 2.129813e+07 ; 1.184341e+07 + i 1.478837e+07 ; -1.448670e+08 + i 1.580157e+08 ; 3.577428e+07 + i 2.864867e+07 ; -2.398454e+06 + i 1.966701e+07 ; -4.175339e+08 + i 4.300088e+08 ; 1.771656e+07 + i 2.761387e+07 ; 1.770153e+06 + i 1.100098e+07 ; -1.630799e+08 + i 1.705055e+08 ; 3.749449e+08 + i -8.321570e+07 ; -8.667424e+07 + i 1.095091e+08 ; -3.453170e+08 + i 1.200517e+08 ; 1.482299e+08 + i 1.655246e+07 ; -1.723183e+07 + i 3.759595e+07 ; -1.597408e+08 + i 1.005982e+08 ; 4.954107e+08 + i -7.345328e+07 ; -1.024157e+07 + i 5.165239e+06 ; -3.945103e+08 + i 9.878066e+07 ; 1.678249e+08 + i 2.812882e+07 ; -1.350664e+06 + i 6.626300e+06 ; -1.760863e+08 + i 1.014614e+08 ; 
3.226833e+08 + i -3.855264e+09 ; 5.411979e+09 + i -3.304941e+09 ; -2.531441e+08 + i -3.153158e+08 ; -9.536027e+09 + i 6.993127e+09 ; -1.990141e+08 + i -3.932277e+08 ; -9.502203e+07 + i 1.378709e+07 ; 2.049115e+10 + i -1.241791e+10 ; 3.651883e+08 + i 7.993706e+08 ; -3.773951e+08 + i -7.848481e+08 ; -4.489208e+10 + i 1.697467e+10 ; 1.452102e+08 + i 2.759811e+07 ; -1.464207e+08 + i -2.837006e+07 ; -1.229580e+09 + i -1.252799e+09 ; 1.803126e+09 + i -1.507324e+09 ; -1.830798e+09 + i 1.518848e+09 ; -2.666437e+09 + i 3.492777e+09 ; -1.558906e+08 + i -2.172037e+08 ; 1.573661e+08 + i 2.151568e+08 ; 3.242035e+08 + i -3.859566e+09 ; 2.511279e+08 + i 3.159525e+08 ; -5.488041e+09 + i 3.325626e+09 ; -9.536006e+09 + i 6.993248e+09 ; 9.508214e+07 + i -1.367599e+07 ; 2.107254e+08 + i 3.733562e+08 ; 1.369081e+09 + i -1.413150e+09 ; -1.647169e+09 + i 1.054591e+09 ; 1.122935e+08 + i 1.604144e+08 ; 8.437933e+08 + i -3.573964e+08 ; -3.275789e+08 + i 3.792153e+08 ; 7.075605e+07 + i 4.777933e+07 ; 3.881184e+09 + i -2.459462e+09 ; -1.402971e+08 + i -2.513457e+08 ; 1.388690e+08 + i 2.595884e+08 ; 1.260771e+09 + i -1.811294e+08 ; -8.467217e+07 + i -6.781177e+07 ; 8.508906e+07 + i 7.024418e+07 ; 4.782706e+08 + i -8.645208e+08 ; -9.016324e+08 + i 6.799986e+08 ; 9.138986e+08 + i -6.841666e+08 ; 5.643743e+08 + i -3.917209e+08 ; -2.356891e+08 + i 2.952718e+08 ; 2.391329e+08 + i -2.973104e+08 ; 1.368628e+09 + i -1.411770e+09 ; -1.124395e+08 + i -1.557663e+08 ; 1.669056e+09 + i -1.060170e+09 ; 8.436222e+08 + i -3.570887e+08 ; -7.034746e+07 + i -4.601852e+07 ; 3.322590e+08 + i -3.817657e+08 ; 
5.403399e+09 + i -3.334262e+09 ; 3.102439e+08 + i -3.895418e+09 ; -2.513385e+08 + i -3.066006e+08 ; 3.337157e+08 + i 7.337114e+08 ; 2.047653e+10 + i -1.245162e+10 ; -3.766069e+08 + i -7.748488e+08 ; -2.210081e+08 + i -4.397156e+08 ; -9.605892e+09 + i 6.900148e+09 ; -9.830269e+07 + i 2.700159e+07 ; 1.290374e+08 + i -6.981191e+06 ; -4.495907e+10 + i 1.686392e+10 ; -1.508958e+08 + i -1.400240e+07 ; 1.793705e+09 + i -1.534409e+09 ; -1.244613e+09 + i -1.286835e+09 ; -1.822866e+09 + i 1.528339e+09 ; 2.226287e+08 + i 2.627696e+08 ; 3.065261e+08 + i -3.885754e+09 ; -5.476275e+09 + i 3.340952e+09 ; -1.771705e+08 + i -2.588809e+08 ; -2.727814e+09 + i 3.429391e+09 ; 1.745814e+08 + i 2.447134e+08 ; 7.991777e+07 + i -4.384450e+07 ; -9.594511e+09 + i 6.925119e+09 ; 2.318315e+08 + i 4.094615e+08 ; -1.675313e+09 + i 1.035868e+09 ; -6.209275e+08 + i -2.688818e+08 ; -4.779835e+07 + i -5.335720e+07 ; -5.205258e+08 + i 4.030680e+07 ; -3.944394e+08 + i 9.845080e+07 ; -1.784711e+07 + i -2.395939e+06 ; 7.954923e+07 + i 1.620282e+08 ; -1.876879e+09 + i 1.291967e+09 ; -1.874576e+07 + i 2.369390e+07 ; -2.649405e+07 + i 4.848595e+07 ; -4.174663e+08 + i 4.300501e+08 ; -4.473598e+06 + i 1.774693e+07 ; -9.218176e+08 + i 6.696918e+08 ; -6.309139e+08 + i -5.949272e+07 ; -5.203050e+08 + i 4.098522e+08 ; -3.909304e+08 + i 8.372659e+07 ; -3.453065e+08 + i 1.198060e+08 ; -8.050509e+07 + i 1.218883e+08 ; 6.997149e+07 + i 1.266485e+08 ; -1.150070e+09 + i 9.595250e+08 ; 5.285614e+07 + i 8.851157e+07 ; -1.680192e+07 + i 5.143365e+07 ; -3.360455e+08 + i 3.658115e+08 ; 2.717575e+07 + i 3.425293e+07 ; 
