-7.708744e+09 + i 5.206664e+08 ; -1.943990e+07 + i -1.370260e+06 ; -1.944432e+07 + i -1.370624e+06 ; 2.379161e+09 + i -2.708547e+08 ; 1.332807e+08 + i -5.871448e+06 ; 1.332779e+08 + i -5.872620e+06 ; -1.118536e+09 + i 1.268213e+08 ; -7.075773e+07 + i 3.017400e+06 ; -1.326741e+07 + i -1.069088e+05 ; -2.775437e+08 + i -5.005710e+06 ; 5.964571e+08 + i -7.265681e+07 ; 3.368546e+07 + i -3.438602e+06 ; -1.118535e+09 + i 1.268221e+08 ; -1.326578e+07 + i -1.069472e+05 ; -7.075749e+07 + i 3.017214e+06 ; -2.775456e+08 + i -5.004913e+06 ; 3.370254e+07 + i -3.432184e+06 ; 5.964577e+08 + i -7.265654e+07 ; -1.985039e+08 + i 4.020312e+07 ; -3.617370e+07 + i 2.387683e+06 ; -3.616689e+07 + i 2.389802e+06 ; -1.142202e+08 + i 1.599818e+07 ; 1.584767e+08 + i -2.418196e+07 ; 1.584772e+08 + i -2.418169e+07 ; 1.956000e+08 + i -1.610819e+07 ; 7.782890e+05 + i -4.944387e+05 ; 7.792540e+05 + i -4.943681e+05 ; 9.345048e+07 + i -6.159052e+06 ; -8.685608e+05 + i -6.390629e+04 ; -8.686618e+05 + i -6.391592e+04 ; 6.979103e+07 + i -1.095443e+07 ; 2.529477e+07 + i -4.602165e+06 ; -5.908843e+05 + i -3.008006e+05 ; 4.570675e+07 + i -6.044210e+06 ; 5.789933e+06 + i -1.237963e+06 ; -9.873418e+05 + i -2.590663e+04 ; 6.979204e+07 + i -1.095388e+07 ; -5.895173e+05 + i -3.001326e+05 ; 2.529492e+07 + i -4.602124e+06 ; 4.570693e+07 + i -6.044039e+06 ; -9.868957e+05 + i -2.576772e+04 ; 5.789915e+06 + i -1.237973e+06 ; 2.452833e+07 + i -6.377491e+06 ; 1.694318e+07 + i -3.270544e+06 ; 1.694295e+07 + i -3.270637e+06 ; 2.299891e+07 + i -4.621518e+06 ; 4.510496e+06 + i -1.000965e+06 ; 4.510450e+06 + i -1.000961e+06 ; 
-1.825913e+07 + i -1.431890e+06 ; -7.714433e+09 + i 5.206334e+08 ; -1.930781e+07 + i -1.389766e+06 ; -6.902510e+07 + i 2.901004e+06 ; -1.121370e+09 + i 1.268352e+08 ; -1.304730e+07 + i -1.177199e+05 ; 1.357888e+08 + i -5.895997e+06 ; 2.367088e+09 + i -2.706640e+08 ; 1.336201e+08 + i -5.911902e+06 ; 6.018334e+08 + i -7.281426e+07 ; -2.839105e+08 + i -4.660845e+06 ; 3.406243e+07 + i -3.471910e+06 ; -1.224714e+07 + i -1.765032e+05 ; -1.122578e+09 + i 1.269474e+08 ; -7.060079e+07 + i 2.993995e+06 ; -3.479514e+07 + i 2.266442e+06 ; -2.002486e+08 + i 4.030521e+07 ; -3.594472e+07 + i 2.378876e+06 ; 3.587570e+07 + i -3.482353e+06 ; -2.851191e+08 + i -4.591415e+06 ; 5.972811e+08 + i -7.274740e+07 ; 1.629037e+08 + i -2.436559e+07 ; -1.178985e+08 + i 1.638796e+07 ; 1.592000e+08 + i -2.425237e+07 ; 1.678943e+05 + i -5.275872e+05 ; -3.305689e+07 + i 5.908239e+06 ; -3.342944e+06 + i 1.486188e+05 ; 1.215805e+06 + i -4.225369e+05 ; -1.286761e+07 + i 2.182744e+06 ; -1.319552e+06 + i 1.025561e+05 ; 7.501702e+07 + i -6.701634e+06 ; -3.089198e+07 + i 4.794484e+06 ; -1.429186e+06 + i 1.081695e+04 ; 3.647420e+07 + i -2.436531e+06 ; -1.152103e+07 + i 1.925615e+06 ; -9.043701e+05 + i 5.225279e+04 ; -2.144369e+06 + i -3.263830e+05 ; -2.593458e+07 + i 4.686130e+06 ; -5.421252e+06 + i 3.716529e+05 ; -1.175332e+05 + i -3.491580e+05 ; -1.077338e+07 + i 1.921595e+06 ; -1.814090e+06 + i 1.666950e+05 ; 4.848232e+07 + i -5.111240e+06 ; -2.337790e+07 + i 3.909773e+06 ; 5.791624e+06 + i -1.125654e+06 ; 2.638882e+07 + i -2.251294e+06 ; -9.766878e+06 + i 1.709321e+06 ; 6.471543e+05 + i -2.194219e+05 ; 
-1.826824e+07 + i -1.433072e+06 ; -1.930809e+07 + i -1.389784e+06 ; -7.714442e+09 + i 5.206295e+08 ; -6.902481e+07 + i 2.900968e+06 ; -1.304767e+07 + i -1.177403e+05 ; -1.121384e+09 + i 1.268347e+08 ; -1.225118e+07 + i -1.765841e+05 ; -7.060417e+07 + i 2.992395e+06 ; -1.122636e+09 + i 1.269238e+08 ; -3.478849e+07 + i 2.268508e+06 ; -3.594655e+07 + i 2.378145e+06 ; -2.002610e+08 + i 4.030392e+07 ; 1.357883e+08 + i -5.895862e+06 ; 1.336181e+08 + i -5.912874e+06 ; 2.367059e+09 + i -2.706754e+08 ; 6.018344e+08 + i -7.281388e+07 ; 3.406054e+07 + i -3.472665e+06 ; -2.839233e+08 + i -4.665077e+06 ; 3.585698e+07 + i -3.486352e+06 ; 5.972808e+08 + i -7.274759e+07 ; -2.851233e+08 + i -4.593036e+06 ; 1.628991e+08 + i -2.436692e+07 ; 1.591986e+08 + i -2.425271e+07 ; -1.179054e+08 + i 1.638841e+07 ; 1.699345e+05 + i -5.273955e+05 ; -3.342985e+06 + i 1.485995e+05 ; -3.305878e+07 + i 5.908073e+06 ; 1.216315e+06 + i -4.224625e+05 ; -1.319606e+06 + i 1.025452e+05 ; -1.286756e+07 + i 2.182832e+06 ; -2.140985e+06 + i -3.258224e+05 ; -5.421343e+06 + i 3.716197e+05 ; -2.593579e+07 + i 4.686037e+06 ; -1.157515e+05 + i -3.487631e+05 ; -1.814077e+06 + i 1.667049e+05 ; -1.077324e+07 + i 1.921724e+06 ; 7.501645e+07 + i -6.701749e+06 ; -1.429391e+06 + i 1.071752e+04 ; -3.089432e+07 + i 4.793839e+06 ; 3.647394e+07 + i -2.436587e+06 ; -9.044665e+05 + i 5.221815e+04 ; -1.152178e+07 + i 1.925449e+06 ; 4.848455e+07 + i -5.111048e+06 ; 5.791709e+06 + i -1.125628e+06 ; -2.337865e+07 + i 3.909560e+06 ; 2.638926e+07 + i -2.251280e+06 ; 6.471844e+05 + i -2.194039e+05 ; -9.767382e+06 + i 1.709236e+06 ; 
2.379392e+09 + i -2.708032e+08 ; -1.362063e+08 + i 5.802175e+06 ; -1.362027e+08 + i 5.803743e+06 ; -7.688540e+09 + i 5.195891e+08 ; 1.631870e+07 + i 1.455803e+06 ; 1.632341e+07 + i 1.456280e+06 ; -2.774704e+08 + i -4.990336e+06 ; -6.057218e+08 + i 7.261434e+07 ; -3.529080e+07 + i 3.528638e+06 ; -1.109029e+09 + i 1.258886e+08 ; 6.589945e+07 + i -2.649611e+06 ; 1.042421e+07 + i 1.984959e+05 ; -2.774773e+08 + i -4.990786e+06 ; -3.530537e+07 + i 3.522810e+06 ; -6.057223e+08 + i 7.261407e+07 ; -1.109019e+09 + i 1.258918e+08 ; 1.042186e+07 + i 1.983024e+05 ; 6.589886e+07 + i -2.649618e+06 ; -1.142023e+08 + i 1.600140e+07 ; -1.621537e+08 + i 2.436203e+07 ; -1.621546e+08 + i 2.436157e+07 ; -1.943996e+08 + i 3.950551e+07 ; 3.172133e+07 + i -2.089107e+06 ; 3.171909e+07 + i -2.090001e+06 ; 4.586428e+08 + i -5.120921e+07 ; 4.138550e+07 + i -2.133338e+06 ; 4.138455e+07 + i -2.133815e+06 ; 1.955903e+08 + i -1.610959e+07 ; 4.072298e+06 + i -9.667537e+05 ; 4.070780e+06 + i -9.670031e+05 ; 1.000800e+08 + i -1.875350e+07 ; 1.787211e+08 + i -2.213180e+07 ; 2.043779e+07 + i -1.616320e+06 ; 6.977934e+07 + i -1.095510e+07 ; 2.133553e+07 + i -4.437875e+06 ; 2.414938e+06 + i -6.339464e+05 ; 1.000872e+08 + i -1.875235e+07 ; 2.044109e+07 + i -1.614831e+06 ; 1.787216e+08 + i -2.213160e+07 ; 6.978266e+07 + i -1.095456e+07 ; 2.416700e+06 + i -6.334403e+05 ; 2.133591e+07 + i -4.437784e+06 ; 1.209026e+07 + i -6.327247e+06 ; 8.779741e+07 + i -1.215478e+07 ; 8.779851e+07 + i -1.215438e+07 ; 2.452071e+07 + i -6.377039e+06 ; 1.585442e+07 + i -3.177437e+06 ; 1.585501e+07 + i -3.177159e+06 ; 
7.581114e+07 + i -2.737495e+06 ; -1.121595e+09 + i 1.267828e+08 ; -1.338411e+07 + i -1.414080e+05 ; 2.208948e+07 + i 1.302363e+06 ; -7.706947e+09 + i 5.203978e+08 ; -1.966877e+07 + i -1.408774e+06 ; -6.236100e+08 + i 7.150075e+07 ; -2.838879e+08 + i -4.654239e+06 ; 3.425833e+07 + i -3.453959e+06 ; -1.304275e+08 + i 4.693669e+06 ; 2.372878e+09 + i -2.706803e+08 ; 1.349369e+08 + i -5.712706e+06 ; 3.910362e+07 + i -2.351306e+06 ; -2.002855e+08 + i 4.030211e+07 ; -3.655010e+07 + i 2.342880e+06 ; 1.498832e+07 + i -1.495884e+04 ; -1.115995e+09 + i 1.267190e+08 ; -7.177311e+07 + i 2.955788e+06 ; -1.639061e+08 + i 2.408698e+07 ; -1.179073e+08 + i 1.638499e+07 ; 1.610995e+08 + i -2.424506e+07 ; -2.860618e+07 + i 2.984565e+06 ; -2.798178e+08 + i -4.664265e+06 ; 6.038514e+08 + i -7.243968e+07 ; -2.987695e+07 + i 1.180793e+06 ; -2.191816e+08 + i 2.504699e+07 ; -6.746066e+06 + i 3.279167e+04 ; -1.571733e+07 + i -3.361379e+04 ; -3.303660e+07 + i 5.915860e+06 ; -2.682036e+06 + i 1.553468e+05 ; 1.856669e+08 + i -2.218621e+07 ; -1.123160e+08 + i 7.804565e+06 ; 6.723888e+06 + i -5.524776e+05 ; 8.033998e+07 + i -6.985473e+06 ; -3.089204e+07 + i 4.795426e+06 ; -8.920710e+05 + i -1.026675e+05 ; -2.044821e+07 + i 1.108694e+06 ; -1.145241e+08 + i 1.588700e+07 ; -1.444898e+07 + i 7.435620e+05 ; -1.248113e+07 + i 2.549861e+05 ; -2.592045e+07 + i 4.690617e+06 ; -4.399018e+06 + i 3.796771e+05 ; 9.233121e+07 + i -1.214546e+07 ; -7.372489e+07 + i 8.070046e+06 ; 4.879927e+07 + i -6.860565e+06 ; 4.740936e+07 + i -5.128481e+06 ; -2.337746e+07 + i 3.910196e+06 ; 3.894711e+06 + i -1.049067e+06 ; 
7.581262e+07 + i -2.737135e+06 ; -1.338456e+07 + i -1.414499e+05 ; -1.121610e+09 + i 1.267825e+08 ; 2.209443e+07 + i 1.302845e+06 ; -1.966900e+07 + i -1.408770e+06 ; -7.706955e+09 + i 5.203949e+08 ; 3.910306e+07 + i -2.351883e+06 ; -3.655197e+07 + i 2.342124e+06 ; -2.002951e+08 + i 4.030188e+07 ; 1.499004e+07 + i -1.527127e+04 ; -7.177609e+07 + i 2.954322e+06 ; -1.116063e+09 + i 1.266927e+08 ; -6.236099e+08 + i 7.150067e+07 ; 3.425670e+07 + i -3.454610e+06 ; -2.839009e+08 + i -4.658857e+06 ; -1.304271e+08 + i 4.693562e+06 ; 1.349344e+08 + i -5.713846e+06 ; 2.372853e+09 + i -2.706905e+08 ; -1.639003e+08 + i 2.408864e+07 ; 1.610986e+08 + i -2.424516e+07 ; -1.178955e+08 + i 1.639079e+07 ; -2.859691e+07 + i 2.986603e+06 ; 6.038507e+08 + i -7.243997e+07 ; -2.798219e+08 + i -4.666032e+06 ; -2.987854e+07 + i 1.180437e+06 ; -6.746045e+06 + i 3.277192e+04 ; -2.191751e+08 + i 2.504812e+07 ; -1.571896e+07 + i -3.384423e+04 ; -2.682153e+06 + i 1.553210e+05 ; -3.303472e+07 + i 5.916277e+06 ; -2.044808e+07 + i 1.108725e+06 ; -1.444916e+07 + i 7.434214e+05 ; -1.145238e+08 + i 1.588656e+07 ; -1.248101e+07 + i 2.551688e+05 ; -4.399041e+06 + i 3.796689e+05 ; -2.591918e+07 + i 4.690991e+06 ; 1.856669e+08 + i -2.218615e+07 ; 6.723557e+06 + i -5.526714e+05 ; -1.123183e+08 + i 7.803143e+06 ; 8.034004e+07 + i -6.985375e+06 ; -8.923128e+05 + i -1.027611e+05 ; -3.089359e+07 + i 4.794929e+06 ; 9.232823e+07 + i -1.214627e+07 ; 4.879976e+07 + i -6.860442e+06 ; -7.372369e+07 + i 8.069710e+06 ; 4.740667e+07 + i -5.129106e+06 ; 3.894715e+06 + i -1.049047e+06 ; -2.337888e+07 + i 3.909801e+06 ; 
-1.118776e+09 + i 1.267610e+08 ; 7.336904e+07 + i -3.036478e+06 ; -1.344946e+07 + i -1.356268e+05 ; -2.776977e+08 + i -5.075177e+06 ; -6.271538e+08 + i 7.159798e+07 ; 3.407610e+07 + i -3.428653e+06 ; -7.708837e+09 + i 5.206303e+08 ; 2.011891e+07 + i 1.461042e+06 ; -1.969363e+07 + i -1.425908e+06 ; 2.379109e+09 + i -2.708835e+08 ; -1.391028e+08 + i 5.524498e+06 ; 1.350243e+08 + i -5.688857e+06 ; -1.985593e+08 + i 4.019240e+07 ; 3.795053e+07 + i -2.241637e+06 ; -3.663871e+07 + i 2.350869e+06 ; -1.142716e+08 + i 1.598088e+07 ; -1.666879e+08 + i 2.413538e+07 ; 1.605895e+08 + i -2.418434e+07 ; -1.118535e+09 + i 1.268246e+08 ; 1.385871e+07 + i 1.941630e+05 ; -7.168194e+07 + i 2.918393e+06 ; -2.775366e+08 + i -5.001171e+06 ; -3.536082e+07 + i 3.360086e+06 ; 6.043474e+08 + i -7.243451e+07 ; 6.984948e+07 + i -1.094097e+07 ; -2.659324e+07 + i 4.638440e+06 ; -6.051689e+05 + i -3.071398e+05 ; 4.573450e+07 + i -6.037789e+06 ; -6.085287e+06 + i 1.256841e+06 ; -1.001632e+06 + i -2.835352e+04 ; 1.956046e+08 + i -1.610705e+07 ; -7.767794e+05 + i 5.273882e+05 ; 7.935525e+05 + i -4.988504e+05 ; 9.345003e+07 + i -6.158847e+06 ; 9.241218e+05 + i 7.822241e+04 ; -8.788188e+05 + i -6.629625e+04 ; 2.454507e+07 + i -6.376350e+06 ; -1.781427e+07 + i 3.304547e+06 ; 1.716928e+07 + i -3.280073e+06 ; 2.301128e+07 + i -4.620220e+06 ; -4.740592e+06 + i 1.017619e+06 ; 4.571182e+06 + i -1.005102e+06 ; 6.979680e+07 + i -1.095253e+07 ; 6.500461e+05 + i 3.303006e+05 ; 2.563296e+07 + i -4.612314e+06 ; 4.570728e+07 + i -6.043522e+06 ; 1.047272e+06 + i 3.841677e+04 ; 5.867718e+06 + i -1.242674e+06 ; 
-1.364526e+08 + i 6.152099e+06 ; 2.367306e+09 + i -2.706211e+08 ; -1.353891e+08 + i 5.721726e+06 ; -6.092394e+08 + i 7.261627e+07 ; -2.840043e+08 + i -4.717782e+06 ; -3.452632e+07 + i 3.447436e+06 ; 1.829298e+07 + i 1.403343e+06 ; -7.714517e+09 + i 5.206062e+08 ; 1.948818e+07 + i 1.431047e+06 ; 6.884227e+07 + i -3.258035e+06 ; -1.121351e+09 + i 1.268540e+08 ; 1.318159e+07 + i 1.381645e+05 ; -3.624371e+07 + i 3.482452e+06 ; -2.850249e+08 + i -4.566035e+06 ; -6.051779e+08 + i 7.252692e+07 ; -1.649131e+08 + i 2.436682e+07 ; -1.179106e+08 + i 1.638201e+07 ; -1.613119e+08 + i 2.425753e+07 ; 1.232510e+07 + i 1.781438e+05 ; -1.122610e+09 + i 1.269364e+08 ; 7.153169e+07 + i -2.892637e+06 ; 3.513542e+07 + i -2.258971e+06 ; -2.002656e+08 + i 4.029901e+07 ; 3.642192e+07 + i -2.338094e+06 ; -7.598708e+07 + i 6.625105e+06 ; -3.093679e+07 + i 4.779078e+06 ; 1.446935e+06 + i -8.326113e+03 ; -3.695075e+07 + i 2.385970e+06 ; -1.152541e+07 + i 1.924412e+06 ; 9.159746e+05 + i -5.119134e+04 ; -2.450365e+05 + i 4.936434e+05 ; -3.306303e+07 + i 5.906781e+06 ; 3.383911e+06 + i -1.444141e+05 ; -1.266755e+06 + i 4.051609e+05 ; -1.287017e+07 + i 2.182095e+06 ; 1.336367e+06 + i -1.013433e+05 ; -4.910902e+07 + i 5.072360e+06 ; -2.340469e+07 + i 3.902468e+06 ; -5.868619e+06 + i 1.129122e+06 ; -2.673376e+07 + i 2.221396e+06 ; -9.771762e+06 + i 1.708222e+06 ; -6.557241e+05 + i 2.210902e+05 ; 2.131955e+06 + i 3.146551e+05 ; -2.593429e+07 + i 4.686385e+06 ; 5.492712e+06 + i -3.657584e+05 ; 9.637762e+04 + i 3.416199e+05 ; -1.077382e+07 + i 1.921421e+06 ; 1.838188e+06 + i -1.652486e+05 ; 
-1.238907e+07 + i -1.917897e+05 ; 7.423829e+07 + i -2.563043e+06 ; -1.122875e+09 + i 1.268708e+08 ; -3.520480e+07 + i 2.237830e+06 ; 3.779548e+07 + i -2.209047e+06 ; -2.003092e+08 + i 4.029860e+07 ; -1.848074e+07 + i -1.482398e+06 ; 2.020392e+07 + i 1.601542e+06 ; -7.714524e+09 + i 5.206045e+08 ; -6.987292e+07 + i 2.806434e+06 ; 1.365289e+07 + i 2.118901e+05 ; -1.121422e+09 + i 1.268288e+08 ; 3.604210e+07 + i -3.568037e+06 ; -6.282484e+08 + i 7.156430e+07 ; -2.850977e+08 + i -4.585520e+06 ; 1.648408e+08 + i -2.440564e+07 ; -1.673739e+08 + i 2.424053e+07 ; -1.178945e+08 + i 1.639070e+07 ; 1.374853e+08 + i -5.698246e+06 ; -1.405185e+08 + i 5.100334e+06 ; 2.367071e+09 + i -2.706699e+08 ; 6.093606e+08 + i -7.255015e+07 ; -3.564203e+07 + i 3.452105e+06 ; -2.839136e+08 + i -4.662022e+06 ; -2.162016e+06 + i -3.333643e+05 ; 5.696790e+06 + i -3.480931e+05 ; -2.593363e+07 + i 4.687004e+06 ; -1.136941e+05 + i -3.529381e+05 ; 1.906143e+06 + i -1.611580e+05 ; -1.077182e+07 + i 1.922067e+06 ; 1.692784e+05 + i -5.345002e+05 ; 3.508013e+06 + i -1.315628e+05 ; -3.306204e+07 + i 5.907839e+06 ; 1.229625e+06 + i -4.260030e+05 ; 1.385688e+06 + i -9.776930e+04 ; -1.286848e+07 + i 2.182779e+06 ; 4.909454e+07 + i -5.082382e+06 ; -6.085877e+06 + i 1.139527e+06 ; -2.337776e+07 + i 3.909989e+06 ; 2.672119e+07 + i -2.228777e+06 ; -6.792144e+05 + i 2.262925e+05 ; -9.767232e+06 + i 1.709321e+06 ; 7.594227e+07 + i -6.642595e+06 ; 1.516390e+06 + i 5.309695e+03 ; -3.089362e+07 + i 4.794117e+06 ; 3.692101e+07 + i -2.398186e+06 ; 9.541729e+05 + i -4.635357e+04 ; -1.152130e+07 + i 1.925571e+06 ; 
-2.786529e+08 + i -5.213200e+06 ; 6.374354e+08 + i -7.118634e+07 ; -3.565351e+07 + i 3.522029e+06 ; -1.108922e+09 + i 1.259071e+08 ; -6.279623e+07 + i 3.413344e+06 ; 1.055543e+07 + i 2.198973e+05 ; 2.379011e+09 + i -2.709058e+08 ; 1.367881e+08 + i -6.118513e+06 ; -1.378114e+08 + i 5.640685e+06 ; -7.688497e+09 + i 5.196004e+08 ; -1.709230e+07 + i -1.655052e+06 ; 1.651605e+07 + i 1.501661e+06 ; -1.144045e+08 + i 1.598291e+07 ; 1.705274e+08 + i -2.425783e+07 ; -1.641022e+08 + i 2.436953e+07 ; -1.944505e+08 + i 3.949129e+07 ; -3.282495e+07 + i 1.976494e+06 ; 3.209259e+07 + i -2.060792e+06 ; -2.774576e+08 + i -4.979668e+06 ; 3.664033e+07 + i -3.444530e+06 ; -6.129457e+08 + i 7.243320e+07 ; -1.109001e+09 + i 1.258972e+08 ; -1.074893e+07 + i -2.588137e+05 ; 6.667443e+07 + i -2.568984e+06 ; 1.004219e+08 + i -1.869244e+07 ; -1.887463e+08 + i 2.160920e+07 ; 2.066350e+07 + i -1.603957e+06 ; 6.993390e+07 + i -1.092375e+07 ; -2.265050e+07 + i 4.459037e+06 ; 2.438326e+06 + i -6.383167e+05 ; 4.586516e+08 + i -5.120745e+07 ; -4.486465e+07 + i 1.642337e+06 ; 4.187867e+07 + i -2.087635e+06 ; 1.955882e+08 + i -1.611015e+07 ; -4.496563e+06 + i 9.553247e+05 ; 4.121689e+06 + i -9.711662e+05 ; 1.223230e+07 + i -6.307331e+06 ; -9.273228e+07 + i 1.197151e+07 ; 8.884963e+07 + i -1.214706e+07 ; 2.460209e+07 + i -6.364028e+06 ; -1.682348e+07 + i 3.188099e+06 ; 1.604709e+07 + i -3.187253e+06 ; 1.000898e+08 + i -1.875184e+07 ; -2.205329e+07 + i 1.431279e+06 ; 1.808536e+08 + i -2.208667e+07 ; 6.978019e+07 + i -1.095497e+07 ; -2.695871e+06 + i 6.251989e+05 ; 2.159343e+07 + i -4.453411e+06 ; 
6.317292e+08 + i -7.100945e+07 ; -2.850254e+08 + i -4.870743e+06 ; -3.467672e+07 + i 3.433944e+06 ; 1.256635e+08 + i -5.631162e+06 ; 2.372753e+09 + i -2.707162e+08 ; -1.365494e+08 + i 5.544287e+06 ; -7.025165e+07 + i 3.799300e+06 ; -1.121247e+09 + i 1.268760e+08 ; 1.350611e+07 + i 1.592514e+05 ; -2.228320e+07 + i -1.344905e+06 ; -7.706911e+09 + i 5.204123e+08 ; 1.983111e+07 + i 1.444765e+06 ; 1.659010e+08 + i -2.404875e+07 ; -1.180796e+08 + i 1.637449e+07 ; -1.630259e+08 + i 2.425603e+07 ; 2.849330e+07 + i -2.993898e+06 ; -2.797258e+08 + i -4.634965e+06 ; -6.110480e+08 + i 7.226215e+07 ; -3.905671e+07 + i 2.346229e+06 ; -2.003067e+08 + i 4.029017e+07 ; 3.698827e+07 + i -2.306466e+06 ; -1.495794e+07 + i 2.366514e+04 ; -1.116016e+09 + i 1.267097e+08 ; 7.262809e+07 + i -2.865695e+06 ; -1.877778e+08 + i 2.209706e+07 ; -1.119904e+08 + i 7.859832e+06 ; -6.806172e+06 + i 5.467292e+05 ; -8.116216e+07 + i 6.929746e+06 ; -3.084822e+07 + i 4.801177e+06 ; 9.011935e+05 + i 1.051808e+05 ; 3.154574e+07 + i -8.932398e+05 ; -2.192081e+08 + i 2.503981e+07 ; 6.814859e+06 + i -2.372921e+04 ; 1.648008e+07 + i 1.889474e+05 ; -3.304909e+07 + i 5.911526e+06 ; 2.711253e+06 + i -1.529459e+05 ; -9.338709e+07 + i 1.211394e+07 ; -7.359488e+07 + i 8.088324e+06 ; -4.938192e+07 + i 6.858222e+06 ; -4.789343e+07 + i 5.106954e+06 ; -2.335070e+07 + i 3.913692e+06 ; -3.941525e+06 + i 1.054925e+06 ; 2.124563e+07 + i -9.877236e+05 ; -1.145359e+08 + i 1.588371e+07 ; 1.462012e+07 + i -7.274992e+05 ; 1.294381e+07 + i -1.745718e+05 ; -2.592873e+07 + i 4.687707e+06 ; 4.451784e+06 + i -3.764739e+05 ; 
