1.101163e+00 + i 1.702623e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.836399e-02 + i -8.141298e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.290295e-03 + i -7.230478e-04 ; -1.282136e-02 + i -2.158023e-03 ; 0.000000e+00 + i -0.000000e+00 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.290295e-03 + i -7.230478e-04 ; 0.000000e+00 + i -0.000000e+00 ; -1.282136e-02 + i -2.158023e-03 ; 8.531064e-03 + i 1.434975e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.344135e-05 + i -3.190337e-06 ; -4.653846e-03 + i -7.833108e-04 ; -4.653846e-03 + i -7.833108e-04 ; -2.389271e-03 + i -4.030770e-04 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -9.409108e-04 + i -1.592958e-04 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.629426e-03 + i -2.751838e-04 ; -9.551932e-04 + i -1.607734e-04 ; 0.000000e+00 + i -0.000000e+00 ; -7.636804e-04 + i -1.294651e-04 ; -3.161419e-04 + i -5.321184e-05 ; 0.000000e+00 + i -0.000000e+00 ; -1.629426e-03 + i -2.751838e-04 ; 0.000000e+00 + i -0.000000e+00 ; -9.551932e-04 + i -1.607734e-04 ; -7.636804e-04 + i -1.294651e-04 ; 0.000000e+00 + i -0.000000e+00 ; -3.161419e-04 + i -5.321184e-05 ; -1.145546e-03 + i -1.937393e-04 ; -7.223794e-04 + i -1.215874e-04 ; -7.223794e-04 + i -1.215874e-04 ; -6.260892e-04 + i -1.063062e-04 ; -2.688470e-04 + i -4.525140e-05 ; -2.688470e-04 + i -4.525140e-05 ; 
-0.000000e+00 + i -0.000000e+00 ; 1.101163e+00 + i 1.702623e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.836399e-02 + i -8.141298e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.282136e-02 + i -2.158023e-03 ; -4.290295e-03 + i -7.230478e-04 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.531064e-03 + i 1.434975e-03 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.290295e-03 + i -7.230478e-04 ; -1.282136e-02 + i -2.158023e-03 ; -4.653846e-03 + i -7.833108e-04 ; -1.344135e-05 + i -3.190337e-06 ; -4.653846e-03 + i -7.833108e-04 ; -0.000000e+00 + i -0.000000e+00 ; 1.181967e-03 + i 1.980158e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.612890e-04 + i 7.671684e-05 ; -0.000000e+00 + i -0.000000e+00 ; -9.551932e-04 + i -1.607734e-04 ; 6.278673e-04 + i 1.047528e-04 ; 0.000000e+00 + i -0.000000e+00 ; -3.161419e-04 + i -5.321184e-05 ; 3.306174e-04 + i 5.472304e-05 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.778136e-04 + i 1.636540e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.153843e-04 + i 6.899069e-05 ; -0.000000e+00 + i -0.000000e+00 ; -7.223794e-04 + i -1.215874e-04 ; 5.615667e-04 + i 9.359372e-05 ; -2.646522e-04 + i -4.454499e-05 ; -2.688470e-04 + i -4.525140e-05 ; 3.045013e-04 + i 5.032758e-05 ; -7.208579e-05 + i -1.213323e-05 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.101163e+00 + i 1.702623e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.531064e-03 + i 1.434975e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.836399e-02 + i -8.141298e-03 ; -1.282136e-02 + i -2.158023e-03 ; 0.000000e+00 + i -0.000000e+00 ; -4.290295e-03 + i -7.230478e-04 ; 0.000000e+00 + i -0.000000e+00 ; -1.282136e-02 + i -2.158023e-03 ; -4.290295e-03 + i -7.230478e-04 ; -4.653846e-03 + i -7.833108e-04 ; -4.653846e-03 + i -7.833108e-04 ; -1.344135e-05 + i -3.190337e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.181967e-03 + i 1.980158e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.612890e-04 + i 7.671684e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.778136e-04 + i 1.636540e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.153843e-04 + i 6.899069e-05 ; -9.551932e-04 + i -1.607734e-04 ; 0.000000e+00 + i -0.000000e+00 ; 6.278673e-04 + i 1.047528e-04 ; -3.161419e-04 + i -5.321184e-05 ; 0.000000e+00 + i -0.000000e+00 ; 3.306174e-04 + i 5.472304e-05 ; -7.223794e-04 + i -1.215874e-04 ; -2.646522e-04 + i -4.454499e-05 ; 5.615667e-04 + i 9.359372e-05 ; -2.688470e-04 + i -4.525140e-05 ; -7.208579e-05 + i -1.213323e-05 ; 3.045013e-04 + i 5.032758e-05 ; 
-4.836399e-02 + i -8.141298e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.101163e+00 + i 1.702623e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.290295e-03 + i -7.230478e-04 ; 1.282136e-02 + i 2.158023e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.290295e-03 + i -7.230478e-04 ; -0.000000e+00 + i -0.000000e+00 ; 1.282136e-02 + i 2.158023e-03 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.344135e-05 + i -3.190337e-06 ; 4.653846e-03 + i 7.833108e-04 ; 4.653846e-03 + i 7.833108e-04 ; 8.531064e-03 + i 1.434975e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -9.361694e-03 + i -1.576639e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.389271e-03 + i -4.030770e-04 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.798384e-03 + i -6.402518e-04 ; -3.943314e-03 + i -6.637178e-04 ; 0.000000e+00 + i -0.000000e+00 ; -1.629426e-03 + i -2.751838e-04 ; -9.551932e-04 + i -1.607734e-04 ; 0.000000e+00 + i -0.000000e+00 ; -3.798384e-03 + i -6.402518e-04 ; 0.000000e+00 + i -0.000000e+00 ; -3.943314e-03 + i -6.637178e-04 ; -1.629426e-03 + i -2.751838e-04 ; 0.000000e+00 + i -0.000000e+00 ; -9.551932e-04 + i -1.607734e-04 ; -1.741534e-03 + i -2.940535e-04 ; -2.255382e-03 + i -3.796142e-04 ; -2.255382e-03 + i -3.796142e-04 ; -1.145546e-03 + i -1.937393e-04 ; -7.223794e-04 + i -1.215874e-04 ; -7.223794e-04 + i -1.215874e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.101163e+00 + i 1.702623e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.282136e-02 + i 2.158023e-03 ; -4.290295e-03 + i -7.230478e-04 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.836399e-02 + i -8.141298e-03 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.531064e-03 + i 1.434975e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.653846e-03 + i 7.833108e-04 ; -1.344135e-05 + i -3.190337e-06 ; -4.653846e-03 + i -7.833108e-04 ; 0.000000e+00 + i -0.000000e+00 ; -4.290295e-03 + i -7.230478e-04 ; -1.282136e-02 + i -2.158023e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.660656e-03 + i 7.835289e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.181967e-03 + i 1.980158e-04 ; -0.000000e+00 + i -0.000000e+00 ; -3.943314e-03 + i -6.637178e-04 ; 7.417676e-04 + i 1.239227e-04 ; 0.000000e+00 + i -0.000000e+00 ; -9.551932e-04 + i -1.607734e-04 ; 6.278673e-04 + i 1.047528e-04 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.021743e-03 + i 5.076762e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.778136e-04 + i 1.636540e-04 ; -0.000000e+00 + i -0.000000e+00 ; -2.255382e-03 + i -3.796142e-04 ; 8.552103e-04 + i 1.430170e-04 ; -1.304034e-03 + i -2.194883e-04 ; -7.223794e-04 + i -1.215874e-04 ; 5.615667e-04 + i 9.359372e-05 ; -2.646522e-04 + i -4.454499e-05 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.101163e+00 + i 1.702623e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.531064e-03 + i 1.434975e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.414685e-02 + i 4.063342e-03 ; 1.282136e-02 + i 2.158023e-03 ; 0.000000e+00 + i -0.000000e+00 ; -4.290295e-03 + i -7.230478e-04 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.836399e-02 + i -8.141298e-03 ; 4.653846e-03 + i 7.833108e-04 ; -4.653846e-03 + i -7.833108e-04 ; -1.344135e-05 + i -3.190337e-06 ; 0.000000e+00 + i -0.000000e+00 ; -1.282136e-02 + i -2.158023e-03 ; -4.290295e-03 + i -7.230478e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.660656e-03 + i 7.835289e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.181967e-03 + i 1.980158e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.021743e-03 + i 5.076762e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.778136e-04 + i 1.636540e-04 ; -3.943314e-03 + i -6.637178e-04 ; 0.000000e+00 + i -0.000000e+00 ; 7.417676e-04 + i 1.239227e-04 ; -9.551932e-04 + i -1.607734e-04 ; 0.000000e+00 + i -0.000000e+00 ; 6.278673e-04 + i 1.047528e-04 ; -2.255382e-03 + i -3.796142e-04 ; -1.304034e-03 + i -2.194883e-04 ; 8.552103e-04 + i 1.430170e-04 ; -7.223794e-04 + i -1.215874e-04 ; -2.646522e-04 + i -4.454499e-05 ; 5.615667e-04 + i 9.359372e-05 ; 
2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.290295e-03 + i -7.230478e-04 ; 1.282136e-02 + i 2.158023e-03 ; 0.000000e+00 + i -0.000000e+00 ; 1.101163e+00 + i 1.702623e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.836399e-02 + i -8.141298e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 8.531064e-03 + i 1.434975e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.344135e-05 + i -3.190337e-06 ; 4.653846e-03 + i 7.833108e-04 ; -4.653846e-03 + i -7.833108e-04 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.290295e-03 + i -7.230478e-04 ; 0.000000e+00 + i -0.000000e+00 ; -1.282136e-02 + i -2.158023e-03 ; -1.629426e-03 + i -2.751838e-04 ; 9.551932e-04 + i 1.607734e-04 ; 0.000000e+00 + i -0.000000e+00 ; -7.636804e-04 + i -1.294651e-04 ; 3.161419e-04 + i 5.321184e-05 ; 0.000000e+00 + i -0.000000e+00 ; -2.389271e-03 + i -4.030770e-04 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -9.409108e-04 + i -1.592958e-04 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.145546e-03 + i -1.937393e-04 ; 7.223794e-04 + i 1.215874e-04 ; -7.223794e-04 + i -1.215874e-04 ; -6.260892e-04 + i -1.063062e-04 ; 2.688470e-04 + i 4.525140e-05 ; -2.688470e-04 + i -4.525140e-05 ; -1.629426e-03 + i -2.751838e-04 ; 0.000000e+00 + i -0.000000e+00 ; -9.551932e-04 + i -1.607734e-04 ; -7.636804e-04 + i -1.294651e-04 ; 0.000000e+00 + i -0.000000e+00 ; -3.161419e-04 + i -5.321184e-05 ; 
-0.000000e+00 + i -0.000000e+00 ; -4.836399e-02 + i -8.141298e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.282136e-02 + i 2.158023e-03 ; -4.290295e-03 + i -7.230478e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.101163e+00 + i 1.702623e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.290295e-03 + i -7.230478e-04 ; 1.282136e-02 + i 2.158023e-03 ; 4.653846e-03 + i 7.833108e-04 ; -1.344135e-05 + i -3.190337e-06 ; 4.653846e-03 + i 7.833108e-04 ; -0.000000e+00 + i -0.000000e+00 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.531064e-03 + i 1.434975e-03 ; -0.000000e+00 + i -0.000000e+00 ; 9.551932e-04 + i 1.607734e-04 ; 6.278673e-04 + i 1.047528e-04 ; -0.000000e+00 + i -0.000000e+00 ; 3.161419e-04 + i 5.321184e-05 ; 3.306174e-04 + i 5.472304e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.181967e-03 + i 1.980158e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.612890e-04 + i 7.671684e-05 ; -0.000000e+00 + i -0.000000e+00 ; 7.223794e-04 + i 1.215874e-04 ; 5.615667e-04 + i 9.359372e-05 ; 2.646522e-04 + i 4.454499e-05 ; 2.688470e-04 + i 4.525140e-05 ; 3.045013e-04 + i 5.032758e-05 ; 7.208579e-05 + i 1.213323e-05 ; -0.000000e+00 + i -0.000000e+00 ; 9.778136e-04 + i 1.636540e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.153843e-04 + i 6.899069e-05 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.531064e-03 + i 1.434975e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.101163e+00 + i 1.702623e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.414685e-02 + i 4.063342e-03 ; 0.000000e+00 + i -0.000000e+00 ; 1.282136e-02 + i 2.158023e-03 ; -4.290295e-03 + i -7.230478e-04 ; -4.653846e-03 + i -7.833108e-04 ; 4.653846e-03 + i 7.833108e-04 ; -1.344135e-05 + i -3.190337e-06 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.836399e-02 + i -8.141298e-03 ; -1.282136e-02 + i -2.158023e-03 ; 0.000000e+00 + i -0.000000e+00 ; -4.290295e-03 + i -7.230478e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.778136e-04 + i 1.636540e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.153843e-04 + i 6.899069e-05 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.181967e-03 + i 1.980158e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.612890e-04 + i 7.671684e-05 ; -7.223794e-04 + i -1.215874e-04 ; 2.646522e-04 + i 4.454499e-05 ; 5.615667e-04 + i 9.359372e-05 ; -2.688470e-04 + i -4.525140e-05 ; 7.208579e-05 + i 1.213323e-05 ; 3.045013e-04 + i 5.032758e-05 ; -9.551932e-04 + i -1.607734e-04 ; 0.000000e+00 + i -0.000000e+00 ; 6.278673e-04 + i 1.047528e-04 ; -3.161419e-04 + i -5.321184e-05 ; 0.000000e+00 + i -0.000000e+00 ; 3.306174e-04 + i 5.472304e-05 ; 
-4.290295e-03 + i -7.230478e-04 ; -1.282136e-02 + i -2.158023e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.836399e-02 + i -8.141298e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.101163e+00 + i 1.702623e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.344135e-05 + i -3.190337e-06 ; -4.653846e-03 + i -7.833108e-04 ; 4.653846e-03 + i 7.833108e-04 ; 8.531064e-03 + i 1.434975e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.290295e-03 + i -7.230478e-04 ; -0.000000e+00 + i -0.000000e+00 ; 1.282136e-02 + i 2.158023e-03 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.798384e-03 + i -6.402518e-04 ; 3.943314e-03 + i 6.637178e-04 ; 0.000000e+00 + i -0.000000e+00 ; -1.629426e-03 + i -2.751838e-04 ; 9.551932e-04 + i 1.607734e-04 ; 0.000000e+00 + i -0.000000e+00 ; -9.361694e-03 + i -1.576639e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.389271e-03 + i -4.030770e-04 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.741534e-03 + i -2.940535e-04 ; 2.255382e-03 + i 3.796142e-04 ; -2.255382e-03 + i -3.796142e-04 ; -1.145546e-03 + i -1.937393e-04 ; 7.223794e-04 + i 1.215874e-04 ; -7.223794e-04 + i -1.215874e-04 ; -3.798384e-03 + i -6.402518e-04 ; 0.000000e+00 + i -0.000000e+00 ; -3.943314e-03 + i -6.637178e-04 ; -1.629426e-03 + i -2.751838e-04 ; 0.000000e+00 + i -0.000000e+00 ; -9.551932e-04 + i -1.607734e-04 ; 
-1.282136e-02 + i -2.158023e-03 ; -4.290295e-03 + i -7.230478e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.836399e-02 + i -8.141298e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.101163e+00 + i 1.702623e-02 ; -0.000000e+00 + i -0.000000e+00 ; -4.653846e-03 + i -7.833108e-04 ; -1.344135e-05 + i -3.190337e-06 ; 4.653846e-03 + i 7.833108e-04 ; -0.000000e+00 + i -0.000000e+00 ; -4.290295e-03 + i -7.230478e-04 ; 1.282136e-02 + i 2.158023e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.531064e-03 + i 1.434975e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.414685e-02 + i 4.063342e-03 ; -0.000000e+00 + i -0.000000e+00 ; 3.943314e-03 + i 6.637178e-04 ; 7.417676e-04 + i 1.239227e-04 ; -0.000000e+00 + i -0.000000e+00 ; 9.551932e-04 + i 1.607734e-04 ; 6.278673e-04 + i 1.047528e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.660656e-03 + i 7.835289e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.181967e-03 + i 1.980158e-04 ; -0.000000e+00 + i -0.000000e+00 ; 2.255382e-03 + i 3.796142e-04 ; 8.552103e-04 + i 1.430170e-04 ; 1.304034e-03 + i 2.194883e-04 ; 7.223794e-04 + i 1.215874e-04 ; 5.615667e-04 + i 9.359372e-05 ; 2.646522e-04 + i 4.454499e-05 ; -0.000000e+00 + i -0.000000e+00 ; 3.021743e-03 + i 5.076762e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 9.778136e-04 + i 1.636540e-04 ; -0.000000e+00 + i -0.000000e+00 ; 
