-4.067750e+10 + i 1.016715e+10 ; 5.450790e+07 + i 6.857648e+05 ; 5.450715e+07 + i 6.875591e+05 ; 1.839570e+10 + i -7.283597e+09 ; 2.536575e+08 + i 3.984838e+08 ; 2.536570e+08 + i 3.984816e+08 ; -8.868339e+09 + i 3.984447e+09 ; -1.449403e+08 + i -2.115349e+08 ; 3.006445e+07 + i -1.498702e+07 ; 6.763827e+08 + i -2.066288e+09 ; 4.900469e+09 + i -1.973965e+09 ; 1.356491e+08 + i 1.502740e+08 ; -8.868340e+09 + i 3.984448e+09 ; 3.007277e+07 + i -1.498922e+07 ; -1.449397e+08 + i -2.115345e+08 ; 6.763821e+08 + i -2.066285e+09 ; 1.356726e+08 + i 1.502770e+08 ; 4.900469e+09 + i -1.973964e+09 ; -2.747280e+09 + i 1.935747e+09 ; -1.005892e+08 + i -1.263355e+08 ; -1.005883e+08 + i -1.263336e+08 ; -6.224380e+08 + i -6.118363e+08 ; 1.668554e+09 + i -8.836258e+08 ; 1.668554e+09 + i -8.836247e+08 ; 1.061140e+09 + i -1.344376e+08 ; 2.248291e+07 + i 1.477362e+07 ; 2.248295e+07 + i 1.477280e+07 ; 4.202737e+08 + i -2.170817e+07 ; 7.786168e+06 + i 9.168484e+05 ; 7.786098e+06 + i 9.167797e+05 ; 6.807825e+08 + i -2.188056e+08 ; 3.272883e+08 + i -2.032759e+08 ; 1.730558e+07 + i 7.859872e+06 ; 3.410664e+08 + i -5.546942e+07 ; 9.744141e+07 + i -7.882832e+07 ; 6.371154e+06 + i -3.782076e+05 ; 6.807826e+08 + i -2.188046e+08 ; 1.730974e+07 + i 7.860320e+06 ; 3.272885e+08 + i -2.032758e+08 ; 3.410664e+08 + i -5.546930e+07 ; 6.372782e+06 + i -3.783889e+05 ; 9.744148e+07 + i -7.882827e+07 ; 4.462573e+08 + i -2.247808e+08 ; 2.399088e+08 + i -1.626556e+08 ; 2.399088e+08 + i -1.626557e+08 ; 2.759803e+08 + i -7.373398e+07 ; 8.073294e+07 + i -6.909418e+07 ; 8.073297e+07 + i -6.909406e+07 ; 
1.021794e+08 + i 1.307762e+08 ; 9.894247e+07 + i 1.251618e+08 ; -2.746139e+09 + i 1.931107e+09 ; -2.095091e+07 + i 2.267046e+07 ; 1.440630e+08 + i 2.111361e+08 ; -8.858624e+09 + i 3.992767e+09 ; 1.459460e+08 + i 2.160587e+08 ; -3.004160e+07 + i 1.450010e+07 ; -8.866747e+09 + i 3.979230e+09 ; -4.369262e+07 + i 9.352461e+06 ; -5.407745e+07 + i -5.949940e+05 ; -4.066638e+10 + i 1.017646e+10 ; -1.655286e+09 + i 8.761138e+08 ; -1.658497e+09 + i 8.671939e+08 ; -6.327676e+08 + i -6.278253e+08 ; -1.177033e+08 + i -1.287495e+08 ; -4.862642e+09 + i 1.940599e+09 ; 6.661803e+08 + i -2.078594e+09 ; -4.861594e+09 + i 1.948031e+09 ; -1.340235e+08 + i -1.514551e+08 ; 6.658979e+08 + i -2.086131e+09 ; -2.309564e+08 + i -3.672898e+08 ; -2.504216e+08 + i -3.960701e+08 ; 1.838524e+10 + i -7.300853e+09 ; -4.418109e+07 + i -6.545570e+07 ; 3.222871e+07 + i 4.540265e+07 ; -1.076729e+09 + i 5.534592e+08 ; -2.127037e+06 + i -2.719402e+07 ; 1.490574e+07 + i 1.734215e+07 ; -3.268823e+08 + i 2.102330e+08 ; -5.300467e+07 + i -8.587540e+07 ; -2.945095e+06 + i 1.225811e+07 ; -1.726058e+09 + i 7.512349e+08 ; 1.730840e+06 + i -2.736153e+07 ; 9.496405e+05 + i 8.119114e+06 ; -4.012133e+08 + i 2.470331e+08 ; 8.318184e+08 + i -3.866299e+08 ; -4.706766e+08 + i 2.338127e+08 ; -4.652706e+08 + i -9.989060e+06 ; 3.198918e+08 + i -5.832671e+07 ; -8.065982e+07 + i 6.721990e+07 ; -2.570669e+08 + i 7.288877e+07 ; 1.497812e+09 + i -6.063022e+08 ; -2.492491e+07 + i -2.646145e+07 ; -4.641738e+08 + i -1.236482e+08 ; 4.354840e+08 + i -3.911858e+07 ; -6.701641e+06 + i -1.233637e+06 ; -2.956683e+08 + i 6.431502e+07 ; 
-8.868399e+09 + i 3.984483e+09 ; 3.006258e+07 + i -1.493494e+07 ; 1.417969e+08 + i 2.157214e+08 ; 6.761179e+08 + i -2.065329e+09 ; 1.350574e+08 + i 1.510525e+08 ; -4.868775e+09 + i 1.947324e+09 ; -2.747294e+09 + i 1.935773e+09 ; -1.003405e+08 + i -1.261592e+08 ; 9.948087e+07 + i 1.266044e+08 ; -6.224313e+08 + i -6.114625e+08 ; 1.665756e+09 + i -8.801439e+08 ; -1.658154e+09 + i 8.726188e+08 ; -4.067751e+10 + i 1.016713e+10 ; 5.441315e+07 + i 6.734906e+05 ; -5.464743e+07 + i -8.578471e+05 ; 1.839556e+10 + i -7.283616e+09 ; 2.531702e+08 + i 3.981000e+08 ; -2.493025e+08 + i -4.015670e+08 ; -8.868356e+09 + i 3.984455e+09 ; -1.449058e+08 + i -2.114681e+08 ; -3.008157e+07 + i 1.483436e+07 ; 6.763870e+08 + i -2.066233e+09 ; 4.891887e+09 + i -1.966032e+09 ; -1.339796e+08 + i -1.514208e+08 ; 6.808044e+08 + i -2.187453e+08 ; 1.726437e+07 + i 7.938118e+06 ; -3.253243e+08 + i 2.007845e+08 ; 3.410617e+08 + i -5.544758e+07 ; 6.362399e+06 + i -3.452297e+05 ; -9.690557e+07 + i 7.791818e+07 ; 4.462760e+08 + i -2.247351e+08 ; 2.395405e+08 + i -1.620735e+08 ; -2.384903e+08 + i 1.606691e+08 ; 2.759787e+08 + i -7.371439e+07 ; 8.062343e+07 + i -6.886594e+07 ; -8.029333e+07 + i 6.828996e+07 ; 1.061141e+09 + i -1.344377e+08 ; 2.245527e+07 + i 1.476887e+07 ; -2.224921e+07 + i -1.499373e+07 ; 4.202779e+08 + i -2.170712e+07 ; 7.782947e+06 + i 9.239792e+05 ; -7.721801e+06 + i -1.036408e+06 ; 6.807920e+08 + i -2.188035e+08 ; 3.267934e+08 + i -2.025920e+08 ; -1.712192e+07 + i -8.117363e+06 ; 3.410723e+08 + i -5.546737e+07 ; 9.731310e+07 + i -7.858627e+07 ; -6.317010e+06 + i 2.454991e+05 ; 
3.104454e+07 + i -1.175778e+07 ; -8.869697e+09 + i 3.975013e+09 ; 1.408634e+08 + i 2.148238e+08 ; -9.772366e+07 + i -1.210463e+08 ; -2.746105e+09 + i 1.931087e+09 ; 9.899219e+07 + i 1.259181e+08 ; 1.358925e+08 + i 1.559840e+08 ; 6.643874e+08 + i -2.088895e+09 ; -4.872083e+09 + i 1.943580e+09 ; 1.672173e+09 + i -8.676591e+08 ; -6.327626e+08 + i -6.274570e+08 ; -1.660748e+09 + i 8.695593e+08 ; 5.535039e+07 + i 3.983279e+06 ; -4.067833e+10 + i 1.015687e+10 ; -5.507758e+07 + i -1.616745e+06 ; -1.422927e+08 + i -2.058500e+08 ; -8.866736e+09 + i 3.979193e+09 ; -3.038896e+07 + i 1.416030e+07 ; 2.538736e+08 + i 4.032275e+08 ; 1.838417e+10 + i -7.312113e+09 ; -2.496609e+08 + i -4.030444e+08 ; 4.898523e+09 + i -1.952166e+09 ; 6.659320e+08 + i -2.086080e+09 ; -1.343139e+08 + i -1.528160e+08 ; 1.150234e+07 + i 4.545714e+06 ; -3.268941e+08 + i 2.102322e+08 ; 1.481604e+07 + i 1.919396e+07 ; 9.276084e+06 + i 8.725444e+06 ; -1.391654e+08 + i 9.108055e+07 ; 6.553518e+06 + i 7.525464e+06 ; 3.144388e+08 + i -5.769335e+07 ; -2.570581e+08 + i 7.290983e+07 ; -8.504379e+07 + i 6.131440e+07 ; 1.271559e+08 + i 2.255815e+06 ; -1.249133e+08 + i 5.607282e+07 ; -1.964402e+07 + i 2.062100e+07 ; 1.691091e+07 + i 1.299423e+07 ; -4.012281e+08 + i 2.470298e+08 ; 1.993718e+06 + i 9.442022e+06 ; 1.016574e+07 + i 1.213212e+07 ; -1.561675e+08 + i 9.837306e+07 ; 2.132021e+06 + i 5.005457e+06 ; 4.214443e+08 + i -5.594652e+07 ; -2.956614e+08 + i 6.431689e+07 ; -2.962253e+06 + i 2.280612e+06 ; 1.487944e+08 + i 8.806135e+06 ; -1.376030e+08 + i 5.727471e+07 ; 3.837164e+05 + i 2.917382e+06 ; 
-2.519766e+08 + i -4.083881e+08 ; -2.516370e+08 + i -4.047407e+08 ; 1.838419e+10 + i -7.312153e+09 ; -4.898339e+09 + i 1.952228e+09 ; -1.356308e+08 + i -1.524740e+08 ; 6.656280e+08 + i -2.085184e+09 ; -1.361497e+08 + i -1.560105e+08 ; -4.895031e+09 + i 1.962337e+09 ; 6.643840e+08 + i -2.088900e+09 ; -1.672147e+09 + i 8.680022e+08 ; -1.668340e+09 + i 8.774158e+08 ; -6.328105e+08 + i -6.271144e+08 ; -5.562056e+07 + i -4.049589e+06 ; -5.511522e+07 + i -1.500105e+06 ; -4.067833e+10 + i 1.015687e+10 ; 1.403018e+08 + i 2.109773e+08 ; -3.047160e+07 + i 1.427416e+07 ; -8.866590e+09 + i 3.979194e+09 ; -3.115346e+07 + i 1.177223e+07 ; 1.419817e+08 + i 2.157000e+08 ; -8.869592e+09 + i 3.974972e+09 ; 9.761546e+07 + i 1.219956e+08 ; 9.974602e+07 + i 1.264238e+08 ; -2.745993e+09 + i 1.931051e+09 ; -4.215463e+08 + i 5.611451e+07 ; -3.000481e+06 + i 2.364871e+06 ; -2.957142e+08 + i 6.438663e+07 ; -1.488546e+08 + i -8.730441e+06 ; 3.839942e+05 + i 2.954872e+06 ; -1.376111e+08 + i 5.729942e+07 ; -3.144981e+08 + i 5.784119e+07 ; -8.542231e+07 + i 6.183930e+07 ; -2.570960e+08 + i 7.296760e+07 ; -1.272059e+08 + i -2.184036e+06 ; -1.972158e+07 + i 2.078470e+07 ; -1.249207e+08 + i 5.609524e+07 ; -1.709593e+07 + i -1.275748e+07 ; 2.027673e+06 + i 9.489445e+06 ; -4.012388e+08 + i 2.470301e+08 ; -1.024950e+07 + i -1.204552e+07 ; 2.155309e+06 + i 5.028617e+06 ; -1.561739e+08 + i 9.837258e+07 ; -1.160542e+07 + i -4.363547e+06 ; 1.493002e+07 + i 1.927219e+07 ; -3.269007e+08 + i 2.102312e+08 ; -9.339769e+06 + i -8.647448e+06 ; 6.603252e+06 + i 7.554997e+06 ; -1.391715e+08 + i 9.108018e+07 ; 
6.765266e+08 + i -2.065040e+09 ; -1.367279e+08 + i -1.557067e+08 ; 4.869167e+09 + i -1.932618e+09 ; -8.827526e+09 + i 4.025988e+09 ; -3.100981e+07 + i 7.935728e+06 ; -1.315893e+08 + i -1.996687e+08 ; -6.222444e+08 + i -6.113753e+08 ; -1.670238e+09 + i 8.698453e+08 ; 1.662712e+09 + i -8.624205e+08 ; -2.714597e+09 + i 1.962078e+09 ; 8.904430e+07 + i 1.104301e+08 ; -8.866925e+07 + i -1.111388e+08 ; 1.839555e+10 + i -7.283601e+09 ; -2.544635e+08 + i -4.025863e+08 ; 2.526071e+08 + i 4.076640e+08 ; -4.062572e+10 + i 1.023304e+10 ; -5.494694e+07 + i -7.776212e+06 ; 5.470810e+07 + i 7.833148e+06 ; 6.764352e+08 + i -2.066181e+09 ; -4.891719e+09 + i 1.951139e+09 ; 1.360446e+08 + i 1.562631e+08 ; -8.827518e+09 + i 4.026028e+09 ; 1.325948e+08 + i 1.937078e+08 ; 3.094123e+07 + i -7.882468e+06 ; 1.288221e+09 + i -8.027506e+08 ; 6.366330e+07 + i 7.954151e+07 ; -1.484967e+09 + i 6.142889e+08 ; 6.807803e+08 + i -2.189021e+08 ; 3.186493e+07 + i 2.287055e+07 ; -3.150445e+08 + i 2.134127e+08 ; 5.022368e+08 + i -4.804198e+08 ; 8.266169e+08 + i -3.946560e+08 ; -8.229590e+08 + i 3.914408e+08 ; 4.462535e+08 + i -2.248605e+08 ; 2.335279e+08 + i -1.666924e+08 ; -2.325781e+08 + i 1.655900e+08 ; 3.518391e+09 + i -1.436809e+09 ; 8.859241e+07 + i 1.313724e+08 ; -8.792478e+07 + i -1.295158e+08 ; 1.061123e+09 + i -1.344303e+08 ; 4.029184e+07 + i 3.326084e+07 ; -3.998651e+07 + i -3.282776e+07 ; 1.288240e+09 + i -8.023903e+08 ; 1.491695e+09 + i -6.196260e+08 ; -6.317161e+07 + i -7.859337e+07 ; 6.807773e+08 + i -2.188082e+08 ; 3.163402e+08 + i -2.148536e+08 ; -3.163172e+07 + i -2.256612e+07 ; 
1.022670e+08 + i 1.307976e+08 ; -2.746108e+09 + i 1.931103e+09 ; 9.914233e+07 + i 1.261280e+08 ; -2.096280e+07 + i 2.269081e+07 ; -8.858575e+09 + i 3.992770e+09 ; 1.426484e+08 + i 2.164549e+08 ; -1.655286e+09 + i 8.757479e+08 ; -6.327492e+08 + i -6.274597e+08 ; -1.658444e+09 + i 8.670111e+08 ; -1.180208e+08 + i -1.288202e+08 ; 6.659341e+08 + i -2.077648e+09 ; -4.862147e+09 + i 1.940321e+09 ; 1.466013e+08 + i 2.164722e+08 ; -8.866752e+09 + i 3.979231e+09 ; -3.018728e+07 + i 1.455995e+07 ; -4.369164e+07 + i 9.399070e+06 ; -4.066638e+10 + i 1.017645e+10 ; -5.458618e+07 + i -6.362853e+05 ; -4.860808e+09 + i 1.947044e+09 ; 6.659490e+08 + i -2.086075e+09 ; -1.343888e+08 + i -1.524515e+08 ; -2.314080e+08 + i -3.677159e+08 ; 1.838516e+10 + i -7.300867e+09 ; -2.489872e+08 + i -4.013928e+08 ; -4.411136e+07 + i -6.541281e+07 ; -1.076731e+09 + i 5.534571e+08 ; 3.222091e+07 + i 4.556859e+07 ; -2.104929e+06 + i -2.717007e+07 ; -3.268829e+08 + i 2.102325e+08 ; 1.491159e+07 + i 1.736562e+07 ; 8.316873e+08 + i -3.864592e+08 ; -4.652954e+08 + i -9.899769e+06 ; -4.706252e+08 + i 2.337875e+08 ; 3.198450e+08 + i -5.827398e+07 ; -2.570661e+08 + i 7.290645e+07 ; -8.064658e+07 + i 6.721300e+07 ; -5.285444e+07 + i -8.578155e+07 ; -1.726058e+09 + i 7.512313e+08 ; -2.985562e+06 + i 1.226128e+07 ; 1.760521e+06 + i -2.732396e+07 ; -4.012138e+08 + i 2.470321e+08 ; 9.397964e+05 + i 8.122065e+06 ; 1.497640e+09 + i -6.060015e+08 ; -4.641949e+08 + i -1.236614e+08 ; -2.488056e+07 + i -2.661445e+07 ; 4.354245e+08 + i -3.904675e+07 ; -2.956714e+08 + i 6.431290e+07 ; -6.698174e+06 + i -1.255216e+06 ; 
4.860881e+09 + i -1.947097e+09 ; -1.353350e+08 + i -1.518318e+08 ; 6.659928e+08 + i -2.084910e+09 ; 2.315736e+08 + i 3.744338e+08 ; -2.509346e+08 + i -4.030886e+08 ; 1.838515e+10 + i -7.300851e+09 ; 1.655151e+09 + i -8.761483e+08 ; -1.665888e+09 + i 8.749292e+08 ; -6.326575e+08 + i -6.270480e+08 ; 1.183258e+08 + i 1.287661e+08 ; -4.884940e+09 + i 1.958872e+09 ; 6.659165e+08 + i -2.077622e+09 ; -1.466291e+08 + i -2.232077e+08 ; -3.025933e+07 + i 1.464101e+07 ; -8.866581e+09 + i 3.979174e+09 ; 4.373975e+07 + i -9.360749e+06 ; -5.462324e+07 + i -5.249788e+05 ; -4.066637e+10 + i 1.017647e+10 ; -1.025533e+08 + i -1.319380e+08 ; 9.989085e+07 + i 1.266314e+08 ; -2.745991e+09 + i 1.931037e+09 ; 2.105744e+07 + i -2.271467e+07 ; 1.437690e+08 + i 2.173353e+08 ; -8.858467e+09 + i 3.992732e+09 ; -1.497674e+09 + i 6.055721e+08 ; -2.504306e+07 + i -2.708623e+07 ; -4.641993e+08 + i -1.240290e+08 ; -4.353925e+08 + i 3.881609e+07 ; -6.742281e+06 + i -1.339326e+06 ; -2.956806e+08 + i 6.422936e+07 ; -8.317239e+08 + i 3.860937e+08 ; -4.727003e+08 + i 2.356121e+08 ; -4.653264e+08 + i -1.009877e+07 ; -3.198337e+08 + i 5.807240e+07 ; -8.095959e+07 + i 6.763657e+07 ; -2.570788e+08 + i 7.284729e+07 ; 5.286533e+07 + i 8.446903e+07 ; -2.991761e+06 + i 1.233250e+07 ; -1.726064e+09 + i 7.512358e+08 ; -1.659754e+06 + i 2.696418e+07 ; 9.506780e+05 + i 8.164707e+06 ; -4.012163e+08 + i 2.470283e+08 ; 4.407562e+07 + i 6.477617e+07 ; 3.246115e+07 + i 4.575379e+07 ; -1.076729e+09 + i 5.534550e+08 ; 2.143798e+06 + i 2.690500e+07 ; 1.501419e+07 + i 1.743203e+07 ; -3.268868e+08 + i 2.102284e+08 ; 
-2.747305e+09 + i 1.935790e+09 ; 9.948941e+07 + i 1.264696e+08 ; 9.948972e+07 + i 1.264703e+08 ; -6.224476e+08 + i -6.111309e+08 ; -1.655977e+09 + i 8.695235e+08 ; -1.655977e+09 + i 8.695247e+08 ; -8.868405e+09 + i 3.984480e+09 ; -2.999550e+07 + i 1.481347e+07 ; 1.418497e+08 + i 2.155441e+08 ; 6.760975e+08 + i -2.065328e+09 ; -1.343453e+08 + i -1.515664e+08 ; -4.860905e+09 + i 1.939729e+09 ; -8.868405e+09 + i 3.984481e+09 ; 1.418494e+08 + i 2.155438e+08 ; -3.000376e+07 + i 1.481546e+07 ; 6.760968e+08 + i -2.065325e+09 ; -4.860905e+09 + i 1.939728e+09 ; -1.343679e+08 + i -1.515683e+08 ; -4.067751e+10 + i 1.016711e+10 ; -5.451837e+07 + i -8.723077e+05 ; -5.451938e+07 + i -8.709552e+05 ; 1.839543e+10 + i -7.283619e+09 ; -2.488536e+08 + i -4.011419e+08 ; -2.488537e+08 + i -4.011440e+08 ; 4.462894e+08 + i -2.246926e+08 ; -2.382020e+08 + i 1.601524e+08 ; -2.382020e+08 + i 1.601524e+08 ; 2.759753e+08 + i -7.369693e+07 ; -8.021091e+07 + i 6.808883e+07 ; -8.021088e+07 + i 6.808890e+07 ; 6.808101e+08 + i -2.187459e+08 ; -1.713351e+07 + i -8.140446e+06 ; -3.248752e+08 + i 2.001407e+08 ; 3.410668e+08 + i -5.544676e+07 ; -6.325465e+06 + i 2.325699e+05 ; -9.679007e+07 + i 7.769247e+07 ; 6.808102e+08 + i -2.187449e+08 ; -3.248753e+08 + i 2.001405e+08 ; -1.713750e+07 + i -8.140711e+06 ; 3.410667e+08 + i -5.544665e+07 ; -9.679012e+07 + i 7.769240e+07 ; -6.327019e+06 + i 2.327901e+05 ; 1.061143e+09 + i -1.344370e+08 ; -2.222044e+07 + i -1.498328e+07 ; -2.222026e+07 + i -1.498393e+07 ; 4.202821e+08 + i -2.170592e+07 ; -7.717983e+06 + i -1.039940e+06 ; -7.718018e+06 + i -1.039997e+06 ; 
-1.357317e+08 + i -1.567374e+08 ; 6.648131e+08 + i -2.088595e+09 ; 4.864704e+09 + i -1.935981e+09 ; -1.669823e+09 + i 8.648583e+08 ; -6.326123e+08 + i -6.270347e+08 ; 1.658509e+09 + i -8.665953e+08 ; -3.105688e+07 + i 1.172890e+07 ; -8.869669e+09 + i 3.974945e+09 ; -1.428839e+08 + i -2.163273e+08 ; 9.760053e+07 + i 1.218475e+08 ; -2.746027e+09 + i 1.931041e+09 ; -9.916745e+07 + i -1.259664e+08 ; -2.514528e+08 + i -4.077914e+08 ; 1.838411e+10 + i -7.312085e+09 ; 2.511962e+08 + i 4.042632e+08 ; -4.891042e+09 + i 1.945061e+09 ; 6.656694e+08 + i -2.085120e+09 ; 1.345042e+08 + i 1.528595e+08 ; -5.549318e+07 + i -4.078438e+06 ; -4.067832e+10 + i 1.015688e+10 ; 5.445673e+07 + i 1.608021e+06 ; 1.402040e+08 + i 2.106629e+08 ; -8.866588e+09 + i 3.979204e+09 ; 3.021881e+07 + i -1.408576e+07 ; -3.139655e+08 + i 5.748716e+07 ; -2.570811e+08 + i 7.297087e+07 ; 8.492686e+07 + i -6.112969e+07 ; -1.269654e+08 + i -2.277781e+06 ; -1.249161e+08 + i 5.609555e+07 ; 1.962038e+07 + i -2.056542e+07 ; -1.155143e+07 + i -4.356978e+06 ; -3.269015e+08 + i 2.102335e+08 ; -1.479139e+07 + i -1.917231e+07 ; -9.305387e+06 + i -8.634410e+06 ; -1.391708e+08 + i 9.108102e+07 ; -6.541581e+06 + i -7.516740e+06 ; -4.208174e+08 + i 5.569829e+07 ; -2.957126e+08 + i 6.439232e+07 ; 2.952995e+06 + i -2.270719e+06 ; -1.485738e+08 + i -8.825199e+06 ; -1.376108e+08 + i 5.730092e+07 ; -3.816944e+05 + i -2.910587e+06 ; -1.702492e+07 + i -1.274273e+07 ; -4.012386e+08 + i 2.470318e+08 ; -1.997863e+06 + i -9.426132e+06 ; -1.021017e+07 + i -1.202820e+07 ; -1.561736e+08 + i 9.837325e+07 ; -2.129287e+06 + i -4.997514e+06 ; 
-1.357328e+08 + i -1.567338e+08 ; 4.864704e+09 + i -1.935981e+09 ; 6.648137e+08 + i -2.088596e+09 ; -1.669822e+09 + i 8.648584e+08 ; 1.658509e+09 + i -8.665953e+08 ; -6.326113e+08 + i -6.270390e+08 ; -2.514536e+08 + i -4.077918e+08 ; 2.511964e+08 + i 4.042646e+08 ; 1.838416e+10 + i -7.312081e+09 ; -4.891042e+09 + i 1.945061e+09 ; 1.345044e+08 + i 1.528606e+08 ; 6.657009e+08 + i -2.085123e+09 ; -3.105754e+07 + i 1.173140e+07 ; -1.428837e+08 + i -2.163249e+08 ; -8.869581e+09 + i 3.974952e+09 ; 9.760119e+07 + i 1.218487e+08 ; -9.916707e+07 + i -1.259647e+08 ; -2.745989e+09 + i 1.931032e+09 ; -5.549525e+07 + i -4.076528e+06 ; 5.445684e+07 + i 1.607979e+06 ; -4.067832e+10 + i 1.015689e+10 ; 1.402040e+08 + i 2.106630e+08 ; 3.021900e+07 + i -1.408578e+07 ; -8.866584e+09 + i 3.979197e+09 ; -3.139653e+08 + i 5.748619e+07 ; 8.492685e+07 + i -6.112968e+07 ; -2.570807e+08 + i 7.297111e+07 ; -1.269654e+08 + i -2.277845e+06 ; 1.962039e+07 + i -2.056542e+07 ; -1.249159e+08 + i 5.609549e+07 ; -4.208174e+08 + i 5.569829e+07 ; 2.953033e+06 + i -2.270511e+06 ; -2.957081e+08 + i 6.439207e+07 ; -1.485738e+08 + i -8.825207e+06 ; -3.816644e+05 + i -2.910490e+06 ; -1.376089e+08 + i 5.730050e+07 ; -1.155109e+07 + i -4.358003e+06 ; -1.479136e+07 + i -1.917218e+07 ; -3.269004e+08 + i 2.102320e+08 ; -9.305200e+06 + i -8.634616e+06 ; -6.541560e+06 + i -7.516724e+06 ; -1.391713e+08 + i 9.108048e+07 ; -1.702457e+07 + i -1.274363e+07 ; -1.997884e+06 + i -9.426130e+06 ; -4.012384e+08 + i 2.470312e+08 ; -1.021007e+07 + i -1.202835e+07 ; -2.129287e+06 + i -4.997510e+06 ; -1.561736e+08 + i 9.837284e+07 ; 
-6.221170e+08 + i -6.109867e+08 ; 1.660700e+09 + i -8.593129e+08 ; 1.660700e+09 + i -8.593140e+08 ; -2.714592e+09 + i 1.962063e+09 ; -8.875497e+07 + i -1.109125e+08 ; -8.875525e+07 + i -1.109131e+08 ; 6.765051e+08 + i -2.065025e+09 ; 1.364402e+08 + i 1.562673e+08 ; 4.861790e+09 + i -1.924799e+09 ; -8.827523e+09 + i 4.025988e+09 ; 3.085289e+07 + i -7.825368e+06 ; -1.317075e+08 + i -1.993968e+08 ; 6.765045e+08 + i -2.065020e+09 ; 4.861790e+09 + i -1.924799e+09 ; 1.364628e+08 + i 1.562697e+08 ; -8.827522e+09 + i 4.025990e+09 ; -1.317073e+08 + i -1.993965e+08 ; 3.086053e+07 + i -7.827069e+06 ; 1.839539e+10 + i -7.283541e+09 ; 2.521745e+08 + i 4.071412e+08 ; 2.521746e+08 + i 4.071433e+08 ; -4.062571e+10 + i 1.023304e+10 ; 5.457631e+07 + i 7.889538e+06 ; 5.457734e+07 + i 7.888334e+06 ; 5.021900e+08 + i -4.806179e+08 ; -8.217993e+08 + i 3.899359e+08 ; -8.217992e+08 + i 3.899362e+08 ; 4.462474e+08 + i -2.249335e+08 ; -2.322922e+08 + i 1.650603e+08 ; -2.322921e+08 + i 1.650606e+08 ; 1.288212e+09 + i -8.027466e+08 ; -6.300807e+07 + i -7.862070e+07 ; -1.482699e+09 + i 6.118717e+08 ; 6.807826e+08 + i -2.189046e+08 ; -3.155335e+07 + i -2.258010e+07 ; -3.146222e+08 + i 2.127449e+08 ; 1.288212e+09 + i -8.027492e+08 ; -1.482699e+09 + i 6.118713e+08 ; -6.301506e+07 + i -7.862156e+07 ; 6.807829e+08 + i -2.189059e+08 ; -3.146223e+08 + i 2.127446e+08 ; -3.155742e+07 + i -2.257982e+07 ; 3.518398e+09 + i -1.436811e+09 ; -8.753204e+07 + i -1.293490e+08 ; -8.753198e+07 + i -1.293497e+08 ; 1.061133e+09 + i -1.344334e+08 ; -3.985221e+07 + i -3.280494e+07 ; -3.985247e+07 + i -3.280488e+07 ; 
1.653231e+09 + i -8.729633e+08 ; -6.324573e+08 + i -6.269808e+08 ; 1.656419e+09 + i -8.640549e+08 ; 1.183739e+08 + i 1.296723e+08 ; 6.663508e+08 + i -2.077333e+09 ; 4.855276e+09 + i -1.932462e+09 ; -1.025741e+08 + i -1.316762e+08 ; -2.746026e+09 + i 1.931029e+09 ; -9.935973e+07 + i -1.260686e+08 ; 2.098504e+07 + i -2.263368e+07 ; -8.858541e+09 + i 3.992706e+09 ; -1.446761e+08 + i -2.178728e+08 ; 4.854246e+09 + i -1.939884e+09 ; 6.660416e+08 + i -2.084867e+09 ; 1.346267e+08 + i 1.523554e+08 ; 2.311210e+08 + i 3.738562e+08 ; 1.838507e+10 + i -7.300782e+09 ; 2.505022e+08 + i 4.026076e+08 ; -1.465375e+08 + i -2.227887e+08 ; -8.866579e+09 + i 3.979184e+09 ; 3.002525e+07 + i -1.446136e+07 ; 4.365817e+07 + i -9.285284e+06 ; -4.066636e+10 + i 1.017648e+10 ; 5.398085e+07 + i 6.628617e+05 ; -8.306546e+08 + i 3.849029e+08 ; -4.652936e+08 + i -1.007928e+07 ; 4.699440e+08 + i -2.329378e+08 ; -3.193619e+08 + i 5.774823e+07 ; -2.570730e+08 + i 7.284863e+07 ; 8.054951e+07 + i -6.701495e+07 ; 4.387199e+07 + i 6.473360e+07 ; -1.076737e+09 + i 5.534553e+08 ; -3.221118e+07 + i -4.554610e+07 ; 2.092239e+06 + i 2.686571e+07 ; -3.268868e+08 + i 2.102292e+08 ; -1.488475e+07 + i -1.734686e+07 ; -1.495667e+09 + i 6.033552e+08 ; -4.642360e+08 + i -1.240283e+08 ; 2.486161e+07 + i 2.662111e+07 ; -4.347116e+08 + i 3.840441e+07 ; -2.956908e+08 + i 6.423099e+07 ; 6.688893e+06 + i 1.261645e+06 ; 5.262476e+07 + i 8.440489e+07 ; -1.726062e+09 + i 7.512318e+08 ; 2.972894e+06 + i -1.224301e+07 ; -1.708793e+06 + i 2.692181e+07 ; -4.012156e+08 + i 2.470275e+08 ; -9.356476e+05 + i -8.109127e+06 ; 
