-6.535268e+09 + i 5.535838e+08 ; -1.946078e+07 + i -9.025712e+05 ; -1.946523e+07 + i -9.026854e+05 ; 1.891956e+09 + i -2.735103e+08 ; 1.157547e+08 + i -8.196119e+06 ; 1.157506e+08 + i -8.197660e+06 ; -8.906856e+08 + i 1.270187e+08 ; -6.159766e+07 + i 4.196737e+06 ; -1.225650e+07 + i 3.018658e+05 ; -2.597068e+08 + i 2.779023e+06 ; 4.690494e+08 + i -7.266926e+07 ; 2.697255e+07 + i -3.957042e+06 ; -8.906835e+08 + i 1.270199e+08 ; -1.225520e+07 + i 3.013126e+05 ; -6.159774e+07 + i 4.196321e+06 ; -2.597073e+08 + i 2.780554e+06 ; 2.699671e+07 + i -3.949111e+06 ; 4.690502e+08 + i -7.266892e+07 ; -1.387216e+08 + i 3.755040e+07 ; -3.048039e+07 + i 3.014196e+06 ; -3.047130e+07 + i 3.016879e+06 ; -8.633354e+07 + i 1.773037e+07 ; 1.194034e+08 + i -2.322970e+07 ; 1.194042e+08 + i -2.322939e+07 ; 1.621744e+08 + i -1.747779e+07 ; 1.481077e+05 + i -4.728952e+05 ; 1.490759e+05 + i -4.728442e+05 ; 7.921135e+07 + i -6.967208e+06 ; -8.620439e+05 + i -2.207681e+04 ; -8.621455e+05 + i -2.207491e+04 ; 5.204861e+07 + i -1.083861e+07 ; 1.827897e+07 + i -4.277393e+06 ; -8.796531e+05 + i -2.481243e+05 ; 3.525641e+07 + i -6.267856e+06 ; 4.009567e+06 + i -1.087870e+06 ; -9.276820e+05 + i 1.483111e+04 ; 5.205029e+07 + i -1.083783e+07 ; -8.775252e+05 + i -2.473338e+05 ; 1.827916e+07 + i -4.277344e+06 ; 3.525683e+07 + i -6.267572e+06 ; -9.271021e+05 + i 1.496112e+04 ; 4.009537e+06 + i -1.087886e+06 ; 1.564075e+07 + i -5.700687e+06 ; 1.206081e+07 + i -2.983643e+06 ; 1.206048e+07 + i -2.983774e+06 ; 1.603628e+07 + i -4.401510e+06 ; 3.089612e+06 + i -8.685573e+05 ; 3.089575e+06 + i -8.685497e+05 ; 
3.364970e+07 + i -3.016384e+06 ; 3.277538e+07 + i -2.845137e+06 ; -1.402824e+08 + i 3.770703e+07 ; 1.374978e+07 + i -4.496742e+05 ; 6.660833e+07 + i -3.690399e+06 ; -8.888263e+08 + i 1.268030e+08 ; 6.763687e+07 + i -3.836442e+06 ; 1.295910e+07 + i -2.028090e+05 ; -8.935813e+08 + i 1.270345e+08 ; 2.215659e+07 + i 9.158925e+05 ; 2.084179e+07 + i 1.208047e+06 ; -6.534042e+09 + i 5.532423e+08 ; -1.256285e+08 + i 2.348022e+07 ; -1.287512e+08 + i 2.364382e+07 ; -8.923048e+07 + i 1.820142e+07 ; -2.161132e+07 + i 3.723961e+06 ; -5.069379e+08 + i 7.176766e+07 ; -2.613625e+08 + i 3.174380e+06 ; -5.035018e+08 + i 7.168957e+07 ; -2.778919e+07 + i 4.195251e+06 ; -2.651303e+08 + i 3.259068e+06 ; -1.165544e+08 + i 6.624614e+06 ; -1.251609e+08 + i 7.174398e+06 ; 1.886351e+09 + i -2.732470e+08 ; -1.779182e+07 + i 1.442609e+06 ; 1.325985e+07 + i -8.999502e+05 ; -8.797670e+07 + i 1.555707e+07 ; -1.133201e+07 + i 5.120984e+05 ; 3.854722e+06 + i -4.356962e+05 ; -1.875287e+07 + i 4.361423e+06 ; -2.652575e+07 + i 1.652878e+06 ; 6.595451e+06 + i -1.135533e+05 ; -1.742608e+08 + i 2.515539e+07 ; -1.471390e+07 + i 2.541330e+05 ; 2.444236e+06 + i -2.038676e+05 ; -2.393435e+07 + i 5.587743e+06 ; 7.304502e+07 + i -1.187507e+07 ; -4.018496e+07 + i 6.589920e+06 ; -5.875641e+07 + i 8.583839e+06 ; 3.863184e+07 + i -5.294815e+06 ; -2.693472e+06 + i 9.311696e+05 ; -1.720949e+07 + i 3.755131e+06 ; 1.488604e+08 + i -2.217304e+07 ; -6.374356e+06 + i 5.419273e+05 ; -9.456452e+07 + i 9.040904e+06 ; 6.721057e+07 + i -7.529746e+06 ; 9.244569e+05 + i 7.785998e+04 ; -2.309102e+07 + i 4.756681e+06 ; 
-8.910144e+08 + i 1.269395e+08 ; -1.242758e+07 + i 2.818525e+05 ; 6.358897e+07 + i -4.275218e+06 ; -2.600038e+08 + i 2.706583e+06 ; 2.706109e+07 + i -4.024537e+06 ; -4.984565e+08 + i 7.228531e+07 ; -1.387637e+08 + i 3.755335e+07 ; -3.096233e+07 + i 2.979875e+06 ; 3.224551e+07 + i -2.898291e+06 ; -8.640719e+07 + i 1.772708e+07 ; 1.212799e+08 + i -2.329763e+07 ; -1.268296e+08 + i 2.344423e+07 ; -6.535403e+09 + i 5.535351e+08 ; -1.953421e+07 + i -9.309996e+05 ; 2.009815e+07 + i 9.829130e+05 ; 1.891872e+09 + i -2.735430e+08 ; 1.168840e+08 + i -8.091506e+06 ; -1.212081e+08 + i 7.920555e+06 ; -8.907970e+08 + i 1.270026e+08 ; -6.194240e+07 + i 4.138933e+06 ; 1.290389e+07 + i -2.121568e+05 ; -2.598554e+08 + i 2.766190e+06 ; 4.763543e+08 + i -7.265515e+07 ; -2.825164e+07 + i 4.001578e+06 ; 5.212858e+07 + i -1.082004e+07 ; -9.280705e+05 + i -2.587843e+05 ; -1.942598e+07 + i 4.348658e+06 ; 3.529314e+07 + i -6.258363e+06 ; -9.530699e+05 + i 1.168530e+04 ; -4.258344e+06 + i 1.113380e+06 ; 1.566865e+07 + i -5.695763e+06 ; 1.223488e+07 + i -3.002818e+06 ; -1.279974e+07 + i 3.045663e+06 ; 1.605427e+07 + i -4.397881e+06 ; 3.132270e+06 + i -8.750210e+05 ; -3.274640e+06 + i 8.916829e+05 ; 1.621776e+08 + i -1.747710e+07 ; 1.488143e+05 + i -4.758232e+05 ; -1.055009e+05 + i 5.088021e+05 ; 7.921001e+07 + i -6.967304e+06 ; -8.768196e+05 + i -2.320460e+04 ; 9.305031e+05 + i 3.469397e+04 ; 5.205547e+07 + i -1.083625e+07 ; 1.857053e+07 + i -4.294711e+06 ; 9.947534e+05 + i 2.839756e+05 ; 3.525585e+07 + i -6.267057e+06 ; 4.073517e+06 + i -1.093479e+06 ; 1.005112e+06 + i -2.550612e+03 ; 
-1.156120e+07 + i 1.874067e+05 ; -8.945779e+08 + i 1.271632e+08 ; 6.346714e+07 + i -4.249584e+06 ; -2.981972e+07 + i 2.827911e+06 ; -1.402357e+08 + i 3.770950e+07 ; 3.204353e+07 + i -2.884464e+06 ; 2.902784e+07 + i -4.119208e+06 ; -2.664821e+08 + i 3.274627e+06 ; -4.991457e+08 + i 7.238972e+07 ; 1.251968e+08 + i -2.356105e+07 ; -8.932482e+07 + i 1.819040e+07 ; -1.274422e+08 + i 2.352738e+07 ; -1.850618e+07 + i -1.020098e+06 ; -6.540689e+09 + i 5.535999e+08 ; 1.998382e+07 + i 1.003765e+06 ; -6.046207e+07 + i 3.984902e+06 ; -8.933605e+08 + i 1.270885e+08 ; 1.269698e+07 + i -1.995497e+05 ; 1.191982e+08 + i -8.161421e+06 ; 1.880987e+09 + i -2.731447e+08 ; -1.214918e+08 + i 7.969137e+06 ; 4.811919e+08 + i -7.290347e+07 ; -2.652805e+08 + i 3.245707e+06 ; -2.858155e+07 + i 4.043146e+06 ; -2.356026e+06 + i -2.711440e+05 ; -1.877655e+07 + i 4.355991e+06 ; 4.833956e+06 + i -4.445023e+05 ; -5.066420e+05 + i -3.408616e+05 ; -7.842649e+06 + i 1.766450e+06 ; 1.565958e+06 + i -1.910651e+05 ; 3.956616e+07 + i -5.356748e+06 ; -1.721520e+07 + i 3.755621e+06 ; -4.361080e+06 + i 1.039241e+06 ; 2.210555e+07 + i -2.499617e+06 ; -7.139476e+06 + i 1.587047e+06 ; -3.863166e+05 + i 1.842810e+05 ; -4.265572e+05 + i -5.291636e+05 ; -2.397102e+07 + i 5.577138e+06 ; 3.065188e+06 + i -2.073740e+05 ; 6.459748e+05 + i -4.556775e+05 ; -9.484790e+06 + i 2.026389e+06 ; 1.158186e+06 + i -1.252537e+05 ; 6.256386e+07 + i -7.190772e+06 ; -2.310100e+07 + i 4.755328e+06 ; 1.406887e+06 + i -3.440877e+04 ; 3.133131e+07 + i -2.798784e+06 ; -8.511488e+06 + i 1.807646e+06 ; 8.244706e+05 + i -6.657591e+04 ; 
-1.180404e+08 + i 8.572289e+06 ; -1.159907e+08 + i 8.554665e+06 ; 1.881238e+09 + i -2.730870e+08 ; -4.812287e+08 + i 7.293687e+07 ; -2.747707e+07 + i 4.019891e+06 ; -2.653801e+08 + i 3.194705e+06 ; -2.914705e+07 + i 4.064460e+06 ; -4.770462e+08 + i 7.279504e+07 ; -2.664034e+08 + i 3.293246e+06 ; -1.251537e+08 + i 2.357697e+07 ; -1.218238e+08 + i 2.339684e+07 ; -8.931520e+07 + i 1.819305e+07 ; 1.841235e+07 + i 9.500171e+05 ; 1.933401e+07 + i 8.831488e+05 ; -6.540675e+09 + i 5.536072e+08 ; 5.921773e+07 + i -4.434516e+06 ; 1.210807e+07 + i -2.974670e+05 ; -8.932281e+08 + i 1.271186e+08 ; 1.143277e+07 + i -2.191044e+05 ; 6.058995e+07 + i -4.558360e+06 ; -8.942718e+08 + i 1.272338e+08 ; 2.964698e+07 + i -2.863773e+06 ; 3.060292e+07 + i -2.997841e+06 ; -1.401777e+08 + i 3.771057e+07 ; -6.263121e+07 + i 7.172299e+06 ; 1.332678e+06 + i -4.827930e+04 ; -2.316253e+07 + i 4.737373e+06 ; -3.137426e+07 + i 2.785856e+06 ; 7.843446e+05 + i -7.094215e+04 ; -8.517088e+06 + i 1.806588e+06 ; -3.957937e+07 + i 5.353347e+06 ; -4.174172e+06 + i 1.020575e+06 ; -1.725176e+07 + i 3.746474e+06 ; -2.212087e+07 + i 2.495282e+06 ; -3.704362e+05 + i 1.781004e+05 ; -7.145274e+06 + i 1.585959e+06 ; 3.187124e+05 + i 4.840522e+05 ; 2.935156e+06 + i -2.187582e+05 ; -2.397635e+07 + i 5.575401e+06 ; -7.007930e+05 + i 4.319721e+05 ; 1.108552e+06 + i -1.276402e+05 ; -9.488149e+06 + i 2.025593e+06 ; 2.307159e+06 + i 2.517969e+05 ; 4.623795e+06 + i -4.588983e+05 ; -1.878068e+07 + i 4.354195e+06 ; 4.788333e+05 + i 3.291575e+05 ; 1.498525e+06 + i -1.933888e+05 ; -7.846221e+06 + i 1.765597e+06 ; 
-2.611425e+08 + i 2.553261e+06 ; -2.840093e+07 + i 4.168231e+06 ; 5.085175e+08 + i -7.198455e+07 ; -8.829000e+08 + i 1.259660e+08 ; 9.869055e+06 + i -1.359609e+05 ; -5.339749e+07 + i 4.542317e+06 ; -8.657913e+07 + i 1.773376e+07 ; -1.242812e+08 + i 2.356714e+07 ; 1.304213e+08 + i -2.360494e+07 ; -1.356691e+08 + i 3.684281e+07 ; 2.712017e+07 + i -2.612856e+06 ; -2.780948e+07 + i 2.540499e+06 ; 1.891749e+09 + i -2.735679e+08 ; -1.195844e+08 + i 8.059009e+06 ; 1.183636e+08 + i -8.533160e+06 ; -6.517856e+09 + i 5.522002e+08 ; 1.685871e+07 + i 1.101337e+06 ; -1.765644e+07 + i -1.294504e+06 ; -2.599429e+08 + i 2.772564e+06 ; -4.844304e+08 + i 7.280608e+07 ; 2.932738e+07 + i -4.110361e+06 ; -8.830819e+08 + i 1.259404e+08 ; 5.780846e+07 + i -3.671509e+06 ; -1.031579e+07 + i 4.476618e+04 ; 7.204558e+07 + i -1.753390e+07 ; 1.706215e+07 + i -1.974592e+06 ; -1.500549e+08 + i 2.171730e+07 ; 5.223418e+07 + i -1.080309e+07 ; 1.515043e+06 + i -6.219723e+05 ; -1.600788e+07 + i 4.122385e+06 ; 4.658557e+06 + i -5.095495e+06 ; 6.839875e+07 + i -1.192547e+07 ; -7.212334e+07 + i 1.183758e+07 ; 1.575739e+07 + i -5.683938e+06 ; 1.132587e+07 + i -2.895972e+06 ; -1.202540e+07 + i 2.921009e+06 ; 3.659363e+08 + i -5.168717e+07 ; 3.622591e+07 + i -2.800846e+06 ; -3.947383e+07 + i 2.359207e+06 ; 1.621542e+08 + i -1.748060e+07 ; 2.690414e+06 + i -9.938299e+05 ; -3.038524e+06 + i 9.986527e+05 ; 7.167814e+07 + i -1.759442e+07 ; 1.422607e+08 + i -2.206927e+07 ; -1.851973e+07 + i 1.823242e+06 ; 5.205736e+07 + i -1.083788e+07 ; 1.506019e+07 + i -4.079078e+06 ; -1.755668e+06 + i 6.203993e+05 ; 
3.374394e+07 + i -2.974701e+06 ; -1.402627e+08 + i 3.771218e+07 ; 3.283958e+07 + i -2.792302e+06 ; 1.376267e+07 + i -4.319040e+05 ; -8.887910e+08 + i 1.268156e+08 ; 6.494249e+07 + i -4.144982e+06 ; -1.263159e+08 + i 2.332873e+07 ; -8.929510e+07 + i 1.819824e+07 ; -1.287708e+08 + i 2.361043e+07 ; -2.187608e+07 + i 3.603703e+06 ; -2.616527e+08 + i 3.097565e+06 ; -5.064097e+08 + i 7.194444e+07 ; 6.651351e+07 + i -3.921185e+06 ; -8.936132e+08 + i 1.270307e+08 ; 1.297143e+07 + i -1.791830e+05 ; 2.185294e+07 + i 8.563571e+05 ; -6.534065e+09 + i 5.532305e+08 ; 2.042087e+07 + i 1.054945e+06 ; -5.034919e+08 + i 7.183708e+07 ; -2.652464e+08 + i 3.257670e+06 ; -2.798213e+07 + i 4.089727e+06 ; -1.149357e+08 + i 6.843729e+06 ; 1.886303e+09 + i -2.732707e+08 ; -1.235031e+08 + i 7.625700e+06 ; -1.791016e+07 + i 1.435223e+06 ; -8.797703e+07 + i 1.555585e+07 ; 1.324213e+07 + i -9.033516e+05 ; -1.140329e+07 + i 5.056291e+05 ; -1.875337e+07 + i 4.361283e+06 ; 3.857302e+06 + i -4.349542e+05 ; 7.304042e+07 + i -1.190373e+07 ; -5.875833e+07 + i 8.580110e+06 ; -4.017669e+07 + i 6.597461e+06 ; 3.863126e+07 + i -5.307226e+06 ; -1.720522e+07 + i 3.755695e+06 ; -2.692764e+06 + i 9.321240e+05 ; -2.677539e+07 + i 1.637303e+06 ; -1.742532e+08 + i 2.515615e+07 ; 6.586482e+06 + i -1.170625e+05 ; -1.482902e+07 + i 2.427367e+05 ; -2.393356e+07 + i 5.587806e+06 ; 2.445958e+06 + i -2.035518e+05 ; 1.490458e+08 + i -2.216479e+07 ; -9.452358e+07 + i 9.044608e+06 ; -6.358906e+06 + i 5.515158e+05 ; 6.727425e+07 + i -7.524400e+06 ; -2.308186e+07 + i 4.757804e+06 ; 9.250857e+05 + i 7.885387e+04 ; 
5.040393e+08 + i -7.171505e+07 ; -2.785093e+07 + i 3.938069e+06 ; -2.665153e+08 + i 3.031145e+06 ; 1.083362e+08 + i -7.896530e+06 ; -1.174895e+08 + i 8.357988e+06 ; 1.886140e+09 + i -2.733045e+08 ; 1.263710e+08 + i -2.335201e+07 ; -1.234257e+08 + i 2.342981e+07 ; -8.946028e+07 + i 1.819881e+07 ; 2.239886e+07 + i -3.472903e+06 ; -4.827683e+08 + i 7.266278e+07 ; -2.616713e+08 + i 3.105592e+06 ; -5.947226e+07 + i 5.085940e+06 ; 1.247085e+07 + i -2.658770e+05 ; -8.931108e+08 + i 1.271406e+08 ; -2.209878e+07 + i -9.004293e+05 ; 1.969336e+07 + i 9.055019e+05 ; -6.533893e+09 + i 5.532912e+08 ; -3.306491e+07 + i 3.033019e+06 ; 3.139480e+07 + i -2.897569e+06 ; -1.401283e+08 + i 3.771854e+07 ; -1.355569e+07 + i 4.808361e+05 ; 6.184828e+07 + i -4.514770e+06 ; -8.884788e+08 + i 1.268837e+08 ; -1.486773e+08 + i 2.220920e+07 ; -5.636525e+06 + i 6.499666e+05 ; -9.417134e+07 + i 9.098849e+06 ; -6.702515e+07 + i 7.558712e+06 ; 9.427697e+05 + i 7.335418e+04 ; -2.303880e+07 + i 4.761949e+06 ; -7.277377e+07 + i 1.193160e+07 ; -3.795866e+07 + i 6.678757e+06 ; -5.862787e+07 + i 8.596046e+06 ; -3.843835e+07 + i 5.331263e+06 ; -2.502288e+06 + i 9.175426e+05 ; -1.717797e+07 + i 3.758435e+06 ; 2.818959e+07 + i -1.402404e+06 ; 6.220756e+06 + i -1.820368e+05 ; -1.742946e+08 + i 2.514645e+07 ; 1.547447e+07 + i -1.141296e+05 ; 2.306027e+06 + i -2.199574e+05 ; -2.395435e+07 + i 5.581338e+06 ; 1.847995e+07 + i -1.354853e+06 ; 1.258093e+07 + i -9.825679e+05 ; -8.799137e+07 + i 1.555175e+07 ; 1.173404e+07 + i -4.534105e+05 ; 3.655730e+06 + i -4.510772e+05 ; -1.877383e+07 + i 4.355357e+06 ; 
-1.387922e+08 + i 3.755665e+07 ; 3.295786e+07 + i -2.775193e+06 ; 3.295945e+07 + i -2.774767e+06 ; -8.640176e+07 + i 1.772649e+07 ; -1.288852e+08 + i 2.341248e+07 ; -1.288827e+08 + i 2.341363e+07 ; -8.910155e+08 + i 1.269454e+08 ; 1.303124e+07 + i -1.828236e+05 ; 6.436327e+07 + i -4.145277e+06 ; -2.599549e+08 + i 2.718927e+06 ; -2.791987e+07 + i 4.009388e+06 ; -5.067908e+08 + i 7.199590e+07 ; -8.910135e+08 + i 1.269465e+08 ; 6.436211e+07 + i -4.145572e+06 ; 1.302722e+07 + i -1.833199e+05 ; -2.599567e+08 + i 2.720050e+06 ; -5.067902e+08 + i 7.199652e+07 ; -2.793850e+07 + i 4.002647e+06 ; -6.535529e+09 + i 5.534913e+08 ; 2.032101e+07 + i 1.040462e+06 ; 2.031337e+07 + i 1.039647e+06 ; 1.891797e+09 + i -2.735685e+08 ; -1.225959e+08 + i 7.760275e+06 ; -1.226020e+08 + i 7.757525e+06 ; 1.568763e+07 + i -5.694960e+06 ; -1.297371e+07 + i 3.059479e+06 ; -1.297362e+07 + i 3.059467e+06 ; 1.606970e+07 + i -4.396169e+06 ; -3.316771e+06 + i 8.968313e+05 ; -3.316708e+06 + i 8.968576e+05 ; 5.213227e+07 + i -1.081955e+07 ; 1.071243e+06 + i 2.945964e+05 ; -1.978244e+07 + i 4.354710e+06 ; 3.529455e+07 + i -6.257857e+06 ; 1.039429e+06 + i 1.076433e+03 ; -4.342482e+06 + i 1.116164e+06 ; 5.213391e+07 + i -1.081877e+07 ; -1.978301e+07 + i 4.354567e+06 ; 1.069788e+06 + i 2.938896e+05 ; 3.529491e+07 + i -6.257592e+06 ; -4.342433e+06 + i 1.116183e+06 ; 1.039007e+06 + i 9.609903e+02 ; 1.621870e+08 + i -1.747469e+07 ; -1.304999e+05 + i 5.092945e+05 ; -1.282461e+05 + i 5.096451e+05 ; 7.921202e+07 + i -6.966324e+06 ; 9.362222e+05 + i 3.533663e+04 ; 9.361859e+05 + i 3.534612e+04 ; 
-2.948913e+07 + i 4.074054e+06 ; -2.675963e+08 + i 3.134381e+06 ; 5.082179e+08 + i -7.187988e+07 ; -1.268968e+08 + i 2.360757e+07 ; -8.954026e+07 + i 1.818729e+07 ; 1.297921e+08 + i -2.348050e+07 ; 1.167571e+07 + i -1.721054e+05 ; -8.942125e+08 + i 1.272345e+08 ; -5.832269e+07 + i 4.836055e+06 ; 3.026009e+07 + i -2.766173e+06 ; -1.401409e+08 + i 3.771477e+07 ; -3.209172e+07 + i 2.845357e+06 ; -1.198866e+08 + i 8.378973e+06 ; 1.880777e+09 + i -2.731869e+08 ; 1.172240e+08 + i -8.471890e+06 ; -4.877579e+08 + i 7.286850e+07 ; -2.655410e+08 + i 3.185922e+06 ; 2.855041e+07 + i -4.026584e+06 ; 1.870456e+07 + i 1.014985e+06 ; -6.540605e+09 + i 5.536283e+08 ; -2.079089e+07 + i -1.249605e+06 ; 6.031934e+07 + i -4.290361e+06 ; -8.932042e+08 + i 1.271277e+08 ; -1.293171e+07 + i 1.626995e+05 ; -4.012066e+07 + i 5.338666e+06 ; -1.725137e+07 + i 3.749428e+06 ; 4.417796e+06 + i -1.047740e+06 ; -2.241835e+07 + i 2.481424e+06 ; -7.144155e+06 + i 1.586697e+06 ; 3.885963e+05 + i -1.868837e+05 ; 2.366361e+06 + i 2.716275e+05 ; -1.877548e+07 + i 4.356400e+06 ; -4.915224e+06 + i 4.349635e+05 ; 4.987178e+05 + i 3.405241e+05 ; -7.844315e+06 + i 1.766154e+06 ; -1.593929e+06 + i 1.886148e+05 ; -6.344979e+07 + i 7.139160e+06 ; -2.316896e+07 + i 4.738183e+06 ; -1.468722e+06 + i 2.227201e+04 ; -3.177828e+07 + i 2.759943e+06 ; -8.517670e+06 + i 1.806873e+06 ; -8.445582e+05 + i 6.446678e+04 ; 3.637821e+05 + i 5.042361e+05 ; -2.397421e+07 + i 5.576620e+06 ; -3.125220e+06 + i 1.983488e+05 ; -6.876654e+05 + i 4.437449e+05 ; -9.485849e+06 + i 2.026181e+06 ; -1.180044e+06 + i 1.230330e+05 ; 
-2.949743e+07 + i 4.073654e+06 ; 5.082185e+08 + i -7.187984e+07 ; -2.675945e+08 + i 3.133913e+06 ; -1.268962e+08 + i 2.360757e+07 ; 1.297929e+08 + i -2.348048e+07 ; -8.953518e+07 + i 1.818677e+07 ; -1.198946e+08 + i 8.377071e+06 ; 1.172266e+08 + i -8.470860e+06 ; 1.880821e+09 + i -2.731711e+08 ; -4.877573e+08 + i 7.286874e+07 ; 2.855177e+07 + i -4.025964e+06 ; -2.655157e+08 + i 3.191279e+06 ; 1.167172e+07 + i -1.718832e+05 ; -5.831705e+07 + i 4.838470e+06 ; -8.941330e+08 + i 1.272620e+08 ; 3.026888e+07 + i -2.763654e+06 ; -3.208854e+07 + i 2.846413e+06 ; -1.401238e+08 + i 3.771682e+07 ; 1.868242e+07 + i 1.010541e+06 ; -2.079096e+07 + i -1.249662e+06 ; -6.540599e+09 + i 5.536334e+08 ; 6.032131e+07 + i -4.289703e+06 ; -1.293122e+07 + i 1.627075e+05 ; -8.931795e+08 + i 1.271294e+08 ; -4.011839e+07 + i 5.338806e+06 ; 4.417702e+06 + i -1.047784e+06 ; -1.725023e+07 + i 3.749540e+06 ; -2.241768e+07 + i 2.481507e+06 ; 3.885408e+05 + i -1.869100e+05 ; -7.143753e+06 + i 1.586702e+06 ; -6.345024e+07 + i 7.139099e+06 ; -1.468456e+06 + i 2.238840e+04 ; -2.316602e+07 + i 4.738910e+06 ; -3.177844e+07 + i 2.759933e+06 ; -8.444272e+05 + i 6.451141e+04 ; -8.516911e+06 + i 1.806987e+06 ; 2.370544e+06 + i 2.723090e+05 ; -4.915036e+06 + i 4.350307e+05 ; -1.877423e+07 + i 4.356255e+06 ; 5.010939e+05 + i 3.410587e+05 ; -1.593936e+06 + i 1.886036e+05 ; -7.844552e+06 + i 1.765993e+06 ; 3.668061e+05 + i 5.045560e+05 ; -3.125182e+06 + i 1.983855e+05 ; -2.397225e+07 + i 5.576843e+06 ; -6.869012e+05 + i 4.438325e+05 ; -1.179944e+06 + i 1.230608e+05 ; -9.486068e+06 + i 2.026042e+06 ; 
-8.672461e+07 + i 1.773580e+07 ; 1.321769e+08 + i -2.363163e+07 ; 1.321739e+08 + i -2.363296e+07 ; -1.355954e+08 + i 3.685964e+07 ; -2.907533e+07 + i 2.296256e+06 ; -2.907710e+07 + i 2.295789e+06 ; -2.611121e+08 + i 2.570120e+06 ; 2.953085e+07 + i -4.028640e+06 ; 5.161885e+08 + i -7.172093e+07 ; -8.828662e+08 + i 1.259754e+08 ; -1.032812e+07 + i 6.186948e+04 ; -5.448186e+07 + i 4.366140e+06 ; -2.611197e+08 + i 2.569763e+06 ; 5.161886e+08 + i -7.172137e+07 ; 2.955267e+07 + i -4.020960e+06 ; -8.828524e+08 + i 1.259795e+08 ; -5.448084e+07 + i 4.366258e+06 ; -1.032287e+07 + i 6.272375e+04 ; 1.891284e+09 + i -2.736767e+08 ; 1.200729e+08 + i -8.330656e+06 ; 1.200801e+08 + i -8.327597e+06 ; -6.517807e+09 + i 5.522128e+08 ; -1.789028e+07 + i -1.348628e+06 ; -1.788103e+07 + i -1.347214e+06 ; 4.764315e+06 + i -5.087792e+06 ; -7.283182e+07 + i 1.189766e+07 ; -7.283047e+07 + i 1.189814e+07 ; 1.582551e+07 + i -5.676452e+06 ; -1.212942e+07 + i 2.942714e+06 ; -1.212880e+07 + i 2.942921e+06 ; 7.201643e+07 + i -1.754101e+07 ; -1.819374e+07 + i 1.910887e+06 ; -1.523097e+08 + i 2.165576e+07 ; 5.221929e+07 + i -1.080705e+07 ; -1.694305e+06 + i 6.348679e+05 ; -1.625101e+07 + i 4.143152e+06 ; 7.202477e+07 + i -1.753975e+07 ; -1.523103e+08 + i 2.165567e+07 ; -1.819911e+07 + i 1.908764e+06 ; 5.222308e+07 + i -1.080645e+07 ; -1.625074e+07 + i 4.143240e+06 ; -1.696961e+06 + i 6.341495e+05 ; 3.659521e+08 + i -5.168460e+07 ; -3.999052e+07 + i 2.316946e+06 ; -3.999126e+07 + i 2.316338e+06 ; 1.621555e+08 + i -1.748042e+07 ; -3.077751e+06 + i 1.007784e+06 ; -3.080511e+06 + i 1.007203e+06 ; 
1.281066e+08 + i -2.334288e+07 ; -8.965085e+07 + i 1.819709e+07 ; 1.312563e+08 + i -2.350435e+07 ; 2.244872e+07 + i -3.449960e+06 ; -2.627918e+08 + i 2.959346e+06 ; 5.145270e+08 + i -7.152662e+07 ; -3.444090e+07 + i 2.773293e+06 ; -1.400775e+08 + i 3.772975e+07 ; -3.358708e+07 + i 2.594076e+06 ; -1.391216e+07 + i 4.171981e+05 ; -8.883936e+08 + i 1.268915e+08 ; -5.997874e+07 + i 4.721828e+06 ; 5.110701e+08 + i -7.145029e+07 ; -2.665827e+08 + i 3.038153e+06 ; 2.869212e+07 + i -3.917891e+06 ; 1.102588e+08 + i -7.667777e+06 ; 1.885723e+09 + i -2.733938e+08 ; 1.189439e+08 + i -8.213169e+06 ; -6.097508e+07 + i 4.879723e+06 ; -8.930861e+08 + i 1.271515e+08 ; -1.316486e+07 + i 1.568220e+05 ; -2.235911e+07 + i -9.469592e+05 ; -6.533833e+09 + i 5.533078e+08 ; -2.110908e+07 + i -1.259979e+06 ; -7.395611e+07 + i 1.188912e+07 ; -5.868961e+07 + i 8.591170e+06 ; 4.073353e+07 + i -6.601301e+06 ; -3.906535e+07 + i 5.291904e+06 ; -1.717504e+07 + i 3.760479e+06 ; 2.724140e+06 + i -9.404784e+05 ; 1.851795e+07 + i -1.377513e+06 ; -8.799525e+07 + i 1.555082e+07 ; -1.336166e+07 + i 8.828129e+05 ; 1.179336e+07 + i -4.562109e+05 ; -1.876919e+07 + i 4.356861e+06 ; -3.916368e+06 + i 4.297978e+05 ; -1.508083e+08 + i 2.213743e+07 ; -9.418222e+07 + i 9.094452e+06 ; 6.318094e+06 + i -5.606975e+05 ; -6.799256e+07 + i 7.490398e+06 ; -2.303696e+07 + i 4.762206e+06 ; -9.515994e+05 + i -8.378336e+04 ; 2.838745e+07 + i -1.390197e+06 ; -1.742731e+08 + i 2.515046e+07 ; -6.674012e+06 + i 1.004229e+05 ; 1.559281e+07 + i -9.913020e+04 ; -2.394517e+07 + i 5.583262e+06 ; -2.484848e+06 + i 1.991172e+05 ; 
