-6.773697e+08 + i 2.556483e+09 ; 5.339782e+06 + i 2.380148e+07 ; 5.376871e+06 + i 2.378147e+07 ; -4.066176e+08 + i -3.651719e+08 ; -3.645414e+07 + i -4.736637e+07 ; -3.647447e+07 + i -4.732563e+07 ; 1.709252e+08 + i 2.088589e+08 ; 1.731087e+07 + i 2.850981e+07 ; 1.015268e+07 + i 3.638361e+06 ; 6.800221e+07 + i 1.894414e+08 ; -1.004149e+08 + i -6.471829e+07 ; -1.108968e+07 + i 4.893567e+06 ; 1.709441e+08 + i 2.088147e+08 ; 1.004582e+07 + i 3.648560e+06 ; 1.727297e+07 + i 2.853573e+07 ; 6.810918e+07 + i 1.893815e+08 ; -1.099438e+07 + i 4.710974e+06 ; -1.004099e+08 + i -6.471703e+07 ; 5.245973e+07 + i -7.079242e+07 ; 1.393016e+07 + i 4.373471e+06 ; 1.396414e+07 + i 4.303536e+06 ; 5.730453e+07 + i -6.128574e+07 ; -2.417896e+07 + i 3.431690e+06 ; -2.421607e+07 + i 3.395913e+06 ; -3.350118e+07 + i -5.782884e+07 ; 1.092140e+05 + i 2.830443e+06 ; 1.181984e+05 + i 2.829269e+06 ; -1.323082e+07 + i -3.857203e+07 ; 8.043499e+05 + i 2.094875e+05 ; 8.048238e+05 + i 2.070833e+05 ; -1.940576e+07 + i 1.243682e+07 ; -2.534685e+06 + i 2.625965e+06 ; 1.234282e+06 + i 1.691647e+06 ; -1.674206e+07 + i 5.942879e+06 ; 1.354235e+05 + i 1.257832e+05 ; 5.148121e+05 + i -1.619596e+04 ; -1.938804e+07 + i 1.240609e+07 ; 1.228398e+06 + i 1.667686e+06 ; -2.529544e+06 + i 2.624918e+06 ; -1.672472e+07 + i 5.931775e+06 ; 5.107799e+05 + i -1.524706e+04 ; 1.353245e+05 + i 1.257484e+05 ; 1.055315e+07 + i 1.000957e+07 ; -6.389049e+05 + i 1.468696e+06 ; -6.393215e+05 + i 1.480241e+06 ; 6.301029e+06 + i 8.916029e+06 ; -3.622493e+04 + i -7.153094e+04 ; -3.397560e+04 + i -7.138959e+04 ; 
-1.832821e+07 + i -8.451836e+06 ; -1.806912e+07 + i -9.230306e+06 ; 5.542293e+07 + i -7.101840e+07 ; -1.347784e+07 + i -5.315650e+06 ; -1.286677e+07 + i -4.024548e+07 ; 1.691799e+08 + i 2.090712e+08 ; -1.367214e+07 + i -3.974229e+07 ; -1.344147e+07 + i -6.431736e+06 ; 1.708473e+08 + i 2.119584e+08 ; -8.140185e+05 + i -2.921904e+07 ; -2.597063e+04 + i -3.029812e+07 ; -6.822451e+08 + i 2.558379e+09 ; 3.437950e+07 + i -3.243268e+06 ; 3.552537e+07 + i -1.638698e+06 ; 5.831040e+07 + i -6.339205e+07 ; 1.739418e+07 + i -1.145555e+07 ; 1.064442e+08 + i 1.103630e+08 ; 6.979628e+07 + i 1.874760e+08 ; 1.056398e+08 + i 1.075164e+08 ; 1.911958e+07 + i -8.933020e+06 ; 7.135018e+07 + i 1.903224e+08 ; 2.790306e+07 + i 6.621669e+07 ; 3.023790e+07 + i 7.073807e+07 ; -4.058080e+08 + i -3.607176e+08 ; 6.370488e+06 + i 4.966549e+06 ; -3.680546e+06 + i -6.311421e+06 ; 2.263654e+07 + i 1.792367e+06 ; 5.171208e+06 + i 4.654338e+06 ; -1.737455e+06 + i -1.761844e+05 ; -1.047458e+05 + i -2.777681e+06 ; 8.290378e+06 + i 1.344716e+07 ; -1.886553e+06 + i -5.185724e+06 ; 3.568085e+07 + i 3.639610e+07 ; 4.811454e+06 + i 1.193570e+07 ; -1.461622e+06 + i -1.347680e+05 ; 5.895743e+06 + i -5.704975e+06 ; -1.445227e+07 + i -8.839401e+06 ; 7.284312e+06 + i 5.690446e+06 ; 1.944513e+07 + i 2.215066e+06 ; -9.210385e+06 + i -6.260425e+06 ; 3.831960e+05 + i -1.231814e+06 ; -7.025720e+04 + i -2.600144e+06 ; -3.394907e+07 + i -2.547704e+07 ; 9.092066e+05 + i 3.048106e+06 ; 2.300023e+07 + i 3.462108e+07 ; -1.812843e+07 + i -2.028944e+07 ; 5.349874e+03 + i -1.204143e+06 ; 6.591902e+06 + i -4.980393e+06 ; 
1.684916e+08 + i 2.102638e+08 ; 1.055199e+07 + i 4.207712e+06 ; -1.739055e+07 + i -2.932206e+07 ; 6.809584e+07 + i 1.906392e+08 ; -1.206476e+07 + i 5.823670e+06 ; 1.124839e+08 + i 9.341565e+07 ; 5.353738e+07 + i -7.050492e+07 ; 1.459300e+07 + i 5.233805e+06 ; -1.504210e+07 + i -7.606239e+06 ; 5.767985e+07 + i -6.144170e+07 ; -2.527683e+07 + i 2.577958e+06 ; 2.941480e+07 + i -1.011122e+06 ; -6.796847e+08 + i 2.557352e+09 ; 4.716842e+06 + i 2.438558e+07 ; -5.037988e+06 + i -2.557321e+07 ; -4.067762e+08 + i -3.643535e+08 ; -3.634070e+07 + i -4.969616e+07 ; 3.691726e+07 + i 5.626612e+07 ; 1.718971e+08 + i 2.097715e+08 ; 1.648236e+07 + i 2.983303e+07 ; -1.060727e+07 + i -5.680142e+06 ; 6.854378e+07 + i 1.897064e+08 ; -1.030902e+08 + i -7.065804e+07 ; 1.303693e+07 + i -5.120530e+06 ; -1.900439e+07 + i 1.193736e+07 ; 1.216417e+06 + i 1.884059e+06 ; 3.159151e+06 + i -2.620743e+06 ; -1.636025e+07 + i 5.746771e+06 ; 5.499268e+05 + i 2.598492e+04 ; -1.479760e+05 + i -1.234034e+05 ; 1.043869e+07 + i 9.875036e+06 ; -7.412060e+05 + i 1.562206e+06 ; 9.368204e+05 + i -1.620667e+06 ; 6.265195e+06 + i 8.745738e+06 ; -2.770124e+04 + i -5.931033e+04 ; 2.232821e+04 + i 7.747089e+04 ; -3.346983e+07 + i -5.788594e+07 ; 9.175990e+04 + i 2.888064e+06 ; 1.222675e+05 + i -3.497911e+06 ; -1.319546e+07 + i -3.851568e+07 ; 8.396812e+05 + i 2.150400e+05 ; -9.275450e+05 + i -3.746965e+05 ; -1.941054e+07 + i 1.245988e+07 ; -2.671689e+06 + i 2.578480e+06 ; -1.251973e+06 + i -2.320623e+06 ; -1.668849e+07 + i 5.957086e+06 ; 1.387574e+05 + i 1.046275e+05 ; -6.199210e+05 + i -1.178549e+05 ; 
1.007390e+07 + i 4.595757e+06 ; 1.713195e+08 + i 2.113070e+08 ; -1.742641e+07 + i -2.938801e+07 ; 1.405820e+07 + i 5.843620e+06 ; 5.445185e+07 + i -7.162664e+07 ; -1.496777e+07 + i -7.494775e+06 ; -1.294521e+07 + i 4.932359e+06 ; 7.188945e+07 + i 1.919518e+08 ; 1.127833e+08 + i 9.317980e+07 ; -2.678855e+07 + i 1.093518e+06 ; 5.829975e+07 + i -6.340033e+07 ; 2.963885e+07 + i -1.168478e+06 ; 4.025439e+06 + i 2.440056e+07 ; -6.795579e+08 + i 2.562198e+09 ; -5.063244e+06 + i -2.562448e+07 ; 1.552818e+07 + i 2.999765e+07 ; 1.734374e+08 + i 2.114531e+08 ; -1.054630e+07 + i -5.555084e+06 ; -3.696242e+07 + i -5.127792e+07 ; -4.054788e+08 + i -3.565243e+08 ; 3.712733e+07 + i 5.600044e+07 ; -1.044416e+08 + i -7.332385e+07 ; 7.163309e+07 + i 1.906546e+08 ; 1.318992e+07 + i -5.279380e+06 ; 2.072243e+06 + i 4.357164e+06 ; 5.655225e+03 + i -2.614842e+06 ; -1.614563e+06 + i -1.006566e+06 ; 1.174911e+06 + i 3.457433e+06 ; 8.131814e+05 + i 5.781828e+05 ; -4.428727e+05 + i -5.843572e+04 ; -1.138477e+07 + i -6.024777e+06 ; 1.792031e+04 + i -2.618187e+06 ; 2.000540e+05 + i -2.890590e+05 ; -7.463777e+06 + i -4.790207e+06 ; 7.447729e+05 + i 5.766978e+05 ; -7.306171e+04 + i -1.090155e+05 ; -1.042393e+06 + i 4.931303e+06 ; 5.736239e+06 + i -5.445670e+06 ; -1.175743e+06 + i -7.674930e+05 ; -1.368064e+06 + i 3.617350e+06 ; 3.208559e+05 + i 9.907621e+04 ; -3.600034e+05 + i -3.867328e+04 ; -1.563077e+07 + i -1.785409e+07 ; 6.566355e+06 + i -4.958477e+06 ; -8.587593e+05 + i -7.003540e+05 ; -8.136600e+06 + i -1.274369e+07 ; 1.662427e+05 + i 1.271336e+04 ; -2.541452e+05 + i -1.528636e+05 ; 
3.852481e+07 + i 4.453965e+07 ; 3.816610e+07 + i 4.256859e+07 ; -4.034056e+08 + i -3.573940e+08 ; 1.061545e+08 + i 7.265867e+07 ; 1.122071e+07 + i -5.236238e+06 ; 7.157528e+07 + i 1.912605e+08 ; 1.190995e+07 + i -3.972572e+06 ; 1.050687e+08 + i 6.971113e+07 ; 7.211659e+07 + i 1.911550e+08 ; 2.702216e+07 + i -1.959492e+06 ; 2.560086e+07 + i -3.570996e+06 ; 5.859817e+07 + i -6.397694e+07 ; -6.145262e+06 + i -2.283122e+07 ; -6.812424e+06 + i -2.287017e+07 ; -6.792620e+08 + i 2.561922e+09 ; -1.797258e+07 + i -2.236693e+07 ; -1.023457e+07 + i -3.059602e+06 ; 1.723002e+08 + i 2.103258e+08 ; -9.814739e+06 + i -3.473402e+06 ; -1.878777e+07 + i -2.237134e+07 ; 1.729450e+08 + i 2.101890e+08 ; -1.336159e+07 + i -5.215496e+06 ; -1.380245e+07 + i -4.631527e+06 ; 5.329173e+07 + i -7.140007e+07 ; 1.582893e+07 + i 1.819001e+07 ; -8.344169e+05 + i -4.411769e+05 ; 6.313235e+06 + i -4.556954e+06 ; 8.269537e+06 + i 1.305711e+07 ; -2.244078e+05 + i -8.158312e+04 ; 2.074840e+05 + i 2.978002e+04 ; 1.163105e+07 + i 5.891310e+06 ; 9.507049e+04 + i -1.948639e+05 ; -1.369520e+04 + i -2.429209e+06 ; 7.709554e+06 + i 4.748531e+06 ; -6.401794e+04 + i -7.218818e+04 ; 7.529205e+05 + i 5.973447e+05 ; 4.240119e+05 + i -4.045603e+06 ; -1.028917e+06 + i -5.689121e+05 ; 5.751469e+06 + i -5.373142e+06 ; 9.581160e+05 + i -3.128245e+06 ; -3.117106e+05 + i -1.509176e+04 ; 3.739629e+05 + i 1.071820e+05 ; -2.138299e+06 + i -3.962196e+06 ; -1.423151e+06 + i -7.180775e+05 ; -5.546587e+04 + i -2.569874e+06 ; -1.195346e+06 + i -3.210393e+06 ; -3.818549e+05 + i -3.186841e+04 ; 8.402370e+05 + i 5.801478e+05 ; 
6.532844e+07 + i 1.937543e+08 ; 1.397829e+07 + i -6.381292e+06 ; -1.084023e+08 + i -1.105287e+08 ; 1.675228e+08 + i 2.090882e+08 ; -9.826496e+06 + i -3.167864e+06 ; 2.192204e+07 + i 1.239729e+07 ; 5.873315e+07 + i -6.151075e+07 ; 2.711636e+07 + i -2.671527e+06 ; -3.045947e+07 + i -1.540900e+06 ; 5.304785e+07 + i -6.879871e+07 ; -1.363661e+07 + i -4.513097e+06 ; 1.185070e+07 + i 6.333369e+06 ; -4.071754e+08 + i -3.636703e+08 ; 3.608110e+07 + i 5.319867e+07 ; -4.184844e+07 + i -4.479911e+07 ; -6.830344e+08 + i 2.549244e+09 ; -3.830069e+06 + i -2.392603e+07 ; 2.172440e+05 + i 2.863665e+07 ; 6.988055e+07 + i 1.898966e+08 ; 1.058138e+08 + i 7.679507e+07 ; -1.259989e+07 + i 5.148971e+06 ; 1.678356e+08 + i 2.096852e+08 ; -1.409619e+07 + i -3.015673e+07 ; 8.819361e+06 + i 5.332193e+06 ; -1.994079e+07 + i 1.912675e+07 ; -6.358735e+06 + i -5.401165e+05 ; 3.053550e+07 + i 3.154939e+07 ; -1.886509e+07 + i 1.162791e+07 ; 1.360104e+06 + i 1.649437e+06 ; 3.679866e+06 + i -4.728566e+06 ; 1.627420e+07 + i 1.065858e+07 ; -1.474118e+07 + i -2.810360e+06 ; 1.646684e+07 + i 7.353431e+06 ; 1.039256e+07 + i 9.588191e+06 ; 1.699743e+05 + i 1.487921e+06 ; 1.937028e+05 + i -1.713171e+06 ; -7.335649e+07 + i -8.131750e+07 ; -1.193362e+07 + i -1.301824e+07 ; 8.685442e+06 + i 2.283898e+07 ; -3.335018e+07 + i -5.781275e+07 ; -6.613837e+05 + i 4.393399e+06 ; 2.449264e+06 + i -4.516173e+06 ; -2.042319e+07 + i 2.061357e+07 ; -3.135493e+07 + i -1.914480e+07 ; 6.968940e+06 + i 3.935470e+06 ; -1.941279e+07 + i 1.243843e+07 ; -1.748297e+06 + i 4.726799e+06 ; -1.109096e+06 + i -1.999829e+06 ; 
-1.659895e+07 + i -8.997635e+06 ; 5.541517e+07 + i -7.124488e+07 ; -1.542366e+07 + i -1.048151e+07 ; -1.178573e+07 + i -5.308026e+06 ; 1.694156e+08 + i 2.088912e+08 ; -1.605401e+07 + i -3.263275e+07 ; 2.989692e+07 + i 1.662407e+05 ; 5.861897e+07 + i -6.358592e+07 ; 3.313433e+07 + i -8.758364e+05 ; 1.355909e+07 + i -8.935814e+06 ; 6.946398e+07 + i 1.889125e+08 ; 1.098605e+08 + i 1.065721e+08 ; -1.380490e+07 + i -3.822345e+07 ; 1.713552e+08 + i 2.123407e+08 ; -1.095900e+07 + i -6.850365e+06 ; -2.179886e+06 + i -2.819496e+07 ; -6.829248e+08 + i 2.558500e+09 ; -2.987297e+06 + i -2.703753e+07 ; 1.094773e+08 + i 1.047281e+08 ; 7.212285e+07 + i 1.904888e+08 ; 1.543883e+07 + i -6.369773e+06 ; 3.094547e+07 + i 6.141433e+07 ; -4.066139e+08 + i -3.604363e+08 ; 3.306201e+07 + i 6.311850e+07 ; 6.592520e+06 + i 5.251749e+06 ; 2.259266e+07 + i 1.825197e+06 ; -3.591328e+06 + i -6.294804e+06 ; 5.318263e+06 + i 4.898328e+06 ; -8.709918e+04 + i -2.768583e+06 ; -1.720775e+06 + i -2.046424e+05 ; -1.548390e+07 + i -8.391154e+06 ; 1.942870e+07 + i 2.253478e+06 ; 7.344114e+06 + i 5.521160e+06 ; -9.908309e+06 + i -6.130515e+06 ; -6.300790e+04 + i -2.615526e+06 ; 3.646936e+05 + i -1.234146e+06 ; 8.605316e+06 + i 1.368573e+07 ; 3.569074e+07 + i 3.641446e+07 ; -1.826208e+06 + i -5.122790e+06 ; 4.983325e+06 + i 1.210280e+07 ; 5.910546e+06 + i -5.720684e+06 ; -1.443925e+06 + i -1.572740e+05 ; -3.359430e+07 + i -2.567291e+07 ; 2.299362e+07 + i 3.455801e+07 ; 9.394159e+05 + i 2.866353e+06 ; -1.785992e+07 + i -2.032651e+07 ; 6.588638e+06 + i -5.015253e+06 ; -7.858446e+03 + i -1.210474e+06 ; 
-1.071372e+08 + i -1.078344e+08 ; 1.029077e+07 + i -3.801083e+06 ; 6.841840e+07 + i 1.948420e+08 ; -3.866312e+07 + i -3.961977e+07 ; 3.936883e+07 + i 4.639738e+07 ; -4.069705e+08 + i -3.594154e+08 ; -3.084753e+07 + i 1.047172e+06 ; 2.608265e+07 + i -2.745908e+06 ; 6.010030e+07 + i -6.346975e+07 ; -1.111769e+07 + i 6.473599e+06 ; 1.071401e+08 + i 7.586639e+07 ; 7.047296e+07 + i 1.888984e+08 ; 2.365897e+07 + i 1.369919e+07 ; -1.007380e+07 + i -3.915031e+06 ; 1.725202e+08 + i 2.097612e+08 ; 1.413432e+06 + i 2.957946e+07 ; -6.534618e+06 + i -2.411484e+07 ; -6.799050e+08 + i 2.557573e+09 ; 1.464991e+07 + i 7.360630e+06 ; -1.252048e+07 + i -7.050709e+06 ; 5.335273e+07 + i -7.166457e+07 ; 1.201441e+07 + i 3.670247e+06 ; -1.984568e+07 + i -2.447677e+07 ; 1.701308e+08 + i 2.071979e+08 ; 3.288259e+07 + i 2.463724e+07 ; 1.808837e+06 + i 7.080161e+05 ; 2.315772e+07 + i 3.334208e+07 ; 1.741340e+07 + i 1.953085e+07 ; -4.078998e+05 + i -1.146895e+06 ; 6.470573e+06 + i -5.071486e+06 ; 1.499610e+07 + i 8.092137e+06 ; 7.642870e+06 + i 2.255696e+06 ; 1.936369e+07 + i 1.952424e+06 ; 9.665390e+06 + i 5.838795e+06 ; -8.003039e+04 + i -1.245913e+06 ; -1.339067e+05 + i -2.660307e+06 ; -6.600339e+06 + i -1.857041e+07 ; -2.734979e+06 + i -3.605399e+06 ; 3.542917e+07 + i 3.657590e+07 ; -3.142400e+06 + i -1.488300e+07 ; -1.201906e+06 + i 2.973849e+05 ; 5.798253e+06 + i -5.497222e+06 ; -6.620073e+06 + i -6.971381e+06 ; -4.334804e+06 + i -4.438076e+06 ; 2.248269e+07 + i 1.915515e+06 ; -5.325408e+06 + i -6.094348e+06 ; -1.427429e+06 + i 2.637050e+05 ; -1.115634e+05 + i -2.575750e+06 ; 
5.478259e+07 + i -6.991865e+07 ; -1.407754e+07 + i -1.079001e+07 ; -1.407945e+07 + i -1.081021e+07 ; 5.797108e+07 + i -6.152776e+07 ; 3.003797e+07 + i 1.916477e+06 ; 3.009058e+07 + i 1.904928e+06 ; 1.697018e+08 + i 2.105464e+08 ; -1.049941e+07 + i -6.517720e+06 ; -1.610955e+07 + i -3.225404e+07 ; 6.849036e+07 + i 1.901750e+08 ; 1.329060e+07 + i -5.172880e+06 ; 1.121810e+08 + i 1.057046e+08 ; 1.697110e+08 + i 2.105021e+08 ; -1.612932e+07 + i -3.228825e+07 ; -1.044575e+07 + i -6.526807e+06 ; 6.858720e+07 + i 1.901318e+08 ; 1.123006e+08 + i 1.057399e+08 ; 1.316726e+07 + i -5.004758e+06 ; -6.816380e+08 + i 2.557991e+09 ; -4.126278e+06 + i -2.682463e+07 ; -4.039194e+06 + i -2.676491e+07 ; -4.068524e+08 + i -3.637510e+08 ; 3.571872e+07 + i 5.991881e+07 ; 3.557527e+07 + i 5.995079e+07 ; 1.014099e+07 + i 9.891483e+06 ; 1.176036e+06 + i -1.682541e+06 ; 1.169501e+06 + i -1.683461e+06 ; 6.121869e+06 + i 8.654920e+06 ; 2.245544e+04 + i 5.337808e+04 ; 2.437449e+04 + i 5.454689e+04 ; -1.909857e+07 + i 1.198001e+07 ; -1.105945e+06 + i -2.572193e+06 ; 3.381946e+06 + i -2.401596e+06 ; -1.636384e+07 + i 5.745796e+06 ; -6.283680e+05 + i -2.047568e+05 ; -1.629649e+05 + i -7.392772e+04 ; -1.907962e+07 + i 1.194859e+07 ; 3.382519e+06 + i -2.399137e+06 ; -1.115631e+06 + i -2.558423e+06 ; -1.634686e+07 + i 5.735171e+06 ; -1.642721e+05 + i -7.525597e+04 ; -6.254174e+05 + i -2.033193e+05 ; -3.347167e+07 + i -5.803752e+07 ; 2.337167e+05 + i -3.516007e+06 ; 2.351377e+05 + i -3.524931e+06 ; -1.317633e+07 + i -3.853295e+07 ; -9.650649e+05 + i -3.924240e+05 ; -9.626429e+05 + i -3.941297e+05 ; 
1.210210e+07 + i -3.768223e+06 ; 6.949503e+07 + i 1.945946e+08 ; -1.080206e+08 + i -1.104047e+08 ; 2.757883e+07 + i -6.194232e+05 ; 5.976629e+07 + i -6.325479e+07 ; -3.177300e+07 + i -2.308683e+06 ; -9.793682e+06 + i -4.605123e+06 ; 1.729950e+08 + i 2.102091e+08 ; 2.229465e+07 + i 1.549903e+07 ; -1.232461e+07 + i -7.455907e+06 ; 5.335835e+07 + i -7.164007e+07 ; 1.422747e+07 + i 8.561514e+06 ; 3.909179e+07 + i 4.890446e+07 ; -4.056847e+08 + i -3.554031e+08 ; -4.112574e+07 + i -4.410200e+07 ; 1.076761e+08 + i 7.938669e+07 ; 7.273574e+07 + i 1.919763e+08 ; -1.327992e+07 + i 4.778294e+06 ; -5.726636e+06 + i -2.445173e+07 ; -6.786254e+08 + i 2.561429e+09 ; 3.960216e+05 + i 3.110904e+07 ; -1.794911e+07 + i -2.565852e+07 ; 1.724487e+08 + i 2.099091e+08 ; 1.172586e+07 + i 6.802538e+06 ; 1.171938e+07 + i 6.562597e+06 ; 9.458463e+04 + i -2.535591e+06 ; -3.081013e+05 + i 4.163076e+05 ; 7.703879e+06 + i 5.182897e+06 ; 7.343720e+05 + i 5.716621e+05 ; 1.015324e+05 + i 1.373400e+05 ; -1.838814e+06 + i -4.460542e+06 ; 2.351004e+04 + i -2.645027e+06 ; 1.611719e+06 + i 1.216355e+06 ; -9.600685e+05 + i -3.504975e+06 ; 8.259812e+05 + i 5.606612e+05 ; 4.519364e+05 + i 1.017658e+05 ; 1.581167e+07 + i 1.936092e+07 ; 6.409062e+06 + i -4.627424e+06 ; 7.368034e+05 + i 1.014565e+06 ; 8.138615e+06 + i 1.376675e+07 ; 1.946610e+05 + i 1.493176e+04 ; 2.937986e+05 + i 1.952740e+05 ; 7.207776e+05 + i -4.576750e+06 ; 5.803261e+06 + i -5.418162e+06 ; 1.160149e+06 + i 9.531839e+05 ; 1.210281e+06 + i -3.461959e+06 ; 3.651159e+05 + i 9.143152e+04 ; 3.707634e+05 + i 7.355076e+04 ; 
1.215987e+07 + i -3.784068e+06 ; -1.080481e+08 + i -1.104221e+08 ; 6.946355e+07 + i 1.945777e+08 ; 2.755109e+07 + i -6.127168e+05 ; -3.180002e+07 + i -2.303598e+06 ; 5.973481e+07 + i -6.314890e+07 ; 3.908778e+07 + i 4.895783e+07 ; -4.112611e+07 + i -4.414219e+07 ; -4.052853e+08 + i -3.555958e+08 ; 1.076729e+08 + i 7.936642e+07 ; -1.326565e+07 + i 4.763715e+06 ; 7.243571e+07 + i 1.916832e+08 ; -9.748046e+06 + i -4.640760e+06 ; 2.234557e+07 + i 1.541345e+07 ; 1.733817e+08 + i 2.094816e+08 ; -1.230685e+07 + i -7.549630e+06 ; 1.420962e+07 + i 8.519092e+06 ; 5.311400e+07 + i -7.160115e+07 ; -5.727196e+06 + i -2.431007e+07 ; 4.043644e+05 + i 3.112031e+07 ; -6.781642e+08 + i 2.561447e+09 ; -1.791688e+07 + i -2.567589e+07 ; 1.173475e+07 + i 6.807742e+06 ; 1.721792e+08 + i 2.097216e+08 ; 1.170376e+07 + i 6.566104e+06 ; -3.123005e+05 + i 4.197147e+05 ; 7.512635e+04 + i -2.533992e+06 ; 7.691173e+06 + i 5.181376e+06 ; 1.012909e+05 + i 1.389151e+05 ; 7.345796e+05 + i 5.768194e+05 ; 1.582124e+07 + i 1.936193e+07 ; 7.372999e+05 + i 1.012739e+06 ; 6.388146e+06 + i -4.634141e+06 ; 8.146815e+06 + i 1.376595e+07 ; 2.939038e+05 + i 1.948175e+05 ; 1.953348e+05 + i 1.858656e+04 ; -1.833451e+06 + i -4.478130e+06 ; 1.610284e+06 + i 1.214562e+06 ; 7.188760e+02 + i -2.637811e+06 ; -9.492719e+05 + i -3.521270e+06 ; 4.510511e+05 + i 1.024791e+05 ; 8.275452e+05 + i 5.660148e+05 ; 7.059130e+05 + i -4.580357e+06 ; 1.161950e+06 + i 9.515709e+05 ; 5.789031e+06 + i -5.422019e+06 ; 1.202970e+06 + i -3.463258e+06 ; 3.701210e+05 + i 7.260087e+04 ; 3.666074e+05 + i 9.594670e+04 ; 
6.055696e+07 + i -6.091260e+07 ; -3.306568e+07 + i -3.371909e+06 ; -3.311615e+07 + i -3.349744e+06 ; 5.368727e+07 + i -6.913254e+07 ; 7.444927e+06 + i 1.136947e+07 ; 7.450972e+06 + i 1.137704e+07 ; 6.667222e+07 + i 1.935866e+08 ; -1.140297e+07 + i 3.587160e+06 ; -1.048674e+08 + i -1.204945e+08 ; 1.677951e+08 + i 2.086695e+08 ; 1.091972e+07 + i 5.405842e+06 ; 2.139959e+07 + i 1.745065e+07 ; 6.667085e+07 + i 1.935846e+08 ; -1.049950e+08 + i -1.205769e+08 ; -1.126106e+07 + i 3.404237e+06 ; 1.678913e+08 + i 2.085417e+08 ; 2.138107e+07 + i 1.745008e+07 ; 1.087527e+07 + i 5.402771e+06 ; -4.095576e+08 + i -3.616146e+08 ; -4.145031e+07 + i -5.025786e+07 ; -4.131153e+07 + i -5.031854e+07 ; -6.826054e+08 + i 2.549139e+09 ; -1.076665e+06 + i 2.918295e+07 ; -1.128085e+06 + i 2.910877e+07 ; 1.590284e+07 + i 1.064850e+07 ; 1.828933e+07 + i 7.192891e+06 ; 1.829589e+07 + i 7.179826e+06 ; 1.019090e+07 + i 9.432916e+06 ; 8.100644e+04 + i -2.141617e+06 ; 8.291113e+04 + i -2.149029e+06 ; -2.008077e+07 + i 1.939095e+07 ; 9.087241e+06 + i 2.299525e+06 ; 2.959275e+07 + i 3.398149e+07 ; -1.891199e+07 + i 1.175368e+07 ; -1.302754e+06 + i -2.494226e+06 ; 3.967562e+06 + i -4.592055e+06 ; -2.007220e+07 + i 1.935230e+07 ; 2.962256e+07 + i 3.402101e+07 ; 9.035572e+06 + i 2.349729e+06 ; -1.889925e+07 + i 1.173879e+07 ; 3.976532e+06 + i -4.608273e+06 ; -1.295582e+06 + i -2.478782e+06 ; -7.347275e+07 + i -8.147463e+07 ; 7.678400e+06 + i 2.324345e+07 ; 7.632785e+06 + i 2.322833e+07 ; -3.337867e+07 + i -5.779599e+07 ; 2.661387e+06 + i -4.447168e+06 ; 2.662446e+06 + i -4.420567e+06 ; 
-3.171679e+07 + i -1.866563e+06 ; 6.112625e+07 + i -6.296881e+07 ; -3.275202e+07 + i -3.584013e+06 ; -9.183711e+06 + i 5.943936e+06 ; 6.791972e+07 + i 1.918862e+08 ; -1.041860e+08 + i -1.204496e+08 ; 9.258013e+06 + i 1.254688e+07 ; 5.395515e+07 + i -7.203666e+07 ; 8.946663e+06 + i 1.362090e+07 ; 1.211911e+07 + i 5.894621e+06 ; 1.703452e+08 + i 2.071007e+08 ; 2.274312e+07 + i 2.022841e+07 ; -1.035607e+08 + i -1.177441e+08 ; 6.964382e+07 + i 1.950460e+08 ; -1.090004e+07 + i 3.238963e+06 ; -3.866061e+07 + i -4.577599e+07 ; -4.091999e+08 + i -3.579651e+08 ; -4.080066e+07 + i -5.032598e+07 ; 2.384358e+07 + i 1.945306e+07 ; 1.729902e+08 + i 2.094316e+08 ; 1.189729e+07 + i 7.368076e+06 ; 7.954207e+05 + i 3.009526e+07 ; -6.796595e+08 + i 2.557200e+09 ; -4.571808e+05 + i 3.147637e+07 ; 1.501828e+07 + i 9.906283e+06 ; 1.948683e+07 + i 2.124334e+06 ; -7.413011e+06 + i -5.777316e+06 ; 9.545840e+06 + i 7.082635e+06 ; -6.346166e+04 + i -2.747457e+06 ; -3.918296e+05 + i 1.285146e+06 ; -7.382270e+06 + i -6.637899e+06 ; 2.252305e+07 + i 1.925759e+06 ; 3.244793e+06 + i 6.617234e+06 ; -5.730275e+06 + i -6.141917e+06 ; -7.527691e+04 + i -2.622042e+06 ; 1.742942e+06 + i 3.254522e+05 ; 3.260876e+07 + i 2.760763e+07 ; 2.327745e+07 + i 3.354538e+07 ; -1.004389e+06 + i -2.490964e+06 ; 1.691374e+07 + i 2.132603e+07 ; 6.510050e+06 + i -5.127753e+06 ; -8.128003e+03 + i 1.289812e+06 ; -5.814261e+06 + i -1.858106e+07 ; 3.549448e+07 + i 3.651461e+07 ; 1.527998e+06 + i 5.343917e+06 ; -2.507507e+06 + i -1.489999e+07 ; 5.809006e+06 + i -5.555600e+06 ; 1.453308e+06 + i 2.629516e+05 ; 
