-5.303562e+09 + i 6.696349e+08 ; -1.889853e+07 + i -7.723496e+04 ; -1.890263e+07 + i -7.678262e+04 ; 1.391228e+09 + i -3.060366e+08 ; 9.493851e+07 + i -1.251578e+07 ; 9.493241e+07 + i -1.251792e+07 ; -6.578935e+08 + i 1.411160e+08 ; -5.077449e+07 + i 6.411744e+06 ; -1.068343e+07 + i 1.002854e+06 ; -2.318475e+08 + i 1.496602e+07 ; 3.389492e+08 + i -8.004031e+07 ; 1.945422e+07 + i -4.943593e+06 ; -6.578898e+08 + i 1.411179e+08 ; -1.068329e+07 + i 1.001084e+06 ; -5.077527e+07 + i 6.410810e+06 ; -2.318454e+08 + i 1.496906e+07 ; 1.948808e+07 + i -4.933273e+06 ; 3.389505e+08 + i -8.003983e+07 ; -8.084270e+07 + i 3.725611e+07 ; -2.386599e+07 + i 4.195933e+06 ; -2.385365e+07 + i 4.199553e+06 ; -5.557320e+07 + i 2.110225e+07 ; 8.068892e+07 + i -2.410968e+07 ; 8.069009e+07 + i -2.410943e+07 ; 1.263613e+08 + i -2.142422e+07 ; -4.677132e+05 + i -4.455263e+05 ; -4.667651e+05 + i -4.454928e+05 ; 6.369007e+07 + i -9.016007e+06 ; -7.994765e+05 + i 4.408032e+04 ; -7.995599e+05 + i 4.410962e+04 ; 3.404869e+07 + i -1.158147e+07 ; 1.152176e+07 + i -4.217262e+06 ; -1.104379e+06 + i -1.650160e+05 ; 2.427679e+07 + i -7.115416e+06 ; 2.381591e+06 + i -9.877848e+05 ; -8.126779e+05 + i 7.870734e+04 ; 3.405142e+07 + i -1.158028e+07 ; -1.101281e+06 + i -1.640879e+05 ; 1.152200e+07 + i -4.217197e+06 ; 2.427762e+07 + i -7.114896e+06 ; -8.119763e+05 + i 7.879653e+04 ; 2.381538e+06 + i -9.878095e+05 ; 7.441668e+06 + i -5.128569e+06 ; 7.437355e+06 + i -2.860883e+06 ; 7.436844e+06 + i -2.861079e+06 ; 9.217163e+06 + i -4.347386e+06 ; 1.806079e+06 + i -7.747308e+05 ; 1.806057e+06 + i -7.747158e+05 ; 
-1.810093e+07 + i -2.186986e+05 ; -5.308296e+09 + i 6.698815e+08 ; -1.883625e+07 + i -1.011734e+05 ; -4.965995e+07 + i 6.185241e+06 ; -6.601405e+08 + i 1.413122e+08 ; -1.053041e+07 + i 9.798650e+05 ; 9.691598e+07 + i -1.268182e+07 ; 1.381795e+09 + i -3.052610e+08 ; 9.511000e+07 + i -1.258131e+07 ; 3.429575e+08 + i -8.047884e+07 ; -2.361846e+08 + i 1.567449e+07 ; 1.967547e+07 + i -5.001941e+06 ; -1.003714e+07 + i 8.610831e+05 ; -6.608294e+08 + i 1.415179e+08 ; -5.069960e+07 + i 6.383635e+06 ; -2.304878e+07 + i 3.988132e+06 ; -8.196597e+07 + i 3.750185e+07 ; -2.369766e+07 + i 4.177915e+06 ; 2.112255e+07 + i -5.115972e+06 ; -2.369871e+08 + i 1.582564e+07 ; 3.394082e+08 + i -8.016871e+07 ; 8.384971e+07 + i -2.453513e+07 ; -5.762196e+07 + i 2.169069e+07 ; 8.111324e+07 + i -2.421374e+07 ; -1.115347e+06 + i -5.152336e+05 ; -1.508500e+07 + i 5.618726e+06 ; -2.341919e+06 + i 3.488144e+05 ; -4.360228e+04 + i -5.002700e+05 ; -6.228887e+06 + i 1.997742e+06 ; -8.265923e+05 + i 1.730383e+05 ; 4.719349e+07 + i -8.761979e+06 ; -1.517321e+07 + i 5.075476e+06 ; -1.102817e+06 + i 1.222501e+05 ; 2.458643e+07 + i -3.739060e+06 ; -5.591941e+06 + i 1.798007e+06 ; -6.052759e+05 + i 1.050782e+05 ; -2.481111e+06 + i -1.481072e+05 ; -1.189026e+07 + i 4.278480e+06 ; -3.549526e+06 + i 6.329549e+05 ; -9.132963e+05 + i -3.071935e+05 ; -5.052732e+06 + i 1.715799e+06 ; -1.094002e+06 + i 2.456132e+05 ; 2.881717e+07 + i -6.278630e+06 ; -1.111407e+07 + i 3.823926e+06 ; 2.558777e+06 + i -9.559205e+05 ; 1.666070e+07 + i -3.157330e+06 ; -4.613363e+06 + i 1.556280e+06 ; 1.367594e+05 + i -1.363970e+05 ; 
-1.811128e+07 + i -2.193482e+05 ; -1.883645e+07 + i -1.010653e+05 ; -5.308318e+09 + i 6.698733e+08 ; -4.966001e+07 + i 6.184856e+06 ; -1.053067e+07 + i 9.800080e+05 ; -6.601512e+08 + i 1.413154e+08 ; -1.003994e+07 + i 8.621601e+05 ; -5.070789e+07 + i 6.380228e+06 ; -6.609509e+08 + i 1.414777e+08 ; -2.303663e+07 + i 3.991815e+06 ; -2.370147e+07 + i 4.176720e+06 ; -8.197524e+07 + i 3.750756e+07 ; 9.691636e+07 + i -1.268097e+07 ; 9.510495e+07 + i -1.258343e+07 ; 1.381736e+09 + i -3.052794e+08 ; 3.429596e+08 + i -8.047800e+07 ; 1.967145e+07 + i -5.003278e+06 ; -2.362071e+08 + i 1.566931e+07 ; 2.109542e+07 + i -5.121263e+06 ; 3.394071e+08 + i -8.016932e+07 ; -2.369969e+08 + i 1.582055e+07 ; 8.384165e+07 + i -2.453746e+07 ; 8.111110e+07 + i -2.421414e+07 ; -5.762465e+07 + i 2.169404e+07 ; -1.113327e+06 + i -5.153229e+05 ; -2.342017e+06 + i 3.487815e+05 ; -1.508678e+07 + i 5.618910e+06 ; -4.301968e+04 + i -5.002694e+05 ; -8.266637e+05 + i 1.730322e+05 ; -6.228531e+06 + i 1.997929e+06 ; -2.476784e+06 + i -1.475045e+05 ; -3.549696e+06 + i 6.329193e+05 ; -1.189133e+07 + i 4.278642e+06 ; -9.106354e+05 + i -3.066008e+05 ; -1.093952e+06 + i 2.456411e+05 ; -5.052209e+06 + i 1.716021e+06 ; 4.719272e+07 + i -8.762057e+06 ; -1.103311e+06 + i 1.220728e+05 ; -1.517683e+07 + i 5.074916e+06 ; 2.458607e+07 + i -3.739084e+06 ; -6.054556e+05 + i 1.050370e+05 ; -5.592926e+06 + i 1.797938e+06 ; 2.881927e+07 + i -6.278853e+06 ; 2.558936e+06 + i -9.558668e+05 ; -1.111529e+07 + i 3.823684e+06 ; 1.666100e+07 + i -3.157490e+06 ; 1.368509e+05 + i -1.363522e+05 ; -4.613969e+06 + i 1.556260e+06 ; 
1.391578e+09 + i -3.059510e+08 ; -9.751216e+07 + i 1.258341e+07 ; -9.750386e+07 + i 1.258659e+07 ; -5.289553e+09 + i 6.676103e+08 ; 1.659596e+07 + i 3.636665e+05 ; 1.660070e+07 + i 3.634703e+05 ; -2.317407e+08 + i 1.498900e+07 ; -3.465396e+08 + i 8.056348e+07 ; -2.052282e+07 + i 5.143839e+06 ; -6.522915e+08 + i 1.397734e+08 ; 4.769768e+07 + i -5.789549e+06 ; 8.609832e+06 + i -7.390835e+05 ; -2.317469e+08 + i 1.498958e+07 ; -2.055278e+07 + i 5.134468e+06 ; -3.465410e+08 + i 8.056300e+07 ; -6.522722e+08 + i 1.397794e+08 ; 8.608245e+06 + i -7.379369e+05 ; 4.769742e+07 + i -5.789157e+06 ; -5.555018e+07 + i 2.110417e+07 ; -8.321823e+07 + i 2.452088e+07 ; -8.322045e+07 + i 2.452006e+07 ; -7.905016e+07 + i 3.647419e+07 ; 2.093637e+07 + i -3.683019e+06 ; 2.093167e+07 + i -3.684532e+06 ; 2.707147e+08 + i -5.790349e+07 ; 2.875354e+07 + i -4.174735e+06 ; 2.875110e+07 + i -4.175769e+06 ; 1.263513e+08 + i -2.142327e+07 ; 1.129523e+06 + i -1.038898e+06 ; 1.127641e+06 + i -1.039070e+06 ; 4.396039e+07 + i -1.757074e+07 ; 1.008460e+08 + i -2.422369e+07 ; 1.289530e+07 + i -2.568711e+06 ; 3.403834e+07 + i -1.158067e+07 ; 8.649606e+06 + i -3.881235e+06 ; 6.071260e+05 + i -5.897308e+05 ; 4.396949e+07 + i -1.756954e+07 ; 1.290258e+07 + i -2.566353e+06 ; 1.008471e+08 + i -2.422337e+07 ; 3.404260e+07 + i -1.158002e+07 ; 6.098613e+05 + i -5.893391e+05 ; 8.650136e+06 + i -3.881196e+06 ; -1.822621e+06 + i -3.814331e+06 ; 4.705937e+07 + i -1.266063e+07 ; 4.706155e+07 + i -1.265994e+07 ; 7.437690e+06 + i -5.126472e+06 ; 6.758405e+06 + i -2.722197e+06 ; 6.759784e+06 + i -2.721730e+06 ; 
5.566357e+07 + i -6.306163e+06 ; -6.604908e+08 + i 1.412218e+08 ; -1.086741e+07 + i 9.719788e+05 ; 2.103308e+07 + i 1.494269e+04 ; -5.302760e+09 + i 6.692422e+08 ; -1.920020e+07 + i -1.267252e+05 ; -3.636830e+08 + i 8.055015e+07 ; -2.361442e+08 + i 1.568740e+07 ; 1.985597e+07 + i -5.022545e+06 ; -9.557320e+07 + i 1.107807e+07 ; 1.386467e+09 + i -3.055904e+08 ; 9.669527e+07 + i -1.242727e+07 ; 2.633966e+07 + i -4.328623e+06 ; -8.199984e+07 + i 3.750777e+07 ; -2.427533e+07 + i 4.180594e+06 ; 1.184690e+07 + i -1.168569e+06 ; -6.560024e+08 + i 1.409485e+08 ; -5.176954e+07 + i 6.386819e+06 ; -8.518254e+07 + i 2.447815e+07 ; -5.763931e+07 + i 2.168442e+07 ; 8.263432e+07 + i -2.435463e+07 ; -1.631693e+07 + i 4.326442e+06 ; -2.328725e+08 + i 1.543651e+07 ; 3.454278e+08 + i -8.029678e+07 ; -2.159670e+07 + i 2.688021e+06 ; -1.282711e+08 + i 2.800327e+07 ; -5.352911e+06 + i 4.605878e+05 ; -1.281627e+07 + i 8.870301e+05 ; -1.504354e+07 + i 5.632865e+06 ; -1.773536e+06 + i 3.346433e+05 ; 1.063581e+08 + i -2.467875e+07 ; -7.490408e+07 + i 1.181498e+07 ; 4.221754e+06 + i -8.388485e+05 ; 5.085596e+07 + i -9.332164e+06 ; -1.516967e+07 + i 5.078074e+06 ; -9.366159e+05 + i -1.760209e+04 ; -1.404127e+07 + i 2.154615e+06 ; -6.124466e+07 + i 1.663990e+07 ; -1.004328e+07 + i 1.457478e+06 ; -9.441224e+06 + i 1.042026e+06 ; -1.186529e+07 + i 4.284630e+06 ; -2.694038e+06 + i 5.908534e+05 ; 5.079927e+07 + i -1.287623e+07 ; -4.281173e+07 + i 1.007591e+07 ; 2.601540e+07 + i -7.045028e+06 ; 2.795379e+07 + i -6.185252e+06 ; -1.111249e+07 + i 3.824348e+06 ; 1.176098e+06 + i -7.997724e+05 ; 
5.566591e+07 + i -6.305550e+06 ; -1.086780e+07 + i 9.720740e+05 ; -6.605008e+08 + i 1.412261e+08 ; 2.103813e+07 + i 1.498627e+04 ; -1.920027e+07 + i -1.265203e+05 ; -5.302775e+09 + i 6.692374e+08 ; 2.633702e+07 + i -4.330171e+06 ; -2.427928e+07 + i 4.179312e+06 ; -8.200306e+07 + i 3.751628e+07 ; 1.184667e+07 + i -1.170159e+06 ; -5.177706e+07 + i 6.383666e+06 ; -6.561416e+08 + i 1.409033e+08 ; -3.636834e+08 + i 8.054965e+07 ; 1.985256e+07 + i -5.023586e+06 ; -2.361686e+08 + i 1.568070e+07 ; -9.557355e+07 + i 1.107742e+07 ; 9.668926e+07 + i -1.242983e+07 ; 1.386415e+09 + i -3.056070e+08 ; -8.517243e+07 + i 2.448117e+07 ; 8.263356e+07 + i -2.435440e+07 ; -5.760924e+07 + i 2.169768e+07 ; -1.630322e+07 + i 4.329321e+06 ; 3.454261e+08 + i -8.029769e+07 ; -2.328830e+08 + i 1.543045e+07 ; -2.159904e+07 + i 2.687578e+06 ; -5.352984e+06 + i 4.605100e+05 ; -1.282624e+08 + i 2.800480e+07 ; -1.281821e+07 + i 8.868309e+05 ; -1.773702e+06 + i 3.346218e+05 ; -1.504076e+07 + i 5.633424e+06 ; -1.404103e+07 + i 2.154726e+06 ; -1.004393e+07 + i 1.457162e+06 ; -6.124565e+07 + i 1.663949e+07 ; -9.440419e+06 + i 1.042530e+06 ; -2.694066e+06 + i 5.908677e+05 ; -1.186312e+07 + i 4.285164e+06 ; 1.063584e+08 + i -2.467849e+07 ; 4.220815e+06 + i -8.392514e+05 ; -7.491029e+07 + i 1.181281e+07 ; 5.085644e+07 + i -9.331824e+06 ; -9.371014e+05 + i -1.773490e+04 ; -1.517222e+07 + i 5.077669e+06 ; 5.079428e+07 + i -1.287754e+07 ; 2.601617e+07 + i -7.044846e+06 ; -4.281224e+07 + i 1.007473e+07 ; 2.794969e+07 + i -6.186157e+06 ; 1.176187e+06 + i -7.997015e+05 ; -1.111482e+07 + i 3.823850e+06 ; 
-6.582795e+08 + i 1.410138e+08 ; 5.280380e+07 + i -6.619803e+06 ; -1.090638e+07 + i 9.816075e+05 ; -2.321599e+08 + i 1.488863e+07 ; -3.662657e+08 + i 8.091553e+07 ; 1.977251e+07 + i -4.984022e+06 ; -5.303764e+09 + i 6.695528e+08 ; 1.969392e+07 + i 1.517671e+05 ; -1.926695e+07 + i -1.472725e+05 ; 1.391094e+09 + i -3.060856e+08 ; -1.005359e+08 + i 1.247276e+07 ; 9.682396e+07 + i -1.240872e+07 ; -8.091333e+07 + i 3.725290e+07 ; 2.568404e+07 + i -4.132693e+06 ; -2.432822e+07 + i 4.193390e+06 ; -5.565899e+07 + i 2.108640e+07 ; -8.732894e+07 + i 2.467383e+07 ; 8.235853e+07 + i -2.427302e+07 ; -6.578769e+08 + i 1.411319e+08 ; 1.140252e+07 + i -9.231780e+05 ; -5.178416e+07 + i 6.346073e+06 ; -2.318231e+08 + i 1.498026e+07 ; -2.097155e+07 + i 5.002135e+06 ; 3.458346e+08 + i -8.032673e+07 ; 3.413998e+07 + i -1.155805e+07 ; -1.245531e+07 + i 4.358900e+06 ; -1.134730e+06 + i -1.738220e+05 ; 2.432137e+07 + i -7.102159e+06 ; -2.570178e+06 + i 1.027221e+06 ; -8.304182e+05 + i 7.714638e+04 ; 1.263685e+08 + i -2.142279e+07 ; 5.673706e+05 + i 4.973843e+05 ; -4.704571e+05 + i -4.555433e+05 ; 6.369024e+07 + i -9.015747e+06 ; 8.815473e+05 + i -3.187185e+04 ; -8.140207e+05 + i 4.214349e+04 ; 7.458081e+06 + i -5.128892e+06 ; -8.040392e+06 + i 2.964348e+06 ; 7.591666e+06 + i -2.888981e+06 ; 9.230897e+06 + i -4.346546e+06 ; -1.948793e+06 + i 8.067257e+05 ; 1.844341e+06 + i -7.829199e+05 ; 3.405970e+07 + i -1.157774e+07 ; 1.236052e+06 + i 2.025286e+05 ; 1.176251e+07 + i -4.255695e+06 ; 2.427981e+07 + i -7.113435e+06 ; 8.928047e+05 + i -6.954401e+04 ; 2.431861e+06 + i -9.979577e+05 ; 
-9.671544e+07 + i 1.309648e+07 ; 1.382106e+09 + i -3.051909e+08 ; -9.704121e+07 + i 1.245956e+07 ; -3.493705e+08 + i 8.079060e+07 ; -2.364106e+08 + i 1.561387e+07 ; -2.009712e+07 + i 5.021775e+06 ; 1.802304e+07 + i 1.430947e+05 ; -5.308458e+09 + i 6.698239e+08 ; 1.910196e+07 + i 1.512447e+05 ; 4.850134e+07 + i -6.679008e+06 ; -6.600666e+08 + i 1.413423e+08 ; 1.069087e+07 + i -9.678217e+05 ; -2.142315e+07 + i 5.132014e+06 ; -2.368319e+08 + i 1.586517e+07 ; -3.462910e+08 + i 8.046206e+07 ; -8.544408e+07 + i 2.468204e+07 ; -5.763987e+07 + i 2.169269e+07 ; -8.277231e+07 + i 2.438350e+07 ; 1.010524e+07 + i -8.604466e+05 ; -6.608930e+08 + i 1.414958e+08 ; 5.172228e+07 + i -6.313846e+06 ; 2.335432e+07 + i -3.984587e+06 ; -8.200218e+07 + i 3.748822e+07 ; 2.418270e+07 + i -4.168207e+06 ; -4.817663e+07 + i 8.732306e+06 ; -1.525550e+07 + i 5.053230e+06 ; 1.123587e+06 + i -1.206214e+05 ; -2.510832e+07 + i 3.703936e+06 ; -5.598106e+06 + i 1.797581e+06 ; 6.171735e+05 + i -1.048502e+05 ; 9.532268e+05 + i 4.670093e+05 ; -1.509366e+07 + i 5.617849e+06 ; 2.385456e+06 + i -3.470972e+05 ; -4.898997e+04 + i 4.757512e+05 ; -6.232468e+06 + i 1.997539e+06 ; 8.428313e+05 + i -1.732504e+05 ; -2.941881e+07 + i 6.278597e+06 ; -1.115566e+07 + i 3.816313e+06 ; -2.611115e+06 + i 9.653096e+05 ; -1.701559e+07 + i 3.146212e+06 ; -4.619894e+06 + i 1.555614e+06 ; -1.394364e+05 + i 1.386863e+05 ; 2.440062e+06 + i 1.353047e+05 ; -1.188881e+07 + i 4.279487e+06 ; 3.621568e+06 + i -6.316537e+05 ; 8.765364e+05 + i 3.001953e+05 ; -5.053356e+06 + i 1.715918e+06 ; 1.116564e+06 + i -2.461644e+05 ; 
-1.018421e+07 + i 8.640593e+05 ; 5.481899e+07 + i -6.030296e+06 ; -6.613112e+08 + i 1.413918e+08 ; -2.344088e+07 + i 3.997702e+06 ; 2.561458e+07 + i -4.123114e+06 ; -8.202528e+07 + i 3.751001e+07 ; -1.843173e+07 + i -2.882001e+05 ; 2.020035e+07 + i 3.979722e+05 ; -5.308468e+09 + i 6.698226e+08 ; -5.060088e+07 + i 6.113671e+06 ; 1.126793e+07 + i -9.121685e+05 ; -6.601964e+08 + i 1.413135e+08 ; 2.098458e+07 + i -5.284701e+06 ; -3.673434e+08 + i 8.082323e+07 ; -2.369511e+08 + i 1.583518e+07 ; 8.526041e+07 + i -2.475563e+07 ; -8.760631e+07 + i 2.485214e+07 ; -5.760932e+07 + i 2.169634e+07 ; 9.882167e+07 + i -1.253047e+07 ; -1.028833e+08 + i 1.195439e+07 ; 1.381766e+09 + i -3.052643e+08 ; 3.496884e+08 + i -8.065992e+07 ; -2.092419e+07 + i 5.170614e+06 ; -2.361893e+08 + i 1.567443e+07 ; -2.517189e+06 + i -1.591338e+05 ; 3.829593e+06 + i -6.271364e+05 ; -1.188612e+07 + i 4.280899e+06 ; -9.232342e+05 + i -3.153829e+05 ; 1.180032e+06 + i -2.479977e+05 ; -5.050009e+06 + i 1.716492e+06 ; -1.137832e+06 + i -5.301656e+05 ; 2.517689e+06 + i -3.418806e+05 ; -1.508956e+07 + i 5.619536e+06 ; -4.586135e+04 + i -5.105847e+05 ; 8.904970e+05 + i -1.739136e+05 ; -6.229343e+06 + i 1.998001e+06 ; 2.938023e+07 + i -6.290129e+06 ; -2.757058e+06 + i 9.924589e+05 ; -1.111294e+07 + i 3.824849e+06 ; 1.698553e+07 + i -3.154348e+06 ; -1.451798e+05 + i 1.455777e+05 ; -4.613545e+06 + i 1.556431e+06 ; 4.809414e+07 + i -8.749053e+06 ; 1.215946e+06 + i -1.088559e+05 ; -1.517524e+07 + i 5.075610e+06 ; 2.505022e+07 + i -3.717693e+06 ; 6.600888e+05 + i -1.023158e+05 ; -5.592159e+06 + i 1.798107e+06 ; 
-2.333375e+08 + i 1.472385e+07 ; 3.758534e+08 + i -8.081164e+07 ; -2.081072e+07 + i 5.185330e+06 ; -6.521495e+08 + i 1.397977e+08 ; -4.301438e+07 + i 6.714356e+06 ; 8.772145e+06 + i -7.234391e+05 ; 1.390945e+09 + i -3.061197e+08 ; 9.702837e+07 + i -1.314433e+07 ; -9.922926e+07 + i 1.249325e+07 ; -5.289482e+09 + i 6.676309e+08 ; -1.783759e+07 + i -6.678104e+05 ; 1.689087e+07 + i 4.231773e+05 ; -5.574584e+07 + i 2.111726e+07 ; 9.016559e+07 + i -2.499862e+07 ; -8.474823e+07 + i 2.467339e+07 ; -7.913380e+07 + i 3.645497e+07 ; -2.215625e+07 + i 3.575265e+06 ; 2.130340e+07 + i -3.680885e+06 ; -2.316882e+08 + i 1.502133e+07 ; 2.182323e+07 + i -5.137357e+06 ; -3.527978e+08 + i 8.083663e+07 ; -6.522398e+08 + i 1.397904e+08 ; -9.050067e+06 + i 6.635989e+05 ; 4.853827e+07 + i -5.736535e+06 ; 4.440860e+07 + i -1.750474e+07 ; -1.103293e+08 + i 2.418275e+07 ; 1.310242e+07 + i -2.576861e+06 ; 3.425670e+07 + i -1.153851e+07 ; -9.621311e+06 + i 4.029073e+06 ; 6.116272e+05 + i -5.991774e+05 ; 2.707264e+08 + i -5.790223e+07 ; -3.292626e+07 + i 3.713734e+06 ; 2.926814e+07 + i -4.154863e+06 ; 1.263472e+08 + i -2.142485e+07 ; -1.467152e+06 + i 1.095612e+06 ; 1.152484e+06 + i -1.053053e+06 ; -1.657598e+06 + i -3.802344e+06 ; -5.149956e+07 + i 1.277203e+07 ; 4.791837e+07 + i -1.272684e+07 ; 7.538153e+06 + i -5.116043e+06 ; -7.496765e+06 + i 2.811215e+06 ; 6.886558e+06 + i -2.746897e+06 ; 4.397318e+07 + i -1.756842e+07 ; -1.468167e+07 + i 2.455026e+06 ; 1.026695e+08 + i -2.431678e+07 ; 3.403950e+07 + i -1.158007e+07 ; -8.397677e+05 + i 6.156711e+05 ; 8.812470e+06 + i -3.920198e+06 ; 
3.716192e+08 + i -8.033949e+07 ; -2.376876e+08 + i 1.542718e+07 ; -2.023089e+07 + i 5.042701e+06 ; 8.909348e+07 + i -1.210563e+07 ; 1.386252e+09 + i -3.056498e+08 ; -9.844341e+07 + i 1.232025e+07 ; -4.817414e+07 + i 7.484949e+06 ; -6.599156e+08 + i 1.413738e+08 ; 1.101083e+07 + i -9.623255e+05 ; -2.132438e+07 + i -8.401768e+04 ; -5.302678e+09 + i 6.692766e+08 ; 1.943519e+07 + i 1.692326e+05 ; 8.689721e+07 + i -2.454394e+07 ; -5.778538e+07 + i 2.170992e+07 ; -8.413590e+07 + i 2.451191e+07 ; 1.623793e+07 + i -4.283241e+06 ; -2.327015e+08 + i 1.549206e+07 ; -3.516526e+08 + i 8.057555e+07 ; -2.636118e+07 + i 4.258770e+06 ; -8.206249e+07 + i 3.747535e+07 ; 2.471886e+07 + i -4.171417e+06 ; -1.180996e+07 + i 1.158329e+06 ; -6.560543e+08 + i 1.409236e+08 ; 5.270108e+07 + i -6.325532e+06 ; -1.083203e+08 + i 2.466689e+07 ; -7.448944e+07 + i 1.186801e+07 ; -4.302058e+06 + i 8.383783e+05 ; -5.168469e+07 + i 9.289358e+06 ; -1.512056e+07 + i 5.080418e+06 ; 9.512559e+05 + i 2.075404e+04 ; 2.376080e+07 + i -2.372476e+06 ; -1.283156e+08 + i 2.799102e+07 ; 5.432520e+06 + i -4.540188e+05 ; 1.389451e+07 + i -6.812556e+05 ; -1.506797e+07 + i 5.624872e+06 ; 1.802406e+06 + i -3.348947e+05 ; -5.174069e+07 + i 1.289490e+07 ; -4.266076e+07 + i 1.008681e+07 ; -2.648613e+07 + i 7.083759e+06 ; -2.840622e+07 + i 6.182468e+06 ; -1.108248e+07 + i 3.825962e+06 ; -1.197867e+06 + i 8.101845e+05 ; 1.501569e+07 + i -2.045959e+06 ; -6.126470e+07 + i 1.663452e+07 ; 1.022276e+07 + i -1.449882e+06 ; 1.004134e+07 + i -9.581806e+05 ; -1.188129e+07 + i 4.279864e+06 ; 2.743542e+06 + i -5.920708e+05 ; 
