-8.885286e+09 + i 8.746994e+08 ; -8.887083e+06 + i 1.227185e+07 ; -8.886949e+06 + i 1.227202e+07 ; 4.622279e+09 + i -6.845231e+08 ; -7.267168e+07 + i 5.792632e+07 ; -7.267198e+07 + i 5.792608e+07 ; -2.388727e+09 + i 4.163079e+08 ; 4.054227e+07 + i -3.374193e+07 ; -4.176515e+06 + i 7.701110e+06 ; 6.784209e+08 + i -2.818566e+08 ; 1.225285e+09 + i -1.767722e+08 ; -3.372608e+07 + i 3.052636e+07 ; -2.388727e+09 + i 4.163080e+08 ; -4.177304e+06 + i 7.699353e+06 ; 4.054240e+07 + i -3.374187e+07 ; 6.784212e+08 + i -2.818563e+08 ; -3.372725e+07 + i 3.052243e+07 ; 1.225285e+09 + i -1.767721e+08 ; -9.515651e+08 + i 2.412610e+08 ; 2.651454e+07 + i -2.345978e+07 ; 2.651482e+07 + i -2.345957e+07 ; 1.503562e+08 + i -1.420893e+08 ; 4.759884e+08 + i -8.970082e+07 ; 4.759886e+08 + i -8.970070e+07 ; 1.843152e+08 + i 3.465949e+06 ; -4.889556e+06 + i 5.242708e+06 ; -4.889649e+06 + i 5.242621e+06 ; 6.956082e+07 + i 1.774384e+06 ; -1.486854e+06 + i 2.070034e+06 ; -1.486873e+06 + i 2.070024e+06 ; 1.429389e+08 + i -7.957120e+06 ; 1.018251e+08 + i -2.185955e+07 ; -3.554271e+06 + i 4.164138e+06 ; 6.001877e+07 + i 2.222342e+05 ; 3.635331e+07 + i -9.724447e+06 ; -1.167961e+06 + i 1.778136e+06 ; 1.429390e+08 + i -7.957011e+06 ; -3.554507e+06 + i 4.163405e+06 ; 1.018251e+08 + i -2.185953e+07 ; 6.001878e+07 + i 2.222437e+05 ; -1.168091e+06 + i 1.777814e+06 ; 3.635333e+07 + i -9.724437e+06 ; 1.109304e+08 + i -1.224225e+07 ; 7.893634e+07 + i -1.827250e+07 ; 7.893635e+07 + i -1.827250e+07 ; 5.211183e+07 + i -9.974777e+05 ; 3.142327e+07 + i -8.768279e+06 ; 3.142329e+07 + i -8.768264e+06 ; 
2.444081e+06 + i -1.952277e+06 ; 6.574148e+05 + i -2.932679e+05 ; -5.004154e+07 + i 1.206747e+07 ; 3.721332e+06 + i -3.785247e+06 ; 9.444779e+05 + i -1.819145e+05 ; -1.272512e+08 + i 2.967341e+07 ; 2.030374e+06 + i -1.736061e+06 ; 1.668885e+06 + i -1.545637e+06 ; -4.552733e+07 + i 1.128890e+07 ; 2.198237e+06 + i -2.588673e+06 ; 3.960561e+06 + i -3.491701e+06 ; -1.066713e+08 + i 2.598668e+07 ; -2.109888e+07 + i -2.027122e+06 ; 2.171693e+05 + i 8.503254e+04 ; -3.026045e+07 + i 1.673372e+06 ; -7.487377e+07 + i 2.053536e+05 ; -4.073980e+05 + i 9.073270e+05 ; -4.854708e+07 + i -4.182167e+06 ; -1.836347e+07 + i -1.637545e+06 ; 8.910890e+06 + i -2.799962e+06 ; -2.839855e+07 + i 1.881993e+06 ; -5.859596e+07 + i 1.262851e+06 ; 2.949661e+07 + i -7.278368e+06 ; -4.571724e+07 + i -2.292387e+06 ; -3.964777e+07 + i 3.343035e+07 ; -4.268038e+06 + i 7.768164e+06 ; -2.388624e+09 + i 4.168276e+08 ; 9.251692e+06 + i -1.251613e+07 ; -8.993754e+06 + i 1.235162e+07 ; -8.884322e+09 + i 8.744767e+08 ; -2.568852e+07 + i 2.309990e+07 ; 2.637066e+07 + i -2.338500e+07 ; -9.514698e+08 + i 2.417476e+08 ; 4.540027e+06 + i -7.912436e+06 ; 4.030961e+07 + i -3.359114e+07 ; -2.387799e+09 + i 4.160955e+08 ; -1.225570e+09 + i 1.810251e+08 ; -3.385418e+07 + i 3.060750e+07 ; 6.816277e+08 + i -2.840493e+08 ; 7.310547e+07 + i -5.850572e+07 ; -7.279917e+07 + i 5.805140e+07 ; 4.626377e+09 + i -6.870188e+08 ; -4.748388e+08 + i 9.054996e+07 ; 4.755388e+08 + i -8.967414e+07 ; 1.531854e+08 + i -1.441548e+08 ; 3.418287e+07 + i -3.089028e+07 ; 1.225067e+09 + i -1.774558e+08 ; 6.820793e+08 + i -2.842436e+08 ; 
1.429420e+08 + i -7.936885e+06 ; 1.046855e+08 + i -2.469763e+07 ; 7.062163e+06 + i -7.369465e+06 ; 4.066657e+08 + i -9.040608e+07 ; 3.805890e+08 + i -5.848338e+07 ; 1.654197e+07 + i -1.431795e+07 ; 1.843178e+08 + i 3.469943e+06 ; -9.171739e+06 + i 9.198293e+06 ; 9.166231e+06 + i -9.107432e+06 ; 9.028638e+08 + i -1.413850e+08 ; -2.480495e+07 + i 2.045089e+07 ; 2.476662e+07 + i -2.012479e+07 ; 1.109324e+08 + i -1.223359e+07 ; 8.043725e+07 + i -2.001273e+07 ; -8.035522e+07 + i 1.974440e+07 ; 2.096607e+08 + i -6.207980e+07 ; 2.252252e+08 + i -3.965087e+07 ; -2.249307e+08 + i 3.890502e+07 ; 1.429402e+08 + i -7.962970e+06 ; -7.064512e+06 + i 7.440622e+06 ; -1.045749e+08 + i 2.434943e+07 ; 4.066761e+08 + i -9.047647e+07 ; -1.655385e+07 + i 1.450276e+07 ; -3.800647e+08 + i 5.724309e+07 ; -2.398770e+09 + i 4.259026e+08 ; -3.681711e+07 + i 3.004444e+07 ; -4.817680e+06 + i 7.809251e+06 ; 6.784506e+08 + i -2.819868e+08 ; -1.226008e+09 + i 1.809756e+08 ; -3.431860e+07 + i 3.083496e+07 ; -8.899106e+09 + i 8.869094e+08 ; 9.491683e+06 + i -1.229766e+07 ; -9.487055e+06 + i 1.232815e+07 ; 4.622286e+09 + i -6.844984e+08 ; 7.289896e+07 + i -5.751956e+07 ; -7.322978e+07 + i 5.825101e+07 ; -9.590890e+08 + i 2.489993e+08 ; -2.339066e+07 + i 2.078979e+07 ; 2.344963e+07 + i -2.090441e+07 ; 1.503565e+08 + i -1.421212e+08 ; -4.751705e+08 + i 9.043385e+07 ; 4.745320e+08 + i -8.880938e+07 ; -2.398778e+09 + i 4.258842e+08 ; 4.819241e+06 + i -7.795483e+06 ; 3.713012e+07 + i -3.094420e+07 ; 6.784029e+08 + i -2.817897e+08 ; 3.425140e+07 + i -3.076889e+07 ; 1.224210e+09 + i -1.768641e+08 ; 
7.088152e+07 + i 3.608309e+06 ; -4.855398e+07 + i -4.175321e+06 ; 1.298883e+06 + i -1.741261e+06 ; 3.773247e+08 + i -5.428169e+07 ; -2.293623e+07 + i -3.132158e+07 ; 6.295097e+06 + i -5.894865e+06 ; 1.868058e+06 + i 3.723985e+05 ; -1.272515e+08 + i 2.967295e+07 ; -6.386221e+05 + i -1.202839e+05 ; 1.551038e+07 + i -1.227982e+07 ; -4.580791e+08 + i 7.852323e+07 ; -3.629195e+05 + i -9.305353e+05 ; 5.744870e+07 + i 4.858747e+05 ; -4.572209e+07 + i -2.285731e+06 ; -3.068803e+07 + i 8.298867e+06 ; 2.229916e+08 + i -3.669816e+07 ; -4.840855e+07 + i -1.967267e+07 ; -1.314720e+08 + i 2.374122e+07 ; 2.347667e+06 + i -2.401229e+05 ; -1.066717e+08 + i 2.598606e+07 ; -3.840710e+06 + i 3.530688e+06 ; 1.236617e+07 + i -1.005943e+07 ; -3.097205e+08 + i 6.177514e+07 ; -8.949495e+06 + i 7.608157e+06 ; 6.704289e+07 + i -5.282766e+07 ; 4.625365e+09 + i -6.868876e+08 ; 7.272062e+07 + i -5.810866e+07 ; -1.226677e+09 + i 1.786647e+08 ; 6.816822e+08 + i -2.842613e+08 ; 3.377389e+07 + i -3.056329e+07 ; 6.405752e+06 + i -9.921981e+06 ; -8.887890e+09 + i 8.774216e+08 ; 8.880496e+06 + i -1.232964e+07 ; -4.124249e+07 + i 3.356591e+07 ; -2.388634e+09 + i 4.168026e+08 ; 4.210360e+06 + i -7.733015e+06 ; 2.930764e+07 + i -2.672298e+07 ; 6.810000e+08 + i -2.840246e+08 ; -1.225889e+09 + i 1.784021e+08 ; -4.768142e+08 + i 9.046355e+07 ; 1.532022e+08 + i -1.442424e+08 ; -4.756143e+08 + i 8.983041e+07 ; 2.099914e+06 + i -5.660271e+06 ; -2.391081e+09 + i 4.188154e+08 ; -4.079880e+07 + i 3.408231e+07 ; -2.729098e+07 + i 2.382103e+07 ; -9.514775e+08 + i 2.417332e+08 ; -2.642484e+07 + i 2.343745e+07 ; 
-2.337513e+06 + i 2.008494e+05 ; -3.836704e+06 + i 3.549489e+06 ; -1.066713e+08 + i 2.598496e+07 ; -1.234111e+07 + i 9.951552e+06 ; -8.943175e+06 + i 7.648930e+06 ; -3.097214e+08 + i 6.177133e+07 ; -1.852321e+06 + i -4.196497e+05 ; -6.398515e+05 + i -1.182615e+05 ; -1.272511e+08 + i 2.967172e+07 ; -1.545540e+07 + i 1.207099e+07 ; -3.672988e+05 + i -9.337866e+05 ; -4.580816e+08 + i 7.851528e+07 ; -5.744000e+07 + i -5.147488e+05 ; -3.071656e+07 + i 8.403467e+06 ; -4.571751e+07 + i -2.292266e+06 ; -2.229762e+08 + i 3.663990e+07 ; -1.316389e+08 + i 2.416675e+07 ; -4.840047e+07 + i -1.970826e+07 ; -7.086921e+07 + i -3.634802e+06 ; 1.301218e+06 + i -1.757818e+06 ; -4.854738e+07 + i -4.182072e+06 ; -3.773065e+08 + i 5.421434e+07 ; 6.304495e+06 + i -5.983344e+06 ; -2.291949e+07 + i -3.137726e+07 ; -2.084566e+06 + i 5.695199e+06 ; -4.076934e+07 + i 3.427152e+07 ; -2.391072e+09 + i 4.188362e+08 ; 2.732700e+07 + i -2.406465e+07 ; -2.640139e+07 + i 2.356505e+07 ; -9.514694e+08 + i 2.417490e+08 ; -6.385527e+06 + i 9.995718e+06 ; 8.860163e+06 + i -1.237732e+07 ; -8.887889e+09 + i 8.774223e+08 ; 4.152558e+07 + i -3.465221e+07 ; 4.196283e+06 + i -7.752945e+06 ; -2.388628e+09 + i 4.168261e+08 ; -2.928778e+07 + i 2.679024e+07 ; -1.227662e+09 + i 1.826038e+08 ; 6.810036e+08 + i -2.840157e+08 ; 4.768234e+08 + i -9.055082e+07 ; -4.762592e+08 + i 9.155236e+07 ; 1.531880e+08 + i -1.441597e+08 ; -6.732865e+07 + i 5.390691e+07 ; 7.267933e+07 + i -5.843262e+07 ; 4.625372e+09 + i -6.868792e+08 ; 1.226659e+09 + i -1.787336e+08 ; 3.369008e+07 + i -3.054176e+07 ; 6.816357e+08 + i -2.840625e+08 ; 
6.001896e+07 + i 2.149452e+05 ; 3.642377e+07 + i -9.976917e+06 ; 1.165011e+06 + i -1.784028e+06 ; 1.429402e+08 + i -7.981623e+06 ; 1.020489e+08 + i -2.253713e+07 ; 3.549020e+06 + i -4.179567e+06 ; 6.956129e+07 + i 1.775438e+06 ; -1.474657e+06 + i 2.061487e+06 ; 1.483820e+06 + i -2.076999e+06 ; 1.843173e+08 + i 3.469317e+06 ; -4.861623e+06 + i 5.226647e+06 ; 4.884116e+06 + i -5.262529e+06 ; 5.211226e+07 + i -1.003427e+06 ; 3.148198e+07 + i -8.988164e+06 ; -3.144594e+07 + i 8.855927e+06 ; 1.109322e+08 + i -1.225930e+07 ; 7.910133e+07 + i -1.880384e+07 ; -7.900228e+07 + i 1.848761e+07 ; 6.001953e+07 + i 2.234856e+05 ; -1.157470e+06 + i 1.769314e+06 ; -3.638052e+07 + i 9.825300e+06 ; 1.429416e+08 + i -7.953013e+06 ; -3.534098e+06 + i 4.147381e+06 ; -1.019142e+08 + i 2.213471e+07 ; 6.784611e+08 + i -2.821239e+08 ; 1.228330e+09 + i -1.841926e+08 ; 3.369990e+07 + i -3.065593e+07 ; -2.388728e+09 + i 4.163087e+08 ; 4.026306e+07 + i -3.263871e+07 ; 4.164010e+06 + i -7.722113e+06 ; 4.622285e+09 + i -6.845019e+08 ; -7.236353e+07 + i 5.708244e+07 ; 7.264174e+07 + i -5.819829e+07 ; -8.885288e+09 + i 8.746971e+08 ; -8.854749e+06 + i 1.235028e+07 ; 8.870902e+06 + i -1.231027e+07 ; 1.503661e+08 + i -1.422046e+08 ; 4.770667e+08 + i -9.262505e+07 ; -4.764372e+08 + i 9.097120e+07 ; -9.515623e+08 + i 2.412669e+08 ; 2.645132e+07 + i -2.338131e+07 ; -2.649652e+07 + i 2.356042e+07 ; 6.784269e+08 + i -2.818579e+08 ; -3.364844e+07 + i 3.050850e+07 ; -1.226570e+09 + i 1.799672e+08 ; -2.388729e+09 + i 4.163031e+08 ; -4.164321e+06 + i 7.715181e+06 ; -4.052499e+07 + i 3.390356e+07 ; 
2.110976e+07 + i 2.019417e+06 ; -3.025941e+07 + i 1.668216e+06 ; -2.174599e+05 + i -8.480678e+04 ; 7.491149e+07 + i -2.616285e+05 ; -4.854281e+07 + i -4.197265e+06 ; 4.064490e+05 + i -9.085150e+05 ; -2.449179e+06 + i 1.979622e+06 ; -5.004139e+07 + i 1.206790e+07 ; -6.574702e+05 + i 2.943971e+05 ; -3.734559e+06 + i 3.853598e+06 ; -1.272507e+08 + i 2.967360e+07 ; -9.448261e+05 + i 1.834252e+05 ; 1.837298e+07 + i 1.630998e+06 ; -2.839745e+07 + i 1.877726e+06 ; -8.913768e+06 + i 2.813773e+06 ; 5.862504e+07 + i -1.306567e+06 ; -4.571403e+07 + i -2.304757e+06 ; -2.950875e+07 + i 7.322607e+06 ; -2.034453e+06 + i 1.759771e+06 ; -4.552720e+07 + i 1.128919e+07 ; -1.668079e+06 + i 1.548980e+06 ; -2.207194e+06 + i 2.640213e+06 ; -1.066713e+08 + i 2.598587e+07 ; -3.958891e+06 + i 3.499492e+06 ; 1.226164e+09 + i -1.826590e+08 ; 6.816623e+08 + i -2.843168e+08 ; 3.383873e+07 + i -3.067478e+07 ; -7.284897e+07 + i 5.718871e+07 ; 4.626375e+09 + i -6.870225e+08 ; 7.277601e+07 + i -5.819001e+07 ; 3.940062e+07 + i -3.205557e+07 ; -2.388635e+09 + i 4.168006e+08 ; 4.261885e+06 + i -7.778516e+06 ; -9.248168e+06 + i 1.252749e+07 ; -8.884321e+09 + i 8.744777e+08 ; 8.985334e+06 + i -1.237098e+07 ; 4.750565e+08 + i -9.116918e+07 ; 1.531927e+08 + i -1.442649e+08 ; -4.757709e+08 + i 9.036638e+07 ; -3.414626e+07 + i 3.064789e+07 ; 6.820775e+08 + i -2.842504e+08 ; -1.225735e+09 + i 1.792007e+08 ; 2.565632e+07 + i -2.284233e+07 ; -9.514769e+08 + i 2.417336e+08 ; -2.635944e+07 + i 2.343676e+07 ; -4.548806e+06 + i 7.890927e+06 ; -2.387804e+09 + i 4.160801e+08 ; -4.029525e+07 + i 3.366891e+07 ; 
2.029647e+06 + i -1.739937e+06 ; -1.666256e+06 + i 1.557615e+06 ; -4.552730e+07 + i 1.128890e+07 ; 2.196505e+06 + i -2.593453e+06 ; -3.954883e+06 + i 3.519983e+06 ; -1.066712e+08 + i 2.598679e+07 ; 2.443110e+06 + i -1.957051e+06 ; -6.575866e+05 + i 2.976296e+05 ; -5.004152e+07 + i 1.206752e+07 ; 3.718621e+06 + i -3.793538e+06 ; -9.453012e+05 + i 1.887217e+05 ; -1.272512e+08 + i 2.967348e+07 ; -1.837789e+07 + i -1.614860e+06 ; -8.922926e+06 + i 2.852105e+06 ; -2.839854e+07 + i 1.881997e+06 ; -5.863433e+07 + i 1.340570e+06 ; -2.954368e+07 + i 7.445305e+06 ; -4.571722e+07 + i -2.292372e+06 ; -2.111560e+07 + i -2.002865e+06 ; -2.193756e+05 + i -7.862920e+04 ; -3.026045e+07 + i 1.673380e+06 ; -7.492405e+07 + i 2.961604e+05 ; 4.017874e+05 + i -8.910487e+05 ; -4.854709e+07 + i -4.182144e+06 ; -2.567724e+07 + i 2.314650e+07 ; -2.633488e+07 + i 2.356585e+07 ; -9.514672e+08 + i 2.417500e+08 ; 4.535538e+06 + i -7.917321e+06 ; -4.026452e+07 + i 3.386108e+07 ; -2.387795e+09 + i 4.161000e+08 ; -3.963275e+07 + i 3.350143e+07 ; 4.249110e+06 + i -7.797054e+06 ; -2.388624e+09 + i 4.168280e+08 ; 9.244102e+06 + i -1.253203e+07 ; 8.964660e+06 + i -1.241935e+07 ; -8.884323e+09 + i 8.744761e+08 ; -4.750636e+08 + i 9.127256e+07 ; -4.764076e+08 + i 9.212241e+07 ; 1.531856e+08 + i -1.441546e+08 ; 3.412122e+07 + i -3.071040e+07 ; -1.227491e+09 + i 1.834308e+08 ; 6.820795e+08 + i -2.842435e+08 ; -1.226160e+09 + i 1.826629e+08 ; 3.376282e+07 + i -3.058875e+07 ; 6.816276e+08 + i -2.840491e+08 ; 7.308517e+07 + i -5.862455e+07 ; 7.273277e+07 + i -5.852173e+07 ; 4.626377e+09 + i -6.870189e+08 ; 
1.429426e+08 + i -7.935530e+06 ; 7.058904e+06 + i -7.354026e+06 ; 1.046865e+08 + i -2.470128e+07 ; 4.066668e+08 + i -9.040176e+07 ; 1.652546e+07 + i -1.426103e+07 ; 3.805941e+08 + i -5.850224e+07 ; 1.109333e+08 + i -1.223172e+07 ; -8.035681e+07 + i 1.976359e+07 ; 8.043918e+07 + i -2.003080e+07 ; 2.096623e+08 + i -6.207496e+07 ; -2.249392e+08 + i 3.895913e+07 ; 2.252350e+08 + i -3.970145e+07 ; 1.843174e+08 + i 3.469659e+06 ; 9.164631e+06 + i -9.112913e+06 ; -9.169727e+06 + i 9.205047e+06 ; 9.028631e+08 + i -1.413857e+08 ; 2.476139e+07 + i -2.014503e+07 ; -2.479776e+07 + i 2.047567e+07 ; 1.429404e+08 + i -7.962019e+06 ; -1.045756e+08 + i 2.435422e+07 ; -7.060848e+06 + i 7.426306e+06 ; 4.066765e+08 + i -9.047328e+07 ; -3.800685e+08 + i 5.726493e+07 ; -1.653621e+07 + i 1.444855e+07 ; -2.398770e+09 + i 4.259022e+08 ; -4.820853e+06 + i 7.801934e+06 ; -3.683811e+07 + i 2.995731e+07 ; 6.784471e+08 + i -2.820031e+08 ; -3.427492e+07 + i 3.061260e+07 ; -1.226021e+09 + i 1.810620e+08 ; -9.590899e+08 + i 2.489969e+08 ; 2.345225e+07 + i -2.089551e+07 ; -2.339642e+07 + i 2.077377e+07 ; 1.503548e+08 + i -1.421302e+08 ; 4.745496e+08 + i -8.892890e+07 ; -4.751905e+08 + i 9.054582e+07 ; -8.899106e+09 + i 8.869094e+08 ; -9.490286e+06 + i 1.232511e+07 ; 9.495302e+06 + i -1.229401e+07 ; 4.622287e+09 + i -6.844970e+08 ; -7.323534e+07 + i 5.820214e+07 ; 7.292031e+07 + i -5.742853e+07 ; -2.398778e+09 + i 4.258857e+08 ; 3.714145e+07 + i -3.087772e+07 ; 4.818462e+06 + i -7.802382e+06 ; 6.784032e+08 + i -2.817947e+08 ; 1.224224e+09 + i -1.769472e+08 ; 3.420908e+07 + i -3.054379e+07 ; 
-2.337410e+06 + i 2.030354e+05 ; -1.066717e+08 + i 2.598409e+07 ; -3.837740e+06 + i 3.538484e+06 ; -1.233936e+07 + i 9.959343e+06 ; -3.097220e+08 + i 6.176948e+07 ; -8.940111e+06 + i 7.597248e+06 ; -5.744476e+07 + i -5.041347e+05 ; -4.571745e+07 + i -2.298307e+06 ; -3.071701e+07 + i 8.404376e+06 ; -2.229881e+08 + i 3.668080e+07 ; -4.839664e+07 + i -1.973091e+07 ; -1.316418e+08 + i 2.417046e+07 ; -1.852226e+06 + i -4.168402e+05 ; -1.272511e+08 + i 2.967180e+07 ; -6.391967e+05 + i -1.172686e+05 ; -1.545225e+07 + i 1.208618e+07 ; -4.580816e+08 + i 7.851538e+07 ; -3.654644e+05 + i -9.297832e+05 ; -7.087537e+07 + i -3.621106e+06 ; -4.854722e+07 + i -4.181086e+06 ; 1.302327e+06 + i -1.747709e+06 ; -3.773262e+08 + i 5.428885e+07 ; -2.291824e+07 + i -3.137214e+07 ; 6.300179e+06 + i -5.936866e+06 ; -2.086789e+06 + i 5.690475e+06 ; -2.391075e+09 + i 4.188279e+08 ; -4.051044e+07 + i 3.307210e+07 ; 2.732807e+07 + i -2.406088e+07 ; -9.514717e+08 + i 2.417427e+08 ; -2.637084e+07 + i 2.331173e+07 ; -2.929461e+07 + i 2.676499e+07 ; 6.810485e+08 + i -2.842294e+08 ; -1.227699e+09 + i 1.826048e+08 ; 4.768420e+08 + i -9.065739e+07 ; 1.531991e+08 + i -1.442551e+08 ; -4.762723e+08 + i 9.156746e+07 ; -6.387615e+06 + i 9.994892e+06 ; -8.887890e+09 + i 8.774212e+08 ; 8.889330e+06 + i -1.228726e+07 ; 4.153488e+07 + i -3.460003e+07 ; -2.388628e+09 + i 4.168258e+08 ; 4.210410e+06 + i -7.721272e+06 ; -6.733176e+07 + i 5.387595e+07 ; 4.625376e+09 + i -6.868648e+08 ; 7.241906e+07 + i -5.723707e+07 ; 1.226731e+09 + i -1.789541e+08 ; 6.816366e+08 + i -2.840672e+08 ; 3.366465e+07 + i -3.026548e+07 ; 
7.088766e+07 + i 3.593868e+06 ; 1.300036e+06 + i -1.730862e+06 ; -4.855374e+07 + i -4.173996e+06 ; 3.773444e+08 + i -5.435736e+07 ; 6.291234e+06 + i -5.847157e+06 ; -2.293434e+07 + i -3.131502e+07 ; 5.745335e+07 + i 4.742746e+05 ; -3.068820e+07 + i 8.300369e+06 ; -4.572190e+07 + i -2.291414e+06 ; 2.230030e+08 + i -3.674225e+07 ; -1.314739e+08 + i 2.374745e+07 ; -4.840409e+07 + i -1.969412e+07 ; 1.867725e+06 + i 3.685117e+05 ; -6.382022e+05 + i -1.195391e+05 ; -1.272515e+08 + i 2.967314e+07 ; 1.550564e+07 + i -1.229910e+07 ; -3.618680e+05 + i -9.280124e+05 ; -4.580789e+08 + i 7.852360e+07 ; 2.347309e+06 + i -2.433883e+05 ; -3.841717e+06 + i 3.519795e+06 ; -1.066721e+08 + i 2.598528e+07 ; 1.236344e+07 + i -1.007038e+07 ; -8.946366e+06 + i 7.556730e+06 ; -3.097210e+08 + i 6.177356e+07 ; 6.706094e+07 + i -5.275596e+07 ; 7.245918e+07 + i -5.691452e+07 ; 4.625371e+09 + i -6.868701e+08 ; -1.226745e+09 + i 1.788966e+08 ; 3.374466e+07 + i -3.029801e+07 ; 6.816819e+08 + i -2.842693e+08 ; 2.931324e+07 + i -2.670491e+07 ; -1.225912e+09 + i 1.784501e+08 ; 6.810483e+08 + i -2.842295e+08 ; -4.768351e+08 + i 9.055733e+07 ; -4.756245e+08 + i 8.984774e+07 ; 1.532135e+08 + i -1.443385e+08 ; 6.406536e+06 + i -9.921414e+06 ; 8.897394e+06 + i -1.227988e+07 ; -8.887891e+09 + i 8.774208e+08 ; -4.126093e+07 + i 3.349481e+07 ; 4.221364e+06 + i -7.705262e+06 ; -2.388636e+09 + i 4.167996e+08 ; 2.097977e+06 + i -5.665781e+06 ; -4.053916e+07 + i 3.288462e+07 ; -2.391085e+09 + i 4.188065e+08 ; -2.729542e+07 + i 2.380978e+07 ; -2.639351e+07 + i 2.318465e+07 ; -9.514827e+08 + i 2.417186e+08 ; 
6.001855e+07 + i 2.138609e+05 ; 1.164538e+06 + i -1.776180e+06 ; 3.642356e+07 + i -9.981223e+06 ; 1.429390e+08 + i -7.984835e+06 ; 3.546828e+06 + i -4.158527e+06 ; 1.020487e+08 + i -2.254802e+07 ; 5.211166e+07 + i -1.005049e+06 ; -3.144607e+07 + i 8.865265e+06 ; 3.148211e+07 + i -8.997837e+06 ; 1.109303e+08 + i -1.226436e+07 ; -7.900353e+07 + i 1.851020e+07 ; 7.910288e+07 + i -1.882662e+07 ; 6.956131e+07 + i 1.775259e+06 ; 1.483749e+06 + i -2.075803e+06 ; -1.474911e+06 + i 2.059551e+06 ; 1.843174e+08 + i 3.469187e+06 ; 4.883938e+06 + i -5.259802e+06 ; -4.862421e+06 + i 5.221661e+06 ; 6.001929e+07 + i 2.226202e+05 ; -3.638046e+07 + i 9.829080e+06 ; -1.157155e+06 + i 1.760946e+06 ; 1.429410e+08 + i -7.955253e+06 ; -1.019144e+08 + i 2.214445e+07 ; -3.532377e+06 + i 4.125132e+06 ; 6.784555e+08 + i -2.821480e+08 ; 3.366149e+07 + i -3.042350e+07 ; 1.228335e+09 + i -1.842864e+08 ; -2.388729e+09 + i 4.163066e+08 ; 4.167145e+06 + i -7.713093e+06 ; 4.029170e+07 + i -3.253210e+07 ; 1.503621e+08 + i -1.422218e+08 ; -4.764523e+08 + i 9.109312e+07 ; 4.770811e+08 + i -9.274315e+07 ; -9.515667e+08 + i 2.412562e+08 ; -2.650054e+07 + i 2.354849e+07 ; 2.645969e+07 + i -2.336145e+07 ; 4.622287e+09 + i -6.844985e+08 ; 7.265258e+07 + i -5.813114e+07 ; -7.239286e+07 + i 5.697115e+07 ; -8.885288e+09 + i 8.746974e+08 ; 8.871499e+06 + i -1.231006e+07 ; -8.853184e+06 + i 1.235147e+07 ; 6.784281e+08 + i -2.818675e+08 ; -1.226581e+09 + i 1.800544e+08 ; -3.361128e+07 + i 3.027377e+07 ; -2.388728e+09 + i 4.163043e+08 ; -4.054197e+07 + i 3.381900e+07 ; -4.159744e+06 + i 7.724633e+06 ; 
2.029506e+06 + i -1.741463e+06 ; -4.552750e+07 + i 1.128848e+07 ; -1.666935e+06 + i 1.554331e+06 ; 2.196247e+06 + i -2.596348e+06 ; -1.066716e+08 + i 2.598582e+07 ; -3.956535e+06 + i 3.507948e+06 ; -1.837940e+07 + i -1.612085e+06 ; -2.839873e+07 + i 1.879563e+06 ; -8.923151e+06 + i 2.852518e+06 ; -5.863776e+07 + i 1.351915e+06 ; -4.571729e+07 + i -2.299844e+06 ; -2.954482e+07 + i 7.445871e+06 ; 2.442829e+06 + i -1.959154e+06 ; -5.004153e+07 + i 1.206751e+07 ; -6.573107e+05 + i 2.978720e+05 ; 3.717877e+06 + i -3.798879e+06 ; -1.272513e+08 + i 2.967335e+07 ; -9.443641e+05 + i 1.899735e+05 ; -2.111757e+07 + i -2.000251e+06 ; -3.026043e+07 + i 1.673051e+06 ; -2.186962e+05 + i -7.532974e+04 ; -7.492973e+07 + i 3.073198e+05 ; -4.854709e+07 + i -4.183067e+06 ; 4.034779e+05 + i -8.786537e+05 ; -2.568116e+07 + i 2.313206e+07 ; -9.514698e+08 + i 2.417440e+08 ; -2.632168e+07 + i 2.326474e+07 ; 4.537327e+06 + i -7.915083e+06 ; -2.387798e+09 + i 4.160914e+08 ; -4.002095e+07 + i 3.262885e+07 ; -4.750736e+08 + i 9.139852e+07 ; 1.531957e+08 + i -1.442526e+08 ; -4.764227e+08 + i 9.213691e+07 ; 3.413596e+07 + i -3.065847e+07 ; 6.821231e+08 + i -2.844614e+08 ; -1.227530e+09 + i 1.834304e+08 ; -3.965276e+07 + i 3.339197e+07 ; -2.388624e+09 + i 4.168281e+08 ; 4.266878e+06 + i -7.762499e+06 ; 9.244848e+06 + i -1.253418e+07 ; -8.884324e+09 + i 8.744750e+08 ; 8.996234e+06 + i -1.232766e+07 ; -1.226230e+09 + i 1.828788e+08 ; 6.816277e+08 + i -2.840567e+08 ; 3.375788e+07 + i -3.025962e+07 ; 7.309226e+07 + i -5.855227e+07 ; 4.626381e+09 + i -6.870040e+08 ; 7.248722e+07 + i -5.729386e+07 ; 
