1.926134e+00 + i 1.384944e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.424086e-01 + i -6.616077e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.915663e-02 + i -5.857489e-03 ; -1.173008e-01 + i -1.754144e-02 ; 0.000000e+00 + i -0.000000e+00 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.915663e-02 + i -5.857489e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.173008e-01 + i -1.754144e-02 ; 7.814413e-02 + i 1.168395e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.596811e-05 + i -8.784920e-06 ; -4.257082e-02 + i -6.366144e-03 ; -4.257082e-02 + i -6.366144e-03 ; -2.179259e-02 + i -3.260827e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -8.557784e-03 + i -1.281662e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.484748e-02 + i -2.222238e-03 ; -8.730247e-03 + i -1.305543e-03 ; 0.000000e+00 + i -0.000000e+00 ; -6.939488e-03 + i -1.039658e-03 ; -2.886580e-03 + i -4.316666e-04 ; 0.000000e+00 + i -0.000000e+00 ; -1.484748e-02 + i -2.222238e-03 ; 0.000000e+00 + i -0.000000e+00 ; -8.730247e-03 + i -1.305543e-03 ; -6.939488e-03 + i -1.039658e-03 ; 0.000000e+00 + i -0.000000e+00 ; -2.886580e-03 + i -4.316666e-04 ; -1.042587e-02 + i -1.561021e-03 ; -6.601363e-03 + i -9.871842e-04 ; -6.601363e-03 + i -9.871842e-04 ; -5.683450e-03 + i -8.518263e-04 ; -2.454366e-03 + i -3.670323e-04 ; -2.454366e-03 + i -3.670323e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; 1.926134e+00 + i 1.384944e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.424086e-01 + i -6.616077e-02 ; 0.000000e+00 + i -0.000000e+00 ; -1.173008e-01 + i -1.754144e-02 ; -3.915663e-02 + i -5.857489e-03 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.814413e-02 + i 1.168395e-02 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.915663e-02 + i -5.857489e-03 ; -1.173008e-01 + i -1.754144e-02 ; -4.257082e-02 + i -6.366144e-03 ; -4.596811e-05 + i -8.784920e-06 ; -4.257082e-02 + i -6.366144e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.085275e-02 + i 1.621036e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.247189e-03 + i 6.332266e-04 ; -0.000000e+00 + i -0.000000e+00 ; -8.730247e-03 + i -1.305543e-03 ; 5.783671e-03 + i 8.629946e-04 ; 0.000000e+00 + i -0.000000e+00 ; -2.886580e-03 + i -4.316666e-04 ; 3.052157e-03 + i 4.545187e-04 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.982100e-03 + i 1.341296e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.826134e-03 + i 5.702613e-04 ; -0.000000e+00 + i -0.000000e+00 ; -6.601363e-03 + i -9.871842e-04 ; 5.174339e-03 + i 7.718738e-04 ; -2.418487e-03 + i -3.616666e-04 ; -2.454366e-03 + i -3.670323e-04 ; 2.812125e-03 + i 4.186240e-04 ; -6.580878e-04 + i -9.841216e-05 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.926134e+00 + i 1.384944e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.814413e-02 + i 1.168395e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.424086e-01 + i -6.616077e-02 ; -1.173008e-01 + i -1.754144e-02 ; 0.000000e+00 + i -0.000000e+00 ; -3.915663e-02 + i -5.857489e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.173008e-01 + i -1.754144e-02 ; -3.915663e-02 + i -5.857489e-03 ; -4.257082e-02 + i -6.366144e-03 ; -4.257082e-02 + i -6.366144e-03 ; -4.596811e-05 + i -8.784920e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.085275e-02 + i 1.621036e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.247189e-03 + i 6.332266e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.982100e-03 + i 1.341296e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.826134e-03 + i 5.702613e-04 ; -8.730247e-03 + i -1.305543e-03 ; 0.000000e+00 + i -0.000000e+00 ; 5.783671e-03 + i 8.629946e-04 ; -2.886580e-03 + i -4.316666e-04 ; 0.000000e+00 + i -0.000000e+00 ; 3.052157e-03 + i 4.545187e-04 ; -6.601363e-03 + i -9.871842e-04 ; -2.418487e-03 + i -3.616666e-04 ; 5.174339e-03 + i 7.718738e-04 ; -2.454366e-03 + i -3.670323e-04 ; -6.580878e-04 + i -9.841216e-05 ; 2.812125e-03 + i 4.186240e-04 ; 
-4.424086e-01 + i -6.616077e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.926134e+00 + i 1.384944e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.915663e-02 + i -5.857489e-03 ; 1.173008e-01 + i 1.754144e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.915663e-02 + i -5.857489e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.173008e-01 + i 1.754144e-02 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.596811e-05 + i -8.784920e-06 ; 4.257082e-02 + i 6.366144e-03 ; 4.257082e-02 + i 6.366144e-03 ; 7.814413e-02 + i 1.168395e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -8.555864e-02 + i -1.279656e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.179259e-02 + i -3.260827e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -3.467371e-02 + i -5.187102e-03 ; -3.606576e-02 + i -5.393361e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.484748e-02 + i -2.222238e-03 ; -8.730247e-03 + i -1.305543e-03 ; 0.000000e+00 + i -0.000000e+00 ; -3.467371e-02 + i -5.187102e-03 ; 0.000000e+00 + i -0.000000e+00 ; -3.606576e-02 + i -5.393361e-03 ; -1.484748e-02 + i -2.222238e-03 ; 0.000000e+00 + i -0.000000e+00 ; -8.730247e-03 + i -1.305543e-03 ; -1.586643e-02 + i -2.374615e-03 ; -2.062467e-02 + i -3.084264e-03 ; -2.062467e-02 + i -3.084264e-03 ; -1.042587e-02 + i -1.561021e-03 ; -6.601363e-03 + i -9.871842e-04 ; -6.601363e-03 + i -9.871842e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.926134e+00 + i 1.384944e-01 ; -0.000000e+00 + i -0.000000e+00 ; 1.173008e-01 + i 1.754144e-02 ; -3.915663e-02 + i -5.857489e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.424086e-01 + i -6.616077e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.814413e-02 + i 1.168395e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; 4.257082e-02 + i 6.366144e-03 ; -4.596811e-05 + i -8.784920e-06 ; -4.257082e-02 + i -6.366144e-03 ; 0.000000e+00 + i -0.000000e+00 ; -3.915663e-02 + i -5.857489e-03 ; -1.173008e-01 + i -1.754144e-02 ; -0.000000e+00 + i -0.000000e+00 ; 4.271027e-02 + i 6.385086e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.085275e-02 + i 1.621036e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.606576e-02 + i -5.393361e-03 ; 6.850760e-03 + i 1.022569e-03 ; 0.000000e+00 + i -0.000000e+00 ; -8.730247e-03 + i -1.305543e-03 ; 5.783671e-03 + i 8.629946e-04 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.770354e-02 + i 4.140944e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.982100e-03 + i 1.341296e-03 ; -0.000000e+00 + i -0.000000e+00 ; -2.062467e-02 + i -3.084264e-03 ; 7.879881e-03 + i 1.176466e-03 ; -1.192493e-02 + i -1.783284e-03 ; -6.601363e-03 + i -9.871842e-04 ; 5.174339e-03 + i 7.718738e-04 ; -2.418487e-03 + i -3.616666e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.926134e+00 + i 1.384944e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.814413e-02 + i 1.168395e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.210845e-01 + i 3.305960e-02 ; 1.173008e-01 + i 1.754144e-02 ; 0.000000e+00 + i -0.000000e+00 ; -3.915663e-02 + i -5.857489e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.424086e-01 + i -6.616077e-02 ; 4.257082e-02 + i 6.366144e-03 ; -4.257082e-02 + i -6.366144e-03 ; -4.596811e-05 + i -8.784920e-06 ; 0.000000e+00 + i -0.000000e+00 ; -1.173008e-01 + i -1.754144e-02 ; -3.915663e-02 + i -5.857489e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.271027e-02 + i 6.385086e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.085275e-02 + i 1.621036e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.770354e-02 + i 4.140944e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.982100e-03 + i 1.341296e-03 ; -3.606576e-02 + i -5.393361e-03 ; 0.000000e+00 + i -0.000000e+00 ; 6.850760e-03 + i 1.022569e-03 ; -8.730247e-03 + i -1.305543e-03 ; 0.000000e+00 + i -0.000000e+00 ; 5.783671e-03 + i 8.629946e-04 ; -2.062467e-02 + i -3.084264e-03 ; -1.192493e-02 + i -1.783284e-03 ; 7.879881e-03 + i 1.176466e-03 ; -6.601363e-03 + i -9.871842e-04 ; -2.418487e-03 + i -3.616666e-04 ; 5.174339e-03 + i 7.718738e-04 ; 
2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.915663e-02 + i -5.857489e-03 ; 1.173008e-01 + i 1.754144e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.926134e+00 + i 1.384944e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.424086e-01 + i -6.616077e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 7.814413e-02 + i 1.168395e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.596811e-05 + i -8.784920e-06 ; 4.257082e-02 + i 6.366144e-03 ; -4.257082e-02 + i -6.366144e-03 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.915663e-02 + i -5.857489e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.173008e-01 + i -1.754144e-02 ; -1.484748e-02 + i -2.222238e-03 ; 8.730247e-03 + i 1.305543e-03 ; 0.000000e+00 + i -0.000000e+00 ; -6.939488e-03 + i -1.039658e-03 ; 2.886580e-03 + i 4.316666e-04 ; 0.000000e+00 + i -0.000000e+00 ; -2.179259e-02 + i -3.260827e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -8.557784e-03 + i -1.281662e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.042587e-02 + i -1.561021e-03 ; 6.601363e-03 + i 9.871842e-04 ; -6.601363e-03 + i -9.871842e-04 ; -5.683450e-03 + i -8.518263e-04 ; 2.454366e-03 + i 3.670323e-04 ; -2.454366e-03 + i -3.670323e-04 ; -1.484748e-02 + i -2.222238e-03 ; 0.000000e+00 + i -0.000000e+00 ; -8.730247e-03 + i -1.305543e-03 ; -6.939488e-03 + i -1.039658e-03 ; 0.000000e+00 + i -0.000000e+00 ; -2.886580e-03 + i -4.316666e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; -4.424086e-01 + i -6.616077e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.173008e-01 + i 1.754144e-02 ; -3.915663e-02 + i -5.857489e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.926134e+00 + i 1.384944e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.915663e-02 + i -5.857489e-03 ; 1.173008e-01 + i 1.754144e-02 ; 4.257082e-02 + i 6.366144e-03 ; -4.596811e-05 + i -8.784920e-06 ; 4.257082e-02 + i 6.366144e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.814413e-02 + i 1.168395e-02 ; -0.000000e+00 + i -0.000000e+00 ; 8.730247e-03 + i 1.305543e-03 ; 5.783671e-03 + i 8.629946e-04 ; -0.000000e+00 + i -0.000000e+00 ; 2.886580e-03 + i 4.316666e-04 ; 3.052157e-03 + i 4.545187e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.085275e-02 + i 1.621036e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.247189e-03 + i 6.332266e-04 ; -0.000000e+00 + i -0.000000e+00 ; 6.601363e-03 + i 9.871842e-04 ; 5.174339e-03 + i 7.718738e-04 ; 2.418487e-03 + i 3.616666e-04 ; 2.454366e-03 + i 3.670323e-04 ; 2.812125e-03 + i 4.186240e-04 ; 6.580878e-04 + i 9.841216e-05 ; -0.000000e+00 + i -0.000000e+00 ; 8.982100e-03 + i 1.341296e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.826134e-03 + i 5.702613e-04 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 7.814413e-02 + i 1.168395e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.926134e+00 + i 1.384944e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.210845e-01 + i 3.305960e-02 ; 0.000000e+00 + i -0.000000e+00 ; 1.173008e-01 + i 1.754144e-02 ; -3.915663e-02 + i -5.857489e-03 ; -4.257082e-02 + i -6.366144e-03 ; 4.257082e-02 + i 6.366144e-03 ; -4.596811e-05 + i -8.784920e-06 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.424086e-01 + i -6.616077e-02 ; -1.173008e-01 + i -1.754144e-02 ; 0.000000e+00 + i -0.000000e+00 ; -3.915663e-02 + i -5.857489e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.982100e-03 + i 1.341296e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.826134e-03 + i 5.702613e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.085275e-02 + i 1.621036e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.247189e-03 + i 6.332266e-04 ; -6.601363e-03 + i -9.871842e-04 ; 2.418487e-03 + i 3.616666e-04 ; 5.174339e-03 + i 7.718738e-04 ; -2.454366e-03 + i -3.670323e-04 ; 6.580878e-04 + i 9.841216e-05 ; 2.812125e-03 + i 4.186240e-04 ; -8.730247e-03 + i -1.305543e-03 ; 0.000000e+00 + i -0.000000e+00 ; 5.783671e-03 + i 8.629946e-04 ; -2.886580e-03 + i -4.316666e-04 ; 0.000000e+00 + i -0.000000e+00 ; 3.052157e-03 + i 4.545187e-04 ; 
-3.915663e-02 + i -5.857489e-03 ; -1.173008e-01 + i -1.754144e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.424086e-01 + i -6.616077e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.926134e+00 + i 1.384944e-01 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.596811e-05 + i -8.784920e-06 ; -4.257082e-02 + i -6.366144e-03 ; 4.257082e-02 + i 6.366144e-03 ; 7.814413e-02 + i 1.168395e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.915663e-02 + i -5.857489e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.173008e-01 + i 1.754144e-02 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -3.467371e-02 + i -5.187102e-03 ; 3.606576e-02 + i 5.393361e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.484748e-02 + i -2.222238e-03 ; 8.730247e-03 + i 1.305543e-03 ; 0.000000e+00 + i -0.000000e+00 ; -8.555864e-02 + i -1.279656e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.179259e-02 + i -3.260827e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.586643e-02 + i -2.374615e-03 ; 2.062467e-02 + i 3.084264e-03 ; -2.062467e-02 + i -3.084264e-03 ; -1.042587e-02 + i -1.561021e-03 ; 6.601363e-03 + i 9.871842e-04 ; -6.601363e-03 + i -9.871842e-04 ; -3.467371e-02 + i -5.187102e-03 ; 0.000000e+00 + i -0.000000e+00 ; -3.606576e-02 + i -5.393361e-03 ; -1.484748e-02 + i -2.222238e-03 ; 0.000000e+00 + i -0.000000e+00 ; -8.730247e-03 + i -1.305543e-03 ; 
-1.173008e-01 + i -1.754144e-02 ; -3.915663e-02 + i -5.857489e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.424086e-01 + i -6.616077e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.926134e+00 + i 1.384944e-01 ; -0.000000e+00 + i -0.000000e+00 ; -4.257082e-02 + i -6.366144e-03 ; -4.596811e-05 + i -8.784920e-06 ; 4.257082e-02 + i 6.366144e-03 ; -0.000000e+00 + i -0.000000e+00 ; -3.915663e-02 + i -5.857489e-03 ; 1.173008e-01 + i 1.754144e-02 ; -0.000000e+00 + i -0.000000e+00 ; 7.814413e-02 + i 1.168395e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.210845e-01 + i 3.305960e-02 ; -0.000000e+00 + i -0.000000e+00 ; 3.606576e-02 + i 5.393361e-03 ; 6.850760e-03 + i 1.022569e-03 ; -0.000000e+00 + i -0.000000e+00 ; 8.730247e-03 + i 1.305543e-03 ; 5.783671e-03 + i 8.629946e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.271027e-02 + i 6.385086e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.085275e-02 + i 1.621036e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.062467e-02 + i 3.084264e-03 ; 7.879881e-03 + i 1.176466e-03 ; 1.192493e-02 + i 1.783284e-03 ; 6.601363e-03 + i 9.871842e-04 ; 5.174339e-03 + i 7.718738e-04 ; 2.418487e-03 + i 3.616666e-04 ; -0.000000e+00 + i -0.000000e+00 ; 2.770354e-02 + i 4.140944e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 8.982100e-03 + i 1.341296e-03 ; -0.000000e+00 + i -0.000000e+00 ; 
