-7.123160e+09 + i 5.276290e+08 ; -1.950587e+07 + i -1.148218e+06 ; -1.951033e+07 + i -1.148475e+06 ; 2.134820e+09 + i -2.680441e+08 ; 1.247827e+08 + i -6.863323e+06 ; 1.247793e+08 + i -6.864652e+06 ; -1.004112e+09 + i 1.249837e+08 ; -6.631058e+07 + i 3.519094e+06 ; -1.281270e+07 + i 7.930775e+04 ; -2.695906e+08 + i -1.332094e+06 ; 5.324772e+08 + i -7.159422e+07 ; 3.038728e+07 + i -3.641650e+06 ; -1.004111e+09 + i 1.249846e+08 ; -1.281118e+07 + i 7.905849e+04 ; -6.631046e+07 + i 3.518814e+06 ; -2.695919e+08 + i -1.330990e+06 ; 3.040769e+07 + i -3.634595e+06 ; 5.324780e+08 + i -7.159393e+07 ; -1.681459e+08 + i 3.838339e+07 ; -3.339845e+07 + i 2.647354e+06 ; -3.339059e+07 + i 2.649709e+06 ; -1.004716e+08 + i 1.663555e+07 ; 1.387325e+08 + i -2.338700e+07 ; 1.387331e+08 + i -2.338671e+07 ; 1.789887e+08 + i -1.649919e+07 ; 4.600707e+05 + i -4.802354e+05 ; 4.610399e+05 + i -4.801750e+05 ; 8.640085e+07 + i -6.435108e+06 ; -8.707313e+05 + i -4.410408e+04 ; -8.708340e+05 + i -4.410896e+04 ; 6.087183e+07 + i -1.075156e+07 ; 2.172948e+07 + i -4.384158e+06 ; -7.421879e+05 + i -2.741448e+05 ; 4.049223e+07 + i -6.066885e+06 ; 4.875894e+06 + i -1.149116e+06 ; -9.627747e+05 + i -6.862900e+03 ; 6.087314e+07 + i -1.075091e+07 ; -7.404593e+05 + i -2.734233e+05 ; 2.172965e+07 + i -4.384114e+06 ; 4.049252e+07 + i -6.066668e+06 ; -9.622612e+05 + i -6.727483e+03 ; 4.875871e+06 + i -1.149128e+06 ; 1.997936e+07 + i -5.979552e+06 ; 1.445378e+07 + i -3.088966e+06 ; 1.445351e+07 + i -3.089076e+06 ; 1.947751e+07 + i -4.463346e+06 ; 3.779253e+06 + i -9.236750e+05 ; 3.779211e+06 + i -9.236694e+05 ; 
3.666977e+07 + i -2.610569e+06 ; 3.565875e+07 + i -2.453603e+06 ; -1.698502e+08 + i 3.850547e+07 ; 1.445001e+07 + i -2.139209e+05 ; 7.118276e+07 + i -3.006105e+06 ; -1.002055e+09 + i 1.247907e+08 ; 7.233590e+07 + i -3.134349e+06 ; 1.347470e+07 + i 2.466908e+04 ; -1.007114e+09 + i 1.249691e+08 ; 2.230104e+07 + i 1.150165e+06 ; 2.075653e+07 + i 1.426142e+06 ; -7.121684e+09 + i 5.273173e+08 ; -1.452919e+08 + i 2.350510e+07 ; -1.486201e+08 + i 2.363041e+07 ; -1.037606e+08 + i 1.706232e+07 ; -2.467789e+07 + i 3.421524e+06 ; -5.710361e+08 + i 7.029181e+07 ; -2.715492e+08 + i -9.656039e+05 ; -5.674376e+08 + i 7.025223e+07 ; -3.136072e+07 + i 3.825195e+06 ; -2.754927e+08 + i -9.270655e+05 ; -1.246395e+08 + i 5.370477e+06 ; -1.338815e+08 + i 5.827400e+06 ; 2.128859e+09 + i -2.678344e+08 ; -1.929367e+07 + i 1.231237e+06 ; 1.427248e+07 + i -7.554245e+05 ; -1.011541e+08 + i 1.549877e+07 ; -1.201791e+07 + i 3.555546e+05 ; 4.258528e+06 + i -3.893631e+05 ; -2.227590e+07 + i 4.470956e+06 ; -2.845241e+07 + i 1.353578e+06 ; 6.880855e+06 + i -3.229555e+04 ; -1.966328e+08 + i 2.471926e+07 ; -1.535233e+07 + i 7.673121e+04 ; 2.650001e+06 + i -1.654750e+05 ; -2.842364e+07 + i 5.678321e+06 ; 8.330955e+07 + i -1.179282e+07 ; -4.587672e+07 + i 6.567354e+06 ; -6.627951e+07 + i 8.199764e+06 ; 4.337552e+07 + i -5.101433e+06 ; -3.407829e+06 + i 9.845678e+05 ; -2.026220e+07 + i 3.786490e+06 ; 1.683988e+08 + i -2.178157e+07 ; -6.936306e+06 + i 4.841141e+05 ; -1.035619e+08 + i 8.263577e+06 ; 7.434620e+07 + i -7.086646e+06 ; 9.030023e+05 + i 9.251806e+04 ; -2.697221e+07 + i 4.714059e+06 ; 
-1.004407e+09 + i 1.249133e+08 ; -1.297681e+07 + i 5.838614e+04 ; 6.841464e+07 + i -3.568219e+06 ; -2.698527e+08 + i -1.403098e+06 ; 3.051808e+07 + i -3.699632e+06 ; -5.625811e+08 + i 7.084540e+07 ; -1.681899e+08 + i 3.838362e+07 ; -3.387405e+07 + i 2.608130e+06 ; 3.514885e+07 + i -2.517319e+06 ; -1.005444e+08 + i 1.662943e+07 ; 1.407100e+08 + i -2.342485e+07 ; -1.465205e+08 + i 2.347775e+07 ; -7.123273e+09 + i 5.275885e+08 ; -1.956562e+07 + i -1.172998e+06 ; 2.011573e+07 + i 1.228296e+06 ; 2.134752e+09 + i -2.680732e+08 ; 1.258846e+08 + i -6.752875e+06 ; -1.302450e+08 + i 6.544734e+06 ; -1.004217e+09 + i 1.249670e+08 ; -6.663294e+07 + i 3.464690e+06 ; 1.342675e+07 + i 1.003811e+04 ; -2.697356e+08 + i -1.346769e+06 ; 5.400053e+08 + i -7.148331e+07 ; -3.173037e+07 + i 3.658969e+06 ; 6.094392e+07 + i -1.073504e+07 ; -7.857079e+05 + i -2.844760e+05 ; -2.295614e+07 + i 4.434275e+06 ; 4.052498e+07 + i -6.058768e+06 ; -9.869741e+05 + i -1.022844e+04 ; -5.148627e+06 + i 1.170288e+06 ; 2.000521e+07 + i -5.974858e+06 ; 1.464514e+07 + i -3.104489e+06 ; -1.525418e+07 + i 3.136704e+06 ; 1.949399e+07 + i -4.460037e+06 ; 3.827359e+06 + i -9.293637e+05 ; -3.984764e+06 + i 9.435115e+05 ; 1.789916e+08 + i -1.649854e+07 ; 4.624888e+05 + i -4.827328e+05 ; -4.372047e+05 + i 5.123600e+05 ; 8.639951e+07 + i -6.435184e+06 ; -8.852142e+05 + i -4.546315e+04 ; 9.334576e+05 + i 5.696262e+04 ; 6.087754e+07 + i -1.074943e+07 ; 2.204094e+07 + i -4.396426e+06 ; 8.393679e+05 + i 3.080802e+05 ; 4.049121e+07 + i -6.066252e+06 ; 4.945460e+06 + i -1.153759e+06 ; 1.034914e+06 + i 1.963539e+04 ; 
-1.202381e+07 + i -2.114667e+04 ; -1.008224e+09 + i 1.250817e+08 ; 6.827229e+07 + i -3.543790e+06 ; -3.259916e+07 + i 2.474837e+06 ; -1.698044e+08 + i 3.850965e+07 ; 3.493139e+07 + i -2.505696e+06 ; 3.260768e+07 + i -3.767575e+06 ; -2.768995e+08 + i -9.245897e+05 ; -5.633592e+08 + i 7.094086e+07 ; 1.449215e+08 + i -2.363921e+07 ; -1.038507e+08 + i 1.704979e+07 ; -1.472060e+08 + i 2.355299e+07 ; -1.844914e+07 + i -1.245523e+06 ; -7.128777e+09 + i 5.275988e+08 ; 1.998432e+07 + i 1.247691e+06 ; -6.500836e+07 + i 3.333718e+06 ; -1.006916e+09 + i 1.250160e+08 ; 1.320500e+07 + i 2.030938e+04 ; 1.283185e+08 + i -6.794917e+06 ; 2.123252e+09 + i -2.677902e+08 ; -1.305680e+08 + i 6.587590e+06 ; 5.451594e+08 + i -7.167545e+07 ; -2.756393e+08 + i -9.418231e+05 ; -3.209685e+07 + i 3.694772e+06 ; -2.256411e+06 + i -3.020851e+05 ; -2.229709e+07 + i 4.465830e+06 ; 5.276008e+06 + i -3.880686e+05 ; -3.045713e+05 + i -3.444339e+05 ; -9.280424e+06 + i 1.821492e+06 ; 1.739368e+06 + i -1.731162e+05 ; 4.437188e+07 + i -5.135099e+06 ; -2.026826e+07 + i 3.786642e+06 ; -5.200852e+06 + i 1.077179e+06 ; 2.445374e+07 + i -2.321095e+06 ; -8.432243e+06 + i 1.628379e+06 ; -5.253725e+05 + i 2.032015e+05 ; -1.049094e+05 + i -5.252999e+05 ; -2.845547e+07 + i 5.668925e+06 ; 3.294845e+06 + i -1.647386e+05 ; 9.535965e+05 + i -4.348121e+05 ; -1.114882e+07 + i 2.078199e+06 ; 1.275068e+06 + i -1.093871e+05 ; 6.932982e+07 + i -6.798284e+06 ; -2.698174e+07 + i 4.712787e+06 ; 1.471923e+06 + i -1.168509e+04 ; 3.418449e+07 + i -2.545688e+06 ; -9.994943e+06 + i 1.844030e+06 ; 8.930465e+05 + i -5.497630e+04 ; 
-1.273716e+08 + i 7.184148e+06 ; -1.252431e+08 + i 7.188327e+06 ; 2.123479e+09 + i -2.677391e+08 ; -5.452148e+08 + i 7.170081e+07 ; -3.094720e+07 + i 3.695395e+06 ; -2.757108e+08 + i -9.905470e+05 ; -3.269958e+07 + i 3.719757e+06 ; -5.408051e+08 + i 7.160660e+07 ; -2.768287e+08 + i -9.079619e+05 ; -1.448852e+08 + i 2.365168e+07 ; -1.413332e+08 + i 2.351340e+07 ; -1.038413e+08 + i 1.705028e+07 ; 1.839085e+07 + i 1.187170e+06 ; 1.938335e+07 + i 1.135310e+06 ; -7.128765e+09 + i 5.276047e+08 ; 6.399381e+07 + i -3.756031e+06 ; 1.265555e+07 + i -7.440817e+04 ; -1.006798e+09 + i 1.250455e+08 ; 1.191002e+07 + i -8.396613e+03 ; 6.548773e+07 + i -3.858721e+06 ; -1.007948e+09 + i 1.251457e+08 ; 3.244416e+07 + i -2.512665e+06 ; 3.351506e+07 + i -2.630695e+06 ; -1.697468e+08 + i 3.851396e+07 ; -6.938793e+07 + i 6.780269e+06 ; 1.403753e+06 + i -2.529220e+04 ; -2.703483e+07 + i 4.696417e+06 ; -3.422098e+07 + i 2.533408e+06 ; 8.543852e+05 + i -5.964963e+04 ; -1.000001e+07 + i 1.842868e+06 ; -4.438289e+07 + i 5.130858e+06 ; -4.996661e+06 + i 1.062511e+06 ; -2.030051e+07 + i 3.777945e+06 ; -2.446656e+07 + i 2.316366e+06 ; -5.051010e+05 + i 1.975038e+05 ; -8.437531e+06 + i 1.627239e+06 ; 1.977464e+04 + i 4.847789e+05 ; 3.167816e+06 + i -1.772388e+05 ; -2.845993e+07 + i 5.667308e+06 ; -9.966043e+05 + i 4.138636e+05 ; 1.225477e+06 + i -1.125232e+05 ; -1.115176e+07 + i 2.077380e+06 ; 2.217592e+06 + i 2.839977e+05 ; 5.068247e+06 + i -4.046190e+05 ; -2.230035e+07 + i 4.464285e+06 ; 2.828636e+05 + i 3.336016e+05 ; 1.671418e+06 + i -1.765204e+05 ; -9.283570e+06 + i 1.820640e+06 ; 
-2.709391e+08 + i -1.550864e+06 ; -3.198869e+07 + i 3.817667e+06 ; 5.728039e+08 + i -7.048634e+07 ; -9.953960e+08 + i 1.240152e+08 ; 1.024355e+07 + i 5.267516e+04 ; -5.803218e+07 + i 3.886127e+06 ; -1.007242e+08 + i 1.663047e+07 ; -1.439768e+08 + i 2.364887e+07 ; 1.503332e+08 + i -2.359935e+07 ; -1.645327e+08 + i 3.769472e+07 ; 2.967145e+07 + i -2.286006e+06 ; -3.034239e+07 + i 2.217123e+06 ; 2.134640e+09 + i -2.680961e+08 ; -1.286566e+08 + i 6.699428e+06 ; 1.276766e+08 + i -7.136703e+06 ; -7.104289e+09 + i 5.264325e+08 ; 1.669780e+07 + i 1.302906e+06 ; -1.741120e+07 + i -1.476830e+06 ; -2.698280e+08 + i -1.344847e+06 ; -5.484385e+08 + i 7.153562e+07 ; 3.291131e+07 + i -3.755584e+06 ; -9.955683e+08 + i 1.239897e+08 ; 6.206888e+07 + i -3.054322e+06 ; -1.065193e+07 + i -1.369548e+05 ; 8.604463e+07 + i -1.788263e+07 ; 1.888146e+07 + i -1.771592e+06 ; -1.693502e+08 + i 2.133349e+07 ; 6.104284e+07 + i -1.071851e+07 ; 1.973436e+06 + i -6.270829e+05 ; -1.927647e+07 + i 4.237387e+06 ; 8.300292e+06 + i -5.649898e+06 ; 7.853540e+07 + i -1.187636e+07 ; -8.232486e+07 + i 1.174682e+07 ; 2.008958e+07 + i -5.962812e+06 ; 1.363755e+07 + i -3.006771e+06 ; -1.437380e+07 + i 3.019267e+06 ; 4.121406e+08 + i -5.065974e+07 ; 3.920179e+07 + i -2.383181e+06 ; -4.229152e+07 + i 1.947388e+06 ; 1.789696e+08 + i -1.650220e+07 ; 3.419485e+06 + i -9.720192e+05 ; -3.778310e+06 + i 9.660840e+05 ; 8.570129e+07 + i -1.794123e+07 ; 1.615154e+08 + i -2.174696e+07 ; -2.029291e+07 + i 1.612734e+06 ; 6.088041e+07 + i -1.075077e+07 ; 1.827479e+07 + i -4.214178e+06 ; -2.219437e+06 + i 6.199336e+05 ; 
3.674436e+07 + i -2.575643e+06 ; -1.698330e+08 + i 3.851034e+07 ; 3.569824e+07 + i -2.413943e+06 ; 1.445464e+07 + i -2.008986e+05 ; -1.002026e+09 + i 1.248018e+08 ; 6.973634e+07 + i -3.439164e+06 ; -1.459171e+08 + i 2.337126e+07 ; -1.038244e+08 + i 1.705669e+07 ; -1.486239e+08 + i 2.360611e+07 ; -2.488483e+07 + i 3.319666e+06 ; -2.718023e+08 + i -1.039379e+06 ; -5.705915e+08 + i 7.044845e+07 ; 7.122857e+07 + i -3.227669e+06 ; -1.007144e+09 + i 1.249648e+08 ; 1.347661e+07 + i 4.069705e+04 ; 2.202154e+07 + i 1.095660e+06 ; -7.121701e+09 + i 5.273079e+08 ; 2.040881e+07 + i 1.291820e+06 ; -5.675105e+08 + i 7.037645e+07 ; -2.756107e+08 + i -9.316417e+05 ; -3.150340e+07 + i 3.739837e+06 ; -1.230968e+08 + i 5.583072e+06 ; 2.128823e+09 + i -2.678546e+08 ; -1.324417e+08 + i 6.258047e+06 ; -1.941100e+07 + i 1.222430e+06 ; -1.011538e+08 + i 1.549783e+07 ; 1.425655e+07 + i -7.593412e+05 ; -1.208740e+07 + i 3.484968e+05 ; -2.227632e+07 + i 4.470810e+06 ; 4.260800e+06 + i -3.887695e+05 ; 8.332069e+07 + i -1.181658e+07 ; -6.627920e+07 + i 8.196256e+06 ; -4.587257e+07 + i 6.573997e+06 ; 4.338154e+07 + i -5.111311e+06 ; -2.025809e+07 + i 3.786988e+06 ; -3.407697e+06 + i 9.854760e+05 ; -2.870007e+07 + i 1.335184e+06 ; -1.966255e+08 + i 2.472007e+07 ; 6.873779e+06 + i -3.567260e+04 ; -1.546407e+07 + i 6.461223e+04 ; -2.842285e+07 + i 5.678373e+06 ; 2.651637e+06 + i -1.652540e+05 ; 1.685858e+08 + i -2.177282e+07 ; -1.035220e+08 + i 8.267493e+06 ; -6.926145e+06 + i 4.930407e+05 ; 7.440908e+07 + i -7.081623e+06 ; -2.696344e+07 + i 4.715185e+06 ; 9.030340e+05 + i 9.345948e+04 ; 
5.680061e+08 + i -7.026602e+07 ; -3.128439e+07 + i 3.617124e+06 ; -2.767881e+08 + i -1.146267e+06 ; 1.169126e+08 + i -6.611100e+06 ; -1.266684e+08 + i 6.985058e+06 ; 2.128674e+09 + i -2.678856e+08 ; 1.459855e+08 + i -2.338703e+07 ; -1.430063e+08 + i 2.352273e+07 ; -1.039928e+08 + i 1.705083e+07 ; 2.534943e+07 + i -3.201187e+06 ; -5.466256e+08 + i 7.140197e+07 ; -2.718250e+08 + i -1.034465e+06 ; -6.465205e+07 + i 4.355888e+06 ; 1.301175e+07 + i -4.289010e+04 ; -1.006689e+09 + i 1.250660e+08 ; -2.225009e+07 + i -1.136361e+06 ; 1.974281e+07 + i 1.155869e+06 ; -7.121556e+09 + i 5.273584e+08 ; -3.608213e+07 + i 2.643317e+06 ; 3.427430e+07 + i -2.533984e+06 ; -1.697005e+08 + i 3.852157e+07 ; -1.426936e+07 + i 2.457189e+05 ; 6.676106e+07 + i -3.806412e+06 ; -1.001743e+09 + i 1.248646e+08 ; -1.682334e+08 + i 2.181972e+07 ; -6.239031e+06 + i 5.901429e+05 ; -1.031910e+08 + i 8.321053e+06 ; -7.417329e+07 + i 7.116884e+06 ; 9.239604e+05 + i 8.982005e+04 ; -2.692173e+07 + i 4.719926e+06 ; -8.306339e+07 + i 1.184723e+07 ; -4.363147e+07 + i 6.674254e+06 ; -6.615443e+07 + i 8.212891e+06 ; -4.319748e+07 + i 5.136508e+06 ; -3.202722e+06 + i 9.752634e+05 ; -2.023175e+07 + i 3.790058e+06 ; 3.002040e+07 + i -1.107852e+06 ; 6.533948e+06 + i -9.656902e+04 ; -1.966627e+08 + i 2.471140e+07 ; 1.605559e+07 + i 5.530837e+04 ; 2.517328e+06 + i -1.822104e+05 ; -2.844068e+07 + i 5.672753e+06 ; 1.995020e+07 + i -1.141445e+06 ; 1.362092e+07 + i -8.380239e+05 ; -1.011663e+08 + i 1.549428e+07 ; 1.239728e+07 + i -2.969871e+05 ; 4.062872e+06 + i -4.065911e+05 ; -2.229406e+07 + i 4.465552e+06 ; 
-1.682202e+08 + i 3.838450e+07 ; 3.581223e+07 + i -2.400875e+06 ; 3.581361e+07 + i -2.400482e+06 ; -1.005377e+08 + i 1.662758e+07 ; -1.486242e+08 + i 2.342585e+07 ; -1.486223e+08 + i 2.342679e+07 ; -1.004411e+09 + i 1.249170e+08 ; 1.354102e+07 + i 3.726158e+04 ; 6.913778e+07 + i -3.444557e+06 ; -2.698090e+08 + i -1.392460e+06 ; -3.139317e+07 + i 3.671469e+06 ; -5.710122e+08 + i 7.048384e+07 ; -1.004409e+09 + i 1.249179e+08 ; 6.913675e+07 + i -3.444817e+06 ; 1.353725e+07 + i 3.665246e+04 ; -2.698114e+08 + i -1.391707e+06 ; -5.710119e+08 + i 7.048425e+07 ; -3.140857e+07 + i 3.665544e+06 ; -7.123380e+09 + i 5.275518e+08 ; 2.031277e+07 + i 1.280283e+06 ; 2.030545e+07 + i 1.279351e+06 ; 2.134690e+09 + i -2.680965e+08 ; -1.315821e+08 + i 6.383725e+06 ; -1.315869e+08 + i 6.381490e+06 ; 2.002409e+07 + i -5.973585e+06 ; -1.544198e+07 + i 3.147013e+06 ; -1.544188e+07 + i 3.147012e+06 ; 1.950884e+07 + i -4.458247e+06 ; -4.031453e+06 + i 9.478671e+05 ; -4.031403e+06 + i 9.478894e+05 ; 6.094736e+07 + i -1.073444e+07 ; 9.120918e+05 + i 3.183905e+05 ; -2.332765e+07 + i 4.435307e+06 ; 4.052611e+07 + i -6.058272e+06 ; 1.068131e+06 + i 2.338528e+04 ; -5.237272e+06 + i 1.172014e+06 ; 6.094863e+07 + i -1.073380e+07 ; -2.332816e+07 + i 4.435175e+06 ; 9.109961e+05 + i 3.177685e+05 ; 4.052635e+07 + i -6.058069e+06 ; -5.237231e+06 + i 1.172029e+06 ; 1.067770e+06 + i 2.326792e+04 ; 1.789999e+08 + i -1.649637e+07 ; -4.631114e+05 + i 5.121656e+05 ; -4.609919e+05 + i 5.125040e+05 ; 8.640103e+07 + i -6.434334e+06 ; 9.389358e+05 + i 5.767510e+04 ; 9.388959e+05 + i 5.767821e+04 ; 
-3.305841e+07 + i 3.724234e+06 ; -2.779677e+08 + i -1.061573e+06 ; 5.724272e+08 + i -7.038430e+07 ; -1.467036e+08 + i 2.365901e+07 ; -1.040688e+08 + i 1.704005e+07 ; 1.496023e+08 + i -2.348028e+07 ; 1.213296e+07 + i 3.622114e+04 ; -1.007887e+09 + i 1.251472e+08 ; -6.331039e+07 + i 4.131872e+06 ; 3.301987e+07 + i -2.419378e+06 ; -1.697113e+08 + i 3.851797e+07 ; -3.495924e+07 + i 2.472664e+06 ; -1.291593e+08 + i 6.983288e+06 ; 2.123060e+09 + i -2.678297e+08 ; 1.264611e+08 + i -7.089415e+06 ; -5.519121e+08 + i 7.155535e+07 ; -2.758703e+08 + i -1.002503e+06 ; 3.205510e+07 + i -3.681002e+06 ; 1.865459e+07 + i 1.247335e+06 ; -7.128705e+09 + i 5.276229e+08 ; -2.067782e+07 + i -1.465552e+06 ; 6.504428e+07 + i -3.612106e+06 ; -1.006778e+09 + i 1.250532e+08 ; -1.342406e+07 + i -5.805497e+04 ; -4.493251e+07 + i 5.110265e+06 ; -2.030170e+07 + i 3.780309e+06 ; 5.264372e+06 + i -1.083945e+06 ; -2.476510e+07 + i 2.299742e+06 ; -8.436807e+06 + i 1.627890e+06 ; 5.293501e+05 + i -2.056273e+05 ; 2.267425e+06 + i 3.014983e+05 ; -2.229616e+07 + i 4.466101e+06 ; -5.354161e+06 + i 3.784381e+05 ; 2.970580e+05 + i 3.432227e+05 ; -9.281931e+06 + i 1.821150e+06 ; -1.766716e+06 + i 1.704678e+05 ; -7.021268e+07 + i 6.739509e+06 ; -2.704180e+07 + i 4.696821e+06 ; -1.528707e+06 + i 3.988990e+02 ; -3.462238e+07 + i 2.504786e+06 ; -1.000077e+07 + i 1.843082e+06 ; -9.124562e+05 + i 5.273357e+04 ; 5.487025e+04 + i 5.022926e+05 ; -2.845837e+07 + i 5.668296e+06 ; -3.351423e+06 + i 1.559134e+05 ; -9.895524e+05 + i 4.236286e+05 ; -1.114973e+07 + i 2.077921e+06 ; -1.296246e+06 + i 1.070267e+05 ; 
-3.306665e+07 + i 3.723627e+06 ; 5.724278e+08 + i -7.038423e+07 ; -2.779656e+08 + i -1.061832e+06 ; -1.467029e+08 + i 2.365905e+07 ; 1.496031e+08 + i -2.348021e+07 ; -1.040633e+08 + i 1.703982e+07 ; -1.291665e+08 + i 6.981560e+06 ; 1.264633e+08 + i -7.088528e+06 ; 2.123096e+09 + i -2.678160e+08 ; -5.519115e+08 + i 7.155555e+07 ; 3.205616e+07 + i -3.680482e+06 ; -2.758476e+08 + i -9.971192e+05 ; 1.212880e+07 + i 3.623527e+04 ; -6.330589e+07 + i 4.133884e+06 ; -1.007821e+09 + i 1.251715e+08 ; 3.302753e+07 + i -2.417162e+06 ; -3.495657e+07 + i 2.473604e+06 ; -1.696952e+08 + i 3.852054e+07 ; 1.863433e+07 + i 1.243196e+06 ; -2.067786e+07 + i -1.465601e+06 ; -7.128702e+09 + i 5.276267e+08 ; 6.504596e+07 + i -3.611557e+06 ; -1.342358e+07 + i -5.802920e+04 ; -1.006754e+09 + i 1.250555e+08 ; -4.493026e+07 + i 5.110454e+06 ; 5.264297e+06 + i -1.083979e+06 ; -2.030061e+07 + i 3.780452e+06 ; -2.476446e+07 + i 2.299834e+06 ; 5.293067e+05 + i -2.056485e+05 ; -8.436402e+06 + i 1.627910e+06 ; -7.021311e+07 + i 6.739442e+06 ; -1.528496e+06 + i 4.982548e+02 ; -2.703922e+07 + i 4.697524e+06 ; -3.462254e+07 + i 2.504769e+06 ; -9.123470e+05 + i 5.277354e+04 ; -1.000006e+07 + i 1.843212e+06 ; 2.271340e+06 + i 3.021526e+05 ; -5.354006e+06 + i 3.784974e+05 ; -2.229483e+07 + i 4.466046e+06 ; 2.992070e+05 + i 3.437048e+05 ; -1.766718e+06 + i 1.704600e+05 ; -9.282082e+06 + i 1.821009e+06 ; 5.778307e+04 + i 5.026445e+05 ; -3.351402e+06 + i 1.559406e+05 ; -2.845648e+07 + i 5.668534e+06 ; -9.888216e+05 + i 4.237248e+05 ; -1.296158e+06 + i 1.070516e+05 ; -1.114988e+07 + i 2.077803e+06 ; 
-1.008732e+08 + i 1.662641e+07 ; 1.521596e+08 + i -2.359930e+07 ; 1.521572e+08 + i -2.360039e+07 ; -1.644660e+08 + i 3.770959e+07 ; -3.150875e+07 + i 1.991629e+06 ; -3.151030e+07 + i 1.991201e+06 ; -2.709162e+08 + i -1.537852e+06 ; 3.307453e+07 + i -3.683371e+06 ; 5.805696e+08 + i -7.016253e+07 ; -9.953664e+08 + i 1.240234e+08 ; -1.067222e+07 + i -1.259947e+05 ; -5.904717e+07 + i 3.716392e+06 ; -2.709238e+08 + i -1.538357e+06 ; 5.805699e+08 + i -7.016278e+07 ; 3.309271e+07 + i -3.676632e+06 ; -9.953545e+08 + i 1.240269e+08 ; -5.904620e+07 + i 3.716536e+06 ; -1.066737e+07 + i -1.250809e+05 ; 2.134221e+09 + i -2.681944e+08 ; 1.293195e+08 + i -6.932725e+06 ; 1.293253e+08 + i -6.930217e+06 ; -7.104245e+09 + i 5.264436e+08 ; -1.762165e+07 + i -1.526036e+06 ; -1.761298e+07 + i -1.524609e+06 ; 8.404122e+06 + i -5.640344e+06 ; -8.309018e+07 + i 1.178895e+07 ; -8.308905e+07 + i 1.178935e+07 ; 2.015510e+07 + i -5.954703e+06 ; -1.449449e+07 + i 3.038079e+06 ; -1.449398e+07 + i 3.038262e+06 ; 8.601858e+07 + i -1.788901e+07 ; -2.000593e+07 + i 1.690628e+06 ; -1.716421e+08 + i 2.125214e+07 ; 6.102969e+07 + i -1.072198e+07 ; -2.164886e+06 + i 6.338139e+05 ; -1.953976e+07 + i 4.252997e+06 ; 8.602645e+07 + i -1.788779e+07 ; -1.716426e+08 + i 2.125203e+07 ; -2.001028e+07 + i 1.688783e+06 ; 6.103325e+07 + i -1.072142e+07 ; -1.953953e+07 + i 4.253067e+06 ; -2.167195e+06 + i 6.331365e+05 ; 4.121553e+08 + i -5.065712e+07 ; -4.279997e+07 + i 1.903219e+06 ; -4.280042e+07 + i 1.902755e+06 ; 1.789708e+08 + i -1.650193e+07 ; -3.823826e+06 + i 9.730121e+05 ; -3.826333e+06 + i 9.724709e+05 ; 
1.477728e+08 + i -2.336004e+07 ; -1.041872e+08 + i 1.704485e+07 ; 1.511277e+08 + i -2.348317e+07 ; 2.539074e+07 + i -3.186294e+06 ; -2.728966e+08 + i -1.176102e+06 ; 5.787298e+08 + i -6.998819e+07 ; -3.735375e+07 + i 2.403750e+06 ; -1.696541e+08 + i 3.853108e+07 ; -3.635932e+07 + i 2.239778e+06 ; -1.459969e+07 + i 1.850644e+05 ; -1.001659e+09 + i 1.248724e+08 ; -6.495320e+07 + i 4.013261e+06 ; 5.751108e+08 + i -6.995027e+07 ; -2.768604e+08 + i -1.143143e+06 ; 3.213914e+07 + i -3.585996e+06 ; 1.187595e+08 + i -6.380219e+06 ; 2.128294e+09 + i -2.679667e+08 ; 1.280802e+08 + i -6.832260e+06 ; -6.607969e+07 + i 4.151710e+06 ; -1.006670e+09 + i 1.250750e+08 ; -1.366137e+07 + i -6.566126e+04 ; -2.249156e+07 + i -1.180475e+06 ; -7.121503e+09 + i 5.273730e+08 ; -2.100211e+07 + i -1.474844e+06 ; -8.425865e+07 + i 1.179486e+07 ; -6.621507e+07 + i 8.207463e+06 ; 4.644974e+07 + i -6.570676e+06 ; -4.382125e+07 + i 5.093529e+06 ; -2.022983e+07 + i 3.791735e+06 ; 3.445146e+06 + i -9.927403e+05 ; 2.000177e+07 + i -1.159208e+06 ; -1.011697e+08 + i 1.549335e+07 ; -1.436809e+07 + i 7.401099e+05 ; 1.245954e+07 + i -2.976506e+05 ; -2.229011e+07 + i 4.466837e+06 ; -4.318572e+06 + i 3.832041e+05 ; -1.703910e+08 + i 2.173022e+07 ; -1.031995e+08 + i 8.316924e+06 ; 6.889364e+06 + i -5.015141e+05 ; -7.513146e+07 + i 7.044128e+06 ; -2.691992e+07 + i 4.720079e+06 ; -9.274968e+05 + i -9.813465e+04 ; 3.021789e+07 + i -1.095067e+06 ; -1.966428e+08 + i 2.471513e+07 ; -6.954539e+06 + i 2.022713e+04 ; 1.616926e+07 + i 6.958548e+04 ; -2.843232e+07 + i 5.674525e+06 ; -2.689057e+06 + i 1.606716e+05 ; 
