-4.293732e+10 + i 1.302848e+10 ; 8.928396e+07 + i 9.799561e+06 ; 8.927996e+07 + i 9.802029e+06 ; 1.958335e+10 + i -9.476726e+09 ; 2.844258e+08 + i 5.609212e+08 ; 2.844279e+08 + i 5.609152e+08 ; -9.366142e+09 + i 5.239167e+09 ; -1.683008e+08 + i -2.976724e+08 ; 5.506552e+07 + i -1.707264e+07 ; 6.392029e+08 + i -2.835772e+09 ; 5.243906e+09 + i -2.563957e+09 ; 1.726962e+08 + i 2.188812e+08 ; -9.366145e+09 + i 5.239169e+09 ; 5.508606e+07 + i -1.707060e+07 ; -1.682999e+08 + i -2.976704e+08 ; 6.391971e+08 + i -2.835766e+09 ; 1.727414e+08 + i 2.189080e+08 ; 5.243905e+09 + i -2.563955e+09 ; -2.844171e+09 + i 2.587816e+09 ; -1.233501e+08 + i -1.797674e+08 ; -1.233509e+08 + i -1.797615e+08 ; -8.188682e+08 + i -8.982754e+08 ; 1.777733e+09 + i -1.165198e+09 ; 1.777732e+09 + i -1.165195e+09 ; 1.146288e+09 + i -1.525941e+08 ; 3.206222e+07 + i 2.262048e+07 ; 3.206339e+07 + i 2.261873e+07 ; 4.464444e+08 + i -1.780688e+07 ; 1.261389e+07 + i 1.741961e+06 ; 1.261381e+07 + i 1.741667e+06 ; 7.530982e+08 + i -2.748622e+08 ; 3.475514e+08 + i -2.699605e+08 ; 2.593215e+07 + i 1.250051e+07 ; 3.741171e+08 + i -6.065572e+07 ; 1.011659e+08 + i -1.060645e+08 ; 1.072871e+07 + i -2.488936e+05 ; 7.530972e+08 + i -2.748597e+08 ; 2.594028e+07 + i 1.250491e+07 ; 3.475516e+08 + i -2.699600e+08 ; 3.741168e+08 + i -6.065562e+07 ; 1.073239e+07 + i -2.479622e+05 ; 1.011660e+08 + i -1.060642e+08 ; 5.007314e+08 + i -2.922955e+08 ; 2.533835e+08 + i -2.169891e+08 ; 2.533837e+08 + i -2.169890e+08 ; 3.104719e+08 + i -8.625671e+07 ; 8.324356e+07 + i -9.318964e+07 ; 8.324349e+07 + i -9.318930e+07 ; 
8.968286e+07 + i 1.438740e+07 ; -4.293526e+10 + i 1.301496e+10 ; 8.973293e+07 + i 1.095714e+07 ; -1.659265e+08 + i -2.897376e+08 ; -9.361670e+09 + i 5.232144e+09 ; 5.535107e+07 + i -1.610323e+07 ; 2.838713e+08 + i 5.677980e+08 ; 1.957401e+10 + i -9.516013e+09 ; 2.845061e+08 + i 5.631023e+08 ; 5.250219e+09 + i -2.544754e+09 ; 6.287143e+08 + i -2.863866e+09 ; 1.727639e+08 + i 2.209142e+08 ; 5.559231e+07 + i -1.262081e+07 ; -9.365012e+09 + i 5.226341e+09 ; -1.670578e+08 + i -2.963440e+08 ; -1.208128e+08 + i -1.724600e+08 ; -2.840516e+09 + i 2.581322e+09 ; -1.227688e+08 + i -1.787928e+08 ; 1.724452e+08 + i 2.256043e+08 ; 6.278705e+08 + i -2.869146e+09 ; 5.248128e+09 + i -2.558491e+09 ; 1.784111e+09 + i -1.147756e+09 ; -8.303523e+08 + i -9.215809e+08 ; 1.781004e+09 + i -1.160754e+09 ; 2.337569e+07 + i 2.007588e+07 ; -4.201080e+08 + i 3.268727e+08 ; -1.005609e+05 + i -1.341558e+07 ; 1.252544e+07 + i 1.846501e+07 ; -1.636637e+08 + i 1.300202e+08 ; -1.840868e+06 + i -7.374689e+06 ; 4.548934e+08 + i -6.357331e+07 ; -3.358463e+08 + i 7.636710e+07 ; 5.798809e+06 + i -3.176568e+06 ; 1.569549e+08 + i 1.648183e+07 ; -1.547385e+08 + i 7.451485e+07 ; 3.794027e+05 + i -4.323653e+06 ; 1.730253e+07 + i 8.011747e+06 ; -3.411349e+08 + i 2.784231e+08 ; -1.812590e+07 + i -2.744093e+07 ; 1.222373e+07 + i 1.386687e+07 ; -1.457869e+08 + i 1.204810e+08 ; -8.313600e+06 + i -1.089034e+07 ; 3.419482e+08 + i -6.857725e+07 ; -2.934636e+08 + i 9.018540e+07 ; 8.984451e+07 + i -8.306199e+07 ; 1.360852e+08 + i 7.831828e+06 ; -1.406032e+08 + i 7.346260e+07 ; 1.999830e+07 + i -2.833249e+07 ; 
8.967595e+07 + i 1.439317e+07 ; 8.973278e+07 + i 1.095697e+07 ; -4.293525e+10 + i 1.301495e+10 ; -1.659262e+08 + i -2.897369e+08 ; 5.535085e+07 + i -1.610350e+07 ; -9.361687e+09 + i 5.232154e+09 ; 5.558751e+07 + i -1.261656e+07 ; -1.670550e+08 + i -2.963497e+08 ; -9.365183e+09 + i 5.226242e+09 ; -1.208133e+08 + i -1.724562e+08 ; -1.227675e+08 + i -1.787972e+08 ; -2.840611e+09 + i 2.581310e+09 ; 2.838704e+08 + i 5.677968e+08 ; 2.845077e+08 + i 5.630990e+08 ; 1.957392e+10 + i -9.516057e+09 ; 5.250219e+09 + i -2.544754e+09 ; 1.727650e+08 + i 2.209113e+08 ; 6.286472e+08 + i -2.863880e+09 ; 1.724387e+08 + i 2.256045e+08 ; 5.248128e+09 + i -2.558490e+09 ; 6.278698e+08 + i -2.869140e+09 ; 1.784111e+09 + i -1.147757e+09 ; 1.781004e+09 + i -1.160755e+09 ; -8.303639e+08 + i -9.215653e+08 ; 2.337749e+07 + i 2.007422e+07 ; -1.004881e+05 + i -1.341557e+07 ; -4.201098e+08 + i 3.268728e+08 ; 1.252572e+07 + i 1.846503e+07 ; -1.840861e+06 + i -7.374709e+06 ; -1.636642e+08 + i 1.300208e+08 ; 1.730454e+07 + i 8.010084e+06 ; -1.812586e+07 + i -2.744129e+07 ; -3.411388e+08 + i 2.784242e+08 ; 1.222436e+07 + i 1.386676e+07 ; -8.313653e+06 + i -1.089041e+07 ; -1.457865e+08 + i 1.204825e+08 ; 4.548933e+08 + i -6.357344e+07 ; 5.799042e+06 + i -3.177110e+06 ; -3.358560e+08 + i 7.636468e+07 ; 1.569549e+08 + i 1.648178e+07 ; 3.794727e+05 + i -4.323940e+06 ; -1.547430e+08 + i 7.451421e+07 ; 3.419501e+08 + i -6.857862e+07 ; 8.984450e+07 + i -8.306197e+07 ; -2.934633e+08 + i 9.018438e+07 ; 1.360856e+08 + i 7.831689e+06 ; 1.999825e+07 + i -2.833251e+07 ; -1.406033e+08 + i 7.346216e+07 ; 
1.958344e+10 + i -9.476789e+09 ; -2.851504e+08 + i -5.666269e+08 ; -2.851528e+08 + i -5.666214e+08 ; -4.287399e+10 + i 1.312190e+10 ; -8.776056e+07 + i -1.931177e+07 ; -8.775652e+07 + i -1.931408e+07 ; 6.392325e+08 + i -2.835795e+09 ; -5.237902e+09 + i 2.545755e+09 ; -1.738298e+08 + i -2.253821e+08 ; -9.312860e+09 + i 5.299412e+09 ; 1.539178e+08 + i 2.721638e+08 ; -5.420694e+07 + i 7.476671e+06 ; 6.392254e+08 + i -2.835785e+09 ; -1.738733e+08 + i -2.254090e+08 ; -5.237901e+09 + i 2.545753e+09 ; -9.312860e+09 + i 5.299418e+09 ; -5.422584e+07 + i 7.474525e+06 ; 1.539173e+08 + i 2.721619e+08 ; -8.188594e+08 + i -8.982750e+08 ; -1.781262e+09 + i 1.151142e+09 ; -1.781261e+09 + i 1.151139e+09 ; -2.799211e+09 + i 2.626847e+09 ; 1.100119e+08 + i 1.572441e+08 ; 1.100135e+08 + i 1.572395e+08 ; 3.733531e+09 + i -1.875088e+09 ; 1.024210e+08 + i 1.865385e+08 ; 1.024219e+08 + i 1.865369e+08 ; 1.146220e+09 + i -1.525915e+08 ; 5.535481e+07 + i 5.014195e+07 ; 5.535400e+07 + i 5.014193e+07 ; 1.359412e+09 + i -1.064557e+09 ; 1.596686e+09 + i -8.102000e+08 ; 7.870411e+07 + i 1.145520e+08 ; 7.530782e+08 + i -2.748427e+08 ; 3.342093e+08 + i -2.874018e+08 ; 4.511935e+07 + i 3.463349e+07 ; 1.359417e+09 + i -1.064562e+09 ; 7.871766e+07 + i 1.145601e+08 ; 1.596685e+09 + i -8.101988e+08 ; 7.530804e+08 + i -2.748450e+08 ; 4.512854e+07 + i 3.463632e+07 ; 3.342092e+08 + i -2.874006e+08 ; 5.167996e+08 + i -6.465027e+08 ; 8.829963e+08 + i -5.200814e+08 ; 8.829959e+08 + i -5.200801e+08 ; 5.007408e+08 + i -2.922769e+08 ; 2.448614e+08 + i -2.237139e+08 ; 2.448607e+08 + i -2.237122e+08 ; 
1.694134e+08 + i 3.030682e+08 ; -9.361749e+09 + i 5.232189e+09 ; 5.505019e+07 + i -1.661502e+07 ; -7.472399e+07 + i 5.408639e+06 ; -4.292207e+10 + i 1.304192e+10 ; 8.919930e+07 + i 9.389957e+06 ; -5.185856e+09 + i 2.547479e+09 ; 6.287171e+08 + i -2.863863e+09 ; 1.720976e+08 + i 2.196111e+08 ; -2.592170e+08 + i -5.146721e+08 ; 1.957193e+10 + i -9.501002e+09 ; 2.839426e+08 + i 5.599718e+08 ; 1.250189e+08 + i 1.855642e+08 ; -2.840543e+09 + i 2.581352e+09 ; -1.225842e+08 + i -1.787535e+08 ; -4.242919e+07 + i 2.871575e+07 ; -9.352618e+09 + i 5.250850e+09 ; -1.693109e+08 + i -2.984144e+08 ; -1.758232e+09 + i 1.161458e+09 ; -8.303513e+08 + i -9.215842e+08 ; 1.775768e+09 + i -1.158029e+09 ; -1.515032e+08 + i -1.854971e+08 ; 6.266312e+08 + i -2.853940e+09 ; 5.229675e+09 + i -2.556848e+09 ; -5.890601e+07 + i -1.205713e+08 ; -1.823801e+09 + i 9.841516e+08 ; 9.054796e+06 + i -1.628973e+07 ; 1.194845e+07 + i -3.566374e+07 ; -4.200862e+08 + i 3.268952e+08 ; 1.258375e+06 + i -1.164180e+07 ; 1.601900e+09 + i -7.922876e+08 ; -5.190547e+08 + i -1.874054e+08 ; 3.239712e+07 + i 3.889878e+07 ; 4.723503e+08 + i -3.976340e+07 ; -3.358473e+08 + i 7.637386e+07 ; 1.071515e+07 + i 2.342578e+06 ; -5.100216e+07 + i -9.281126e+07 ; -1.133779e+09 + i 7.291745e+08 ; -3.834857e+07 + i -6.442798e+07 ; 5.765678e+06 + i -3.671286e+07 ; -3.411136e+08 + i 2.784410e+08 ; -1.887433e+07 + i -2.497925e+07 ; 8.884847e+08 + i -5.089685e+08 ; -5.277432e+08 + i -3.389079e+07 ; 5.044357e+08 + i -3.110918e+08 ; 3.511441e+08 + i -6.892144e+07 ; -2.934638e+08 + i 9.019075e+07 ; 8.438080e+07 + i -9.128049e+07 ; 
1.694138e+08 + i 3.030680e+08 ; 5.504992e+07 + i -1.661529e+07 ; -9.361766e+09 + i 5.232201e+09 ; -7.471920e+07 + i 5.404445e+06 ; 8.919921e+07 + i 9.389776e+06 ; -4.292207e+10 + i 1.304191e+10 ; 1.250205e+08 + i 1.855618e+08 ; -1.225829e+08 + i -1.787579e+08 ; -2.840639e+09 + i 2.581342e+09 ; -4.242579e+07 + i 2.871277e+07 ; -1.693083e+08 + i -2.984202e+08 ; -9.352792e+09 + i 5.250751e+09 ; -5.185856e+09 + i 2.547479e+09 ; 1.720987e+08 + i 2.196082e+08 ; 6.286509e+08 + i -2.863875e+09 ; -2.592164e+08 + i -5.146710e+08 ; 2.839443e+08 + i 5.599683e+08 ; 1.957183e+10 + i -9.501043e+09 ; -1.758231e+09 + i 1.161459e+09 ; 1.775768e+09 + i -1.158029e+09 ; -8.303605e+08 + i -9.215628e+08 ; -1.515000e+08 + i -1.854972e+08 ; 5.229675e+09 + i -2.556848e+09 ; 6.266304e+08 + i -2.853935e+09 ; -5.890642e+07 + i -1.205718e+08 ; 9.054912e+06 + i -1.628967e+07 ; -1.823797e+09 + i 9.841474e+08 ; 1.194724e+07 + i -3.566269e+07 ; 1.258377e+06 + i -1.164184e+07 ; -4.200858e+08 + i 3.268952e+08 ; -5.100206e+07 + i -9.281174e+07 ; -3.834820e+07 + i -6.442892e+07 ; -1.133793e+09 + i 7.291687e+08 ; 5.765100e+06 + i -3.671212e+07 ; -1.887433e+07 + i -2.497962e+07 ; -3.411142e+08 + i 2.784429e+08 ; 1.601900e+09 + i -7.922879e+08 ; 3.239760e+07 + i 3.889781e+07 ; -5.190751e+08 + i -1.874140e+08 ; 4.723501e+08 + i -3.976369e+07 ; 1.071533e+07 + i 2.341995e+06 ; -3.358572e+08 + i 7.637149e+07 ; 8.884845e+08 + i -5.089694e+08 ; 5.044357e+08 + i -3.110917e+08 ; -5.277398e+08 + i -3.389423e+07 ; 3.511434e+08 + i -6.892158e+07 ; 8.438074e+07 + i -9.128053e+07 ; -2.934634e+08 + i 9.018973e+07 ; 
-9.366314e+09 + i 5.239162e+09 ; 1.607367e+08 + i 3.024448e+08 ; 5.488562e+07 + i -1.701246e+07 ; 6.381939e+08 + i -2.834317e+09 ; -5.183411e+09 + i 2.537904e+09 ; 1.721368e+08 + i 2.182030e+08 ; -4.293730e+10 + i 1.302843e+10 ; -8.927317e+07 + i -1.028191e+07 ; 8.899793e+07 + i 9.767942e+06 ; 1.958312e+10 + i -9.476896e+09 ; -2.756836e+08 + i -5.626983e+08 ; 2.835567e+08 + i 5.591302e+08 ; -2.844311e+09 + i 2.587797e+09 ; 1.214510e+08 + i 1.793949e+08 ; -1.229674e+08 + i -1.791908e+08 ; -8.190989e+08 + i -8.976696e+08 ; -1.756976e+09 + i 1.153004e+09 ; 1.772098e+09 + i -1.161584e+09 ; -9.366151e+09 + i 5.239147e+09 ; -5.496385e+07 + i 1.673605e+07 ; -1.677806e+08 + i -2.967278e+08 ; 6.391390e+08 + i -2.835768e+09 ; -1.703174e+08 + i -2.180793e+08 ; 5.227310e+09 + i -2.556056e+09 ; 7.531050e+08 + i -2.747320e+08 ; -3.433248e+08 + i 2.668143e+08 ; 2.584718e+07 + i 1.246344e+07 ; 3.740928e+08 + i -6.062118e+07 ; -9.990594e+07 + i 1.047762e+08 ; 1.069385e+07 + i -2.470435e+05 ; 1.146287e+09 + i -1.525911e+08 ; -3.147608e+07 + i -2.280181e+07 ; 3.196556e+07 + i 2.254324e+07 ; 4.464492e+08 + i -1.780106e+07 ; -1.239326e+07 + i -1.899756e+06 ; 1.257476e+07 + i 1.734534e+06 ; 5.007232e+08 + i -2.922105e+08 ; -2.503019e+08 + i 2.144514e+08 ; 2.525789e+08 + i -2.163143e+08 ; 3.104517e+08 + i -8.622875e+07 ; -8.220577e+07 + i 9.205717e+07 ; 8.297847e+07 + i -9.289860e+07 ; 7.530959e+08 + i -2.748561e+08 ; -2.549161e+07 + i -1.268729e+07 ; 3.464484e+08 + i -2.691215e+08 ; 3.741206e+08 + i -6.065170e+07 ; -1.054781e+07 + i 9.366064e+04 ; 1.008439e+08 + i -1.057336e+08 ; 
-2.772790e+08 + i -5.743395e+08 ; 1.957405e+10 + i -9.516131e+09 ; -2.836330e+08 + i -5.613234e+08 ; -5.234661e+09 + i 2.537843e+09 ; 6.277271e+08 + i -2.862425e+09 ; -1.722332e+08 + i -2.202126e+08 ; -8.998337e+07 + i -1.465143e+07 ; -4.293526e+10 + i 1.301493e+10 ; -8.947795e+07 + i -1.090234e+07 ; 1.596568e+08 + i 2.970450e+08 ; -9.361446e+09 + i 5.232300e+09 ; -5.519306e+07 + i 1.606855e+07 ; -1.713682e+08 + i -2.266603e+08 ; 6.279692e+08 + i -2.869115e+09 ; -5.231522e+09 + i 2.550608e+09 ; -1.778631e+09 + i 1.144617e+09 ; -8.305821e+08 + i -9.209554e+08 ; -1.775360e+09 + i 1.157159e+09 ; -5.584167e+07 + i 1.245116e+07 ; -9.365007e+09 + i 5.226325e+09 ; 1.665425e+08 + i 2.954071e+08 ; 1.198698e+08 + i 1.736415e+08 ; -2.840455e+09 + i 2.581325e+09 ; 1.223893e+08 + i 1.782274e+08 ; -4.538542e+08 + i 6.363044e+07 ; -3.359778e+08 + i 7.645138e+07 ; -5.780803e+06 + i 3.166261e+06 ; -1.566518e+08 + i -1.634446e+07 ; -1.547663e+08 + i 7.455528e+07 ; -3.783015e+05 + i 4.310030e+06 ; -2.374978e+07 + i -1.972794e+07 ; -4.201302e+08 + i 3.268672e+08 ; 9.895771e+04 + i 1.337483e+07 ; -1.267723e+07 + i -1.832355e+07 ; -1.636752e+08 + i 1.300155e+08 ; 1.834813e+06 + i 7.352046e+06 ; -3.411429e+08 + i 6.858253e+07 ; -2.935492e+08 + i 9.027045e+07 ; -8.955899e+07 + i 8.280346e+07 ; -1.358157e+08 + i -7.721947e+06 ; -1.406244e+08 + i 7.350059e+07 ; -1.993444e+07 + i 2.824399e+07 ; -1.753651e+07 + i -7.735269e+06 ; -3.411463e+08 + i 2.784240e+08 ; 1.806970e+07 + i 2.735392e+07 ; -1.234311e+07 + i -1.373745e+07 ; -1.457952e+08 + i 1.204780e+08 ; 8.287781e+06 + i 1.085580e+07 ; 
5.547224e+07 + i -1.252561e+07 ; 1.652964e+08 + i 2.929659e+08 ; -9.365273e+09 + i 5.226300e+09 ; -1.204663e+08 + i -1.719349e+08 ; 1.214605e+08 + i 1.767340e+08 ; -2.840644e+09 + i 2.581350e+09 ; 8.945656e+07 + i 1.436261e+07 ; -8.879920e+07 + i -1.079909e+07 ; -4.293526e+10 + i 1.301493e+10 ; -1.654505e+08 + i -2.888905e+08 ; -5.482895e+07 + i 1.589737e+07 ; -9.361708e+09 + i 5.232154e+09 ; 1.707706e+08 + i 2.263194e+08 ; -5.188497e+09 + i 2.531873e+09 ; 6.278729e+08 + i -2.869136e+09 ; 1.778448e+09 + i -1.144106e+09 ; -1.760123e+09 + i 1.148062e+09 ; -8.303600e+08 + i -9.215617e+08 ; 2.831595e+08 + i 5.662117e+08 ; -2.816334e+08 + i -5.567595e+08 ; 1.957391e+10 + i -9.516057e+09 ; 5.235135e+09 + i -2.537550e+09 ; -1.698376e+08 + i -2.197895e+08 ; 6.286444e+08 + i -2.863879e+09 ; 1.725760e+07 + i 7.981285e+06 ; 1.792552e+07 + i 2.711708e+07 ; -3.411396e+08 + i 2.784266e+08 ; 1.218852e+07 + i 1.382344e+07 ; 8.219602e+06 + i 1.076021e+07 ; -1.457861e+08 + i 1.204827e+08 ; 2.330131e+07 + i 2.001259e+07 ; 8.890813e+04 + i 1.325253e+07 ; -4.201129e+08 + i 3.268732e+08 ; 1.248665e+07 + i 1.840927e+07 ; 1.814876e+06 + i 7.286267e+06 ; -1.636654e+08 + i 1.300217e+08 ; 3.409487e+08 + i -6.837342e+07 ; -8.874393e+07 + i 8.208569e+07 ; -2.934637e+08 + i 9.018420e+07 ; 1.356852e+08 + i 7.806005e+06 ; -1.974358e+07 + i 2.798991e+07 ; -1.406035e+08 + i 7.346207e+07 ; 4.535753e+08 + i -6.340702e+07 ; -5.656885e+06 + i 3.028047e+06 ; -3.358561e+08 + i 7.636470e+07 ; 1.565025e+08 + i 1.642848e+07 ; -3.536244e+05 + i 4.234728e+06 ; -1.547429e+08 + i 7.451431e+07 ; 
6.386181e+08 + i -2.833580e+09 ; 5.179457e+09 + i -2.518441e+09 ; -1.732237e+08 + i -2.247242e+08 ; -9.312881e+09 + i 5.299359e+09 ; -1.485845e+08 + i -2.817608e+08 ; -5.403326e+07 + i 7.436410e+06 ; 1.958309e+10 + i -9.476896e+09 ; 2.784582e+08 + i 5.729456e+08 ; -2.841684e+08 + i -5.648929e+08 ; -4.287398e+10 + i 1.312191e+10 ; 8.694691e+07 + i 1.908854e+07 ; -8.747662e+07 + i -1.926877e+07 ; -8.188763e+08 + i -8.974203e+08 ; 1.760991e+09 + i -1.138704e+09 ; -1.775902e+09 + i 1.147228e+09 ; -2.799314e+09 + i 2.626813e+09 ; -1.088008e+08 + i -1.578571e+08 ; 1.096412e+08 + i 1.567670e+08 ; 6.391609e+08 + i -2.835760e+09 ; 1.720016e+08 + i 2.252661e+08 ; -5.221991e+09 + i 2.536879e+09 ; -9.312857e+09 + i 5.299416e+09 ; 5.407077e+07 + i -7.374345e+06 ; 1.533893e+08 + i 2.713392e+08 ; 1.359583e+09 + i -1.065252e+09 ; -1.579401e+09 + i 8.022375e+08 ; 7.843115e+07 + i 1.142130e+08 ; 7.531583e+08 + i -2.750155e+08 ; -3.306405e+08 + i 2.846965e+08 ; 4.496921e+07 + i 3.453675e+07 ; 3.733545e+09 + i -1.875086e+09 ; -1.021041e+08 + i -1.820353e+08 ; 1.020730e+08 + i 1.859685e+08 ; 1.146244e+09 + i -1.525904e+08 ; -5.485777e+07 + i -4.893471e+07 ; 5.517329e+07 + i 4.999302e+07 ; 5.168470e+08 + i -6.469152e+08 ; -8.734373e+08 + i 5.149206e+08 ; 8.803306e+08 + i -5.182995e+08 ; 5.007871e+08 + i -2.924147e+08 ; -2.422386e+08 + i 2.216034e+08 ; 2.441360e+08 + i -2.229699e+08 ; 1.359428e+09 + i -1.064563e+09 ; -7.816385e+07 + i -1.120795e+08 ; 1.591842e+09 + i -8.073870e+08 ; 7.530961e+08 + i -2.748477e+08 ; -4.470443e+07 + i -3.377871e+07 ; 3.332158e+08 + i -2.864443e+08 ; 
5.172042e+09 + i -2.539430e+09 ; 6.281200e+08 + i -2.861677e+09 ; -1.715263e+08 + i -2.189541e+08 ; 2.547988e+08 + i 5.259636e+08 ; 1.957184e+10 + i -9.501066e+09 ; -2.829617e+08 + i -5.582766e+08 ; -1.652129e+08 + i -3.148868e+08 ; -9.361407e+09 + i 5.232283e+09 ; -5.489744e+07 + i 1.656783e+07 ; 7.470808e+07 + i -5.363388e+06 ; -4.292209e+10 + i 1.304193e+10 ; -8.894593e+07 + i -9.358277e+06 ; 1.753262e+09 + i -1.157915e+09 ; -8.303751e+08 + i -9.207198e+08 ; -1.770428e+09 + i 1.154099e+09 ; 1.510912e+08 + i 1.874063e+08 ; 6.267026e+08 + i -2.853891e+09 ; -5.213795e+09 + i 2.547941e+09 ; -1.246181e+08 + i -1.874396e+08 ; -2.840473e+09 + i 2.581331e+09 ; 1.221710e+08 + i 1.782182e+08 ; 4.278729e+07 + i -2.859927e+07 ; -9.352611e+09 + i 5.250848e+09 ; 1.687304e+08 + i 2.975141e+08 ; -1.597499e+09 + i 7.889911e+08 ; -5.188745e+08 + i -1.881065e+08 ; -3.228910e+07 + i -3.878492e+07 ; -4.708649e+08 + i 3.916088e+07 ; -3.358314e+08 + i 7.620519e+07 ; -1.068188e+07 + i -2.337373e+06 ; 5.947254e+07 + i 1.178232e+08 ; -1.823811e+09 + i 9.841453e+08 ; -9.033997e+06 + i 1.624025e+07 ; -1.150178e+07 + i 3.499611e+07 ; -4.200842e+08 + i 3.268839e+08 ; -1.258085e+06 + i 1.160680e+07 ; -8.861015e+08 + i 5.069326e+08 ; -5.276933e+08 + i -3.429649e+07 ; -5.029153e+08 + i 3.100314e+08 ; -3.500767e+08 + i 6.834492e+07 ; -2.934604e+08 + i 9.006670e+07 ; -8.413343e+07 + i 9.098061e+07 ; 5.112873e+07 + i 9.136704e+07 ; -1.133785e+09 + i 7.291713e+08 ; 3.821753e+07 + i 6.423361e+07 ; -5.513154e+06 + i 3.616021e+07 ; -3.411133e+08 + i 2.784303e+08 ; 1.881108e+07 + i 2.490468e+07 ; 
