-4.706455e+09 + i 2.198955e+10 ; -5.231468e+07 + i 3.356331e+08 ; -5.168994e+07 + i 3.364142e+08 ; -5.150060e+09 + i -4.782678e+09 ; -3.941561e+08 + i -7.467700e+08 ; -3.948769e+08 + i -7.464904e+08 ; 1.850978e+09 + i 2.477415e+09 ; 1.522021e+08 + i 4.124304e+08 ; 1.455006e+08 + i 1.620834e+08 ; 2.214519e+08 + i 2.504312e+09 ; -1.426338e+09 + i -8.397459e+08 ; -2.404579e+08 + i 8.070807e+06 ; 1.852153e+09 + i 2.477277e+09 ; 1.448018e+08 + i 1.605682e+08 ; 1.514143e+08 + i 4.117584e+08 ; 2.228780e+08 + i 2.505744e+09 ; -2.372427e+08 + i 7.261551e+06 ; -1.426328e+09 + i -8.398639e+08 ; 1.259336e+09 + i -5.056816e+08 ; 2.151171e+08 + i 1.596103e+08 ; 2.165365e+08 + i 1.592595e+08 ; 1.353663e+09 + i -2.977935e+08 ; -4.424675e+08 + i 4.811252e+07 ; -4.418282e+08 + i 4.744385e+07 ; -2.931086e+08 + i -7.311002e+08 ; -1.739413e+07 + i 4.252416e+07 ; -1.743221e+07 + i 4.272383e+07 ; -3.863915e+07 + i -4.515976e+08 ; 1.483341e+07 + i 1.069672e+07 ; 1.492337e+07 + i 1.072459e+07 ; -3.599028e+08 + i 6.463503e+07 ; -5.917770e+07 + i 4.951213e+07 ; 7.381575e+06 + i 3.877562e+07 ; -2.750260e+08 + i -2.969920e+07 ; 4.779196e+06 + i 1.184786e+07 ; 1.583964e+07 + i 3.706597e+06 ; -3.592031e+08 + i 6.474024e+07 ; 7.747947e+06 + i 3.847883e+07 ; -5.921650e+07 + i 4.961859e+07 ; -2.747070e+08 + i -2.947056e+07 ; 1.577927e+07 + i 3.603860e+06 ; 4.787691e+06 + i 1.188592e+07 ; 2.348428e+06 + i 3.247981e+08 ; -2.146236e+07 + i 4.246220e+07 ; -2.170170e+07 + i 4.245162e+07 ; -6.970742e+07 + i 2.603746e+08 ; 7.398862e+06 + i 4.802404e+06 ; 7.365941e+06 + i 4.843248e+06 ; 
-6.520684e+07 + i 3.313646e+08 ; -4.724930e+09 + i 2.203629e+10 ; -5.209380e+07 + i 3.389884e+08 ; 1.331419e+08 + i 4.085317e+08 ; 1.855280e+09 + i 2.509432e+09 ; 1.444664e+08 + i 1.605489e+08 ; -3.981151e+08 + i -7.676447e+08 ; -5.162120e+09 + i -4.694861e+09 ; -4.004160e+08 + i -7.437213e+08 ; -1.437786e+09 + i -8.758532e+08 ; 2.582107e+08 + i 2.539025e+09 ; -2.456248e+08 + i 1.041591e+07 ; 1.292821e+08 + i 1.610583e+08 ; 1.883267e+09 + i 2.513762e+09 ; 1.511742e+08 + i 4.137292e+08 ; 1.955649e+08 + i 1.640956e+08 ; 1.298701e+09 + i -5.067418e+08 ; 2.161819e+08 + i 1.577399e+08 ; -2.475311e+08 + i -8.486432e+06 ; 2.705575e+08 + i 2.549484e+09 ; -1.432945e+09 + i -8.378682e+08 ; -4.613743e+08 + i 2.341168e+07 ; 1.401335e+09 + i -3.205318e+08 ; -4.472069e+08 + i 4.922941e+07 ; -4.460267e+07 + i 5.680951e+07 ; 1.230091e+08 + i -6.457970e+07 ; 2.138927e+07 + i 1.052028e+07 ; -4.444593e+07 + i 3.791720e+07 ; 8.704349e+06 + i -1.780478e+07 ; 7.146554e+06 + i -1.589499e+06 ; -1.824139e+08 + i -2.382640e+08 ; 1.394214e+08 + i -5.206627e+07 ; 1.200176e+07 + i 1.086417e+07 ; -7.692707e+07 + i -1.719006e+08 ; 6.389709e+06 + i -1.889960e+07 ; 4.827868e+06 + i 5.686171e+05 ; -1.050223e+07 + i 8.148177e+07 ; 4.614739e+07 + i -9.052477e+07 ; 2.784012e+07 + i 1.160390e+07 ; -2.100971e+07 + i 6.386630e+07 ; -5.649343e+06 + i -8.695853e+06 ; 8.180932e+06 + i -1.732389e+06 ; -1.637244e+08 + i -9.960806e+07 ; 4.941875e+07 + i -9.076762e+07 ; -2.131881e+06 + i 1.038122e+07 ; -1.015961e+08 + i -8.674870e+07 ; -6.746686e+06 + i -8.087714e+06 ; 2.431119e+06 + i 1.203696e+06 ; 
-6.498475e+07 + i 3.318604e+08 ; -5.197967e+07 + i 3.391659e+08 ; -4.728198e+09 + i 2.203486e+10 ; 1.329859e+08 + i 4.078849e+08 ; 1.446572e+08 + i 1.608419e+08 ; 1.858274e+09 + i 2.511911e+09 ; 1.302752e+08 + i 1.618821e+08 ; 1.495791e+08 + i 4.133482e+08 ; 1.872688e+09 + i 2.514899e+09 ; 1.974814e+08 + i 1.641301e+08 ; 2.156453e+08 + i 1.581738e+08 ; 1.300834e+09 + i -4.995761e+08 ; -3.973123e+08 + i -7.667841e+08 ; -4.012068e+08 + i -7.438829e+08 ; -5.168554e+09 + i -4.693514e+09 ; -1.437143e+09 + i -8.755793e+08 ; -2.466385e+08 + i 1.068732e+07 ; 2.563297e+08 + i 2.541308e+09 ; -2.498744e+08 + i -7.462112e+06 ; -1.432840e+09 + i -8.383134e+08 ; 2.704110e+08 + i 2.545716e+09 ; -4.628112e+08 + i 2.337477e+07 ; -4.474729e+08 + i 4.939171e+07 ; 1.400578e+09 + i -3.202372e+08 ; -4.473825e+07 + i 5.654440e+07 ; 2.135412e+07 + i 1.057272e+07 ; 1.235246e+08 + i -6.436576e+07 ; -4.437622e+07 + i 3.770463e+07 ; 7.163065e+06 + i -1.564393e+06 ; 8.812450e+06 + i -1.792195e+07 ; -1.040242e+07 + i 8.143688e+07 ; 2.781311e+07 + i 1.166725e+07 ; 4.643486e+07 + i -9.020564e+07 ; -2.083113e+07 + i 6.391972e+07 ; 8.205781e+06 + i -1.725887e+06 ; -5.549988e+06 + i -8.755272e+06 ; -1.825159e+08 + i -2.379977e+08 ; 1.188892e+07 + i 1.093298e+07 ; 1.395912e+08 + i -5.152146e+07 ; -7.698984e+07 + i -1.716978e+08 ; 4.832225e+06 + i 6.183893e+05 ; 6.593674e+06 + i -1.892430e+07 ; -1.639448e+08 + i -1.000953e+08 ; -2.137901e+06 + i 1.038187e+07 ; 4.938258e+07 + i -9.033825e+07 ; -1.016565e+08 + i -8.700588e+07 ; 2.460725e+06 + i 1.205618e+06 ; -6.566158e+06 + i -7.976882e+06 ; 
-5.131140e+09 + i -4.766449e+09 ; 3.810193e+08 + i 7.900218e+08 ; 3.823142e+08 + i 7.902707e+08 ; -4.758895e+09 + i 2.187315e+10 ; 7.473403e+07 + i -3.214868e+08 ; 7.438353e+07 + i -3.220624e+08 ; 2.296733e+08 + i 2.506808e+09 ; 1.453416e+09 + i 9.463726e+08 ; 2.613608e+08 + i -1.590016e+06 ; 1.790730e+09 + i 2.463185e+09 ; -1.171252e+08 + i -4.044275e+08 ; -1.324548e+08 + i -1.526507e+08 ; 2.303800e+08 + i 2.507031e+09 ; 2.586508e+08 + i -5.691568e+05 ; 1.453296e+09 + i 9.463638e+08 ; 1.793327e+09 + i 2.463709e+09 ; -1.316305e+08 + i -1.514587e+08 ; -1.166468e+08 + i -4.040893e+08 ; 1.359724e+09 + i -3.004395e+08 ; 4.764546e+08 + i -3.200462e+07 ; 4.759760e+08 + i -3.169022e+07 ; 1.228392e+09 + i -4.629453e+08 ; -1.957254e+08 + i -1.531008e+08 ; -1.961379e+08 + i -1.524684e+08 ; -8.588022e+08 + i -1.007266e+09 ; -1.460077e+08 + i -1.980167e+08 ; -1.465072e+08 + i -1.981112e+08 ; -2.908530e+08 + i -7.290811e+08 ; -4.240507e+07 + i 6.391960e+07 ; -4.240831e+07 + i 6.413405e+07 ; -4.096422e+08 + i 1.914088e+08 ; -4.471257e+08 + i -2.320871e+08 ; -1.104711e+08 + i -3.323447e+07 ; -3.583558e+08 + i 6.388407e+07 ; -5.485852e+07 + i 7.953889e+07 ; 6.273440e+06 + i 5.040403e+07 ; -4.091121e+08 + i 1.912466e+08 ; -1.097711e+08 + i -3.356842e+07 ; -4.470747e+08 + i -2.321779e+08 ; -3.581398e+08 + i 6.394848e+07 ; 6.224119e+06 + i 4.998861e+07 ; -5.497402e+07 + i 7.942109e+07 ; 1.047857e+08 + i 3.774782e+08 ; -2.388209e+08 + i -3.213165e+07 ; -2.385254e+08 + i -3.227016e+07 ; 3.785608e+06 + i 3.237029e+08 ; -8.939383e+06 + i 5.407439e+07 ; -8.775681e+06 + i 5.382531e+07 ; 
-8.039875e+07 + i -4.985152e+08 ; 1.833188e+09 + i 2.489016e+09 ; 1.406999e+08 + i 1.774973e+08 ; 1.180819e+08 + i -3.551175e+08 ; -4.749151e+09 + i 2.195982e+10 ; -6.741372e+07 + i 3.453832e+08 ; 1.396194e+09 + i 1.287147e+09 ; 2.634670e+08 + i 2.542406e+09 ; -2.588660e+08 + i -3.806012e+06 ; 2.302021e+08 + i 8.811613e+08 ; -5.166761e+09 + i -4.741006e+09 ; -3.740177e+08 + i -7.948001e+08 ; -2.144984e+08 + i -2.262076e+08 ; 1.292091e+09 + i -4.960108e+08 ; 2.163002e+08 + i 1.779926e+08 ; -1.369274e+08 + i -1.974472e+08 ; 1.856207e+09 + i 2.467124e+09 ; 1.405286e+08 + i 4.330498e+08 ; 5.102064e+08 + i 3.432951e+07 ; 1.399506e+09 + i -3.219607e+08 ; -4.660113e+08 + i 2.841823e+07 ; 2.511047e+08 + i 1.542222e+07 ; 2.536315e+08 + i 2.496119e+09 ; -1.439586e+09 + i -9.443426e+08 ; 8.084961e+07 + i 1.963232e+08 ; 4.293949e+08 + i 4.594510e+08 ; 2.606552e+07 + i 6.545374e+07 ; 1.943554e+07 + i 1.761242e+08 ; 1.285238e+08 + i -6.364276e+07 ; 2.892088e+07 + i 4.215500e+06 ; -4.712472e+08 + i -3.213675e+08 ; 2.263050e+08 + i 4.714377e+08 ; -2.975820e+07 + i -1.364226e+07 ; -2.203140e+08 + i -2.888789e+08 ; 1.403557e+08 + i -5.131095e+07 ; 8.438203e+05 + i 1.681695e+07 ; 1.047255e+08 + i 9.779741e+07 ; 3.683282e+08 + i 8.176729e+07 ; 5.379908e+07 + i 7.470208e+07 ; 7.897953e+07 + i 1.035616e+08 ; 4.907133e+07 + i -9.331829e+07 ; 3.250180e+07 + i 2.642572e+06 ; -2.382152e+08 + i -9.004000e+07 ; 3.221205e+08 + i 1.092030e+08 ; -1.190507e+08 + i -1.969321e+07 ; -1.575433e+08 + i -8.660586e+07 ; 4.984783e+07 + i -9.189932e+07 ; -3.416685e+06 + i 2.083375e+07 ; 
-8.019433e+07 + i -4.984603e+08 ; 1.408414e+08 + i 1.778502e+08 ; 1.836954e+09 + i 2.493145e+09 ; 1.174947e+08 + i -3.548933e+08 ; -6.739768e+07 + i 3.456678e+08 ; -4.751099e+09 + i 2.196068e+10 ; -2.152892e+08 + i -2.269032e+08 ; 2.157488e+08 + i 1.783827e+08 ; 1.293078e+09 + i -4.876743e+08 ; -1.379390e+08 + i -1.984617e+08 ; 1.391799e+08 + i 4.325485e+08 ; 1.843156e+09 + i 2.466590e+09 ; 1.395953e+09 + i 1.286296e+09 ; -2.600329e+08 + i -3.417500e+06 ; 2.609581e+08 + i 2.542984e+09 ; 2.295539e+08 + i 8.804755e+08 ; -3.748044e+08 + i -7.952161e+08 ; -5.172463e+09 + i -4.741242e+09 ; 5.119694e+08 + i 3.463915e+07 ; -4.662660e+08 + i 2.895510e+07 ; 1.403114e+09 + i -3.194494e+08 ; 2.523976e+08 + i 1.529132e+07 ; -1.439303e+09 + i -9.449021e+08 ; 2.555933e+08 + i 2.491601e+09 ; 8.064141e+07 + i 1.965822e+08 ; 2.600925e+07 + i 6.543534e+07 ; 4.296167e+08 + i 4.600049e+08 ; 1.940773e+07 + i 1.760718e+08 ; 2.891599e+07 + i 4.269739e+06 ; 1.288654e+08 + i -6.377604e+07 ; 1.048363e+08 + i 9.800802e+07 ; 5.364022e+07 + i 7.468946e+07 ; 3.676120e+08 + i 8.216293e+07 ; 7.934262e+07 + i 1.037814e+08 ; 3.251207e+07 + i 2.691350e+06 ; 4.928293e+07 + i -9.340405e+07 ; -4.710037e+08 + i -3.210693e+08 ; -2.998023e+07 + i -1.363299e+07 ; 2.255295e+08 + i 4.721238e+08 ; -2.199522e+08 + i -2.886562e+08 ; 7.519085e+05 + i 1.693378e+07 ; 1.405575e+08 + i -5.080776e+07 ; -2.390273e+08 + i -8.990349e+07 ; -1.189672e+08 + i -1.977447e+07 ; 3.209153e+08 + i 1.089092e+08 ; -1.580618e+08 + i -8.652855e+07 ; -3.384343e+06 + i 2.085902e+07 ; 4.952865e+07 + i -9.131093e+07 ; 
1.826841e+09 + i 2.460752e+09 ; -1.728272e+08 + i -4.191672e+08 ; 1.413985e+08 + i 1.771130e+08 ; 2.080737e+08 + i 2.525504e+09 ; 1.443056e+09 + i 1.324061e+09 ; -2.549032e+08 + i -5.999640e+06 ; -4.731072e+09 + i 2.196271e+10 ; 6.841355e+07 + i -3.635201e+08 ; -7.081996e+07 + i 3.484450e+08 ; -5.169855e+09 + i -4.775890e+09 ; 3.554390e+08 + i 8.593173e+08 ; -3.721222e+08 + i -7.986510e+08 ; 1.251083e+09 + i -4.908279e+08 ; -1.916339e+08 + i -2.126269e+08 ; 2.170524e+08 + i 1.777186e+08 ; 1.350611e+09 + i -2.944263e+08 ; 5.107764e+08 + i 4.082244e+07 ; -4.610393e+08 + i 2.685162e+07 ; 1.849809e+09 + i 2.491127e+09 ; -1.244469e+08 + i -1.909796e+08 ; 1.368054e+08 + i 4.364211e+08 ; 2.280644e+08 + i 2.511320e+09 ; 2.624708e+08 + i 3.179632e+07 ; -1.440322e+09 + i -9.478763e+08 ; -3.514735e+08 + i 6.751016e+07 ; 7.531639e+07 + i -4.744366e+07 ; 5.153348e+06 + i 4.101898e+07 ; -2.715834e+08 + i -2.532138e+07 ; -3.956376e+06 + i -1.484576e+07 ; 1.627943e+07 + i 4.884929e+06 ; -2.921303e+08 + i -7.314091e+08 ; 2.944131e+07 + i -4.991438e+07 ; -2.051961e+07 + i 4.347269e+07 ; -3.959615e+07 + i -4.519203e+08 ; -1.505166e+07 + i -1.603243e+07 ; 1.504879e+07 + i 1.196441e+07 ; 3.232777e+06 + i 3.214770e+08 ; 3.179757e+07 + i -4.454140e+07 ; -2.484843e+07 + i 4.308408e+07 ; -6.771277e+07 + i 2.585344e+08 ; -7.831382e+06 + i -7.199261e+06 ; 7.438276e+06 + i 5.485180e+06 ; -3.592979e+08 + i 6.484053e+07 ; -2.253951e+05 + i -4.815442e+07 ; -6.414578e+07 + i 4.865159e+07 ; -2.750941e+08 + i -2.826624e+07 ; -1.711262e+07 + i -7.978991e+06 ; 4.471283e+06 + i 1.263772e+07 ; 
4.783071e+08 + i 7.321564e+08 ; -5.148870e+09 + i -4.676328e+09 ; 3.747173e+08 + i 7.926953e+08 ; 1.466307e+09 + i 1.000450e+09 ; 2.527054e+08 + i 2.558020e+09 ; 2.542918e+08 + i 2.731243e+06 ; 3.892471e+07 + i -3.512691e+08 ; -4.735847e+09 + i 2.201798e+10 ; 6.539417e+07 + i -3.522546e+08 ; -2.343947e+08 + i -3.491032e+08 ; 1.864334e+09 + i 2.498985e+09 ; -1.459280e+08 + i -1.739175e+08 ; 2.471968e+08 + i 3.756114e+06 ; 2.864307e+08 + i 2.548567e+09 ; 1.448488e+09 + i 9.488882e+08 ; 4.794740e+08 + i -1.479812e+07 ; 1.413646e+09 + i -3.187186e+08 ; 4.696603e+08 + i -2.724397e+07 ; -1.315610e+08 + i -1.519588e+08 ; 1.872821e+09 + i 2.509810e+09 ; -1.340884e+08 + i -4.374947e+08 ; -1.887276e+08 + i -1.588624e+08 ; 1.284040e+09 + i -5.087007e+08 ; -2.155987e+08 + i -1.754997e+08 ; 1.722014e+08 + i 2.652196e+08 ; 1.329349e+08 + i -5.062374e+07 ; -1.200921e+07 + i -1.170505e+07 ; 6.569290e+07 + i 1.885538e+08 ; 6.603940e+06 + i -1.823993e+07 ; -4.948044e+06 + i -8.150823e+05 ; 3.238517e+07 + i -5.323205e+07 ; 1.228149e+08 + i -6.260726e+07 ; -2.176749e+07 + i -1.175350e+07 ; 3.782081e+07 + i -3.650489e+07 ; 9.103000e+06 + i -1.673765e+07 ; -7.428924e+06 + i 1.341953e+06 ; 1.652149e+08 + i 1.159247e+08 ; 4.760160e+07 + i -8.836683e+07 ; 2.902364e+06 + i -1.052918e+07 ; 1.011016e+08 + i 9.952021e+07 ; -6.592008e+06 + i -8.075980e+06 ; -2.361643e+06 + i -1.392175e+06 ; 8.894100e+06 + i -7.800722e+07 ; 4.706648e+07 + i -9.001239e+07 ; -2.821939e+07 + i -1.333387e+07 ; 2.032815e+07 + i -6.104805e+07 ; -4.936270e+06 + i -8.370990e+06 ; -8.496189e+06 + i 1.381837e+06 ; 
1.305024e+08 + i 1.798221e+08 ; -5.598920e+07 + i -4.979645e+08 ; 1.851709e+09 + i 2.502023e+09 ; 1.998960e+08 + i 1.863640e+08 ; -2.023400e+08 + i -2.402217e+08 ; 1.291953e+09 + i -4.903416e+08 ; -8.365522e+07 + i 3.363282e+08 ; 1.420436e+08 + i -3.629808e+08 ; -4.740697e+09 + i 2.202029e+10 ; 1.163944e+08 + i 4.255450e+08 ; -1.297033e+08 + i -2.174483e+08 ; 1.851029e+09 + i 2.519133e+09 ; -2.929029e+08 + i -1.173640e+07 ; 1.376146e+09 + i 1.321149e+09 ; 2.758035e+08 + i 2.549078e+09 ; -5.000566e+08 + i -1.532858e+05 ; 5.402425e+08 + i 5.917360e+07 ; 1.403335e+09 + i -3.218919e+08 ; -3.585412e+08 + i -8.118799e+08 ; 2.364533e+08 + i 9.355977e+08 ; -5.165837e+09 + i -4.685666e+09 ; -1.425121e+09 + i -9.808371e+08 ; 2.980621e+08 + i 3.858570e+07 ; 2.625780e+08 + i 2.541596e+09 ; -1.565430e+07 + i 8.320683e+07 ; -2.942535e+07 + i -2.009361e+07 ; 4.753002e+07 + i -8.917822e+07 ; -2.523220e+07 + i 6.471762e+07 ; -1.004293e+07 + i 2.571658e+05 ; -5.040755e+06 + i -9.077166e+06 ; -4.924493e+07 + i 5.643499e+07 ; -2.289369e+07 + i -1.690560e+07 ; 1.241343e+08 + i -6.299416e+07 ; -4.797219e+07 + i 3.706137e+07 ; -8.584646e+06 + i 3.967572e+05 ; 9.108616e+06 + i -1.801664e+07 ; -1.639525e+08 + i -1.135648e+08 ; 5.607452e+06 + i -1.232255e+07 ; 4.999076e+07 + i -8.968048e+07 ; -9.993143e+07 + i -9.585591e+07 ; -2.513402e+06 + i -2.254264e+06 ; -6.254892e+06 + i -8.136099e+06 ; -1.753118e+08 + i -2.551939e+08 ; -9.976045e+06 + i -1.703781e+07 ; 1.399309e+08 + i -5.106261e+07 ; -7.054930e+07 + i -1.811873e+08 ; -5.237319e+06 + i -2.212721e+06 ; 6.761251e+06 + i -1.903549e+07 ; 
1.647529e+08 + i 2.519262e+09 ; -1.254417e+09 + i -1.427036e+09 ; 2.750346e+08 + i 1.202186e+07 ; 1.799884e+09 + i 2.462772e+09 ; 3.540354e+08 + i 3.139206e+08 ; -1.282039e+08 + i -1.645696e+08 ; -5.182902e+09 + i -4.778689e+09 ; -5.161381e+08 + i -7.997297e+08 ; 3.605956e+08 + i 8.352599e+08 ; -4.754867e+09 + i 2.187790e+10 ; -1.743947e+08 + i 3.209594e+08 ; 9.158688e+07 + i -3.303889e+08 ; 1.359475e+09 + i -2.791997e+08 ; -5.214059e+08 + i -6.824106e+07 ; 4.918682e+08 + i -1.156369e+07 ; 1.220182e+09 + i -4.588840e+08 ; 1.540436e+08 + i 1.693316e+08 ; -1.958801e+08 + i -1.657184e+08 ; 2.363150e+08 + i 2.520992e+09 ; -2.605688e+08 + i -2.535185e+07 ; 1.459017e+09 + i 1.040638e+09 ; 1.798593e+09 + i 2.468059e+09 ; 1.098017e+08 + i 1.593669e+08 ; -1.037027e+08 + i -4.230402e+08 ; -3.911822e+08 + i 1.837164e+08 ; 3.553240e+08 + i 3.884251e+08 ; -1.141841e+08 + i -3.978764e+07 ; -3.467286e+08 + i 6.488194e+07 ; 8.207541e+07 + i -5.129441e+07 ; 3.439747e+06 + i 5.252974e+07 ; -8.576531e+08 + i -1.008566e+09 ; 2.108196e+07 + i 2.850573e+08 ; -1.423763e+08 + i -2.117001e+08 ; -2.929314e+08 + i -7.290231e+08 ; 6.443704e+07 + i -3.743173e+07 ; -4.658576e+07 + i 6.452722e+07 ; 1.068561e+08 + i 3.687097e+08 ; 2.250848e+08 + i 1.213848e+08 ; -2.447679e+08 + i -4.415626e+07 ; 7.604050e+06 + i 3.177433e+08 ; 2.971617e+07 + i -4.758579e+07 ; -1.150753e+07 + i 5.507086e+07 ; -4.104619e+08 + i 1.922381e+08 ; 8.300954e+07 + i 9.178377e+07 ; -4.515468e+08 + i -2.593734e+08 ; -3.594424e+08 + i 6.599720e+07 ; 1.149869e+07 + i -4.663972e+07 ; -6.005290e+07 + i 7.979909e+07 ; 
-1.241859e+09 + i -1.387686e+09 ; 1.981921e+08 + i 2.552094e+09 ; 2.660533e+08 + i 1.597282e+07 ; -4.851153e+08 + i -7.371264e+08 ; -5.189646e+09 + i -4.744470e+09 ; 3.485194e+08 + i 8.360111e+08 ; 3.874629e+08 + i 3.507937e+08 ; 1.876716e+09 + i 2.498485e+09 ; -1.412835e+08 + i -1.893699e+08 ; -1.449415e+08 + i 3.419320e+08 ; -4.736160e+09 + i 2.197457e+10 ; 7.917806e+07 + i -3.560928e+08 ; -5.024907e+08 + i -4.426291e+07 ; 1.410915e+09 + i -3.013481e+08 ; 4.837977e+08 + i -7.535304e+06 ; -2.289042e+08 + i 9.897263e+06 ; 2.684621e+08 + i 2.504743e+09 ; 1.446256e+09 + i 1.040938e+09 ; 1.839383e+08 + i 1.892222e+08 ; 1.279534e+09 + i -5.083937e+08 ; -2.146336e+08 + i -1.924269e+08 ; 1.330167e+08 + i 1.670651e+08 ; 1.854033e+09 + i 2.456658e+09 ; -1.241210e+08 + i -4.526800e+08 ; 4.403143e+08 + i 3.327045e+08 ; 2.399056e+08 + i 4.588280e+08 ; 2.944350e+07 + i 1.532391e+07 ; 1.979282e+08 + i 2.851743e+08 ; 1.403245e+08 + i -5.391934e+07 ; -2.178324e+05 + i -1.722745e+07 ; 5.833680e+06 + i -2.329136e+08 ; 4.243393e+08 + i 4.583116e+08 ; -2.494919e+07 + i -6.861223e+07 ; 4.169281e+07 + i -1.815952e+08 ; 1.246497e+08 + i -6.333409e+07 ; -2.980912e+07 + i -5.325433e+06 ; 2.217041e+08 + i 1.029892e+08 ; 3.235797e+08 + i 1.024688e+08 ; 1.222809e+08 + i 2.595284e+07 ; 1.431408e+08 + i 9.193681e+07 ; 4.970939e+07 + i -9.297613e+07 ; 4.712198e+06 + i -2.131031e+07 ; -7.102572e+07 + i -1.288307e+08 ; 3.656741e+08 + i 8.196457e+07 ; -5.212925e+07 + i -7.931816e+07 ; -5.023627e+07 + i -1.231109e+08 ; 4.657474e+07 + i -9.166173e+07 ; -3.327592e+07 + i -4.093353e+06 ; 
