-4.636633e+10 + i 2.180295e+10 ; 2.593720e+08 + i -5.811835e+06 ; 2.593331e+08 + i -5.809279e+06 ; 2.070222e+10 + i -1.621141e+10 ; 5.960234e+08 + i 1.053051e+09 ; 5.960605e+08 + i 1.052996e+09 ; -9.321553e+09 + i 8.999536e+09 ; -3.673134e+08 + i -5.407514e+08 ; 1.710273e+08 + i -6.790086e+07 ; -5.321287e+08 + i -5.078148e+09 ; 5.662670e+09 + i -4.411219e+09 ; 4.145016e+08 + i 3.990268e+08 ; -9.321593e+09 + i 8.999541e+09 ; 1.711792e+08 + i -6.787793e+07 ; -3.673080e+08 + i -5.407216e+08 ; -5.321970e+08 + i -5.078120e+09 ; 4.147493e+08 + i 3.992502e+08 ; 5.662662e+09 + i -4.411200e+09 ; -2.226182e+09 + i 4.429487e+09 ; -2.832557e+08 + i -3.172982e+08 ; -2.832845e+08 + i -3.172380e+08 ; -2.017474e+09 + i -1.569187e+09 ; 1.786435e+09 + i -2.030666e+09 ; 1.786415e+09 + i -2.030642e+09 ; 1.419616e+09 + i -2.419240e+08 ; 8.437495e+07 + i 3.434025e+07 ; 8.438930e+07 + i 3.432723e+07 ; 5.372338e+08 + i -1.914686e+06 ; 3.588971e+07 + i -5.357552e+06 ; 3.588941e+07 + i -5.361505e+06 ; 9.545113e+08 + i -4.905600e+08 ; 3.307791e+08 + i -4.730391e+08 ; 7.080901e+07 + i 1.375142e+07 ; 4.901063e+08 + i -7.699465e+07 ; 7.712713e+07 + i -1.857310e+08 ; 3.110127e+07 + i -9.394896e+06 ; 9.544963e+08 + i -4.905392e+08 ; 7.085580e+07 + i 1.378614e+07 ; 3.307800e+08 + i -4.730324e+08 ; 4.901037e+08 + i -7.699621e+07 ; 3.112653e+07 + i -9.386996e+06 ; 7.712867e+07 + i -1.857274e+08 ; 6.304655e+08 + i -5.466624e+08 ; 2.284236e+08 + i -3.806154e+08 ; 2.284255e+08 + i -3.806131e+08 ; 4.327489e+08 + i -1.311603e+08 ; 5.897999e+07 + i -1.629301e+08 ; 5.897890e+07 + i -1.629265e+08 ; 
2.841019e+08 + i 3.220631e+08 ; 2.772312e+08 + i 3.028717e+08 ; -2.213803e+09 + i 4.411506e+09 ; -1.356211e+08 + i 8.790769e+07 ; 3.657188e+08 + i 5.220243e+08 ; -9.288859e+09 + i 9.013309e+09 ; 3.673036e+08 + i 5.393577e+08 ; -1.659675e+08 + i 6.648514e+07 ; -9.306628e+09 + i 8.980920e+09 ; -2.186106e+08 + i 3.541594e+07 ; -2.522536e+08 + i 1.001382e+07 ; -4.632774e+10 + i 2.182129e+10 ; -1.708074e+09 + i 2.005322e+09 ; -1.710080e+09 + i 1.979073e+09 ; -2.041493e+09 + i -1.618348e+09 ; -3.585425e+08 + i -3.351968e+08 ; -5.432810e+09 + i 4.340532e+09 ; -5.615080e+08 + i -5.114495e+09 ; -5.438509e+09 + i 4.362233e+09 ; -4.015084e+08 + i -3.941171e+08 ; -5.516997e+08 + i -5.135706e+09 ; -5.426262e+08 + i -9.413287e+08 ; -5.913260e+08 + i -1.014796e+09 ; 2.067777e+10 + i -1.625842e+10 ; -1.098426e+08 + i -1.725229e+08 ; 8.303462e+07 + i 1.126553e+08 ; -1.084080e+09 + i 1.236640e+09 ; 3.324695e+07 + i -8.162823e+07 ; 4.288945e+07 + i 4.212734e+07 ; -2.957361e+08 + i 4.648704e+08 ; -1.217466e+08 + i -2.237152e+08 ; -3.172940e+07 + i 3.980745e+07 ; -1.834234e+09 + i 1.672449e+09 ; 5.041218e+07 + i -7.685026e+07 ; -7.384233e+06 + i 2.929798e+07 ; -3.744401e+08 + i 5.494957e+08 ; 9.138330e+08 + i -8.831270e+08 ; -4.967393e+08 + i 5.329707e+08 ; -8.008151e+08 + i -5.696282e+07 ; 4.488125e+08 + i -1.144675e+08 ; -6.146971e+07 + i 1.574029e+08 ; -4.166554e+08 + i 1.814293e+08 ; 1.697073e+09 + i -1.361545e+09 ; -7.807391e+07 + i -6.160086e+07 ; -8.063802e+08 + i -3.405784e+08 ; 5.949345e+08 + i -5.192098e+07 ; -2.929792e+07 + i 2.788716e+06 ; -4.785922e+08 + i 1.507119e+08 ; 
-9.322709e+09 + i 8.999303e+09 ; 1.702479e+08 + i -6.752412e+07 ; 3.444778e+08 + i 5.588846e+08 ; -5.355194e+08 + i -5.071618e+09 ; 4.095427e+08 + i 4.021131e+08 ; -5.467257e+09 + i 4.360819e+09 ; -2.226728e+09 + i 4.429689e+09 ; -2.825603e+08 + i -3.145120e+08 ; 2.787797e+08 + i 3.138525e+08 ; -2.017793e+09 + i -1.565849e+09 ; 1.766929e+09 + i -2.016763e+09 ; -1.715824e+09 + i 1.995832e+09 ; -4.636598e+10 + i 2.180246e+10 ; 2.583536e+08 + i -6.618608e+06 ; -2.587668e+08 + i 3.978110e+06 ; 2.070077e+10 + i -1.621261e+10 ; 5.952113e+08 + i 1.047265e+09 ; -5.731821e+08 + i -1.056189e+09 ; -9.321862e+09 + i 8.999122e+09 ; -3.677474e+08 + i -5.402827e+08 ; -1.691125e+08 + i 6.716787e+07 ; -5.329217e+08 + i -5.077654e+09 ; 5.607675e+09 + i -4.391810e+09 ; -4.042577e+08 + i -3.989368e+08 ; 9.549225e+08 + i -4.898544e+08 ; 7.017034e+07 + i 1.418511e+07 ; -3.164625e+08 + i 4.630196e+08 ; 4.900435e+08 + i -7.677768e+07 ; 3.084231e+07 + i -9.129997e+06 ; -7.296534e+07 + i 1.810210e+08 ; 6.308212e+08 + i -5.461636e+08 ; 2.256362e+08 + i -3.777645e+08 ; -2.177488e+08 + i 3.717863e+08 ; 4.327165e+08 + i -1.309453e+08 ; 5.812116e+07 + i -1.616110e+08 ; -5.549585e+07 + i 1.585766e+08 ; 1.419637e+09 + i -2.419037e+08 ; 8.408194e+07 + i 3.412576e+07 ; -8.204490e+07 + i -3.471736e+07 ; 5.372851e+08 + i -1.856315e+06 ; 3.573229e+07 + i -5.298529e+06 ; -3.479757e+07 + i 4.695697e+06 ; 9.546037e+08 + i -4.904440e+08 ; 3.271977e+08 + i -4.700238e+08 ; -6.854725e+07 + i -1.476611e+07 ; 4.901620e+08 + i -7.691949e+07 ; 7.616446e+07 + i -1.843959e+08 ; -3.004639e+07 + i 8.535263e+06 ; 
1.695910e+08 + i -5.780200e+07 ; -9.313137e+09 + i 8.971111e+09 ; 3.415936e+08 + i 5.566745e+08 ; -2.785081e+08 + i -2.991873e+08 ; -2.213077e+09 + i 4.411455e+09 ; 2.775924e+08 + i 3.122064e+08 ; 4.057203e+08 + i 4.164419e+08 ; -5.552247e+08 + i -5.141233e+09 ; -5.476892e+09 + i 4.351303e+09 ; 1.777850e+09 + i -1.983018e+09 ; -2.041754e+09 + i -1.615167e+09 ; -1.723190e+09 + i 1.988114e+09 ; 2.573578e+08 + i 3.221126e+06 ; -4.635387e+10 + i 2.177427e+10 ; -2.597427e+08 + i 1.229269e+06 ; -3.644188e+08 + i -5.238896e+08 ; -9.306044e+09 + i 8.980564e+09 ; -1.696046e+08 + i 6.512454e+07 ; 5.906338e+08 + i 1.061678e+09 ; 2.068880e+10 + i -1.629153e+10 ; -5.726314e+08 + i -1.061790e+09 ; 5.617750e+09 + i -4.355057e+09 ; -5.520273e+08 + i -5.135164e+09 ; -4.036901e+08 + i -4.039076e+08 ; 4.627285e+07 + i 1.228479e+07 ; -2.958545e+08 + i 4.647253e+08 ; 3.996851e+07 + i 4.777452e+07 ; 3.078661e+07 + i 3.116612e+07 ; -1.309380e+08 + i 2.008332e+08 ; 1.873939e+07 + i 1.869310e+07 ; 4.197708e+08 + i -1.076154e+08 ; -4.165588e+08 + i 1.816369e+08 ; -7.309683e+07 + i 1.424987e+08 ; 1.689298e+08 + i 2.908884e+07 ; -1.795534e+08 + i 1.464683e+08 ; -9.866514e+06 + i 4.864224e+07 ; 5.879094e+07 + i 3.552748e+07 ; -3.745509e+08 + i 5.492847e+08 ; -4.592485e+06 + i 3.133467e+07 ; 2.935631e+07 + i 4.017716e+07 ; -1.483103e+08 + i 2.168527e+08 ; 3.022686e+06 + i 1.723943e+07 ; 5.521997e+08 + i -9.166325e+07 ; -4.785249e+08 + i 1.507508e+08 ; -1.714122e+07 + i 1.117138e+07 ; 1.867857e+08 + i 4.510470e+07 ; -1.994731e+08 + i 1.474360e+08 ; -2.081417e+06 + i 1.122504e+07 ; 
-5.702493e+08 + i -1.093860e+09 ; -5.743194e+08 + i -1.085094e+09 ; 2.068957e+10 + i -1.629177e+10 ; -5.616353e+09 + i 4.356579e+09 ; -4.116727e+08 + i -4.087884e+08 ; -5.550122e+08 + i -5.129397e+09 ; -4.086245e+08 + i -4.183216e+08 ; -5.615978e+09 + i 4.383603e+09 ; -5.552969e+08 + i -5.141253e+09 ; -1.777521e+09 + i 1.986126e+09 ; -1.773988e+09 + i 2.011985e+09 ; -2.042320e+09 + i -1.612403e+09 ; -2.597443e+08 + i -5.534026e+06 ; -2.617244e+08 + i 1.543158e+06 ; -4.635403e+10 + i 2.177427e+10 ; 3.434119e+08 + i 5.549150e+08 ; -1.721821e+08 + i 6.505672e+07 ; -9.304197e+09 + i 8.981818e+09 ; -1.711368e+08 + i 5.731927e+07 ; 3.438099e+08 + i 5.691570e+08 ; -9.311313e+09 + i 8.971519e+09 ; 2.773060e+08 + i 3.065695e+08 ; 2.801619e+08 + i 3.203235e+08 ; -2.210993e+09 + i 4.411735e+09 ; -5.535150e+08 + i 9.247376e+07 ; -1.782486e+07 + i 1.163781e+07 ; -4.791681e+08 + i 1.509756e+08 ; -1.874696e+08 + i -4.490846e+07 ; -2.287184e+06 + i 1.156311e+07 ; -1.996034e+08 + i 1.476087e+08 ; -4.205782e+08 + i 1.085836e+08 ; -7.594640e+07 + i 1.447732e+08 ; -4.171068e+08 + i 1.819217e+08 ; -1.695586e+08 + i -2.882357e+07 ; -1.054819e+07 + i 4.958100e+07 ; -1.796906e+08 + i 1.466461e+08 ; -6.068553e+07 + i -3.473066e+07 ; -4.851441e+06 + i 3.192303e+07 ; -3.746910e+08 + i 5.492304e+08 ; -3.014091e+07 + i -4.004871e+07 ; 2.976052e+06 + i 1.760380e+07 ; -1.483873e+08 + i 2.167914e+08 ; -4.741291e+07 + i -1.136670e+07 ; 4.030936e+07 + i 4.902428e+07 ; -2.959293e+08 + i 4.646658e+08 ; -3.146778e+07 + i -3.094981e+07 ; 1.894150e+07 + i 1.921806e+07 ; -1.310172e+08 + i 2.007725e+08 ; 
-5.341468e+08 + i -5.067607e+09 ; -4.107178e+08 + i -4.157691e+08 ; 5.451544e+09 + i -4.318633e+09 ; -9.191755e+09 + i 9.101290e+09 ; -1.632156e+08 + i 4.578645e+07 ; -3.179546e+08 + i -5.345466e+08 ; -2.016667e+09 + i -1.564139e+09 ; -1.771278e+09 + i 1.987828e+09 ; 1.722479e+09 + i -1.966748e+09 ; -2.111614e+09 + i 4.490862e+09 ; 2.535143e+08 + i 2.725090e+08 ; -2.521722e+08 + i -2.766935e+08 ; 2.070046e+10 + i -1.621269e+10 ; -5.958629e+08 + i -1.057646e+09 ; 5.775550e+08 + i 1.089099e+09 ; -4.622088e+10 + i 2.196705e+10 ; -2.486056e+08 + i -1.437986e+07 ; 2.450430e+08 + i 1.254356e+07 ; -5.330652e+08 + i -5.076910e+09 ; -5.582797e+09 + i 4.353609e+09 ; 4.076848e+08 + i 4.166348e+08 ; -9.192166e+09 + i 9.101478e+09 ; 3.374922e+08 + i 4.924195e+08 ; 1.617182e+08 + i -4.631282e+07 ; 1.251389e+09 + i -1.840185e+09 ; 1.806758e+08 + i 2.129769e+08 ; -1.650176e+09 + i 1.379412e+09 ; 9.547730e+08 + i -4.912014e+08 ; 1.177928e+08 + i 5.438598e+07 ; -2.865088e+08 + i 4.942800e+08 ; 3.384323e+08 + i -1.118235e+09 ; 8.999099e+08 + i -8.956833e+08 ; -8.787245e+08 + i 8.884562e+08 ; 6.307582e+08 + i -5.472904e+08 ; 2.025887e+08 + i -3.864898e+08 ; -1.967929e+08 + i 3.826870e+08 ; 3.872729e+09 + i -3.201053e+09 ; 2.207770e+08 + i 3.470308e+08 ; -2.231976e+08 + i -3.291125e+08 ; 1.419287e+09 + i -2.419331e+08 ; 1.412270e+08 + i 8.529741e+07 ; -1.397471e+08 + i -7.985851e+07 ; 1.250796e+09 + i -1.837260e+09 ; 1.687771e+09 + i -1.388603e+09 ; -1.804958e+08 + i -2.026828e+08 ; 9.544792e+08 + i -4.905998e+08 ; 2.944401e+08 + i -4.990335e+08 ; -1.163948e+08 + i -5.044458e+07 ; 
2.848477e+08 + i 3.229032e+08 ; -2.213339e+09 + i 4.411627e+09 ; 2.796521e+08 + i 3.122701e+08 ; -1.361536e+08 + i 8.802556e+07 ; -9.288275e+09 + i 9.013673e+09 ; 3.494833e+08 + i 5.579191e+08 ; -1.709183e+09 + i 2.001555e+09 ; -2.041520e+09 + i -1.615075e+09 ; -1.708234e+09 + i 1.977289e+09 ; -3.613902e+08 + i -3.381118e+08 ; -5.644087e+08 + i -5.108034e+09 ; -5.427366e+09 + i 4.341582e+09 ; 3.699086e+08 + i 5.464252e+08 ; -9.306687e+09 + i 8.980754e+09 ; -1.689341e+08 + i 6.665462e+07 ; -2.191720e+08 + i 3.551742e+07 ; -4.632754e+10 + i 2.182111e+10 ; -2.579921e+08 + i 6.228060e+06 ; -5.432885e+09 + i 4.358934e+09 ; -5.518830e+08 + i -5.134949e+09 ; -4.055341e+08 + i -4.050320e+08 ; -5.426722e+08 + i -9.467193e+08 ; 2.067690e+10 + i -1.625912e+10 ; -5.747499e+08 + i -1.050661e+09 ; -1.095563e+08 + i -1.718301e+08 ; -1.084072e+09 + i 1.236605e+09 ; 8.299514e+07 + i 1.139845e+08 ; 3.320018e+07 + i -8.131373e+07 ; -2.957344e+08 + i 4.648547e+08 ; 4.299659e+07 + i 4.232912e+07 ; 9.129793e+08 + i -8.825522e+08 ; -8.010136e+08 + i -5.634653e+07 ; -4.961973e+08 + i 5.330350e+08 ; 4.485177e+08 + i -1.142683e+08 ; -4.166149e+08 + i 1.815855e+08 ; -6.129990e+07 + i 1.573889e+08 ; -1.211492e+08 + i -2.221537e+08 ; -1.834169e+09 + i 1.672407e+09 ; -3.230842e+07 + i 3.966060e+07 ; 5.026574e+07 + i -7.639744e+07 ; -3.744323e+08 + i 5.494681e+08 ; -7.556228e+06 + i 2.932722e+07 ; 1.696164e+09 + i -1.359954e+09 ; -8.064713e+08 + i -3.407872e+08 ; -7.776670e+07 + i -6.256228e+07 ; 5.944884e+08 + i -5.158044e+07 ; -4.786061e+08 + i 1.506870e+08 ; -2.931540e+07 + i 2.674325e+06 ; 
5.434387e+09 + i -4.358320e+09 ; -4.125455e+08 + i -4.056253e+08 ; -5.539347e+08 + i -5.125680e+09 ; 5.275492e+08 + i 1.001218e+09 ; -5.765010e+08 + i -1.073213e+09 ; 2.067658e+10 + i -1.625930e+10 ; 1.708317e+09 + i -2.005740e+09 ; -1.757913e+09 + i 2.002516e+09 ; -2.041300e+09 + i -1.611120e+09 ; 3.659937e+08 + i 3.397286e+08 ; -5.562032e+09 + i 4.374683e+09 ; -5.650691e+08 + i -5.107829e+09 ; -3.529919e+08 + i -5.996621e+08 ; -1.708332e+08 + i 6.637221e+07 ; -9.303836e+09 + i 8.981761e+09 ; 2.193221e+08 + i -3.521228e+07 ; -2.598031e+08 + i 6.460455e+06 ; -4.632791e+10 + i 2.182164e+10 ; -2.860458e+08 + i -3.338302e+08 ; 2.822014e+08 + i 3.201104e+08 ; -2.210766e+09 + i 4.411580e+09 ; 1.375919e+08 + i -8.766166e+07 ; 3.518397e+08 + i 5.702398e+08 ; -9.286429e+09 + i 9.014260e+09 ; -1.695324e+09 + i 1.356341e+09 ; -7.745361e+07 + i -6.713102e+07 ; -8.055498e+08 + i -3.437789e+08 ; -5.931824e+08 + i 4.988044e+07 ; -2.969188e+07 + i 1.713218e+06 ; -4.785560e+08 + i 1.499205e+08 ; -9.123678e+08 + i 8.793580e+08 ; -5.083451e+08 + i 5.372582e+08 ; -8.009990e+08 + i -5.815747e+07 ; -4.475760e+08 + i 1.126382e+08 ; -6.338068e+07 + i 1.591586e+08 ; -4.167159e+08 + i 1.810369e+08 ; 1.247900e+08 + i 2.119098e+08 ; -3.331363e+07 + i 3.999582e+07 ; -1.834298e+09 + i 1.672379e+09 ; -4.781632e+07 + i 7.439324e+07 ; -8.021733e+06 + i 2.972143e+07 ; -3.743776e+08 + i 5.493582e+08 ; 1.108463e+08 + i 1.665011e+08 ; 8.355059e+07 + i 1.165499e+08 ; -1.084003e+09 + i 1.236544e+09 ; -3.171994e+07 + i 7.945023e+07 ; 4.338135e+07 + i 4.333722e+07 ; -2.956995e+08 + i 4.647093e+08 ; 
-2.227120e+09 + i 4.429820e+09 ; 2.806069e+08 + i 3.133271e+08 ; 2.805984e+08 + i 3.133502e+08 ; -2.017733e+09 + i -1.563086e+09 ; -1.703213e+09 + i 1.981481e+09 ; -1.703234e+09 + i 1.981503e+09 ; -9.322738e+09 + i 8.999055e+09 ; -1.677099e+08 + i 6.745923e+07 ; 3.475874e+08 + i 5.579304e+08 ; -5.358609e+08 + i -5.071645e+09 ; -4.068810e+08 + i -4.021909e+08 ; -5.421352e+09 + i 4.338721e+09 ; -9.322778e+09 + i 8.999060e+09 ; 3.475871e+08 + i 5.579149e+08 ; -1.678520e+08 + i 6.743714e+07 ; -5.359279e+08 + i -5.071618e+09 ; -5.421343e+09 + i 4.338694e+09 ; -4.071387e+08 + i -4.023617e+08 ; -4.636569e+10 + i 2.180188e+10 ; -2.569655e+08 + i 4.822601e+06 ; -2.569944e+08 + i 4.810610e+06 ; 2.069904e+10 + i -1.621351e+10 ; -5.733406e+08 + i -1.050333e+09 ; -5.733000e+08 + i -1.050370e+09 ; 6.311691e+08 + i -5.457510e+08 ; -2.159332e+08 + i 3.690705e+08 ; -2.159337e+08 + i 3.690724e+08 ; 4.327021e+08 + i -1.307670e+08 ; -5.500724e+07 + i 1.573817e+08 ; -5.500804e+07 + i 1.573839e+08 ; 9.550005e+08 + i -4.898196e+08 ; -6.837677e+07 + i -1.505363e+07 ; -3.137370e+08 + i 4.600790e+08 ; 4.901074e+08 + i -7.671707e+07 ; -2.997957e+07 + i 8.340058e+06 ; -7.230514e+07 + i 1.797920e+08 ; 9.549855e+08 + i -4.897990e+08 ; -3.137356e+08 + i 4.600716e+08 ; -6.842436e+07 + i -1.507896e+07 ; 4.901049e+08 + i -7.671864e+07 ; -7.230572e+07 + i 1.797887e+08 ; -3.000351e+07 + i 8.335615e+06 ; 1.419641e+09 + i -2.418626e+08 ; -8.182834e+07 + i -3.451094e+07 ; -8.181648e+07 + i -3.451629e+07 ; 5.373296e+08 + i -1.799514e+06 ; -3.470424e+07 + i 4.648128e+06 ; -3.470368e+07 + i 4.645732e+06 ; 
-4.066190e+08 + i -4.218025e+08 ; -5.538607e+08 + i -5.137011e+09 ; 5.436837e+09 + i -4.325570e+09 ; -1.762349e+09 + i 1.972514e+09 ; -2.040900e+09 + i -1.610930e+09 ; 1.711702e+09 + i -1.975428e+09 ; -1.692914e+08 + i 5.764415e+07 ; -9.311927e+09 + i 8.970839e+09 ; -3.469889e+08 + i -5.784643e+08 ; 2.791038e+08 + i 3.053849e+08 ; -2.211327e+09 + i 4.411461e+09 ; -2.790928e+08 + i -3.139105e+08 ; -5.719818e+08 + i -1.086263e+09 ; 2.068773e+10 + i -1.629189e+10 ; 5.757094e+08 + i 1.078703e+09 ; -5.570538e+09 + i 4.336074e+09 ; -5.553774e+08 + i -5.128576e+09 ; 4.055398e+08 + i 4.054824e+08 ; -2.577521e+08 + i -4.671231e+06 ; -4.635411e+10 + i 2.177463e+10 ; 2.522806e+08 + i -5.741272e+06 ; 3.465726e+08 + i 5.519682e+08 ; -9.304319e+09 + i 8.982053e+09 ; 1.663021e+08 + i -6.521840e+07 ; -4.173996e+08 + i 1.085463e+08 ; -4.169724e+08 + i 1.820157e+08 ; 7.235560e+07 + i -1.416639e+08 ; -1.683493e+08 + i -2.825353e+07 ; -1.796407e+08 + i 1.466671e+08 ; 9.688124e+06 + i -4.833804e+07 ; -4.684648e+07 + i -1.087984e+07 ; -2.959810e+08 + i 4.647087e+08 ; -3.995458e+07 + i -4.752819e+07 ; -3.124477e+07 + i -3.053066e+07 ; -1.310210e+08 + i 2.008008e+08 ; -1.871516e+07 + i -1.858141e+07 ; -5.493482e+08 + i 9.294530e+07 ; -4.792317e+08 + i 1.510584e+08 ; 1.690995e+07 + i -1.117958e+07 ; -1.861925e+08 + i -4.417871e+07 ; -1.996214e+08 + i 1.476359e+08 ; 2.015449e+06 + i -1.115310e+07 ; -6.002041e+07 + i -3.406412e+07 ; -3.747191e+08 + i 5.492614e+08 ; 4.325254e+06 + i -3.122676e+07 ; -2.992483e+07 + i -3.956681e+07 ; -1.483946e+08 + i 2.168147e+08 ; -3.097778e+06 + i -1.714818e+07 ; 
-4.066886e+08 + i -4.217805e+08 ; 5.436834e+09 + i -4.325568e+09 ; -5.538297e+08 + i -5.137013e+09 ; -1.762348e+09 + i 1.972525e+09 ; 1.711700e+09 + i -1.975421e+09 ; -2.040806e+09 + i -1.610966e+09 ; -5.719770e+08 + i -1.086292e+09 ; 5.756837e+08 + i 1.078731e+09 ; 2.068827e+10 + i -1.629152e+10 ; -5.570540e+09 + i 4.336073e+09 ; 4.055242e+08 + i 4.055084e+08 ; -5.549318e+08 + i -5.128404e+09 ; -1.693400e+08 + i 5.766207e+07 ; -3.470356e+08 + i -5.784225e+08 ; -9.310949e+09 + i 8.971528e+09 ; 2.790831e+08 + i 3.054244e+08 ; -2.791212e+08 + i -3.138701e+08 ; -2.210667e+09 + i 4.411562e+09 ; -2.577934e+08 + i -4.705136e+06 ; 2.522852e+08 + i -5.737589e+06 ; -4.635421e+10 + i 2.177464e+10 ; 3.465701e+08 + i 5.519684e+08 ; 1.663056e+08 + i -6.521078e+07 ; -9.304169e+09 + i 8.982048e+09 ; -4.173818e+08 + i 1.085387e+08 ; 7.235479e+07 + i -1.416640e+08 ; -4.169707e+08 + i 1.820320e+08 ; -1.683473e+08 + i -2.825163e+07 ; 9.688271e+06 + i -4.833760e+07 ; -1.796366e+08 + i 1.466712e+08 ; -5.493481e+08 + i 9.294369e+07 ; 1.690690e+07 + i -1.117496e+07 ; -4.791702e+08 + i 1.510853e+08 ; -1.861913e+08 + i -4.417889e+07 ; 2.014237e+06 + i -1.115047e+07 ; -1.995890e+08 + i 1.476419e+08 ; -4.682845e+07 + i -1.088667e+07 ; -3.995640e+07 + i -4.752478e+07 ; -2.959442e+08 + i 4.646886e+08 ; -3.124054e+07 + i -3.052851e+07 ; -1.871479e+07 + i -1.858029e+07 ; -1.310213e+08 + i 2.007842e+08 ; -6.000292e+07 + i -3.406758e+07 ; 4.324854e+06 + i -3.122774e+07 ; -3.747071e+08 + i 5.492579e+08 ; -2.992121e+07 + i -3.956571e+07 ; -3.098060e+06 + i -1.714831e+07 ; -1.483880e+08 + i 2.168063e+08 ; 
-2.015613e+09 + i -1.560405e+09 ; 1.711901e+09 + i -1.952284e+09 ; 1.711924e+09 + i -1.952303e+09 ; -2.111391e+09 + i 4.490688e+09 ; -2.560674e+08 + i -2.759021e+08 ; -2.560576e+08 + i -2.759231e+08 ; -5.347140e+08 + i -5.067503e+09 ; 4.125662e+08 + i 4.186597e+08 ; 5.408759e+09 + i -4.292922e+09 ; -9.191728e+09 + i 9.101363e+09 ; 1.596757e+08 + i -4.582873e+07 ; -3.231121e+08 + i -5.328252e+08 ; -5.347900e+08 + i -5.067443e+09 ; 5.408749e+09 + i -4.292896e+09 ; 4.128104e+08 + i 4.188457e+08 ; -9.191756e+09 + i 9.101420e+09 ; -3.231136e+08 + i -5.328105e+08 ; 1.598039e+08 + i -4.580192e+07 ; 2.069770e+10 + i -1.621332e+10 ; 5.792095e+08 + i 1.082361e+09 ; 5.791658e+08 + i 1.082394e+09 ; -4.622079e+10 + i 2.196718e+10 ; 2.426562e+08 + i 1.265845e+07 ; 2.426813e+08 + i 1.267225e+07 ; 3.382420e+08 + i -1.120113e+09 ; -8.712800e+08 + i 8.825523e+08 ; -8.712863e+08 + i 8.825597e+08 ; 6.309449e+08 + i -5.479284e+08 ; -1.947888e+08 + i 3.800427e+08 ; -1.947942e+08 + i 3.800505e+08 ; 1.251225e+09 + i -1.840194e+09 ; -1.781698e+08 + i -2.018934e+08 ; -1.636858e+09 + i 1.371536e+09 ; 9.548492e+08 + i -4.912801e+08 ; -1.152201e+08 + i -5.022831e+07 ; -2.837581e+08 + i 4.912046e+08 ; 1.251271e+09 + i -1.840222e+09 ; -1.636852e+09 + i 1.371525e+09 ; -1.782444e+08 + i -2.019500e+08 ; 9.548718e+08 + i -4.912936e+08 ; -2.837562e+08 + i 4.911966e+08 ; -1.152773e+08 + i -5.025018e+07 ; 3.872863e+09 + i -3.200988e+09 ; -2.204858e+08 + i -3.259080e+08 ; -2.204722e+08 + i -3.259170e+08 ; 1.419462e+09 + i -2.419514e+08 ; -1.383768e+08 + i -7.906750e+07 ; -1.383786e+08 + i -7.907495e+07 ; 
1.697638e+09 + i -1.989901e+09 ; -2.039700e+09 + i -1.609800e+09 ; 1.699497e+09 + i -1.963918e+09 ; 3.672443e+08 + i 3.472004e+08 ; -5.633783e+08 + i -5.103695e+09 ; 5.390258e+09 + i -4.311960e+09 ; -2.896008e+08 + i -3.323057e+08 ; -2.211185e+09 + i 4.411266e+09 ; -2.829044e+08 + i -3.133919e+08 ; 1.356662e+08 + i -8.726638e+07 ; -9.287065e+09 + i 9.013679e+09 ; -3.561029e+08 + i -5.786670e+08 ; 5.396074e+09 + i -4.333422e+09 ; -5.539356e+08 + i -5.124990e+09 ; 4.096584e+08 + i 4.056142e+08 ; 5.296896e+08 + i 9.940936e+08 ; 2.067476e+10 + i -1.625926e+10 ; 5.777140e+08 + i 1.066887e+09 ; -3.575341e+08 + i -5.957203e+08 ; -9.303966e+09 + i 8.982001e+09 ; 1.653603e+08 + i -6.610699e+07 ; 2.172893e+08 + i -3.473147e+07 ; -4.632795e+10 + i 2.182202e+10 ; 2.501600e+08 + i -9.701183e+06 ; -9.066244e+08 + i 8.751492e+08 ; -8.008530e+08 + i -5.786195e+07 ; 4.919902e+08 + i -5.297210e+08 ; -4.450259e+08 + i 1.122254e+08 ; -4.166667e+08 + i 1.810754e+08 ; 6.060789e+07 + i -1.563219e+08 ; 1.088724e+08 + i 1.651133e+08 ; -1.084106e+09 + i 1.236498e+09 ; -8.316704e+07 + i -1.138578e+08 ; -3.183133e+07 + i 7.867352e+07 ; -2.957187e+08 + i 4.647286e+08 ; -4.292376e+07 + i -4.206823e+07 ; -1.684021e+09 + i 1.348533e+09 ; -8.060284e+08 + i -3.439447e+08 ; 7.745028e+07 + i 6.252511e+07 ; -5.896697e+08 + i 4.977236e+07 ; -4.787118e+08 + i 1.499134e+08 ; 2.911569e+07 + i -2.658361e+06 ; 1.225731e+08 + i 2.102526e+08 ; -1.834222e+09 + i 1.672367e+09 ; 3.191521e+07 + i -3.958570e+07 ; -4.788238e+07 + i 7.363222e+07 ; -3.743646e+08 + i 5.493663e+08 ; 7.433515e+06 + i -2.918436e+07 ; 
