-4.518553e+09 + i 2.535323e+10 ; -1.349412e+08 + i 4.646507e+08 ; -1.346517e+08 + i 4.664130e+08 ; -6.874484e+09 + i -6.176810e+09 ; -4.933808e+08 + i -1.071925e+09 ; -4.947531e+08 + i -1.071771e+09 ; 2.346596e+09 + i 3.041558e+09 ; 1.726145e+08 + i 5.707241e+08 ; 1.812385e+08 + i 2.935772e+08 ; 5.680656e+07 + i 3.337060e+09 ; -1.981558e+09 + i -1.063658e+09 ; -3.712058e+08 + i -2.412425e+07 ; 2.348682e+09 + i 3.042363e+09 ; 1.812943e+08 + i 2.909278e+08 ; 1.720316e+08 + i 5.689037e+08 ; 5.770267e+07 + i 3.340112e+09 ; -3.660355e+08 + i -2.364037e+07 ; -1.981379e+09 + i -1.063925e+09 ; 1.856227e+09 + i -4.014451e+08 ; 2.882719e+08 + i 2.785187e+08 ; 2.907177e+08 + i 2.788855e+08 ; 2.040298e+09 + i -8.270403e+07 ; -6.482300e+08 + i 8.024812e+07 ; -6.467151e+08 + i 7.989528e+07 ; -3.311282e+08 + i -9.438794e+08 ; -3.489532e+07 + i 6.056301e+07 ; -3.520294e+07 + i 6.081467e+07 ; 5.971820e+06 + i -5.614916e+08 ; 2.273746e+07 + i 2.084442e+07 ; 2.285005e+07 + i 2.100284e+07 ; -5.184668e+08 + i 5.346083e+07 ; -9.246978e+07 + i 7.801255e+07 ; 2.378350e+06 + i 6.220843e+07 ; -3.812230e+08 + i -8.002290e+07 ; 9.348601e+06 + i 2.407021e+07 ; 2.789254e+07 + i 1.091355e+07 ; -5.175131e+08 + i 5.421441e+07 ; 3.105952e+06 + i 6.200741e+07 ; -9.268156e+07 + i 7.809852e+07 ; -3.809207e+08 + i -7.937462e+07 ; 2.786396e+07 + i 1.069011e+07 ; 9.295899e+06 + i 2.416700e+07 ; -1.181044e+08 + i 5.115751e+08 ; -3.708649e+07 + i 7.261773e+07 ; -3.741872e+07 + i 7.236380e+07 ; -2.202903e+08 + i 3.932932e+08 ; 1.654937e+07 + i 1.371025e+07 ; 1.644465e+07 + i 1.371836e+07 ; 
-2.163748e+08 + i -4.042503e+08 ; -1.850935e+08 + i -4.164235e+08 ; 1.883503e+09 + i -3.577966e+08 ; -1.217245e+08 + i -3.642100e+08 ; 1.831665e+07 + i -6.319221e+08 ; 2.322325e+09 + i 2.997462e+09 ; -6.651788e+06 + i -6.370400e+08 ; -9.197099e+07 + i -3.886107e+08 ; 2.324041e+09 + i 3.063292e+09 ; 2.490896e+08 + i -4.183655e+08 ; 2.805055e+08 + i -4.254140e+08 ; -4.563137e+09 + i 2.527566e+10 ; 7.654242e+08 + i 1.699691e+08 ; 7.735670e+08 + i 2.081811e+08 ; 2.128664e+09 + i -9.293026e+07 ; 4.639384e+08 + i 1.299386e+08 ; 1.609669e+09 + i 1.786628e+09 ; 1.153502e+08 + i 3.335631e+09 ; 1.622264e+09 + i 1.739878e+09 ; 4.840251e+08 + i 1.790624e+08 ; 1.100776e+08 + i 3.402394e+09 ; 8.598022e+07 + i 1.152475e+09 ; 9.489999e+07 + i 1.233767e+09 ; -6.913493e+09 + i -6.133420e+09 ; 1.260192e+08 + i 1.649281e+08 ; -3.383542e+07 + i -1.213555e+08 ; 5.123668e+08 + i 1.342527e+08 ; 8.504291e+07 + i 1.757689e+08 ; -4.244872e+07 + i -2.416307e+07 ; 1.095731e+08 + i -1.484626e+08 ; 5.904814e+07 + i 2.720340e+08 ; 5.707260e+06 + i -9.812664e+07 ; 5.560943e+08 + i 5.846986e+08 ; -2.597275e+07 + i 2.364640e+08 ; -3.597533e+07 + i -2.529671e+07 ; 1.967565e+08 + i -8.275252e+07 ; -2.945630e+08 + i -1.331387e+08 ; 1.347675e+08 + i 5.876745e+07 ; 4.542233e+08 + i 1.832963e+08 ; -1.956295e+08 + i -1.330596e+08 ; 8.629444e+06 + i -2.351108e+07 ; 1.087042e+08 + i -1.487720e+08 ; -5.721111e+08 + i -4.719364e+08 ; 1.700953e+06 + i 2.883288e+07 ; 2.735965e+08 + i 6.309677e+08 ; -2.295827e+08 + i -4.184124e+08 ; 1.879215e+06 + i -1.703690e+07 ; 2.159136e+08 + i -6.599870e+07 ; 
2.325923e+09 + i 3.009494e+09 ; 1.669615e+08 + i 3.069838e+08 ; -1.942368e+08 + i -5.756881e+08 ; 3.299539e+07 + i 3.358925e+09 ; -3.972483e+08 + i -3.089120e+07 ; 1.873498e+09 + i 1.752595e+09 ; 1.843755e+09 + i -3.814581e+08 ; 2.724867e+08 + i 3.070142e+08 ; -2.303827e+08 + i -3.488614e+08 ; 2.049463e+09 + i -6.996632e+07 ; -6.628062e+08 + i 5.363719e+07 ; 7.503452e+08 + i 8.470674e+07 ; -4.529261e+09 + i 2.531112e+10 ; -1.480004e+08 + i 4.567785e+08 ; 1.698019e+08 + i -4.843228e+08 ; -6.900704e+09 + i -6.173764e+09 ; -4.611981e+08 + i -1.103906e+09 ; 3.691772e+08 + i 1.200260e+09 ; 2.314818e+09 + i 3.058378e+09 ; 1.449241e+08 + i 5.648544e+08 ; -1.285836e+08 + i -3.351056e+08 ; 4.847690e+07 + i 3.354987e+09 ; -1.992247e+09 + i -1.207764e+09 ; 4.141527e+08 + i 7.944064e+07 ; -5.083446e+08 + i 5.938479e+07 ; -1.023503e+06 + i 6.481346e+07 ; 1.174513e+08 + i -6.817354e+07 ; -3.782017e+08 + i -7.343798e+07 ; 2.758102e+07 + i 1.290783e+07 ; -6.135559e+06 + i -2.940911e+07 ; -1.119217e+08 + i 5.077514e+08 ; -4.225669e+07 + i 7.239594e+07 ; 5.632567e+07 + i -7.318943e+07 ; -2.147361e+08 + i 3.935501e+08 ; 1.593698e+07 + i 1.495227e+07 ; -1.547289e+07 + i -1.969111e+07 ; -3.316029e+08 + i -9.433139e+08 ; -3.672173e+07 + i 6.088957e+07 ; 5.398883e+07 + i -6.360039e+07 ; 3.362096e+06 + i -5.629411e+08 ; 2.318864e+07 + i 2.257519e+07 ; -2.076557e+07 + i -2.917620e+07 ; -5.168469e+08 + i 5.104623e+07 ; -9.692428e+07 + i 7.593546e+07 ; 1.323946e+07 + i -7.375146e+07 ; -3.820106e+08 + i -7.972694e+07 ; 9.278910e+06 + i 2.509625e+07 ; -2.781954e+07 + i -1.915206e+07 ; 
1.406066e+08 + i 2.998711e+08 ; 2.360161e+09 + i 3.073350e+09 ; -1.911485e+08 + i -5.791987e+08 ; 2.377688e+08 + i 3.046959e+08 ; 1.903517e+09 + i -3.677298e+08 ; -2.309058e+08 + i -3.471804e+08 ; -4.103829e+08 + i -5.748970e+07 ; 9.299815e+07 + i 3.424864e+09 ; 1.887637e+09 + i 1.752353e+09 ; -6.876386e+08 + i 1.387162e+07 ; 2.137547e+09 + i -8.773950e+07 ; 7.628593e+08 + i 8.553766e+07 ; -1.672722e+08 + i 4.451062e+08 ; -4.560112e+09 + i 2.536524e+10 ; 1.721268e+08 + i -4.874212e+08 ; 1.166476e+08 + i 5.519292e+08 ; 2.319004e+09 + i 3.099990e+09 ; -1.293221e+08 + i -3.337890e+08 ; -4.628320e+08 + i -1.132901e+09 ; -6.921707e+09 + i -6.069869e+09 ; 3.803030e+08 + i 1.199111e+09 ; -2.003055e+09 + i -1.258841e+09 ; 1.046603e+08 + i 3.413919e+09 ; 4.243427e+08 + i 7.955002e+07 ; -5.307802e+07 + i 1.158149e+08 ; 1.020808e+08 + i -1.448544e+08 ; -4.167273e+07 + i -3.449474e+07 ; -6.416431e+07 + i 8.792977e+07 ; -1.325805e+07 + i -3.423840e+07 ; -1.760764e+07 + i -2.119187e+04 ; -2.239548e+08 + i -1.628567e+08 ; 1.081013e+08 + i -1.460227e+08 ; 1.103194e+07 + i -2.145239e+07 ; -1.338950e+08 + i -1.417234e+08 ; -1.565376e+07 + i -3.240026e+07 ; -4.841572e+06 + i -4.083069e+06 ; -8.672129e+07 + i 6.509329e+07 ; 1.890098e+08 + i -8.439311e+07 ; -3.264496e+07 + i -3.010591e+07 ; -8.220954e+07 + i 3.933159e+07 ; 1.439446e+07 + i -3.841601e+07 ; -1.549732e+07 + i 1.142879e+05 ; -2.270112e+08 + i -3.505005e+08 ; 2.150592e+08 + i -6.617872e+07 ; -1.068610e+07 + i -2.641705e+07 ; -7.896711e+07 + i -2.506410e+08 ; 1.057967e+07 + i -4.012374e+07 ; -8.413465e+06 + i -3.525845e+06 ; 
6.107851e+08 + i 1.069950e+09 ; 6.239451e+08 + i 1.041479e+09 ; -6.912299e+09 + i -6.040996e+09 ; 2.014696e+09 + i 1.296941e+09 ; 3.911335e+08 + i 2.501002e+07 ; 9.126012e+07 + i 3.427620e+09 ; 3.872048e+08 + i 5.249917e+07 ; 2.018044e+09 + i 1.243713e+09 ; 1.129847e+08 + i 3.436768e+09 ; 7.166278e+08 + i -1.029979e+06 ; 7.036563e+08 + i -4.504979e+07 ; 2.152140e+09 + i -6.960779e+07 ; 1.309323e+08 + i -4.855293e+08 ; 1.135075e+08 + i -5.006185e+08 ; -4.553794e+09 + i 2.537390e+10 ; -2.897220e+08 + i -5.016767e+08 ; -2.000169e+08 + i -3.033696e+08 ; 2.360449e+09 + i 3.071575e+09 ; -1.756515e+08 + i -2.969818e+08 ; -3.134200e+08 + i -5.149877e+08 ; 2.380464e+09 + i 3.081686e+09 ; -2.524269e+08 + i -2.840370e+08 ; -2.832304e+08 + i -2.841479e+08 ; 1.903738e+09 + i -4.071659e+08 ; 2.174033e+08 + i 3.609991e+08 ; -1.621907e+07 + i -2.122152e+07 ; 2.069263e+08 + i -6.876749e+07 ; 6.904036e+07 + i 2.565355e+08 ; -8.828162e+06 + i -1.192820e+06 ; 1.004920e+07 + i -3.936668e+07 ; 2.270264e+08 + i 1.743859e+08 ; 4.574541e+06 + i -2.125596e+07 ; 1.043941e+08 + i -1.451381e+08 ; 1.327727e+08 + i 1.528224e+08 ; -5.225716e+06 + i -2.388193e+06 ; -1.591784e+07 + i -3.277367e+07 ; 6.545103e+07 + i -7.012681e+07 ; -3.552046e+07 + i -2.064792e+07 ; 1.876449e+08 + i -8.421399e+07 ; 7.008711e+07 + i -4.452640e+07 ; -1.388236e+07 + i 3.190550e+06 ; 1.344706e+07 + i -3.648014e+07 ; 4.528414e+07 + i -1.135057e+08 ; -4.489929e+07 + i -2.276505e+07 ; 1.020186e+08 + i -1.460023e+08 ; 5.863112e+07 + i -8.556140e+07 ; -1.536276e+07 + i 3.583646e+06 ; -1.375058e+07 + i -3.264616e+07 ; 
-1.739953e+07 + i 3.342585e+09 ; 4.325751e+08 + i 6.947011e+07 ; -1.617026e+09 + i -1.808258e+09 ; 2.274459e+09 + i 3.009470e+09 ; -1.470946e+08 + i -2.919462e+08 ; 4.377877e+08 + i 5.138458e+08 ; 2.049922e+09 + i -4.234624e+07 ; 7.149116e+08 + i -1.693245e+07 ; -7.358183e+08 + i -1.247839e+08 ; 1.802363e+09 + i -3.458539e+08 ; -2.381952e+08 + i -2.923875e+08 ; 2.079728e+08 + i 2.768977e+08 ; -6.914335e+09 + i -6.180450e+09 ; 4.212615e+08 + i 1.141598e+09 ; -5.913502e+08 + i -1.182185e+09 ; -4.561580e+09 + i 2.520412e+10 ; 1.936071e+08 + i -4.396184e+08 ; -2.965238e+08 + i 3.869169e+08 ; 3.902890e+07 + i 3.382031e+09 ; 1.989622e+09 + i 1.341409e+09 ; -4.343011e+08 + i -7.082910e+07 ; 2.252736e+09 + i 3.024771e+09 ; -8.168968e+07 + i -5.308614e+08 ; 9.083617e+07 + i 2.874654e+08 ; -5.700563e+08 + i 2.323345e+08 ; -1.891729e+08 + i -7.186943e+07 ; 4.636279e+08 + i 4.717299e+08 ; -5.005797e+08 + i 5.887682e+07 ; -1.526164e+07 + i 9.423858e+07 ; 1.176671e+08 + i -6.860613e+07 ; 3.585539e+07 + i 5.916921e+08 ; -3.690946e+08 + i -5.911366e+07 ; 3.236096e+08 + i 1.572348e+08 ; -1.048782e+08 + i 5.052879e+08 ; -3.283273e+07 + i 1.022881e+08 ; 5.967865e+07 + i -7.983697e+07 ; -1.109762e+09 + i -1.270136e+09 ; -1.831323e+08 + i -3.156245e+08 ; 3.606821e+05 + i 3.535476e+08 ; -3.345272e+08 + i -9.392769e+08 ; -8.739404e+07 + i 8.844787e+07 ; 9.535196e+07 + i -4.177047e+07 ; -5.982365e+08 + i 2.314464e+08 ; -6.209935e+08 + i -3.437027e+08 ; 1.273311e+08 + i 1.317129e+08 ; -5.180026e+08 + i 5.238424e+07 ; -1.017126e+08 + i 1.181859e+08 ; 3.584326e+07 + i -7.495749e+07 ; 
-2.081799e+08 + i -3.804298e+08 ; 1.886727e+09 + i -3.566723e+08 ; -1.565057e+08 + i -3.689645e+08 ; -1.306776e+08 + i -3.359071e+08 ; 2.327250e+09 + i 2.998407e+09 ; -1.316384e+08 + i -5.917743e+08 ; 7.039973e+08 + i 9.994753e+07 ; 2.136311e+09 + i -8.118269e+07 ; 7.610477e+08 + i 1.560494e+08 ; 4.133932e+08 + i 6.383759e+07 ; 8.774763e+07 + i 3.343560e+09 ; 1.699308e+09 + i 1.829350e+09 ; -1.906400e+07 + i -5.984088e+08 ; 2.310236e+09 + i 3.070579e+09 ; -9.208310e+07 + i -3.346232e+08 ; 2.289218e+08 + i -4.282046e+08 ; -4.564394e+09 + i 2.526494e+10 ; 1.995132e+08 + i -4.588140e+08 ; 1.688132e+09 + i 1.809951e+09 ; 1.057653e+08 + i 3.420769e+09 ; 4.233603e+08 + i 1.147840e+08 ; 1.685412e+08 + i 1.162669e+09 ; -6.918449e+09 + i -6.142035e+09 ; 2.477489e+08 + i 1.188039e+09 ; 1.217319e+08 + i 1.714681e+08 ; 5.112148e+08 + i 1.329486e+08 ; -3.319128e+07 + i -1.182487e+08 ; 8.024682e+07 + i 1.800997e+08 ; 1.090608e+08 + i -1.479181e+08 ; -4.169614e+07 + i -2.392119e+07 ; -3.017727e+08 + i -1.515853e+08 ; 4.532248e+08 + i 1.834095e+08 ; 1.395326e+08 + i 5.873787e+07 ; -1.948627e+08 + i -1.461132e+08 ; 1.090149e+08 + i -1.488557e+08 ; 8.972246e+06 + i -2.464562e+07 ; 5.397891e+07 + i 2.891963e+08 ; 5.556586e+08 + i 5.841145e+08 ; 4.025735e+06 + i -9.528411e+07 ; -3.270443e+07 + i 2.465813e+08 ; 1.966934e+08 + i -8.196330e+07 ; -3.524460e+07 + i -2.482655e+07 ; -5.709254e+08 + i -4.709804e+08 ; 2.751177e+08 + i 6.290257e+08 ; 6.373240e+06 + i 2.800212e+07 ; -2.295405e+08 + i -4.167567e+08 ; 2.167100e+08 + i -6.646404e+07 ; 2.406310e+06 + i -1.791135e+07 ; 
-1.622390e+09 + i -1.771765e+09 ; 3.664923e+08 + i 2.327355e+07 ; 3.181103e+07 + i 3.395728e+09 ; -5.803566e+08 + i -1.076063e+09 ; 5.501360e+08 + i 1.132455e+09 ; -6.943035e+09 + i -6.149775e+09 ; -7.390441e+08 + i -1.371551e+08 ; 7.168300e+08 + i -2.400973e+07 ; 2.133935e+09 + i -4.689560e+07 ; -3.635656e+08 + i -4.928000e+07 ; 1.991001e+09 + i 1.369220e+09 ; 8.435056e+07 + i 3.363240e+09 ; 4.934876e+08 + i 5.427443e+08 ; -1.813652e+08 + i -3.140563e+08 ; 2.374584e+09 + i 3.073775e+09 ; -2.559001e+08 + i 4.094446e+08 ; 1.452477e+08 + i -4.986306e+08 ; -4.557290e+09 + i 2.531631e+10 ; 2.447488e+08 + i 3.301587e+08 ; -2.373657e+08 + i -2.828027e+08 ; 1.909343e+09 + i -4.047480e+08 ; 1.758003e+08 + i 3.457843e+08 ; -2.731131e+08 + i -5.699251e+08 ; 2.367901e+09 + i 3.002450e+09 ; 5.950482e+08 + i 4.426096e+08 ; 4.391829e+07 + i 2.306185e+07 ; 2.994672e+08 + i 6.209826e+08 ; 2.487118e+08 + i 3.969073e+08 ; 1.612473e+06 + i -2.439887e+07 ; 2.182876e+08 + i -7.084127e+07 ; 3.077191e+08 + i 1.234530e+08 ; 1.755901e+08 + i 2.806681e+07 ; 4.589478e+08 + i 1.773524e+08 ; 2.017056e+08 + i 1.271171e+08 ; 7.392450e+06 + i -3.197783e+07 ; 1.108012e+08 + i -1.516463e+08 ; 4.065273e+07 + i -3.019203e+08 ; -2.714649e+07 + i -1.021028e+08 ; 5.522956e+08 + i 5.815959e+08 ; 9.000811e+07 + i -2.332162e+08 ; -4.707328e+07 + i -1.623265e+07 ; 1.907135e+08 + i -8.487834e+07 ; -8.908865e+07 + i -1.932874e+08 ; -6.573315e+07 + i -1.145017e+08 ; 5.085011e+08 + i 1.313625e+08 ; -5.538753e+07 + i -1.931373e+08 ; -5.210175e+07 + i -1.336395e+07 ; 1.022828e+08 + i -1.486891e+08 ; 
1.821015e+09 + i -3.699163e+08 ; -1.544202e+08 + i -3.474468e+08 ; -1.540967e+08 + i -3.476261e+08 ; 2.050606e+09 + i -6.427162e+07 ; 7.055125e+08 + i 1.212273e+08 ; 7.058386e+08 + i 1.219497e+08 ; 2.306965e+09 + i 3.028061e+09 ; -1.061097e+08 + i -3.332487e+08 ; -1.308326e+08 + i -5.773502e+08 ; 4.160505e+07 + i 3.370891e+09 ; 3.992063e+08 + i 7.748741e+07 ; 1.723464e+09 + i 1.886145e+09 ; 2.309318e+09 + i 3.028793e+09 ; -1.302033e+08 + i -5.765173e+08 ; -1.064402e+08 + i -3.312275e+08 ; 4.216385e+07 + i 3.373483e+09 ; 1.721574e+09 + i 1.887821e+09 ; 3.953975e+08 + i 7.555824e+07 ; -4.538036e+09 + i 2.528160e+10 ; 1.993931e+08 + i -4.765201e+08 ; 1.972242e+08 + i -4.749957e+08 ; -6.915825e+09 + i -6.168107e+09 ; 3.066557e+08 + i 1.215479e+09 ; 3.061782e+08 + i 1.213308e+09 ; -1.062167e+08 + i 4.992001e+08 ; 6.019216e+07 + i -6.676690e+07 ; 6.031105e+07 + i -6.692623e+07 ; -2.095406e+08 + i 3.903860e+08 ; -1.344180e+07 + i -1.997853e+07 ; -1.350239e+07 + i -1.999554e+07 ; -5.065396e+08 + i 5.597093e+07 ; 1.715814e+07 + i -7.225236e+07 ; 1.181024e+08 + i -5.869021e+07 ; -3.786097e+08 + i -7.422228e+07 ; -2.576012e+07 + i -2.024923e+07 ; -5.148625e+06 + i -2.920640e+07 ; -5.056290e+08 + i 5.676129e+07 ; 1.180090e+08 + i -5.862510e+07 ; 1.681461e+07 + i -7.229606e+07 ; -3.783181e+08 + i -7.360511e+07 ; -5.016812e+06 + i -2.920541e+07 ; -2.576596e+07 + i -2.012917e+07 ; -3.284930e+08 + i -9.414835e+08 ; 5.445636e+07 + i -5.991161e+07 ; 5.469982e+07 + i -5.987175e+07 ; 3.551912e+06 + i -5.623881e+08 ; -1.970259e+07 + i -3.026179e+07 ; -1.965593e+07 + i -3.012937e+07 ; 
3.900306e+08 + i 5.672188e+07 ; 5.526464e+07 + i 3.421370e+09 ; -1.619196e+09 + i -1.826382e+09 ; 7.130890e+08 + i 2.061439e+07 ; 2.131530e+09 + i -5.032423e+07 ; -7.012268e+08 + i -1.616485e+08 ; -1.434246e+08 + i -3.074563e+08 ; 2.378008e+09 + i 3.081485e+09 ; 4.288874e+08 + i 5.365471e+08 ; -2.064261e+08 + i -2.832103e+08 ; 1.909199e+09 + i -4.031377e+08 ; 2.032928e+08 + i 3.330811e+08 ; 5.302444e+08 + i 1.146977e+09 ; -6.950050e+09 + i -6.067231e+09 ; -5.919460e+08 + i -1.158306e+09 ; 1.982017e+09 + i 1.411136e+09 ; 6.927174e+07 + i 3.447922e+09 ; -4.072222e+08 + i -8.338659e+07 ; 1.734051e+08 + i -4.883836e+08 ; -4.542730e+09 + i 2.538582e+10 ; -3.047467e+08 + i 4.293143e+08 ; -2.184319e+08 + i -5.433968e+08 ; 2.371816e+09 + i 3.079686e+09 ; 9.024462e+07 + i 3.610743e+08 ; 2.230032e+08 + i 1.833706e+08 ; 1.062224e+08 + i -1.417297e+08 ; -1.585195e+07 + i 1.900354e+07 ; 1.297193e+08 + i 1.574175e+08 ; -1.430000e+07 + i -3.285922e+07 ; 3.596683e+06 + i 5.543549e+06 ; 5.859565e+07 + i -1.095377e+08 ; 1.036174e+08 + i -1.435572e+08 ; 3.696772e+07 + i 3.784743e+07 ; 6.690892e+07 + i -8.143260e+07 ; -1.263392e+07 + i -3.292299e+07 ; 1.736040e+07 + i 1.803595e+06 ; 2.073003e+08 + i 3.743227e+08 ; 2.074161e+08 + i -6.517163e+07 ; 3.027815e+06 + i 2.560596e+07 ; 6.161535e+07 + i 2.624335e+08 ; 1.116740e+07 + i -3.923652e+07 ; 7.257438e+06 + i 5.411348e+06 ; 8.050061e+07 + i -6.552747e+07 ; 1.882585e+08 + i -8.290243e+07 ; 2.803273e+07 + i 3.290600e+07 ; 8.011683e+07 + i -3.904083e+07 ; 1.419585e+07 + i -3.688629e+07 ; 1.532482e+07 + i 1.601173e+06 ; 
3.899142e+08 + i 5.924817e+07 ; -1.618473e+09 + i -1.826720e+09 ; 5.406471e+07 + i 3.420140e+09 ; 7.137648e+08 + i 1.972128e+07 ; -7.008494e+08 + i -1.627268e+08 ; 2.129357e+09 + i -5.361086e+07 ; 5.281863e+08 + i 1.147323e+09 ; -5.902584e+08 + i -1.158204e+09 ; -6.944407e+09 + i -6.064815e+09 ; 1.982728e+09 + i 1.411722e+09 ; -4.067484e+08 + i -8.311976e+07 ; 7.988089e+07 + i 3.443272e+09 ; -1.428352e+08 + i -3.051077e+08 ; 4.318151e+08 + i 5.385631e+08 ; 2.396794e+09 + i 3.087646e+09 ; -2.032557e+08 + i -2.821358e+08 ; 2.052642e+08 + i 3.326493e+08 ; 1.910377e+09 + i -4.115641e+08 ; 1.691298e+08 + i -4.884022e+08 ; -3.053062e+08 + i 4.293041e+08 ; -4.545868e+09 + i 2.539338e+10 ; -2.182403e+08 + i -5.426599e+08 ; 8.950584e+07 + i 3.607850e+08 ; 2.376184e+09 + i 3.074974e+09 ; 2.231604e+08 + i 1.826795e+08 ; -1.580223e+07 + i 1.878562e+07 ; 1.066142e+08 + i -1.426354e+08 ; 1.301832e+08 + i 1.571450e+08 ; 3.520495e+06 + i 5.474019e+06 ; -1.460952e+07 + i -3.311037e+07 ; 2.069730e+08 + i 3.745653e+08 ; 3.227896e+06 + i 2.552824e+07 ; 2.081344e+08 + i -6.598204e+07 ; 6.137511e+07 + i 2.626776e+08 ; 7.277283e+06 + i 5.325950e+06 ; 1.083122e+07 + i -3.953624e+07 ; 5.890393e+07 + i -1.096279e+08 ; 3.709275e+07 + i 3.782819e+07 ; 1.036948e+08 + i -1.443596e+08 ; 6.720847e+07 + i -8.122759e+07 ; 1.735092e+07 + i 1.769739e+06 ; -1.286457e+07 + i -3.297095e+07 ; 8.080916e+07 + i -6.613872e+07 ; 2.809052e+07 + i 3.301007e+07 ; 1.887301e+08 + i -8.304773e+07 ; 8.032684e+07 + i -3.924220e+07 ; 1.539651e+07 + i 1.583425e+06 ; 1.404956e+07 + i -3.683577e+07 ; 
2.029107e+09 + i -1.625040e+07 ; -7.136614e+08 + i -1.914244e+08 ; -7.144503e+08 + i -1.924165e+08 ; 1.804877e+09 + i -3.343941e+08 ; 1.001144e+08 + i 2.388406e+08 ; 9.970686e+07 + i 2.392929e+08 ; -2.232743e+07 + i 3.366249e+09 ; -3.892997e+08 + i -6.456882e+07 ; -1.524716e+09 + i -1.888852e+09 ; 2.280594e+09 + i 3.020020e+09 ; 8.170824e+07 + i 3.260180e+08 ; 3.247757e+08 + i 5.182172e+08 ; -2.100119e+07 + i 3.366913e+09 ; -1.522030e+09 + i -1.889964e+09 ; -3.848847e+08 + i -6.253355e+07 ; 2.283781e+09 + i 3.022173e+09 ; 3.251834e+08 + i 5.172729e+08 ; 8.229150e+07 + i 3.243067e+08 ; -6.954470e+09 + i -6.202903e+09 ; -4.860053e+08 + i -1.208130e+09 ; -4.845925e+08 + i -1.205687e+09 ; -4.558612e+09 + i 2.520874e+10 ; -3.090609e+08 + i 3.834491e+08 ; -3.068723e+08 + i 3.824634e+08 ; 3.924226e+07 + i 5.772445e+08 ; 3.417375e+08 + i 1.932583e+08 ; 3.423211e+08 + i 1.935077e+08 ; -9.955994e+07 + i 4.978829e+08 ; 7.323715e+07 + i -8.265418e+07 ; 7.343880e+07 + i -8.276112e+07 ; -5.745107e+08 + i 2.278947e+08 ; 1.627865e+08 + i 1.575209e+08 ; 4.502172e+08 + i 4.995673e+08 ; -5.048892e+08 + i 5.732286e+07 ; 4.875656e+07 + i -8.091791e+07 ; 1.233565e+08 + i -6.837238e+07 ; -5.737137e+08 + i 2.282130e+08 ; 4.491928e+08 + i 4.995296e+08 ; 1.619001e+08 + i 1.567997e+08 ; -5.046840e+08 + i 5.758233e+07 ; 1.234059e+08 + i -6.782026e+07 ; 4.826278e+07 + i -8.061325e+07 ; -1.105779e+09 + i -1.271286e+09 ; 4.335114e+06 + i 3.576941e+08 ; 4.532842e+06 + i 3.573079e+08 ; -3.349288e+08 + i -9.398786e+08 ; 9.977964e+07 + i -4.369416e+07 ; 9.912777e+07 + i -4.369137e+07 ; 
-6.892730e+08 + i -1.553205e+08 ; 2.119021e+09 + i -2.988313e+07 ; -6.977548e+08 + i -1.902039e+08 ; -3.510248e+08 + i -1.214000e+07 ; 3.607506e+07 + i 3.349556e+09 ; -1.504922e+09 + i -1.881037e+09 ; 1.460449e+08 + i 2.764197e+08 ; 1.912414e+09 + i -3.889835e+08 ; 1.069809e+08 + i 2.864276e+08 ; 1.183316e+08 + i 3.427212e+08 ; 2.369880e+09 + i 3.004052e+09 ; 3.344914e+08 + i 5.680435e+08 ; -1.514414e+09 + i -1.834959e+09 ; 2.069550e+07 + i 3.416875e+09 ; -3.692307e+08 + i -5.986538e+07 ; -4.564107e+08 + i -1.119581e+09 ; -6.968469e+09 + i -6.169158e+09 ; -4.673699e+08 + i -1.199358e+09 ; 3.660990e+08 + i 5.779684e+08 ; 2.379987e+09 + i 3.085589e+09 ; 8.097068e+07 + i 3.653536e+08 ; -2.699614e+08 + i 4.193750e+08 ; -4.542921e+09 + i 2.531951e+10 ; -3.097779e+08 + i 4.230568e+08 ; 2.836381e+08 + i 1.454421e+08 ; 4.547343e+08 + i 1.809348e+08 ; -1.433843e+08 + i -7.023341e+07 ; 1.814438e+08 + i 1.380911e+08 ; 1.123437e+08 + i -1.488102e+08 ; -1.225095e+07 + i 2.564552e+07 ; -9.822946e+07 + i -2.050821e+08 ; 5.073048e+08 + i 1.328293e+08 ; 2.519376e+07 + i 1.184905e+08 ; -5.499956e+07 + i -2.009464e+08 ; 1.035064e+08 + i -1.475141e+08 ; 4.027590e+07 + i 2.731263e+07 ; 5.581718e+08 + i 4.776202e+08 ; 2.934519e+08 + i 6.220968e+08 ; -1.365862e+07 + i -3.160020e+07 ; 2.197253e+08 + i 4.128032e+08 ; 2.188290e+08 + i -6.883233e+07 ; -5.320083e+06 + i 1.897424e+07 ; 3.212731e+07 + i -2.934277e+08 ; 5.539130e+08 + i 5.812241e+08 ; -9.848766e+06 + i 9.564004e+07 ; 8.527555e+07 + i -2.289061e+08 ; 1.924296e+08 + i -8.489820e+07 ; 3.385502e+07 + i 2.738190e+07 ; 
