1.450027e+00 + i 5.889776e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.149254e-01 + i -2.812910e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.901021e-02 + i -2.488340e-03 ; -5.698805e-02 + i -7.458416e-03 ; 0.000000e+00 + i -0.000000e+00 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.901021e-02 + i -2.488340e-03 ; 0.000000e+00 + i -0.000000e+00 ; -5.698805e-02 + i -7.458416e-03 ; 3.797784e-02 + i 4.970077e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.157874e-05 + i -1.858830e-06 ; -2.068121e-02 + i -2.706692e-03 ; -2.068121e-02 + i -2.706692e-03 ; -1.057816e-02 + i -1.384779e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.150526e-03 + i -5.435512e-04 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -7.204936e-03 + i -9.433027e-04 ; -4.240203e-03 + i -5.549445e-04 ; 0.000000e+00 + i -0.000000e+00 ; -3.364748e-03 + i -4.407110e-04 ; -1.401589e-03 + i -1.834356e-04 ; 0.000000e+00 + i -0.000000e+00 ; -7.204936e-03 + i -9.433027e-04 ; 0.000000e+00 + i -0.000000e+00 ; -4.240203e-03 + i -5.549445e-04 ; -3.364748e-03 + i -4.407110e-04 ; 0.000000e+00 + i -0.000000e+00 ; -1.401589e-03 + i -1.834356e-04 ; -5.057533e-03 + i -6.622574e-04 ; -3.206083e-03 + i -4.196021e-04 ; -3.206083e-03 + i -4.196021e-04 ; -2.754910e-03 + i -3.608973e-04 ; -1.191674e-03 + i -1.559625e-04 ; -1.191674e-03 + i -1.559625e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; 1.450027e+00 + i 5.889776e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.149254e-01 + i -2.812910e-02 ; 0.000000e+00 + i -0.000000e+00 ; -5.698805e-02 + i -7.458416e-03 ; -1.901021e-02 + i -2.488340e-03 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.797784e-02 + i 4.970077e-03 ; -0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.901021e-02 + i -2.488340e-03 ; -5.698805e-02 + i -7.458416e-03 ; -2.068121e-02 + i -2.706692e-03 ; -1.157874e-05 + i -1.858830e-06 ; -2.068121e-02 + i -2.706692e-03 ; -0.000000e+00 + i -0.000000e+00 ; 5.278088e-03 + i 6.904362e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.067245e-03 + i 2.702113e-04 ; -0.000000e+00 + i -0.000000e+00 ; -4.240203e-03 + i -5.549445e-04 ; 2.815430e-03 + i 3.681313e-04 ; 0.000000e+00 + i -0.000000e+00 ; -1.401589e-03 + i -1.834356e-04 ; 1.486729e-03 + i 1.942352e-04 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.368878e-03 + i 5.714417e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.862536e-03 + i 2.434197e-04 ; -0.000000e+00 + i -0.000000e+00 ; -3.206083e-03 + i -4.196021e-04 ; 2.519019e-03 + i 3.293379e-04 ; -1.174586e-03 + i -1.537262e-04 ; -1.191674e-03 + i -1.559625e-04 ; 1.369964e-03 + i 1.789534e-04 ; -3.195228e-04 + i -4.181814e-05 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.450027e+00 + i 5.889776e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.797784e-02 + i 4.970077e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.149254e-01 + i -2.812910e-02 ; -5.698805e-02 + i -7.458416e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.901021e-02 + i -2.488340e-03 ; 0.000000e+00 + i -0.000000e+00 ; -5.698805e-02 + i -7.458416e-03 ; -1.901021e-02 + i -2.488340e-03 ; -2.068121e-02 + i -2.706692e-03 ; -2.068121e-02 + i -2.706692e-03 ; -1.157874e-05 + i -1.858830e-06 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.278088e-03 + i 6.904362e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.067245e-03 + i 2.702113e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.368878e-03 + i 5.714417e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.862536e-03 + i 2.434197e-04 ; -4.240203e-03 + i -5.549445e-04 ; 0.000000e+00 + i -0.000000e+00 ; 2.815430e-03 + i 3.681313e-04 ; -1.401589e-03 + i -1.834356e-04 ; 0.000000e+00 + i -0.000000e+00 ; 1.486729e-03 + i 1.942352e-04 ; -3.206083e-03 + i -4.196021e-04 ; -1.174586e-03 + i -1.537262e-04 ; 2.519019e-03 + i 3.293379e-04 ; -1.191674e-03 + i -1.559625e-04 ; -3.195228e-04 + i -4.181814e-05 ; 1.369964e-03 + i 1.789534e-04 ; 
-2.149254e-01 + i -2.812910e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.450027e+00 + i 5.889776e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.901021e-02 + i -2.488340e-03 ; 5.698805e-02 + i 7.458416e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.901021e-02 + i -2.488340e-03 ; -0.000000e+00 + i -0.000000e+00 ; 5.698805e-02 + i 7.458416e-03 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.157874e-05 + i -1.858830e-06 ; 2.068121e-02 + i 2.706692e-03 ; 2.068121e-02 + i 2.706692e-03 ; 3.797784e-02 + i 4.970077e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -4.155425e-02 + i -5.438833e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.057816e-02 + i -1.384779e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.683470e-02 + i -2.203616e-03 ; -1.752024e-02 + i -2.292994e-03 ; 0.000000e+00 + i -0.000000e+00 ; -7.204936e-03 + i -9.433027e-04 ; -4.240203e-03 + i -5.549445e-04 ; 0.000000e+00 + i -0.000000e+00 ; -1.683470e-02 + i -2.203616e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.752024e-02 + i -2.292994e-03 ; -7.204936e-03 + i -9.433027e-04 ; 0.000000e+00 + i -0.000000e+00 ; -4.240203e-03 + i -5.549445e-04 ; -7.699045e-03 + i -1.007970e-03 ; -1.001874e-02 + i -1.311221e-03 ; -1.001874e-02 + i -1.311221e-03 ; -5.057533e-03 + i -6.622574e-04 ; -3.206083e-03 + i -4.196021e-04 ; -3.206083e-03 + i -4.196021e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.450027e+00 + i 5.889776e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.698805e-02 + i 7.458416e-03 ; -1.901021e-02 + i -2.488340e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.149254e-01 + i -2.812910e-02 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.797784e-02 + i 4.970077e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; 2.068121e-02 + i 2.706692e-03 ; -1.157874e-05 + i -1.858830e-06 ; -2.068121e-02 + i -2.706692e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.901021e-02 + i -2.488340e-03 ; -5.698805e-02 + i -7.458416e-03 ; -0.000000e+00 + i -0.000000e+00 ; 2.075973e-02 + i 2.716625e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.278088e-03 + i 6.904362e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.752024e-02 + i -2.292994e-03 ; 3.337309e-03 + i 4.364331e-04 ; 0.000000e+00 + i -0.000000e+00 ; -4.240203e-03 + i -5.549445e-04 ; 2.815430e-03 + i 3.681313e-04 ; 0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.346730e-02 + i 1.762214e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.368878e-03 + i 5.714417e-04 ; -0.000000e+00 + i -0.000000e+00 ; -1.001874e-02 + i -1.311221e-03 ; 3.836076e-03 + i 5.017102e-04 ; -5.792713e-03 + i -7.581320e-04 ; -3.206083e-03 + i -4.196021e-04 ; 2.519019e-03 + i 3.293379e-04 ; -1.174586e-03 + i -1.537262e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.450027e+00 + i 5.889776e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.797784e-02 + i 4.970077e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.074326e-01 + i 1.406009e-02 ; 5.698805e-02 + i 7.458416e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.901021e-02 + i -2.488340e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.149254e-01 + i -2.812910e-02 ; 2.068121e-02 + i 2.706692e-03 ; -2.068121e-02 + i -2.706692e-03 ; -1.157874e-05 + i -1.858830e-06 ; 0.000000e+00 + i -0.000000e+00 ; -5.698805e-02 + i -7.458416e-03 ; -1.901021e-02 + i -2.488340e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.075973e-02 + i 2.716625e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.278088e-03 + i 6.904362e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.346730e-02 + i 1.762214e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.368878e-03 + i 5.714417e-04 ; -1.752024e-02 + i -2.292994e-03 ; 0.000000e+00 + i -0.000000e+00 ; 3.337309e-03 + i 4.364331e-04 ; -4.240203e-03 + i -5.549445e-04 ; 0.000000e+00 + i -0.000000e+00 ; 2.815430e-03 + i 3.681313e-04 ; -1.001874e-02 + i -1.311221e-03 ; -5.792713e-03 + i -7.581320e-04 ; 3.836076e-03 + i 5.017102e-04 ; -3.206083e-03 + i -4.196021e-04 ; -1.174586e-03 + i -1.537262e-04 ; 2.519019e-03 + i 3.293379e-04 ; 
1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.901021e-02 + i -2.488340e-03 ; 5.698805e-02 + i 7.458416e-03 ; 0.000000e+00 + i -0.000000e+00 ; 1.450027e+00 + i 5.889776e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.149254e-01 + i -2.812910e-02 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; 3.797784e-02 + i 4.970077e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.157874e-05 + i -1.858830e-06 ; 2.068121e-02 + i 2.706692e-03 ; -2.068121e-02 + i -2.706692e-03 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.901021e-02 + i -2.488340e-03 ; 0.000000e+00 + i -0.000000e+00 ; -5.698805e-02 + i -7.458416e-03 ; -7.204936e-03 + i -9.433027e-04 ; 4.240203e-03 + i 5.549445e-04 ; 0.000000e+00 + i -0.000000e+00 ; -3.364748e-03 + i -4.407110e-04 ; 1.401589e-03 + i 1.834356e-04 ; 0.000000e+00 + i -0.000000e+00 ; -1.057816e-02 + i -1.384779e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -4.150526e-03 + i -5.435512e-04 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -5.057533e-03 + i -6.622574e-04 ; 3.206083e-03 + i 4.196021e-04 ; -3.206083e-03 + i -4.196021e-04 ; -2.754910e-03 + i -3.608973e-04 ; 1.191674e-03 + i 1.559625e-04 ; -1.191674e-03 + i -1.559625e-04 ; -7.204936e-03 + i -9.433027e-04 ; 0.000000e+00 + i -0.000000e+00 ; -4.240203e-03 + i -5.549445e-04 ; -3.364748e-03 + i -4.407110e-04 ; 0.000000e+00 + i -0.000000e+00 ; -1.401589e-03 + i -1.834356e-04 ; 
-0.000000e+00 + i -0.000000e+00 ; -2.149254e-01 + i -2.812910e-02 ; -0.000000e+00 + i -0.000000e+00 ; 5.698805e-02 + i 7.458416e-03 ; -1.901021e-02 + i -2.488340e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.450027e+00 + i 5.889776e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.901021e-02 + i -2.488340e-03 ; 5.698805e-02 + i 7.458416e-03 ; 2.068121e-02 + i 2.706692e-03 ; -1.157874e-05 + i -1.858830e-06 ; 2.068121e-02 + i 2.706692e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.797784e-02 + i 4.970077e-03 ; -0.000000e+00 + i -0.000000e+00 ; 4.240203e-03 + i 5.549445e-04 ; 2.815430e-03 + i 3.681313e-04 ; -0.000000e+00 + i -0.000000e+00 ; 1.401589e-03 + i 1.834356e-04 ; 1.486729e-03 + i 1.942352e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.278088e-03 + i 6.904362e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.067245e-03 + i 2.702113e-04 ; -0.000000e+00 + i -0.000000e+00 ; 3.206083e-03 + i 4.196021e-04 ; 2.519019e-03 + i 3.293379e-04 ; 1.174586e-03 + i 1.537262e-04 ; 1.191674e-03 + i 1.559625e-04 ; 1.369964e-03 + i 1.789534e-04 ; 3.195228e-04 + i 4.181814e-05 ; -0.000000e+00 + i -0.000000e+00 ; 4.368878e-03 + i 5.714417e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.862536e-03 + i 2.434197e-04 ; -0.000000e+00 + i -0.000000e+00 ; 
-0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 3.797784e-02 + i 4.970077e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.450027e+00 + i 5.889776e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.074326e-01 + i 1.406009e-02 ; 0.000000e+00 + i -0.000000e+00 ; 5.698805e-02 + i 7.458416e-03 ; -1.901021e-02 + i -2.488340e-03 ; -2.068121e-02 + i -2.706692e-03 ; 2.068121e-02 + i 2.706692e-03 ; -1.157874e-05 + i -1.858830e-06 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -2.149254e-01 + i -2.812910e-02 ; -5.698805e-02 + i -7.458416e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.901021e-02 + i -2.488340e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.368878e-03 + i 5.714417e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.862536e-03 + i 2.434197e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.278088e-03 + i 6.904362e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.067245e-03 + i 2.702113e-04 ; -3.206083e-03 + i -4.196021e-04 ; 1.174586e-03 + i 1.537262e-04 ; 2.519019e-03 + i 3.293379e-04 ; -1.191674e-03 + i -1.559625e-04 ; 3.195228e-04 + i 4.181814e-05 ; 1.369964e-03 + i 1.789534e-04 ; -4.240203e-03 + i -5.549445e-04 ; 0.000000e+00 + i -0.000000e+00 ; 2.815430e-03 + i 3.681313e-04 ; -1.401589e-03 + i -1.834356e-04 ; 0.000000e+00 + i -0.000000e+00 ; 1.486729e-03 + i 1.942352e-04 ; 
-1.901021e-02 + i -2.488340e-03 ; -5.698805e-02 + i -7.458416e-03 ; -0.000000e+00 + i -0.000000e+00 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.149254e-01 + i -2.812910e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.450027e+00 + i 5.889776e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.157874e-05 + i -1.858830e-06 ; -2.068121e-02 + i -2.706692e-03 ; 2.068121e-02 + i 2.706692e-03 ; 3.797784e-02 + i 4.970077e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.901021e-02 + i -2.488340e-03 ; -0.000000e+00 + i -0.000000e+00 ; 5.698805e-02 + i 7.458416e-03 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -1.683470e-02 + i -2.203616e-03 ; 1.752024e-02 + i 2.292994e-03 ; 0.000000e+00 + i -0.000000e+00 ; -7.204936e-03 + i -9.433027e-04 ; 4.240203e-03 + i 5.549445e-04 ; 0.000000e+00 + i -0.000000e+00 ; -4.155425e-02 + i -5.438833e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -1.057816e-02 + i -1.384779e-03 ; 0.000000e+00 + i -0.000000e+00 ; 0.000000e+00 + i -0.000000e+00 ; -7.699045e-03 + i -1.007970e-03 ; 1.001874e-02 + i 1.311221e-03 ; -1.001874e-02 + i -1.311221e-03 ; -5.057533e-03 + i -6.622574e-04 ; 3.206083e-03 + i 4.196021e-04 ; -3.206083e-03 + i -4.196021e-04 ; -1.683470e-02 + i -2.203616e-03 ; 0.000000e+00 + i -0.000000e+00 ; -1.752024e-02 + i -2.292994e-03 ; -7.204936e-03 + i -9.433027e-04 ; 0.000000e+00 + i -0.000000e+00 ; -4.240203e-03 + i -5.549445e-04 ; 
-5.698805e-02 + i -7.458416e-03 ; -1.901021e-02 + i -2.488340e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; -2.149254e-01 + i -2.812910e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.450027e+00 + i 5.889776e-02 ; -0.000000e+00 + i -0.000000e+00 ; -2.068121e-02 + i -2.706692e-03 ; -1.157874e-05 + i -1.858830e-06 ; 2.068121e-02 + i 2.706692e-03 ; -0.000000e+00 + i -0.000000e+00 ; -1.901021e-02 + i -2.488340e-03 ; 5.698805e-02 + i 7.458416e-03 ; -0.000000e+00 + i -0.000000e+00 ; 3.797784e-02 + i 4.970077e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 1.074326e-01 + i 1.406009e-02 ; -0.000000e+00 + i -0.000000e+00 ; 1.752024e-02 + i 2.292994e-03 ; 3.337309e-03 + i 4.364331e-04 ; -0.000000e+00 + i -0.000000e+00 ; 4.240203e-03 + i 5.549445e-04 ; 2.815430e-03 + i 3.681313e-04 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 2.075973e-02 + i 2.716625e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 5.278088e-03 + i 6.904362e-04 ; -0.000000e+00 + i -0.000000e+00 ; 1.001874e-02 + i 1.311221e-03 ; 3.836076e-03 + i 5.017102e-04 ; 5.792713e-03 + i 7.581320e-04 ; 3.206083e-03 + i 4.196021e-04 ; 2.519019e-03 + i 3.293379e-04 ; 1.174586e-03 + i 1.537262e-04 ; -0.000000e+00 + i -0.000000e+00 ; 1.346730e-02 + i 1.762214e-03 ; -0.000000e+00 + i -0.000000e+00 ; -0.000000e+00 + i -0.000000e+00 ; 4.368878e-03 + i 5.714417e-04 ; -0.000000e+00 + i -0.000000e+00 ; 
